,date,hour,type,前门
49146,20150322,8,PCA,-69.48428709811405
49146,20150322,8,PM2.5,17.2
49152,20150322,9,PCA,-71.59473766351577
49152,20150322,9,PM2.5,16.6
49158,20150322,10,PCA,-67.82004903968665
49158,20150322,10,PM2.5,16.3
49164,20150322,11,PCA,-71.92669926970095
49164,20150322,11,PM2.5,11.1
49170,20150322,12,PCA,-74.43313854265242
49170,20150322,12,PM2.5,11.7
49176,20150322,13,PCA,-73.18242251218685
49176,20150322,13,PM2.5,17.6
49182,20150322,14,PCA,-74.59929387770023
49182,20150322,14,PM2.5,17.2
49188,20150322,15,PCA,-72.69151401263073
49188,20150322,15,PM2.5,18.4
49194,20150322,16,PCA,-65.13913000038124
49194,20150322,16,PM2.5,26.4
49200,20150322,17,PCA,-64.04182694893716
49200,20150322,17,PM2.5,27.9
49206,20150322,18,PCA,-60.58057395627357
49206,20150322,18,PM2.5,29.1
49212,20150322,19,PCA,-46.81233741062774
49212,20150322,19,PM2.5,40.3
49218,20150322,20,PCA,-32.60563941612582
49218,20150322,20,PM2.5,53.8
49224,20150322,21,PCA,-33.25672577857577
49224,20150322,21,PM2.5,50.5
49230,20150322,22,PCA,-36.5899199807492
49230,20150322,22,PM2.5,44.4
49236,20150322,23,PCA,-26.60371304425188
49236,20150322,23,PM2.5,53.7
49242,20150323,0,PCA,-24.410010907137234
49242,20150323,0,PM2.5,54.7
49248,20150323,1,PCA,-25.31354847381438
49248,20150323,1,PM2.5,52.6
49254,20150323,2,PCA,-23.9975053915568
49254,20150323,2,PM2.5,56.7
49260,20150323,3,PCA,-23.356923402647762
49260,20150323,3,PM2.5,56.4
49266,20150323,4,PCA,-22.441596786717692
49266,20150323,4,PM2.5,54.6
49272,20150323,5,PCA,-18.617789947650127
49272,20150323,5,PM2.5,59.6
49278,20150323,6,PCA,-12.795111658796884
49278,20150323,6,PM2.5,67.4
49284,20150323,7,PCA,-11.299544684526403
49284,20150323,7,PM2.5,66.9
49290,20150323,8,PCA,-8.525651206023428
49290,20150323,8,PM2.5,67.8
49296,20150323,9,PCA,-7.444578391665622
49296,20150323,9,PM2.5,68.0
49302,20150323,10,PCA,-12.29669209654908
49302,20150323,10,PM2.5,60.1
49308,20150323,11,PCA,-24.463042369679293
49308,20150323,11,PM2.5,44.1
49314,20150323,12,PCA,-32.99167271319278
49314,20150323,12,PM2.5,41.1
49320,20150323,13,PCA,-48.490110189883275
49320,20150323,13,PM2.5,30.2
49326,20150323,14,PCA,-54.14040719668984
49326,20150323,14,PM2.5,19.9
49332,20150323,15,PCA,-54.466065751743045
49332,20150323,15,PM2.5,19.6
49338,20150323,16,PCA,-48.511370473252015
49338,20150323,16,PM2.5,23.8
49344,20150323,17,PCA,-46.685174881456724
49344,20150323,17,PM2.5,25.0
49350,20150323,18,PCA,-44.41582736584485
49350,20150323,18,PM2.5,25.1
49356,20150323,19,PCA,-40.38668644914593
49356,20150323,19,PM2.5,30.0
49362,20150323,20,PCA,-33.60146148758577
49362,20150323,20,PM2.5,38.6
49368,20150323,21,PCA,-28.952775611036685
49368,20150323,21,PM2.5,47.4
49374,20150323,22,PCA,-23.493642023501057
49374,20150323,22,PM2.5,51.0
49380,20150323,23,PCA,-24.22407050242956
49380,20150323,23,PM2.5,55.9
49386,20150324,0,PCA,-13.925349722126118
49386,20150324,0,PM2.5,61.6
49392,20150324,1,PCA,-4.212641154080992
49392,20150324,1,PM2.5,73.4
49398,20150324,2,PCA,2.7305413712409585
49398,20150324,2,PM2.5,80.7
49404,20150324,3,PCA,26.206584623417708
49404,20150324,3,PM2.5,111.3
49410,20150324,4,PCA,19.44031026410317
49410,20150324,4,PM2.5,103.3
49416,20150324,5,PCA,2.10387925104681
49416,20150324,5,PM2.5,82.6
49422,20150324,6,PCA,-7.827821627171258
49422,20150324,6,PM2.5,67.6
49428,20150324,7,PCA,-4.616628173006894
49428,20150324,7,PM2.5,73.4
49434,20150324,8,PCA,-13.93909477688105
49434,20150324,8,PM2.5,64.9
49440,20150324,9,PCA,-17.071804222505275
49440,20150324,9,PM2.5,63.9
49446,20150324,10,PCA,-9.617526715468962
49446,20150324,10,PM2.5,71.3
49452,20150324,11,PCA,-4.756075895638426
49452,20150324,11,PM2.5,78.0
49458,20150324,12,PCA,-3.555429914314337
49458,20150324,12,PM2.5,80.4
49464,20150324,13,PCA,-6.292897516645295
49464,20150324,13,PM2.5,80.4
49470,20150324,14,PCA,-5.272485555716171
49470,20150324,14,PM2.5,79.7
49476,20150324,15,PCA,-5.276086304303534
49476,20150324,15,PM2.5,79.1
49482,20150324,16,PCA,-4.318657645713724
49482,20150324,16,PM2.5,79.2
49488,20150324,17,PCA,10.32650348974874
49488,20150324,17,PM2.5,91.4
49494,20150324,18,PCA,17.0652260011252
49494,20150324,18,PM2.5,93.0
49500,20150324,19,PCA,41.10967404559032
49500,20150324,19,PM2.5,113.1
49506,20150324,20,PCA,61.99455615242982
49506,20150324,20,PM2.5,131.9
49512,20150324,21,PCA,72.71952582017256
49512,20150324,21,PM2.5,142.0
49518,20150324,22,PCA,89.59351932194059
49518,20150324,22,PM2.5,157.9
49524,20150324,23,PCA,112.02369460098748
49524,20150324,23,PM2.5,183.1
49530,20150325,0,PCA,131.35380748047808
49530,20150325,0,PM2.5,200.8
49536,20150325,1,PCA,180.1390620462739
49536,20150325,1,PM2.5,265.6
49542,20150325,2,PCA,124.87983210087982
49542,20150325,2,PM2.5,182.8
49548,20150325,3,PCA,191.3187902447731
49548,20150325,3,PM2.5,274.6
49554,20150325,4,PCA,128.5902573462377
49554,20150325,4,PM2.5,177.6
49560,20150325,5,PCA,7.803040086090666
49560,20150325,5,PM2.5,3.0
49566,20150325,6,PCA,78.8811358889996
49566,20150325,6,PM2.5,101.9
49572,20150325,7,PCA,130.66360233881585
49572,20150325,7,PM2.5,173.4
49578,20150325,8,PCA,96.08071896740991
49578,20150325,8,PM2.5,113.6
49584,20150325,9,PCA,114.71739711409208
49584,20150325,9,PM2.5,134.2
49590,20150325,10,PCA,135.45978708625285
49590,20150325,10,PM2.5,157.0
49596,20150325,11,PCA,149.57849744720968
49596,20150325,11,PM2.5,173.8
49602,20150325,12,PCA,157.71050063728777
49602,20150325,12,PM2.5,183.6
49608,20150325,13,PCA,186.0508199831855
49608,20150325,13,PM2.5,224.8
49614,20150325,14,PCA,276.3448873816869
49614,20150325,14,PM2.5,355.9
49620,20150325,15,PCA,123.64011133938693
49620,20150325,15,PM2.5,144.0
49626,20150325,16,PCA,107.24748088526384
49626,20150325,16,PM2.5,122.9
49632,20150325,17,PCA,103.31106111295128
49632,20150325,17,PM2.5,116.3
49638,20150325,18,PCA,101.8595889848999
49638,20150325,18,PM2.5,107.6
49644,20150325,19,PCA,130.79400907813988
49644,20150325,19,PM2.5,136.8
49650,20150325,20,PCA,145.54333764688755
49650,20150325,20,PM2.5,147.1
49656,20150325,21,PCA,141.9494135473614
49656,20150325,21,PM2.5,140.1
49662,20150325,22,PCA,114.6328334085745
49662,20150325,22,PM2.5,115.7
49668,20150325,23,PCA,101.98313702557196
49668,20150325,23,PM2.5,106.3
49674,20150326,0,PCA,103.31560395617687
49674,20150326,0,PM2.5,109.2
49680,20150326,1,PCA,96.44187403108693
49680,20150326,1,PM2.5,109.1
49686,20150326,2,PCA,90.23318861469248
49686,20150326,2,PM2.5,106.4
49692,20150326,3,PCA,80.2074261609283
49692,20150326,3,PM2.5,103.9
49698,20150326,4,PCA,84.27122395927066
49698,20150326,4,PM2.5,108.0
49704,20150326,5,PCA,98.465936886029
49704,20150326,5,PM2.5,113.9
49710,20150326,6,PCA,112.54354315118361
49710,20150326,6,PM2.5,123.4
49716,20150326,7,PCA,113.63904969017305
49716,20150326,7,PM2.5,125.4
49722,20150326,8,PCA,123.13291321186978
49722,20150326,8,PM2.5,135.4
49728,20150326,9,PCA,139.63407259200287
49728,20150326,9,PM2.5,158.2
49734,20150326,10,PCA,149.9256475045778
49734,20150326,10,PM2.5,174.6
49740,20150326,11,PCA,143.22140317082147
49740,20150326,11,PM2.5,179.4
49746,20150326,12,PCA,107.50352731390454
49746,20150326,12,PM2.5,136.0
49752,20150326,13,PCA,33.056613389220146
49752,20150326,13,PM2.5,47.3
49758,20150326,14,PCA,45.73048921594222
49758,20150326,14,PM2.5,86.9
49764,20150326,15,PCA,40.85687286234219
49764,20150326,15,PM2.5,85.4
49770,20150326,16,PCA,27.771986944425585
49770,20150326,16,PM2.5,72.2
49776,20150326,17,PCA,34.528381002420886
49776,20150326,17,PM2.5,79.6
49782,20150326,18,PCA,53.71843205573908
49782,20150326,18,PM2.5,102.7
49788,20150326,19,PCA,95.76020318866959
49788,20150326,19,PM2.5,155.2
49794,20150326,20,PCA,196.78461315249348
49794,20150326,20,PM2.5,301.5
49800,20150326,21,PCA,53.979056995545534
49800,20150326,21,PM2.5,94.6
49806,20150326,22,PCA,44.37278910535189
49806,20150326,22,PM2.5,83.6
49812,20150326,23,PCA,39.26605005154723
49812,20150326,23,PM2.5,78.8
49818,20150327,0,PCA,30.984127468370602
49818,20150327,0,PM2.5,71.5
49824,20150327,1,PCA,29.627948452551912
49824,20150327,1,PM2.5,73.1
49830,20150327,2,PCA,27.635103161575575
49830,20150327,2,PM2.5,70.7
49836,20150327,3,PCA,28.877360612638288
49836,20150327,3,PM2.5,72.6
49842,20150327,4,PCA,33.877024151567184
49842,20150327,4,PM2.5,80.6
49848,20150327,5,PCA,38.856069032701114
49848,20150327,5,PM2.5,85.4
49854,20150327,6,PCA,52.442545334629116
49854,20150327,6,PM2.5,85.3
49860,20150327,7,PCA,53.61656303479007
49860,20150327,7,PM2.5,84.4
49866,20150327,8,PCA,61.6827395388485
49866,20150327,8,PM2.5,96.9
49872,20150327,9,PCA,71.57963985056682
49872,20150327,9,PM2.5,114.5
49878,20150327,10,PCA,71.7985049926779
49878,20150327,10,PM2.5,122.9
49884,20150327,11,PCA,67.46151336192494
49884,20150327,11,PM2.5,123.7
49890,20150327,12,PCA,63.94950394535932
49890,20150327,12,PM2.5,125.1
49896,20150327,13,PCA,61.54104790286206
49896,20150327,13,PM2.5,122.9
49902,20150327,14,PCA,60.0213120490938
49902,20150327,14,PM2.5,125.3
49908,20150327,15,PCA,63.66721882467876
49908,20150327,15,PM2.5,130.4
49914,20150327,16,PCA,68.9130843900138
49914,20150327,16,PM2.5,136.8
49920,20150327,17,PCA,88.22347439405243
49920,20150327,17,PM2.5,158.5
49926,20150327,18,PCA,101.69834889356802
49926,20150327,18,PM2.5,167.4
49932,20150327,19,PCA,112.17601588063113
49932,20150327,19,PM2.5,171.3
49938,20150327,20,PCA,116.83464843213878
49938,20150327,20,PM2.5,176.4
49944,20150327,21,PCA,85.49230910978939
49944,20150327,21,PM2.5,151.0
49950,20150327,22,PCA,74.8838240758008
49950,20150327,22,PM2.5,134.4
49956,20150327,23,PCA,64.24115441861662
49956,20150327,23,PM2.5,114.8
49962,20150328,0,PCA,53.1297503602352
49962,20150328,0,PM2.5,102.3
49968,20150328,1,PCA,57.86599489096845
49968,20150328,1,PM2.5,107.8
49974,20150328,2,PCA,62.96428351349705
49974,20150328,2,PM2.5,109.5
49980,20150328,3,PCA,77.33871559255977
49980,20150328,3,PM2.5,125.1
49986,20150328,4,PCA,85.4717008801053
49986,20150328,4,PM2.5,129.7
49992,20150328,5,PCA,97.34822200041266
49992,20150328,5,PM2.5,134.9
49998,20150328,6,PCA,108.3126166252087
49998,20150328,6,PM2.5,139.3
50004,20150328,7,PCA,-10.426549993261062
50004,20150328,7,PM2.5,3.0
50010,20150328,8,PCA,7.80284322359256
50010,20150328,8,PM2.5,37.2
50016,20150328,9,PCA,5.535112243153673
50016,20150328,9,PM2.5,38.1
50022,20150328,10,PCA,-2.5450014270290233
50022,20150328,10,PM2.5,31.1
50028,20150328,11,PCA,23.070600936296067
50028,20150328,11,PM2.5,71.3
50034,20150328,12,PCA,57.11322223971873
50034,20150328,12,PM2.5,123.2
50040,20150328,13,PCA,61.26280775191517
50040,20150328,13,PM2.5,128.3
50046,20150328,14,PCA,55.86539363564645
50046,20150328,14,PM2.5,108.2
50052,20150328,15,PCA,60.02679076213402
50052,20150328,15,PM2.5,107.2
50058,20150328,16,PCA,215.95620198032702
50058,20150328,16,PM2.5,334.4
50064,20150328,17,PCA,39.78846072008208
50064,20150328,17,PM2.5,74.5
50070,20150328,18,PCA,43.68437091858634
50070,20150328,18,PM2.5,77.0
50076,20150328,19,PCA,55.828263104568094
50076,20150328,19,PM2.5,88.7
50082,20150328,20,PCA,72.76775960578783
50082,20150328,20,PM2.5,101.4
50088,20150328,21,PCA,70.86441907187498
50088,20150328,21,PM2.5,83.8
50094,20150328,22,PCA,72.38182714787801
50094,20150328,22,PM2.5,75.2
50100,20150328,23,PCA,84.77506741999237
50100,20150328,23,PM2.5,83.5
50106,20150329,0,PCA,100.68788271126674
50106,20150329,0,PM2.5,94.9
50112,20150329,1,PCA,132.04837317788665
50112,20150329,1,PM2.5,115.7
50118,20150329,2,PCA,195.75927186692678
50118,20150329,2,PM2.5,189.4
50124,20150329,3,PCA,763.2481292538714
50124,20150329,3,PM2.5,1000.0
50130,20150329,4,PCA,636.1713446823198
50130,20150329,4,PM2.5,781.5
50136,20150329,5,PCA,218.9113903775665
50136,20150329,5,PM2.5,133.9
50142,20150329,6,PCA,377.5230861499656
50142,20150329,6,PM2.5,327.1
50148,20150329,7,PCA,533.3417855762398
50148,20150329,7,PM2.5,512.0
50154,20150329,8,PCA,878.8090567285835
50154,20150329,8,PM2.5,975.1
50484,20150331,15,PCA,89.77700117496224
50484,20150331,15,PM2.5,110.5
50520,20150331,21,PCA,23.79639775507103
50520,20150331,21,PM2.5,59.8
50526,20150331,22,PCA,19.09853117159687
50526,20150331,22,PM2.5,58.4
50532,20150331,23,PCA,14.40066458812271
50532,20150331,23,PM2.5,57.0
50538,20150401,0,PCA,13.613054723071935
50538,20150401,0,PM2.5,58.9
50544,20150401,1,PCA,18.036304937130883
50544,20150401,1,PM2.5,64.9
50550,20150401,2,PCA,8.048902351753577
50550,20150401,2,PM2.5,59.1
50556,20150401,3,PCA,9.38402547708973
50556,20150401,3,PM2.5,58.3
50562,20150401,4,PCA,15.475446474472353
50562,20150401,4,PM2.5,68.6
50568,20150401,5,PCA,23.40795060016806
50568,20150401,5,PM2.5,78.2
50574,20150401,6,PCA,5.6018053523563385
50574,20150401,6,PM2.5,61.1
50580,20150401,7,PCA,-9.951268351080389
50580,20150401,7,PM2.5,45.5
50586,20150401,8,PCA,-3.696622777673164
50586,20150401,8,PM2.5,50.4
50592,20150401,9,PCA,9.487428900352144
50592,20150401,9,PM2.5,66.5
50598,20150401,10,PCA,6.9937993689240505
50598,20150401,10,PM2.5,65.2
50604,20150401,11,PCA,-16.447524462875304
50604,20150401,11,PM2.5,44.2
50610,20150401,12,PCA,-39.888848294674666
50610,20150401,12,PM2.5,23.2
50616,20150401,13,PCA,-39.642961975211946
50616,20150401,13,PM2.5,31.6
50622,20150401,14,PCA,-49.24392406811144
50622,20150401,14,PM2.5,21.4
50628,20150401,15,PCA,-43.706298651391116
50628,20150401,15,PM2.5,31.4
50634,20150401,16,PCA,-46.423784341034406
50634,20150401,16,PM2.5,32.6
50640,20150401,17,PCA,-48.12472471788143
50640,20150401,17,PM2.5,28.4
50646,20150401,18,PCA,-51.865689148226245
50646,20150401,18,PM2.5,25.6
50652,20150401,19,PCA,-54.934282887142615
50652,20150401,19,PM2.5,24.8
50658,20150401,20,PCA,-41.14266930002889
50658,20150401,20,PM2.5,35.9
50664,20150401,21,PCA,-37.3113604854278
50664,20150401,21,PM2.5,42.5
50670,20150401,22,PCA,-31.255418155134798
50670,20150401,22,PM2.5,51.4
50676,20150401,23,PCA,-52.22209424509797
50676,20150401,23,PM2.5,34.5
50682,20150402,0,PCA,-50.16306342750336
50682,20150402,0,PM2.5,40.2
50688,20150402,1,PCA,-54.11257404517756
50688,20150402,1,PM2.5,41.3
50694,20150402,2,PCA,-60.20572603321204
50694,20150402,2,PM2.5,33.3
50700,20150402,3,PCA,-58.58559265342054
50700,20150402,3,PM2.5,37.3
50706,20150402,4,PCA,-56.102383962684726
50706,20150402,4,PM2.5,42.2
50712,20150402,5,PCA,-53.79609566400029
50712,20150402,5,PM2.5,47.3
50718,20150402,6,PCA,-56.58831653033398
50718,20150402,6,PM2.5,42.5
50724,20150402,7,PCA,-53.671245736394056
50724,20150402,7,PM2.5,42.3
50730,20150402,8,PCA,-41.692241830559475
50730,20150402,8,PM2.5,54.8
50736,20150402,9,PCA,-41.70211601245913
50736,20150402,9,PM2.5,59.4
50742,20150402,10,PCA,-41.14356475566633
50742,20150402,10,PM2.5,56.9
50748,20150402,11,PCA,-50.21432107416867
50748,20150402,11,PM2.5,49.6
50754,20150402,12,PCA,-60.80207448156309
50754,20150402,12,PM2.5,37.4
50760,20150402,13,PCA,-70.96054817034651
50760,20150402,13,PM2.5,24.7
50766,20150402,14,PCA,-67.49303817560669
50766,20150402,14,PM2.5,32.1
50772,20150402,15,PCA,-71.00680305524268
50772,20150402,15,PM2.5,28.5
50778,20150402,16,PCA,-66.15577294775935
50778,20150402,16,PM2.5,33.9
50784,20150402,17,PCA,-59.791721012978435
50784,20150402,17,PM2.5,40.3
50790,20150402,18,PCA,-44.55329563671949
50790,20150402,18,PM2.5,43.4
50796,20150402,19,PCA,-66.27626314066114
50796,20150402,19,PM2.5,29.6
50802,20150402,20,PCA,-78.93208558078226
50802,20150402,20,PM2.5,11.6
50808,20150402,21,PCA,-79.4409137845896
50808,20150402,21,PM2.5,14.0
50814,20150402,22,PCA,-81.7547301218073
50814,20150402,22,PM2.5,14.0
50820,20150402,23,PCA,-84.0747323116691
50820,20150402,23,PM2.5,13.0
50826,20150403,0,PCA,-82.4561617956357
50826,20150403,0,PM2.5,13.0
50832,20150403,1,PCA,-86.02025414921773
50832,20150403,1,PM2.5,9.8
50838,20150403,2,PCA,-76.1524921702568
50838,20150403,2,PM2.5,17.5
50844,20150403,3,PCA,-72.49358647005708
50844,20150403,3,PM2.5,18.0
50850,20150403,4,PCA,-72.8082894297542
50850,20150403,4,PM2.5,22.5
50856,20150403,5,PCA,-79.10530516321397
50856,20150403,5,PM2.5,19.5
50862,20150403,6,PCA,-74.37655143452908
50862,20150403,6,PM2.5,22.2
50868,20150403,7,PCA,-76.88896202084304
50868,20150403,7,PM2.5,20.6
50874,20150403,8,PCA,-76.82080430666664
50874,20150403,8,PM2.5,20.8
50880,20150403,9,PCA,-80.6191265305074
50880,20150403,9,PM2.5,24.9
50886,20150403,10,PCA,-91.7193692931924
50886,20150403,10,PM2.5,16.0
50892,20150403,11,PCA,-86.96431702505295
50892,20150403,11,PM2.5,21.5
50898,20150403,12,PCA,-90.87743467207935
50898,20150403,12,PM2.5,18.7
50904,20150403,13,PCA,-87.2802580012656
50904,20150403,13,PM2.5,25.0
50910,20150403,14,PCA,-72.53756977743801
50910,20150403,14,PM2.5,40.8
50916,20150403,15,PCA,-77.81759316846612
50916,20150403,15,PM2.5,36.8
50922,20150403,16,PCA,-76.89147271274916
50922,20150403,16,PM2.5,39.4
50928,20150403,17,PCA,-68.04728474136299
50928,20150403,17,PM2.5,49.3
50934,20150403,18,PCA,-56.03519348751395
50934,20150403,18,PM2.5,56.0
50940,20150403,19,PCA,-30.165166232352938
50940,20150403,19,PM2.5,85.8
50946,20150403,20,PCA,-41.58492557066832
50946,20150403,20,PM2.5,70.7
50952,20150403,21,PCA,-44.94449279670791
50952,20150403,21,PM2.5,58.2
50958,20150403,22,PCA,-64.65586679686274
50958,20150403,22,PM2.5,35.5
50964,20150403,23,PCA,-62.43271415160551
50964,20150403,23,PM2.5,35.0
50970,20150404,0,PCA,-60.47150661566822
50970,20150404,0,PM2.5,38.8
50976,20150404,1,PCA,-65.21607224564443
50976,20150404,1,PM2.5,31.5
50982,20150404,2,PCA,-53.91550273925188
50982,20150404,2,PM2.5,40.8
50988,20150404,3,PCA,-52.00502834634429
50988,20150404,3,PM2.5,43.8
50994,20150404,4,PCA,-55.69951959648707
50994,20150404,4,PM2.5,37.8
51000,20150404,5,PCA,-52.76276159405755
51000,20150404,5,PM2.5,36.4
51006,20150404,6,PCA,-43.29396586932973
51006,20150404,6,PM2.5,46.3
51012,20150404,7,PCA,-45.39875597480659
51012,20150404,7,PM2.5,45.8
51018,20150404,8,PCA,-38.51825607813967
51018,20150404,8,PM2.5,47.7
51024,20150404,9,PCA,-30.502455279701028
51024,20150404,9,PM2.5,58.2
51030,20150404,10,PCA,-22.86915574194392
51030,20150404,10,PM2.5,75.7
51036,20150404,11,PCA,-12.696586976756995
51036,20150404,11,PM2.5,92.8
51042,20150404,12,PCA,-16.5448473744273
51042,20150404,12,PM2.5,87.0
51048,20150404,13,PCA,-24.693057542180412
51048,20150404,13,PM2.5,75.6
51054,20150404,14,PCA,-23.425182781141107
51054,20150404,14,PM2.5,77.0
51060,20150404,15,PCA,-25.125346171274746
51060,20150404,15,PM2.5,78.4
51066,20150404,16,PCA,-20.39579080323227
51066,20150404,16,PM2.5,78.3
51072,20150404,17,PCA,-17.666137745058556
51072,20150404,17,PM2.5,83.6
51078,20150404,18,PCA,-7.355729731734616
51078,20150404,18,PM2.5,83.9
51084,20150404,19,PCA,2.9153753339886816
51084,20150404,19,PM2.5,88.1
51090,20150404,20,PCA,16.156651366750328
51090,20150404,20,PM2.5,102.3
51096,20150404,21,PCA,14.901517318795797
51096,20150404,21,PM2.5,99.1
51102,20150404,22,PCA,18.162268741171463
51102,20150404,22,PM2.5,103.6
51108,20150404,23,PCA,24.888005378133794
51108,20150404,23,PM2.5,113.0
51114,20150405,0,PCA,33.41559865056677
51114,20150405,0,PM2.5,124.4
51120,20150405,1,PCA,48.48007328665287
51120,20150405,1,PM2.5,131.0
51126,20150405,2,PCA,58.04473138115483
51126,20150405,2,PM2.5,131.3
51132,20150405,3,PCA,68.27189964579408
51132,20150405,3,PM2.5,141.1
51138,20150405,4,PCA,76.45895071069214
51138,20150405,4,PM2.5,141.3
51144,20150405,5,PCA,87.96317526854256
51144,20150405,5,PM2.5,151.8
51150,20150405,6,PCA,86.49234519072925
51150,20150405,6,PM2.5,143.4
51156,20150405,7,PCA,69.0085891424898
51156,20150405,7,PM2.5,123.6
51162,20150405,8,PCA,2.746221023652387
51162,20150405,8,PM2.5,52.9
51168,20150405,9,PCA,-29.155839983126377
51168,20150405,9,PM2.5,14.8
51174,20150405,10,PCA,-29.836006199063846
51174,20150405,10,PM2.5,17.3
51180,20150405,11,PCA,-22.751337248753003
51180,20150405,11,PM2.5,30.6
51186,20150405,12,PCA,-33.52457681033504
51186,20150405,12,PM2.5,19.0
51192,20150405,13,PCA,-30.891472024170284
51192,20150405,13,PM2.5,26.7
51198,20150405,14,PCA,-39.39983170823071
51198,20150405,14,PM2.5,18.1
51204,20150405,15,PCA,-36.022848869430454
51204,20150405,15,PM2.5,25.8
51210,20150405,16,PCA,-39.75561055649484
51210,20150405,16,PM2.5,22.9
51216,20150405,17,PCA,-41.247057581897536
51216,20150405,17,PM2.5,22.3
51222,20150405,18,PCA,-43.076234236110494
51222,20150405,18,PM2.5,21.2
51228,20150405,19,PCA,-49.03500689870312
51228,20150405,19,PM2.5,13.8
51234,20150405,20,PCA,-50.25578367876378
51234,20150405,20,PM2.5,15.7
51240,20150405,21,PCA,-48.98358051719689
51240,20150405,21,PM2.5,23.6
51246,20150405,22,PCA,-53.325885589447054
51246,20150405,22,PM2.5,23.8
51252,20150405,23,PCA,-55.767936284922285
51252,20150405,23,PM2.5,24.2
51258,20150406,0,PCA,-59.556449116699056
51258,20150406,0,PM2.5,24.0
51264,20150406,1,PCA,-67.92260709954552
51264,20150406,1,PM2.5,17.7
51270,20150406,2,PCA,-69.20221362150188
51270,20150406,2,PM2.5,18.6
51276,20150406,3,PCA,-71.3316424329175
51276,20150406,3,PM2.5,18.3
51282,20150406,4,PCA,-73.38811036415706
51282,20150406,4,PM2.5,19.2
51288,20150406,5,PCA,-77.36880522469858
51288,20150406,5,PM2.5,15.9
51294,20150406,6,PCA,-79.33517282379812
51294,20150406,6,PM2.5,15.6
51300,20150406,7,PCA,-73.70487531502167
51300,20150406,7,PM2.5,23.4
51306,20150406,8,PCA,-74.12509985121224
51306,20150406,8,PM2.5,19.1
51312,20150406,9,PCA,-77.1082623913424
51312,20150406,9,PM2.5,18.2
51318,20150406,10,PCA,-79.7935950562601
51318,20150406,10,PM2.5,15.3
51324,20150406,11,PCA,-79.2666751878756
51324,20150406,11,PM2.5,26.5
51330,20150406,12,PCA,-87.279673540829
51330,20150406,12,PM2.5,18.6
51336,20150406,13,PCA,-95.52250996436116
51336,20150406,13,PM2.5,9.3
51342,20150406,14,PCA,-90.51417462348299
51342,20150406,14,PM2.5,20.4
51348,20150406,15,PCA,-89.50094794620732
51348,20150406,15,PM2.5,23.3
51354,20150406,16,PCA,-95.0981345908979
51354,20150406,16,PM2.5,17.4
51360,20150406,17,PCA,-87.48318178355925
51360,20150406,17,PM2.5,21.7
51366,20150406,18,PCA,-77.73636093153826
51366,20150406,18,PM2.5,28.9
51372,20150406,19,PCA,-72.88273653821884
51372,20150406,19,PM2.5,35.6
51378,20150406,20,PCA,-69.42130854435851
51378,20150406,20,PM2.5,36.7
51384,20150406,21,PCA,-68.9241990694378
51384,20150406,21,PM2.5,38.2
51390,20150406,22,PCA,-65.42569963053913
51390,20150406,22,PM2.5,39.0
51396,20150406,23,PCA,-59.8758355497217
51396,20150406,23,PM2.5,40.2
51402,20150407,0,PCA,-53.863639135554145
51402,20150407,0,PM2.5,46.0
51408,20150407,1,PCA,-50.29256049449349
51408,20150407,1,PM2.5,39.5
51414,20150407,2,PCA,-41.71409871754069
51414,20150407,2,PM2.5,52.2
51420,20150407,3,PCA,-76.08667899001456
51420,20150407,3,PM2.5,28.1
51426,20150407,4,PCA,-86.31491596334997
51426,20150407,4,PM2.5,11.3
51432,20150407,5,PCA,-85.94554774437339
51432,20150407,5,PM2.5,12.2
51438,20150407,6,PCA,-86.38152675527066
51438,20150407,6,PM2.5,10.7
51444,20150407,7,PCA,-83.7155420899235
51444,20150407,7,PM2.5,7.5
51450,20150407,8,PCA,-85.43408781834684
51450,20150407,8,PM2.5,11.2
51456,20150407,9,PCA,-87.63078900448407
51456,20150407,9,PM2.5,8.5
51462,20150407,10,PCA,-94.02350373244936
51462,20150407,10,PM2.5,4.7
51468,20150407,11,PCA,-89.5023079864066
51468,20150407,11,PM2.5,15.8
51474,20150407,12,PCA,-80.08088472727336
51474,20150407,12,PM2.5,27.2
51480,20150407,13,PCA,-84.54117873715296
51480,20150407,13,PM2.5,17.5
51486,20150407,14,PCA,-77.504581530392
51486,20150407,14,PM2.5,28.3
51492,20150407,15,PCA,-76.22715870287982
51492,20150407,15,PM2.5,27.2
51498,20150407,16,PCA,-87.1562194436549
51498,20150407,16,PM2.5,12.0
51504,20150407,17,PCA,-82.38730930637698
51504,20150407,17,PM2.5,16.5
51510,20150407,18,PCA,-73.61339355074966
51510,20150407,18,PM2.5,25.8
51516,20150407,19,PCA,-71.47493051786725
51516,20150407,19,PM2.5,27.8
51522,20150407,20,PCA,-65.92175117902845
51522,20150407,20,PM2.5,34.3
51528,20150407,21,PCA,-45.25743939459065
51528,20150407,21,PM2.5,55.5
51534,20150407,22,PCA,-44.793048134094924
51534,20150407,22,PM2.5,58.8
51540,20150407,23,PCA,-38.51042626924204
51540,20150407,23,PM2.5,63.4
51546,20150408,0,PCA,-25.719003441797366
51546,20150408,0,PM2.5,75.2
51552,20150408,1,PCA,-24.167124208021946
51552,20150408,1,PM2.5,76.9
51558,20150408,2,PCA,-19.985899828428327
51558,20150408,2,PM2.5,82.2
51564,20150408,3,PCA,-14.112458653037901
