,date,hour,type,前门
516,20140405,14,PCA,-66.61847395059756
516,20140405,14,PM2.5,15.0
522,20140405,15,PCA,-71.91056369806084
522,20140405,15,PM2.5,10.0
528,20140405,16,PCA,-69.95078341442955
528,20140405,16,PM2.5,12.0
534,20140405,17,PCA,-59.2793066724104
534,20140405,17,PM2.5,17.0
540,20140405,18,PCA,-48.52080312940591
540,20140405,18,PM2.5,33.0
546,20140405,19,PCA,-45.38121844142122
546,20140405,19,PM2.5,35.0
552,20140405,20,PCA,-39.531484818186655
552,20140405,20,PM2.5,42.0
558,20140405,21,PCA,-26.983784403318502
558,20140405,21,PM2.5,53.0
564,20140405,22,PCA,-21.58198400020193
564,20140405,22,PM2.5,58.0
570,20140405,23,PCA,-15.599547501514301
570,20140405,23,PM2.5,60.0
576,20140406,0,PCA,-16.8686730637507
576,20140406,0,PM2.5,58.0
582,20140406,1,PCA,-2.5418787282181405
582,20140406,1,PM2.5,68.0
588,20140406,2,PCA,0.999785021410717
588,20140406,2,PM2.5,67.0
594,20140406,3,PCA,2.8263791536474225
594,20140406,3,PM2.5,68.0
600,20140406,4,PCA,6.00542054352377
600,20140406,4,PM2.5,72.0
606,20140406,5,PCA,4.8715409691618365
606,20140406,5,PM2.5,70.0
612,20140406,6,PCA,8.425066646942563
612,20140406,6,PM2.5,75.0
618,20140406,7,PCA,19.30178919677507
618,20140406,7,PM2.5,92.0
624,20140406,8,PCA,15.899324354608707
624,20140406,8,PM2.5,83.0
630,20140406,9,PCA,16.592247371635146
630,20140406,9,PM2.5,79.0
636,20140406,10,PCA,12.318888922499422
636,20140406,10,PM2.5,74.0
642,20140406,11,PCA,5.768975265862001
642,20140406,11,PM2.5,69.0
648,20140406,12,PCA,-0.7809383907754173
648,20140406,12,PM2.5,64.0
654,20140406,13,PCA,-23.45614706427328
654,20140406,13,PM2.5,44.0
660,20140406,14,PCA,-32.03279969174632
660,20140406,14,PM2.5,37.0
666,20140406,15,PCA,-23.223024706882374
666,20140406,15,PM2.5,47.0
672,20140406,16,PCA,-18.652281514434343
672,20140406,16,PM2.5,52.0
678,20140406,17,PCA,-11.759143573242024
678,20140406,17,PM2.5,54.0
702,20140408,13,PCA,184.2581840791331
702,20140408,13,PM2.5,215.0
708,20140408,14,PCA,162.65496105758206
708,20140408,14,PM2.5,195.0
714,20140408,15,PCA,152.72456690987045
714,20140408,15,PM2.5,183.0
720,20140408,16,PCA,157.8582952547221
720,20140408,16,PM2.5,187.0
726,20140408,17,PCA,144.54724018002105
726,20140408,17,PM2.5,164.0
732,20140408,18,PCA,142.38757366490202
732,20140408,18,PM2.5,155.0
738,20140408,19,PCA,153.30011046078187
738,20140408,19,PM2.5,164.0
744,20140408,20,PCA,152.55196866090952
744,20140408,20,PM2.5,158.0
750,20140408,21,PCA,145.6141930416815
750,20140408,21,PM2.5,146.0
756,20140408,22,PCA,156.1437554981754
756,20140408,22,PM2.5,161.0
762,20140408,23,PCA,152.52427045040258
762,20140408,23,PM2.5,156.0
768,20140409,0,PCA,158.32133867519974
768,20140409,0,PM2.5,153.0
774,20140409,1,PCA,153.58595271468226
774,20140409,1,PM2.5,158.0
780,20140409,2,PCA,144.62268263512308
780,20140409,2,PM2.5,154.0
786,20140409,3,PCA,148.66164342081808
786,20140409,3,PM2.5,155.0
792,20140409,4,PCA,158.29355439976126
792,20140409,4,PM2.5,163.0
798,20140409,5,PCA,160.67774620416645
798,20140409,5,PM2.5,159.0
804,20140409,6,PCA,152.39982549505936
804,20140409,6,PM2.5,150.0
810,20140409,7,PCA,177.39906312359022
810,20140409,7,PM2.5,175.0
816,20140409,8,PCA,179.11536158153476
816,20140409,8,PM2.5,177.0
822,20140409,9,PCA,172.5273544629728
822,20140409,9,PM2.5,177.0
828,20140409,10,PCA,177.9440605467058
828,20140409,10,PM2.5,193.0
834,20140409,11,PCA,153.54216313768245
834,20140409,11,PM2.5,164.0
840,20140409,12,PCA,87.83763800999401
840,20140409,12,PM2.5,95.0
846,20140409,13,PCA,68.43542089442288
846,20140409,13,PM2.5,80.0
852,20140409,14,PCA,58.683460603325564
852,20140409,14,PM2.5,75.0
858,20140409,15,PCA,51.772116980680316
858,20140409,15,PM2.5,68.0
864,20140409,16,PCA,40.18897856499414
864,20140409,16,PM2.5,59.0
870,20140409,17,PCA,49.81180723603331
870,20140409,17,PM2.5,68.0
876,20140409,18,PCA,52.61524697362478
876,20140409,18,PM2.5,79.0
882,20140409,19,PCA,57.4400089751678
882,20140409,19,PM2.5,71.0
888,20140409,20,PCA,103.97586865634567
888,20140409,20,PM2.5,142.0
894,20140409,21,PCA,79.42841727826165
894,20140409,21,PM2.5,111.0
900,20140409,22,PCA,77.58632811526533
900,20140409,22,PM2.5,106.0
906,20140409,23,PCA,87.61630628351246
906,20140409,23,PM2.5,122.0
912,20140410,0,PCA,86.70741830523774
912,20140410,0,PM2.5,122.0
918,20140410,1,PCA,81.24302802552562
918,20140410,1,PM2.5,115.0
924,20140410,2,PCA,66.38759216344963
924,20140410,2,PM2.5,97.0
930,20140410,3,PCA,69.02876245098766
930,20140410,3,PM2.5,105.0
936,20140410,4,PCA,71.93179507641871
936,20140410,4,PM2.5,101.0
942,20140410,5,PCA,73.55560708305357
942,20140410,5,PM2.5,99.0
948,20140410,6,PCA,88.11222455913685
948,20140410,6,PM2.5,104.0
954,20140410,7,PCA,89.75965400670643
954,20140410,7,PM2.5,102.0
960,20140410,8,PCA,84.65663907956787
960,20140410,8,PM2.5,91.0
966,20140410,9,PCA,90.41597680338175
966,20140410,9,PM2.5,92.0
972,20140410,10,PCA,101.46026689789828
972,20140410,10,PM2.5,95.0
978,20140410,11,PCA,108.73181373510974
978,20140410,11,PM2.5,91.0
984,20140410,12,PCA,119.70654556222418
984,20140410,12,PM2.5,86.0
990,20140410,13,PCA,127.32565984089692
990,20140410,13,PM2.5,80.0
996,20140410,14,PCA,128.39450354228836
996,20140410,14,PM2.5,73.0
1002,20140410,15,PCA,129.29830569068153
1002,20140410,15,PM2.5,66.0
1008,20140410,16,PCA,139.21423399072563
1008,20140410,16,PM2.5,71.0
1014,20140410,17,PCA,127.4369991493936
1014,20140410,17,PM2.5,55.0
1020,20140410,18,PCA,134.7853444223776
1020,20140410,18,PM2.5,68.0
1026,20140410,19,PCA,131.03157125314743
1026,20140410,19,PM2.5,67.0
1032,20140410,20,PCA,125.90013135886649
1032,20140410,20,PM2.5,66.0
1038,20140410,21,PCA,123.26985526863969
1038,20140410,21,PM2.5,63.0
1044,20140410,22,PCA,130.4739538521321
1044,20140410,22,PM2.5,78.0
1050,20140410,23,PCA,131.0562616730327
1050,20140410,23,PM2.5,84.0
1056,20140411,0,PCA,132.55942442274443
1056,20140411,0,PM2.5,87.0
1062,20140411,1,PCA,113.47636069773272
1062,20140411,1,PM2.5,73.0
1068,20140411,2,PCA,111.42921802538542
1068,20140411,2,PM2.5,83.0
1074,20140411,3,PCA,102.70227081156348
1074,20140411,3,PM2.5,85.0
1080,20140411,4,PCA,100.351971349125
1080,20140411,4,PM2.5,92.0
1086,20140411,5,PCA,86.04588987585097
1086,20140411,5,PM2.5,80.0
1092,20140411,6,PCA,82.19203283686846
1092,20140411,6,PM2.5,83.0
1098,20140411,7,PCA,66.73373331533581
1098,20140411,7,PM2.5,69.0
1104,20140411,8,PCA,42.17594774622568
1104,20140411,8,PM2.5,50.0
1110,20140411,9,PCA,24.193114872078954
1110,20140411,9,PM2.5,51.0
1116,20140411,10,PCA,18.951858508933775
1116,20140411,10,PM2.5,51.0
1122,20140411,11,PCA,8.828748677500553
1122,20140411,11,PM2.5,42.0
1128,20140411,12,PCA,13.350460510614367
1128,20140411,12,PM2.5,51.0
1134,20140411,13,PCA,3.630529352069101
1134,20140411,13,PM2.5,54.0
1140,20140411,14,PCA,-12.349229969985508
1140,20140411,14,PM2.5,45.0
1146,20140411,15,PCA,-16.913919601711427
1146,20140411,15,PM2.5,48.0
1152,20140411,16,PCA,-20.326329326267334
1152,20140411,16,PM2.5,45.0
1158,20140411,17,PCA,-11.696423002030894
1158,20140411,17,PM2.5,59.0
1164,20140411,18,PCA,-18.1529439933987
1164,20140411,18,PM2.5,49.0
1170,20140411,19,PCA,-0.6103790578875832
1170,20140411,19,PM2.5,68.0
1176,20140411,20,PCA,4.492612842188344
1176,20140411,20,PM2.5,72.0
1182,20140411,21,PCA,0.7955591883382347
1182,20140411,21,PM2.5,66.0
1188,20140411,22,PCA,21.674304244126624
1188,20140411,22,PM2.5,84.0
1194,20140411,23,PCA,24.956526563635872
1194,20140411,23,PM2.5,88.0
1200,20140412,0,PCA,19.25605821651767
1200,20140412,0,PM2.5,82.0
1206,20140412,1,PCA,22.965500498925074
1206,20140412,1,PM2.5,87.0
1212,20140412,2,PCA,29.04701760579618
1212,20140412,2,PM2.5,95.0
1218,20140412,3,PCA,27.871200210003057
1218,20140412,3,PM2.5,93.0
1224,20140412,4,PCA,39.05194212441237
1224,20140412,4,PM2.5,108.0
1230,20140412,5,PCA,40.0412916409975
1230,20140412,5,PM2.5,110.0
1236,20140412,6,PCA,29.73324507811817
1236,20140412,6,PM2.5,95.0
1242,20140412,7,PCA,31.33879830217713
1242,20140412,7,PM2.5,97.0
1248,20140412,8,PCA,49.783687139075674
1248,20140412,8,PM2.5,118.0
1254,20140412,9,PCA,60.39866348506164
1254,20140412,9,PM2.5,124.5
1260,20140412,10,PCA,71.01363983104763
1260,20140412,10,PM2.5,131.0
1266,20140412,11,PCA,60.294988211728345
1266,20140412,11,PM2.5,121.0
1272,20140412,12,PCA,27.824466612430296
1272,20140412,12,PM2.5,91.0
1278,20140412,13,PCA,16.47381644716741
1278,20140412,13,PM2.5,84.0
1284,20140412,14,PCA,18.79873574674524
1284,20140412,14,PM2.5,88.0
1290,20140412,15,PCA,26.188317095974778
1290,20140412,15,PM2.5,93.0
1296,20140412,16,PCA,32.92237109610347
1296,20140412,16,PM2.5,101.0
1302,20140412,17,PCA,44.45127636542017
1302,20140412,17,PM2.5,108.0
1308,20140412,18,PCA,59.355653167937234
1308,20140412,18,PM2.5,120.0
1314,20140412,19,PCA,66.30598561085034
1314,20140412,19,PM2.5,120.0
1320,20140412,20,PCA,78.00946354979824
1320,20140412,20,PM2.5,132.0
1326,20140412,21,PCA,81.15161859042799
1326,20140412,21,PM2.5,123.0
1332,20140412,22,PCA,76.99866521374102
1332,20140412,22,PM2.5,112.0
1338,20140412,23,PCA,69.8852006123184
1338,20140412,23,PM2.5,99.0
1344,20140413,0,PCA,74.82156045131833
1344,20140413,0,PM2.5,112.0
1350,20140413,1,PCA,78.19576391625246
1350,20140413,1,PM2.5,123.0
1356,20140413,2,PCA,88.73548064987922
1356,20140413,2,PM2.5,143.0
1362,20140413,3,PCA,86.12413238369238
1362,20140413,3,PM2.5,133.0
1368,20140413,4,PCA,102.61700964747517
1368,20140413,4,PM2.5,156.0
1374,20140413,5,PCA,89.07296527564786
1374,20140413,5,PM2.5,135.0
1380,20140413,6,PCA,122.91353520342795
1380,20140413,6,PM2.5,178.0
1386,20140413,7,PCA,103.62603478529344
1386,20140413,7,PM2.5,138.0
1392,20140413,8,PCA,97.432237059159
1392,20140413,8,PM2.5,124.0
1398,20140413,9,PCA,117.92710821175064
1398,20140413,9,PM2.5,152.0
1404,20140413,10,PCA,137.91384972888542
1404,20140413,10,PM2.5,177.0
1410,20140413,11,PCA,158.97035806800065
1410,20140413,11,PM2.5,198.0
1416,20140413,12,PCA,149.00816181440277
1416,20140413,12,PM2.5,193.0
1422,20140413,13,PCA,140.62168886887318
1422,20140413,13,PM2.5,192.0
1428,20140413,14,PCA,136.98843169593468
1428,20140413,14,PM2.5,193.0
1434,20140413,15,PCA,120.18048439390141
1434,20140413,15,PM2.5,172.0
1440,20140413,16,PCA,127.18419530333797
1440,20140413,16,PM2.5,179.0
1446,20140413,17,PCA,127.90458359697483
1446,20140413,17,PM2.5,172.0
1452,20140413,18,PCA,123.98510120090813
1452,20140413,18,PM2.5,158.0
1458,20140413,19,PCA,119.67389656632476
1458,20140413,19,PM2.5,139.0
1464,20140413,20,PCA,137.3487509888688
1464,20140413,20,PM2.5,154.0
1470,20140413,21,PCA,155.7811714443614
1470,20140413,21,PM2.5,170.0
1476,20140413,22,PCA,188.31807791579845
1476,20140413,22,PM2.5,196.0
1482,20140413,23,PCA,207.14288037047785
1482,20140413,23,PM2.5,215.0
1488,20140414,0,PCA,216.28795576983183
1488,20140414,0,PM2.5,221.0
1494,20140414,1,PCA,214.70359960103585
1494,20140414,1,PM2.5,222.0
1500,20140414,2,PCA,222.1592212696886
1500,20140414,2,PM2.5,235.0
1506,20140414,3,PCA,204.49388070919136
1506,20140414,3,PM2.5,211.0
1512,20140414,4,PCA,212.3783573319311
1512,20140414,4,PM2.5,221.0
1518,20140414,5,PCA,208.5205859256899
1518,20140414,5,PM2.5,216.0
1524,20140414,6,PCA,206.82045712377735
1524,20140414,6,PM2.5,213.0
1530,20140414,7,PCA,208.33807820385346
1530,20140414,7,PM2.5,213.0
1536,20140414,8,PCA,213.69296116473333
1536,20140414,8,PM2.5,215.0
1542,20140414,9,PCA,248.4870168806651
1542,20140414,9,PM2.5,265.0
1548,20140414,10,PCA,224.7492036081026
1548,20140414,10,PM2.5,230.0
1554,20140414,11,PCA,243.86012269446422
1554,20140414,11,PM2.5,247.0
1560,20140414,12,PCA,253.85276952006464
1560,20140414,12,PM2.5,262.0
1566,20140414,13,PCA,247.1960784118446
1566,20140414,13,PM2.5,265.0
1572,20140414,14,PCA,226.65435128689265
1572,20140414,14,PM2.5,243.0
1578,20140414,15,PCA,208.72311853227765
1578,20140414,15,PM2.5,222.0
1584,20140414,16,PCA,200.69645557953177
1584,20140414,16,PM2.5,211.0
1590,20140414,17,PCA,166.4592106436181
1590,20140414,17,PM2.5,161.0
1596,20140414,18,PCA,218.28355355882533
1596,20140414,18,PM2.5,230.0
1602,20140414,19,PCA,206.76626039179098
1602,20140414,19,PM2.5,204.0
1608,20140414,20,PCA,223.84193032040852
1608,20140414,20,PM2.5,211.0
1614,20140414,21,PCA,280.99172993073825
1614,20140414,21,PM2.5,277.0
1620,20140414,22,PCA,210.72823259485745
1620,20140414,22,PM2.5,194.0
1626,20140414,23,PCA,125.43339535228948
1626,20140414,23,PM2.5,81.0
1632,20140415,0,PCA,101.98553848049802
1632,20140415,0,PM2.5,57.0
1638,20140415,1,PCA,103.84702861123141
1638,20140415,1,PM2.5,54.0
1644,20140415,2,PCA,105.79332896228712
1644,20140415,2,PM2.5,58.0
1650,20140415,3,PCA,94.79323748515516
1650,20140415,3,PM2.5,54.0
1656,20140415,4,PCA,111.22962185843235
1656,20140415,4,PM2.5,72.0
1662,20140415,5,PCA,100.2302165981978
1662,20140415,5,PM2.5,64.0
1818,20140416,7,PCA,-14.551774760999239
1818,20140416,7,PM2.5,47.0
1824,20140416,8,PCA,-20.107766753621725
1824,20140416,8,PM2.5,37.0
1830,20140416,9,PCA,-16.73530608049604
1830,20140416,9,PM2.5,43.0
1836,20140416,10,PCA,-16.626379560311545
1836,20140416,10,PM2.5,48.0
1842,20140416,11,PCA,-18.03892846436399
1842,20140416,11,PM2.5,55.0
1848,20140416,12,PCA,-29.871300743245786
1848,20140416,12,PM2.5,42.0
1854,20140416,13,PCA,-33.60823198618209
1854,20140416,13,PM2.5,40.0
1860,20140416,14,PCA,-20.781750892591994
1860,20140416,14,PM2.5,61.0
1866,20140416,15,PCA,-34.51340855668267
1866,20140416,15,PM2.5,43.0
1872,20140416,16,PCA,-42.92413165226163
1872,20140416,16,PM2.5,33.0
1878,20140416,17,PCA,-29.24728648640982
1878,20140416,17,PM2.5,48.0
1884,20140416,18,PCA,-18.94431785877254
1884,20140416,18,PM2.5,56.0
1890,20140416,19,PCA,-4.6931096791330855
1890,20140416,19,PM2.5,62.0
1896,20140416,20,PCA,0.8617487463400113
1896,20140416,20,PM2.5,62.0
1902,20140416,21,PCA,17.525827326089196
1902,20140416,21,PM2.5,75.0
1908,20140416,22,PCA,21.435437742962524
1908,20140416,22,PM2.5,75.0
1914,20140416,23,PCA,30.895435516810874
1914,20140416,23,PM2.5,85.0
1920,20140417,0,PCA,44.44518401767976
1920,20140417,0,PM2.5,99.0
1926,20140417,1,PCA,53.3880303757421
1926,20140417,1,PM2.5,100.0
1932,20140417,2,PCA,47.582057507630886
1932,20140417,2,PM2.5,87.0
1938,20140417,3,PCA,42.51430906504697
1938,20140417,3,PM2.5,80.0
1944,20140417,4,PCA,50.376487056518286
1944,20140417,4,PM2.5,93.0
1950,20140417,5,PCA,53.96695199509647
1950,20140417,5,PM2.5,105.0
1956,20140417,6,PCA,38.82585433273985
