,date,hour,type,永乐店
67920,20150730,17,PCA,-61.34225751865576
67920,20150730,17,PM2.5,45.0
67926,20150730,18,PCA,-100.48535656504814
67926,20150730,18,PM2.5,4.0
67932,20150730,19,PCA,-100.00485722686234
67932,20150730,19,PM2.5,12.0
67938,20150730,20,PCA,-99.7443431707511
67938,20150730,20,PM2.5,16.0
67944,20150730,21,PCA,-95.92670107384082
67944,20150730,21,PM2.5,21.0
67950,20150730,22,PCA,-91.23781956805828
67950,20150730,22,PM2.5,25.0
67956,20150730,23,PCA,-83.55633969992263
67956,20150730,23,PM2.5,29.0
67962,20150731,0,PCA,-74.43057655938178
67962,20150731,0,PM2.5,36.0
67968,20150731,1,PCA,-72.81292840662516
67968,20150731,1,PM2.5,38.0
67974,20150731,2,PCA,-68.16746198242417
67974,20150731,2,PM2.5,43.0
67980,20150731,3,PCA,-69.94282417646295
67980,20150731,3,PM2.5,41.0
67986,20150731,4,PCA,-72.50542099111429
67986,20150731,4,PM2.5,39.0
67992,20150731,5,PCA,-69.56746504260514
67992,20150731,5,PM2.5,40.0
67998,20150731,6,PCA,-68.83352531408634
67998,20150731,6,PM2.5,38.0
68004,20150731,7,PCA,-72.4734109365731
68004,20150731,7,PM2.5,31.0
68010,20150731,8,PCA,-80.0362886452983
68010,20150731,8,PM2.5,25.0
68016,20150731,9,PCA,-81.21631824568988
68016,20150731,9,PM2.5,26.0
68022,20150731,10,PCA,-85.9448933827444
68022,20150731,10,PM2.5,26.0
68028,20150731,11,PCA,-96.3239532050065
68028,20150731,11,PM2.5,20.0
68034,20150731,12,PCA,-97.33384450257343
68034,20150731,12,PM2.5,26.0
68040,20150731,13,PCA,-102.66436927404679
68040,20150731,13,PM2.5,25.0
68046,20150731,14,PCA,-95.78455508412901
68046,20150731,14,PM2.5,29.0
68052,20150731,15,PCA,-82.80997784881833
68052,20150731,15,PM2.5,43.0
68058,20150731,16,PCA,-55.61306784958307
68058,20150731,16,PM2.5,59.0
68064,20150731,17,PCA,-50.7460060369364
68064,20150731,17,PM2.5,60.0
68070,20150731,18,PCA,-92.36518721315169
68070,20150731,18,PM2.5,39.0
68076,20150731,19,PCA,-87.53969340096258
68076,20150731,19,PM2.5,44.0
68082,20150731,20,PCA,-82.14599657304787
68082,20150731,20,PM2.5,40.0
68088,20150731,21,PCA,-65.00986276880363
68088,20150731,21,PM2.5,55.0
68094,20150731,22,PCA,-54.57191676109501
68094,20150731,22,PM2.5,65.0
68100,20150731,23,PCA,-39.08131107115641
68100,20150731,23,PM2.5,71.0
68106,20150801,0,PCA,-32.64990788205004
68106,20150801,0,PM2.5,78.0
68112,20150801,1,PCA,-27.403892206719053
68112,20150801,1,PM2.5,83.0
68118,20150801,2,PCA,-27.987036556691262
68118,20150801,2,PM2.5,80.0
68124,20150801,3,PCA,-26.550883620769888
68124,20150801,3,PM2.5,83.0
68130,20150801,4,PCA,-23.555401650688466
68130,20150801,4,PM2.5,82.0
68136,20150801,5,PCA,-32.22568646197181
68136,20150801,5,PM2.5,79.0
68142,20150801,6,PCA,-32.17639655361255
68142,20150801,6,PM2.5,79.0
68148,20150801,7,PCA,-28.4670200498881
68148,20150801,7,PM2.5,84.0
68154,20150801,8,PCA,-26.589409450359923
68154,20150801,8,PM2.5,85.0
68160,20150801,9,PCA,-24.815788622633917
68160,20150801,9,PM2.5,88.0
68166,20150801,10,PCA,-23.979163877014567
68166,20150801,10,PM2.5,90.0
68172,20150801,11,PCA,-17.716950062054106
68172,20150801,11,PM2.5,96.0
68178,20150801,12,PCA,-13.525182406673558
68178,20150801,12,PM2.5,99.0
68184,20150801,13,PCA,-7.971270005677545
68184,20150801,13,PM2.5,102.0
68208,20150801,17,PCA,7.569982949881277
68208,20150801,17,PM2.5,108.0
68214,20150801,18,PCA,7.749282806425772
68214,20150801,18,PM2.5,107.0
68220,20150801,19,PCA,16.802845553778702
68220,20150801,19,PM2.5,112.0
68226,20150801,20,PCA,24.4125288692483
68226,20150801,20,PM2.5,115.0
68232,20150801,21,PCA,36.507527719661454
68232,20150801,21,PM2.5,120.0
68238,20150801,22,PCA,40.0348010608958
68238,20150801,22,PM2.5,120.0
68244,20150801,23,PCA,44.033164396045116
68244,20150801,23,PM2.5,115.0
68250,20150802,0,PCA,1.3357900337365858
68250,20150802,0,PM2.5,63.0
68256,20150802,1,PCA,-3.872338114110835
68256,20150802,1,PM2.5,61.0
68262,20150802,2,PCA,2.5107360780488306
68262,20150802,2,PM2.5,68.0
68268,20150802,3,PCA,-0.1916393106717376
68268,20150802,3,PM2.5,66.0
68274,20150802,4,PCA,-24.814319517622224
68274,20150802,4,PM2.5,41.0
68280,20150802,5,PCA,-29.20914352659068
68280,20150802,5,PM2.5,35.0
68286,20150802,6,PCA,-14.974451163470697
68286,20150802,6,PM2.5,51.0
68292,20150802,7,PCA,-7.3699217099038075
68292,20150802,7,PM2.5,66.0
68298,20150802,8,PCA,-6.543123913258054
68298,20150802,8,PM2.5,69.0
68304,20150802,9,PCA,-6.094443963041258
68304,20150802,9,PM2.5,71.0
68310,20150802,10,PCA,-5.346223707469398
68310,20150802,10,PM2.5,71.0
68316,20150802,11,PCA,-2.3821947210384975
68316,20150802,11,PM2.5,77.0
68322,20150802,12,PCA,1.771339835774308
68322,20150802,12,PM2.5,84.0
68328,20150802,13,PCA,6.495554261602187
68328,20150802,13,PM2.5,94.0
68334,20150802,14,PCA,9.794682557259588
68334,20150802,14,PM2.5,104.0
68340,20150802,15,PCA,6.1283754655018186
68340,20150802,15,PM2.5,103.0
68346,20150802,16,PCA,-1.987114515643374
68346,20150802,16,PM2.5,96.0
68352,20150802,17,PCA,-8.293644174182495
68352,20150802,17,PM2.5,90.0
68358,20150802,18,PCA,-10.286642338328225
68358,20150802,18,PM2.5,89.0
68364,20150802,19,PCA,-25.38347541409867
68364,20150802,19,PM2.5,65.0
68370,20150802,20,PCA,-30.442510203788334
68370,20150802,20,PM2.5,55.0
68376,20150802,21,PCA,-22.037487483222602
68376,20150802,21,PM2.5,64.0
68382,20150802,22,PCA,-27.98249182885576
68382,20150802,22,PM2.5,61.0
68388,20150802,23,PCA,-4.724671341021926
68388,20150802,23,PM2.5,88.0
68394,20150803,0,PCA,4.351864748657713
68394,20150803,0,PM2.5,98.0
68400,20150803,1,PCA,4.576047515630861
68400,20150803,1,PM2.5,95.0
68406,20150803,2,PCA,12.89073282277644
68406,20150803,2,PM2.5,101.0
68412,20150803,3,PCA,9.311792077756726
68412,20150803,3,PM2.5,95.0
68418,20150803,4,PCA,3.5918785489706067
68418,20150803,4,PM2.5,85.0
68424,20150803,5,PCA,7.595441979074755
68424,20150803,5,PM2.5,90.0
68430,20150803,6,PCA,2.6385388501646636
68430,20150803,6,PM2.5,81.0
68436,20150803,7,PCA,8.776441613347597
68436,20150803,7,PM2.5,89.0
68442,20150803,8,PCA,23.71085916768573
68442,20150803,8,PM2.5,111.0
68448,20150803,9,PCA,58.40017940716925
68448,20150803,9,PM2.5,156.0
68454,20150803,10,PCA,65.785180334374
68454,20150803,10,PM2.5,162.0
68472,20150803,13,PCA,58.10630228752303
68472,20150803,13,PM2.5,156.0
68478,20150803,14,PCA,44.844669219733134
68478,20150803,14,PM2.5,142.0
68484,20150803,15,PCA,48.91166912127558
68484,20150803,15,PM2.5,142.0
68490,20150803,16,PCA,17.812049455921926
68490,20150803,16,PM2.5,93.0
68496,20150803,17,PCA,-28.0976275650233
68496,20150803,17,PM2.5,28.0
68502,20150803,18,PCA,-41.89019488250826
68502,20150803,18,PM2.5,12.0
68508,20150803,19,PCA,-36.82139401456862
68508,20150803,19,PM2.5,15.0
68514,20150803,20,PCA,-39.58680135673091
68514,20150803,20,PM2.5,12.0
68520,20150803,21,PCA,-36.41839553335562
68520,20150803,21,PM2.5,17.0
68526,20150803,22,PCA,-32.480676160311035
68526,20150803,22,PM2.5,14.0
68532,20150803,23,PCA,-29.598309202706638
68532,20150803,23,PM2.5,14.0
68538,20150804,0,PCA,-40.85218834196896
68538,20150804,0,PM2.5,16.0
68544,20150804,1,PCA,-54.03406233499727
68544,20150804,1,PM2.5,11.0
68550,20150804,2,PCA,-51.8388638254377
68550,20150804,2,PM2.5,14.0
68556,20150804,3,PCA,-50.35868398726176
68556,20150804,3,PM2.5,14.0
68562,20150804,4,PCA,-50.036122012449766
68562,20150804,4,PM2.5,16.0
68568,20150804,5,PCA,-49.453487279728634
68568,20150804,5,PM2.5,20.0
68574,20150804,6,PCA,-51.948010880267205
68574,20150804,6,PM2.5,21.0
68580,20150804,7,PCA,-51.4828541692159
68580,20150804,7,PM2.5,24.0
68586,20150804,8,PCA,-59.759330584233616
68586,20150804,8,PM2.5,22.0
68592,20150804,9,PCA,-71.23939455272951
68592,20150804,9,PM2.5,20.0
68598,20150804,10,PCA,-82.07895881072959
68598,20150804,10,PM2.5,15.0
68604,20150804,11,PCA,-87.1206150934009
68604,20150804,11,PM2.5,19.0
68610,20150804,12,PCA,-85.72056596848844
68610,20150804,12,PM2.5,19.0
68616,20150804,13,PCA,-92.55441515597744
68616,20150804,13,PM2.5,14.0
68622,20150804,14,PCA,-108.05913788537117
68622,20150804,14,PM2.5,15.0
68646,20150804,18,PCA,-104.03896609284129
68646,20150804,18,PM2.5,21.0
68652,20150804,19,PCA,-94.12940745340843
68652,20150804,19,PM2.5,21.0
68658,20150804,20,PCA,-100.34068420650422
68658,20150804,20,PM2.5,24.0
68664,20150804,21,PCA,-91.1970995451131
68664,20150804,21,PM2.5,35.0
68670,20150804,22,PCA,-70.6868571805981
68670,20150804,22,PM2.5,50.0
68676,20150804,23,PCA,-57.27968087091628
68676,20150804,23,PM2.5,54.0
68682,20150805,0,PCA,-53.43955877158127
68682,20150805,0,PM2.5,67.0
68688,20150805,1,PCA,-61.71265430919692
68688,20150805,1,PM2.5,62.0
68694,20150805,2,PCA,-58.5855286895904
68694,20150805,2,PM2.5,66.0
68700,20150805,3,PCA,-49.504879951203336
68700,20150805,3,PM2.5,71.0
68706,20150805,4,PCA,-40.385945252709874
68706,20150805,4,PM2.5,76.0
68712,20150805,5,PCA,-38.89649553645097
68712,20150805,5,PM2.5,76.0
68718,20150805,6,PCA,-38.27133189185973
68718,20150805,6,PM2.5,76.0
68724,20150805,7,PCA,-38.274829146586946
68724,20150805,7,PM2.5,78.0
68730,20150805,8,PCA,-39.834945869872165
68730,20150805,8,PM2.5,78.0
68736,20150805,9,PCA,-38.55353314681646
68736,20150805,9,PM2.5,83.0
68742,20150805,10,PCA,-39.52496526198955
68742,20150805,10,PM2.5,85.0
68790,20150805,18,PCA,-36.82126187427414
68790,20150805,18,PM2.5,69.0
68796,20150805,19,PCA,-43.238299958499695
68796,20150805,19,PM2.5,70.0
68802,20150805,20,PCA,-37.909689040713616
68802,20150805,20,PM2.5,67.0
68808,20150805,21,PCA,-25.103759837313135
68808,20150805,21,PM2.5,77.0
68814,20150805,22,PCA,-13.200454707386529
68814,20150805,22,PM2.5,92.0
68820,20150805,23,PCA,3.764121140133622
68820,20150805,23,PM2.5,110.0
68826,20150806,0,PCA,-56.75372153451716
68826,20150806,0,PM2.5,32.0
68832,20150806,1,PCA,-69.42426427873303
68832,20150806,1,PM2.5,18.0
68838,20150806,2,PCA,-64.93624376624767
68838,20150806,2,PM2.5,19.0
68844,20150806,3,PCA,-58.564206641628665
68844,20150806,3,PM2.5,24.0
68850,20150806,4,PCA,-42.71327920481679
68850,20150806,4,PM2.5,42.0
68856,20150806,5,PCA,-53.93297146451537
68856,20150806,5,PM2.5,28.0
68862,20150806,6,PCA,-55.571844359061004
68862,20150806,6,PM2.5,25.0
68868,20150806,7,PCA,-57.87781821689082
68868,20150806,7,PM2.5,27.0
68874,20150806,8,PCA,-57.69420618587066
68874,20150806,8,PM2.5,27.0
68880,20150806,9,PCA,-64.05146113532336
68880,20150806,9,PM2.5,27.0
68886,20150806,10,PCA,-76.00838376554807
68886,20150806,10,PM2.5,24.0
68892,20150806,11,PCA,-70.75109805282392
68892,20150806,11,PM2.5,38.0
68898,20150806,12,PCA,-60.7907883297905
68898,20150806,12,PM2.5,57.0
68904,20150806,13,PCA,-51.45507180342069
68904,20150806,13,PM2.5,75.0
68910,20150806,14,PCA,-22.78023363126389
68910,20150806,14,PM2.5,100.0
68916,20150806,15,PCA,5.356941051044836
68916,20150806,15,PM2.5,127.0
68922,20150806,16,PCA,-11.890912442088165
68922,20150806,16,PM2.5,108.0
68928,20150806,17,PCA,-59.074770715486515
68928,20150806,17,PM2.5,61.0
68934,20150806,18,PCA,-61.72181969749379
68934,20150806,18,PM2.5,57.0
68940,20150806,19,PCA,-52.459924129587165
68940,20150806,19,PM2.5,67.0
68946,20150806,20,PCA,-50.71063888853543
68946,20150806,20,PM2.5,66.0
68952,20150806,21,PCA,-54.27635970057443
68952,20150806,21,PM2.5,57.0
68958,20150806,22,PCA,-42.448394393600395
68958,20150806,22,PM2.5,70.0
68964,20150806,23,PCA,-29.104035989919876
68964,20150806,23,PM2.5,87.0
68970,20150807,0,PCA,-4.418212644899431
68970,20150807,0,PM2.5,115.0
68976,20150807,1,PCA,11.220981026909365
68976,20150807,1,PM2.5,130.0
68982,20150807,2,PCA,14.471228204163465
68982,20150807,2,PM2.5,126.0
68988,20150807,3,PCA,0.7909221187281648
68988,20150807,3,PM2.5,105.0
68994,20150807,4,PCA,-5.93344245203207
68994,20150807,4,PM2.5,84.0
69000,20150807,5,PCA,-13.168824999969523
69000,20150807,5,PM2.5,72.0
69006,20150807,6,PCA,-3.2529889253389497
69006,20150807,6,PM2.5,82.0
69012,20150807,7,PCA,-5.010794966359577
69012,20150807,7,PM2.5,82.0
69018,20150807,8,PCA,-7.458936542926521
69018,20150807,8,PM2.5,77.0
69024,20150807,9,PCA,-3.374599337967067
69024,20150807,9,PM2.5,84.0
69030,20150807,10,PCA,1.10786372176151
69030,20150807,10,PM2.5,92.0
69036,20150807,11,PCA,7.010814394999985
69036,20150807,11,PM2.5,103.0
69042,20150807,12,PCA,8.151270090203282
69042,20150807,12,PM2.5,108.0
69048,20150807,13,PCA,3.361587050278852
69048,20150807,13,PM2.5,104.0
69054,20150807,14,PCA,1.1861902074842436
69054,20150807,14,PM2.5,103.0
69060,20150807,15,PCA,-3.681707621417779
69060,20150807,15,PM2.5,99.0
69066,20150807,16,PCA,4.777282682638355
69066,20150807,16,PM2.5,114.0
69072,20150807,17,PCA,-17.560023891822407
69072,20150807,17,PM2.5,83.0
69078,20150807,18,PCA,-24.897015646250054
69078,20150807,18,PM2.5,65.0
69084,20150807,19,PCA,-19.987286275384196
69084,20150807,19,PM2.5,66.0
69090,20150807,20,PCA,-16.407518426957065
69090,20150807,20,PM2.5,65.0
69108,20150807,23,PCA,-51.59790734712101
69108,20150807,23,PM2.5,17.0
69114,20150808,0,PCA,-43.88313215445364
69114,20150808,0,PM2.5,30.0
69120,20150808,1,PCA,-34.24310102468872
69120,20150808,1,PM2.5,40.0
69126,20150808,2,PCA,-27.434662081153554
69126,20150808,2,PM2.5,47.0
69132,20150808,3,PCA,-25.688143521810776
69132,20150808,3,PM2.5,48.0
69138,20150808,4,PCA,-23.426327742782473
69138,20150808,4,PM2.5,49.0
69144,20150808,5,PCA,-21.165636101494783
69144,20150808,5,PM2.5,53.0
69150,20150808,6,PCA,-23.91284235894418
69150,20150808,6,PM2.5,48.0
69156,20150808,7,PCA,-23.279673273026237
69156,20150808,7,PM2.5,51.0
69162,20150808,8,PCA,-28.768717058743036
69162,20150808,8,PM2.5,52.0
69168,20150808,9,PCA,-38.14202561873791
69168,20150808,9,PM2.5,46.0
69174,20150808,10,PCA,-45.665001056649736
69174,20150808,10,PM2.5,46.0
69180,20150808,11,PCA,-56.68543060713706
69180,20150808,11,PM2.5,43.0
69186,20150808,12,PCA,-63.064178103148826
69186,20150808,12,PM2.5,45.0
69192,20150808,13,PCA,-67.13063291653442
69192,20150808,13,PM2.5,48.0
69198,20150808,14,PCA,-52.60221406514171
69198,20150808,14,PM2.5,50.0
69204,20150808,15,PCA,-62.20361823029956
69204,20150808,15,PM2.5,51.0
69210,20150808,16,PCA,-63.45511339629262
69210,20150808,16,PM2.5,50.0
69216,20150808,17,PCA,-48.756408473257444
69216,20150808,17,PM2.5,61.0
69222,20150808,18,PCA,-47.68872506497796
69222,20150808,18,PM2.5,62.0
69228,20150808,19,PCA,-62.070830429638384
69228,20150808,19,PM2.5,64.0
69234,20150808,20,PCA,-50.16083033217745
69234,20150808,20,PM2.5,69.0
69240,20150808,21,PCA,-37.09993707709712
69240,20150808,21,PM2.5,81.0
69246,20150808,22,PCA,-15.295249621880448
69246,20150808,22,PM2.5,108.0
69252,20150808,23,PCA,10.485112179422652
69252,20150808,23,PM2.5,133.0
69258,20150809,0,PCA,4.831482385406713
69258,20150809,0,PM2.5,114.0
69264,20150809,1,PCA,-1.1287996894367083
69264,20150809,1,PM2.5,96.0
69270,20150809,2,PCA,-1.2726917320522095
69270,20150809,2,PM2.5,92.0
69276,20150809,3,PCA,4.992625493072892
69276,20150809,3,PM2.5,94.0
69282,20150809,4,PCA,6.550772939893439
69282,20150809,4,PM2.5,94.0
69288,20150809,5,PCA,0.00862725065996505
69288,20150809,5,PM2.5,85.0
69294,20150809,6,PCA,1.43981611776009
69294,20150809,6,PM2.5,87.0
69300,20150809,7,PCA,8.711283857614099
69300,20150809,7,PM2.5,95.0
69306,20150809,8,PCA,29.427334713453476
69306,20150809,8,PM2.5,123.0
69312,20150809,9,PCA,51.65027295779881
69312,20150809,9,PM2.5,152.0
69318,20150809,10,PCA,52.321548260352856
69318,20150809,10,PM2.5,157.0
69324,20150809,11,PCA,28.42118645291364
69324,20150809,11,PM2.5,136.0
69330,20150809,12,PCA,11.24436722313935
69330,20150809,12,PM2.5,116.0
69336,20150809,13,PCA,-18.64045984889244
69336,20150809,13,PM2.5,78.0
69342,20150809,14,PCA,-28.787946803183097
69342,20150809,14,PM2.5,65.0
69348,20150809,15,PCA,-18.891498808504036
69348,20150809,15,PM2.5,77.0
69354,20150809,16,PCA,-22.069432318773014
69354,20150809,16,PM2.5,74.0
69360,20150809,17,PCA,-21.633111072784196
69360,20150809,17,PM2.5,74.0
69366,20150809,18,PCA,-15.821881766185093
69366,20150809,18,PM2.5,73.0
69372,20150809,19,PCA,-14.253621850191534
69372,20150809,19,PM2.5,68.0
69378,20150809,20,PCA,-2.0895314246541803
69378,20150809,20,PM2.5,75.0
69384,20150809,21,PCA,13.30701716553318
69384,20150809,21,PM2.5,90.0
69390,20150809,22,PCA,26.390653144705713
69390,20150809,22,PM2.5,102.0
69396,20150809,23,PCA,38.88282923240092
69396,20150809,23,PM2.5,119.0
69402,20150810,0,PCA,49.08886056927535
69402,20150810,0,PM2.5,129.0
69408,20150810,1,PCA,59.02883671840793
69408,20150810,1,PM2.5,137.0
69414,20150810,2,PCA,50.32468410784376
69414,20150810,2,PM2.5,123.0
69420,20150810,3,PCA,47.816903749162655
69420,20150810,3,PM2.5,125.0
69426,20150810,4,PCA,63.418993048204584
69426,20150810,4,PM2.5,136.0
69432,20150810,5,PCA,78.28223228493586
69432,20150810,5,PM2.5,151.0
69438,20150810,6,PCA,88.36486602780576
69438,20150810,6,PM2.5,163.0
69444,20150810,7,PCA,83.32260693623404
69444,20150810,7,PM2.5,156.0
69450,20150810,8,PCA,74.06435413395334
69450,20150810,8,PM2.5,142.0
69456,20150810,9,PCA,35.42617828334166
69456,20150810,9,PM2.5,102.0
69462,20150810,10,PCA,30.11810811447525
69462,20150810,10,PM2.5,107.0
69468,20150810,11,PCA,8.20078435888678
69468,20150810,11,PM2.5,91.0
69474,20150810,12,PCA,-19.747616951168823
69474,20150810,12,PM2.5,59.0
69480,20150810,13,PCA,-21.717927136871726
69480,20150810,13,PM2.5,61.0
69486,20150810,14,PCA,-33.7165403639215
69486,20150810,14,PM2.5,44.0
69492,20150810,15,PCA,-34.14211145687222
69492,20150810,15,PM2.5,46.0
69498,20150810,16,PCA,-37.91603789634159
69498,20150810,16,PM2.5,41.0
69504,20150810,17,PCA,-45.34988432377052
69504,20150810,17,PM2.5,29.0
69510,20150810,18,PCA,-44.40055927564609
69510,20150810,18,PM2.5,31.0
69516,20150810,19,PCA,-22.064451679157727
69516,20150810,19,PM2.5,66.0
69522,20150810,20,PCA,-10.512860681865488
69522,20150810,20,PM2.5,69.0
69528,20150810,21,PCA,6.823780276427543
69528,20150810,21,PM2.5,94.0
69534,20150810,22,PCA,7.093621660220691
69534,20150810,22,PM2.5,97.0
69540,20150810,23,PCA,36.027570555715535
69540,20150810,23,PM2.5,129.0
69546,20150811,0,PCA,68.22040449303051
69546,20150811,0,PM2.5,167.0
69552,20150811,1,PCA,50.283738583408855
69552,20150811,1,PM2.5,137.0
69558,20150811,2,PCA,48.95694332863279
69558,20150811,2,PM2.5,134.0
69564,20150811,3,PCA,53.15842128680777
69564,20150811,3,PM2.5,140.0
69570,20150811,4,PCA,45.66358050145072
69570,20150811,4,PM2.5,124.0
69576,20150811,5,PCA,44.26784690191916
69576,20150811,5,PM2.5,117.0
69582,20150811,6,PCA,31.983185333951603
69582,20150811,6,PM2.5,101.0
69588,20150811,7,PCA,25.03851793261305
69588,20150811,7,PM2.5,96.0
69594,20150811,8,PCA,22.15663301343788
69594,20150811,8,PM2.5,98.0
69600,20150811,9,PCA,39.733902254889784
69600,20150811,9,PM2.5,130.0
69606,20150811,10,PCA,18.947943389043616
69606,20150811,10,PM2.5,111.0
69612,20150811,11,PCA,8.498405600532607
69612,20150811,11,PM2.5,109.0
69618,20150811,12,PCA,9.73637093429174
69618,20150811,12,PM2.5,118.0
69624,20150811,13,PCA,2.58211563908419
69624,20150811,13,PM2.5,111.0
69630,20150811,14,PCA,-1.6286030827863287
69630,20150811,14,PM2.5,103.0
69636,20150811,15,PCA,-7.756562242120933
69636,20150811,15,PM2.5,86.0
69642,20150811,16,PCA,-8.00004792805799
69642,20150811,16,PM2.5,88.0
69648,20150811,17,PCA,-9.85265249769339
69648,20150811,17,PM2.5,83.0
69654,20150811,18,PCA,-13.711607084216613
69654,20150811,18,PM2.5,68.0
69660,20150811,19,PCA,-14.098857057346889
69660,20150811,19,PM2.5,59.0
69666,20150811,20,PCA,8.374725428556811
69666,20150811,20,PM2.5,88.0
69672,20150811,21,PCA,12.777460265017785
69672,20150811,21,PM2.5,86.0
69678,20150811,22,PCA,18.74488745692173
69678,20150811,22,PM2.5,87.0
69684,20150811,23,PCA,25.851511949836844
69684,20150811,23,PM2.5,90.0
69690,20150812,0,PCA,22.034979406647587
69690,20150812,0,PM2.5,88.0
69696,20150812,1,PCA,12.783209475330146
69696,20150812,1,PM2.5,83.0
69702,20150812,2,PCA,16.84377019132746
69702,20150812,2,PM2.5,88.0
69708,20150812,3,PCA,17.89022885781792
69708,20150812,3,PM2.5,88.0
69714,20150812,4,PCA,24.032133904918865
69714,20150812,4,PM2.5,98.0
69720,20150812,5,PCA,24.64097401904431
69720,20150812,5,PM2.5,95.0
69726,20150812,6,PCA,17.672943965224903
69726,20150812,6,PM2.5,88.0
69732,20150812,7,PCA,22.758794068748138
69732,20150812,7,PM2.5,94.0
69738,20150812,8,PCA,50.70068864503666
69738,20150812,8,PM2.5,129.0
69744,20150812,9,PCA,62.11145500802483
69744,20150812,9,PM2.5,146.0
69750,20150812,10,PCA,65.964428038206
69750,20150812,10,PM2.5,160.0
69756,20150812,11,PCA,46.55337206689455
69756,20150812,11,PM2.5,147.0
69762,20150812,12,PCA,18.09664545647567
69762,20150812,12,PM2.5,120.0
69768,20150812,13,PCA,-3.6649207203577694
69768,20150812,13,PM2.5,95.0
69774,20150812,14,PCA,-14.884997029584737
69774,20150812,14,PM2.5,84.0
69780,20150812,15,PCA,-15.519577167745854
69780,20150812,15,PM2.5,84.0
69786,20150812,16,PCA,-11.84472813946519
69786,20150812,16,PM2.5,92.0
69792,20150812,17,PCA,-8.746921245039568
69792,20150812,17,PM2.5,94.0
69798,20150812,18,PCA,-6.030252473041455
69798,20150812,18,PM2.5,93.0
69804,20150812,19,PCA,0.35682420396141346
69804,20150812,19,PM2.5,96.0
69810,20150812,20,PCA,11.133075473986109
69810,20150812,20,PM2.5,107.0
69816,20150812,21,PCA,13.710481030557162
69816,20150812,21,PM2.5,104.0
69822,20150812,22,PCA,19.13609781128697
69822,20150812,22,PM2.5,106.0
69828,20150812,23,PCA,27.67515561613976
69828,20150812,23,PM2.5,110.0
69834,20150813,0,PCA,29.278128523790034
69834,20150813,0,PM2.5,109.0
69840,20150813,1,PCA,33.116593758409664
69840,20150813,1,PM2.5,107.0
69846,20150813,2,PCA,39.05550125577766
69846,20150813,2,PM2.5,111.0
69852,20150813,3,PCA,47.88263126734672
69852,20150813,3,PM2.5,117.0
69858,20150813,4,PCA,66.17411726884077
69858,20150813,4,PM2.5,136.0
69864,20150813,5,PCA,73.74027242985683
69864,20150813,5,PM2.5,143.0
69870,20150813,6,PCA,75.60699398032996
69870,20150813,6,PM2.5,142.0
69876,20150813,7,PCA,82.6840981818697
69876,20150813,7,PM2.5,150.0
69882,20150813,8,PCA,82.67803585167512
69882,20150813,8,PM2.5,153.0
69888,20150813,9,PCA,78.24607150466389
69888,20150813,9,PM2.5,156.0
69894,20150813,10,PCA,75.5079155940058
69894,20150813,10,PM2.5,163.0
69900,20150813,11,PCA,69.01217333644259
69900,20150813,11,PM2.5,163.0
69906,20150813,12,PCA,54.96593728687955
69906,20150813,12,PM2.5,151.0
69912,20150813,13,PCA,39.97191479593234
69912,20150813,13,PM2.5,133.0
69918,20150813,14,PCA,42.29947952872508
69918,20150813,14,PM2.5,136.0
69924,20150813,15,PCA,43.291244946654444
69924,20150813,15,PM2.5,136.0
69930,20150813,16,PCA,28.459516143172642
69930,20150813,16,PM2.5,113.0
69936,20150813,17,PCA,16.292186806136005
69936,20150813,17,PM2.5,95.0
69942,20150813,18,PCA,23.113973116747516
69942,20150813,18,PM2.5,108.0
69948,20150813,19,PCA,20.132495789544727
69948,20150813,19,PM2.5,97.0
69954,20150813,20,PCA,26.032699985376205
69954,20150813,20,PM2.5,95.0
69960,20150813,21,PCA,21.848084873081216
69960,20150813,21,PM2.5,86.0
69966,20150813,22,PCA,23.214537406037262
69966,20150813,22,PM2.5,86.0
69972,20150813,23,PCA,30.696348684013458
69972,20150813,23,PM2.5,91.0
69978,20150814,0,PCA,29.939829457730557
69978,20150814,0,PM2.5,90.0
69984,20150814,1,PCA,29.256866254101382
69984,20150814,1,PM2.5,92.0
69990,20150814,2,PCA,29.380326705603924
69990,20150814,2,PM2.5,93.0
69996,20150814,3,PCA,43.51753332673931
69996,20150814,3,PM2.5,106.0
70002,20150814,4,PCA,55.03935597013693
70002,20150814,4,PM2.5,119.0
70008,20150814,5,PCA,64.95318418746412
70008,20150814,5,PM2.5,133.0
70014,20150814,6,PCA,65.62367291417681
70014,20150814,6,PM2.5,132.0
70020,20150814,7,PCA,69.06613822198536
70020,20150814,7,PM2.5,134.0
70026,20150814,8,PCA,73.72277905499217
70026,20150814,8,PM2.5,141.0
70032,20150814,9,PCA,39.87591052414973
70032,20150814,9,PM2.5,107.0
70038,20150814,10,PCA,-32.30767089568068
70038,20150814,10,PM2.5,24.0
70044,20150814,11,PCA,-40.662533094216684
70044,20150814,11,PM2.5,23.0
70050,20150814,12,PCA,-46.96653099750141
70050,20150814,12,PM2.5,20.0
70056,20150814,13,PCA,-48.802269176260886
70056,20150814,13,PM2.5,24.0
70062,20150814,14,PCA,-50.41506903288473
70062,20150814,14,PM2.5,26.0
70068,20150814,15,PCA,-51.26774122387027
70068,20150814,15,PM2.5,29.0
70074,20150814,16,PCA,-50.9445018710707
70074,20150814,16,PM2.5,32.0
70080,20150814,17,PCA,-56.19164506521984
70080,20150814,17,PM2.5,29.0
