,date,hour,type,永乐店
522,20140405,15,PM2.5,6.0
528,20140405,16,PCA,-75.61241467283979
528,20140405,16,PM2.5,13.0
534,20140405,17,PCA,-80.80553200045608
534,20140405,17,PM2.5,8.0
540,20140405,18,PCA,-76.11379682608064
540,20140405,18,PM2.5,16.0
546,20140405,19,PCA,-73.32765461712953
546,20140405,19,PM2.5,23.0
552,20140405,20,PCA,-68.35802496306952
552,20140405,20,PM2.5,31.0
558,20140405,21,PCA,-63.85492671921194
558,20140405,21,PM2.5,38.0
564,20140405,22,PCA,-55.51566857910057
564,20140405,22,PM2.5,43.0
570,20140405,23,PCA,-48.05140089737392
570,20140405,23,PM2.5,45.0
576,20140406,0,PCA,-46.512781641770594
576,20140406,0,PM2.5,49.0
582,20140406,1,PCA,-42.61959999521436
582,20140406,1,PM2.5,56.0
588,20140406,2,PCA,-35.128367642410396
588,20140406,2,PM2.5,64.0
594,20140406,3,PCA,-27.637135289606427
594,20140406,3,PM2.5,72.0
600,20140406,4,PCA,-31.604329513603652
600,20140406,4,PM2.5,61.0
606,20140406,5,PCA,-27.42777983986829
606,20140406,5,PM2.5,60.0
612,20140406,6,PCA,-16.136460815061707
612,20140406,6,PM2.5,70.0
618,20140406,7,PCA,-7.828853691535275
618,20140406,7,PM2.5,82.0
624,20140406,8,PCA,-15.703795802000371
624,20140406,8,PM2.5,76.0
630,20140406,9,PCA,-27.50625175682506
630,20140406,9,PM2.5,71.0
636,20140406,10,PCA,-37.45345072655534
636,20140406,10,PM2.5,62.0
642,20140406,11,PCA,-51.8870180570889
642,20140406,11,PM2.5,48.0
648,20140406,12,PCA,-66.32058538762244
648,20140406,12,PM2.5,34.0
654,20140406,13,PCA,-64.77258676306693
654,20140406,13,PM2.5,40.0
660,20140406,14,PCA,-75.85061410547247
660,20140406,14,PM2.5,26.0
666,20140406,15,PCA,-68.51605831683386
666,20140406,15,PM2.5,36.0
672,20140406,16,PCA,-66.67301404473284
672,20140406,16,PM2.5,35.0
678,20140406,17,PCA,-53.596449634297684
678,20140406,17,PM2.5,51.0
684,20140408,10,PCA,150.97999801001373
684,20140408,10,PM2.5,211.0
690,20140408,11,PCA,143.9454294738037
690,20140408,11,PM2.5,205.0
696,20140408,12,PCA,125.96881935832428
696,20140408,12,PM2.5,186.0
702,20140408,13,PCA,138.62738526014093
702,20140408,13,PM2.5,204.0
708,20140408,14,PCA,132.33419196666125
708,20140408,14,PM2.5,205.0
714,20140408,15,PCA,102.89348510780293
714,20140408,15,PM2.5,171.0
720,20140408,16,PCA,102.59114858345384
720,20140408,16,PM2.5,168.0
726,20140408,17,PCA,71.5127833448771
726,20140408,17,PM2.5,123.0
732,20140408,18,PCA,78.60962723787
732,20140408,18,PM2.5,125.0
738,20140408,19,PCA,89.22505415571497
738,20140408,19,PM2.5,130.0
744,20140408,20,PCA,92.78628891160062
744,20140408,20,PM2.5,129.0
750,20140408,21,PCA,92.43071035669641
750,20140408,21,PM2.5,128.0
756,20140408,22,PCA,84.12633839048208
756,20140408,22,PM2.5,117.0
762,20140408,23,PCA,75.4186041697649
762,20140408,23,PM2.5,106.0
768,20140409,0,PCA,65.25144560209775
768,20140409,0,PM2.5,96.0
774,20140409,1,PCA,67.05803193422658
774,20140409,1,PM2.5,97.0
780,20140409,2,PCA,64.68532846896889
780,20140409,2,PM2.5,95.0
786,20140409,3,PCA,65.21289059019146
786,20140409,3,PM2.5,99.0
792,20140409,4,PCA,74.51417104344776
792,20140409,4,PM2.5,114.0
798,20140409,5,PCA,77.73126997012206
798,20140409,5,PM2.5,120.0
804,20140409,6,PCA,86.2610790334459
804,20140409,6,PM2.5,130.0
810,20140409,7,PCA,96.27737565919446
810,20140409,7,PM2.5,142.0
816,20140409,8,PCA,103.82671610923116
816,20140409,8,PM2.5,153.0
822,20140409,9,PCA,108.9370913911555
822,20140409,9,PM2.5,164.0
828,20140409,10,PCA,120.24391429091628
828,20140409,10,PM2.5,183.0
834,20140409,11,PCA,121.87963185789823
834,20140409,11,PM2.5,192.0
840,20140409,12,PCA,106.65521484424886
840,20140409,12,PM2.5,176.0
846,20140409,13,PCA,18.797524149083298
846,20140409,13,PM2.5,67.0
852,20140409,14,PCA,1.2920041256199744
852,20140409,14,PM2.5,53.0
858,20140409,15,PCA,-9.14318404300819
858,20140409,15,PM2.5,46.0
864,20140409,16,PCA,-9.969499662646948
864,20140409,16,PM2.5,53.0
870,20140409,17,PCA,125.33674086932054
870,20140409,17,PM2.5,236.0
876,20140409,18,PCA,19.758372927421135
876,20140409,18,PM2.5,84.0
882,20140409,19,PCA,67.18959370677798
882,20140409,19,PM2.5,151.0
888,20140409,20,PCA,66.44618748341578
888,20140409,20,PM2.5,145.0
894,20140409,21,PCA,52.09422001907654
894,20140409,21,PM2.5,119.0
900,20140409,22,PCA,75.19318021931224
900,20140409,22,PM2.5,142.0
906,20140409,23,PCA,80.15289701150105
906,20140409,23,PM2.5,146.0
912,20140410,0,PCA,67.09783176250679
912,20140410,0,PM2.5,126.0
918,20140410,1,PCA,59.817928383671486
918,20140410,1,PM2.5,114.0
924,20140410,2,PCA,60.12542464989217
924,20140410,2,PM2.5,112.0
930,20140410,3,PCA,60.07032230018339
930,20140410,3,PM2.5,111.0
936,20140410,4,PCA,53.261190722075575
936,20140410,4,PM2.5,104.0
942,20140410,5,PCA,53.18984716180969
942,20140410,5,PM2.5,100.0
948,20140410,6,PCA,48.7138874993803
948,20140410,6,PM2.5,88.0
954,20140410,7,PCA,54.606920144788226
954,20140410,7,PM2.5,81.0
960,20140410,8,PCA,56.86671987497335
960,20140410,8,PM2.5,83.0
966,20140410,9,PCA,77.67714381028176
966,20140410,9,PM2.5,106.0
972,20140410,10,PCA,105.01690817176781
972,20140410,10,PM2.5,134.0
978,20140410,11,PCA,88.68235844796443
978,20140410,11,PM2.5,93.0
984,20140410,12,PCA,97.4200028680775
984,20140410,12,PM2.5,90.0
990,20140410,13,PCA,99.9200659216237
990,20140410,13,PM2.5,82.0
996,20140410,14,PCA,100.09458541884969
996,20140410,14,PM2.5,77.0
1002,20140410,15,PCA,93.31147151823362
1002,20140410,15,PM2.5,65.0
1008,20140410,16,PCA,104.22988636351728
1008,20140410,16,PM2.5,71.0
1014,20140410,17,PCA,108.69306509320197
1014,20140410,17,PM2.5,76.0
1020,20140410,18,PCA,99.67283944497659
1020,20140410,18,PM2.5,67.0
1026,20140410,19,PCA,93.75398715768065
1026,20140410,19,PM2.5,69.0
1032,20140410,20,PCA,98.10668677923127
1032,20140410,20,PM2.5,71.0
1038,20140410,21,PCA,99.19064060677007
1038,20140410,21,PM2.5,75.0
1044,20140410,22,PCA,94.2704225975509
1044,20140410,22,PM2.5,70.0
1050,20140410,23,PCA,82.67166084553692
1050,20140410,23,PM2.5,59.0
1056,20140411,0,PCA,71.39562206243663
1056,20140411,0,PM2.5,54.0
1062,20140411,1,PCA,66.7845451613726
1062,20140411,1,PM2.5,60.0
1068,20140411,2,PCA,60.19770510908528
1068,20140411,2,PM2.5,64.0
1074,20140411,3,PCA,62.546175750233076
1074,20140411,3,PM2.5,73.0
1080,20140411,4,PCA,62.32033523144916
1080,20140411,4,PM2.5,78.0
1086,20140411,5,PCA,66.25153416209086
1086,20140411,5,PM2.5,87.0
1092,20140411,6,PCA,70.18640100850848
1092,20140411,6,PM2.5,98.0
1098,20140411,7,PCA,61.87548852037727
1098,20140411,7,PM2.5,93.0
1104,20140411,8,PCA,41.42477593192269
1104,20140411,8,PM2.5,72.0
1110,20140411,9,PCA,39.1512182671221
1110,20140411,9,PM2.5,79.0
1116,20140411,10,PCA,29.48750148842637
1116,20140411,10,PM2.5,77.0
1122,20140411,11,PCA,14.78508963675387
1122,20140411,11,PM2.5,71.0
1128,20140411,12,PCA,-20.552555708585743
1128,20140411,12,PM2.5,43.0
1134,20140411,13,PCA,-42.34496374059314
1134,20140411,13,PM2.5,28.0
1140,20140411,14,PCA,-27.753664324765207
1140,20140411,14,PM2.5,48.0
1146,20140411,15,PCA,-35.086156895670435
1146,20140411,15,PM2.5,44.0
1152,20140411,16,PCA,-43.19720106694879
1152,20140411,16,PM2.5,38.0
1158,20140411,17,PCA,-40.132344189243334
1158,20140411,17,PM2.5,44.0
1164,20140411,18,PCA,-28.384561941654045
1164,20140411,18,PM2.5,57.0
1170,20140411,19,PCA,-6.5505821244000515
1170,20140411,19,PM2.5,79.0
1176,20140411,20,PCA,-1.8232212219030461
1176,20140411,20,PM2.5,84.0
1182,20140411,21,PCA,5.209665424414694
1182,20140411,21,PM2.5,93.0
1188,20140411,22,PCA,8.415560343080214
1188,20140411,22,PM2.5,96.0
1194,20140411,23,PCA,12.662027861903645
1194,20140411,23,PM2.5,97.0
1200,20140412,0,PCA,13.692159131605694
1200,20140412,0,PM2.5,98.0
1206,20140412,1,PCA,21.46452779140365
1206,20140412,1,PM2.5,107.0
1212,20140412,2,PCA,27.5483188545006
1212,20140412,2,PM2.5,115.0
1218,20140412,3,PCA,24.751571268497237
1218,20140412,3,PM2.5,113.0
1224,20140412,4,PCA,24.580738344325457
1224,20140412,4,PM2.5,111.0
1230,20140412,5,PCA,25.581443757861404
1230,20140412,5,PM2.5,114.0
1236,20140412,6,PCA,14.240632065123119
1236,20140412,6,PM2.5,101.0
1242,20140412,7,PCA,24.01215231344021
1242,20140412,7,PM2.5,110.0
1248,20140412,8,PCA,51.140960788878125
1248,20140412,8,PM2.5,139.0
1254,20140412,9,PCA,34.07980981306197
1254,20140412,9,PM2.5,117.5
1260,20140412,10,PCA,15.649118582732964
1260,20140412,10,PM2.5,96.0
1266,20140412,11,PCA,0.3321950988534883
1266,20140412,11,PM2.5,87.0
