,date,hour,type,密云水库
68262,20150802,2,PM2.5,32.0
68268,20150802,3,PCA,-19.063034707683205
68268,20150802,3,PM2.5,21.0
68274,20150802,4,PCA,-18.679899410120992
68274,20150802,4,PM2.5,22.0
68280,20150802,5,PCA,-25.299751956429773
68280,20150802,5,PM2.5,14.0
68286,20150802,6,PCA,-24.599813443162912
68286,20150802,6,PM2.5,17.0
68292,20150802,7,PCA,-23.732592638953644
68292,20150802,7,PM2.5,21.0
68298,20150802,8,PCA,-27.493236091575515
68298,20150802,8,PM2.5,16.0
68304,20150802,9,PCA,-22.882124429043493
68304,20150802,9,PM2.5,26.0
68310,20150802,10,PCA,-22.926009559654855
68310,20150802,10,PM2.5,27.0
68316,20150802,11,PCA,-13.317308844987814
68316,20150802,11,PM2.5,41.0
68322,20150802,12,PCA,-8.94154179693997
68322,20150802,12,PM2.5,44.0
68328,20150802,13,PCA,-14.058946398199998
68328,20150802,13,PM2.5,34.0
68334,20150802,14,PCA,-13.981616965578747
68334,20150802,14,PM2.5,33.0
68340,20150802,15,PCA,-18.612284616131113
68340,20150802,15,PM2.5,27.0
68346,20150802,16,PCA,-14.498590252073482
68346,20150802,16,PM2.5,31.0
68352,20150802,17,PCA,-6.1496776958983626
68352,20150802,17,PM2.5,42.0
68358,20150802,18,PCA,-9.56398110408231
68358,20150802,18,PM2.5,41.0
68364,20150802,19,PCA,2.560780028813201
68364,20150802,19,PM2.5,59.0
68370,20150802,20,PCA,4.326553087805191
68370,20150802,20,PM2.5,65.0
68376,20150802,21,PCA,10.045828097399472
68376,20150802,21,PM2.5,76.0
68382,20150802,22,PCA,10.460921113359328
68382,20150802,22,PM2.5,78.0
68388,20150802,23,PCA,9.896702780369804
68388,20150802,23,PM2.5,79.0
68394,20150803,0,PCA,15.878598031347483
68394,20150803,0,PM2.5,89.0
68400,20150803,1,PCA,25.70283899423947
68400,20150803,1,PM2.5,107.0
68406,20150803,2,PCA,27.371814646144834
68406,20150803,2,PM2.5,108.0
68412,20150803,3,PCA,20.081527922829803
68412,20150803,3,PM2.5,94.0
68418,20150803,4,PCA,12.51548124091161
68418,20150803,4,PM2.5,75.0
68424,20150803,5,PCA,20.33130911080436
68424,20150803,5,PM2.5,83.0
68430,20150803,6,PCA,-6.847938212409682
68430,20150803,6,PM2.5,39.0
68436,20150803,7,PCA,-24.52414450656388
68436,20150803,7,PM2.5,11.0
68442,20150803,8,PCA,-22.638713213613507
68442,20150803,8,PM2.5,14.0
68448,20150803,9,PCA,-18.404503793377067
68448,20150803,9,PM2.5,20.0
68454,20150803,10,PCA,-0.3389291463940112
68454,20150803,10,PM2.5,46.0
68460,20150803,11,PCA,-20.51420374531231
68460,20150803,11,PM2.5,16.0
68466,20150803,12,PCA,-13.341351912100272
68466,20150803,12,PM2.5,25.0
68472,20150803,13,PCA,-21.071401946476758
68472,20150803,13,PM2.5,17.0
68478,20150803,14,PCA,-26.083648565317098
68478,20150803,14,PM2.5,11.0
68484,20150803,15,PCA,-25.340372478832062
68484,20150803,15,PM2.5,13.0
68490,20150803,16,PCA,-29.29527880904796
68490,20150803,16,PM2.5,3.0
68496,20150803,17,PCA,-32.10373458995906
68496,20150803,17,PM2.5,3.0
68502,20150803,18,PCA,-27.67277579570893
68502,20150803,18,PM2.5,10.0
68508,20150803,19,PCA,-33.424859980415256
68508,20150803,19,PM2.5,6.0
68514,20150803,20,PCA,-38.46633416316163
68514,20150803,20,PM2.5,3.0
68520,20150803,21,PCA,-45.457619783709156
68520,20150803,21,PM2.5,3.0
68526,20150803,22,PCA,-45.12943671318397
68526,20150803,22,PM2.5,3.0
68532,20150803,23,PCA,-48.16776794052238
68532,20150803,23,PM2.5,8.0
68538,20150804,0,PCA,-50.5651776700742
68538,20150804,0,PM2.5,8.0
68544,20150804,1,PCA,-58.346193853475484
68544,20150804,1,PM2.5,3.0
68550,20150804,2,PCA,-62.69396257822163
68550,20150804,2,PM2.5,6.0
68556,20150804,3,PCA,-67.8671708632331
68556,20150804,3,PM2.5,3.0
68562,20150804,4,PCA,-68.37416330901489
68562,20150804,4,PM2.5,7.0
68568,20150804,5,PCA,-74.288543793844
68568,20150804,5,PM2.5,3.0
68574,20150804,6,PCA,-70.05277804433332
68574,20150804,6,PM2.5,10.0
68580,20150804,7,PCA,-73.09673038938921
68580,20150804,7,PM2.5,7.0
68586,20150804,8,PCA,-72.85500076997778
68586,20150804,8,PM2.5,7.0
68592,20150804,9,PCA,-75.45025498832968
68592,20150804,9,PM2.5,6.0
68598,20150804,10,PCA,-70.20525081890978
68598,20150804,10,PM2.5,7.0
68604,20150804,11,PCA,-61.01641627477328
68604,20150804,11,PM2.5,12.0
68610,20150804,12,PCA,-60.25514052954214
68610,20150804,12,PM2.5,9.0
68616,20150804,13,PCA,-56.20420560090507
68616,20150804,13,PM2.5,9.0
68622,20150804,14,PCA,-44.943410749682705
68622,20150804,14,PM2.5,9.0
68628,20150804,15,PCA,-30.079616689063734
68628,20150804,15,PM2.5,20.0
68634,20150804,16,PCA,-6.757398105696695
68634,20150804,16,PM2.5,22.0
68640,20150804,17,PCA,45.71081537729009
68640,20150804,17,PM2.5,26.0
68646,20150804,18,PCA,40.2979813595346
68646,20150804,18,PM2.5,24.0
68652,20150804,19,PCA,50.55967058122129
68652,20150804,19,PM2.5,32.0
68658,20150804,20,PCA,33.80107484474193
68658,20150804,20,PM2.5,29.0
68664,20150804,21,PCA,12.103211058121675
68664,20150804,21,PM2.5,25.0
68670,20150804,22,PCA,-17.69619672370214
68670,20150804,22,PM2.5,23.0
68676,20150804,23,PCA,-15.492953443166074
68676,20150804,23,PM2.5,29.0
68682,20150805,0,PCA,-26.057248301740632
68682,20150805,0,PM2.5,28.0
68688,20150805,1,PCA,-39.1393118574785
68688,20150805,1,PM2.5,26.0
68694,20150805,2,PCA,-39.97277909485065
68694,20150805,2,PM2.5,27.0
68700,20150805,3,PCA,-41.30217290817823
68700,20150805,3,PM2.5,26.0
68706,20150805,4,PCA,-43.39799351089296
68706,20150805,4,PM2.5,25.0
68712,20150805,5,PCA,-44.72848243900692
68712,20150805,5,PM2.5,24.0
68718,20150805,6,PCA,-45.19105105585779
68718,20150805,6,PM2.5,23.0
68724,20150805,7,PCA,-42.25085231360797
68724,20150805,7,PM2.5,27.0
68730,20150805,8,PCA,-43.68174389341358
68730,20150805,8,PM2.5,24.0
68736,20150805,9,PCA,-33.88136736505715
68736,20150805,9,PM2.5,31.0
68742,20150805,10,PCA,-27.20227261437785
68742,20150805,10,PM2.5,36.0
68748,20150805,11,PCA,-12.924547142107635
68748,20150805,11,PM2.5,51.0
68754,20150805,12,PCA,-1.6672319488607246
68754,20150805,12,PM2.5,63.0
68784,20150805,17,PCA,34.6795255377681
68784,20150805,17,PM2.5,73.0
68790,20150805,18,PCA,35.28395096158467
68790,20150805,18,PM2.5,64.0
68796,20150805,19,PCA,32.9330689476312
68796,20150805,19,PM2.5,60.0
68802,20150805,20,PCA,20.7102807229944
68802,20150805,20,PM2.5,63.0
68808,20150805,21,PCA,23.101696916444848
68808,20150805,21,PM2.5,69.0
68814,20150805,22,PCA,3.737982422875963
68814,20150805,22,PM2.5,45.0
68820,20150805,23,PCA,-26.65697845846249
68820,20150805,23,PM2.5,3.0
68826,20150806,0,PCA,-28.140092110813523
68826,20150806,0,PM2.5,3.0
68832,20150806,1,PCA,-28.230283261700617
68832,20150806,1,PM2.5,6.0
68838,20150806,2,PCA,-28.21562569499528
68838,20150806,2,PM2.5,8.0
68844,20150806,3,PCA,-31.080520286555657
68844,20150806,3,PM2.5,8.0
68850,20150806,4,PCA,-32.27794047845289
68850,20150806,4,PM2.5,10.0
68856,20150806,5,PCA,-33.46132937146896
68856,20150806,5,PM2.5,11.0
68862,20150806,6,PCA,-33.84844188796979
68862,20150806,6,PM2.5,10.0
68868,20150806,7,PCA,-36.958495760487004
68868,20150806,7,PM2.5,10.0
68874,20150806,8,PCA,-36.37353875518612
68874,20150806,8,PM2.5,12.0
68880,20150806,9,PCA,-40.10830559501638
68880,20150806,9,PM2.5,7.0
68886,20150806,10,PCA,-38.998807614002494
68886,20150806,10,PM2.5,11.0
68892,20150806,11,PCA,-39.72383566350253
68892,20150806,11,PM2.5,11.0
68898,20150806,12,PCA,-40.62581757983067
68898,20150806,12,PM2.5,9.0
68904,20150806,13,PCA,-35.36762460347501
68904,20150806,13,PM2.5,18.0
68910,20150806,14,PCA,-35.38772814888854
68910,20150806,14,PM2.5,22.0
68916,20150806,15,PCA,-25.672382868189583
68916,20150806,15,PM2.5,39.0
68922,20150806,16,PCA,-16.05112847348463
68922,20150806,16,PM2.5,54.0
68928,20150806,17,PCA,-2.495563330288153
68928,20150806,17,PM2.5,68.0
68934,20150806,18,PCA,13.687922115785295
68934,20150806,18,PM2.5,84.0
68940,20150806,19,PCA,14.767097418106774
68940,20150806,19,PM2.5,91.0
68946,20150806,20,PCA,19.49225156238572
68946,20150806,20,PM2.5,103.0
68952,20150806,21,PCA,45.23174669792322
68952,20150806,21,PM2.5,142.0
68958,20150806,22,PCA,55.25435774425912
68958,20150806,22,PM2.5,151.0
68964,20150806,23,PCA,42.92331875205118
68964,20150806,23,PM2.5,123.0
68970,20150807,0,PCA,21.137307743273315
68970,20150807,0,PM2.5,84.0
68976,20150807,1,PCA,23.487950238061543
68976,20150807,1,PM2.5,85.0
68982,20150807,2,PCA,27.962863908585035
68982,20150807,2,PM2.5,93.0
68988,20150807,3,PCA,21.374881511169228
68988,20150807,3,PM2.5,79.0
68994,20150807,4,PCA,23.94636300339693
68994,20150807,4,PM2.5,81.0
69000,20150807,5,PCA,26.048996969301417
69000,20150807,5,PM2.5,79.0
69006,20150807,6,PCA,23.388290156169386
69006,20150807,6,PM2.5,72.0
69012,20150807,7,PCA,21.19213675312038
69012,20150807,7,PM2.5,68.0
69018,20150807,8,PCA,22.766845935972132
69018,20150807,8,PM2.5,70.0
69024,20150807,9,PCA,28.99389882742143
69024,20150807,9,PM2.5,70.0
69030,20150807,10,PCA,33.0322999843988
69030,20150807,10,PM2.5,67.0
69036,20150807,11,PCA,39.17478161607916
69036,20150807,11,PM2.5,70.0
69042,20150807,12,PCA,50.78355668549753
69042,20150807,12,PM2.5,79.0
69048,20150807,13,PCA,58.93085705904807
69048,20150807,13,PM2.5,82.0
69054,20150807,14,PCA,79.87050747765154
69054,20150807,14,PM2.5,104.0
69060,20150807,15,PCA,82.25630255338454
69060,20150807,15,PM2.5,102.0
69066,20150807,16,PCA,82.12681542837385
69066,20150807,16,PM2.5,95.0
69072,20150807,17,PCA,85.7460532028449
69072,20150807,17,PM2.5,99.0
69078,20150807,18,PCA,48.53121805480518
69078,20150807,18,PM2.5,57.0
69084,20150807,19,PCA,10.193331438601637
69084,20150807,19,PM2.5,10.0
69090,20150807,20,PCA,7.881284184283889
69090,20150807,20,PM2.5,15.0
69096,20150807,21,PCA,7.119239186336955
69096,20150807,21,PM2.5,20.0
69102,20150807,22,PCA,9.179759978613259
69102,20150807,22,PM2.5,27.0
69108,20150807,23,PCA,-2.426605664331239
69108,20150807,23,PM2.5,21.0
69114,20150808,0,PCA,-12.766171876032375
69114,20150808,0,PM2.5,14.0
69120,20150808,1,PCA,-11.948369750647304
69120,20150808,1,PM2.5,18.0
69126,20150808,2,PCA,-19.959348949980548
69126,20150808,2,PM2.5,11.0
69132,20150808,3,PCA,-19.328163408235614
69132,20150808,3,PM2.5,16.0
69138,20150808,4,PCA,-22.72593591744305
69138,20150808,4,PM2.5,16.0
69144,20150808,5,PCA,-27.955583013103805
69144,20150808,5,PM2.5,13.0
69150,20150808,6,PCA,-31.843674084224926
69150,20150808,6,PM2.5,13.0
69156,20150808,7,PCA,-29.991447574119174
69156,20150808,7,PM2.5,19.0
69162,20150808,8,PCA,-35.8849374369763
69162,20150808,8,PM2.5,14.0
69168,20150808,9,PCA,-34.94592074835861
69168,20150808,9,PM2.5,16.0
69174,20150808,10,PCA,-37.83864388971741
69174,20150808,10,PM2.5,11.0
69180,20150808,11,PCA,-33.65783036724377
69180,20150808,11,PM2.5,17.0
69186,20150808,12,PCA,-38.5002129967431
69186,20150808,12,PM2.5,11.0
69192,20150808,13,PCA,-47.519970628097
69192,20150808,13,PM2.5,3.0
69198,20150808,14,PCA,-38.845678395117915
69198,20150808,14,PM2.5,17.0
69204,20150808,15,PCA,-33.62522506361166
69204,20150808,15,PM2.5,17.0
69210,20150808,16,PCA,-33.300632463366135
69210,20150808,16,PM2.5,17.0
69216,20150808,17,PCA,-31.206137635529412
69216,20150808,17,PM2.5,19.0
69222,20150808,18,PCA,-29.542640454804875
69222,20150808,18,PM2.5,21.0
69228,20150808,19,PCA,-24.217576698272115
69228,20150808,19,PM2.5,25.0
69234,20150808,20,PCA,-30.73716968347624
69234,20150808,20,PM2.5,27.0
69240,20150808,21,PCA,-44.443089384306724
69240,20150808,21,PM2.5,25.0
69246,20150808,22,PCA,-49.05146203327349
69246,20150808,22,PM2.5,23.0
69252,20150808,23,PCA,-47.39427661824659
69252,20150808,23,PM2.5,25.0
69258,20150809,0,PCA,-48.4683783602438
69258,20150809,0,PM2.5,26.0
69264,20150809,1,PCA,-48.16412882457707
69264,20150809,1,PM2.5,27.0
69270,20150809,2,PCA,-52.31539655354842
69270,20150809,2,PM2.5,24.0
69276,20150809,3,PCA,-55.847959181583136
69276,20150809,3,PM2.5,18.0
69282,20150809,4,PCA,-52.62705296969917
69282,20150809,4,PM2.5,23.0
69288,20150809,5,PCA,-52.24029020672525
69288,20150809,5,PM2.5,26.0
69294,20150809,6,PCA,-54.38191088192609
69294,20150809,6,PM2.5,23.0
69300,20150809,7,PCA,-48.592013813140774
69300,20150809,7,PM2.5,29.0
69306,20150809,8,PCA,-52.577086733481785
69306,20150809,8,PM2.5,23.0
69312,20150809,9,PCA,-52.71568901791134
69312,20150809,9,PM2.5,19.0
69318,20150809,10,PCA,-46.44670129237223
69318,20150809,10,PM2.5,23.0
69324,20150809,11,PCA,-49.30466332161218
69324,20150809,11,PM2.5,16.0
69330,20150809,12,PCA,-49.12147639951745
69330,20150809,12,PM2.5,15.0
69336,20150809,13,PCA,-48.77544561990678
69336,20150809,13,PM2.5,14.0
69342,20150809,14,PCA,-46.25759057983812
69342,20150809,14,PM2.5,14.0
69348,20150809,15,PCA,-33.58179992088885
69348,20150809,15,PM2.5,23.0
69354,20150809,16,PCA,-33.77395891181546
69354,20150809,16,PM2.5,19.0
69360,20150809,17,PCA,-28.000436547743956
69360,20150809,17,PM2.5,22.0
69366,20150809,18,PCA,-27.14218781236658
69366,20150809,18,PM2.5,21.0
69372,20150809,19,PCA,-25.02680236255788
69372,20150809,19,PM2.5,22.0
69378,20150809,20,PCA,-36.60821259508717
69378,20150809,20,PM2.5,22.0
69384,20150809,21,PCA,-45.81310372003659
69384,20150809,21,PM2.5,23.0
69390,20150809,22,PCA,-48.39293111896737
69390,20150809,22,PM2.5,22.0
69396,20150809,23,PCA,-47.84749952128237
69396,20150809,23,PM2.5,23.0
69402,20150810,0,PCA,-45.31343058523415
69402,20150810,0,PM2.5,26.0
69408,20150810,1,PCA,-44.82654168486588
69408,20150810,1,PM2.5,26.0
69414,20150810,2,PCA,-42.006231730970676
69414,20150810,2,PM2.5,31.0
69420,20150810,3,PCA,-44.82654168486588
69420,20150810,3,PM2.5,26.0
69426,20150810,4,PCA,-48.983573622141684
69426,20150810,4,PM2.5,23.0
69432,20150810,5,PCA,-48.57681754811588
69432,20150810,5,PM2.5,27.0
69438,20150810,6,PCA,-52.958118144376584
69438,20150810,6,PM2.5,23.0
69444,20150810,7,PCA,-55.85786141756044
69444,20150810,7,PM2.5,18.0
69450,20150810,8,PCA,-53.32379248151223
69450,20150810,8,PM2.5,21.0
69456,20150810,9,PCA,-56.226187198756705
69456,20150810,9,PM2.5,15.0
69462,20150810,10,PCA,-54.340603956145735
69462,20150810,10,PM2.5,14.0
69468,20150810,11,PCA,-53.37025581695459
69468,20150810,11,PM2.5,14.0
69474,20150810,12,PCA,-52.86192873722116
69474,20150810,12,PM2.5,13.0
69480,20150810,13,PCA,-51.68352583502472
69480,20150810,13,PM2.5,11.0
69486,20150810,14,PCA,-49.267868068487886
69486,20150810,14,PM2.5,13.0
69492,20150810,15,PCA,-56.023592744734636
69492,20150810,15,PM2.5,5.0
69498,20150810,16,PCA,-57.10322803494467
69498,20150810,16,PM2.5,5.0
69504,20150810,17,PCA,-52.70516598531123
69504,20150810,17,PM2.5,12.0
69510,20150810,18,PCA,-56.04448336670661
69510,20150810,18,PM2.5,6.0
69516,20150810,19,PCA,-56.05071642197325
69516,20150810,19,PM2.5,9.0
69522,20150810,20,PCA,-57.716238778934205
69522,20150810,20,PM2.5,9.0
69528,20150810,21,PCA,-59.78500894363992
69528,20150810,21,PM2.5,11.0
69534,20150810,22,PCA,-57.43412692968643
69534,20150810,22,PM2.5,15.0
69540,20150810,23,PCA,-61.2901083327493
69540,20150810,23,PM2.5,12.0
69546,20150811,0,PCA,-40.983256946732524
69546,20150811,0,PM2.5,33.0
69552,20150811,1,PCA,-45.29993374007048
69552,20150811,1,PM2.5,31.0
69558,20150811,2,PCA,-50.856055627321574
69558,20150811,2,PM2.5,25.0
69564,20150811,3,PCA,-48.321439133880155
69564,20150811,3,PM2.5,28.0
69570,20150811,4,PCA,-41.33746857970994
69570,20150811,4,PM2.5,37.0
69576,20150811,5,PCA,-38.53922307300409
69576,20150811,5,PM2.5,40.0
69582,20150811,6,PCA,-44.13322769569153
69582,20150811,6,PM2.5,33.0
69588,20150811,7,PCA,-44.03017359993927
69588,20150811,7,PM2.5,36.0
69594,20150811,8,PCA,-47.62663647655801
69594,20150811,8,PM2.5,27.0
69600,20150811,9,PCA,-40.97451345345671
69600,20150811,9,PM2.5,32.0
69606,20150811,10,PCA,-30.238097128727855
69606,20150811,10,PM2.5,40.0
69612,20150811,11,PCA,-21.080738766237022
69612,20150811,11,PM2.5,45.0
69618,20150811,12,PCA,-21.195020767149202
69618,20150811,12,PM2.5,40.0
69624,20150811,13,PCA,-20.510221357339656
69624,20150811,13,PM2.5,40.0
69630,20150811,14,PCA,-26.611075335221923
69630,20150811,14,PM2.5,29.0
69636,20150811,15,PCA,-24.693468353572094
69636,20150811,15,PM2.5,28.0
69642,20150811,16,PCA,-20.89034414995248
69642,20150811,16,PM2.5,27.0
69648,20150811,17,PCA,-2.1415547458356428
69648,20150811,17,PM2.5,33.0
69654,20150811,18,PCA,25.033065713923797
69654,20150811,18,PM2.5,35.0
69660,20150811,19,PCA,7.431588921080446
69660,20150811,19,PM2.5,42.0
69666,20150811,20,PCA,6.365142437806165
69666,20150811,20,PM2.5,50.0
69672,20150811,21,PCA,12.51447192938687
69672,20150811,21,PM2.5,57.0
69678,20150811,22,PCA,11.980202216220619
69678,20150811,22,PM2.5,59.0
69684,20150811,23,PCA,-2.6652157099795413
69684,20150811,23,PM2.5,54.0
69690,20150812,0,PCA,-11.628312835361571
69690,20150812,0,PM2.5,44.0
69696,20150812,1,PCA,-11.380502110344118
69696,20150812,1,PM2.5,45.0
69702,20150812,2,PCA,-10.808646342474336
69702,20150812,2,PM2.5,46.0
69708,20150812,3,PCA,-6.062997183955991
69708,20150812,3,PM2.5,53.0
69714,20150812,4,PCA,-3.4614223408328235
69714,20150812,4,PM2.5,58.0
69720,20150812,5,PCA,-4.636474291914855
69720,20150812,5,PM2.5,57.0
69726,20150812,6,PCA,-2.2975984006060926
69726,20150812,6,PM2.5,60.0
69732,20150812,7,PCA,1.3571875625422998
69732,20150812,7,PM2.5,65.0
69738,20150812,8,PCA,8.10035855875113
69738,20150812,8,PM2.5,72.0
69744,20150812,9,PCA,3.5315096769150376
69744,20150812,9,PM2.5,61.0
69750,20150812,10,PCA,11.140649047380133
69750,20150812,10,PM2.5,63.0
69756,20150812,11,PCA,20.90267399333805
69756,20150812,11,PM2.5,72.0
69762,20150812,12,PCA,32.93739469840776
69762,20150812,12,PM2.5,81.0
69768,20150812,13,PCA,28.079019868251475
69768,20150812,13,PM2.5,70.0
69774,20150812,14,PCA,21.66862482407636
69774,20150812,14,PM2.5,55.0
69780,20150812,15,PCA,37.19355989151578
69780,20150812,15,PM2.5,57.0
69786,20150812,16,PCA,60.55629110551634
69786,20150812,16,PM2.5,53.0
69792,20150812,17,PCA,101.02306566550963
69792,20150812,17,PM2.5,64.0
69798,20150812,18,PCA,103.55394609966292
69798,20150812,18,PM2.5,80.0
69804,20150812,19,PCA,95.0932700874176
69804,20150812,19,PM2.5,82.0
69810,20150812,20,PCA,66.76573022894222
69810,20150812,20,PM2.5,73.0
69816,20150812,21,PCA,41.346905712482624
69816,20150812,21,PM2.5,74.0
69822,20150812,22,PCA,39.542859675827735
69822,20150812,22,PM2.5,76.0
69828,20150812,23,PCA,38.308717470035816
69828,20150812,23,PM2.5,74.0
69834,20150813,0,PCA,35.77605291360123
69834,20150813,0,PM2.5,76.0
69840,20150813,1,PCA,35.36002087142229
69840,20150813,1,PM2.5,75.0
69846,20150813,2,PCA,38.97677173558781
69846,20150813,2,PM2.5,81.0
69852,20150813,3,PCA,39.80866232142159
69852,20150813,3,PM2.5,79.0
69858,20150813,4,PCA,39.20266274448813
69858,20150813,4,PM2.5,82.0
69864,20150813,5,PCA,40.28783158291098
69864,20150813,5,PM2.5,83.0
69870,20150813,6,PCA,40.173397632338194
69870,20150813,6,PM2.5,82.0
69876,20150813,7,PCA,40.50213198527734
69876,20150813,7,PM2.5,85.0
69882,20150813,8,PCA,40.14472856943454
69882,20150813,8,PM2.5,82.0
69888,20150813,9,PCA,46.51254992760124
69888,20150813,9,PM2.5,83.0
69894,20150813,10,PCA,47.98008317038531
69894,20150813,10,PM2.5,77.0
69900,20150813,11,PCA,49.10353757056549
69900,20150813,11,PM2.5,77.0
69906,20150813,12,PCA,62.393871153264925
69906,20150813,12,PM2.5,92.0
69912,20150813,13,PCA,73.5991018399011
69912,20150813,13,PM2.5,102.0
69918,20150813,14,PCA,84.43653439435599
69918,20150813,14,PM2.5,111.0
69924,20150813,15,PCA,110.90977340605905
69924,20150813,15,PM2.5,140.0
69930,20150813,16,PCA,121.20396626305134
69930,20150813,16,PM2.5,139.0
69936,20150813,17,PCA,152.5238411129979
69936,20150813,17,PM2.5,149.0
69942,20150813,18,PCA,129.50061528943937
69942,20150813,18,PM2.5,147.0
69948,20150813,19,PCA,126.14083374579201
69948,20150813,19,PM2.5,141.0
69954,20150813,20,PCA,115.48765446076638
69954,20150813,20,PM2.5,129.0
69960,20150813,21,PCA,112.08076887667563
69960,20150813,21,PM2.5,125.0
69966,20150813,22,PCA,114.31610191689174
69966,20150813,22,PM2.5,130.0
69972,20150813,23,PCA,115.73070461530757
69972,20150813,23,PM2.5,130.0
69978,20150814,0,PCA,109.21366664558579
69978,20150814,0,PM2.5,122.0
69984,20150814,1,PCA,112.35463809305088
69984,20150814,1,PM2.5,128.0
69990,20150814,2,PCA,109.38200382067221
69990,20150814,2,PM2.5,125.0
69996,20150814,3,PCA,103.32604415916828
69996,20150814,3,PM2.5,116.0
70002,20150814,4,PCA,107.87111145580653
70002,20150814,4,PM2.5,124.0
70008,20150814,5,PCA,103.6403977177567
70008,20150814,5,PM2.5,117.0
70014,20150814,6,PCA,104.53894997253943
70014,20150814,6,PM2.5,119.0
70020,20150814,7,PCA,101.33542984136712
70020,20150814,7,PM2.5,110.0
70026,20150814,8,PCA,108.99376992035462
70026,20150814,8,PM2.5,117.0
70032,20150814,9,PCA,89.065765707649
70032,20150814,9,PM2.5,82.0
70038,20150814,10,PCA,39.14812145602969
70038,20150814,10,PM2.5,9.0
70044,20150814,11,PCA,38.620238388275936
70044,20150814,11,PM2.5,14.0
70050,20150814,12,PCA,35.90376960669142
70050,20150814,12,PM2.5,15.0
70056,20150814,13,PCA,34.74813951781176
70056,20150814,13,PM2.5,19.0
70062,20150814,14,PCA,33.16151178181995
70062,20150814,14,PM2.5,23.0
70068,20150814,15,PCA,28.79300438476244
70068,20150814,15,PM2.5,23.0
70074,20150814,16,PCA,25.032448501645213
70074,20150814,16,PM2.5,25.0
70080,20150814,17,PCA,22.224779797292562
70080,20150814,17,PM2.5,28.0
70086,20150814,18,PCA,11.775148322783105
70086,20150814,18,PM2.5,19.0
70092,20150814,19,PCA,12.029519191737094
70092,20150814,19,PM2.5,27.0
70098,20150814,20,PCA,7.138970313366581
70098,20150814,20,PM2.5,30.0
70104,20150814,21,PCA,-3.5307220467929086
70104,20150814,21,PM2.5,22.0
70110,20150814,22,PCA,-8.082416365945143
70110,20150814,22,PM2.5,23.0
70116,20150814,23,PCA,-14.329726392953816
70116,20150814,23,PM2.5,21.0
70122,20150815,0,PCA,-21.369731185271725
70122,20150815,0,PM2.5,17.0
70128,20150815,1,PCA,-20.66004238568816
70128,20150815,1,PM2.5,24.0
70134,20150815,2,PCA,-24.87311280571374
70134,20150815,2,PM2.5,24.0
70140,20150815,3,PCA,-27.264988987052725
70140,20150815,3,PM2.5,25.0
70146,20150815,4,PCA,-32.02801153649298
70146,20150815,4,PM2.5,26.0
70152,20150815,5,PCA,-40.242718526366026
70152,20150815,5,PM2.5,19.0
70158,20150815,6,PCA,-42.3006802851007
70158,20150815,6,PM2.5,23.0
70164,20150815,7,PCA,-42.84954154433109
70164,20150815,7,PM2.5,22.0
70170,20150815,8,PCA,-50.72175765050052
70170,20150815,8,PM2.5,19.0
70176,20150815,9,PCA,-53.75433014073588
70176,20150815,9,PM2.5,14.0
70182,20150815,10,PCA,-54.36103459022916
70182,20150815,10,PM2.5,8.0
70188,20150815,11,PCA,-57.33716826981522
70188,20150815,11,PM2.5,3.0
70194,20150815,12,PCA,-57.56977387073416
70194,20150815,12,PM2.5,4.0
70200,20150815,13,PCA,-56.90593110353779
70200,20150815,13,PM2.5,6.0
70206,20150815,14,PCA,-51.55443431774658
70206,20150815,14,PM2.5,14.0
70212,20150815,15,PCA,-58.59242279290172
70212,20150815,15,PM2.5,4.0
70218,20150815,16,PCA,-58.126424514505416
70218,20150815,16,PM2.5,5.0
70224,20150815,17,PCA,-57.63953561413714
70224,20150815,17,PM2.5,5.0
70230,20150815,18,PCA,-54.68624449352985
70230,20150815,18,PM2.5,6.0
70236,20150815,19,PCA,-49.84183658209874
70236,20150815,19,PM2.5,7.0
70242,20150815,20,PCA,-50.343843037060886
70242,20150815,20,PM2.5,12.0
70248,20150815,21,PCA,-53.45600079624553
70248,20150815,21,PM2.5,11.0
70254,20150815,22,PCA,-61.80272189624858
70254,20150815,22,PM2.5,8.0
70260,20150815,23,PCA,-60.26332138290887
70260,20150815,23,PM2.5,12.0
70266,20150816,0,PCA,-62.34885300098736
70266,20150816,0,PM2.5,11.0
70272,20150816,1,PCA,-66.69047623997149
70272,20150816,1,PM2.5,4.0
70278,20150816,2,PCA,-60.545506471386254
70278,20150816,2,PM2.5,13.0
70284,20150816,3,PCA,-64.25673124518393
70284,20150816,3,PM2.5,8.0
70290,20150816,4,PCA,-67.42875747656328
70290,20150816,4,PM2.5,7.0
70296,20150816,5,PCA,-66.95589987507614
70296,20150816,5,PM2.5,8.0
70302,20150816,6,PCA,-62.07437858661984
70302,20150816,6,PM2.5,15.0
70308,20150816,7,PCA,-63.18901450811399
70308,20150816,7,PM2.5,14.0
70314,20150816,8,PCA,-61.79655322113791
70314,20150816,8,PM2.5,16.0
70320,20150816,9,PCA,-61.20310732424235
70320,20150816,9,PM2.5,12.0
70326,20150816,10,PCA,-56.67759765610967
70326,20150816,10,PM2.5,14.0
70332,20150816,11,PCA,-47.98118556055429
70332,20150816,11,PM2.5,18.0
70338,20150816,12,PCA,-36.02732037822952
70338,20150816,12,PM2.5,17.0
70344,20150816,13,PCA,-28.118157069275192
70344,20150816,13,PM2.5,13.0
