,date,hour,type,万寿西宫
72,20140402,12,PCA,18.76149947053822
72,20140402,12,PM2.5,83.0
78,20140402,13,PCA,16.19555668303828
78,20140402,13,PM2.5,87.0
84,20140402,14,PCA,30.001146857092742
84,20140402,14,PM2.5,106.0
90,20140402,15,PCA,34.49567521395538
90,20140402,15,PM2.5,112.0
96,20140402,16,PCA,36.038995168827206
96,20140402,16,PM2.5,111.0
102,20140402,17,PCA,64.74515221675954
102,20140402,17,PM2.5,138.0
108,20140402,18,PCA,75.2594556292758
108,20140402,18,PM2.5,141.0
114,20140402,19,PCA,61.57258367938373
114,20140402,19,PM2.5,119.0
120,20140402,20,PCA,54.83580696530746
120,20140402,20,PM2.5,102.0
126,20140402,21,PCA,54.91938681878094
126,20140402,21,PM2.5,95.0
132,20140402,22,PCA,38.17259544182859
132,20140402,22,PM2.5,73.0
138,20140402,23,PCA,20.733403960925575
138,20140402,23,PM2.5,53.0
144,20140403,0,PCA,20.074439684119795
144,20140403,0,PM2.5,56.0
150,20140403,1,PCA,16.698370386472916
150,20140403,1,PM2.5,49.0
156,20140403,2,PCA,17.015848085198854
156,20140403,2,PM2.5,49.0
162,20140403,3,PCA,9.412167923092175
162,20140403,3,PM2.5,43.0
168,20140403,4,PCA,2.837008992792283
168,20140403,4,PM2.5,38.0
174,20140403,5,PCA,-2.9814280615352007
174,20140403,5,PM2.5,39.0
180,20140403,6,PCA,-23.049221383187597
180,20140403,6,PM2.5,20.0
186,20140403,7,PCA,-41.35494243093179
186,20140403,7,PM2.5,4.0
192,20140403,8,PCA,-43.98766652465249
192,20140403,8,PM2.5,3.0
198,20140403,9,PCA,-42.76316638553419
198,20140403,9,PM2.5,16.0
204,20140403,10,PCA,-51.69233312993641
204,20140403,10,PM2.5,11.0
210,20140403,11,PCA,-58.767831288677016
210,20140403,11,PM2.5,6.0
216,20140403,12,PCA,-57.236485910400006
216,20140403,12,PM2.5,14.0
222,20140403,13,PCA,-67.27153654714054
222,20140403,13,PM2.5,6.0
228,20140403,14,PCA,-62.49163032475014
228,20140403,14,PM2.5,18.0
234,20140403,15,PCA,-68.65646870579171
234,20140403,15,PM2.5,14.0
240,20140403,16,PCA,-73.26727226328214
240,20140403,16,PM2.5,13.0
246,20140403,17,PCA,-77.47329104619367
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-77.9620879273167
252,20140403,18,PM2.5,11.0
258,20140403,19,PCA,-79.50167382308808
258,20140403,19,PM2.5,10.0
264,20140403,20,PCA,-69.80012170466154
264,20140403,20,PM2.5,19.0
270,20140403,21,PCA,-71.68564935238904
270,20140403,21,PM2.5,14.0
276,20140403,22,PCA,-58.7819023216711
276,20140403,22,PM2.5,19.0
282,20140403,23,PCA,-53.02232635796814
282,20140403,23,PM2.5,31.0
288,20140404,0,PCA,-63.80250868483625
288,20140404,0,PM2.5,35.0
294,20140404,1,PCA,-67.8616018315077
294,20140404,1,PM2.5,35.0
300,20140404,2,PCA,-69.44221736226727
300,20140404,2,PM2.5,33.0
306,20140404,3,PCA,-71.02283289302683
306,20140404,3,PM2.5,31.0
312,20140404,4,PCA,-67.72512052250309
312,20140404,4,PM2.5,34.0
318,20140404,5,PCA,-71.55027354891028
318,20140404,5,PM2.5,31.0
324,20140404,6,PCA,-61.65611242422941
324,20140404,6,PM2.5,35.0
330,20140404,7,PCA,-58.66399987383709
330,20140404,7,PM2.5,37.0
336,20140404,8,PCA,-15.916743541916158
336,20140404,8,PM2.5,46.0
342,20140404,9,PCA,-14.501214706204886
342,20140404,9,PM2.5,48.0
348,20140404,10,PCA,-4.7660522684671625
348,20140404,10,PM2.5,58.0
354,20140404,11,PCA,0.5145732104274995
354,20140404,11,PM2.5,60.0
360,20140404,12,PCA,0.1731839947842113
360,20140404,12,PM2.5,59.0
366,20140404,13,PCA,-9.097876701242253
366,20140404,13,PM2.5,56.0
372,20140404,14,PCA,-34.98489756023097
372,20140404,14,PM2.5,36.0
378,20140404,15,PCA,-54.17437943652133
378,20140404,15,PM2.5,22.0
384,20140404,16,PCA,-57.53350059947076
384,20140404,16,PM2.5,17.0
390,20140404,17,PCA,-55.382191399827946
390,20140404,17,PM2.5,19.0
396,20140404,18,PCA,-53.225806664699945
396,20140404,18,PM2.5,19.0
402,20140404,19,PCA,-51.91971279797527
402,20140404,19,PM2.5,16.0
408,20140404,20,PCA,-53.942928620766516
408,20140404,20,PM2.5,11.0
414,20140404,21,PCA,-48.18935239298088
414,20140404,21,PM2.5,18.0
420,20140404,22,PCA,-39.00266556050459
420,20140404,22,PM2.5,21.0
426,20140404,23,PCA,-26.90218452799745
426,20140404,23,PM2.5,33.0
432,20140405,0,PCA,-28.97214408889932
432,20140405,0,PM2.5,32.0
438,20140405,1,PCA,-26.51232476661938
438,20140405,1,PM2.5,33.0
444,20140405,2,PCA,-28.46277758199902
444,20140405,2,PM2.5,30.0
450,20140405,3,PCA,-29.754986318652875
450,20140405,3,PM2.5,27.0
456,20140405,4,PCA,-19.87292075644052
456,20140405,4,PM2.5,30.0
462,20140405,5,PCA,-25.03723245794575
462,20140405,5,PM2.5,34.0
468,20140405,6,PCA,-14.726348313284381
468,20140405,6,PM2.5,36.0
474,20140405,7,PCA,-11.190646464825862
474,20140405,7,PM2.5,40.0
480,20140405,8,PCA,-27.63659915146428
480,20140405,8,PM2.5,33.0
486,20140405,9,PCA,-63.52095418754249
486,20140405,9,PM2.5,3.0
492,20140405,10,PCA,-64.34179554257413
492,20140405,10,PM2.5,6.0
498,20140405,11,PCA,-63.893215885358465
498,20140405,11,PM2.5,9.0
504,20140405,12,PCA,-67.44683390129696
504,20140405,12,PM2.5,8.0
510,20140405,13,PCA,-70.21433586757568
510,20140405,13,PM2.5,5.0
516,20140405,14,PCA,-69.63459454949952
516,20140405,14,PM2.5,8.0
522,20140405,15,PCA,-67.59368396514594
522,20140405,15,PM2.5,11.0
528,20140405,16,PCA,-69.89274627966716
528,20140405,16,PM2.5,9.0
534,20140405,17,PCA,-57.83373625087784
534,20140405,17,PM2.5,25.0
540,20140405,18,PCA,-52.23024007449694
540,20140405,18,PM2.5,30.0
546,20140405,19,PCA,-51.6803102298543
546,20140405,19,PM2.5,30.0
552,20140405,20,PCA,-39.79047907899884
552,20140405,20,PM2.5,43.0
558,20140405,21,PCA,-33.29112873337818
558,20140405,21,PM2.5,45.0
564,20140405,22,PCA,-29.542309512597505
564,20140405,22,PM2.5,48.0
570,20140405,23,PCA,-22.763501742931613
570,20140405,23,PM2.5,54.0
576,20140406,0,PCA,-21.56788734326958
576,20140406,0,PM2.5,51.0
582,20140406,1,PCA,-10.75769236975709
582,20140406,1,PM2.5,57.0
588,20140406,2,PCA,3.6215270214915947
588,20140406,2,PM2.5,71.0
594,20140406,3,PCA,1.660001099414435
594,20140406,3,PM2.5,64.0
600,20140406,4,PCA,1.9913586488289026
600,20140406,4,PM2.5,63.0
606,20140406,5,PCA,-2.4599983254766897
606,20140406,5,PM2.5,57.0
612,20140406,6,PCA,-1.4361739061705605
612,20140406,6,PM2.5,60.0
618,20140406,7,PCA,7.033446974359814
618,20140406,7,PM2.5,73.0
624,20140406,8,PCA,11.15606697255939
624,20140406,8,PM2.5,75.0
630,20140406,9,PCA,11.137096583857378
630,20140406,9,PM2.5,71.0
636,20140406,10,PCA,9.42760391572528
636,20140406,10,PM2.5,68.0
642,20140406,11,PCA,-0.4556039772443346
642,20140406,11,PM2.5,59.0
648,20140406,12,PCA,-11.031559848394014
648,20140406,12,PM2.5,50.0
654,20140406,13,PCA,-41.30307396635662
654,20140406,13,PM2.5,28.0
660,20140406,14,PCA,-42.567040055697916
660,20140406,14,PM2.5,30.0
666,20140406,15,PCA,-34.133670367212346
666,20140406,15,PM2.5,40.0
672,20140406,16,PCA,-25.928581897526364
672,20140406,16,PM2.5,47.0
678,20140406,17,PCA,-26.30664091003967
678,20140406,17,PM2.5,42.0
684,20140408,10,PCA,185.36425278848267
684,20140408,10,PM2.5,202.0
690,20140408,11,PCA,207.7369092091377
690,20140408,11,PM2.5,223.0
696,20140408,12,PCA,200.7392396418956
696,20140408,12,PM2.5,229.0
702,20140408,13,PCA,175.0745275620662
702,20140408,13,PM2.5,208.0
708,20140408,14,PCA,140.72309885456914
708,20140408,14,PM2.5,178.0
714,20140408,15,PCA,136.20876492615312
714,20140408,15,PM2.5,176.0
720,20140408,16,PCA,145.8645714981601
720,20140408,16,PM2.5,186.0
726,20140408,17,PCA,129.4233376425339
726,20140408,17,PM2.5,157.0
732,20140408,18,PCA,129.5419435017316
732,20140408,18,PM2.5,151.0
738,20140408,19,PCA,135.41075571145132
738,20140408,19,PM2.5,153.0
744,20140408,20,PCA,138.49691670663253
744,20140408,20,PM2.5,152.0
750,20140408,21,PCA,143.47735896379987
750,20140408,21,PM2.5,152.0
756,20140408,22,PCA,146.81078143540074
756,20140408,22,PM2.5,152.0
762,20140408,23,PCA,142.43495721686827
762,20140408,23,PM2.5,148.0
768,20140409,0,PCA,130.83780656708097
768,20140409,0,PM2.5,135.0
774,20140409,1,PCA,137.29468610288413
774,20140409,1,PM2.5,143.0
780,20140409,2,PCA,136.393838142835
780,20140409,2,PM2.5,143.0
786,20140409,3,PCA,141.60153760569222
786,20140409,3,PM2.5,151.0
792,20140409,4,PCA,145.83321831278894
792,20140409,4,PM2.5,154.0
798,20140409,5,PCA,144.85842162867164
798,20140409,5,PM2.5,155.0
804,20140409,6,PCA,142.00267162318514
804,20140409,6,PM2.5,144.0
810,20140409,7,PCA,153.0405302592361
810,20140409,7,PM2.5,147.0
816,20140409,8,PCA,170.83063104909556
816,20140409,8,PM2.5,167.0
822,20140409,9,PCA,160.76131156706373
822,20140409,9,PM2.5,165.0
828,20140409,10,PCA,160.52781336573236
828,20140409,10,PM2.5,172.0
834,20140409,11,PCA,127.95925566805138
834,20140409,11,PM2.5,138.0
840,20140409,12,PCA,47.072599711053556
840,20140409,12,PM2.5,48.0
846,20140409,13,PCA,27.69825805499808
846,20140409,13,PM2.5,31.0
852,20140409,14,PCA,17.69416539094318
852,20140409,14,PM2.5,26.0
858,20140409,15,PCA,17.003707353659927
858,20140409,15,PM2.5,33.0
864,20140409,16,PCA,11.03886460465736
864,20140409,16,PM2.5,33.0
870,20140409,17,PCA,9.93858853232178
870,20140409,17,PM2.5,34.0
876,20140409,18,PCA,12.450509817618107
876,20140409,18,PM2.5,41.0
882,20140409,19,PCA,55.40223292205165
882,20140409,19,PM2.5,103.0
888,20140409,20,PCA,85.29681447797067
888,20140409,20,PM2.5,147.0
894,20140409,21,PCA,53.48371619039286
894,20140409,21,PM2.5,103.0
900,20140409,22,PCA,51.199603096082456
900,20140409,22,PM2.5,96.0
906,20140409,23,PCA,59.95834776529847
906,20140409,23,PM2.5,106.0
912,20140410,0,PCA,64.30368592885581
912,20140410,0,PM2.5,112.0
918,20140410,1,PCA,58.08825032206812
918,20140410,1,PM2.5,102.0
924,20140410,2,PCA,56.86824079511694
924,20140410,2,PM2.5,93.0
930,20140410,3,PCA,58.710579632928415
930,20140410,3,PM2.5,91.0
936,20140410,4,PCA,67.30885610688712
936,20140410,4,PM2.5,93.0
942,20140410,5,PCA,60.251851537787346
942,20140410,5,PM2.5,82.0
948,20140410,6,PCA,75.28345426865005
948,20140410,6,PM2.5,91.0
954,20140410,7,PCA,70.94088917118738
954,20140410,7,PM2.5,79.0
960,20140410,8,PCA,77.4054877826512
960,20140410,8,PM2.5,83.0
966,20140410,9,PCA,67.6120029044985
966,20140410,9,PM2.5,67.0
972,20140410,10,PCA,73.11533747274045
972,20140410,10,PM2.5,73.0
978,20140410,11,PCA,78.23604176758438
978,20140410,11,PM2.5,67.0
984,20140410,12,PCA,91.00390473985479
984,20140410,12,PM2.5,59.0
990,20140410,13,PCA,106.32785066440083
990,20140410,13,PM2.5,62.0
996,20140410,14,PCA,119.53211846077713
996,20140410,14,PM2.5,71.0
1002,20140410,15,PCA,113.82189272266083
1002,20140410,15,PM2.5,55.0
1008,20140410,16,PCA,118.49358513101195
1008,20140410,16,PM2.5,56.0
1014,20140410,17,PCA,107.50336335789935
1014,20140410,17,PM2.5,42.0
1020,20140410,18,PCA,102.47956660509986
1020,20140410,18,PM2.5,35.0
1026,20140410,19,PCA,107.11612682927436
1026,20140410,19,PM2.5,49.5
1032,20140410,20,PCA,107.59619918436854
1032,20140410,20,PM2.5,64.0
1038,20140410,21,PCA,104.66196534586008
1038,20140410,21,PM2.5,58.0
1044,20140410,22,PCA,111.75077121251064
1044,20140410,22,PM2.5,60.0
1050,20140410,23,PCA,127.48820230352072
1050,20140410,23,PM2.5,86.0
1056,20140411,0,PCA,122.90571673888466
1056,20140411,0,PM2.5,80.0
1062,20140411,1,PCA,107.34540392107705
1062,20140411,1,PM2.5,72.0
1068,20140411,2,PCA,95.83842817158092
1068,20140411,2,PM2.5,67.0
1074,20140411,3,PCA,96.05676321466461
1074,20140411,3,PM2.5,78.0
1080,20140411,4,PCA,85.17216945613733
1080,20140411,4,PM2.5,73.0
1086,20140411,5,PCA,75.2447893206935
1086,20140411,5,PM2.5,68.0
1092,20140411,6,PCA,68.1064010034345
1092,20140411,6,PM2.5,67.0
1098,20140411,7,PCA,52.140212892123
1098,20140411,7,PM2.5,61.0
1104,20140411,8,PCA,27.96485809983934
1104,20140411,8,PM2.5,45.0
1110,20140411,9,PCA,18.615958657860304
1110,20140411,9,PM2.5,44.0
1116,20140411,10,PCA,19.789148874309745
1116,20140411,10,PM2.5,51.0
1122,20140411,11,PCA,6.912956641634374
1122,20140411,11,PM2.5,34.0
1128,20140411,12,PCA,10.741000402276827
1128,20140411,12,PM2.5,47.0
1134,20140411,13,PCA,2.3957404206297737
1134,20140411,13,PM2.5,49.0
1140,20140411,14,PCA,-12.478238568236247
1140,20140411,14,PM2.5,44.0
1146,20140411,15,PCA,-36.66863935959446
1146,20140411,15,PM2.5,20.0
1152,20140411,16,PCA,-29.214296984714
1152,20140411,16,PM2.5,37.0
1158,20140411,17,PCA,-14.48837334462394
1158,20140411,17,PM2.5,60.0
1164,20140411,18,PCA,-19.281033403417105
1164,20140411,18,PM2.5,49.0
1170,20140411,19,PCA,1.9946319882232144
1170,20140411,19,PM2.5,71.0
1176,20140411,20,PCA,-6.596863956465067
1176,20140411,20,PM2.5,62.0
1182,20140411,21,PCA,5.861399306652707
1182,20140411,21,PM2.5,79.0
1188,20140411,22,PCA,12.730844356715435
1188,20140411,22,PM2.5,79.0
1194,20140411,23,PCA,3.790660225817123
1194,20140411,23,PM2.5,69.0
1200,20140412,0,PCA,21.492928054440014
1200,20140412,0,PM2.5,90.0
1206,20140412,1,PCA,25.108838321769664
1206,20140412,1,PM2.5,90.0
1212,20140412,2,PCA,34.052413479334305
1212,20140412,2,PM2.5,103.0
1218,20140412,3,PCA,32.046087646208385
1218,20140412,3,PM2.5,101.0
1224,20140412,4,PCA,36.114906479373985
1224,20140412,4,PM2.5,106.0
1230,20140412,5,PCA,30.60214918025543
1230,20140412,5,PM2.5,97.0
1236,20140412,6,PCA,30.637095891544917
1236,20140412,6,PM2.5,95.0
1242,20140412,7,PCA,32.87214136882577
1242,20140412,7,PM2.5,97.0
1248,20140412,8,PCA,35.31511208354978
1248,20140412,8,PM2.5,91.0
1254,20140412,9,PCA,53.81979835108934
1254,20140412,9,PM2.5,111.0
1260,20140412,10,PCA,46.690078612891284
1260,20140412,10,PM2.5,102.0
1266,20140412,11,PCA,35.47828655355036
1266,20140412,11,PM2.5,95.0
1272,20140412,12,PCA,29.344149309065934
1272,20140412,12,PM2.5,104.0
1278,20140412,13,PCA,0.8264774570778974
1278,20140412,13,PM2.5,72.0
1284,20140412,14,PCA,-0.2776567178391728
1284,20140412,14,PM2.5,72.0
1290,20140412,15,PCA,-1.186006986370897
1290,20140412,15,PM2.5,66.0
1296,20140412,16,PCA,5.926958036923721
1296,20140412,16,PM2.5,75.0
1302,20140412,17,PCA,35.46892069428648
1302,20140412,17,PM2.5,112.0
1308,20140412,18,PCA,29.827208349396304
1308,20140412,18,PM2.5,99.0
1314,20140412,19,PCA,47.03111601187537
1314,20140412,19,PM2.5,120.0
1320,20140412,20,PCA,56.76829980443638
1320,20140412,20,PM2.5,125.0
1326,20140412,21,PCA,54.006376780751204
1326,20140412,21,PM2.5,109.0
1332,20140412,22,PCA,66.98708045273915
1332,20140412,22,PM2.5,115.0
1338,20140412,23,PCA,73.83628943857234
1338,20140412,23,PM2.5,107.0
1344,20140413,0,PCA,67.9190051257792
1344,20140413,0,PM2.5,108.0
1350,20140413,1,PCA,67.47862462774204
1350,20140413,1,PM2.5,120.0
1356,20140413,2,PCA,81.94003261991043
1356,20140413,2,PM2.5,140.0
1362,20140413,3,PCA,89.76407248014262
1362,20140413,3,PM2.5,141.0
1368,20140413,4,PCA,96.94992631472435
1368,20140413,4,PM2.5,151.0
1374,20140413,5,PCA,95.96317090023912
1374,20140413,5,PM2.5,152.0
1380,20140413,6,PCA,99.51809470201195
1380,20140413,6,PM2.5,148.0
1386,20140413,7,PCA,82.02039833205498
1386,20140413,7,PM2.5,119.0
1392,20140413,8,PCA,93.06981271140943
1392,20140413,8,PM2.5,122.0
1398,20140413,9,PCA,104.65089557078741
1398,20140413,9,PM2.5,134.0
1404,20140413,10,PCA,124.4486599481139
1404,20140413,10,PM2.5,159.0
1410,20140413,11,PCA,141.35213254636946
1410,20140413,11,PM2.5,177.0
1416,20140413,12,PCA,141.92686862196925
1416,20140413,12,PM2.5,193.0
1422,20140413,13,PCA,122.75236528896579
1422,20140413,13,PM2.5,185.0
1428,20140413,14,PCA,108.62134153404703
1428,20140413,14,PM2.5,174.0
1434,20140413,15,PCA,108.5320430529447
1434,20140413,15,PM2.5,172.0
1440,20140413,16,PCA,104.72695027759424
1440,20140413,16,PM2.5,162.0
1446,20140413,17,PCA,103.91248802210724
1446,20140413,17,PM2.5,156.0
1452,20140413,18,PCA,99.25614162495326
1452,20140413,18,PM2.5,143.0
1458,20140413,19,PCA,90.58909549713287
1458,20140413,19,PM2.5,125.0
1464,20140413,20,PCA,113.55878927020116
1464,20140413,20,PM2.5,145.0
1470,20140413,21,PCA,146.40262091252305
1470,20140413,21,PM2.5,171.0
1476,20140413,22,PCA,161.24161025065152
1476,20140413,22,PM2.5,184.0
1482,20140413,23,PCA,171.91951599167916
1482,20140413,23,PM2.5,192.0
1488,20140414,0,PCA,190.37215274946166
1488,20140414,0,PM2.5,201.0
1494,20140414,1,PCA,190.98879054992165
1494,20140414,1,PM2.5,215.0
1500,20140414,2,PCA,173.0486535410079
1500,20140414,2,PM2.5,181.0
1506,20140414,3,PCA,216.790925802879
1506,20140414,3,PM2.5,232.0
1512,20140414,4,PCA,193.92593622448095
1512,20140414,4,PM2.5,199.0
1518,20140414,5,PCA,194.08430064952395
1518,20140414,5,PM2.5,200.0
1524,20140414,6,PCA,188.8933499577516
1524,20140414,6,PM2.5,193.0
1530,20140414,7,PCA,188.27049540215052
1530,20140414,7,PM2.5,189.0
1536,20140414,8,PCA,237.34356270534124
1536,20140414,8,PM2.5,252.0
1542,20140414,9,PCA,241.21136405806323
1542,20140414,9,PM2.5,257.0
1548,20140414,10,PCA,255.59064070144166
1548,20140414,10,PM2.5,276.0
1554,20140414,11,PCA,268.71116956688303
1554,20140414,11,PM2.5,295.0
1560,20140414,12,PCA,276.37479455888825
1560,20140414,12,PM2.5,298.0
1566,20140414,13,PCA,271.5988528918853
1566,20140414,13,PM2.5,302.0
1572,20140414,14,PCA,242.9679915268439
1572,20140414,14,PM2.5,267.0
1578,20140414,15,PCA,192.39047690162658
1578,20140414,15,PM2.5,205.0
1584,20140414,16,PCA,169.2279936625256
1584,20140414,16,PM2.5,173.0
1590,20140414,17,PCA,189.00553542081215
1590,20140414,17,PM2.5,199.0
1596,20140414,18,PCA,216.81172335271475
1596,20140414,18,PM2.5,232.0
1602,20140414,19,PCA,231.98899265254488
1602,20140414,19,PM2.5,243.0
1608,20140414,20,PCA,255.18395839833843
1608,20140414,20,PM2.5,256.0
1614,20140414,21,PCA,281.11808873482704
1614,20140414,21,PM2.5,282.0
1620,20140414,22,PCA,227.0925318261796
1620,20140414,22,PM2.5,207.0
1626,20140414,23,PCA,148.1878217233188
1626,20140414,23,PM2.5,96.0
1632,20140415,0,PCA,97.22384586454703
1632,20140415,0,PM2.5,34.0
1638,20140415,1,PCA,88.52825113347286
1638,20140415,1,PM2.5,32.0
1644,20140415,2,PCA,100.95025922237649
1644,20140415,2,PM2.5,48.0
1650,20140415,3,PCA,97.5186418714157
1650,20140415,3,PM2.5,44.0
1656,20140415,4,PCA,95.06426096137861
1656,20140415,4,PM2.5,50.0
1662,20140415,5,PCA,93.63194569451676
1662,20140415,5,PM2.5,48.0
1818,20140416,7,PCA,-13.406692699789055
1818,20140416,7,PM2.5,41.0
1824,20140416,8,PCA,-8.714237245866649
1824,20140416,8,PM2.5,43.0
1830,20140416,9,PCA,-18.830877911963384
1830,20140416,9,PM2.5,30.0
1836,20140416,10,PCA,-19.97651858595905
1836,20140416,10,PM2.5,34.0
1842,20140416,11,PCA,-25.47692033992983
1842,20140416,11,PM2.5,36.0
1848,20140416,12,PCA,-31.873994740352757
1848,20140416,12,PM2.5,36.0
1854,20140416,13,PCA,-28.54918094238626
1854,20140416,13,PM2.5,39.0
1860,20140416,14,PCA,-28.431460042422692
1860,20140416,14,PM2.5,41.0
1866,20140416,15,PCA,-33.146026855022114
1866,20140416,15,PM2.5,45.0
1872,20140416,16,PCA,-43.11848520445537
1872,20140416,16,PM2.5,34.0
1878,20140416,17,PCA,-43.95605856764913
1878,20140416,17,PM2.5,39.0
1884,20140416,18,PCA,-32.239397450295975
1884,20140416,18,PM2.5,47.0
1890,20140416,19,PCA,-21.38296281021752
1890,20140416,19,PM2.5,56.0
1896,20140416,20,PCA,-5.649750508431345
1896,20140416,20,PM2.5,63.0
1902,20140416,21,PCA,11.01093841315877
1902,20140416,21,PM2.5,68.0
1908,20140416,22,PCA,21.750297443398786
1908,20140416,22,PM2.5,70.0
1914,20140416,23,PCA,26.147625390548896
1914,20140416,23,PM2.5,72.0
1920,20140417,0,PCA,33.90387424413343
1920,20140417,0,PM2.5,84.0
1926,20140417,1,PCA,42.11267406617852
1926,20140417,1,PM2.5,87.0
1932,20140417,2,PCA,47.87577852929111
1932,20140417,2,PM2.5,89.0
1938,20140417,3,PCA,44.481168006745875
1938,20140417,3,PM2.5,82.0
1944,20140417,4,PCA,43.595643374946064
1944,20140417,4,PM2.5,86.0
1950,20140417,5,PCA,51.675338240542715
1950,20140417,5,PM2.5,102.0
1956,20140417,6,PCA,34.1695170357893
1956,20140417,6,PM2.5,77.0
1962,20140417,7,PCA,34.56461031415575
1962,20140417,7,PM2.5,80.0
1968,20140417,8,PCA,28.635736732213694
1968,20140417,8,PM2.5,75.0
1974,20140417,9,PCA,33.69709086720283
1974,20140417,9,PM2.5,83.0
1980,20140417,10,PCA,53.89171166171315
1980,20140417,10,PM2.5,105.0
1986,20140417,11,PCA,51.53719115515729
1986,20140417,11,PM2.5,105.0
1992,20140417,12,PCA,29.632008265922604
1992,20140417,12,PM2.5,81.0
1998,20140417,13,PCA,34.80704692701392
1998,20140417,13,PM2.5,90.0
2004,20140417,14,PCA,19.72487250628766
2004,20140417,14,PM2.5,80.0
2010,20140417,15,PCA,14.507444551588545
2010,20140417,15,PM2.5,82.0
2016,20140417,16,PCA,20.137820749494598
2016,20140417,16,PM2.5,88.0
2022,20140417,17,PCA,44.481632056927154
2022,20140417,17,PM2.5,111.0
2028,20140417,18,PCA,38.78561113393172
2028,20140417,18,PM2.5,96.0
2034,20140417,19,PCA,41.485421906240425
2034,20140417,19,PM2.5,98.0
2040,20140417,20,PCA,50.62267171753806
2040,20140417,20,PM2.5,105.0
2046,20140417,21,PCA,54.46852898004817
2046,20140417,21,PM2.5,106.0
2052,20140417,22,PCA,58.702275748089555
2052,20140417,22,PM2.5,107.0
2058,20140417,23,PCA,78.060252635427
2058,20140417,23,PM2.5,118.0
2064,20140418,0,PCA,93.6841696294684
2064,20140418,0,PM2.5,124.0
2070,20140418,1,PCA,96.36014751485823
2070,20140418,1,PM2.5,124.0
2076,20140418,2,PCA,95.85808147879337
2076,20140418,2,PM2.5,121.0
2082,20140418,3,PCA,100.3668391179126
2082,20140418,3,PM2.5,126.0
2088,20140418,4,PCA,95.81651859507708
2088,20140418,4,PM2.5,122.0
2094,20140418,5,PCA,97.68756559877761
2094,20140418,5,PM2.5,125.0
2100,20140418,6,PCA,96.86539090937505
2100,20140418,6,PM2.5,124.0
2106,20140418,7,PCA,114.28213659628237
2106,20140418,7,PM2.5,144.0
2112,20140418,8,PCA,125.27810582684603
2112,20140418,8,PM2.5,148.0
2118,20140418,9,PCA,143.1926626324569
2118,20140418,9,PM2.5,159.0
2124,20140418,10,PCA,133.90931928658347
2124,20140418,10,PM2.5,143.0
2130,20140418,11,PCA,138.8535253288239
2130,20140418,11,PM2.5,155.0
2136,20140418,12,PCA,158.12763381031218
2136,20140418,12,PM2.5,183.0
2286,20140419,13,PCA,-36.995087424043426
2286,20140419,13,PM2.5,46.0
2292,20140419,14,PCA,-55.68765437214525
2292,20140419,14,PM2.5,31.0
2298,20140419,15,PCA,-61.15047494122691
2298,20140419,15,PM2.5,28.0
2304,20140419,16,PCA,-39.35168233661359
2304,20140419,16,PM2.5,54.0
2310,20140419,17,PCA,-37.002727148199384
2310,20140419,17,PM2.5,56.0
2316,20140419,18,PCA,-61.90674252182364
2316,20140419,18,PM2.5,28.0
2322,20140419,19,PCA,-28.640359493013015
2322,20140419,19,PM2.5,59.0
2328,20140419,20,PCA,-19.629353124157593
2328,20140419,20,PM2.5,63.0
2334,20140419,21,PCA,-10.289235290640587
2334,20140419,21,PM2.5,65.0
2340,20140419,22,PCA,12.05693723503929
2340,20140419,22,PM2.5,74.0
2346,20140419,23,PCA,18.346519600635098
2346,20140419,23,PM2.5,76.0
2352,20140420,0,PCA,34.42240753868421
2352,20140420,0,PM2.5,89.0
2358,20140420,1,PCA,35.45142534087844
2358,20140420,1,PM2.5,86.0
2364,20140420,2,PCA,22.151745405178954
2364,20140420,2,PM2.5,69.0
2370,20140420,3,PCA,39.545103238777564
2370,20140420,3,PM2.5,87.0
2376,20140420,4,PCA,55.377297180888895
2376,20140420,4,PM2.5,103.0
2382,20140420,5,PCA,47.89578995415126
2382,20140420,5,PM2.5,92.0
2388,20140420,6,PCA,48.238921823645555
2388,20140420,6,PM2.5,87.0
2394,20140420,7,PCA,55.666038063165885
2394,20140420,7,PM2.5,97.0
2400,20140420,8,PCA,28.854942846930737
2400,20140420,8,PM2.5,75.0
2406,20140420,9,PCA,21.008947830161038
2406,20140420,9,PM2.5,77.0
2412,20140420,10,PCA,-15.713410657476595
2412,20140420,10,PM2.5,43.0
2418,20140420,11,PCA,-29.500120532574645
2418,20140420,11,PM2.5,39.0
2424,20140420,12,PCA,-61.35763181882969
2424,20140420,12,PM2.5,19.0
2430,20140420,13,PCA,-77.0729488353496
2430,20140420,13,PM2.5,22.0
2436,20140420,14,PCA,-82.3970461791686
2436,20140420,14,PM2.5,25.0
2442,20140420,15,PCA,-65.70848737349517
2442,20140420,15,PM2.5,46.0
2448,20140420,16,PCA,-58.75656333673595
2448,20140420,16,PM2.5,53.0
2454,20140420,17,PCA,-49.34786184077754
2454,20140420,17,PM2.5,51.0
2460,20140420,18,PCA,-39.23441044456343
2460,20140420,18,PM2.5,51.0
2466,20140420,19,PCA,-28.36617877766385
2466,20140420,19,PM2.5,58.0
2472,20140420,20,PCA,-18.423911289084938
2472,20140420,20,PM2.5,62.0
2478,20140420,21,PCA,-19.35593646303234
2478,20140420,21,PM2.5,59.0
2484,20140420,22,PCA,-16.921518853792218
2484,20140420,22,PM2.5,60.0
