,date,hour,type,琉璃河
498,20140405,11,PM2.5,24.0
504,20140405,12,PCA,-62.10355925653704
504,20140405,12,PM2.5,23.0
510,20140405,13,PCA,-59.54672782923869
510,20140405,13,PM2.5,28.0
516,20140405,14,PCA,-62.327235146202995
516,20140405,14,PM2.5,24.0
522,20140405,15,PCA,-64.2537566698589
522,20140405,15,PM2.5,22.0
528,20140405,16,PCA,-62.482564832274235
528,20140405,16,PM2.5,25.0
534,20140405,17,PCA,-59.58313054019935
534,20140405,17,PM2.5,30.0
540,20140405,18,PCA,-59.11600083210982
540,20140405,18,PM2.5,31.0
546,20140405,19,PCA,-46.957919440772834
546,20140405,19,PM2.5,45.0
552,20140405,20,PCA,-48.658108697491606
552,20140405,20,PM2.5,42.0
558,20140405,21,PCA,-45.37435607513721
558,20140405,21,PM2.5,45.0
564,20140405,22,PCA,-44.227923610490286
564,20140405,22,PM2.5,51.0
570,20140405,23,PCA,-43.276216902803036
570,20140405,23,PM2.5,54.0
576,20140406,0,PCA,-38.66956535383284
576,20140406,0,PM2.5,59.0
582,20140406,1,PCA,-36.96007803982068
582,20140406,1,PM2.5,59.0
588,20140406,2,PCA,-35.69776211586329
588,20140406,2,PM2.5,59.5
594,20140406,3,PCA,-34.435446191905896
594,20140406,3,PM2.5,60.0
600,20140406,4,PCA,-27.128143601777122
600,20140406,4,PM2.5,67.0
606,20140406,5,PCA,-22.49978506121101
606,20140406,5,PM2.5,68.0
612,20140406,6,PCA,-28.531484642591856
612,20140406,6,PM2.5,62.0
618,20140406,7,PCA,-21.20677338731652
618,20140406,7,PM2.5,72.0
624,20140406,8,PCA,-16.050001549982397
624,20140406,8,PM2.5,80.0
630,20140406,9,PCA,-24.03439018867141
630,20140406,9,PM2.5,73.0
636,20140406,10,PCA,-37.872557167947804
636,20140406,10,PM2.5,57.0
642,20140406,11,PCA,-42.674382295227936
642,20140406,11,PM2.5,53.5
648,20140406,12,PCA,-46.80148303810787
648,20140406,12,PM2.5,50.0
654,20140406,13,PCA,-51.67155460986329
654,20140406,13,PM2.5,47.0
660,20140406,14,PCA,-30.304354941575845
660,20140406,14,PM2.5,73.0
666,20140406,15,PCA,-43.69005289359492
666,20140406,15,PM2.5,55.0
672,20140406,16,PCA,-46.95455137176374
672,20140406,16,PM2.5,50.0
678,20140406,17,PCA,-51.41079966905072
678,20140406,17,PM2.5,44.0
684,20140408,10,PCA,181.3045653249043
684,20140408,10,PM2.5,218.0
690,20140408,11,PCA,197.81880373028793
690,20140408,11,PM2.5,236.0
696,20140408,12,PCA,189.83764992629156
696,20140408,12,PM2.5,236.0
702,20140408,13,PCA,179.78855126367878
702,20140408,13,PM2.5,234.0
708,20140408,14,PCA,169.70252879342553
708,20140408,14,PM2.5,223.0
714,20140408,15,PCA,146.1349671821148
714,20140408,15,PM2.5,192.0
720,20140408,16,PCA,145.72999797102437
720,20140408,16,PM2.5,190.0
726,20140408,17,PCA,134.2943848830362
726,20140408,17,PM2.5,173.0
732,20140408,18,PCA,124.92633830585592
732,20140408,18,PM2.5,158.0
738,20140408,19,PCA,127.12331946354657
738,20140408,19,PM2.5,156.0
744,20140408,20,PCA,124.5050822374088
744,20140408,20,PM2.5,149.0
750,20140408,21,PCA,134.47072696534892
750,20140408,21,PM2.5,159.0
756,20140408,22,PCA,145.50946223511914
756,20140408,22,PM2.5,172.0
762,20140408,23,PCA,141.23753201453317
762,20140408,23,PM2.5,166.0
768,20140409,0,PCA,140.55395393519314
768,20140409,0,PM2.5,164.0
774,20140409,1,PCA,135.22646805970643
774,20140409,1,PM2.5,155.0
780,20140409,2,PCA,129.93189783540143
780,20140409,2,PM2.5,149.0
786,20140409,3,PCA,139.39053848872788
786,20140409,3,PM2.5,161.0
792,20140409,4,PCA,135.86314524603443
792,20140409,4,PM2.5,157.0
798,20140409,5,PCA,134.59143994461635
798,20140409,5,PM2.5,154.0
804,20140409,6,PCA,132.80754804744709
804,20140409,6,PM2.5,151.0
810,20140409,7,PCA,135.7077054238536
810,20140409,7,PM2.5,156.0
816,20140409,8,PCA,143.28955142038612
816,20140409,8,PM2.5,170.0
822,20140409,9,PCA,161.24555156399106
822,20140409,9,PM2.5,197.0
828,20140409,10,PCA,153.79311947746493
828,20140409,10,PM2.5,193.0
834,20140409,11,PCA,158.04427982647002
834,20140409,11,PM2.5,205.0
840,20140409,12,PCA,153.56958158371543
840,20140409,12,PM2.5,211.0
846,20140409,13,PCA,138.5012364929199
846,20140409,13,PM2.5,197.0
852,20140409,14,PCA,102.14412024610672
852,20140409,14,PM2.5,155.0
858,20140409,15,PCA,15.463602220560018
858,20140409,15,PM2.5,41.0
864,20140409,16,PCA,-12.417588567373537
864,20140409,16,PM2.5,3.0
870,20140409,17,PCA,9.00712668292136
870,20140409,17,PM2.5,34.0
876,20140409,18,PCA,11.994395087316951
876,20140409,18,PM2.5,42.0
882,20140409,19,PCA,12.50675887909788
882,20140409,19,PM2.5,46.0
888,20140409,20,PCA,29.797795527140636
888,20140409,20,PM2.5,73.0
894,20140409,21,PCA,62.02457428405025
894,20140409,21,PM2.5,124.0
900,20140409,22,PCA,46.182280351905014
900,20140409,22,PM2.5,103.0
906,20140409,23,PCA,37.08737569154824
906,20140409,23,PM2.5,95.0
912,20140410,0,PCA,39.81447104177789
912,20140410,0,PM2.5,100.0
918,20140410,1,PCA,44.31344960109901
918,20140410,1,PM2.5,104.0
924,20140410,2,PCA,44.13993623149042
924,20140410,2,PM2.5,96.0
930,20140410,3,PCA,93.57510278571856
930,20140410,3,PM2.5,156.0
936,20140410,4,PCA,57.4520234353412
936,20140410,4,PM2.5,97.0
942,20140410,5,PCA,61.52751457761398
942,20140410,5,PM2.5,94.0
948,20140410,6,PCA,73.47141259336361
948,20140410,6,PM2.5,92.0
954,20140410,7,PCA,77.66380795352421
954,20140410,7,PM2.5,87.0
960,20140410,8,PCA,87.49853823523462
960,20140410,8,PM2.5,88.0
966,20140410,9,PCA,104.58707713918163
966,20140410,9,PM2.5,92.0
972,20140410,10,PCA,123.8986150852292
972,20140410,10,PM2.5,98.0
978,20140410,11,PCA,146.14122048017964
978,20140410,11,PM2.5,109.0
984,20140410,12,PCA,152.10963855352315
984,20140410,12,PM2.5,100.0
990,20140410,13,PCA,156.21930105369867
990,20140410,13,PM2.5,90.0
996,20140410,14,PCA,171.30623572393876
996,20140410,14,PM2.5,89.0
1002,20140410,15,PCA,189.43542512627775
1002,20140410,15,PM2.5,92.0
1008,20140410,16,PCA,183.85917278772047
1008,20140410,16,PM2.5,67.5
1014,20140410,17,PCA,176.2263864562636
1014,20140410,17,PM2.5,43.0
1020,20140410,18,PCA,210.8906817040008
1020,20140410,18,PM2.5,78.0
1026,20140410,19,PCA,209.1411267818572
1026,20140410,19,PM2.5,71.5
1032,20140410,20,PCA,199.96960363131097
1032,20140410,20,PM2.5,65.0
1038,20140410,21,PCA,211.68289078253122
1038,20140410,21,PM2.5,74.0
1044,20140410,22,PCA,225.00977002814787
1044,20140410,22,PM2.5,87.0
1050,20140410,23,PCA,218.39901073683285
1050,20140410,23,PM2.5,78.0
1056,20140411,0,PCA,211.15008665233373
1056,20140411,0,PM2.5,69.0
1062,20140411,1,PCA,197.91242664459
1062,20140411,1,PM2.5,64.0
1068,20140411,2,PCA,183.7899983165542
1068,20140411,2,PM2.5,61.0
1074,20140411,3,PCA,157.56462183081615
1074,20140411,3,PM2.5,54.0
1080,20140411,4,PCA,139.08448973442773
1080,20140411,4,PM2.5,53.0
1086,20140411,5,PCA,128.18166884822892
1086,20140411,5,PM2.5,59.5
1092,20140411,6,PCA,121.32719426843141
1092,20140411,6,PM2.5,66.0
1098,20140411,7,PCA,119.09808714083256
1098,20140411,7,PM2.5,74.0
1104,20140411,8,PCA,101.3827056087464
1104,20140411,8,PM2.5,72.0
1110,20140411,9,PCA,90.65736766569046
1110,20140411,9,PM2.5,82.0
1116,20140411,10,PCA,75.96587069772649
1116,20140411,10,PM2.5,89.0
1122,20140411,11,PCA,53.375013232299345
1122,20140411,11,PM2.5,84.0
1128,20140411,12,PCA,40.86889432450202
1128,20140411,12,PM2.5,80.0
1134,20140411,13,PCA,7.154886575658727
1134,20140411,13,PM2.5,58.0
1140,20140411,14,PCA,-8.536179958748965
1140,20140411,14,PM2.5,55.0
1146,20140411,15,PCA,-32.63304174947204
1146,20140411,15,PM2.5,36.0
1152,20140411,16,PCA,-36.733614788189364
1152,20140411,16,PM2.5,41.0
1158,20140411,17,PCA,-40.0575704234611
1158,20140411,17,PM2.5,43.0
1164,20140411,18,PCA,-41.921548404773276
1164,20140411,18,PM2.5,47.0
1170,20140411,19,PCA,-46.83214836102965
1170,20140411,19,PM2.5,44.0
1176,20140411,20,PCA,-43.29826198230597
1176,20140411,20,PM2.5,51.0
1182,20140411,21,PCA,-35.884028384364335
1182,20140411,21,PM2.5,64.0
1188,20140411,22,PCA,-24.581264618187166
1188,20140411,22,PM2.5,79.0
1194,20140411,23,PCA,-17.157035934096896
1194,20140411,23,PM2.5,91.0
1200,20140412,0,PCA,-9.861569156200868
1200,20140412,0,PM2.5,98.0
1206,20140412,1,PCA,-0.4004263179663132
1206,20140412,1,PM2.5,102.0
1212,20140412,2,PCA,4.465399852666599
1212,20140412,2,PM2.5,105.0
1218,20140412,3,PCA,7.520090534356686
1218,20140412,3,PM2.5,105.0
1224,20140412,4,PCA,8.469071579938703
1224,20140412,4,PM2.5,105.0
1230,20140412,5,PCA,15.309132539160295
1230,20140412,5,PM2.5,109.0
1236,20140412,6,PCA,3.146243335767109
1236,20140412,6,PM2.5,92.0
1242,20140412,7,PCA,3.2003960745910245
1242,20140412,7,PM2.5,93.0
1248,20140412,8,PCA,10.64598494869136
1248,20140412,8,PM2.5,101.0
1254,20140412,9,PCA,3.021134927567178
1254,20140412,9,PM2.5,95.5
1260,20140412,10,PCA,-5.278439477957231
1260,20140412,10,PM2.5,90.0
1266,20140412,11,PCA,-10.278335393311215
1266,20140412,11,PM2.5,95.0
1272,20140412,12,PCA,-35.60277221198322
1272,20140412,12,PM2.5,70.0
1278,20140412,13,PCA,-16.074823471215062
1278,20140412,13,PM2.5,93.0
1284,20140412,14,PCA,-18.26197840698021
1284,20140412,14,PM2.5,91.0
1290,20140412,15,PCA,-24.724604503728806
1290,20140412,15,PM2.5,81.0
1296,20140412,16,PCA,-26.980491963243004
1296,20140412,16,PM2.5,79.0
1302,20140412,17,PCA,-22.833257077298352
1302,20140412,17,PM2.5,81.0
1308,20140412,18,PCA,-11.295521903260576
1308,20140412,18,PM2.5,93.0
1314,20140412,19,PCA,-9.391247883718021
1314,20140412,19,PM2.5,91.0
1320,20140412,20,PCA,-8.176278033500825
1320,20140412,20,PM2.5,90.0
1326,20140412,21,PCA,3.9753925914015724
1326,20140412,21,PM2.5,99.0
1332,20140412,22,PCA,11.348273085036253
1332,20140412,22,PM2.5,104.0
1338,20140412,23,PCA,25.625334756202314
1338,20140412,23,PM2.5,110.0
1344,20140413,0,PCA,34.443314394138326
1344,20140413,0,PM2.5,117.0
1350,20140413,1,PCA,40.04547427787169
1350,20140413,1,PM2.5,124.0
1356,20140413,2,PCA,48.22643320381866
1356,20140413,2,PM2.5,131.0
1362,20140413,3,PCA,64.28141636300187
1362,20140413,3,PM2.5,145.0
1368,20140413,4,PCA,66.5056706656881
1368,20140413,4,PM2.5,147.0
1374,20140413,5,PCA,70.35648666676147
1374,20140413,5,PM2.5,150.0
1380,20140413,6,PCA,72.47779489594775
1380,20140413,6,PM2.5,150.0
1386,20140413,7,PCA,64.03335521057323
1386,20140413,7,PM2.5,140.0
1392,20140413,8,PCA,79.3460952514293
1392,20140413,8,PM2.5,159.0
1398,20140413,9,PCA,99.59352786325597
1398,20140413,9,PM2.5,187.0
1404,20140413,10,PCA,112.34427548565426
1404,20140413,10,PM2.5,201.0
1410,20140413,11,PCA,109.8018089208265
1410,20140413,11,PM2.5,198.0
1416,20140413,12,PCA,92.46905860388112
1416,20140413,12,PM2.5,187.0
