,date,hour,type,琉璃河
48864,20150320,9,PCA,71.34031555218579
48864,20150320,9,PM2.5,133.0
48870,20150320,10,PCA,5.655775677341319
48870,20150320,10,PM2.5,54.9
48876,20150320,11,PCA,-13.29923846649173
48876,20150320,11,PM2.5,37.2
48882,20150320,12,PCA,-16.138260425122084
48882,20150320,12,PM2.5,36.5
48888,20150320,13,PCA,-20.789995663026517
48888,20150320,13,PM2.5,34.1
48894,20150320,14,PCA,-22.108548061286324
48894,20150320,14,PM2.5,35.8
48900,20150320,15,PCA,-28.49603239333797
48900,20150320,15,PM2.5,29.6
48906,20150320,16,PCA,-34.23452029020647
48906,20150320,16,PM2.5,25.3
48912,20150320,17,PCA,-28.227990511859886
48912,20150320,17,PM2.5,34.7
48918,20150320,18,PCA,-28.906501568989796
48918,20150320,18,PM2.5,36.8
48924,20150320,19,PCA,-22.347630157249924
48924,20150320,19,PM2.5,44.4
48930,20150320,20,PCA,-14.239521800887085
48930,20150320,20,PM2.5,51.3
48936,20150320,21,PCA,14.594623254784386
48936,20150320,21,PM2.5,77.0
48942,20150320,22,PCA,6.415059128134779
48942,20150320,22,PM2.5,75.9
48948,20150320,23,PCA,1.1821250903616354
48948,20150320,23,PM2.5,73.3
48954,20150321,0,PCA,4.5001176978652895
48954,20150321,0,PM2.5,74.4
48960,20150321,1,PCA,0.8000562499900423
48960,20150321,1,PM2.5,70.7
48966,20150321,2,PCA,-30.480404813189825
48966,20150321,2,PM2.5,45.8
48972,20150321,3,PCA,-49.693912906984956
48972,20150321,3,PM2.5,25.2
48978,20150321,4,PCA,-54.8998363112068
48978,20150321,4,PM2.5,20.4
48984,20150321,5,PCA,-61.20919996864248
48984,20150321,5,PM2.5,15.6
48990,20150321,6,PCA,-63.76970308025133
48990,20150321,6,PM2.5,16.9
48996,20150321,7,PCA,-67.9064799608418
48996,20150321,7,PM2.5,16.2
49002,20150321,8,PCA,-75.82319821589842
49002,20150321,8,PM2.5,11.2
49008,20150321,9,PCA,-80.00194701444009
49008,20150321,9,PM2.5,10.1
49014,20150321,10,PCA,-82.21724356796035
49014,20150321,10,PM2.5,8.9
49020,20150321,11,PCA,-88.33505249294791
49020,20150321,11,PM2.5,3.9
49026,20150321,12,PCA,-91.04849542690752
49026,20150321,12,PM2.5,4.9
49032,20150321,13,PCA,-90.5403577376391
49032,20150321,13,PM2.5,8.9
49038,20150321,14,PCA,-95.41133742367627
49038,20150321,14,PM2.5,5.5
49044,20150321,15,PCA,-92.8092940799874
49044,20150321,15,PM2.5,10.9
49050,20150321,16,PCA,-95.32513145676127
49050,20150321,16,PM2.5,9.7
49056,20150321,17,PCA,-96.46716127438124
49056,20150321,17,PM2.5,10.7
49062,20150321,18,PCA,-98.07246619950885
49062,20150321,18,PM2.5,10.4
49068,20150321,19,PCA,-85.82520093340159
49068,20150321,19,PM2.5,23.5
49074,20150321,20,PCA,-66.5997442372525
49074,20150321,20,PM2.5,40.8
49080,20150321,21,PCA,-35.06104071825335
49080,20150321,21,PM2.5,69.7
49086,20150321,22,PCA,-39.12521232276977
49086,20150321,22,PM2.5,70.5
49092,20150321,23,PCA,-43.43226169397013
49092,20150321,23,PM2.5,65.0
49098,20150322,0,PCA,-49.32029418679602
49098,20150322,0,PM2.5,54.3
49104,20150322,1,PCA,-57.247380309084846
49104,20150322,1,PM2.5,45.6
49110,20150322,2,PCA,-72.88394724174996
49110,20150322,2,PM2.5,33.0
49116,20150322,3,PCA,-78.86265326310813
49116,20150322,3,PM2.5,36.4
49122,20150322,4,PCA,-86.04348192625642
49122,20150322,4,PM2.5,30.7
49128,20150322,5,PCA,-93.78648725515218
49128,20150322,5,PM2.5,19.7
49134,20150322,6,PCA,-88.93992900147727
49134,20150322,6,PM2.5,22.8
49140,20150322,7,PCA,-92.13593996661375
49140,20150322,7,PM2.5,17.5
49146,20150322,8,PCA,-88.70120955716533
49146,20150322,8,PM2.5,18.3
49152,20150322,9,PCA,-89.96830852789105
49152,20150322,9,PM2.5,15.6
49158,20150322,10,PCA,-88.43685785407818
49158,20150322,10,PM2.5,17.1
49164,20150322,11,PCA,-89.20663007831108
49164,20150322,11,PM2.5,18.3
49170,20150322,12,PCA,-95.58954650694174
49170,20150322,12,PM2.5,10.7
49176,20150322,13,PCA,-93.89765086236771
49176,20150322,13,PM2.5,13.8
49182,20150322,14,PCA,-92.00982499340408
49182,20150322,14,PM2.5,16.9
49188,20150322,15,PCA,-89.51569296841411
49188,20150322,15,PM2.5,21.4
49194,20150322,16,PCA,-90.78652830182716
49194,20150322,16,PM2.5,19.6
49200,20150322,17,PCA,-89.89151079178977
49200,20150322,17,PM2.5,21.4
49206,20150322,18,PCA,-80.90044467062185
49206,20150322,18,PM2.5,28.1
49212,20150322,19,PCA,-60.27596458534333
49212,20150322,19,PM2.5,45.4
49218,20150322,20,PCA,-57.57050219785205
49218,20150322,20,PM2.5,45.2
49224,20150322,21,PCA,-59.49945390616242
49224,20150322,21,PM2.5,42.0
49230,20150322,22,PCA,-59.25922652128345
49230,20150322,22,PM2.5,42.5
49236,20150322,23,PCA,-53.67939375444058
49236,20150322,23,PM2.5,50.7
49242,20150323,0,PCA,-49.56560176783163
49242,20150323,0,PM2.5,52.3
49248,20150323,1,PCA,-45.03533092464068
49248,20150323,1,PM2.5,56.5
49254,20150323,2,PCA,-40.21458690099503
49254,20150323,2,PM2.5,61.3
49260,20150323,3,PCA,-14.271797495429484
49260,20150323,3,PM2.5,91.9
49266,20150323,4,PCA,-24.051720172495866
49266,20150323,4,PM2.5,78.5
49272,20150323,5,PCA,-29.09834420357601
49272,20150323,5,PM2.5,70.2
49278,20150323,6,PCA,-30.840051032614305
49278,20150323,6,PM2.5,69.1
49284,20150323,7,PCA,-19.126772911567222
49284,20150323,7,PM2.5,85.4
49290,20150323,8,PCA,-4.124668687722554
49290,20150323,8,PM2.5,104.8
49296,20150323,9,PCA,-27.881574188438414
49296,20150323,9,PM2.5,75.3
49302,20150323,10,PCA,-36.36988536656045
49302,20150323,10,PM2.5,67.8
49308,20150323,11,PCA,-53.812913049671394
49308,20150323,11,PM2.5,48.8
49314,20150323,12,PCA,-80.64174560433149
49314,20150323,12,PM2.5,15.3
49320,20150323,13,PCA,-87.29926679888663
49320,20150323,13,PM2.5,8.2
49326,20150323,14,PCA,-83.49745591878786
49326,20150323,14,PM2.5,11.5
49332,20150323,15,PCA,-85.69864745145603
49332,20150323,15,PM2.5,9.7
49338,20150323,16,PCA,-84.9219227465212
49338,20150323,16,PM2.5,11.3
49344,20150323,17,PCA,-78.96002999510361
49344,20150323,17,PM2.5,20.4
49350,20150323,18,PCA,-79.12100303319912
49350,20150323,18,PM2.5,20.7
49356,20150323,19,PCA,-72.5306730633041
49356,20150323,19,PM2.5,30.2
49362,20150323,20,PCA,-61.96810545483209
49362,20150323,20,PM2.5,43.7
49368,20150323,21,PCA,-59.210028079090876
49368,20150323,21,PM2.5,46.1
49374,20150323,22,PCA,-51.334759480004216
49374,20150323,22,PM2.5,55.6
49380,20150323,23,PCA,-41.4969515128239
49380,20150323,23,PM2.5,65.8
49386,20150324,0,PCA,-37.39534360056941
49386,20150324,0,PM2.5,72.1
49392,20150324,1,PCA,-35.96905627377811
49392,20150324,1,PM2.5,72.1
49398,20150324,2,PCA,-28.592724619606297
49398,20150324,2,PM2.5,71.6
49404,20150324,3,PCA,-24.12873944136619
49404,20150324,3,PM2.5,74.3
49410,20150324,4,PCA,-22.29551561345722
49410,20150324,4,PM2.5,75.8
49416,20150324,5,PCA,-8.657578589194241
49416,20150324,5,PM2.5,94.0
49422,20150324,6,PCA,-9.362142628879635
49422,20150324,6,PM2.5,95.5
49428,20150324,7,PCA,-21.92592919425968
49428,20150324,7,PM2.5,81.2
49434,20150324,8,PCA,-29.291842821045357
49434,20150324,8,PM2.5,76.0
49440,20150324,9,PCA,-27.812615559901506
49440,20150324,9,PM2.5,81.5
49446,20150324,10,PCA,-39.02897399622548
49446,20150324,10,PM2.5,71.5
49452,20150324,11,PCA,-42.535994148783125
49452,20150324,11,PM2.5,69.9
49458,20150324,12,PCA,-40.742808281931495
49458,20150324,12,PM2.5,72.9
49464,20150324,13,PCA,-38.445922917708664
49464,20150324,13,PM2.5,75.5
49470,20150324,14,PCA,-37.415782557134015
49470,20150324,14,PM2.5,76.9
49476,20150324,15,PCA,-34.76443326966478
49476,20150324,15,PM2.5,81.7
49482,20150324,16,PCA,-30.82980470345551
49482,20150324,16,PM2.5,85.9
49488,20150324,17,PCA,-30.064286597646927
49488,20150324,17,PM2.5,82.9
49494,20150324,18,PCA,-22.598176491991754
49494,20150324,18,PM2.5,89.4
49500,20150324,19,PCA,-10.113496011308495
49500,20150324,19,PM2.5,99.6
49506,20150324,20,PCA,2.894865934543441
49506,20150324,20,PM2.5,111.4
49512,20150324,21,PCA,26.806400255840312
49512,20150324,21,PM2.5,124.0
49518,20150324,22,PCA,50.752227639870995
49518,20150324,22,PM2.5,139.9
49524,20150324,23,PCA,51.40338508776732
49524,20150324,23,PM2.5,139.2
49530,20150325,0,PCA,82.92395864979395
49530,20150325,0,PM2.5,176.3
49536,20150325,1,PCA,80.09317663169043
49536,20150325,1,PM2.5,168.4
49542,20150325,2,PCA,83.22573811536812
49542,20150325,2,PM2.5,169.9
49548,20150325,3,PCA,90.95434931911457
49548,20150325,3,PM2.5,173.5
49554,20150325,4,PCA,92.59753412198312
49554,20150325,4,PM2.5,172.2
49560,20150325,5,PCA,81.04901668589496
49560,20150325,5,PM2.5,156.5
49566,20150325,6,PCA,70.5188556503104
49566,20150325,6,PM2.5,141.7
49572,20150325,7,PCA,76.39815105011618
49572,20150325,7,PM2.5,145.9
49578,20150325,8,PCA,76.27358465216939
49578,20150325,8,PM2.5,140.8
49584,20150325,9,PCA,89.41148546898789
49584,20150325,9,PM2.5,152.4
49590,20150325,10,PCA,91.23273720317214
49590,20150325,10,PM2.5,152.4
49596,20150325,11,PCA,99.82411642050533
49596,20150325,11,PM2.5,160.7
49602,20150325,12,PCA,112.48739291005127
49602,20150325,12,PM2.5,177.5
49608,20150325,13,PCA,105.00222235033617
49608,20150325,13,PM2.5,172.0
49614,20150325,14,PCA,88.31041016561426
49614,20150325,14,PM2.5,152.9
49620,20150325,15,PCA,54.654482757452726
49620,20150325,15,PM2.5,113.0
49626,20150325,16,PCA,39.34321068548085
49626,20150325,16,PM2.5,94.5
49632,20150325,17,PCA,34.80813293243105
49632,20150325,17,PM2.5,87.6
49638,20150325,18,PCA,50.75960880382714
49638,20150325,18,PM2.5,105.5
49644,20150325,19,PCA,62.13166616484639
49644,20150325,19,PM2.5,115.6
49650,20150325,20,PCA,87.38427581029653
49650,20150325,20,PM2.5,145.3
49656,20150325,21,PCA,82.95516744541706
49656,20150325,21,PM2.5,137.2
49662,20150325,22,PCA,64.57012592619449
49662,20150325,22,PM2.5,111.1
49668,20150325,23,PCA,61.129809282573376
49668,20150325,23,PM2.5,110.1
49674,20150326,0,PCA,60.5391095059965
49674,20150326,0,PM2.5,111.0
49680,20150326,1,PCA,59.650306029391956
49680,20150326,1,PM2.5,111.6
49686,20150326,2,PCA,54.47129537527837
49686,20150326,2,PM2.5,108.2
49692,20150326,3,PCA,58.419394637848576
49692,20150326,3,PM2.5,116.3
49698,20150326,4,PCA,65.23003817636693
49698,20150326,4,PM2.5,126.1
49704,20150326,5,PCA,69.7272619632389
49704,20150326,5,PM2.5,128.1
49710,20150326,6,PCA,69.98125823189574
49710,20150326,6,PM2.5,128.1
49716,20150326,7,PCA,73.56774823957734
49716,20150326,7,PM2.5,132.3
49722,20150326,8,PCA,83.01600119095828
49722,20150326,8,PM2.5,143.3
49728,20150326,9,PCA,100.64838711093702
49728,20150326,9,PM2.5,169.7
49734,20150326,10,PCA,82.49937861436456
49734,20150326,10,PM2.5,155.7
49740,20150326,11,PCA,63.15472222685145
49740,20150326,11,PM2.5,130.45
49746,20150326,12,PCA,43.81006583933834
49746,20150326,12,PM2.5,105.2
49752,20150326,13,PCA,22.411875837274078
49752,20150326,13,PM2.5,97.5
49758,20150326,14,PCA,0.22056773511445615
49758,20150326,14,PM2.5,75.5
49764,20150326,15,PCA,-15.47130237964347
49764,20150326,15,PM2.5,59.5
49770,20150326,16,PCA,-8.743845761406137
49770,20150326,16,PM2.5,68.7
49776,20150326,17,PCA,10.156342756123683
49776,20150326,17,PM2.5,93.0
49782,20150326,18,PCA,9.87633645362555
49782,20150326,18,PM2.5,95.7
49788,20150326,19,PCA,2.559225558940089
49788,20150326,19,PM2.5,83.0
49794,20150326,20,PCA,-10.332812084498126
49794,20150326,20,PM2.5,66.6
49800,20150326,21,PCA,-11.378070978875387
49800,20150326,21,PM2.5,65.9
49806,20150326,22,PCA,-11.939690150981582
49806,20150326,22,PM2.5,67.5
49812,20150326,23,PCA,-12.43405946407161
49812,20150326,23,PM2.5,66.0
49818,20150327,0,PCA,-13.98931241900795
49818,20150327,0,PM2.5,65.8
49824,20150327,1,PCA,-16.45522130584881
49824,20150327,1,PM2.5,63.3
49830,20150327,2,PCA,-15.500835515252266
49830,20150327,2,PM2.5,64.8
49836,20150327,3,PCA,-12.132386775339528
49836,20150327,3,PM2.5,70.8
49842,20150327,4,PCA,-8.950456515414823
49842,20150327,4,PM2.5,76.8
49848,20150327,5,PCA,-5.153744346081571
49848,20150327,5,PM2.5,81.6
49854,20150327,6,PCA,-0.08535806816422949
49854,20150327,6,PM2.5,88.5
49860,20150327,7,PCA,8.171467640583586
49860,20150327,7,PM2.5,92.0
49866,20150327,8,PCA,20.292809523637573
49866,20150327,8,PM2.5,106.5
49872,20150327,9,PCA,29.450672239900396
49872,20150327,9,PM2.5,123.6
49878,20150327,10,PCA,30.480264540423295
49878,20150327,10,PM2.5,131.7
49884,20150327,11,PCA,25.201868854530208
49884,20150327,11,PM2.5,128.3
49890,20150327,12,PCA,25.751622601155006
49890,20150327,12,PM2.5,130.3
49896,20150327,13,PCA,20.46893414328879
49896,20150327,13,PM2.5,128.5
49902,20150327,14,PCA,18.666492288301793
49902,20150327,14,PM2.5,130.5
49908,20150327,15,PCA,33.61663116392778
49908,20150327,15,PM2.5,146.8
49914,20150327,16,PCA,31.90539252411239
49914,20150327,16,PM2.5,142.3
49920,20150327,17,PCA,41.54128495447398
49920,20150327,17,PM2.5,151.7
49926,20150327,18,PCA,34.902278731827394
49926,20150327,18,PM2.5,141.8
49932,20150327,19,PCA,59.7729098986332
49932,20150327,19,PM2.5,166.9
49938,20150327,20,PCA,40.82842300687265
49938,20150327,20,PM2.5,137.9
49944,20150327,21,PCA,30.862377492757552
49944,20150327,21,PM2.5,120.5
49950,20150327,22,PCA,30.059377880680586
49950,20150327,22,PM2.5,114.9
49956,20150327,23,PCA,14.171202313158421
49956,20150327,23,PM2.5,91.0
49962,20150328,0,PCA,15.682821171626077
49962,20150328,0,PM2.5,91.4
49968,20150328,1,PCA,22.27053563502375
49968,20150328,1,PM2.5,98.5
49974,20150328,2,PCA,30.59156664918951
49974,20150328,2,PM2.5,106.1
49980,20150328,3,PCA,38.87546916305368
49980,20150328,3,PM2.5,112.2
49986,20150328,4,PCA,50.4630137419284
49986,20150328,4,PM2.5,122.1
49992,20150328,5,PCA,67.02273580954329
49992,20150328,5,PM2.5,130.3
49998,20150328,6,PCA,60.663617010775894
49998,20150328,6,PM2.5,125.7
50004,20150328,7,PCA,65.81685538071712
50004,20150328,7,PM2.5,130.1
50010,20150328,8,PCA,84.63644219442958
50010,20150328,8,PM2.5,149.1
50016,20150328,9,PCA,-9.264098376771257
50016,20150328,9,PM2.5,48.1
50022,20150328,10,PCA,-21.670792103969138
50022,20150328,10,PM2.5,37.9
50028,20150328,11,PCA,-27.380861992527333
50028,20150328,11,PM2.5,35.9
50034,20150328,12,PCA,4.807340122872364
50034,20150328,12,PM2.5,83.0
50040,20150328,13,PCA,10.023162410549995
50040,20150328,13,PM2.5,92.7
50046,20150328,14,PCA,-10.185549046580926
50046,20150328,14,PM2.5,67.7
50052,20150328,15,PCA,-25.032962528413226
50052,20150328,15,PM2.5,48.6
50058,20150328,16,PCA,-34.48647197341754
50058,20150328,16,PM2.5,35.4
50064,20150328,17,PCA,-36.26876678183395
50064,20150328,17,PM2.5,33.6
50070,20150328,18,PCA,-42.73806028187922
50070,20150328,18,PM2.5,24.4
50076,20150328,19,PCA,-41.755158687153504
50076,20150328,19,PM2.5,25.1
50082,20150328,20,PCA,-39.740938201010735
50082,20150328,20,PM2.5,27.3
50088,20150328,21,PCA,-34.13652282314015
50088,20150328,21,PM2.5,30.5
50094,20150328,22,PCA,-37.84303441329289
50094,20150328,22,PM2.5,26.2
50100,20150328,23,PCA,-30.28162409602252
50100,20150328,23,PM2.5,33.9
50106,20150329,0,PCA,-33.81330584590145
50106,20150329,0,PM2.5,32.8
50112,20150329,1,PCA,-32.17711904306547
50112,20150329,1,PM2.5,33.1
50118,20150329,2,PCA,-27.55595110078624
50118,20150329,2,PM2.5,34.9
50124,20150329,3,PCA,-12.57391373871325
50124,20150329,3,PM2.5,46.0
50130,20150329,4,PCA,-9.160490846943636
50130,20150329,4,PM2.5,52.1
50136,20150329,5,PCA,-12.298889509282187
50136,20150329,5,PM2.5,49.5
50142,20150329,6,PCA,-12.140364809092338
50142,20150329,6,PM2.5,50.2
50148,20150329,7,PCA,-10.652705308046079
50148,20150329,7,PM2.5,52.4
50154,20150329,8,PCA,-11.771564175170525
50154,20150329,8,PM2.5,51.8
50160,20150329,9,PCA,-18.230586139997637
50160,20150329,9,PM2.5,52.6
50166,20150329,10,PCA,8.270179577524704
50166,20150329,10,PM2.5,81.5
50172,20150329,11,PCA,30.319168216358783
50172,20150329,11,PM2.5,113.2
50178,20150329,12,PCA,26.740440007915378
50178,20150329,12,PM2.5,116.6
50184,20150329,13,PCA,2.9715006886679376
50184,20150329,13,PM2.5,100.4
50190,20150329,14,PCA,-24.324731888135986
50190,20150329,14,PM2.5,74.1
50196,20150329,15,PCA,-29.30320536450959
50196,20150329,15,PM2.5,72.0
50202,20150329,16,PCA,-41.286554409212954
50202,20150329,16,PM2.5,54.25
50208,20150329,17,PCA,-51.60694657046956
50208,20150329,17,PM2.5,36.5
50214,20150329,18,PCA,-36.93998312839059
50214,20150329,18,PM2.5,50.7
50220,20150329,19,PCA,-27.61525255155087
50220,20150329,19,PM2.5,55.6
50226,20150329,20,PCA,-11.544370448917725
50226,20150329,20,PM2.5,66.9
50232,20150329,21,PCA,-0.2888965134953826
50232,20150329,21,PM2.5,71.5
50238,20150329,22,PCA,-3.4040284652521686
50238,20150329,22,PM2.5,62.7
50244,20150329,23,PCA,-4.810096170714918
50244,20150329,23,PM2.5,54.7
50250,20150330,0,PCA,72.94284438058035
50250,20150330,0,PM2.5,156.8
50256,20150330,1,PCA,20.335116350459124
50256,20150330,1,PM2.5,80.2
50262,20150330,2,PCA,35.33382899249982
50262,20150330,2,PM2.5,98.8
50268,20150330,3,PCA,45.111206596328635
50268,20150330,3,PM2.5,107.2
50274,20150330,4,PCA,56.266690845834724
50274,20150330,4,PM2.5,115.2
50280,20150330,5,PCA,67.21464969062248
50280,20150330,5,PM2.5,119.1
50286,20150330,6,PCA,69.0964765431853
50286,20150330,6,PM2.5,118.5
50292,20150330,7,PCA,73.90951450448803
50292,20150330,7,PM2.5,113.4
50298,20150330,8,PCA,82.26948235714596
50298,20150330,8,PM2.5,115.7
50304,20150330,9,PCA,98.1468964711404
50304,20150330,9,PM2.5,133.4
50310,20150330,10,PCA,96.09069707204198
50310,20150330,10,PM2.5,137.8
50316,20150330,11,PCA,90.60446355088216
50316,20150330,11,PM2.5,146.0
50322,20150330,12,PCA,95.6138166598536
50322,20150330,12,PM2.5,159.15
50328,20150330,13,PCA,100.62316976882504
50328,20150330,13,PM2.5,172.3
50334,20150330,14,PCA,107.09268977335843
50334,20150330,14,PM2.5,183.8
50340,20150330,15,PCA,116.02607423481861
50340,20150330,15,PM2.5,197.8
50346,20150330,16,PCA,109.65535652601692
50346,20150330,16,PM2.5,194.0
50352,20150330,17,PCA,108.12306512511175
50352,20150330,17,PM2.5,196.5
50358,20150330,18,PCA,101.7866312149755
50358,20150330,18,PM2.5,189.1
50364,20150330,19,PCA,112.05120206157447
50364,20150330,19,PM2.5,194.8
50370,20150330,20,PCA,143.0787911451061
50370,20150330,20,PM2.5,218.7
50376,20150330,21,PCA,161.61571359390754
50376,20150330,21,PM2.5,237.3
50382,20150330,22,PCA,167.0826246612516
50382,20150330,22,PM2.5,231.8
50388,20150330,23,PCA,178.96831362839941
50388,20150330,23,PM2.5,241.2
50394,20150331,0,PCA,166.92861950619883
50394,20150331,0,PM2.5,220.3
50400,20150331,1,PCA,159.66231687449246
50400,20150331,1,PM2.5,205.0
50406,20150331,2,PCA,140.53743923692994
50406,20150331,2,PM2.5,182.5
50412,20150331,3,PCA,129.58152909070867
50412,20150331,3,PM2.5,169.1
50418,20150331,4,PCA,131.18212728932573
50418,20150331,4,PM2.5,168.9
50424,20150331,5,PCA,144.10495250918277
50424,20150331,5,PM2.5,180.3
50430,20150331,6,PCA,135.8740991267271
50430,20150331,6,PM2.5,169.5
50436,20150331,7,PCA,109.58607137345817
50436,20150331,7,PM2.5,134.8
50442,20150331,8,PCA,111.76771237008076
50442,20150331,8,PM2.5,135.6
50448,20150331,9,PCA,127.1849078853201
50448,20150331,9,PM2.5,152.9
50454,20150331,10,PCA,131.50393279990845
50454,20150331,10,PM2.5,154.2
50460,20150331,11,PCA,135.49379175869691
50460,20150331,11,PM2.5,163.7
50466,20150331,12,PCA,130.65308629927128
50466,20150331,12,PM2.5,153.4
50472,20150331,13,PCA,116.54271607273846
50472,20150331,13,PM2.5,138.2
50478,20150331,14,PCA,95.44533748274425
50478,20150331,14,PM2.5,115.1
50484,20150331,15,PCA,96.74640312849964
50484,20150331,15,PM2.5,118.7
50520,20150331,21,PCA,28.33427180028208
50520,20150331,21,PM2.5,64.5
50526,20150331,22,PCA,26.47391172999658
50526,20150331,22,PM2.5,68.95
50532,20150331,23,PCA,24.61355165971109
50532,20150331,23,PM2.5,73.4
50538,20150401,0,PCA,11.214810784295787
50538,20150401,0,PM2.5,67.0
50544,20150401,1,PCA,7.615183057157604
50544,20150401,1,PM2.5,67.9
50550,20150401,2,PCA,4.497056119704695
50550,20150401,2,PM2.5,67.7
50556,20150401,3,PCA,1.518075678798904
50556,20150401,3,PM2.5,66.9
50562,20150401,4,PCA,2.9943442781307024
50562,20150401,4,PM2.5,71.9
50568,20150401,5,PCA,10.593670403744163
50568,20150401,5,PM2.5,81.5
50574,20150401,6,PCA,10.956314352038802
50574,20150401,6,PM2.5,82.9
50580,20150401,7,PCA,12.68582809368752
50580,20150401,7,PM2.5,88.9
50586,20150401,8,PCA,11.688345022881078
50586,20150401,8,PM2.5,90.0
50592,20150401,9,PCA,27.963029818995917
50592,20150401,9,PM2.5,110.3
50598,20150401,10,PCA,20.025955238873905
50598,20150401,10,PM2.5,106.0
50604,20150401,11,PCA,-11.13404017213485
50604,20150401,11,PM2.5,77.35
50610,20150401,12,PCA,-42.2940355831436
50610,20150401,12,PM2.5,48.7
50616,20150401,13,PCA,-51.48219152669965
50616,20150401,13,PM2.5,43.4
50622,20150401,14,PCA,-58.81601009297195
50622,20150401,14,PM2.5,39.1
50628,20150401,15,PCA,-58.26293002406801
50628,20150401,15,PM2.5,42.9
50634,20150401,16,PCA,-59.79087272992105
50634,20150401,16,PM2.5,40.5
50640,20150401,17,PCA,-58.38270146727786
50640,20150401,17,PM2.5,44.7
50646,20150401,18,PCA,-51.43403055156409
50646,20150401,18,PM2.5,51.0
50652,20150401,19,PCA,-46.38287848485616
50652,20150401,19,PM2.5,55.6
50658,20150401,20,PCA,-32.29072598943643
50658,20150401,20,PM2.5,72.5
50664,20150401,21,PCA,-19.561082010308063
50664,20150401,21,PM2.5,84.8
50670,20150401,22,PCA,-36.68843079392696
50670,20150401,22,PM2.5,61.4
50676,20150401,23,PCA,-37.00557949720094
50676,20150401,23,PM2.5,58.3
50682,20150402,0,PCA,-41.77241170770973
50682,20150402,0,PM2.5,54.1
50688,20150402,1,PCA,-54.04262451197529
50688,20150402,1,PM2.5,41.8
50694,20150402,2,PCA,-55.011826903018516
50694,20150402,2,PM2.5,45.4
50700,20150402,3,PCA,-53.77117174125332
50700,20150402,3,PM2.5,47.5
50706,20150402,4,PCA,-48.913926961299715
50706,20150402,4,PM2.5,55.7
50712,20150402,5,PCA,-58.985694212682866
50712,20150402,5,PM2.5,46.1
50718,20150402,6,PCA,-56.34438074835328
50718,20150402,6,PM2.5,48.3
50724,20150402,7,PCA,-57.387244242896905
50724,20150402,7,PM2.5,49.2
50730,20150402,8,PCA,-57.903683655015335
50730,20150402,8,PM2.5,50.1
50736,20150402,9,PCA,-63.77346043193394
50736,20150402,9,PM2.5,47.6
50742,20150402,10,PCA,-60.82605151743474
50742,20150402,10,PM2.5,53.1
50748,20150402,11,PCA,-62.176823925852375
50748,20150402,11,PM2.5,53.2
50754,20150402,12,PCA,-75.28257955019605
50754,20150402,12,PM2.5,39.4
50760,20150402,13,PCA,-76.32939796993912
50760,20150402,13,PM2.5,41.7
50766,20150402,14,PCA,-78.47473343126951
50766,20150402,14,PM2.5,41.8
50772,20150402,15,PCA,-79.18497151144977
50772,20150402,15,PM2.5,42.4
50778,20150402,16,PCA,-77.09939323615589
50778,20150402,16,PM2.5,43.8
50784,20150402,17,PCA,-81.81723653547786
50784,20150402,17,PM2.5,39.0
50790,20150402,18,PCA,-76.88569944645529
50790,20150402,18,PM2.5,45.2
50796,20150402,19,PCA,-78.0667188684479
50796,20150402,19,PM2.5,41.3
50802,20150402,20,PCA,-76.6416751157634
50802,20150402,20,PM2.5,43.1
50808,20150402,21,PCA,-69.77419519194328
50808,20150402,21,PM2.5,50.5
50814,20150402,22,PCA,-58.79554721031032
50814,20150402,22,PM2.5,62.6
50820,20150402,23,PCA,-55.36868292337772
50820,20150402,23,PM2.5,64.2
50826,20150403,0,PCA,-48.14991651402767
50826,20150403,0,PM2.5,70.0
50832,20150403,1,PCA,-33.321163719754935
50832,20150403,1,PM2.5,85.7
50838,20150403,2,PCA,-34.37215069542914
50838,20150403,2,PM2.5,82.5
50844,20150403,3,PCA,-29.7519607470946
50844,20150403,3,PM2.5,82.1
50850,20150403,4,PCA,-28.22298401463088
50850,20150403,4,PM2.5,84.6
50856,20150403,5,PCA,-28.16429117525671
50856,20150403,5,PM2.5,82.4
50862,20150403,6,PCA,-29.92644235687579
50862,20150403,6,PM2.5,73.9
50868,20150403,7,PCA,-23.42574021188653
50868,20150403,7,PM2.5,83.2
50874,20150403,8,PCA,-32.65114290641865
50874,20150403,8,PM2.5,67.2
50880,20150403,9,PCA,-55.08933729533834
50880,20150403,9,PM2.5,48.9
50886,20150403,10,PCA,-63.27113171904969
50886,20150403,10,PM2.5,42.5
50892,20150403,11,PCA,-72.02177425666652
50892,20150403,11,PM2.5,32.0
50898,20150403,12,PCA,-72.38817778074076
50898,20150403,12,PM2.5,35.9
50904,20150403,13,PCA,-73.86848932589302
50904,20150403,13,PM2.5,38.9
50910,20150403,14,PCA,-73.48459471533305
50910,20150403,14,PM2.5,40.7
50916,20150403,15,PCA,-76.35402517101535
50916,20150403,15,PM2.5,39.1
50922,20150403,16,PCA,-54.76247504745047
50922,20150403,16,PM2.5,64.9
50928,20150403,17,PCA,-50.80002635995108
50928,20150403,17,PM2.5,68.5
50934,20150403,18,PCA,-39.791256498974704
50934,20150403,18,PM2.5,79.4
50940,20150403,19,PCA,-39.21037172640763
50940,20150403,19,PM2.5,78.1
50946,20150403,20,PCA,-58.174410132555124
50946,20150403,20,PM2.5,53.7
50952,20150403,21,PCA,-68.36239244351147
50952,20150403,21,PM2.5,39.1
