,date,hour,type,榆垡
564,20140405,22,PCA,-37.374733303786975
564,20140405,22,PM2.5,52.0
570,20140405,23,PCA,-22.616758217711375
570,20140405,23,PM2.5,69.0
576,20140406,0,PCA,-26.357485911761014
576,20140406,0,PM2.5,62.0
582,20140406,1,PCA,-28.73781253939903
582,20140406,1,PM2.5,59.0
588,20140406,2,PCA,-31.267941201010846
588,20140406,2,PM2.5,58.0
594,20140406,3,PCA,-31.049660816923748
594,20140406,3,PM2.5,56.0
600,20140406,4,PCA,-25.934764335503704
600,20140406,4,PM2.5,61.0
606,20140406,5,PCA,-28.170581468221318
606,20140406,5,PM2.5,55.0
612,20140406,6,PCA,-18.933214904271217
612,20140406,6,PM2.5,66.0
618,20140406,7,PCA,-10.613041647734864
618,20140406,7,PM2.5,75.0
624,20140406,8,PCA,-2.811375256209679
624,20140406,8,PM2.5,90.0
630,20140406,9,PCA,2.3721416001800995
630,20140406,9,PM2.5,100.0
636,20140406,10,PCA,16.152935237526513
636,20140406,10,PM2.5,124.0
642,20140406,11,PCA,-4.771985371933012
642,20140406,11,PM2.5,97.5
648,20140406,12,PCA,-26.387281354082162
648,20140406,12,PM2.5,71.0
654,20140406,13,PCA,-25.5209325083129
654,20140406,13,PM2.5,75.0
660,20140406,14,PCA,-18.233890549776326
660,20140406,14,PM2.5,84.0
666,20140406,15,PCA,-30.45381936307078
666,20140406,15,PM2.5,62.0
672,20140406,16,PCA,-30.134484896803976
672,20140406,16,PM2.5,63.0
678,20140406,17,PCA,-32.78672817099172
678,20140406,17,PM2.5,60.0
702,20140408,13,PCA,153.02698454246206
702,20140408,13,PM2.5,221.0
708,20140408,14,PCA,155.90249164323768
708,20140408,14,PM2.5,224.0
714,20140408,15,PCA,117.02056886436002
714,20140408,15,PM2.5,173.0
720,20140408,16,PCA,95.84262353063897
720,20140408,16,PM2.5,142.0
726,20140408,17,PCA,107.86409333478896
726,20140408,17,PM2.5,154.0
732,20140408,18,PCA,103.07233409553352
732,20140408,18,PM2.5,144.0
738,20140408,19,PCA,97.4700831167026
738,20140408,19,PM2.5,131.0
744,20140408,20,PCA,78.2009127637915
744,20140408,20,PM2.5,104.0
750,20140408,21,PCA,79.02784259097068
750,20140408,21,PM2.5,104.5
756,20140408,22,PCA,79.85477241814988
756,20140408,22,PM2.5,105.0
762,20140408,23,PCA,76.38906638207112
762,20140408,23,PM2.5,101.0
768,20140409,0,PCA,73.49759437747963
768,20140409,0,PM2.5,97.0
774,20140409,1,PCA,85.44212989703563
774,20140409,1,PM2.5,114.0
780,20140409,2,PCA,72.60266251630311
780,20140409,2,PM2.5,102.0
786,20140409,3,PCA,80.75856870224519
786,20140409,3,PM2.5,113.0
792,20140409,4,PCA,84.11206455628799
792,20140409,4,PM2.5,117.0
798,20140409,5,PCA,94.73848778064925
798,20140409,5,PM2.5,130.0
804,20140409,6,PCA,107.87949668216693
804,20140409,6,PM2.5,146.0
810,20140409,7,PCA,117.75318947454761
810,20140409,7,PM2.5,154.0
816,20140409,8,PCA,124.52100514798626
816,20140409,8,PM2.5,160.0
822,20140409,9,PCA,143.22579068019647
822,20140409,9,PM2.5,187.0
828,20140409,10,PCA,149.06705339722703
828,20140409,10,PM2.5,200.0
834,20140409,11,PCA,155.23275844165937
834,20140409,11,PM2.5,213.0
840,20140409,12,PCA,152.88605739950822
840,20140409,12,PM2.5,214.0
846,20140409,13,PCA,122.18654102761386
846,20140409,13,PM2.5,183.0
852,20140409,14,PCA,86.76215587536925
852,20140409,14,PM2.5,143.0
858,20140409,15,PCA,26.18708295842245
858,20140409,15,PM2.5,65.0
864,20140409,16,PCA,10.029785185005439
864,20140409,16,PM2.5,46.0
870,20140409,17,PCA,7.0059346714225885
870,20140409,17,PM2.5,47.0
876,20140409,18,PCA,16.865004477804103
876,20140409,18,PM2.5,64.0
882,20140409,19,PCA,21.978191645602134
882,20140409,19,PM2.5,70.0
888,20140409,20,PCA,86.78491866979921
888,20140409,20,PM2.5,155.0
894,20140409,21,PCA,64.9650418370931
894,20140409,21,PM2.5,122.0
900,20140409,22,PCA,67.3396986840732
900,20140409,22,PM2.5,123.0
906,20140409,23,PCA,58.60416766343017
906,20140409,23,PM2.5,107.0
912,20140410,0,PCA,61.049747794082414
912,20140410,0,PM2.5,106.0
918,20140410,1,PCA,60.83384178965581
918,20140410,1,PM2.5,104.0
924,20140410,2,PCA,61.04469840170704
924,20140410,2,PM2.5,99.0
930,20140410,3,PCA,62.72098968623586
930,20140410,3,PM2.5,99.0
936,20140410,4,PCA,58.07762008313574
936,20140410,4,PM2.5,97.0
942,20140410,5,PCA,67.36499279109283
942,20140410,5,PM2.5,98.0
948,20140410,6,PCA,57.12257747669911
948,20140410,6,PM2.5,85.0
954,20140410,7,PCA,58.05076671932203
954,20140410,7,PM2.5,85.0
960,20140410,8,PCA,82.92306797879176
960,20140410,8,PM2.5,116.0
966,20140410,9,PCA,60.53138851239031
966,20140410,9,PM2.5,84.0
972,20140410,10,PCA,73.20138139602106
972,20140410,10,PM2.5,99.0
978,20140410,11,PCA,84.5636171195156
978,20140410,11,PM2.5,111.0
984,20140410,12,PCA,113.3731966207251
984,20140410,12,PM2.5,138.0
990,20140410,13,PCA,83.66082884080186
990,20140410,13,PM2.5,86.0
996,20140410,14,PCA,87.60249075005922
996,20140410,14,PM2.5,73.0
1002,20140410,15,PCA,94.88560935344734
1002,20140410,15,PM2.5,67.0
