,date,hour,type,官园
96990,20160217,14,PCA,-62.340679415058496
96990,20160217,14,PM2.5,35.0
96996,20160217,15,PCA,-57.813921939396096
96996,20160217,15,PM2.5,40.0
97002,20160217,16,PCA,-59.767611673809256
97002,20160217,16,PM2.5,37.0
97008,20160217,17,PCA,-57.185480924505505
97008,20160217,17,PM2.5,38.0
97014,20160217,18,PCA,-51.83461385815547
97014,20160217,18,PM2.5,37.0
97020,20160217,19,PCA,-31.63569379511075
97020,20160217,19,PM2.5,54.0
97026,20160217,20,PCA,-19.114609017268847
97026,20160217,20,PM2.5,62.0
97032,20160217,21,PCA,-8.081778135756686
97032,20160217,21,PM2.5,68.0
97038,20160217,22,PCA,-8.101542018036437
97038,20160217,22,PM2.5,61.0
97044,20160217,23,PCA,-2.284660039070731
97044,20160217,23,PM2.5,68.0
97050,20160218,0,PCA,-7.510497803888155
97050,20160218,0,PM2.5,62.0
97056,20160218,1,PCA,-59.86781208354372
97056,20160218,1,PM2.5,17.0
97062,20160218,2,PCA,-62.000165167384225
97062,20160218,2,PM2.5,15.0
97068,20160218,3,PCA,-63.95835737077597
97068,20160218,3,PM2.5,14.0
97074,20160218,4,PCA,-57.989029522809325
97074,20160218,4,PM2.5,19.0
97080,20160218,5,PCA,-62.44994283284744
97080,20160218,5,PM2.5,16.0
97086,20160218,6,PCA,-67.6310729074907
97086,20160218,6,PM2.5,12.0
97092,20160218,7,PCA,-69.38725532118971
97092,20160218,7,PM2.5,9.0
97098,20160218,8,PCA,-73.190204951323
97098,20160218,8,PM2.5,3.0
97104,20160218,9,PCA,-69.5655376473343
97104,20160218,9,PM2.5,9.0
97110,20160218,10,PCA,-77.0262511285316
97110,20160218,10,PM2.5,7.0
97116,20160218,11,PCA,-79.37693405516988
97116,20160218,11,PM2.5,7.0
97122,20160218,12,PCA,-78.38993601126046
97122,20160218,12,PM2.5,11.0
97128,20160218,13,PCA,-79.03203576192992
97128,20160218,13,PM2.5,10.0
97134,20160218,14,PCA,-79.03584636079434
97134,20160218,14,PM2.5,10.0
97140,20160218,15,PCA,-82.33995746153406
97140,20160218,15,PM2.5,7.0
97146,20160218,16,PCA,-83.23647194968198
97146,20160218,16,PM2.5,7.0
97152,20160218,17,PCA,-79.09137860238071
97152,20160218,17,PM2.5,13.0
97158,20160218,18,PCA,-81.8716375680306
97158,20160218,18,PM2.5,6.0
97164,20160218,19,PCA,-66.02484346324046
97164,20160218,19,PM2.5,17.0
97170,20160218,20,PCA,-74.54731276303752
97170,20160218,20,PM2.5,10.0
97176,20160218,21,PCA,-69.24991967541646
97176,20160218,21,PM2.5,18.0
97182,20160218,22,PCA,-61.14824318670958
97182,20160218,22,PM2.5,26.0
97188,20160218,23,PCA,-65.03176084462332
97188,20160218,23,PM2.5,20.0
97194,20160219,0,PCA,-69.06173124602596
97194,20160219,0,PM2.5,20.0
97200,20160219,1,PCA,-74.75787795004888
97200,20160219,1,PM2.5,15.0
97206,20160219,2,PCA,-82.86337360267058
97206,20160219,2,PM2.5,13.0
97212,20160219,3,PCA,-74.00082297051306
97212,20160219,3,PM2.5,19.0
97218,20160219,4,PCA,-79.55530282522827
97218,20160219,4,PM2.5,12.0
97224,20160219,5,PCA,-78.33952454516873
97224,20160219,5,PM2.5,16.0
97230,20160219,6,PCA,-77.16417566472981
97230,20160219,6,PM2.5,15.0
97236,20160219,7,PCA,-66.19765396602038
97236,20160219,7,PM2.5,14.0
97242,20160219,8,PCA,-62.02511367492156
97242,20160219,8,PM2.5,18.0
97248,20160219,9,PCA,-70.8366075826148
97248,20160219,9,PM2.5,27.0
97254,20160219,10,PCA,-73.39234869135957
97254,20160219,10,PM2.5,29.0
97260,20160219,11,PCA,-82.20516228339685
97260,20160219,11,PM2.5,19.0
97266,20160219,12,PCA,-84.92056330841307
97266,20160219,12,PM2.5,15.0
97272,20160219,13,PCA,-84.98327187468256
97272,20160219,13,PM2.5,15.0
97278,20160219,14,PCA,-87.19389453410123
97278,20160219,14,PM2.5,12.0
97284,20160219,15,PCA,-88.63417888170744
97284,20160219,15,PM2.5,10.0
97290,20160219,16,PCA,-87.86384056989495
97290,20160219,16,PM2.5,11.0
97296,20160219,17,PCA,-88.31911796276697
97296,20160219,17,PM2.5,8.0
97302,20160219,18,PCA,-86.09667804037205
97302,20160219,18,PM2.5,9.0
97308,20160219,19,PCA,-84.56790122617966
97308,20160219,19,PM2.5,10.0
97314,20160219,20,PCA,-86.1741078446781
97314,20160219,20,PM2.5,8.0
97320,20160219,21,PCA,-87.21282308820919
97320,20160219,21,PM2.5,6.0
97326,20160219,22,PCA,-86.78539198046141
97326,20160219,22,PM2.5,9.0
97332,20160219,23,PCA,-90.41333651577355
97332,20160219,23,PM2.5,3.0
97338,20160220,0,PCA,-87.03980671793991
97338,20160220,0,PM2.5,10.0
97344,20160220,1,PCA,-92.89836705462157
97344,20160220,1,PM2.5,4.0
97350,20160220,2,PCA,-92.15662962862945
97350,20160220,2,PM2.5,5.0
97356,20160220,3,PCA,-93.09594620950249
97356,20160220,3,PM2.5,4.0
97362,20160220,4,PCA,-89.66772576033513
97362,20160220,4,PM2.5,6.0
97368,20160220,5,PCA,-95.83797240393791
97368,20160220,5,PM2.5,3.0
97374,20160220,6,PCA,-95.73285015659623
97374,20160220,6,PM2.5,5.0
97380,20160220,7,PCA,-93.73872245751205
97380,20160220,7,PM2.5,7.0
97386,20160220,8,PCA,-91.93569572792906
97386,20160220,8,PM2.5,10.0
97392,20160220,9,PCA,-99.45904647976356
97392,20160220,9,PM2.5,4.0
97398,20160220,10,PCA,-96.7798675382965
97398,20160220,10,PM2.5,8.0
97404,20160220,11,PCA,-96.23267549162681
97404,20160220,11,PM2.5,11.0
97410,20160220,12,PCA,-96.67986367393065
97410,20160220,12,PM2.5,9.0
97416,20160220,13,PCA,-97.89151718437506
97416,20160220,13,PM2.5,7.0
97422,20160220,14,PCA,-93.30816019350986
97422,20160220,14,PM2.5,13.0
97428,20160220,15,PCA,-97.19959784712906
97428,20160220,15,PM2.5,7.0
97434,20160220,16,PCA,-92.54705410461459
97434,20160220,16,PM2.5,14.0
97440,20160220,17,PCA,-92.10634410769048
97440,20160220,17,PM2.5,15.0
97446,20160220,18,PCA,-88.60061607201126
97446,20160220,18,PM2.5,18.0
97452,20160220,19,PCA,-86.25854945429293
97452,20160220,19,PM2.5,21.0
97458,20160220,20,PCA,-79.40399760395299
97458,20160220,20,PM2.5,20.0
97464,20160220,21,PCA,-71.72266439280604
97464,20160220,21,PM2.5,25.0
97470,20160220,22,PCA,-57.05815498264292
97470,20160220,22,PM2.5,31.0
97476,20160220,23,PCA,-51.60086200678985
97476,20160220,23,PM2.5,38.0
97482,20160221,0,PCA,-43.48800431323677
97482,20160221,0,PM2.5,33.0
97488,20160221,1,PCA,-38.589157483806034
97488,20160221,1,PM2.5,40.0
97494,20160221,2,PCA,-33.02416027944055
97494,20160221,2,PM2.5,50.0
97500,20160221,3,PCA,-27.87316251461968
97500,20160221,3,PM2.5,56.0
97506,20160221,4,PCA,-34.91734251909062
97506,20160221,4,PM2.5,49.0
97512,20160221,5,PCA,-48.98300374872049
97512,20160221,5,PM2.5,45.0
97518,20160221,6,PCA,-42.78314723316258
97518,20160221,6,PM2.5,49.0
97524,20160221,7,PCA,-44.93740082499261
97524,20160221,7,PM2.5,42.0
97530,20160221,8,PCA,-44.152875181219024
97530,20160221,8,PM2.5,40.0
97536,20160221,9,PCA,-42.25061011764014
97536,20160221,9,PM2.5,41.0
97542,20160221,10,PCA,-36.72238480020066
97542,20160221,10,PM2.5,51.0
97548,20160221,11,PCA,-18.6983905923966
97548,20160221,11,PM2.5,71.0
97554,20160221,12,PCA,3.4121889047869765
97554,20160221,12,PM2.5,94.0
97560,20160221,13,PCA,-9.888871285819347
97560,20160221,13,PM2.5,82.0
97566,20160221,14,PCA,-15.874424808964292
97566,20160221,14,PM2.5,79.0
97572,20160221,15,PCA,-13.031381538312253
97572,20160221,15,PM2.5,81.0
97578,20160221,16,PCA,-14.29743054718316
97578,20160221,16,PM2.5,77.0
97584,20160221,17,PCA,-5.9931494582151
97584,20160221,17,PM2.5,84.0
97590,20160221,18,PCA,4.192735298941177
97590,20160221,18,PM2.5,89.0
97596,20160221,19,PCA,17.9077831231949
97596,20160221,19,PM2.5,100.0
97602,20160221,20,PCA,32.40950024203992
97602,20160221,20,PM2.5,115.0
97608,20160221,21,PCA,47.524466179629776
97608,20160221,21,PM2.5,125.0
97614,20160221,22,PCA,56.996930754027424
97614,20160221,22,PM2.5,131.0
97620,20160221,23,PCA,60.64897134155795
97620,20160221,23,PM2.5,130.0
97626,20160222,0,PCA,60.353174897101134
97626,20160222,0,PM2.5,123.0
97632,20160222,1,PCA,56.76105332139578
97632,20160222,1,PM2.5,115.0
97638,20160222,2,PCA,55.45831443352068
97638,20160222,2,PM2.5,110.0
97644,20160222,3,PCA,59.85421777981712
97644,20160222,3,PM2.5,113.0
97650,20160222,4,PCA,68.18360627176175
97650,20160222,4,PM2.5,123.0
97656,20160222,5,PCA,64.96737594932692
97656,20160222,5,PM2.5,115.0
97662,20160222,6,PCA,75.7102201625917
97662,20160222,6,PM2.5,125.0
97668,20160222,7,PCA,76.3161735684446
97668,20160222,7,PM2.5,121.0
97674,20160222,8,PCA,76.99884975309962
97674,20160222,8,PM2.5,118.0
97680,20160222,9,PCA,86.68990642651914
97680,20160222,9,PM2.5,129.0
97686,20160222,10,PCA,83.92223946156616
97686,20160222,10,PM2.5,125.0
97692,20160222,11,PCA,42.905124064086124
97692,20160222,11,PM2.5,80.0
97698,20160222,12,PCA,-5.5663815554773635
97698,20160222,12,PM2.5,24.0
97704,20160222,13,PCA,-13.369239074992823
97704,20160222,13,PM2.5,18.0
97710,20160222,14,PCA,-18.368654462525033
97710,20160222,14,PM2.5,14.0
97716,20160222,15,PCA,-24.46773451612723
97716,20160222,15,PM2.5,10.0
97722,20160222,16,PCA,-26.554924324458415
97722,20160222,16,PM2.5,10.0
97728,20160222,17,PCA,-26.297379928555948
97728,20160222,17,PM2.5,14.0
97734,20160222,18,PCA,-31.771229024908788
97734,20160222,18,PM2.5,9.0
97740,20160222,19,PCA,-32.21474973814741
97740,20160222,19,PM2.5,11.0
97746,20160222,20,PCA,-27.495444172764937
97746,20160222,20,PM2.5,24.0
97752,20160222,21,PCA,-29.63420178172951
97752,20160222,21,PM2.5,26.0
97758,20160222,22,PCA,-31.540517954667855
97758,20160222,22,PM2.5,28.0
97764,20160222,23,PCA,-43.324300705579894
97764,20160222,23,PM2.5,20.0
97770,20160223,0,PCA,-49.703508101344944
97770,20160223,0,PM2.5,14.0
97776,20160223,1,PCA,-49.85418020976002
97776,20160223,1,PM2.5,16.0
97782,20160223,2,PCA,-53.74440119077448
97782,20160223,2,PM2.5,14.0
97788,20160223,3,PCA,-63.855909517673275
97788,20160223,3,PM2.5,7.0
97794,20160223,4,PCA,-66.9230591933951
97794,20160223,4,PM2.5,13.0
97800,20160223,5,PCA,-73.65104677689682
97800,20160223,5,PM2.5,8.0
97806,20160223,6,PCA,-77.86639360382104
97806,20160223,6,PM2.5,4.0
97812,20160223,7,PCA,-76.19685838310568
97812,20160223,7,PM2.5,4.0
97818,20160223,8,PCA,-77.0695776954888
97818,20160223,8,PM2.5,7.0
97824,20160223,9,PCA,-81.2836208602517
97824,20160223,9,PM2.5,9.0
97830,20160223,10,PCA,-85.15987964702602
97830,20160223,10,PM2.5,9.0
97836,20160223,11,PCA,-87.79396660861609
97836,20160223,11,PM2.5,11.0
97842,20160223,12,PCA,-87.6993692129133
97842,20160223,12,PM2.5,14.0
97848,20160223,13,PCA,-92.94533762970016
97848,20160223,13,PM2.5,8.0
97854,20160223,14,PCA,-92.5964793386075
97854,20160223,14,PM2.5,11.0
97860,20160223,15,PCA,-93.70774057303309
97860,20160223,15,PM2.5,9.0
97866,20160223,16,PCA,-92.48815169410918
97866,20160223,16,PM2.5,13.0
97872,20160223,17,PCA,-94.73264746441268
97872,20160223,17,PM2.5,10.0
97878,20160223,18,PCA,-91.35782113329154
97878,20160223,18,PM2.5,11.0
97884,20160223,19,PCA,-89.40618966173582
97884,20160223,19,PM2.5,8.0
97890,20160223,20,PCA,-95.5522678733106
97890,20160223,20,PM2.5,5.0
97896,20160223,21,PCA,-92.60692822702117
97896,20160223,21,PM2.5,10.0
97902,20160223,22,PCA,-91.35804680954699
97902,20160223,22,PM2.5,12.0
97908,20160223,23,PCA,-90.78528765261545
97908,20160223,23,PM2.5,13.0
97914,20160224,0,PCA,-92.37898925997358
97914,20160224,0,PM2.5,12.0
97920,20160224,1,PCA,-85.47021058753528
97920,20160224,1,PM2.5,16.0
97926,20160224,2,PCA,-84.15693512031666
97926,20160224,2,PM2.5,15.0
97932,20160224,3,PCA,-62.19918129662456
97932,20160224,3,PM2.5,23.0
97938,20160224,4,PCA,-54.288914007238866
97938,20160224,4,PM2.5,27.0
97944,20160224,5,PCA,-57.08870135715744
97944,20160224,5,PM2.5,40.0
97950,20160224,6,PCA,-35.2976261623805
97950,20160224,6,PM2.5,62.0
97956,20160224,7,PCA,-34.18563935759218
97956,20160224,7,PM2.5,58.0
97962,20160224,8,PCA,-37.885337139753936
97962,20160224,8,PM2.5,47.0
97968,20160224,9,PCA,-32.575198530497495
97968,20160224,9,PM2.5,53.0
97974,20160224,10,PCA,-36.39045026609036
97974,20160224,10,PM2.5,52.0
98022,20160224,18,PCA,-72.79113891438892
98022,20160224,18,PM2.5,19.0
98028,20160224,19,PCA,-72.66717896494966
98028,20160224,19,PM2.5,18.0
98034,20160224,20,PCA,-78.38292890144004
98034,20160224,20,PM2.5,13.0
98040,20160224,21,PCA,-77.2221622511886
98040,20160224,21,PM2.5,12.0
98046,20160224,22,PCA,-81.09063298999482
98046,20160224,22,PM2.5,4.0
98052,20160224,23,PCA,-81.2565552608871
98052,20160224,23,PM2.5,4.0
98058,20160225,0,PCA,-83.57161686258367
98058,20160225,0,PM2.5,3.0
98064,20160225,1,PCA,-80.01836324942991
98064,20160225,1,PM2.5,5.0
98070,20160225,2,PCA,-83.15608556426847
98070,20160225,2,PM2.5,5.0
98076,20160225,3,PCA,-81.41256200379839
98076,20160225,3,PM2.5,8.0
98082,20160225,4,PCA,-80.19694437355115
98082,20160225,4,PM2.5,5.0
98088,20160225,5,PCA,-69.9070809199367
98088,20160225,5,PM2.5,9.0
98094,20160225,6,PCA,-63.44137010328748
98094,20160225,6,PM2.5,14.0
98100,20160225,7,PCA,-57.376708576965854
98100,20160225,7,PM2.5,19.0
98106,20160225,8,PCA,-60.76892373263888
98106,20160225,8,PM2.5,16.0
98112,20160225,9,PCA,-62.704374158938556
98112,20160225,9,PM2.5,18.0
98118,20160225,10,PCA,-53.00695263425577
98118,20160225,10,PM2.5,35.0
98124,20160225,11,PCA,-51.64393299804308
98124,20160225,11,PM2.5,42.0
98142,20160225,14,PCA,-54.00984694077337
98142,20160225,14,PM2.5,33.0
98148,20160225,15,PCA,-53.071523973261066
98148,20160225,15,PM2.5,35.0
98154,20160225,16,PCA,-47.944397122937616
98154,20160225,16,PM2.5,43.0
98160,20160225,17,PCA,-45.942412158729915
98160,20160225,17,PM2.5,43.0
98166,20160225,18,PCA,-37.44120945603131
98166,20160225,18,PM2.5,47.0
98172,20160225,19,PCA,-51.575184380477914
98172,20160225,19,PM2.5,35.0
98178,20160225,20,PCA,-73.4231060875262
98178,20160225,20,PM2.5,11.0
98184,20160225,21,PCA,-69.87061151816884
98184,20160225,21,PM2.5,14.0
98190,20160225,22,PCA,-79.218797208126
98190,20160225,22,PM2.5,12.0
98196,20160225,23,PCA,-87.31169727663513
98196,20160225,23,PM2.5,4.0
98202,20160226,0,PCA,-85.87141292902898
98202,20160226,0,PM2.5,6.0
98208,20160226,1,PCA,-83.69978176347102
98208,20160226,1,PM2.5,8.0
98214,20160226,2,PCA,-86.95392093337603
98214,20160226,2,PM2.5,5.0
98220,20160226,3,PCA,-89.09068981778869
98220,20160226,3,PM2.5,3.0
98226,20160226,4,PCA,-85.8204518279338
98226,20160226,4,PM2.5,6.0
98232,20160226,5,PCA,-86.47445138803579
98232,20160226,5,PM2.5,4.0
98238,20160226,6,PCA,-88.14130418799621
98238,20160226,6,PM2.5,3.0
98244,20160226,7,PCA,-75.91513516403592
98244,20160226,7,PM2.5,7.0
98250,20160226,8,PCA,-66.0247112560068
98250,20160226,8,PM2.5,13.0
98256,20160226,9,PCA,-43.71624839230658
98256,20160226,9,PM2.5,50.0
98262,20160226,10,PCA,-49.525526953052925
98262,20160226,10,PM2.5,44.0
98268,20160226,11,PCA,-48.24574715685201
98268,20160226,11,PM2.5,51.0
98274,20160226,12,PCA,-58.725630338904544
98274,20160226,12,PM2.5,39.0
98280,20160226,13,PCA,-56.063473494411745
98280,20160226,13,PM2.5,46.0
98286,20160226,14,PCA,-59.6801189788988
98286,20160226,14,PM2.5,40.0
98292,20160226,15,PCA,-57.91813075521001
98292,20160226,15,PM2.5,43.0
98298,20160226,16,PCA,-52.80535451077963
98298,20160226,16,PM2.5,50.0
98304,20160226,17,PCA,-46.04707428879344
98304,20160226,17,PM2.5,56.0
98310,20160226,18,PCA,-42.41584893874223
98310,20160226,18,PM2.5,53.0
98316,20160226,19,PCA,-28.6549472493111
98316,20160226,19,PM2.5,66.0
98322,20160226,20,PCA,-17.3008121541932
98322,20160226,20,PM2.5,67.0
98328,20160226,21,PCA,-1.2815489216183764
98328,20160226,21,PM2.5,78.0
98334,20160226,22,PCA,-17.99969124345179
98334,20160226,22,PM2.5,65.0
98340,20160226,23,PCA,-56.82672195921329
98340,20160226,23,PM2.5,19.0
98346,20160227,0,PCA,-50.06891681728643
98346,20160227,0,PM2.5,28.0
98352,20160227,1,PCA,-66.25837499152657
98352,20160227,1,PM2.5,13.0
98358,20160227,2,PCA,-72.24433262024871
98358,20160227,2,PM2.5,5.0
98364,20160227,3,PCA,-70.86408925239672
98364,20160227,3,PM2.5,8.0
98370,20160227,4,PCA,-72.74568879863477
98370,20160227,4,PM2.5,5.0
98376,20160227,5,PCA,-59.75232380828655
98376,20160227,5,PM2.5,16.0
98382,20160227,6,PCA,-57.52194407431176
98382,20160227,6,PM2.5,18.0
98388,20160227,7,PCA,-60.78761274265601
98388,20160227,7,PM2.5,10.0
98394,20160227,8,PCA,-58.5406620539419
98394,20160227,8,PM2.5,8.0
98400,20160227,9,PCA,-62.80475493174535
98400,20160227,9,PM2.5,10.0
98406,20160227,10,PCA,-66.89705255498455
98406,20160227,10,PM2.5,13.0
98412,20160227,11,PCA,-66.78269808472565
98412,20160227,11,PM2.5,15.0
98418,20160227,12,PCA,-67.18700607094843
98418,20160227,12,PM2.5,18.0
98424,20160227,13,PCA,-72.64688852996085
98424,20160227,13,PM2.5,14.0
98430,20160227,14,PCA,-70.84973478404984
98430,20160227,14,PM2.5,16.0
98436,20160227,15,PCA,-66.1738431034396
98436,20160227,15,PM2.5,20.0
98442,20160227,16,PCA,-64.5214014927151
98442,20160227,16,PM2.5,27.0
98448,20160227,17,PCA,-67.00107758119249
98448,20160227,17,PM2.5,27.0
98454,20160227,18,PCA,-71.79918576143565
98454,20160227,18,PM2.5,20.0
98460,20160227,19,PCA,-67.08514385606722
98460,20160227,19,PM2.5,27.0
98466,20160227,20,PCA,-71.64340881672993
98466,20160227,20,PM2.5,22.0
98472,20160227,21,PCA,-41.79505541692003
98472,20160227,21,PM2.5,49.0
98478,20160227,22,PCA,-39.03656421349155
98478,20160227,22,PM2.5,51.0
98484,20160227,23,PCA,-45.69658171794874
98484,20160227,23,PM2.5,43.0
98490,20160228,0,PCA,-57.11135592730859
98490,20160228,0,PM2.5,39.0
98496,20160228,1,PCA,-31.854526293753565
98496,20160228,1,PM2.5,59.0
98502,20160228,2,PCA,-36.62271819831042
98502,20160228,2,PM2.5,53.0
98508,20160228,3,PCA,-34.401704930851416
98508,20160228,3,PM2.5,57.0
98514,20160228,4,PCA,-39.45453607839309
98514,20160228,4,PM2.5,46.0
98520,20160228,5,PCA,-36.45695625608027
98520,20160228,5,PM2.5,50.0
98526,20160228,6,PCA,-30.37587413330352
98526,20160228,6,PM2.5,57.0
98532,20160228,7,PCA,-30.897469274028715
98532,20160228,7,PM2.5,53.0
98538,20160228,8,PCA,-22.623574880321684
98538,20160228,8,PM2.5,61.0
98544,20160228,9,PCA,-17.256748807009878
98544,20160228,9,PM2.5,64.0
98550,20160228,10,PCA,-35.625437121927014
98550,20160228,10,PM2.5,45.0
98556,20160228,11,PCA,-49.3823406795871
98556,20160228,11,PM2.5,36.0
98562,20160228,12,PCA,-71.11033223285075
98562,20160228,12,PM2.5,13.0
98568,20160228,13,PCA,-74.04773651066068
98568,20160228,13,PM2.5,10.0
98574,20160228,14,PCA,-74.31801105542445
98574,20160228,14,PM2.5,10.0
98580,20160228,15,PCA,-73.10429516017247
98580,20160228,15,PM2.5,13.0
98586,20160228,16,PCA,-75.06332451071663
98586,20160228,16,PM2.5,9.0
98592,20160228,17,PCA,-73.38175491581998
98592,20160228,17,PM2.5,12.0
98598,20160228,18,PCA,-71.62434726446578
98598,20160228,18,PM2.5,13.0
98604,20160228,19,PCA,-75.5813149129585
98604,20160228,19,PM2.5,7.0
98610,20160228,20,PCA,-74.97087204627772
98610,20160228,20,PM2.5,8.0
98616,20160228,21,PCA,-73.39327075669992
98616,20160228,21,PM2.5,11.0
98622,20160228,22,PCA,-74.12668440255955
98622,20160228,22,PM2.5,11.0
98628,20160228,23,PCA,-74.29847965712379
98628,20160228,23,PM2.5,10.0
98634,20160229,0,PCA,-81.24304442626615
98634,20160229,0,PM2.5,5.0
98640,20160229,1,PCA,-84.65235351308021
98640,20160229,1,PM2.5,5.0
98646,20160229,2,PCA,-79.29362237388297
98646,20160229,2,PM2.5,10.0
98652,20160229,3,PCA,-80.02040399227423
98652,20160229,3,PM2.5,10.0
98658,20160229,4,PCA,-82.5191651010679
98658,20160229,4,PM2.5,8.0
98664,20160229,5,PCA,-79.90491095276658
98664,20160229,5,PM2.5,12.0
98670,20160229,6,PCA,-79.4233790226188
98670,20160229,6,PM2.5,12.0
98676,20160229,7,PCA,-78.86572951537673
98676,20160229,7,PM2.5,13.0
98682,20160229,8,PCA,-86.34421578967854
98682,20160229,8,PM2.5,9.0
98688,20160229,9,PCA,-83.58173850333381
98688,20160229,9,PM2.5,16.0
98694,20160229,10,PCA,-81.47456411810218
98694,20160229,10,PM2.5,19.0
98700,20160229,11,PCA,-82.82353901361846
98700,20160229,11,PM2.5,17.0
98706,20160229,12,PCA,-69.73923338434321
98706,20160229,12,PM2.5,30.0
98712,20160229,13,PCA,-68.14544923052878
98712,20160229,13,PM2.5,34.0
98718,20160229,14,PCA,-71.88705368021209
98718,20160229,14,PM2.5,37.0
98724,20160229,15,PCA,-62.071593086104265
98724,20160229,15,PM2.5,48.0
98730,20160229,16,PCA,-58.24012511660691
98730,20160229,16,PM2.5,51.0
98736,20160229,17,PCA,-45.943310235151095
98736,20160229,17,PM2.5,63.0
98742,20160229,18,PCA,-53.21530589274486
98742,20160229,18,PM2.5,49.0
98748,20160229,19,PCA,-48.845567791198036
98748,20160229,19,PM2.5,50.0
98754,20160229,20,PCA,-39.8371463175807
98754,20160229,20,PM2.5,56.0
98760,20160229,21,PCA,-37.36028721460699
98760,20160229,21,PM2.5,55.0
98766,20160229,22,PCA,-30.091121940579885
98766,20160229,22,PM2.5,52.0
98772,20160229,23,PCA,-21.229709877671144
98772,20160229,23,PM2.5,58.0
98778,20160301,0,PCA,-25.699410537580807
98778,20160301,0,PM2.5,52.0
98784,20160301,1,PCA,-15.387126223694878
98784,20160301,1,PM2.5,65.0
98790,20160301,2,PCA,-3.6404825641671765
98790,20160301,2,PM2.5,80.0
98796,20160301,3,PCA,9.040370553512151
98796,20160301,3,PM2.5,93.0
98802,20160301,4,PCA,15.56079215851963
98802,20160301,4,PM2.5,98.0
98808,20160301,5,PCA,21.28665277108261
98808,20160301,5,PM2.5,102.0
98814,20160301,6,PCA,26.62546800489207
98814,20160301,6,PM2.5,103.0
98820,20160301,7,PCA,32.63048456886693
98820,20160301,7,PM2.5,108.0
98826,20160301,8,PCA,37.3130647383383
98826,20160301,8,PM2.5,110.0
98832,20160301,9,PCA,40.20164898386312
98832,20160301,9,PM2.5,110.0
98838,20160301,10,PCA,33.09265489622325
98838,20160301,10,PM2.5,101.0
98844,20160301,11,PCA,30.144951121879718
98844,20160301,11,PM2.5,94.0
98850,20160301,12,PCA,34.24092269364938
98850,20160301,12,PM2.5,96.0
98856,20160301,13,PCA,50.1490483213302
98856,20160301,13,PM2.5,112.0
98862,20160301,14,PCA,60.652756340518465
98862,20160301,14,PM2.5,120.0
98868,20160301,15,PCA,59.49376606786437
98868,20160301,15,PM2.5,115.0
98874,20160301,16,PCA,45.61005504709748
98874,20160301,16,PM2.5,102.0
98880,20160301,17,PCA,51.94036222874451
98880,20160301,17,PM2.5,111.0
98886,20160301,18,PCA,63.48338919534123
98886,20160301,18,PM2.5,123.0
98892,20160301,19,PCA,87.99606820182748
98892,20160301,19,PM2.5,142.0
98898,20160301,20,PCA,107.94828299512524
98898,20160301,20,PM2.5,160.0
98904,20160301,21,PCA,118.76742106756699
98904,20160301,21,PM2.5,168.0
98910,20160301,22,PCA,139.87497666134738
98910,20160301,22,PM2.5,186.0
98916,20160301,23,PCA,140.7511743011845
98916,20160301,23,PM2.5,178.0
98922,20160302,0,PCA,138.62596646822053
98922,20160302,0,PM2.5,168.0
98928,20160302,1,PCA,131.55406921609654
98928,20160302,1,PM2.5,153.0
98934,20160302,2,PCA,138.3547145940973
98934,20160302,2,PM2.5,158.0
98940,20160302,3,PCA,152.09177939042962
98940,20160302,3,PM2.5,173.0
98946,20160302,4,PCA,154.0504806952794
98946,20160302,4,PM2.5,171.0
98952,20160302,5,PCA,164.76489173975605
98952,20160302,5,PM2.5,184.0
98958,20160302,6,PCA,168.04990614859412
98958,20160302,6,PM2.5,188.0
98964,20160302,7,PCA,167.73566041369264
98964,20160302,7,PM2.5,183.0
98970,20160302,8,PCA,173.1166725385194
98970,20160302,8,PM2.5,185.0
98976,20160302,9,PCA,181.974581686741
98976,20160302,9,PM2.5,189.0
98982,20160302,10,PCA,197.17776887583446
98982,20160302,10,PM2.5,201.0
98988,20160302,11,PCA,204.68420347644107
98988,20160302,11,PM2.5,205.0
98994,20160302,12,PCA,198.6868409342201
98994,20160302,12,PM2.5,194.0
99000,20160302,13,PCA,195.39906938130952
99000,20160302,13,PM2.5,188.0
99006,20160302,14,PCA,168.71102038291394
99006,20160302,14,PM2.5,151.0
99012,20160302,15,PCA,132.41640956516528
99012,20160302,15,PM2.5,119.0
99018,20160302,16,PCA,121.45393661119193
99018,20160302,16,PM2.5,108.0
99024,20160302,17,PCA,106.83039648976754
99024,20160302,17,PM2.5,96.0
99030,20160302,18,PCA,123.79707906757706
99030,20160302,18,PM2.5,109.0
99036,20160302,19,PCA,148.92103332364607
99036,20160302,19,PM2.5,129.0
99042,20160302,20,PCA,155.12159220422333
99042,20160302,20,PM2.5,134.0
99048,20160302,21,PCA,162.3021177599149
99048,20160302,21,PM2.5,141.0
99054,20160302,22,PCA,170.17871572031984
99054,20160302,22,PM2.5,153.0
99060,20160302,23,PCA,169.3948441338924
99060,20160302,23,PM2.5,153.0
99066,20160303,0,PCA,162.3490826825314
99066,20160303,0,PM2.5,147.0
99072,20160303,1,PCA,165.48839230211817
99072,20160303,1,PM2.5,151.0
99078,20160303,2,PCA,178.47058573917013
99078,20160303,2,PM2.5,168.0
99084,20160303,3,PCA,202.0901761935552
99084,20160303,3,PM2.5,199.0
99090,20160303,4,PCA,219.91320125225448
99090,20160303,4,PM2.5,225.0
99096,20160303,5,PCA,225.65977028743535
