,date,hour,type,官园
522,20140405,15,PM2.5,14.0
528,20140405,16,PCA,-57.85380548553012
528,20140405,16,PM2.5,22.0
534,20140405,17,PCA,-52.35180037640258
534,20140405,17,PM2.5,30.0
540,20140405,18,PCA,-53.96097632466291
540,20140405,18,PM2.5,26.0
546,20140405,19,PCA,-43.96930467541865
546,20140405,19,PM2.5,38.0
552,20140405,20,PCA,-41.22955765584566
552,20140405,20,PM2.5,37.0
558,20140405,21,PCA,-28.18033237821661
558,20140405,21,PM2.5,51.0
564,20140405,22,PCA,-28.84913540166128
564,20140405,22,PM2.5,49.0
570,20140405,23,PCA,-21.191289136459165
570,20140405,23,PM2.5,56.0
576,20140406,0,PCA,-10.44926407345304
576,20140406,0,PM2.5,62.0
582,20140406,1,PCA,0.9289877565505688
582,20140406,1,PM2.5,68.0
588,20140406,2,PCA,7.152734463945866
588,20140406,2,PM2.5,67.0
594,20140406,3,PCA,5.290204565249954
594,20140406,3,PM2.5,64.0
600,20140406,4,PCA,5.942983009646898
600,20140406,4,PM2.5,63.0
606,20140406,5,PCA,4.802457358675283
606,20140406,5,PM2.5,62.0
612,20140406,6,PCA,3.7822349003671207
612,20140406,6,PM2.5,59.0
618,20140406,7,PCA,5.031182759042344
618,20140406,7,PM2.5,59.0
624,20140406,8,PCA,24.061801963663427
624,20140406,8,PM2.5,79.0
630,20140406,9,PCA,24.703230836773326
630,20140406,9,PM2.5,77.0
636,20140406,10,PCA,13.322991812729812
636,20140406,10,PM2.5,70.0
642,20140406,11,PCA,3.9891785583474477
642,20140406,11,PM2.5,61.0
648,20140406,12,PCA,-6.040364632145308
648,20140406,12,PM2.5,52.0
654,20140406,13,PCA,-20.558502664441036
654,20140406,13,PM2.5,49.0
660,20140406,14,PCA,-36.71319910088595
660,20140406,14,PM2.5,32.0
666,20140406,15,PCA,-32.58015758612527
666,20140406,15,PM2.5,40.0
672,20140406,16,PCA,-27.360573828262574
672,20140406,16,PM2.5,46.0
678,20140406,17,PCA,-20.808413331344656
678,20140406,17,PM2.5,50.0
684,20140408,10,PCA,178.08548741180746
684,20140408,10,PM2.5,200.0
702,20140408,13,PCA,118.47028866271569
702,20140408,13,PM2.5,126.0
708,20140408,14,PCA,153.39976841011784
708,20140408,14,PM2.5,198.0
714,20140408,15,PCA,130.10871761064192
714,20140408,15,PM2.5,172.0
