,date,hour,type,昌平
98460,20160227,19,PCA,-50.210341474002696
98460,20160227,19,PM2.5,24.0
98466,20160227,20,PCA,-65.29334362235004
98466,20160227,20,PM2.5,9.0
98472,20160227,21,PCA,-61.52054991158417
98472,20160227,21,PM2.5,21.0
98478,20160227,22,PCA,-55.481768063787705
98478,20160227,22,PM2.5,26.0
98484,20160227,23,PCA,-48.56706022283442
98484,20160227,23,PM2.5,33.0
98490,20160228,0,PCA,-50.02138526885492
98490,20160228,0,PM2.5,33.0
98496,20160228,1,PCA,-29.547168612361578
98496,20160228,1,PM2.5,53.0
98502,20160228,2,PCA,-22.984012164818353
98502,20160228,2,PM2.5,55.0
98508,20160228,3,PCA,-20.480151267966757
98508,20160228,3,PM2.5,56.0
98514,20160228,4,PCA,-21.712256954414883
98514,20160228,4,PM2.5,56.0
98520,20160228,5,PCA,-22.951833320917938
98520,20160228,5,PM2.5,56.0
98526,20160228,6,PCA,-23.058096994837683
98526,20160228,6,PM2.5,56.0
98532,20160228,7,PCA,-18.256713243327955
98532,20160228,7,PM2.5,57.0
98538,20160228,8,PCA,-8.696860888195616
98538,20160228,8,PM2.5,64.0
98544,20160228,9,PCA,-6.37893959486706
98544,20160228,9,PM2.5,65.0
98550,20160228,10,PCA,-39.118387290815356
98550,20160228,10,PM2.5,24.0
98556,20160228,11,PCA,-48.98245494314507
98556,20160228,11,PM2.5,10.0
98562,20160228,12,PCA,-47.22441734176639
98562,20160228,12,PM2.5,18.0
98568,20160228,13,PCA,-51.55850052511251
98568,20160228,13,PM2.5,13.0
98574,20160228,14,PCA,-56.888570164399475
98574,20160228,14,PM2.5,6.0
98580,20160228,15,PCA,-55.56021708347771
98580,20160228,15,PM2.5,10.0
98586,20160228,16,PCA,-50.10419830038732
98586,20160228,16,PM2.5,13.0
98592,20160228,17,PCA,-52.15578798106746
98592,20160228,17,PM2.5,11.0
98598,20160228,18,PCA,-54.99411351234102
98598,20160228,18,PM2.5,10.0
98604,20160228,19,PCA,-58.933657693408506
98604,20160228,19,PM2.5,5.0
98610,20160228,20,PCA,-55.13070860588257
98610,20160228,20,PM2.5,13.0
98616,20160228,21,PCA,-57.65441134402102
98616,20160228,21,PM2.5,10.0
98622,20160228,22,PCA,-55.963337397201244
98622,20160228,22,PM2.5,13.0
98628,20160228,23,PCA,-59.27788076306456
98628,20160228,23,PM2.5,11.0
98634,20160229,0,PCA,-59.36865748593383
98634,20160229,0,PM2.5,10.0
98640,20160229,1,PCA,-59.19440736468447
98640,20160229,1,PM2.5,12.0
98646,20160229,2,PCA,-55.724248520196426
98646,20160229,2,PM2.5,13.0
98652,20160229,3,PCA,-58.94647640115998
98652,20160229,3,PM2.5,9.0
98658,20160229,4,PCA,-56.681726230530046
98658,20160229,4,PM2.5,11.0
98664,20160229,5,PCA,-65.45558021216405
98664,20160229,5,PM2.5,8.0
98670,20160229,6,PCA,-64.05014919624675
98670,20160229,6,PM2.5,14.0
98676,20160229,7,PCA,-53.90096742014008
98676,20160229,7,PM2.5,20.0
98682,20160229,8,PCA,-56.524927800711325
98682,20160229,8,PM2.5,19.0
98688,20160229,9,PCA,-62.19361796610187
98688,20160229,9,PM2.5,19.0
98694,20160229,10,PCA,-60.454055839479565
98694,20160229,10,PM2.5,19.0
98700,20160229,11,PCA,-58.72773490167271
98700,20160229,11,PM2.5,22.0
98718,20160229,14,PCA,-51.03878694650898
98718,20160229,14,PM2.5,27.0
98724,20160229,15,PCA,-40.346515857124196
98724,20160229,15,PM2.5,40.0
98730,20160229,16,PCA,-40.47768792179326
98730,20160229,16,PM2.5,48.0
98736,20160229,17,PCA,-40.120601042539356
98736,20160229,17,PM2.5,48.0
98742,20160229,18,PCA,-26.5096122638216
98742,20160229,18,PM2.5,65.0
98748,20160229,19,PCA,-23.433494867709722
98748,20160229,19,PM2.5,64.0
98754,20160229,20,PCA,-22.436327816161374
98754,20160229,20,PM2.5,58.0
98760,20160229,21,PCA,-5.640881170004455
98760,20160229,21,PM2.5,74.0
98766,20160229,22,PCA,4.065443954679833
98766,20160229,22,PM2.5,83.0
98772,20160229,23,PCA,5.364997797501026
98772,20160229,23,PM2.5,81.0
98778,20160301,0,PCA,10.17597258774457
98778,20160301,0,PM2.5,89.0
98784,20160301,1,PCA,-4.935062606294899
98784,20160301,1,PM2.5,71.0
98790,20160301,2,PCA,-0.07807158084150245
98790,20160301,2,PM2.5,70.0
98796,20160301,3,PCA,18.387396107203607
98796,20160301,3,PM2.5,87.0
98802,20160301,4,PCA,7.621491027617999
98802,20160301,4,PM2.5,72.0
98808,20160301,5,PCA,-1.908725392043525
98808,20160301,5,PM2.5,59.0
98814,20160301,6,PCA,0.09936872245108999
98814,20160301,6,PM2.5,61.0
98820,20160301,7,PCA,3.385148399331157
98820,20160301,7,PM2.5,62.0
98826,20160301,8,PCA,21.685166169746218
98826,20160301,8,PM2.5,82.0
98832,20160301,9,PCA,30.123569923712395
98832,20160301,9,PM2.5,89.0
98838,20160301,10,PCA,33.5013695053401
98838,20160301,10,PM2.5,88.0
98844,20160301,11,PCA,50.65605787002968
98844,20160301,11,PM2.5,104.0
98850,20160301,12,PCA,48.942240856092084
98850,20160301,12,PM2.5,100.0
98856,20160301,13,PCA,54.160726509245414
98856,20160301,13,PM2.5,106.0
98862,20160301,14,PCA,54.0956798088726
98862,20160301,14,PM2.5,100.0
98868,20160301,15,PCA,67.61835852493797
98868,20160301,15,PM2.5,110.0
98874,20160301,16,PCA,62.38212241828386
98874,20160301,16,PM2.5,100.0
98880,20160301,17,PCA,64.35853491851425
98880,20160301,17,PM2.5,99.0
98886,20160301,18,PCA,71.54696225348592
98886,20160301,18,PM2.5,108.0
98892,20160301,19,PCA,80.83577293588415
98892,20160301,19,PM2.5,116.0
98898,20160301,20,PCA,102.07303430639845
98898,20160301,20,PM2.5,139.0
98904,20160301,21,PCA,93.67647669646146
98904,20160301,21,PM2.5,128.0
98910,20160301,22,PCA,92.4237980256256
98910,20160301,22,PM2.5,125.0
98916,20160301,23,PCA,89.95546914777593
98916,20160301,23,PM2.5,120.0
98922,20160302,0,PCA,92.08834093207255
98922,20160302,0,PM2.5,127.0
98928,20160302,1,PCA,92.9227754080204
98928,20160302,1,PM2.5,130.0
98934,20160302,2,PCA,96.45999254607213
98934,20160302,2,PM2.5,135.0
98940,20160302,3,PCA,89.8692936032692
98940,20160302,3,PM2.5,121.0
98946,20160302,4,PCA,94.95858710668693
98946,20160302,4,PM2.5,122.0
98952,20160302,5,PCA,96.14747077099211
98952,20160302,5,PM2.5,121.0
98958,20160302,6,PCA,97.81472114058354
98958,20160302,6,PM2.5,121.0
98964,20160302,7,PCA,103.36259737860365
98964,20160302,7,PM2.5,123.0
98970,20160302,8,PCA,116.70543079556217
98970,20160302,8,PM2.5,135.0
98976,20160302,9,PCA,139.56574701070662
98976,20160302,9,PM2.5,158.0
98982,20160302,10,PCA,153.200998656788
98982,20160302,10,PM2.5,168.0
98988,20160302,11,PCA,158.91453392993358
98988,20160302,11,PM2.5,174.0
98994,20160302,12,PCA,165.43342936292288
98994,20160302,12,PM2.5,178.0
99000,20160302,13,PCA,164.56271104718047
99000,20160302,13,PM2.5,174.0
99006,20160302,14,PCA,79.99783539248133
99006,20160302,14,PM2.5,69.0
99012,20160302,15,PCA,92.37329006105628
99012,20160302,15,PM2.5,84.0
99018,20160302,16,PCA,93.14286558222817
99018,20160302,16,PM2.5,79.0
99024,20160302,17,PCA,100.33185654374421
99024,20160302,17,PM2.5,94.0
99030,20160302,18,PCA,107.52084750526022
99030,20160302,18,PM2.5,109.0
99036,20160302,19,PCA,132.22542418949106
99036,20160302,19,PM2.5,133.0
99042,20160302,20,PCA,154.71919496412036
99042,20160302,20,PM2.5,157.0
99048,20160302,21,PCA,141.09361648010452
99048,20160302,21,PM2.5,145.0
99054,20160302,22,PCA,123.20032273686493
99054,20160302,22,PM2.5,131.0
99060,20160302,23,PCA,115.83585053924273
99060,20160302,23,PM2.5,124.0
99066,20160303,0,PCA,172.2660683430131
99066,20160303,0,PM2.5,186.0
99072,20160303,1,PCA,170.77692232757454
99072,20160303,1,PM2.5,181.0
99078,20160303,2,PCA,161.47840668685868
99078,20160303,2,PM2.5,168.0
99084,20160303,3,PCA,148.29783271554132
99084,20160303,3,PM2.5,148.0
99090,20160303,4,PCA,132.79035504596365
99090,20160303,4,PM2.5,130.0
99096,20160303,5,PCA,133.76407996459244
99096,20160303,5,PM2.5,132.0
99102,20160303,6,PCA,134.00017179253408
99102,20160303,6,PM2.5,136.0
99108,20160303,7,PCA,145.1561804357259
99108,20160303,7,PM2.5,144.0
99114,20160303,8,PCA,186.46127725694973
99114,20160303,8,PM2.5,194.0
99120,20160303,9,PCA,219.07251066056574
99120,20160303,9,PM2.5,231.0
99126,20160303,10,PCA,191.73044956294626
99126,20160303,10,PM2.5,193.0
99132,20160303,11,PCA,215.49483707971334
99132,20160303,11,PM2.5,227.0
99138,20160303,12,PCA,227.8097611718723
99138,20160303,12,PM2.5,242.0
99144,20160303,13,PCA,229.867150788585
99144,20160303,13,PM2.5,249.0
99150,20160303,14,PCA,236.68587815745215
99150,20160303,14,PM2.5,251.0
99156,20160303,15,PCA,262.7944549710596
99156,20160303,15,PM2.5,273.0
99162,20160303,16,PCA,263.68173981703046
99162,20160303,16,PM2.5,271.0
99168,20160303,17,PCA,272.60074906051545
99168,20160303,17,PM2.5,276.0
99174,20160303,18,PCA,279.30567887949474
99174,20160303,18,PM2.5,277.0
99180,20160303,19,PCA,302.84510012866093
99180,20160303,19,PM2.5,295.0
99186,20160303,20,PCA,322.73506631948305
99186,20160303,20,PM2.5,321.0
99192,20160303,21,PCA,301.368904830718
99192,20160303,21,PM2.5,296.0
99198,20160303,22,PCA,303.17304930260207
99198,20160303,22,PM2.5,291.0
99204,20160303,23,PCA,322.88297051722213
99204,20160303,23,PM2.5,307.0
99210,20160304,0,PCA,333.6084232841588
99210,20160304,0,PM2.5,317.0
99216,20160304,1,PCA,305.72597558221804
99216,20160304,1,PM2.5,286.0
99222,20160304,2,PCA,300.9394685275572
99222,20160304,2,PM2.5,280.0
99228,20160304,3,PCA,330.17661034340927
99228,20160304,3,PM2.5,304.0
99234,20160304,4,PCA,324.44134494593703
99234,20160304,4,PM2.5,291.0
99240,20160304,5,PCA,329.4550710184034
99240,20160304,5,PM2.5,295.0
99246,20160304,6,PCA,342.99984016653696
99246,20160304,6,PM2.5,303.0
99252,20160304,7,PCA,359.72335168177625
99252,20160304,7,PM2.5,316.0
99258,20160304,8,PCA,355.93321039580155
99258,20160304,8,PM2.5,305.0
99264,20160304,9,PCA,371.19602879461166
99264,20160304,9,PM2.5,321.0
99270,20160304,10,PCA,386.67651473645776
99270,20160304,10,PM2.5,328.0
99276,20160304,11,PCA,389.49390321383817
99276,20160304,11,PM2.5,324.0
99282,20160304,12,PCA,393.8329439614936
99282,20160304,12,PM2.5,324.0
99288,20160304,13,PCA,411.2707556975134
99288,20160304,13,PM2.5,345.0
99294,20160304,14,PCA,434.52000958315233
99294,20160304,14,PM2.5,370.0
99300,20160304,15,PCA,453.70043678373963
99300,20160304,15,PM2.5,392.0
99306,20160304,16,PCA,440.00952410591714
99306,20160304,16,PM2.5,368.0
99312,20160304,17,PCA,433.3999141142711
99312,20160304,17,PM2.5,353.0
99318,20160304,18,PCA,434.8570012139791
99318,20160304,18,PM2.5,352.0
99324,20160304,19,PCA,461.07982981683176
99324,20160304,19,PM2.5,385.0
99330,20160304,20,PCA,304.87743980250644
99330,20160304,20,PM2.5,176.0
99336,20160304,21,PCA,312.96952870153723
99336,20160304,21,PM2.5,192.0
99342,20160304,22,PCA,195.5542490760527
99342,20160304,22,PM2.5,46.0
99348,20160304,23,PCA,172.6218974323448
99348,20160304,23,PM2.5,33.0
99354,20160305,0,PCA,186.86729129355572
99354,20160305,0,PM2.5,66.0
99360,20160305,1,PCA,187.91202824494883
99360,20160305,1,PM2.5,68.0
99366,20160305,2,PCA,172.03152662382084
99366,20160305,2,PM2.5,57.0
99372,20160305,3,PCA,157.1263959814921
99372,20160305,3,PM2.5,50.0
99378,20160305,4,PCA,144.02369593687672
99378,20160305,4,PM2.5,40.0
99384,20160305,5,PCA,136.56780632099606
99384,20160305,5,PM2.5,46.0
99390,20160305,6,PCA,131.80734682734192
99390,20160305,6,PM2.5,48.0
99396,20160305,7,PCA,120.50364666327684
99396,20160305,7,PM2.5,43.0
99402,20160305,8,PCA,109.59127518249961
99402,20160305,8,PM2.5,35.0
99408,20160305,9,PCA,108.92967520927694
99408,20160305,9,PM2.5,40.0
99414,20160305,10,PCA,104.98463456330124
99414,20160305,10,PM2.5,40.0
99420,20160305,11,PCA,101.12040408479992
99420,20160305,11,PM2.5,36.0
99426,20160305,12,PCA,107.03310845416281
99426,20160305,12,PM2.5,45.0
99432,20160305,13,PCA,96.04401173375584
99432,20160305,13,PM2.5,33.0
99438,20160305,14,PCA,92.05555671330265
99438,20160305,14,PM2.5,38.0
99444,20160305,15,PCA,81.89246598808558
99444,20160305,15,PM2.5,37.0
99450,20160305,16,PCA,72.80920351238584
99450,20160305,16,PM2.5,34.0
99456,20160305,17,PCA,71.47735726242792
99456,20160305,17,PM2.5,42.0
99462,20160305,18,PCA,64.5778226980949
99462,20160305,18,PM2.5,36.0
99468,20160305,19,PCA,79.44850298441483
99468,20160305,19,PM2.5,52.0
99474,20160305,20,PCA,72.13299813403452
99474,20160305,20,PM2.5,47.0
99480,20160305,21,PCA,62.45970779026539
99480,20160305,21,PM2.5,39.0
99486,20160305,22,PCA,67.6125066663635
99486,20160305,22,PM2.5,38.0
99492,20160305,23,PCA,60.873692356803105
99492,20160305,23,PM2.5,33.0
99498,20160306,0,PCA,51.70054761637466
99498,20160306,0,PM2.5,26.0
99504,20160306,1,PCA,55.911085652112085
99504,20160306,1,PM2.5,36.0
99510,20160306,2,PCA,41.932022430991296
99510,20160306,2,PM2.5,29.0
99516,20160306,3,PCA,28.740321338762506
99516,20160306,3,PM2.5,22.0
99522,20160306,4,PCA,24.61154035503563
99522,20160306,4,PM2.5,26.0
99528,20160306,5,PCA,31.050624701336698
99528,20160306,5,PM2.5,32.0
99534,20160306,6,PCA,42.57296286737377
99534,20160306,6,PM2.5,40.0
99540,20160306,7,PCA,28.387536600465587
99540,20160306,7,PM2.5,28.0
99546,20160306,8,PCA,25.95633232487191
99546,20160306,8,PM2.5,32.0
99552,20160306,9,PCA,44.96998921248473
99552,20160306,9,PM2.5,56.0
99558,20160306,10,PCA,61.14282032436264
99558,20160306,10,PM2.5,77.0
99564,20160306,11,PCA,49.155855455285234
99564,20160306,11,PM2.5,63.0
99570,20160306,12,PCA,14.030987373815702
99570,20160306,12,PM2.5,29.0
99576,20160306,13,PCA,14.33124686277314
99576,20160306,13,PM2.5,36.0
99582,20160306,14,PCA,25.820204158505994
99582,20160306,14,PM2.5,53.0
99588,20160306,15,PCA,27.059445638545327
99588,20160306,15,PM2.5,57.0
99594,20160306,16,PCA,23.92461852519999
99594,20160306,16,PM2.5,53.0
99600,20160306,17,PCA,28.47698836222078
99600,20160306,17,PM2.5,61.0
99606,20160306,18,PCA,38.71218214903165
99606,20160306,18,PM2.5,70.0
99612,20160306,19,PCA,54.33706234392785
99612,20160306,19,PM2.5,84.0
99618,20160306,20,PCA,64.34811530439679
99618,20160306,20,PM2.5,99.0
99624,20160306,21,PCA,61.945870297708936
99624,20160306,21,PM2.5,91.0
99630,20160306,22,PCA,69.89568244925695
99630,20160306,22,PM2.5,97.0
99636,20160306,23,PCA,77.70127982150031
99636,20160306,23,PM2.5,105.0
99642,20160307,0,PCA,61.229502391326015
99642,20160307,0,PM2.5,85.0
99648,20160307,1,PCA,34.75380306954149
99648,20160307,1,PM2.5,62.0
99654,20160307,2,PCA,45.72915161568334
99654,20160307,2,PM2.5,66.0
99660,20160307,3,PCA,50.7764825219073
99660,20160307,3,PM2.5,67.0
99666,20160307,4,PCA,61.657007794998925
99666,20160307,4,PM2.5,77.0
99672,20160307,5,PCA,23.64056987453141
99672,20160307,5,PM2.5,34.0
99678,20160307,6,PCA,1.4095422703021554
99678,20160307,6,PM2.5,10.0
99684,20160307,7,PCA,6.900377307142612
99684,20160307,7,PM2.5,15.0
99690,20160307,8,PCA,14.81694011378786
99690,20160307,8,PM2.5,22.0
99696,20160307,9,PCA,10.154092840562832
99696,20160307,9,PM2.5,19.0
99702,20160307,10,PCA,0.7063833766603274
99702,20160307,10,PM2.5,13.0
99708,20160307,11,PCA,-2.1339452927788147
99708,20160307,11,PM2.5,14.0
99714,20160307,12,PCA,-2.9058127440535895
99714,20160307,12,PM2.5,12.0
99720,20160307,13,PCA,-5.7277051173784645
99720,20160307,13,PM2.5,12.0
99726,20160307,14,PCA,-6.9637947586721545
99726,20160307,14,PM2.5,13.0
99750,20160307,18,PCA,-26.31291517705103
99750,20160307,18,PM2.5,7.0
99756,20160307,19,PCA,-30.481122498949325
99756,20160307,19,PM2.5,6.0
99762,20160307,20,PCA,-32.31105139211447
99762,20160307,20,PM2.5,9.0
99768,20160307,21,PCA,-33.54621102615023
99768,20160307,21,PM2.5,12.0
99774,20160307,22,PCA,-40.27000056498879
99774,20160307,22,PM2.5,10.0
99780,20160307,23,PCA,-46.615606217626194
99780,20160307,23,PM2.5,7.0
99840,20160308,9,PCA,-63.21000551302499
99840,20160308,9,PM2.5,4.0
99846,20160308,10,PCA,-61.25565915776791
99846,20160308,10,PM2.5,9.0
99852,20160308,11,PCA,-63.599469600526625
99852,20160308,11,PM2.5,5.0
99858,20160308,12,PCA,-57.282929973979606
99858,20160308,12,PM2.5,12.0
99864,20160308,13,PCA,-57.33342492147244
99864,20160308,13,PM2.5,13.0
99870,20160308,14,PCA,-62.674082140084934
99870,20160308,14,PM2.5,10.0
99876,20160308,15,PCA,-69.10184250505134
99876,20160308,15,PM2.5,11.0
99882,20160308,16,PCA,-68.24871479958817
99882,20160308,16,PM2.5,12.0
99888,20160308,17,PCA,-69.16948555395346
99888,20160308,17,PM2.5,10.0
99894,20160308,18,PCA,-69.02583270869194
99894,20160308,18,PM2.5,11.0
99900,20160308,19,PCA,-72.26198560310618
99900,20160308,19,PM2.5,7.0
99906,20160308,20,PCA,-74.50135794679571
99906,20160308,20,PM2.5,5.0
99912,20160308,21,PCA,-74.35756807960803
99912,20160308,21,PM2.5,7.0
99918,20160308,22,PCA,-73.04802883172458
99918,20160308,22,PM2.5,12.0
99924,20160308,23,PCA,-75.24168427755068
99924,20160308,23,PM2.5,10.0
99930,20160309,0,PCA,-78.09951626383761
99930,20160309,0,PM2.5,6.0
99948,20160309,3,PCA,-80.71548541361268
99948,20160309,3,PM2.5,6.0
99954,20160309,4,PCA,-80.78001614451449
99954,20160309,4,PM2.5,7.0
99960,20160309,5,PCA,-77.12892333466766
99960,20160309,5,PM2.5,11.0
99966,20160309,6,PCA,-79.14880907959802
99966,20160309,6,PM2.5,9.0
99972,20160309,7,PCA,-78.88751199575947
99972,20160309,7,PM2.5,7.0
99978,20160309,8,PCA,-70.04266762430638
99978,20160309,8,PM2.5,15.0
99984,20160309,9,PCA,-77.32729060499403
99984,20160309,9,PM2.5,7.0
99990,20160309,10,PCA,-73.71779371623897
99990,20160309,10,PM2.5,11.0
99996,20160309,11,PCA,-71.17527714506215
99996,20160309,11,PM2.5,13.0
100002,20160309,12,PCA,-73.707901730897
100002,20160309,12,PM2.5,11.0
100008,20160309,13,PCA,-74.50272681327716
100008,20160309,13,PM2.5,10.0
100014,20160309,14,PCA,-75.44715129254115
100014,20160309,14,PM2.5,10.0
100020,20160309,15,PCA,-78.01982026846952
100020,20160309,15,PM2.5,4.0
100026,20160309,16,PCA,-73.86220052589668
100026,20160309,16,PM2.5,9.0
100032,20160309,17,PCA,-70.89666646805307
100032,20160309,17,PM2.5,11.5
100038,20160309,18,PCA,-67.93113241020946
100038,20160309,18,PM2.5,14.0
100044,20160309,19,PCA,-54.60965569790219
100044,20160309,19,PM2.5,21.0
100050,20160309,20,PCA,-53.14242484933972
100050,20160309,20,PM2.5,19.0
100056,20160309,21,PCA,-63.57200728600616
100056,20160309,21,PM2.5,17.0
100062,20160309,22,PCA,-68.65674671304896
100062,20160309,22,PM2.5,10.0
100068,20160309,23,PCA,-64.48616168806949
100068,20160309,23,PM2.5,17.0
100074,20160310,0,PCA,-69.12663843882933
100074,20160310,0,PM2.5,9.0
100080,20160310,1,PCA,-67.66390408369966
100080,20160310,1,PM2.5,9.0
100086,20160310,2,PCA,-63.93938605667445
100086,20160310,2,PM2.5,11.0
100092,20160310,3,PCA,-66.11968926060624
100092,20160310,3,PM2.5,12.0
100098,20160310,4,PCA,-64.22402558542903
100098,20160310,4,PM2.5,12.0
100104,20160310,5,PCA,-71.56360037646449
100104,20160310,5,PM2.5,3.0
100110,20160310,6,PCA,-63.56992000424584
100110,20160310,6,PM2.5,8.0
100116,20160310,7,PCA,-55.6017566997978
100116,20160310,7,PM2.5,14.0
100122,20160310,8,PCA,-60.45553046262385
100122,20160310,8,PM2.5,8.0
100128,20160310,9,PCA,-57.14636936103791
100128,20160310,9,PM2.5,16.0
100134,20160310,10,PCA,-57.317441850237806
100134,20160310,10,PM2.5,11.0
100140,20160310,11,PCA,-58.757074039991636
100140,20160310,11,PM2.5,10.0
100146,20160310,12,PCA,-59.23091119949171
100146,20160310,12,PM2.5,7.0
100152,20160310,13,PCA,-56.350319946446675
100152,20160310,13,PM2.5,12.0
100158,20160310,14,PCA,-53.300421005338904
100158,20160310,14,PM2.5,12.0
100182,20160310,18,PCA,-47.09382262992403
100182,20160310,18,PM2.5,19.0
100188,20160310,19,PCA,-50.59051517196237
100188,20160310,19,PM2.5,13.0
100194,20160310,20,PCA,-53.145127751066795
100194,20160310,20,PM2.5,10.0
100200,20160310,21,PCA,-50.55949002091354
100200,20160310,21,PM2.5,13.0
100206,20160310,22,PCA,-45.3431547356012
100206,20160310,22,PM2.5,20.0
100212,20160310,23,PCA,-49.99923152859032
100212,20160310,23,PM2.5,11.0
100218,20160311,0,PCA,-40.034765240273636
100218,20160311,0,PM2.5,22.0
100224,20160311,1,PCA,-45.07044042853602
100224,20160311,1,PM2.5,19.0
100230,20160311,2,PCA,-47.91170273475786
100230,20160311,2,PM2.5,14.0
100236,20160311,3,PCA,-50.50397963850838
100236,20160311,3,PM2.5,9.0
100242,20160311,4,PCA,-46.18625157123978
100242,20160311,4,PM2.5,13.0
100248,20160311,5,PCA,-52.07986806371205
100248,20160311,5,PM2.5,5.0
100254,20160311,6,PCA,-53.101964599146235
100254,20160311,6,PM2.5,3.0
100260,20160311,7,PCA,-45.288588197728046
100260,20160311,7,PM2.5,10.0
100266,20160311,8,PCA,-40.3113864599327
100266,20160311,8,PM2.5,18.0
100272,20160311,9,PCA,-43.411701697019836
100272,20160311,9,PM2.5,15.0
100278,20160311,10,PCA,-49.48977397051359
100278,20160311,10,PM2.5,7.0
100284,20160311,11,PCA,-49.88988400775339
100284,20160311,11,PM2.5,7.0
100290,20160311,12,PCA,-49.2933505161946
100290,20160311,12,PM2.5,8.0
100296,20160311,13,PCA,-50.44675266640575
100296,20160311,13,PM2.5,8.0
100302,20160311,14,PCA,-47.70176404777115
100302,20160311,14,PM2.5,14.0
100308,20160311,15,PCA,-52.008807144365996
100308,20160311,15,PM2.5,11.0
100314,20160311,16,PCA,-56.962084585228645
100314,20160311,16,PM2.5,8.0
100320,20160311,17,PCA,-54.09136249623028
100320,20160311,17,PM2.5,13.0
100326,20160311,18,PCA,-47.51776994726851
100326,20160311,18,PM2.5,21.0
100332,20160311,19,PCA,-35.24287561139402
100332,20160311,19,PM2.5,34.0
100338,20160311,20,PCA,-24.864959596221837
100338,20160311,20,PM2.5,46.0
100344,20160311,21,PCA,-13.577711261944549
100344,20160311,21,PM2.5,61.0
100350,20160311,22,PCA,-4.730003076334348
100350,20160311,22,PM2.5,70.0
100356,20160311,23,PCA,-26.50118917408489
100356,20160311,23,PM2.5,48.0
100362,20160312,0,PCA,-27.54786894186596
100362,20160312,0,PM2.5,49.0
100368,20160312,1,PCA,-28.029416385607927
100368,20160312,1,PM2.5,50.0
100374,20160312,2,PCA,-27.80319980241248
100374,20160312,2,PM2.5,51.0
100380,20160312,3,PCA,-29.774328580311522
100380,20160312,3,PM2.5,48.0
100386,20160312,4,PCA,-31.984026577236925
100386,20160312,4,PM2.5,44.0
100392,20160312,5,PCA,-26.839178301737615
100392,20160312,5,PM2.5,44.0
100398,20160312,6,PCA,-7.234058643765167
100398,20160312,6,PM2.5,62.0
100404,20160312,7,PCA,-13.80732389390809
100404,20160312,7,PM2.5,49.0
100410,20160312,8,PCA,-7.122531530899687
100410,20160312,8,PM2.5,57.0
100416,20160312,9,PCA,16.748935576246822
100416,20160312,9,PM2.5,85.0
100422,20160312,10,PCA,10.946903382354144
100422,20160312,10,PM2.5,77.0
100428,20160312,11,PCA,13.701399957705869
100428,20160312,11,PM2.5,80.0
100434,20160312,12,PCA,23.72534959911071
100434,20160312,12,PM2.5,92.0
100440,20160312,13,PCA,34.897032354775
100440,20160312,13,PM2.5,103.0
100446,20160312,14,PCA,40.72546512494831
100446,20160312,14,PM2.5,104.0
100452,20160312,15,PCA,43.06647531487515
100452,20160312,15,PM2.5,102.0
100458,20160312,16,PCA,52.75774637596323
100458,20160312,16,PM2.5,109.0
100464,20160312,17,PCA,57.74874948389318
100464,20160312,17,PM2.5,111.0
100470,20160312,18,PCA,59.989278992252544
100470,20160312,18,PM2.5,109.0
100476,20160312,19,PCA,72.61516286524522
100476,20160312,19,PM2.5,118.0
100482,20160312,20,PCA,88.00283608822632
100482,20160312,20,PM2.5,136.0
100488,20160312,21,PCA,86.29340937924472
100488,20160312,21,PM2.5,131.0
100494,20160312,22,PCA,89.61333049680192
100494,20160312,22,PM2.5,132.0
100500,20160312,23,PCA,109.01983318678771
100500,20160312,23,PM2.5,155.0
100506,20160313,0,PCA,81.06628200384911
100506,20160313,0,PM2.5,117.0
100512,20160313,1,PCA,-0.6565671957914129
100512,20160313,1,PM2.5,18.0
100518,20160313,2,PCA,-9.140797832393623
100518,20160313,2,PM2.5,10.0
100524,20160313,3,PCA,-13.861131312432272
100524,20160313,3,PM2.5,4.0
100530,20160313,4,PCA,-9.575054025978552
100530,20160313,4,PM2.5,7.0
100536,20160313,5,PCA,-15.27715177023156
100536,20160313,5,PM2.5,9.0
100542,20160313,6,PCA,-12.855683108576653
100542,20160313,6,PM2.5,11.0
100548,20160313,7,PCA,-6.505332915042465
100548,20160313,7,PM2.5,14.0
100554,20160313,8,PCA,-10.557133854931823
100554,20160313,8,PM2.5,12.0
100560,20160313,9,PCA,-15.276043070084853
100560,20160313,9,PM2.5,14.0
100566,20160313,10,PCA,-17.116617912988144
100566,20160313,10,PM2.5,16.0
100572,20160313,11,PCA,-23.259396460435752
100572,20160313,11,PM2.5,11.0
100578,20160313,12,PCA,-28.425970913364612
100578,20160313,12,PM2.5,10.0
100584,20160313,13,PCA,-30.882550153722725
100584,20160313,13,PM2.5,13.0
100590,20160313,14,PCA,-35.06037194529243
100590,20160313,14,PM2.5,9.0
100596,20160313,15,PCA,-36.03419783692026
100596,20160313,15,PM2.5,14.0
100602,20160313,16,PCA,-40.25638683152077
100602,20160313,16,PM2.5,13.0
100608,20160313,17,PCA,-43.35678072012139
100608,20160313,17,PM2.5,14.0
100614,20160313,18,PCA,-48.340526602532
100614,20160313,18,PM2.5,13.0
100620,20160313,19,PCA,-48.769854496929625
100620,20160313,19,PM2.5,18.0
100626,20160313,20,PCA,-33.848753333360044
100626,20160313,20,PM2.5,31.0
100632,20160313,21,PCA,-34.99600491781383
100632,20160313,21,PM2.5,33.0
100638,20160313,22,PCA,-41.73276210142526
100638,20160313,22,PM2.5,33.0
