,date,hour,type,昌平
510,20140405,13,PM2.5,15.0
516,20140405,14,PCA,-54.05644019746557
516,20140405,14,PM2.5,16.0
522,20140405,15,PCA,-55.93055727879125
522,20140405,15,PM2.5,15.0
528,20140405,16,PCA,-57.509698515739586
528,20140405,16,PM2.5,13.0
534,20140405,17,PCA,-59.65750004177601
534,20140405,17,PM2.5,12.0
540,20140405,18,PCA,-58.959856942397714
540,20140405,18,PM2.5,13.0
546,20140405,19,PCA,-55.345519661972624
546,20140405,19,PM2.5,19.0
552,20140405,20,PCA,-39.75022068178108
552,20140405,20,PM2.5,36.0
558,20140405,21,PCA,-26.678761461654116
558,20140405,21,PM2.5,49.0
564,20140405,22,PCA,-25.200325591486386
564,20140405,22,PM2.5,46.0
570,20140405,23,PCA,-26.708707989714057
570,20140405,23,PM2.5,42.0
576,20140406,0,PCA,-26.389868572118463
576,20140406,0,PM2.5,34.0
582,20140406,1,PCA,-19.14335131549491
582,20140406,1,PM2.5,38.0
588,20140406,2,PCA,-15.291432518360823
588,20140406,2,PM2.5,44.0
594,20140406,3,PCA,-19.805306524277853
594,20140406,3,PM2.5,36.0
600,20140406,4,PCA,-32.4963605265257
600,20140406,4,PM2.5,22.0
606,20140406,5,PCA,-26.457032700096196
606,20140406,5,PM2.5,26.0
612,20140406,6,PCA,-30.65233797934865
612,20140406,6,PM2.5,21.0
618,20140406,7,PCA,-16.690184230293223
618,20140406,7,PM2.5,39.0
624,20140406,8,PCA,-17.275026454773045
624,20140406,8,PM2.5,41.0
630,20140406,9,PCA,4.5111247903725005
630,20140406,9,PM2.5,64.0
636,20140406,10,PCA,5.635241979099549
636,20140406,10,PM2.5,63.0
642,20140406,11,PCA,-9.518020668880231
642,20140406,11,PM2.5,47.0
648,20140406,12,PCA,-24.671283316860002
648,20140406,12,PM2.5,31.0
654,20140406,13,PCA,-31.247175780326444
654,20140406,13,PM2.5,26.0
660,20140406,14,PCA,-25.783335484371843
660,20140406,14,PM2.5,34.0
666,20140406,15,PCA,-30.634105304708395
666,20140406,15,PM2.5,31.0
672,20140406,16,PCA,-26.326536941704262
672,20140406,16,PM2.5,38.0
678,20140406,17,PCA,-20.897698739109522
678,20140406,17,PM2.5,43.0
684,20140408,10,PCA,193.82300015115277
684,20140408,10,PM2.5,189.0
690,20140408,11,PCA,218.55548529024628
690,20140408,11,PM2.5,225.0
696,20140408,12,PCA,197.38824370396588
696,20140408,12,PM2.5,201.0
702,20140408,13,PCA,211.64952639240397
702,20140408,13,PM2.5,215.0
708,20140408,14,PCA,233.08173959066673
708,20140408,14,PM2.5,236.0
714,20140408,15,PCA,253.23443239568962
714,20140408,15,PM2.5,250.0
720,20140408,16,PCA,264.43658993651945
720,20140408,16,PM2.5,287.0
726,20140408,17,PCA,760.004203168572
726,20140408,17,PM2.5,1000.0
732,20140408,18,PCA,297.1553241618064
732,20140408,18,PM2.5,287.0
738,20140408,19,PCA,239.81032943331553
738,20140408,19,PM2.5,193.0
744,20140408,20,PCA,413.79791604403255
744,20140408,20,PM2.5,444.0
750,20140408,21,PCA,260.45345862656876
750,20140408,21,PM2.5,216.0
756,20140408,22,PCA,249.28882325716862
756,20140408,22,PM2.5,200.0
762,20140408,23,PCA,247.04551584521514
762,20140408,23,PM2.5,205.0
768,20140409,0,PCA,232.31338456191742
768,20140409,0,PM2.5,184.0
774,20140409,1,PCA,229.39213998846284
774,20140409,1,PM2.5,177.0
780,20140409,2,PCA,227.3264393446786
780,20140409,2,PM2.5,174.0
786,20140409,3,PCA,224.24888337434945
786,20140409,3,PM2.5,172.0
792,20140409,4,PCA,240.39602522188977
792,20140409,4,PM2.5,171.0
798,20140409,5,PCA,251.51078370478356
798,20140409,5,PM2.5,176.0
804,20140409,6,PCA,231.3908351404579
804,20140409,6,PM2.5,166.0
810,20140409,7,PCA,250.14032030162625
810,20140409,7,PM2.5,180.0
816,20140409,8,PCA,249.60014803934283
816,20140409,8,PM2.5,189.0
822,20140409,9,PCA,266.7337749462025
822,20140409,9,PM2.5,211.0
828,20140409,10,PCA,273.8791854481181
828,20140409,10,PM2.5,225.0
834,20140409,11,PCA,267.4554985965906
834,20140409,11,PM2.5,223.5
840,20140409,12,PCA,261.03181174506307
840,20140409,12,PM2.5,222.0
846,20140409,13,PCA,240.47632557837755
846,20140409,13,PM2.5,193.0
852,20140409,14,PCA,216.29336180561796
852,20140409,14,PM2.5,161.0
858,20140409,15,PCA,207.59074304253227
858,20140409,15,PM2.5,154.0
864,20140409,16,PCA,197.46909136719412
864,20140409,16,PM2.5,144.0
870,20140409,17,PCA,159.83988865817
870,20140409,17,PM2.5,127.0
876,20140409,18,PCA,168.74763407782297
876,20140409,18,PM2.5,145.0
882,20140409,19,PCA,164.6268093854172
882,20140409,19,PM2.5,141.0
888,20140409,20,PCA,154.2444665845479
888,20140409,20,PM2.5,139.0
894,20140409,21,PCA,146.33871940875608
894,20140409,21,PM2.5,128.0
900,20140409,22,PCA,141.2343168333152
900,20140409,22,PM2.5,122.0
906,20140409,23,PCA,146.98483658038452
906,20140409,23,PM2.5,135.0
912,20140410,0,PCA,149.28483103308864
912,20140410,0,PM2.5,135.0
918,20140410,1,PCA,150.16665476018412
918,20140410,1,PM2.5,135.0
924,20140410,2,PCA,155.3379904534598
924,20140410,2,PM2.5,139.0
930,20140410,3,PCA,151.49880241562545
930,20140410,3,PM2.5,136.0
936,20140410,4,PCA,144.2641105948954
936,20140410,4,PM2.5,126.0
942,20140410,5,PCA,137.85778609496796
942,20140410,5,PM2.5,120.0
948,20140410,6,PCA,133.48590317431143
948,20140410,6,PM2.5,114.0
954,20140410,7,PCA,134.10345452149417
954,20140410,7,PM2.5,115.0
960,20140410,8,PCA,140.7327488735719
960,20140410,8,PM2.5,127.0
966,20140410,9,PCA,142.26843745914707
966,20140410,9,PM2.5,139.0
972,20140410,10,PCA,140.51467219355007
972,20140410,10,PM2.5,139.0
978,20140410,11,PCA,154.3200049447862
978,20140410,11,PM2.5,140.0
984,20140410,12,PCA,156.59764564994154
984,20140410,12,PM2.5,126.0
990,20140410,13,PCA,164.54273508226862
990,20140410,13,PM2.5,126.0
996,20140410,14,PCA,183.39537942461774
996,20140410,14,PM2.5,138.0
1002,20140410,15,PCA,190.0454626221065
1002,20140410,15,PM2.5,131.0
1008,20140410,16,PCA,177.7227826440497
1008,20140410,16,PM2.5,107.0
1014,20140410,17,PCA,172.79213042002743
1014,20140410,17,PM2.5,96.0
1020,20140410,18,PCA,154.08908547456215
1020,20140410,18,PM2.5,83.0
1026,20140410,19,PCA,151.18512305574146
1026,20140410,19,PM2.5,88.5
1032,20140410,20,PCA,152.61439135507035
1032,20140410,20,PM2.5,94.0
1038,20140410,21,PCA,151.63599676232306
1038,20140410,21,PM2.5,92.0
1044,20140410,22,PCA,155.84997935249743
1044,20140410,22,PM2.5,98.0
1050,20140410,23,PCA,143.6453447631509
1050,20140410,23,PM2.5,92.0
1056,20140411,0,PCA,117.82631139014751
1056,20140411,0,PM2.5,72.0
1062,20140411,1,PCA,109.86794411043567
1062,20140411,1,PM2.5,71.0
1068,20140411,2,PCA,115.19192932230168
1068,20140411,2,PM2.5,81.0
1074,20140411,3,PCA,97.23401435632698
1074,20140411,3,PM2.5,70.0
1080,20140411,4,PCA,92.12780902733085
1080,20140411,4,PM2.5,66.0
1086,20140411,5,PCA,99.02309257096857
1086,20140411,5,PM2.5,76.0
1092,20140411,6,PCA,105.41660815989258
1092,20140411,6,PM2.5,86.0
1098,20140411,7,PCA,85.45536933884847
1098,20140411,7,PM2.5,66.0
1104,20140411,8,PCA,63.93921619275576
1104,20140411,8,PM2.5,51.0
1110,20140411,9,PCA,40.549353781247376
1110,20140411,9,PM2.5,39.0
1116,20140411,10,PCA,34.21127878833932
1116,20140411,10,PM2.5,43.0
1122,20140411,11,PCA,26.31128931140569
1122,20140411,11,PM2.5,43.0
1128,20140411,12,PCA,20.36392208768739
1128,20140411,12,PM2.5,46.0
1134,20140411,13,PCA,5.348820832454172
1134,20140411,13,PM2.5,34.0
1140,20140411,14,PCA,14.932358879951721
1140,20140411,14,PM2.5,56.0
1146,20140411,15,PCA,22.678361695049794
1146,20140411,15,PM2.5,70.0
1152,20140411,16,PCA,21.95358602013271
1152,20140411,16,PM2.5,67.0
1158,20140411,17,PCA,70.22683758766594
1158,20140411,17,PM2.5,140.0
1164,20140411,18,PCA,34.15281917355303
1164,20140411,18,PM2.5,87.0
1170,20140411,19,PCA,26.491943394849574
1170,20140411,19,PM2.5,78.0
1176,20140411,20,PCA,24.963838868168885
1176,20140411,20,PM2.5,74.0
1182,20140411,21,PCA,35.13422677077359
1182,20140411,21,PM2.5,83.0
1188,20140411,22,PCA,37.41078367182838
1188,20140411,22,PM2.5,85.0
1194,20140411,23,PCA,37.261108595439616
1194,20140411,23,PM2.5,82.0
1200,20140412,0,PCA,24.451469787703427
1200,20140412,0,PM2.5,76.0
1206,20140412,1,PCA,15.014275853146207
1206,20140412,1,PM2.5,66.0
1212,20140412,2,PCA,15.86145700698712
1212,20140412,2,PM2.5,69.0
1218,20140412,3,PCA,14.087695569084788
1218,20140412,3,PM2.5,67.0
1224,20140412,4,PCA,14.99940745382754
1224,20140412,4,PM2.5,69.0
1230,20140412,5,PCA,9.496979150898676
1230,20140412,5,PM2.5,62.0
1236,20140412,6,PCA,9.955179609600103
1236,20140412,6,PM2.5,60.0
1242,20140412,7,PCA,14.932381347395449
1242,20140412,7,PM2.5,68.0
1248,20140412,8,PCA,23.200648269207466
1248,20140412,8,PM2.5,78.0
1254,20140412,9,PCA,42.35435505267169
1254,20140412,9,PM2.5,97.5
1260,20140412,10,PCA,62.23026695582755
1260,20140412,10,PM2.5,117.0
1266,20140412,11,PCA,65.16750042563677
1266,20140412,11,PM2.5,124.0
1272,20140412,12,PCA,71.35631476085578
1272,20140412,12,PM2.5,133.0
1278,20140412,13,PCA,75.11548969800815
1278,20140412,13,PM2.5,132.0
1284,20140412,14,PCA,60.828286851147105
1284,20140412,14,PM2.5,110.0
1290,20140412,15,PCA,74.12124339048624
1290,20140412,15,PM2.5,135.0
1296,20140412,16,PCA,60.726379023652704
1296,20140412,16,PM2.5,115.0
1302,20140412,17,PCA,55.03562046981959
1302,20140412,17,PM2.5,107.0
1308,20140412,18,PCA,49.24464279467953
1308,20140412,18,PM2.5,98.0
1314,20140412,19,PCA,57.15524617841831
1314,20140412,19,PM2.5,104.0
1320,20140412,20,PCA,65.43125260865978
1320,20140412,20,PM2.5,110.0
1326,20140412,21,PCA,81.41981025087247
1326,20140412,21,PM2.5,123.0
1332,20140412,22,PCA,95.21091551943783
1332,20140412,22,PM2.5,130.0
1338,20140412,23,PCA,107.19561045130257
1338,20140412,23,PM2.5,141.0
1344,20140413,0,PCA,105.190296740353
1344,20140413,0,PM2.5,137.0
1350,20140413,1,PCA,86.2245359181231
1350,20140413,1,PM2.5,111.0
1356,20140413,2,PCA,79.6272540951453
1356,20140413,2,PM2.5,100.0
1362,20140413,3,PCA,107.68801222142527
1362,20140413,3,PM2.5,139.0
1368,20140413,4,PCA,84.50018007704395
1368,20140413,4,PM2.5,108.0
1374,20140413,5,PCA,86.37582636788233
1374,20140413,5,PM2.5,108.0
1380,20140413,6,PCA,87.02105552519694
1380,20140413,6,PM2.5,105.0
1386,20140413,7,PCA,90.0325688642038
1386,20140413,7,PM2.5,108.0
1392,20140413,8,PCA,99.27299247419629
1392,20140413,8,PM2.5,121.0
1398,20140413,9,PCA,119.94964923524606
1398,20140413,9,PM2.5,144.0
1404,20140413,10,PCA,135.9183559055014
1404,20140413,10,PM2.5,165.0
1410,20140413,11,PCA,144.62762016711415
1410,20140413,11,PM2.5,179.0
1416,20140413,12,PCA,140.72951037669276
1416,20140413,12,PM2.5,176.0
1422,20140413,13,PCA,156.34992529002218
1422,20140413,13,PM2.5,198.0
1428,20140413,14,PCA,183.34086779658452
1428,20140413,14,PM2.5,227.0
1434,20140413,15,PCA,198.74390038909038
1434,20140413,15,PM2.5,238.0
1440,20140413,16,PCA,187.0985469549943
1440,20140413,16,PM2.5,231.0
1446,20140413,17,PCA,156.83454373465347
1446,20140413,17,PM2.5,185.0
1452,20140413,18,PCA,150.4154994595889
1452,20140413,18,PM2.5,170.0
1458,20140413,19,PCA,145.31581073824466
1458,20140413,19,PM2.5,156.0
1464,20140413,20,PCA,151.26558886085968
1464,20140413,20,PM2.5,157.0
1470,20140413,21,PCA,160.61592285985193
1470,20140413,21,PM2.5,166.0
1476,20140413,22,PCA,175.51397950988593
1476,20140413,22,PM2.5,182.0
1482,20140413,23,PCA,187.54350085310153
1482,20140413,23,PM2.5,194.0
1488,20140414,0,PCA,209.47969567235978
1488,20140414,0,PM2.5,226.0
1494,20140414,1,PCA,233.550966917207
1494,20140414,1,PM2.5,251.0
1500,20140414,2,PCA,214.16982006445843
1500,20140414,2,PM2.5,220.0
1506,20140414,3,PCA,202.70082389172336
1506,20140414,3,PM2.5,203.0
1512,20140414,4,PCA,184.4587807083121
1512,20140414,4,PM2.5,162.0
1518,20140414,5,PCA,186.27405188332668
1518,20140414,5,PM2.5,165.0
1524,20140414,6,PCA,193.51622148545468
1524,20140414,6,PM2.5,174.0
1530,20140414,7,PCA,197.92075565821125
1530,20140414,7,PM2.5,181.0
1536,20140414,8,PCA,206.46754294496637
1536,20140414,8,PM2.5,192.0
1542,20140414,9,PCA,257.0799539161621
1542,20140414,9,PM2.5,257.0
1548,20140414,10,PCA,267.4269292569191
1548,20140414,10,PM2.5,267.0
1554,20140414,11,PCA,273.98070935504927
1554,20140414,11,PM2.5,280.0
1560,20140414,12,PCA,271.57175656422896
1560,20140414,12,PM2.5,276.0
1566,20140414,13,PCA,245.9019851336989
1566,20140414,13,PM2.5,238.0
1572,20140414,14,PCA,243.477128922777
1572,20140414,14,PM2.5,238.0
1578,20140414,15,PCA,263.7987648397677
1578,20140414,15,PM2.5,263.0
1584,20140414,16,PCA,276.29230249631064
1584,20140414,16,PM2.5,275.0
1590,20140414,17,PCA,268.05726298560825
1590,20140414,17,PM2.5,267.0
1596,20140414,18,PCA,257.32125261982526
1596,20140414,18,PM2.5,251.0
1602,20140414,19,PCA,225.02645904787704
1602,20140414,19,PM2.5,196.0
1608,20140414,20,PCA,224.57399462640078
1608,20140414,20,PM2.5,191.0
1614,20140414,21,PCA,248.05398730895604
1614,20140414,21,PM2.5,215.0
1620,20140414,22,PCA,259.1165223739303
1620,20140414,22,PM2.5,232.0
1626,20140414,23,PCA,266.7741767651153
1626,20140414,23,PM2.5,253.0
1632,20140415,0,PCA,252.5444347473863
1632,20140415,0,PM2.5,219.0
1638,20140415,1,PCA,250.61139462868928
1638,20140415,1,PM2.5,223.0
1644,20140415,2,PCA,255.96539719576975
1644,20140415,2,PM2.5,222.0
1650,20140415,3,PCA,272.5532681143796
1650,20140415,3,PM2.5,249.0
1656,20140415,4,PCA,245.82763938344175
1656,20140415,4,PM2.5,199.0
1662,20140415,5,PCA,263.1222088492331
1662,20140415,5,PM2.5,208.0
1818,20140416,7,PCA,16.18180782519335
1818,20140416,7,PM2.5,58.0
1824,20140416,8,PCA,10.97201432213003
1824,20140416,8,PM2.5,48.0
1830,20140416,9,PCA,31.4107507083791
1830,20140416,9,PM2.5,77.0
1836,20140416,10,PCA,35.05489649531852
1836,20140416,10,PM2.5,83.0
1842,20140416,11,PCA,42.20529489518305
1842,20140416,11,PM2.5,91.0
1848,20140416,12,PCA,42.4304404773552
1848,20140416,12,PM2.5,84.0
1854,20140416,13,PCA,56.27031143232914
1854,20140416,13,PM2.5,96.0
1860,20140416,14,PCA,51.248499456432285
1860,20140416,14,PM2.5,87.0
1866,20140416,15,PCA,55.220756232020996
1866,20140416,15,PM2.5,90.0
1872,20140416,16,PCA,152.7513804861678
1872,20140416,16,PM2.5,199.0
1878,20140416,17,PCA,159.23894110714284
1878,20140416,17,PM2.5,176.0
1884,20140416,18,PCA,365.77307929530537
1884,20140416,18,PM2.5,395.0
1890,20140416,19,PCA,187.1002729019108
1890,20140416,19,PM2.5,119.0
1896,20140416,20,PCA,153.0898526088665
1896,20140416,20,PM2.5,97.0
1902,20140416,21,PCA,134.29190935411796
1902,20140416,21,PM2.5,87.0
1908,20140416,22,PCA,66.83025298921352
1908,20140416,22,PM2.5,88.0
1914,20140416,23,PCA,53.9986381786036
1914,20140416,23,PM2.5,84.0
1920,20140417,0,PCA,43.646400896045435
1920,20140417,0,PM2.5,78.0
1926,20140417,1,PCA,53.82245054420741
1926,20140417,1,PM2.5,85.0
1932,20140417,2,PCA,46.953295320088024
1932,20140417,2,PM2.5,81.0
1938,20140417,3,PCA,34.48791874714208
1938,20140417,3,PM2.5,77.0
1944,20140417,4,PCA,37.01030212408744
1944,20140417,4,PM2.5,76.0
1950,20140417,5,PCA,42.7379290542908
1950,20140417,5,PM2.5,82.0
1956,20140417,6,PCA,75.87549754102982
1956,20140417,6,PM2.5,117.0
1962,20140417,7,PCA,46.188153928027866
1962,20140417,7,PM2.5,75.0
1968,20140417,8,PCA,31.147127257959394
1968,20140417,8,PM2.5,62.0
1974,20140417,9,PCA,24.83146763357217
1974,20140417,9,PM2.5,63.0
1980,20140417,10,PCA,21.121247950047177
1980,20140417,10,PM2.5,73.0
1986,20140417,11,PCA,38.988421520320124
1986,20140417,11,PM2.5,92.0
1992,20140417,12,PCA,57.63493730338331
1992,20140417,12,PM2.5,104.0
1998,20140417,13,PCA,64.90270725165485
1998,20140417,13,PM2.5,108.0
2004,20140417,14,PCA,67.67749482407476
2004,20140417,14,PM2.5,109.0
2010,20140417,15,PCA,68.15632967827186
2010,20140417,15,PM2.5,106.0
2016,20140417,16,PCA,68.8279819798677
2016,20140417,16,PM2.5,105.0
2022,20140417,17,PCA,64.23332062777163
2022,20140417,17,PM2.5,101.0
2028,20140417,18,PCA,68.2795104023122
2028,20140417,18,PM2.5,104.0
2034,20140417,19,PCA,78.6262815536017
2034,20140417,19,PM2.5,114.0
2040,20140417,20,PCA,87.96237339268365
2040,20140417,20,PM2.5,123.0
2046,20140417,21,PCA,91.11726900491801
2046,20140417,21,PM2.5,120.0
2052,20140417,22,PCA,95.5886899088788
2052,20140417,22,PM2.5,120.0
2058,20140417,23,PCA,92.7789331740594
2058,20140417,23,PM2.5,117.0
2064,20140418,0,PCA,90.85715941938889
2064,20140418,0,PM2.5,117.0
2070,20140418,1,PCA,93.41627650408013
2070,20140418,1,PM2.5,120.0
2076,20140418,2,PCA,91.59885480351804
2076,20140418,2,PM2.5,109.0
2082,20140418,3,PCA,133.83920996118547
2082,20140418,3,PM2.5,153.0
2088,20140418,4,PCA,134.70100227977537
2088,20140418,4,PM2.5,147.0
2094,20140418,5,PCA,119.06055931086148
2094,20140418,5,PM2.5,132.0
2100,20140418,6,PCA,121.73242237185684
2100,20140418,6,PM2.5,128.0
2106,20140418,7,PCA,131.67664648078897
2106,20140418,7,PM2.5,141.0
2112,20140418,8,PCA,146.36002322810845
2112,20140418,8,PM2.5,158.0
2118,20140418,9,PCA,149.51483514868377
2118,20140418,9,PM2.5,149.0
2124,20140418,10,PCA,176.93300593094082
2124,20140418,10,PM2.5,173.0
2130,20140418,11,PCA,230.62662448173302
2130,20140418,11,PM2.5,231.0
2136,20140418,12,PCA,187.64051523720968
2136,20140418,12,PM2.5,178.0
2286,20140419,13,PCA,10.99645147056702
2286,20140419,13,PM2.5,53.0
2292,20140419,14,PCA,22.332012872717776
2292,20140419,14,PM2.5,71.0
2298,20140419,15,PCA,11.276931891401237
2298,20140419,15,PM2.5,65.0
2304,20140419,16,PCA,57.10765885234375
2304,20140419,16,PM2.5,122.0
2310,20140419,17,PCA,258.9041952464149
2310,20140419,17,PM2.5,328.0
2316,20140419,18,PCA,106.49354196488794
2316,20140419,18,PM2.5,89.0
2322,20140419,19,PCA,102.06093969713162
2322,20140419,19,PM2.5,77.0
2328,20140419,20,PCA,94.85976983372316
2328,20140419,20,PM2.5,79.0
2334,20140419,21,PCA,34.0495062307526
2334,20140419,21,PM2.5,77.0
2340,20140419,22,PCA,25.854811600372653
2340,20140419,22,PM2.5,67.0
2346,20140419,23,PCA,30.402104660059972
2346,20140419,23,PM2.5,81.0
2352,20140420,0,PCA,20.713834688349856
2352,20140420,0,PM2.5,67.0
2358,20140420,1,PCA,27.975019007936236
2358,20140420,1,PM2.5,78.0
2364,20140420,2,PCA,30.255827429496055
2364,20140420,2,PM2.5,79.0
2370,20140420,3,PCA,28.88245007268581
2370,20140420,3,PM2.5,79.0
2376,20140420,4,PCA,19.01878429902877
2376,20140420,4,PM2.5,64.0
2382,20140420,5,PCA,24.560770746577457
2382,20140420,5,PM2.5,71.0
2388,20140420,6,PCA,44.638553471366414
2388,20140420,6,PM2.5,94.0
2394,20140420,7,PCA,35.775104190875666
2394,20140420,7,PM2.5,78.0
2400,20140420,8,PCA,43.49829380181628
2400,20140420,8,PM2.5,86.0
2406,20140420,9,PCA,29.479803196752744
2406,20140420,9,PM2.5,71.0
2412,20140420,10,PCA,30.9201125528813
2412,20140420,10,PM2.5,81.0
2418,20140420,11,PCA,-23.859546586729707
2418,20140420,11,PM2.5,22.0
2424,20140420,12,PCA,-37.50963523337098
2424,20140420,12,PM2.5,23.0
2430,20140420,13,PCA,-48.87766263617892
2430,20140420,13,PM2.5,25.0
2436,20140420,14,PCA,-61.69010027837006
2436,20140420,14,PM2.5,27.0
2442,20140420,15,PCA,-50.181230855151384
2442,20140420,15,PM2.5,31.0
2448,20140420,16,PCA,-42.68999422703011
2448,20140420,16,PM2.5,28.0
2454,20140420,17,PCA,-44.587424154899715
2454,20140420,17,PM2.5,25.0
2460,20140420,18,PCA,-13.1467202950093
2460,20140420,18,PM2.5,62.0
2466,20140420,19,PCA,-41.99787764959612
2466,20140420,19,PM2.5,26.0
2472,20140420,20,PCA,-37.994230612687836
2472,20140420,20,PM2.5,31.0
2478,20140420,21,PCA,37.89583564237691
2478,20140420,21,PM2.5,105.0
2616,20140422,4,PCA,-61.03074570197042
2616,20140422,4,PM2.5,14.0
2622,20140422,5,PCA,-56.127212216212925
2622,20140422,5,PM2.5,27.0
2628,20140422,6,PCA,-39.50125841352211
2628,20140422,6,PM2.5,35.0
2634,20140422,7,PCA,-32.52577589506061
