,date,hour,type,东四
72,20140402,12,PCA,23.363664360980913
72,20140402,12,PM2.5,80.0
78,20140402,13,PCA,26.813885296302377
78,20140402,13,PM2.5,91.0
84,20140402,14,PCA,34.57177840031448
84,20140402,14,PM2.5,103.0
90,20140402,15,PCA,45.18113303740697
90,20140402,15,PM2.5,115.0
96,20140402,16,PCA,35.57317541268379
96,20140402,16,PM2.5,98.0
102,20140402,17,PCA,67.22741685545944
102,20140402,17,PM2.5,133.0
108,20140402,18,PCA,71.0021089593503
108,20140402,18,PM2.5,130.0
114,20140402,19,PCA,63.760402529455334
114,20140402,19,PM2.5,115.0
120,20140402,20,PCA,58.632805235736754
120,20140402,20,PM2.5,101.0
126,20140402,21,PCA,49.82127420244629
126,20140402,21,PM2.5,87.0
132,20140402,22,PCA,31.304887023343184
132,20140402,22,PM2.5,62.0
138,20140402,23,PCA,27.708961305598155
138,20140402,23,PM2.5,59.0
144,20140403,0,PCA,25.272359825220903
144,20140403,0,PM2.5,55.0
150,20140403,1,PCA,20.16929770192666
150,20140403,1,PM2.5,50.0
156,20140403,2,PCA,20.97960622987042
156,20140403,2,PM2.5,52.0
162,20140403,3,PCA,13.818457973676223
162,20140403,3,PM2.5,47.0
168,20140403,4,PCA,16.32903291563632
168,20140403,4,PM2.5,52.0
174,20140403,5,PCA,1.711190812706684
174,20140403,5,PM2.5,34.0
180,20140403,6,PCA,-31.618140592748105
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-38.5521287816592
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-41.84448843179902
192,20140403,8,PM2.5,4.0
198,20140403,9,PCA,-45.55466378271433
198,20140403,9,PM2.5,11.0
204,20140403,10,PCA,-54.762219794072024
204,20140403,10,PM2.5,6.0
210,20140403,11,PCA,-57.67817122984763
210,20140403,11,PM2.5,8.0
216,20140403,12,PCA,-55.00658021671066
216,20140403,12,PM2.5,13.0
222,20140403,13,PCA,-62.24630654433699
222,20140403,13,PM2.5,3.0
228,20140403,14,PCA,-61.04188955844114
228,20140403,14,PM2.5,7.0
234,20140403,15,PCA,-61.18965187595978
234,20140403,15,PM2.5,9.0
240,20140403,16,PCA,-63.89609950554723
240,20140403,16,PM2.5,6.0
246,20140403,17,PCA,-59.96982765954244
246,20140403,17,PM2.5,12.0
252,20140403,18,PCA,-61.99271729557454
252,20140403,18,PM2.5,11.0
258,20140403,19,PCA,-58.773249390212875
258,20140403,19,PM2.5,16.0
264,20140403,20,PCA,-61.418413583127666
264,20140403,20,PM2.5,11.0
270,20140403,21,PCA,-54.65256569648641
270,20140403,21,PM2.5,18.0
276,20140403,22,PCA,-47.24330443898772
276,20140403,22,PM2.5,25.0
282,20140403,23,PCA,-43.77316918643931
282,20140403,23,PM2.5,26.0
288,20140404,0,PCA,-40.89671647874359
288,20140404,0,PM2.5,37.0
294,20140404,1,PCA,-44.34787850771452
294,20140404,1,PM2.5,32.0
300,20140404,2,PCA,-49.89541497712052
300,20140404,2,PM2.5,26.0
306,20140404,3,PCA,-47.332802437484965
306,20140404,3,PM2.5,27.0
312,20140404,4,PCA,-42.374797920926504
312,20140404,4,PM2.5,32.0
318,20140404,5,PCA,-41.686718365873396
318,20140404,5,PM2.5,31.0
324,20140404,6,PCA,-35.91034687592979
324,20140404,6,PM2.5,33.0
330,20140404,7,PCA,-27.819185565256923
330,20140404,7,PM2.5,38.0
336,20140404,8,PCA,-22.072710071105288
336,20140404,8,PM2.5,43.0
342,20140404,9,PCA,-10.454494377976072
342,20140404,9,PM2.5,55.0
348,20140404,10,PCA,-2.4094939403263527
348,20140404,10,PM2.5,63.0
354,20140404,11,PCA,-2.996856667213196
354,20140404,11,PM2.5,60.0
360,20140404,12,PCA,-22.03042405725287
360,20140404,12,PM2.5,39.0
366,20140404,13,PCA,-30.27966164893665
366,20140404,13,PM2.5,42.0
372,20140404,14,PCA,-53.29197469666795
372,20140404,14,PM2.5,23.0
378,20140404,15,PCA,-56.40353462481073
378,20140404,15,PM2.5,18.0
384,20140404,16,PCA,-58.81235048624783
384,20140404,16,PM2.5,14.0
390,20140404,17,PCA,-58.74727934768138
390,20140404,17,PM2.5,12.0
396,20140404,18,PCA,-54.537288275220284
396,20140404,18,PM2.5,16.0
402,20140404,19,PCA,-55.946353240915386
402,20140404,19,PM2.5,9.0
408,20140404,20,PCA,-46.09311908955974
408,20140404,20,PM2.5,17.0
414,20140404,21,PCA,-44.41598970214133
414,20140404,21,PM2.5,15.0
420,20140404,22,PCA,-27.93681877026833
420,20140404,22,PM2.5,30.0
426,20140404,23,PCA,-25.137876891991223
426,20140404,23,PM2.5,37.0
432,20140405,0,PCA,-30.35095412561744
432,20140405,0,PM2.5,29.0
438,20140405,1,PCA,-31.993520814547026
438,20140405,1,PM2.5,27.0
444,20140405,2,PCA,-28.63674083709315
444,20140405,2,PM2.5,34.0
450,20140405,3,PCA,-31.293710438588924
450,20140405,3,PM2.5,31.0
456,20140405,4,PCA,-27.149938433802184
456,20140405,4,PM2.5,32.0
462,20140405,5,PCA,-21.49488994632665
462,20140405,5,PM2.5,34.0
468,20140405,6,PCA,-29.631144005527574
468,20140405,6,PM2.5,24.0
474,20140405,7,PCA,-44.009255683914056
474,20140405,7,PM2.5,13.0
480,20140405,8,PCA,-50.11405204895763
480,20140405,8,PM2.5,12.0
486,20140405,9,PCA,-62.54549185042359
486,20140405,9,PM2.5,5.0
492,20140405,10,PCA,-64.2066196733895
492,20140405,10,PM2.5,7.0
498,20140405,11,PCA,-67.82965647294147
498,20140405,11,PM2.5,4.0
504,20140405,12,PCA,-66.80711206658238
504,20140405,12,PM2.5,7.0
510,20140405,13,PCA,-67.23286202710412
510,20140405,13,PM2.5,8.0
516,20140405,14,PCA,-61.2597026280209
516,20140405,14,PM2.5,15.0
522,20140405,15,PCA,-63.853408690575435
522,20140405,15,PM2.5,15.0
528,20140405,16,PCA,-69.17121302828615
528,20140405,16,PM2.5,8.0
534,20140405,17,PCA,-72.7266010093333
534,20140405,17,PM2.5,3.0
540,20140405,18,PCA,-50.66714538849289
540,20140405,18,PM2.5,33.0
546,20140405,19,PCA,-49.2782962534765
546,20140405,19,PM2.5,34.0
552,20140405,20,PCA,-35.699576344934904
552,20140405,20,PM2.5,52.0
558,20140405,21,PCA,-34.675211844122195
558,20140405,21,PM2.5,48.0
564,20140405,22,PCA,-28.500118427112238
564,20140405,22,PM2.5,56.0
570,20140405,23,PCA,-27.749400272231973
570,20140405,23,PM2.5,55.0
576,20140406,0,PCA,-23.083890274301677
576,20140406,0,PM2.5,57.0
582,20140406,1,PCA,-16.516197954782943
582,20140406,1,PM2.5,59.0
588,20140406,2,PCA,-9.224697342259793
588,20140406,2,PM2.5,65.0
594,20140406,3,PCA,-6.934038084947555
594,20140406,3,PM2.5,64.0
600,20140406,4,PCA,-7.203286656487973
600,20140406,4,PM2.5,60.0
606,20140406,5,PCA,-4.878059085160697
606,20140406,5,PM2.5,61.0
612,20140406,6,PCA,-1.323079558091295
612,20140406,6,PM2.5,64.0
618,20140406,7,PCA,0.32157615359676084
618,20140406,7,PM2.5,65.0
624,20140406,8,PCA,10.805253996322131
624,20140406,8,PM2.5,75.0
630,20140406,9,PCA,18.08958157014726
630,20140406,9,PM2.5,81.0
636,20140406,10,PCA,-5.488363707602466
636,20140406,10,PM2.5,56.0
642,20140406,11,PCA,-19.5722878037516
642,20140406,11,PM2.5,43.0
648,20140406,12,PCA,-6.225862441638419
648,20140406,12,PM2.5,58.0
654,20140406,13,PCA,-29.264351491641623
654,20140406,13,PM2.5,41.0
660,20140406,14,PCA,-43.3108537862303
660,20140406,14,PM2.5,28.0
666,20140406,15,PCA,-33.87584378962787
666,20140406,15,PM2.5,40.0
672,20140406,16,PCA,-28.82395837356066
672,20140406,16,PM2.5,44.0
678,20140406,17,PCA,-22.02822335039234
678,20140406,17,PM2.5,48.0
684,20140408,10,PCA,189.68006386878432
684,20140408,10,PM2.5,209.0
690,20140408,11,PCA,202.44157801829112
690,20140408,11,PM2.5,223.0
696,20140408,12,PCA,209.4157256965161
696,20140408,12,PM2.5,235.0
702,20140408,13,PCA,174.82968426906993
702,20140408,13,PM2.5,203.0
708,20140408,14,PCA,122.73319757044383
708,20140408,14,PM2.5,144.0
714,20140408,15,PCA,119.55115708216883
714,20140408,15,PM2.5,145.0
720,20140408,16,PCA,157.2365140825909
720,20140408,16,PM2.5,196.0
726,20140408,17,PCA,121.05047739955137
726,20140408,17,PM2.5,140.0
732,20140408,18,PCA,125.06999634668593
732,20140408,18,PM2.5,142.0
738,20140408,19,PCA,138.64167024737395
738,20140408,19,PM2.5,158.0
744,20140408,20,PCA,138.90849602192154
744,20140408,20,PM2.5,155.0
750,20140408,21,PCA,139.1269985767876
750,20140408,21,PM2.5,149.0
756,20140408,22,PCA,139.3270887743799
756,20140408,22,PM2.5,147.0
762,20140408,23,PCA,141.62919742946386
762,20140408,23,PM2.5,147.0
768,20140409,0,PCA,142.45203273076416
768,20140409,0,PM2.5,146.0
774,20140409,1,PCA,139.09533943722525
774,20140409,1,PM2.5,144.0
780,20140409,2,PCA,136.3760253652709
780,20140409,2,PM2.5,142.0
786,20140409,3,PCA,144.3415252215544
786,20140409,3,PM2.5,151.0
792,20140409,4,PCA,146.92877872770492
792,20140409,4,PM2.5,159.0
798,20140409,5,PCA,149.39122506986217
798,20140409,5,PM2.5,162.0
804,20140409,6,PCA,144.94370713163246
804,20140409,6,PM2.5,150.0
810,20140409,7,PCA,176.5341978916525
810,20140409,7,PM2.5,175.0
816,20140409,8,PCA,184.66263784264947
816,20140409,8,PM2.5,186.0
822,20140409,9,PCA,162.025798794934
822,20140409,9,PM2.5,166.0
828,20140409,10,PCA,157.7424277123396
828,20140409,10,PM2.5,171.0
834,20140409,11,PCA,147.6336004371168
834,20140409,11,PM2.5,169.0
840,20140409,12,PCA,71.19318160595576
840,20140409,12,PM2.5,76.0
846,20140409,13,PCA,37.25305003104686
846,20140409,13,PM2.5,38.0
852,20140409,14,PCA,31.43683669563191
852,20140409,14,PM2.5,36.0
858,20140409,15,PCA,22.323891807823443
858,20140409,15,PM2.5,29.0
864,20140409,16,PCA,29.643912996371892
864,20140409,16,PM2.5,49.0
870,20140409,17,PCA,26.895516388200022
870,20140409,17,PM2.5,43.0
876,20140409,18,PCA,33.60531924639697
876,20140409,18,PM2.5,59.0
882,20140409,19,PCA,42.98967179813527
882,20140409,19,PM2.5,73.0
888,20140409,20,PCA,75.2641384199009
888,20140409,20,PM2.5,120.0
894,20140409,21,PCA,61.58346105605462
894,20140409,21,PM2.5,104.0
900,20140409,22,PCA,61.7050937150515
900,20140409,22,PM2.5,98.0
906,20140409,23,PCA,79.06659377628726
906,20140409,23,PM2.5,121.0
912,20140410,0,PCA,82.37565372725554
912,20140410,0,PM2.5,126.0
918,20140410,1,PCA,77.95648810120291
918,20140410,1,PM2.5,119.0
924,20140410,2,PCA,63.19447752591173
924,20140410,2,PM2.5,95.0
930,20140410,3,PCA,63.386612109664405
930,20140410,3,PM2.5,90.0
936,20140410,4,PCA,68.21572835353835
936,20140410,4,PM2.5,90.0
942,20140410,5,PCA,77.13832814686475
942,20140410,5,PM2.5,93.0
948,20140410,6,PCA,81.82077194363322
948,20140410,6,PM2.5,89.0
954,20140410,7,PCA,88.71916404096372
954,20140410,7,PM2.5,88.0
960,20140410,8,PCA,82.04295779794818
960,20140410,8,PM2.5,78.0
966,20140410,9,PCA,91.89561138450746
966,20140410,9,PM2.5,78.0
972,20140410,10,PCA,97.58824146635872
972,20140410,10,PM2.5,66.0
978,20140410,11,PCA,116.45193858144857
978,20140410,11,PM2.5,69.0
984,20140410,12,PCA,124.48344045124804
984,20140410,12,PM2.5,56.0
990,20140410,13,PCA,140.4847796274312
990,20140410,13,PM2.5,59.0
996,20140410,14,PCA,140.56207476212757
996,20140410,14,PM2.5,52.0
1002,20140410,15,PCA,131.36693187059188
1002,20140410,15,PM2.5,35.0
1008,20140410,16,PCA,152.4851791008708
1008,20140410,16,PM2.5,60.0
1014,20140410,17,PCA,157.30054517212287
1014,20140410,17,PM2.5,74.0
1020,20140410,18,PCA,137.23954072539436
1020,20140410,18,PM2.5,47.0
1026,20140410,19,PCA,133.8769851819943
1026,20140410,19,PM2.5,52.0
1032,20140410,20,PCA,127.72224260329101
1032,20140410,20,PM2.5,57.0
1038,20140410,21,PCA,132.99205474247256
1038,20140410,21,PM2.5,62.0
1044,20140410,22,PCA,130.79680167867946
1044,20140410,22,PM2.5,62.0
1050,20140410,23,PCA,130.29075233919062
1050,20140410,23,PM2.5,64.0
1056,20140411,0,PCA,130.96462091654303
1056,20140411,0,PM2.5,71.0
1062,20140411,1,PCA,124.0465105049787
1062,20140411,1,PM2.5,67.0
1068,20140411,2,PCA,109.24400639048226
1068,20140411,2,PM2.5,62.0
1074,20140411,3,PCA,118.15598926626474
1074,20140411,3,PM2.5,91.0
1080,20140411,4,PCA,98.70865591581578
1080,20140411,4,PM2.5,81.0
1086,20140411,5,PCA,68.24788605832188
1086,20140411,5,PM2.5,56.0
1092,20140411,6,PCA,61.94918785682988
1092,20140411,6,PM2.5,58.0
1098,20140411,7,PCA,43.53413489463033
1098,20140411,7,PM2.5,48.0
1104,20140411,8,PCA,27.153630834023698
1104,20140411,8,PM2.5,46.0
1110,20140411,9,PCA,16.09319066333153
1110,20140411,9,PM2.5,34.0
1116,20140411,10,PCA,12.278969232942416
1116,20140411,10,PM2.5,30.0
1122,20140411,11,PCA,7.119672957511787
1122,20140411,11,PM2.5,41.0
1128,20140411,12,PCA,4.29727701561872
1128,20140411,12,PM2.5,47.0
1134,20140411,13,PCA,-12.60022936328484
1134,20140411,13,PM2.5,30.0
1140,20140411,14,PCA,-16.812238904981275
1140,20140411,14,PM2.5,36.0
1146,20140411,15,PCA,-31.760050169857458
1146,20140411,15,PM2.5,24.0
1152,20140411,16,PCA,-23.677399741096636
1152,20140411,16,PM2.5,41.0
1158,20140411,17,PCA,-20.24528750334191
1158,20140411,17,PM2.5,49.0
1164,20140411,18,PCA,-19.60882459715812
1164,20140411,18,PM2.5,52.0
1170,20140411,19,PCA,-14.69517985200528
1170,20140411,19,PM2.5,58.0
1176,20140411,20,PCA,-5.198818448401513
1176,20140411,20,PM2.5,66.0
1182,20140411,21,PCA,-3.3304561064330307
1182,20140411,21,PM2.5,67.0
1188,20140411,22,PCA,27.799221877642264
1188,20140411,22,PM2.5,94.0
1194,20140411,23,PCA,20.591021464200438
1194,20140411,23,PM2.5,94.0
1200,20140412,0,PCA,15.147447634092
1200,20140412,0,PM2.5,88.0
1206,20140412,1,PCA,17.98291420277192
1206,20140412,1,PM2.5,92.0
1212,20140412,2,PCA,22.440319540161543
1212,20140412,2,PM2.5,92.0
1218,20140412,3,PCA,19.352902670264164
1218,20140412,3,PM2.5,89.0
1224,20140412,4,PCA,27.508260349038245
1224,20140412,4,PM2.5,100.0
1230,20140412,5,PCA,24.377791540540553
1230,20140412,5,PM2.5,93.0
1236,20140412,6,PCA,33.99423142195553
1236,20140412,6,PM2.5,104.0
1242,20140412,7,PCA,41.47481454449727
1242,20140412,7,PM2.5,111.0
1248,20140412,8,PCA,56.313415020101125
1248,20140412,8,PM2.5,125.0
1254,20140412,9,PCA,72.15037010824375
1254,20140412,9,PM2.5,142.0
1260,20140412,10,PCA,77.33495049172551
1260,20140412,10,PM2.5,146.0
1266,20140412,11,PCA,61.276885565416485
1266,20140412,11,PM2.5,122.0
1272,20140412,12,PCA,50.05426662365675
1272,20140412,12,PM2.5,123.0
1278,20140412,13,PCA,36.137185844657125
1278,20140412,13,PM2.5,110.0
1284,20140412,14,PCA,38.59038322341796
1284,20140412,14,PM2.5,115.0
1290,20140412,15,PCA,26.190576463846057
1290,20140412,15,PM2.5,91.0
1296,20140412,16,PCA,29.668388558138133
1296,20140412,16,PM2.5,91.0
1302,20140412,17,PCA,31.833049251020512
1302,20140412,17,PM2.5,91.0
1308,20140412,18,PCA,61.69944943963257
1308,20140412,18,PM2.5,127.0
1314,20140412,19,PCA,60.14037549763285
1314,20140412,19,PM2.5,123.0
1320,20140412,20,PCA,49.83620931889208
1320,20140412,20,PM2.5,103.0
1326,20140412,21,PCA,69.35848703934342
1326,20140412,21,PM2.5,120.0
1332,20140412,22,PCA,63.48123349648176
1332,20140412,22,PM2.5,90.0
1338,20140412,23,PCA,68.99663055504854
1338,20140412,23,PM2.5,94.0
1344,20140413,0,PCA,73.3295066285895
1344,20140413,0,PM2.5,111.0
1350,20140413,1,PCA,81.62320838735917
1350,20140413,1,PM2.5,130.0
1356,20140413,2,PCA,86.67731547255555
1356,20140413,2,PM2.5,137.0
1362,20140413,3,PCA,99.85200931739149
1362,20140413,3,PM2.5,149.0
1368,20140413,4,PCA,109.51218116865378
1368,20140413,4,PM2.5,157.0
1374,20140413,5,PCA,117.0583279339123
1374,20140413,5,PM2.5,160.0
1380,20140413,6,PCA,98.2308020537932
1380,20140413,6,PM2.5,129.0
1386,20140413,7,PCA,104.84224722389067
1386,20140413,7,PM2.5,130.0
1392,20140413,8,PCA,110.5310411033102
1392,20140413,8,PM2.5,138.0
1398,20140413,9,PCA,122.64200839977703
1398,20140413,9,PM2.5,155.0
1404,20140413,10,PCA,139.39112703139108
1404,20140413,10,PM2.5,184.0
1410,20140413,11,PCA,156.27966526679984
1410,20140413,11,PM2.5,204.0
1416,20140413,12,PCA,151.99746712026501
1416,20140413,12,PM2.5,201.0
1422,20140413,13,PCA,148.29021060401166
1422,20140413,13,PM2.5,204.0
1428,20140413,14,PCA,133.63138521774584
1428,20140413,14,PM2.5,196.0
1434,20140413,15,PCA,101.37737932560859
1434,20140413,15,PM2.5,151.0
1440,20140413,16,PCA,119.42628777837272
1440,20140413,16,PM2.5,174.0
1446,20140413,17,PCA,122.15509673871873
1446,20140413,17,PM2.5,171.0
1452,20140413,18,PCA,101.05106934540544
1452,20140413,18,PM2.5,138.0
1458,20140413,19,PCA,86.00119021542874
1458,20140413,19,PM2.5,113.0
1464,20140413,20,PCA,115.05400791310738
1464,20140413,20,PM2.5,145.0
1470,20140413,21,PCA,138.80699732427024
1470,20140413,21,PM2.5,169.0
1476,20140413,22,PCA,167.07460314072958
1476,20140413,22,PM2.5,193.0
1482,20140413,23,PCA,194.00475625827457
1482,20140413,23,PM2.5,212.0
1488,20140414,0,PCA,213.83260602073804
1488,20140414,0,PM2.5,225.0
1494,20140414,1,PCA,217.56022102827242
1494,20140414,1,PM2.5,229.0
1500,20140414,2,PCA,226.8455321889912
1500,20140414,2,PM2.5,243.0
1506,20140414,3,PCA,201.0263039200831
1506,20140414,3,PM2.5,205.0
1512,20140414,4,PCA,206.5915225227223
1512,20140414,4,PM2.5,208.0
1518,20140414,5,PCA,208.63325108036054
1518,20140414,5,PM2.5,211.0
1524,20140414,6,PCA,211.08583601483573
1524,20140414,6,PM2.5,211.0
1530,20140414,7,PCA,233.2335160232997
1530,20140414,7,PM2.5,241.0
1536,20140414,8,PCA,207.57387722640925
1536,20140414,8,PM2.5,201.0
1542,20140414,9,PCA,254.58917360336844
1542,20140414,9,PM2.5,266.0
1548,20140414,10,PCA,281.3291383905076
1548,20140414,10,PM2.5,299.0
1554,20140414,11,PCA,253.15030849684837
1554,20140414,11,PM2.5,256.5
1560,20140414,12,PCA,222.49014275688052
1560,20140414,12,PM2.5,214.0
1566,20140414,13,PCA,257.68631516345414
1566,20140414,13,PM2.5,280.0
1572,20140414,14,PCA,264.16753157714595
1572,20140414,14,PM2.5,297.0
1578,20140414,15,PCA,247.55825349136813
1578,20140414,15,PM2.5,277.0
1584,20140414,16,PCA,217.72850865956678
1584,20140414,16,PM2.5,234.0
1590,20140414,17,PCA,180.5830088647196
1590,20140414,17,PM2.5,177.0
1596,20140414,18,PCA,221.38638396521466
1596,20140414,18,PM2.5,231.0
1602,20140414,19,PCA,236.27643618253336
1602,20140414,19,PM2.5,245.0
1608,20140414,20,PCA,246.70994719664967
1608,20140414,20,PM2.5,248.0
1614,20140414,21,PCA,279.9455955662132
1614,20140414,21,PM2.5,275.0
1620,20140414,22,PCA,220.90200270217213
1620,20140414,22,PM2.5,193.0
1626,20140414,23,PCA,134.3675312917068
1626,20140414,23,PM2.5,80.0
1632,20140415,0,PCA,113.73436108223443
1632,20140415,0,PM2.5,57.0
1638,20140415,1,PCA,105.22213786783004
1638,20140415,1,PM2.5,50.0
1644,20140415,2,PCA,100.08703187687655
1644,20140415,2,PM2.5,48.0
1650,20140415,3,PCA,98.56216374007492
1650,20140415,3,PM2.5,52.0
1656,20140415,4,PCA,103.69569819361973
1656,20140415,4,PM2.5,55.0
1662,20140415,5,PCA,103.80080966332143
1662,20140415,5,PM2.5,54.0
1818,20140416,7,PCA,-23.417035784572953
1818,20140416,7,PM2.5,33.0
1824,20140416,8,PCA,-25.94147455268947
1824,20140416,8,PM2.5,33.0
1830,20140416,9,PCA,-30.154365075151684
1830,20140416,9,PM2.5,32.0
1836,20140416,10,PCA,-31.355904847621296
1836,20140416,10,PM2.5,36.0
1842,20140416,11,PCA,-34.26232813878493
1842,20140416,11,PM2.5,35.0
1848,20140416,12,PCA,-34.871173195627286
1848,20140416,12,PM2.5,37.0
1854,20140416,13,PCA,-35.1710516225636
1854,20140416,13,PM2.5,39.0
1860,20140416,14,PCA,-33.98335756589582
1860,20140416,14,PM2.5,44.0
1866,20140416,15,PCA,-32.78648773986181
1866,20140416,15,PM2.5,47.0
1872,20140416,16,PCA,-29.297872421665858
1872,20140416,16,PM2.5,45.0
1878,20140416,17,PCA,-26.208379023838408
1878,20140416,17,PM2.5,49.0
1884,20140416,18,PCA,-22.45370850206483
1884,20140416,18,PM2.5,52.0
1890,20140416,19,PCA,-9.535080911115733
1890,20140416,19,PM2.5,62.0
1896,20140416,20,PCA,-0.08606756268399457
1896,20140416,20,PM2.5,65.0
1902,20140416,21,PCA,30.1699541344462
1902,20140416,21,PM2.5,95.0
1908,20140416,22,PCA,38.68884049561485
1908,20140416,22,PM2.5,101.0
1914,20140416,23,PCA,50.00686678586052
1914,20140416,23,PM2.5,96.0
1920,20140417,0,PCA,72.15690316401451
1920,20140417,0,PM2.5,109.0
1926,20140417,1,PCA,72.20993420644163
1926,20140417,1,PM2.5,103.0
1932,20140417,2,PCA,52.98357668835218
1932,20140417,2,PM2.5,82.0
1938,20140417,3,PCA,42.51606955640914
1938,20140417,3,PM2.5,72.0
1944,20140417,4,PCA,54.50408001720205
1944,20140417,4,PM2.5,90.0
1950,20140417,5,PCA,63.95803097659821
1950,20140417,5,PM2.5,106.0
1956,20140417,6,PCA,70.09163681335706
1956,20140417,6,PM2.5,114.0
1962,20140417,7,PCA,49.25338320048814
1962,20140417,7,PM2.5,82.0
1968,20140417,8,PCA,53.12941618917777
1968,20140417,8,PM2.5,87.0
1974,20140417,9,PCA,57.02096631547779
1974,20140417,9,PM2.5,98.0
1980,20140417,10,PCA,39.58094700616646
1980,20140417,10,PM2.5,86.0
1986,20140417,11,PCA,36.05504980390765
1986,20140417,11,PM2.5,88.0
1992,20140417,12,PCA,32.172546148459396
1992,20140417,12,PM2.5,87.0
1998,20140417,13,PCA,13.733421733906592
1998,20140417,13,PM2.5,71.0
2004,20140417,14,PCA,13.910144569092811
2004,20140417,14,PM2.5,78.0
2010,20140417,15,PCA,14.847407621732927
2010,20140417,15,PM2.5,83.0
2016,20140417,16,PCA,16.93220199798827
2016,20140417,16,PM2.5,87.0
2022,20140417,17,PCA,26.088649010492688
2022,20140417,17,PM2.5,92.0
2028,20140417,18,PCA,30.046946613802138
2028,20140417,18,PM2.5,91.0
2034,20140417,19,PCA,43.12096436922604
2034,20140417,19,PM2.5,104.0
2040,20140417,20,PCA,48.23333815199592
2040,20140417,20,PM2.5,105.0
2046,20140417,21,PCA,67.39728614229035
2046,20140417,21,PM2.5,126.0
2052,20140417,22,PCA,61.15913080485963
2052,20140417,22,PM2.5,106.0
2058,20140417,23,PCA,79.81596860906173
2058,20140417,23,PM2.5,115.0
2064,20140418,0,PCA,88.36341319065123
2064,20140418,0,PM2.5,119.0
2070,20140418,1,PCA,92.29223211141138
2070,20140418,1,PM2.5,123.0
2076,20140418,2,PCA,89.94456400794446
2076,20140418,2,PM2.5,118.0
2082,20140418,3,PCA,91.66466651594945
2082,20140418,3,PM2.5,120.0
2088,20140418,4,PCA,87.5814259778768
2088,20140418,4,PM2.5,116.0
2094,20140418,5,PCA,86.17414273966858
2094,20140418,5,PM2.5,117.0
2100,20140418,6,PCA,89.16555908211572
2100,20140418,6,PM2.5,120.0
2106,20140418,7,PCA,107.39544300325902
2106,20140418,7,PM2.5,141.0
2112,20140418,8,PCA,84.89742922540714
2112,20140418,8,PM2.5,111.0
2118,20140418,9,PCA,130.2709738587244
2118,20140418,9,PM2.5,161.0
2124,20140418,10,PCA,153.46379310231575
2124,20140418,10,PM2.5,176.0
2130,20140418,11,PCA,135.55951244821625
2130,20140418,11,PM2.5,153.0
2136,20140418,12,PCA,149.2312318942063
2136,20140418,12,PM2.5,168.0
2286,20140419,13,PCA,-21.56689106742463
2286,20140419,13,PM2.5,55.0
2292,20140419,14,PCA,-43.080433051730274
2292,20140419,14,PM2.5,38.0
2298,20140419,15,PCA,-37.37893665257214
2298,20140419,15,PM2.5,47.0
2304,20140419,16,PCA,-37.18892257924249
2304,20140419,16,PM2.5,50.0
2310,20140419,17,PCA,-25.731617280538998
2310,20140419,17,PM2.5,62.0
2316,20140419,18,PCA,-43.473427913388406
2316,20140419,18,PM2.5,40.0
2322,20140419,19,PCA,-30.55603533405155
2322,20140419,19,PM2.5,54.0
2328,20140419,20,PCA,-21.013135470584867
2328,20140419,20,PM2.5,62.0
2334,20140419,21,PCA,-13.735058742575868
2334,20140419,21,PM2.5,68.0
2340,20140419,22,PCA,-0.37526382701236616
2340,20140419,22,PM2.5,71.0
2346,20140419,23,PCA,13.452520310055498
2346,20140419,23,PM2.5,80.0
2352,20140420,0,PCA,27.43039362663013
2352,20140420,0,PM2.5,85.0
2358,20140420,1,PCA,43.15259259331784
2358,20140420,1,PM2.5,95.0
2364,20140420,2,PCA,32.21573221745093
2364,20140420,2,PM2.5,77.0
2370,20140420,3,PCA,60.10650562700114
2370,20140420,3,PM2.5,106.0
2376,20140420,4,PCA,67.49897388564078
2376,20140420,4,PM2.5,110.0
2382,20140420,5,PCA,68.3373934381509
2382,20140420,5,PM2.5,107.0
2388,20140420,6,PCA,76.3984955014781
2388,20140420,6,PM2.5,109.0
2394,20140420,7,PCA,55.00020004347543
2394,20140420,7,PM2.5,91.0
2400,20140420,8,PCA,35.62754016529151
2400,20140420,8,PM2.5,83.0
2406,20140420,9,PCA,3.215134947774324
2406,20140420,9,PM2.5,54.0
2412,20140420,10,PCA,-3.6278323271812045
2412,20140420,10,PM2.5,58.0
2418,20140420,11,PCA,-36.13519581979186
2418,20140420,11,PM2.5,34.0
2424,20140420,12,PCA,-51.709938694296
2424,20140420,12,PM2.5,30.0
2448,20140420,16,PCA,-56.97930348020857
2448,20140420,16,PM2.5,53.0
2454,20140420,17,PCA,-49.866713512548806
2454,20140420,17,PM2.5,54.0
2460,20140420,18,PCA,-39.24720756028605
2460,20140420,18,PM2.5,57.0
2466,20140420,19,PCA,-39.38890964498654
2466,20140420,19,PM2.5,45.0
2472,20140420,20,PCA,-18.748359162769503
2472,20140420,20,PM2.5,65.0
2478,20140420,21,PCA,57.991989059720716
2478,20140420,21,PM2.5,149.0
2484,20140420,22,PCA,60.30336508472029
2484,20140420,22,PM2.5,127.0
2616,20140422,4,PCA,50.80751325545289
2616,20140422,4,PM2.5,84.0
2622,20140422,5,PCA,15.661583659355244
2622,20140422,5,PM2.5,53.0
2628,20140422,6,PCA,-7.425394883857658
2628,20140422,6,PM2.5,41.0
