,date,hour,type,门头沟
32010,20141119,7,PM2.5,59.1
32016,20141119,8,PCA,19.379731154206755
32016,20141119,8,PM2.5,61.5
32022,20141119,9,PCA,40.99154137286237
32022,20141119,9,PM2.5,86.4
32028,20141119,10,PCA,51.92021655245793
32028,20141119,10,PM2.5,99.6
32070,20141119,17,PCA,145.71791234458604
32070,20141119,17,PM2.5,189.9
32076,20141119,18,PCA,302.07059249633465
32076,20141119,18,PM2.5,395.7
32082,20141119,19,PCA,270.95928071972463
32082,20141119,19,PM2.5,346.0
32088,20141119,20,PCA,267.4324562180454
32088,20141119,20,PM2.5,329.5
32094,20141119,21,PCA,263.7437017229758
32094,20141119,21,PM2.5,308.7
32100,20141119,22,PCA,274.0877204749712
32100,20141119,22,PM2.5,306.9
32106,20141119,23,PCA,280.93949250504505
32106,20141119,23,PM2.5,305.3
32112,20141120,0,PCA,278.79082874212503
32112,20141120,0,PM2.5,289.7
32118,20141120,1,PCA,284.50531189137746
32118,20141120,1,PM2.5,284.5
32124,20141120,2,PCA,291.54409402971356
32124,20141120,2,PM2.5,283.3
32130,20141120,3,PCA,297.7731589880219
32130,20141120,3,PM2.5,280.3
32136,20141120,4,PCA,299.8652464149989
32136,20141120,4,PM2.5,271.7
32142,20141120,5,PCA,307.31968669176
32142,20141120,5,PM2.5,270.1
32148,20141120,6,PCA,317.76302234370434
32148,20141120,6,PM2.5,273.3
32154,20141120,7,PCA,323.43472184589245
32154,20141120,7,PM2.5,269.9
32160,20141120,8,PCA,322.65139154658044
32160,20141120,8,PM2.5,257.5
32166,20141120,9,PCA,326.9839083271645
32166,20141120,9,PM2.5,255.7
32172,20141120,10,PCA,330.67998364281004
32172,20141120,10,PM2.5,252.6
32178,20141120,11,PCA,337.69280154892965
32178,20141120,11,PM2.5,263.6
32184,20141120,12,PCA,360.25274025587044
32184,20141120,12,PM2.5,289.1
32190,20141120,13,PCA,367.9827533757208
32190,20141120,13,PM2.5,301.8
32196,20141120,14,PCA,360.9229007192615
32196,20141120,14,PM2.5,290.5
32202,20141120,15,PCA,380.6912000860156
32202,20141120,15,PM2.5,311.9
32208,20141120,16,PCA,372.4267317122359
32208,20141120,16,PM2.5,301.3
32214,20141120,17,PCA,375.16893962795024
32214,20141120,17,PM2.5,298.2
32220,20141120,18,PCA,392.1165421769219
32220,20141120,18,PM2.5,325.1
32226,20141120,19,PCA,408.82782904755726
32226,20141120,19,PM2.5,349.9
32232,20141120,20,PCA,384.78466320873
32232,20141120,20,PM2.5,320.3
32238,20141120,21,PCA,363.6043135106476
32238,20141120,21,PM2.5,294.4
32244,20141120,22,PCA,349.70567622714594
32244,20141120,22,PM2.5,274.2
32250,20141120,23,PCA,329.97863585153254
32250,20141120,23,PM2.5,252.6
32256,20141121,0,PCA,326.38652886560976
32256,20141121,0,PM2.5,250.7
32262,20141121,1,PCA,287.4292214160209
32262,20141121,1,PM2.5,200.8
32268,20141121,2,PCA,244.95722003639023
32268,20141121,2,PM2.5,147.7
32274,20141121,3,PCA,245.7340507183326
32274,20141121,3,PM2.5,153.5
32280,20141121,4,PCA,264.0388544178694
32280,20141121,4,PM2.5,180.5
32286,20141121,5,PCA,260.28018274540017
32286,20141121,5,PM2.5,181.6
32292,20141121,6,PCA,235.54956288580502
32292,20141121,6,PM2.5,152.0
32298,20141121,7,PCA,222.06732457955815
32298,20141121,7,PM2.5,136.0
32304,20141121,8,PCA,240.4414037321086
32304,20141121,8,PM2.5,162.3
32310,20141121,9,PCA,207.8254984113516
32310,20141121,9,PM2.5,126.7
32316,20141121,10,PCA,171.07333288271712
32316,20141121,10,PM2.5,82.0
32322,20141121,11,PCA,171.30028956510543
32322,20141121,11,PM2.5,87.7
32328,20141121,12,PCA,201.49244172183776
32328,20141121,12,PM2.5,130.4
32334,20141121,13,PCA,248.54639106377783
32334,20141121,13,PM2.5,202.7
32340,20141121,14,PCA,246.75826342823618
32340,20141121,14,PM2.5,205.2
32346,20141121,15,PCA,266.47741144395565
32346,20141121,15,PM2.5,226.7
32352,20141121,16,PCA,273.57450552179773
32352,20141121,16,PM2.5,236.0
32358,20141121,17,PCA,283.19285267472276
32358,20141121,17,PM2.5,245.2
32364,20141121,18,PCA,188.80144066969848
32364,20141121,18,PM2.5,135.8
32370,20141121,19,PCA,136.19075416011592
32370,20141121,19,PM2.5,71.4
32376,20141121,20,PCA,131.2134930138127
32376,20141121,20,PM2.5,77.1
32382,20141121,21,PCA,100.44805172015967
32382,20141121,21,PM2.5,53.5
32388,20141121,22,PCA,58.52797000113507
32388,20141121,22,PM2.5,19.8
32394,20141121,23,PCA,55.80393349445091
32394,20141121,23,PM2.5,21.0
32400,20141122,0,PCA,39.40577062934402
32400,20141122,0,PM2.5,14.8
32406,20141122,1,PCA,35.15883040791551
32406,20141122,1,PM2.5,16.1
32412,20141122,2,PCA,35.959928204303175
32412,20141122,2,PM2.5,21.9
32418,20141122,3,PCA,34.030236406088996
32418,20141122,3,PM2.5,23.5
32424,20141122,4,PCA,26.876978951842432
32424,20141122,4,PM2.5,22.2
32430,20141122,5,PCA,16.248488507578738
32430,20141122,5,PM2.5,19.6
32436,20141122,6,PCA,7.921290684869015
32436,20141122,6,PM2.5,16.9
32442,20141122,7,PCA,7.01681305625861
32442,20141122,7,PM2.5,18.1
32448,20141122,8,PCA,4.950916082769059
32448,20141122,8,PM2.5,21.7
32454,20141122,9,PCA,-6.510812551113191
32454,20141122,9,PM2.5,16.7
32460,20141122,10,PCA,-6.450747497148855
32460,20141122,10,PM2.5,20.4
32466,20141122,11,PCA,-11.81620790881871
32466,20141122,11,PM2.5,19.4
32472,20141122,12,PCA,-21.311779509672764
32472,20141122,12,PM2.5,12.3
32478,20141122,13,PCA,-22.966992139391053
32478,20141122,13,PM2.5,16.9
32484,20141122,14,PCA,-24.092205484859516
32484,20141122,14,PM2.5,24.0
32490,20141122,15,PCA,-25.86950389449283
32490,20141122,15,PM2.5,31.7
32496,20141122,16,PCA,-19.50972835288159
32496,20141122,16,PM2.5,50.6
32502,20141122,17,PCA,-4.66800993336527
32502,20141122,17,PM2.5,69.0
32508,20141122,18,PCA,13.952118034623853
32508,20141122,18,PM2.5,82.0
32514,20141122,19,PCA,45.353249393706555
32514,20141122,19,PM2.5,126.4
32520,20141122,20,PCA,59.2493760640889
32520,20141122,20,PM2.5,145.3
32526,20141122,21,PCA,105.20802915150027
32526,20141122,21,PM2.5,210.2
32532,20141122,22,PCA,129.65664187620945
32532,20141122,22,PM2.5,237.2
32538,20141122,23,PCA,109.12455618931372
32538,20141122,23,PM2.5,201.8
32544,20141123,0,PCA,99.07823542654371
32544,20141123,0,PM2.5,177.9
32550,20141123,1,PCA,85.08011542058146
32550,20141123,1,PM2.5,150.7
32556,20141123,2,PCA,74.42411057273891
32556,20141123,2,PM2.5,127.9
32562,20141123,3,PCA,69.61630310502703
32562,20141123,3,PM2.5,114.8
32568,20141123,4,PCA,69.32054100237708
32568,20141123,4,PM2.5,110.7
32574,20141123,5,PCA,63.18597940665422
32574,20141123,5,PM2.5,98.8
32580,20141123,6,PCA,65.40486921716695
32580,20141123,6,PM2.5,99.8
32586,20141123,7,PCA,76.2673797610031
32586,20141123,7,PM2.5,110.8
32592,20141123,8,PCA,80.42607074598573
32592,20141123,8,PM2.5,111.2
32598,20141123,9,PCA,83.8763155060368
32598,20141123,9,PM2.5,111.2
32604,20141123,10,PCA,87.2292038016605
32604,20141123,10,PM2.5,110.8
32610,20141123,11,PCA,91.47984860829003
32610,20141123,11,PM2.5,112.6
32616,20141123,12,PCA,110.82764711689599
32616,20141123,12,PM2.5,127.9
32622,20141123,13,PCA,114.4204929391119
32622,20141123,13,PM2.5,127.6
32628,20141123,14,PCA,128.59715214694793
32628,20141123,14,PM2.5,140.5
32634,20141123,15,PCA,128.71572257042317
32634,20141123,15,PM2.5,133.9
32640,20141123,16,PCA,126.1897278241715
32640,20141123,16,PM2.5,123.8
32646,20141123,17,PCA,144.74154987161043
32646,20141123,17,PM2.5,141.0
32652,20141123,18,PCA,163.46049638960173
32652,20141123,18,PM2.5,161.4
32658,20141123,19,PCA,172.34910198016678
32658,20141123,19,PM2.5,175.5
32664,20141123,20,PCA,174.21449823580153
32664,20141123,20,PM2.5,178.6
32670,20141123,21,PCA,171.61837545049661
32670,20141123,21,PM2.5,178.1
32676,20141123,22,PCA,158.43918001439718
32676,20141123,22,PM2.5,162.7
32682,20141123,23,PCA,138.8450806626625
32682,20141123,23,PM2.5,139.0
32688,20141124,0,PCA,135.5791230405696
32688,20141124,0,PM2.5,135.8
32694,20141124,1,PCA,129.516119846397
32694,20141124,1,PM2.5,130.5
32700,20141124,2,PCA,116.67971787074362
32700,20141124,2,PM2.5,115.1
32706,20141124,3,PCA,93.38275583350688
32706,20141124,3,PM2.5,86.6
32712,20141124,4,PCA,69.77921256165456
32712,20141124,4,PM2.5,58.2
32718,20141124,5,PCA,61.01449426932266
32718,20141124,5,PM2.5,49.0
32724,20141124,6,PCA,44.209392867247004
32724,20141124,6,PM2.5,33.5
32730,20141124,7,PCA,34.520446407700284
32730,20141124,7,PM2.5,25.0
32736,20141124,8,PCA,27.919635743961045
32736,20141124,8,PM2.5,21.1
32742,20141124,9,PCA,24.25951030356125
32742,20141124,9,PM2.5,24.8
32748,20141124,10,PCA,15.863255389921187
32748,20141124,10,PM2.5,18.4
32754,20141124,11,PCA,30.15845602509924
32754,20141124,11,PM2.5,33.4
32760,20141124,12,PCA,38.8547799737254
32760,20141124,12,PM2.5,47.4
32766,20141124,13,PCA,29.31717384375533
32766,20141124,13,PM2.5,42.4
32772,20141124,14,PCA,20.113298208595193
32772,20141124,14,PM2.5,37.5
32778,20141124,15,PCA,16.328414292567924
32778,20141124,15,PM2.5,34.0
32784,20141124,16,PCA,20.626636822839984
32784,20141124,16,PM2.5,40.9
32790,20141124,17,PCA,39.14099554795747
32790,20141124,17,PM2.5,65.0
32796,20141124,18,PCA,41.1534152728379
32796,20141124,18,PM2.5,70.1
32802,20141124,19,PCA,59.22638936787727
32802,20141124,19,PM2.5,97.3
32808,20141124,20,PCA,70.0453376481052
32808,20141124,20,PM2.5,116.1
32814,20141124,21,PCA,61.02358156468949
32814,20141124,21,PM2.5,109.0
32820,20141124,22,PCA,43.61000109736598
32820,20141124,22,PM2.5,93.6
32826,20141124,23,PCA,38.12571238715551
32826,20141124,23,PM2.5,87.7
32832,20141125,0,PCA,35.40459788989344
32832,20141125,0,PM2.5,87.2
32838,20141125,1,PCA,35.26549844891517
32838,20141125,1,PM2.5,92.6
32844,20141125,2,PCA,27.528806222786116
32844,20141125,2,PM2.5,83.7
32850,20141125,3,PCA,21.651459533664866
32850,20141125,3,PM2.5,75.9
32856,20141125,4,PCA,18.28326290401678
32856,20141125,4,PM2.5,70.7
32862,20141125,5,PCA,20.156620298226127
32862,20141125,5,PM2.5,72.1
32868,20141125,6,PCA,23.585699285114465
32868,20141125,6,PM2.5,75.0
32874,20141125,7,PCA,22.788726492353586
32874,20141125,7,PM2.5,72.1
32880,20141125,8,PCA,30.453760903961758
32880,20141125,8,PM2.5,79.7
32886,20141125,9,PCA,24.17920910684917
32886,20141125,9,PM2.5,69.0
32892,20141125,10,PCA,24.630514152716295
32892,20141125,10,PM2.5,69.2
32898,20141125,11,PCA,38.79845669343101
32898,20141125,11,PM2.5,82.8
32904,20141125,12,PCA,72.81087744476888
32904,20141125,12,PM2.5,119.4
32910,20141125,13,PCA,83.31779804676272
32910,20141125,13,PM2.5,130.7
32916,20141125,14,PCA,104.95088950146805
32916,20141125,14,PM2.5,148.1
32922,20141125,15,PCA,117.97218482893037
32922,20141125,15,PM2.5,161.9
32928,20141125,16,PCA,135.4158287051563
32928,20141125,16,PM2.5,182.0
32934,20141125,17,PCA,163.50168049185484
32934,20141125,17,PM2.5,214.9
32940,20141125,18,PCA,185.48606741962823
32940,20141125,18,PM2.5,235.4
32946,20141125,19,PCA,198.81329852787184
32946,20141125,19,PM2.5,245.6
32952,20141125,20,PCA,189.96485708168896
32952,20141125,20,PM2.5,231.0
32958,20141125,21,PCA,177.29985006451972
32958,20141125,21,PM2.5,208.9
32964,20141125,22,PCA,178.68550548808057
32964,20141125,22,PM2.5,203.6
32970,20141125,23,PCA,178.25063754637185
32970,20141125,23,PM2.5,197.4
32976,20141126,0,PCA,179.38240453591953
32976,20141126,0,PM2.5,193.1
32982,20141126,1,PCA,189.40001381550505
32982,20141126,1,PM2.5,200.3
32988,20141126,2,PCA,188.43098969156878
32988,20141126,2,PM2.5,193.4
32994,20141126,3,PCA,191.99373058973367
32994,20141126,3,PM2.5,193.0
33000,20141126,4,PCA,189.19482987416293
33000,20141126,4,PM2.5,183.9
33006,20141126,5,PCA,187.7746752797499
33006,20141126,5,PM2.5,177.8
33012,20141126,6,PCA,194.5208936741949
33012,20141126,6,PM2.5,184.1
33018,20141126,7,PCA,200.07596959126738
33018,20141126,7,PM2.5,185.7
33024,20141126,8,PCA,200.67259174186054
33024,20141126,8,PM2.5,182.1
33030,20141126,9,PCA,210.11367531026983
33030,20141126,9,PM2.5,191.9
33036,20141126,10,PCA,217.91262015340877
33036,20141126,10,PM2.5,198.0
33042,20141126,11,PCA,235.02023711584874
33042,20141126,11,PM2.5,218.5
33048,20141126,12,PCA,236.53905368365966
33048,20141126,12,PM2.5,218.9
33054,20141126,13,PCA,250.28044824106908
33054,20141126,13,PM2.5,232.9
33060,20141126,14,PCA,270.5145922907752
33060,20141126,14,PM2.5,246.4
33066,20141126,15,PCA,274.0648853560051
33066,20141126,15,PM2.5,246.6
33072,20141126,16,PCA,294.762087421327
33072,20141126,16,PM2.5,263.5
33078,20141126,17,PCA,348.78402444887274
33078,20141126,17,PM2.5,323.6
33084,20141126,18,PCA,383.2157686171235
33084,20141126,18,PM2.5,362.7
33090,20141126,19,PCA,359.0464684646314
33090,20141126,19,PM2.5,337.2
33096,20141126,20,PCA,345.91021767287316
33096,20141126,20,PM2.5,320.5
33102,20141126,21,PCA,383.67384663608476
33102,20141126,21,PM2.5,366.7
33108,20141126,22,PCA,331.13662681510147
33108,20141126,22,PM2.5,297.2
33114,20141126,23,PCA,317.5597787674262
33114,20141126,23,PM2.5,277.0
33120,20141127,0,PCA,317.18668165369553
33120,20141127,0,PM2.5,270.1
33126,20141127,1,PCA,323.9529815518564
33126,20141127,1,PM2.5,275.6
33132,20141127,2,PCA,334.70308979393474
33132,20141127,2,PM2.5,286.4
33138,20141127,3,PCA,360.091573386646
33138,20141127,3,PM2.5,319.5
33144,20141127,4,PCA,361.83876721078036
33144,20141127,4,PM2.5,319.4
33150,20141127,5,PCA,177.7204762725442
33150,20141127,5,PM2.5,66.7
33156,20141127,6,PCA,138.14414149983676
33156,20141127,6,PM2.5,32.8
33162,20141127,7,PCA,130.3549425970022
33162,20141127,7,PM2.5,26.4
33168,20141127,8,PCA,128.1417124783771
33168,20141127,8,PM2.5,24.8
33174,20141127,9,PCA,122.0121365566746
33174,20141127,9,PM2.5,27.7
33180,20141127,10,PCA,125.91168667855456
33180,20141127,10,PM2.5,37.3
33186,20141127,11,PCA,109.91820038385917
33186,20141127,11,PM2.5,23.9
33192,20141127,12,PCA,97.10227153840624
33192,20141127,12,PM2.5,17.2
33198,20141127,13,PCA,91.85278538374543
33198,20141127,13,PM2.5,18.7
33204,20141127,14,PCA,93.50816554952608
33204,20141127,14,PM2.5,28.7
33210,20141127,15,PCA,89.24881494974967
33210,20141127,15,PM2.5,30.6
33216,20141127,16,PCA,86.60010930978555
33216,20141127,16,PM2.5,30.7
33222,20141127,17,PCA,77.99184860118815
33222,20141127,17,PM2.5,27.6
33228,20141127,18,PCA,73.58333533701214
33228,20141127,18,PM2.5,34.9
33234,20141127,19,PCA,68.76270420517292
33234,20141127,19,PM2.5,44.9
33240,20141127,20,PCA,62.15579168854155
33240,20141127,20,PM2.5,50.9
33246,20141127,21,PCA,48.33526253569319
33246,20141127,21,PM2.5,47.9
33252,20141127,22,PCA,45.7232006703536
33252,20141127,22,PM2.5,56.3
33258,20141127,23,PCA,40.11275774614373
33258,20141127,23,PM2.5,60.8
33264,20141128,0,PCA,25.121484021003102
33264,20141128,0,PM2.5,50.3
33270,20141128,1,PCA,17.00087421618203
33270,20141128,1,PM2.5,50.7
33276,20141128,2,PCA,15.374779175454986
33276,20141128,2,PM2.5,63.7
33282,20141128,3,PCA,2.248085673312378
33282,20141128,3,PM2.5,59.5
33288,20141128,4,PCA,-7.103140024413715
33288,20141128,4,PM2.5,54.7
33294,20141128,5,PCA,-12.6289747040772
33294,20141128,5,PM2.5,47.7
33300,20141128,6,PCA,-10.472604405067804
33300,20141128,6,PM2.5,49.8
33306,20141128,7,PCA,-3.3105265474180126
33306,20141128,7,PM2.5,58.7
33312,20141128,8,PCA,-0.05654058858741086
33312,20141128,8,PM2.5,60.2
33318,20141128,9,PCA,10.12531745645805
33318,20141128,9,PM2.5,73.2
33324,20141128,10,PCA,16.367601417676216
33324,20141128,10,PM2.5,76.7
33330,20141128,11,PCA,16.10328634506428
33330,20141128,11,PM2.5,77.4
33336,20141128,12,PCA,7.829268338684701
33336,20141128,12,PM2.5,68.2
33342,20141128,13,PCA,8.638652914399465
33342,20141128,13,PM2.5,71.9
33348,20141128,14,PCA,12.140837891539762
33348,20141128,14,PM2.5,76.8
33354,20141128,15,PCA,19.39534686527513
33354,20141128,15,PM2.5,85.9
33360,20141128,16,PCA,22.565780984331283
33360,20141128,16,PM2.5,86.9
33366,20141128,17,PCA,42.4527595245237
33366,20141128,17,PM2.5,103.2
33372,20141128,18,PCA,61.41568767725229
33372,20141128,18,PM2.5,120.8
33378,20141128,19,PCA,62.79065637475259
33378,20141128,19,PM2.5,120.0
33384,20141128,20,PCA,86.14215518680756
33384,20141128,20,PM2.5,147.5
33390,20141128,21,PCA,83.65594280502539
33390,20141128,21,PM2.5,141.2
33396,20141128,22,PCA,78.95025104480231
33396,20141128,22,PM2.5,131.3
33402,20141128,23,PCA,72.78892656897163
33402,20141128,23,PM2.5,120.7
33408,20141129,0,PCA,68.10943466006601
33408,20141129,0,PM2.5,111.8
33414,20141129,1,PCA,64.46156603890017
33414,20141129,1,PM2.5,103.9
33420,20141129,2,PCA,53.78904724922649
33420,20141129,2,PM2.5,87.9
33426,20141129,3,PCA,57.639967477651425
33426,20141129,3,PM2.5,92.1
33432,20141129,4,PCA,62.95170969635246
33432,20141129,4,PM2.5,97.3
33438,20141129,5,PCA,54.271727759927934
33438,20141129,5,PM2.5,84.1
33444,20141129,6,PCA,53.297385912327144
33444,20141129,6,PM2.5,83.0
33450,20141129,7,PCA,56.36891113981649
33450,20141129,7,PM2.5,85.5
33456,20141129,8,PCA,54.142131745855316
33456,20141129,8,PM2.5,80.3
33462,20141129,9,PCA,84.86038620546182
33462,20141129,9,PM2.5,119.5
33468,20141129,10,PCA,97.69950851255321
33468,20141129,10,PM2.5,133.3
33474,20141129,11,PCA,122.33660747385042
33474,20141129,11,PM2.5,162.1
33480,20141129,12,PCA,150.94812579880738
33480,20141129,12,PM2.5,195.9
33486,20141129,13,PCA,183.46360379543233
33486,20141129,13,PM2.5,235.1
33492,20141129,14,PCA,203.44817109930008
33492,20141129,14,PM2.5,249.4
33498,20141129,15,PCA,227.91653599145124
33498,20141129,15,PM2.5,272.0
33504,20141129,16,PCA,247.91649834321564
33504,20141129,16,PM2.5,291.9
33510,20141129,17,PCA,222.5168146555903
33510,20141129,17,PM2.5,249.1
33516,20141129,18,PCA,220.2673994058815
33516,20141129,18,PM2.5,239.2
33522,20141129,19,PCA,224.13211057203293
33522,20141129,19,PM2.5,239.2
33528,20141129,20,PCA,231.5416738758685
33528,20141129,20,PM2.5,245.7
33534,20141129,21,PCA,239.67376806208765
33534,20141129,21,PM2.5,251.9
33540,20141129,22,PCA,244.7331002254001
33540,20141129,22,PM2.5,255.2
33546,20141129,23,PCA,247.4093514966817
33546,20141129,23,PM2.5,254.1
33552,20141130,0,PCA,248.72399437978643
33552,20141130,0,PM2.5,250.2
33558,20141130,1,PCA,249.97041772265155
33558,20141130,1,PM2.5,247.0
33564,20141130,2,PCA,255.39963795205665
33564,20141130,2,PM2.5,248.1
33570,20141130,3,PCA,259.00625074370464
33570,20141130,3,PM2.5,247.7
33576,20141130,4,PCA,259.2964211321033
33576,20141130,4,PM2.5,241.9
33582,20141130,5,PCA,261.69721991294637
33582,20141130,5,PM2.5,238.4
33588,20141130,6,PCA,255.24496757833919
33588,20141130,6,PM2.5,224.5
33594,20141130,7,PCA,100.80853237801682
33594,20141130,7,PM2.5,22.9
33600,20141130,8,PCA,86.84165774857037
33600,20141130,8,PM2.5,7.8
33606,20141130,9,PCA,86.36341268053557
33606,20141130,9,PM2.5,11.8
33612,20141130,10,PCA,95.61123152534994
33612,20141130,10,PM2.5,29.8
33618,20141130,11,PCA,97.35780549402868
33618,20141130,11,PM2.5,38.4
33624,20141130,12,PCA,88.29294524899939
33624,20141130,12,PM2.5,33.2
33630,20141130,13,PCA,82.75949555328427
33630,20141130,13,PM2.5,33.5
33636,20141130,14,PCA,79.43950650171722
33636,20141130,14,PM2.5,39.3
33642,20141130,15,PCA,72.48415682093376
33642,20141130,15,PM2.5,39.4
33648,20141130,16,PCA,54.480535606437144
33648,20141130,16,PM2.5,22.6
33654,20141130,17,PCA,42.446274490461256
33654,20141130,17,PM2.5,17.1
33660,20141130,18,PCA,36.22715035079044
33660,20141130,18,PM2.5,21.2
33666,20141130,19,PCA,38.253218105371666
33666,20141130,19,PM2.5,37.9
33672,20141130,20,PCA,38.786261647567805
33672,20141130,20,PM2.5,50.8
33678,20141130,21,PCA,32.879525346288226
33678,20141130,21,PM2.5,53.7
33684,20141130,22,PCA,16.93570372045808
33684,20141130,22,PM2.5,32.4
33690,20141130,23,PCA,33.77036196750117
33690,20141130,23,PM2.5,50.3
33696,20141201,0,PCA,36.32520274658053
33696,20141201,0,PM2.5,52.9
33702,20141201,1,PCA,29.555003189094432
33702,20141201,1,PM2.5,43.1
33708,20141201,2,PCA,20.27318503434637
33708,20141201,2,PM2.5,31.7
33714,20141201,3,PCA,15.192998329705826
33714,20141201,3,PM2.5,23.8
33720,20141201,4,PCA,2.7398025429411983
33720,20141201,4,PM2.5,14.7
33726,20141201,5,PCA,-2.678083293399031
33726,20141201,5,PM2.5,10.9
33732,20141201,6,PCA,-7.704602780479975
33732,20141201,6,PM2.5,8.9
33738,20141201,7,PCA,-7.679869589907044
33738,20141201,7,PM2.5,8.8
33744,20141201,8,PCA,-8.91183102582641
33744,20141201,8,PM2.5,9.9
33750,20141201,9,PCA,-9.438532549931747
33750,20141201,9,PM2.5,8.3
33756,20141201,10,PCA,-13.542378983390046
33756,20141201,10,PM2.5,4.5
33762,20141201,11,PCA,-15.664078468477772
33762,20141201,11,PM2.5,4.2
33768,20141201,12,PCA,-18.909589973621394
33768,20141201,12,PM2.5,4.7
33774,20141201,13,PCA,-20.680381487274747
33774,20141201,13,PM2.5,5.3
33780,20141201,14,PCA,-21.917311406951907
33780,20141201,14,PM2.5,7.3
33786,20141201,15,PCA,-23.904620919848067
33786,20141201,15,PM2.5,9.0
33792,20141201,16,PCA,-27.277963620278758
33792,20141201,16,PM2.5,6.2
33798,20141201,17,PCA,-24.59530825945902
33798,20141201,17,PM2.5,7.8
33804,20141201,18,PCA,-24.193232666287667
33804,20141201,18,PM2.5,8.0
33810,20141201,19,PCA,-31.783724514320404
33810,20141201,19,PM2.5,6.5
33816,20141201,20,PCA,-31.281911682162168
33816,20141201,20,PM2.5,13.3
33822,20141201,21,PCA,-34.58175301385808
33822,20141201,21,PM2.5,16.6
33828,20141201,22,PCA,-40.94070764722271
33828,20141201,22,PM2.5,14.6
33834,20141201,23,PCA,-53.23563350413418
33834,20141201,23,PM2.5,12.1
33840,20141202,0,PCA,-58.383112026221006
33840,20141202,0,PM2.5,12.4
33846,20141202,1,PCA,-62.96042946790985
33846,20141202,1,PM2.5,17.4
33852,20141202,2,PCA,-69.10237297640133
33852,20141202,2,PM2.5,14.1
33858,20141202,3,PCA,-73.63810038567415
33858,20141202,3,PM2.5,12.0
33864,20141202,4,PCA,-73.30544364808927
33864,20141202,4,PM2.5,13.7
33870,20141202,5,PCA,-72.07416929287363
33870,20141202,5,PM2.5,15.3
33876,20141202,6,PCA,-70.79397458908844
33876,20141202,6,PM2.5,16.7
33882,20141202,7,PCA,-65.24505487876112
33882,20141202,7,PM2.5,17.4
33888,20141202,8,PCA,-56.10353855420057
33888,20141202,8,PM2.5,27.5
33894,20141202,9,PCA,-46.29168239919342
33894,20141202,9,PM2.5,44.1
33900,20141202,10,PCA,-38.77270838480779
33900,20141202,10,PM2.5,53.5
33906,20141202,11,PCA,-34.914669864182464
33906,20141202,11,PM2.5,55.3
33912,20141202,12,PCA,-33.575167815913474
33912,20141202,12,PM2.5,57.7
33918,20141202,13,PCA,-19.82359091501424
33918,20141202,13,PM2.5,75.4
33924,20141202,14,PCA,-16.944419871415036
33924,20141202,14,PM2.5,76.1
33930,20141202,15,PCA,-7.260080605109885
33930,20141202,15,PM2.5,83.9
33954,20141202,19,PCA,40.56120257162306
33954,20141202,19,PM2.5,118.7
33960,20141202,20,PCA,47.69908415496277
33960,20141202,20,PM2.5,124.9
33966,20141202,21,PCA,45.12526983692656
33966,20141202,21,PM2.5,116.9
33972,20141202,22,PCA,51.53689493391728
33972,20141202,22,PM2.5,121.0
33978,20141202,23,PCA,57.96775248524836
33978,20141202,23,PM2.5,124.9
33984,20141203,0,PCA,42.53712941752931
33984,20141203,0,PM2.5,100.3
33990,20141203,1,PCA,6.931452502306326
33990,20141203,1,PM2.5,53.0
33996,20141203,2,PCA,-31.880591180336225
33996,20141203,2,PM2.5,8.3
34002,20141203,3,PCA,-32.36477418944525
34002,20141203,3,PM2.5,5.6
34008,20141203,4,PCA,-37.054818041017334
34008,20141203,4,PM2.5,6.2
34014,20141203,5,PCA,-37.66485848235534
34014,20141203,5,PM2.5,5.4
34020,20141203,6,PCA,-38.23332360852791
34020,20141203,6,PM2.5,6.0
34026,20141203,7,PCA,-38.90762851012968
34026,20141203,7,PM2.5,3.4
34032,20141203,8,PCA,-35.288324451109766
34032,20141203,8,PM2.5,7.8
34038,20141203,9,PCA,-37.64485070717046
34038,20141203,9,PM2.5,6.3
34044,20141203,10,PCA,-42.236956413898824
34044,20141203,10,PM2.5,6.3
34050,20141203,11,PCA,-43.24127362742507
34050,20141203,11,PM2.5,7.3
34056,20141203,12,PCA,-44.67865840105428
34056,20141203,12,PM2.5,9.4
34062,20141203,13,PCA,-47.62620513194135
34062,20141203,13,PM2.5,9.1
34068,20141203,14,PCA,-53.74135366697741
34068,20141203,14,PM2.5,3.9
34074,20141203,15,PCA,-53.86685899460014
34074,20141203,15,PM2.5,8.0
34080,20141203,16,PCA,-53.83223235673817
34080,20141203,16,PM2.5,11.1
34086,20141203,17,PCA,-53.367868969289916
34086,20141203,17,PM2.5,12.1
34092,20141203,18,PCA,-58.36177291302828
34092,20141203,18,PM2.5,7.3
34098,20141203,19,PCA,-61.13526943648655
34098,20141203,19,PM2.5,7.5
34104,20141203,20,PCA,-65.69231363126843
34104,20141203,20,PM2.5,4.7
34110,20141203,21,PCA,-68.07513772455911
34110,20141203,21,PM2.5,6.2
34116,20141203,22,PCA,-71.32796558342731
34116,20141203,22,PM2.5,6.9
34122,20141203,23,PCA,-75.30905332814116
34122,20141203,23,PM2.5,10.7
34128,20141204,0,PCA,-82.8183595979968
34128,20141204,0,PM2.5,6.2
34134,20141204,1,PCA,-85.66270965239299
34134,20141204,1,PM2.5,3.0
34140,20141204,2,PCA,-82.77142634002651
34140,20141204,2,PM2.5,7.2
34146,20141204,3,PCA,-83.25638892277023
34146,20141204,3,PM2.5,6.5
