,date,hour,type,门头沟
618,20140406,7,PM2.5,37.0
624,20140406,8,PCA,-2.737501320078623
624,20140406,8,PM2.5,40.0
630,20140406,9,PCA,10.405974212988818
630,20140406,9,PM2.5,53.0
636,20140406,10,PCA,19.316547421205588
636,20140406,10,PM2.5,63.0
642,20140406,11,PCA,15.279467887353226
642,20140406,11,PM2.5,58.0
648,20140406,12,PCA,10.53416251233038
648,20140406,12,PM2.5,53.0
654,20140406,13,PCA,-7.461353866255746
654,20140406,13,PM2.5,43.0
660,20140406,14,PCA,-12.717676022265826
660,20140406,14,PM2.5,39.0
666,20140406,15,PCA,-8.332750345184976
666,20140406,15,PM2.5,43.0
672,20140406,16,PCA,-4.917471759900308
672,20140406,16,PM2.5,45.0
678,20140406,17,PCA,2.271284116670603
678,20140406,17,PM2.5,51.0
684,20140408,10,PCA,109.32019571435187
684,20140408,10,PM2.5,144.0
690,20140408,11,PCA,152.0320394182056
690,20140408,11,PM2.5,188.0
696,20140408,12,PCA,165.38303228494897
696,20140408,12,PM2.5,208.0
702,20140408,13,PCA,182.1170140572896
702,20140408,13,PM2.5,222.0
708,20140408,14,PCA,165.96336099591312
708,20140408,14,PM2.5,216.0
714,20140408,15,PCA,152.17824878520187
714,20140408,15,PM2.5,199.0
720,20140408,16,PCA,150.46536641181095
720,20140408,16,PM2.5,192.0
726,20140408,17,PCA,142.01774236929498
726,20140408,17,PM2.5,173.0
732,20140408,18,PCA,154.09477388083425
732,20140408,18,PM2.5,183.0
738,20140408,19,PCA,136.14170543440164
738,20140408,19,PM2.5,155.0
744,20140408,20,PCA,140.42177519557492
744,20140408,20,PM2.5,154.0
750,20140408,21,PCA,142.89752416475284
750,20140408,21,PM2.5,154.0
756,20140408,22,PCA,148.744588607824
756,20140408,22,PM2.5,159.0
762,20140408,23,PCA,182.51516175580326
762,20140408,23,PM2.5,180.0
768,20140409,0,PCA,208.98749877225006
768,20140409,0,PM2.5,200.0
774,20140409,1,PCA,204.3502591207052
774,20140409,1,PM2.5,195.0
780,20140409,2,PCA,170.48689384944575
780,20140409,2,PM2.5,169.0
786,20140409,3,PCA,154.1719927671544
786,20140409,3,PM2.5,151.0
792,20140409,4,PCA,152.4966370260506
792,20140409,4,PM2.5,148.0
798,20140409,5,PCA,159.001227927666
798,20140409,5,PM2.5,153.0
804,20140409,6,PCA,155.98415866831363
804,20140409,6,PM2.5,150.0
810,20140409,7,PCA,166.61697315769425
810,20140409,7,PM2.5,157.0
816,20140409,8,PCA,168.5327325316373
816,20140409,8,PM2.5,155.0
822,20140409,9,PCA,180.66855682895047
822,20140409,9,PM2.5,166.0
828,20140409,10,PCA,147.2125763258637
828,20140409,10,PM2.5,132.0
834,20140409,11,PCA,63.43942075982504
834,20140409,11,PM2.5,29.0
840,20140409,12,PCA,56.40011824311231
840,20140409,12,PM2.5,28.0
846,20140409,13,PCA,49.22202904448804
846,20140409,13,PM2.5,26.0
852,20140409,14,PCA,41.27585831549248
852,20140409,14,PM2.5,25.0
858,20140409,15,PCA,31.921013203461253
858,20140409,15,PM2.5,22.0
864,20140409,16,PCA,36.222691021608256
864,20140409,16,PM2.5,38.0
870,20140409,17,PCA,33.58962478108651
870,20140409,17,PM2.5,41.0
876,20140409,18,PCA,44.93428707233123
876,20140409,18,PM2.5,52.0
882,20140409,19,PCA,44.64340568131124
882,20140409,19,PM2.5,64.0
888,20140409,20,PCA,51.534953231704435
888,20140409,20,PM2.5,71.0
894,20140409,21,PCA,89.64874865034213
894,20140409,21,PM2.5,127.0
900,20140409,22,PCA,81.03428659056293
900,20140409,22,PM2.5,108.0
906,20140409,23,PCA,84.74722057406183
906,20140409,23,PM2.5,112.0
912,20140410,0,PCA,84.73255607545332
912,20140410,0,PM2.5,109.0
918,20140410,1,PCA,81.29281062550389
918,20140410,1,PM2.5,104.0
924,20140410,2,PCA,85.32556719366009
924,20140410,2,PM2.5,99.0
930,20140410,3,PCA,84.92166217553844
930,20140410,3,PM2.5,91.0
936,20140410,4,PCA,87.3033433683767
936,20140410,4,PM2.5,92.0
942,20140410,5,PCA,99.66924159225198
942,20140410,5,PM2.5,98.0
948,20140410,6,PCA,106.5021166911133
948,20140410,6,PM2.5,98.0
954,20140410,7,PCA,106.16430062847766
954,20140410,7,PM2.5,93.0
960,20140410,8,PCA,113.87129264119052
960,20140410,8,PM2.5,90.0
966,20140410,9,PCA,128.85849432416347
966,20140410,9,PM2.5,92.0
972,20140410,10,PCA,147.97127055341798
972,20140410,10,PM2.5,92.0
978,20140410,11,PCA,158.25075250820709
978,20140410,11,PM2.5,83.0
984,20140410,12,PCA,176.0526613870758
984,20140410,12,PM2.5,83.0
990,20140410,13,PCA,192.1149142190672
990,20140410,13,PM2.5,84.0
996,20140410,14,PCA,202.3755907041917
996,20140410,14,PM2.5,83.0
1002,20140410,15,PCA,211.11545946361338
1002,20140410,15,PM2.5,77.0
1008,20140410,16,PCA,223.14697277064005
1008,20140410,16,PM2.5,77.0
1014,20140410,17,PCA,219.4969299773368
1014,20140410,17,PM2.5,61.0
1020,20140410,18,PCA,212.5102054469395
1020,20140410,18,PM2.5,56.0
1026,20140410,19,PCA,208.87151139620076
1026,20140410,19,PM2.5,55.5
1032,20140410,20,PCA,202.39991398078024
1032,20140410,20,PM2.5,55.0
1038,20140410,21,PCA,198.09785595750833
1038,20140410,21,PM2.5,54.0
1044,20140410,22,PCA,201.67139450310464
1044,20140410,22,PM2.5,56.0
1050,20140410,23,PCA,194.9477783776185
1050,20140410,23,PM2.5,58.0
1056,20140411,0,PCA,196.44883530822457
1056,20140411,0,PM2.5,68.0
1062,20140411,1,PCA,189.53801723482155
1062,20140411,1,PM2.5,68.0
1068,20140411,2,PCA,186.15604611284235
1068,20140411,2,PM2.5,69.0
1074,20140411,3,PCA,192.56417039978064
1074,20140411,3,PM2.5,75.0
1080,20140411,4,PCA,176.2888550147146
1080,20140411,4,PM2.5,68.0
1086,20140411,5,PCA,168.43228195637644
1086,20140411,5,PM2.5,73.0
1092,20140411,6,PCA,153.44855215728217
1092,20140411,6,PM2.5,76.0
1098,20140411,7,PCA,136.76800557542373
1098,20140411,7,PM2.5,75.0
1104,20140411,8,PCA,127.95489429005806
1104,20140411,8,PM2.5,86.0
1110,20140411,9,PCA,107.76078120655738
1110,20140411,9,PM2.5,81.0
1116,20140411,10,PCA,99.72790218554576
1116,20140411,10,PM2.5,80.0
1122,20140411,11,PCA,87.84171675697556
1122,20140411,11,PM2.5,72.0
1128,20140411,12,PCA,76.14576535008015
1128,20140411,12,PM2.5,70.0
1134,20140411,13,PCA,46.69210528980745
1134,20140411,13,PM2.5,48.0
1140,20140411,14,PCA,46.89549693053816
1140,20140411,14,PM2.5,55.0
1146,20140411,15,PCA,39.29414205028961
1146,20140411,15,PM2.5,55.0
1152,20140411,16,PCA,30.974060102823593
1152,20140411,16,PM2.5,57.0
1158,20140411,17,PCA,21.610043674868365
1158,20140411,17,PM2.5,50.0
1164,20140411,18,PCA,15.525633856735908
1164,20140411,18,PM2.5,47.0
1170,20140411,19,PCA,17.452356418329185
1170,20140411,19,PM2.5,52.0
1176,20140411,20,PCA,17.883147611304523
1176,20140411,20,PM2.5,53.0
1182,20140411,21,PCA,24.551409023224423
1182,20140411,21,PM2.5,58.0
1188,20140411,22,PCA,47.87022324544093
1188,20140411,22,PM2.5,71.0
1194,20140411,23,PCA,41.46933032465762
1194,20140411,23,PM2.5,67.0
1200,20140412,0,PCA,41.21979684538961
1200,20140412,0,PM2.5,71.0
1206,20140412,1,PCA,37.494441473049584
1206,20140412,1,PM2.5,73.0
1212,20140412,2,PCA,15.181448151667231
1212,20140412,2,PM2.5,58.0
1218,20140412,3,PCA,7.481106495070387
1218,20140412,3,PM2.5,58.0
1224,20140412,4,PCA,2.675349695536338
1224,20140412,4,PM2.5,56.0
1230,20140412,5,PCA,4.572785095143304
1230,20140412,5,PM2.5,60.0
1236,20140412,6,PCA,3.869120501424534
1236,20140412,6,PM2.5,61.0
1242,20140412,7,PCA,6.594699855482426
1242,20140412,7,PM2.5,64.0
1248,20140412,8,PCA,5.78203561438408
1248,20140412,8,PM2.5,65.0
1254,20140412,9,PCA,11.231327445732976
1254,20140412,9,PM2.5,73.0
1260,20140412,10,PCA,16.680619277081874
1260,20140412,10,PM2.5,81.0
1266,20140412,11,PCA,26.811484445315365
1266,20140412,11,PM2.5,96.0
1272,20140412,12,PCA,16.066048743770025
1272,20140412,12,PM2.5,89.0
1278,20140412,13,PCA,14.793986294988605
1278,20140412,13,PM2.5,91.0
1284,20140412,14,PCA,11.147390209073329
1284,20140412,14,PM2.5,89.0
1290,20140412,15,PCA,19.646164133489037
1290,20140412,15,PM2.5,96.0
1296,20140412,16,PCA,25.141169112724764
1296,20140412,16,PM2.5,99.0
1302,20140412,17,PCA,21.25614824592441
1302,20140412,17,PM2.5,93.0
1308,20140412,18,PCA,18.541768977904248
1308,20140412,18,PM2.5,86.0
1314,20140412,19,PCA,27.712849206696795
1314,20140412,19,PM2.5,93.0
1320,20140412,20,PCA,38.374525870776075
1320,20140412,20,PM2.5,97.0
1326,20140412,21,PCA,60.10770970831332
1326,20140412,21,PM2.5,106.0
1332,20140412,22,PCA,83.33733232505556
1332,20140412,22,PM2.5,126.0
1338,20140412,23,PCA,86.92874367368026
1338,20140412,23,PM2.5,125.0
1344,20140413,0,PCA,90.67095755724982
1344,20140413,0,PM2.5,128.0
1350,20140413,1,PCA,107.94719125599583
1350,20140413,1,PM2.5,150.0
1356,20140413,2,PCA,86.40722340185152
1356,20140413,2,PM2.5,121.0
1362,20140413,3,PCA,77.00662762168636
1362,20140413,3,PM2.5,106.0
1368,20140413,4,PCA,71.17166117882218
1368,20140413,4,PM2.5,102.0
1374,20140413,5,PCA,65.8115646636745
1374,20140413,5,PM2.5,98.0
1380,20140413,6,PCA,63.943566868604144
1380,20140413,6,PM2.5,96.0
1386,20140413,7,PCA,63.658407721612846
1386,20140413,7,PM2.5,96.0
1392,20140413,8,PCA,63.174275762351776
1392,20140413,8,PM2.5,97.0
1398,20140413,9,PCA,73.80928474987151
1398,20140413,9,PM2.5,107.0
1404,20140413,10,PCA,108.94829776897659
1404,20140413,10,PM2.5,142.0
1410,20140413,11,PCA,116.60268628338814
1410,20140413,11,PM2.5,159.0
1416,20140413,12,PCA,126.14713068647532
1416,20140413,12,PM2.5,170.0
1422,20140413,13,PCA,130.59167254397664
1422,20140413,13,PM2.5,186.0
1428,20140413,14,PCA,124.91438110213693
1428,20140413,14,PM2.5,191.0
1434,20140413,15,PCA,122.33531739379343
1434,20140413,15,PM2.5,186.0
1440,20140413,16,PCA,125.64191902542223
1440,20140413,16,PM2.5,184.0
1446,20140413,17,PCA,116.87880038394255
1446,20140413,17,PM2.5,167.0
1452,20140413,18,PCA,114.64173368573877
1452,20140413,18,PM2.5,156.0
1458,20140413,19,PCA,119.0054381060653
1458,20140413,19,PM2.5,151.0
1464,20140413,20,PCA,135.67657261390636
1464,20140413,20,PM2.5,163.0
1470,20140413,21,PCA,164.40269529578114
1470,20140413,21,PM2.5,181.0
1476,20140413,22,PCA,188.3779308419757
1476,20140413,22,PM2.5,187.0
1482,20140413,23,PCA,179.5519320423122
1482,20140413,23,PM2.5,183.0
1488,20140414,0,PCA,174.77342986670553
1488,20140414,0,PM2.5,182.0
1494,20140414,1,PCA,156.18782850194418
1494,20140414,1,PM2.5,169.0
1500,20140414,2,PCA,165.56030984779125
1500,20140414,2,PM2.5,175.0
1506,20140414,3,PCA,221.34934788168584
1506,20140414,3,PM2.5,232.0
1512,20140414,4,PCA,229.63103552447066
1512,20140414,4,PM2.5,246.0
1518,20140414,5,PCA,228.81886340848428
1518,20140414,5,PM2.5,244.0
1524,20140414,6,PCA,193.15962663478695
1524,20140414,6,PM2.5,194.0
1530,20140414,7,PCA,186.1056635989543
1530,20140414,7,PM2.5,185.0
1536,20140414,8,PCA,183.06005485862687
1536,20140414,8,PM2.5,181.0
1542,20140414,9,PCA,199.19844363927444
1542,20140414,9,PM2.5,196.0
1548,20140414,10,PCA,228.59319651470935
1548,20140414,10,PM2.5,234.0
1554,20140414,11,PCA,249.52152097510256
1554,20140414,11,PM2.5,260.0
1560,20140414,12,PCA,258.2023879441869
1560,20140414,12,PM2.5,277.0
1566,20140414,13,PCA,274.56789052117796
1566,20140414,13,PM2.5,295.0
1572,20140414,14,PCA,284.5408199158709
1572,20140414,14,PM2.5,309.0
1578,20140414,15,PCA,280.3978352252258
1578,20140414,15,PM2.5,311.0
1584,20140414,16,PCA,266.7936165347625
1584,20140414,16,PM2.5,291.0
1590,20140414,17,PCA,225.05397371161482
1590,20140414,17,PM2.5,223.0
1596,20140414,18,PCA,229.90049916991737
1596,20140414,18,PM2.5,223.0
1602,20140414,19,PCA,267.3715373386959
