,date,hour,type,东高村
72,20140402,12,PCA,96.58357832611767
72,20140402,12,PM2.5,149.0
78,20140402,13,PCA,26.881536739035973
78,20140402,13,PM2.5,54.0
84,20140402,14,PCA,14.666233833753374
84,20140402,14,PM2.5,41.0
90,20140402,15,PCA,18.561724741896295
90,20140402,15,PM2.5,51.0
96,20140402,16,PCA,35.68619713604518
96,20140402,16,PM2.5,76.0
102,20140402,17,PCA,94.68938713670912
102,20140402,17,PM2.5,154.0
108,20140402,18,PCA,66.18040101003741
108,20140402,18,PM2.5,111.0
114,20140402,19,PCA,50.711337670206575
114,20140402,19,PM2.5,86.0
120,20140402,20,PCA,42.94063877546361
120,20140402,20,PM2.5,72.0
126,20140402,21,PCA,33.717210825327356
126,20140402,21,PM2.5,58.0
132,20140402,22,PCA,36.992737286353744
132,20140402,22,PM2.5,60.0
138,20140402,23,PCA,41.114483439274615
138,20140402,23,PM2.5,64.0
144,20140403,0,PCA,36.92099873929522
144,20140403,0,PM2.5,59.0
150,20140403,1,PCA,35.83763272952409
150,20140403,1,PM2.5,60.0
156,20140403,2,PCA,27.732937505365108
156,20140403,2,PM2.5,51.0
162,20140403,3,PCA,27.69846792335478
162,20140403,3,PM2.5,56.0
168,20140403,4,PCA,25.589778099720707
168,20140403,4,PM2.5,57.0
174,20140403,5,PCA,-2.4385420819140857
174,20140403,5,PM2.5,29.0
180,20140403,6,PCA,-12.949875329178738
180,20140403,6,PM2.5,22.0
186,20140403,7,PCA,-32.08162551758255
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-27.73830272217774
192,20140403,8,PM2.5,14.0
198,20140403,9,PCA,-41.72806142391937
198,20140403,9,PM2.5,3.0
204,20140403,10,PCA,-48.32213114479893
204,20140403,10,PM2.5,3.0
210,20140403,11,PCA,-50.52617740331507
210,20140403,11,PM2.5,9.0
216,20140403,12,PCA,-42.895718449546
216,20140403,12,PM2.5,28.0
222,20140403,13,PCA,-44.92629035144959
222,20140403,13,PM2.5,27.0
240,20140403,16,PCA,-62.41695013121513
240,20140403,16,PM2.5,4.0
246,20140403,17,PCA,-66.01423057228725
246,20140403,17,PM2.5,3.0
252,20140403,18,PCA,-66.50553591347641
252,20140403,18,PM2.5,5.0
258,20140403,19,PCA,-69.22833168622125
258,20140403,19,PM2.5,3.0
264,20140403,20,PCA,-68.24056331655648
264,20140403,20,PM2.5,6.0
270,20140403,21,PCA,-67.94418105334869
270,20140403,21,PM2.5,8.0
276,20140403,22,PCA,-51.49318770904744
276,20140403,22,PM2.5,24.0
282,20140403,23,PCA,-46.40104445784052
282,20140403,23,PM2.5,27.0
288,20140404,0,PCA,-43.65679525388449
288,20140404,0,PM2.5,28.0
294,20140404,1,PCA,-46.5664807553051
294,20140404,1,PM2.5,25.0
300,20140404,2,PCA,-47.311792228768255
300,20140404,2,PM2.5,26.0
306,20140404,3,PCA,-49.73292544607463
306,20140404,3,PM2.5,27.0
312,20140404,4,PCA,-51.93883459172663
312,20140404,4,PM2.5,26.0
318,20140404,5,PCA,-49.71192542110883
318,20140404,5,PM2.5,29.0
324,20140404,6,PCA,-48.90780982896455
324,20140404,6,PM2.5,27.0
330,20140404,7,PCA,-49.50214080604852
330,20140404,7,PM2.5,25.0
336,20140404,8,PCA,-47.81189323455033
336,20140404,8,PM2.5,26.0
342,20140404,9,PCA,-39.71255562786519
342,20140404,9,PM2.5,34.0
348,20140404,10,PCA,-30.553030744988032
348,20140404,10,PM2.5,45.0
354,20140404,11,PCA,-31.864256499031836
354,20140404,11,PM2.5,43.0
360,20140404,12,PCA,-32.110760871793076
360,20140404,12,PM2.5,44.0
366,20140404,13,PCA,-38.712908778533965
366,20140404,13,PM2.5,36.0
372,20140404,14,PCA,-47.23120040700023
372,20140404,14,PM2.5,28.0
378,20140404,15,PCA,-47.66208802299254
378,20140404,15,PM2.5,28.0
384,20140404,16,PCA,-57.661283345602264
384,20140404,16,PM2.5,14.0
390,20140404,17,PCA,-54.964397783916006
390,20140404,17,PM2.5,17.0
396,20140404,18,PCA,-52.818232791721485
396,20140404,18,PM2.5,17.0
402,20140404,19,PCA,-50.186017291015034
402,20140404,19,PM2.5,17.0
408,20140404,20,PCA,-39.87590928785894
408,20140404,20,PM2.5,24.0
414,20140404,21,PCA,-23.726251034828596
414,20140404,21,PM2.5,41.0
420,20140404,22,PCA,-26.8923371454519
420,20140404,22,PM2.5,37.0
426,20140404,23,PCA,-26.218629024830165
426,20140404,23,PM2.5,37.0
432,20140405,0,PCA,-33.77806808124034
432,20140405,0,PM2.5,27.0
438,20140405,1,PCA,-32.61586781933066
438,20140405,1,PM2.5,28.0
444,20140405,2,PCA,-31.752030284427295
444,20140405,2,PM2.5,28.0
450,20140405,3,PCA,-32.82333560114468
450,20140405,3,PM2.5,26.0
456,20140405,4,PCA,-27.784302163258097
456,20140405,4,PM2.5,32.0
462,20140405,5,PCA,-28.59757105355873
462,20140405,5,PM2.5,29.0
468,20140405,6,PCA,-32.115119966384704
468,20140405,6,PM2.5,25.0
474,20140405,7,PCA,-38.672372784172595
474,20140405,7,PM2.5,19.0
480,20140405,8,PCA,-47.86731053269149
480,20140405,8,PM2.5,7.0
486,20140405,9,PCA,-47.17951346826715
486,20140405,9,PM2.5,12.0
492,20140405,10,PCA,-52.48360171240733
492,20140405,10,PM2.5,6.0
498,20140405,11,PCA,-47.387235780408766
498,20140405,11,PM2.5,16.0
504,20140405,12,PCA,-52.980653224647014
504,20140405,12,PM2.5,9.0
510,20140405,13,PCA,-57.137734917966434
510,20140405,13,PM2.5,4.0
516,20140405,14,PCA,-55.23878255354534
516,20140405,14,PM2.5,8.0
522,20140405,15,PCA,-53.47155702528046
522,20140405,15,PM2.5,11.0
528,20140405,16,PCA,-58.241425303077
528,20140405,16,PM2.5,6.0
534,20140405,17,PCA,-61.01486233582537
534,20140405,17,PM2.5,3.0
540,20140405,18,PCA,-56.00408140179713
540,20140405,18,PM2.5,13.0
546,20140405,19,PCA,-58.36755822811818
546,20140405,19,PM2.5,12.0
552,20140405,20,PCA,-52.87195183851697
552,20140405,20,PM2.5,21.0
558,20140405,21,PCA,-46.93843442480503
558,20140405,21,PM2.5,33.0
564,20140405,22,PCA,-41.556487817543555
564,20140405,22,PM2.5,41.0
570,20140405,23,PCA,-35.93054332296556
570,20140405,23,PM2.5,48.0
576,20140406,0,PCA,-34.493431729915315
576,20140406,0,PM2.5,49.0
582,20140406,1,PCA,-30.510443779966504
582,20140406,1,PM2.5,49.0
588,20140406,2,PCA,-26.97704771002202
588,20140406,2,PM2.5,54.0
594,20140406,3,PCA,-26.12455466156444
594,20140406,3,PM2.5,57.0
600,20140406,4,PCA,-25.609100726486677
600,20140406,4,PM2.5,58.0
606,20140406,5,PCA,-30.176808699836467
606,20140406,5,PM2.5,53.0
612,20140406,6,PCA,-28.005036962184832
612,20140406,6,PM2.5,59.0
618,20140406,7,PCA,-31.28719776334839
618,20140406,7,PM2.5,53.0
624,20140406,8,PCA,-44.450384944840295
624,20140406,8,PM2.5,32.0
630,20140406,9,PCA,-19.69206165138101
630,20140406,9,PM2.5,67.0
636,20140406,10,PCA,-26.034961065745176
636,20140406,10,PM2.5,57.0
642,20140406,11,PCA,-29.323487690429268
642,20140406,11,PM2.5,52.0
648,20140406,12,PCA,-31.159285259720058
648,20140406,12,PM2.5,47.0
654,20140406,13,PCA,-40.02416921585066
654,20140406,13,PM2.5,34.0
660,20140406,14,PCA,-41.684760785905546
660,20140406,14,PM2.5,32.0
666,20140406,15,PCA,-40.62955453178057
666,20140406,15,PM2.5,32.0
672,20140406,16,PCA,-41.75106488467292
672,20140406,16,PM2.5,29.0
678,20140406,17,PCA,-40.86417749445949
678,20140406,17,PM2.5,30.0
684,20140408,10,PCA,136.46103209360007
684,20140408,10,PM2.5,174.0
690,20140408,11,PCA,135.94498101084557
690,20140408,11,PM2.5,171.0
696,20140408,12,PCA,121.11687144994914
696,20140408,12,PM2.5,153.0
702,20140408,13,PCA,122.4828306803921
702,20140408,13,PM2.5,155.0
708,20140408,14,PCA,123.74540989023191
708,20140408,14,PM2.5,154.0
714,20140408,15,PCA,126.19535663475483
714,20140408,15,PM2.5,156.0
720,20140408,16,PCA,152.02674020229068
720,20140408,16,PM2.5,188.0
726,20140408,17,PCA,167.95255213543814
726,20140408,17,PM2.5,205.0
732,20140408,18,PCA,139.29607762497324
732,20140408,18,PM2.5,163.0
738,20140408,19,PCA,146.4895189734256
738,20140408,19,PM2.5,170.0
744,20140408,20,PCA,159.6128533791814
744,20140408,20,PM2.5,185.0
750,20140408,21,PCA,185.54239296060265
750,20140408,21,PM2.5,218.0
756,20140408,22,PCA,186.39407256582345
756,20140408,22,PM2.5,212.0
762,20140408,23,PCA,149.96335365026658
762,20140408,23,PM2.5,159.0
768,20140409,0,PCA,136.92809062057484
768,20140409,0,PM2.5,140.0
774,20140409,1,PCA,129.82417540300273
774,20140409,1,PM2.5,129.0
780,20140409,2,PCA,127.62562603491693
780,20140409,2,PM2.5,126.0
786,20140409,3,PCA,117.58822685746271
786,20140409,3,PM2.5,113.0
792,20140409,4,PCA,117.9637564144338
792,20140409,4,PM2.5,115.0
798,20140409,5,PCA,123.85986253728832
798,20140409,5,PM2.5,123.0
804,20140409,6,PCA,108.23072888865727
804,20140409,6,PM2.5,102.0
810,20140409,7,PCA,116.83323584825294
810,20140409,7,PM2.5,115.0
816,20140409,8,PCA,146.3466903635203
816,20140409,8,PM2.5,156.0
822,20140409,9,PCA,145.33616249765353
822,20140409,9,PM2.5,155.0
828,20140409,10,PCA,131.27874062095648
828,20140409,10,PM2.5,136.0
834,20140409,11,PCA,135.8960984144049
834,20140409,11,PM2.5,144.0
840,20140409,12,PCA,152.87734367159908
840,20140409,12,PM2.5,170.0
846,20140409,13,PCA,127.27284962151916
846,20140409,13,PM2.5,132.0
852,20140409,14,PCA,89.31312880245453
852,20140409,14,PM2.5,83.0
858,20140409,15,PCA,68.89545909573891
858,20140409,15,PM2.5,62.0
864,20140409,16,PCA,63.07913632141804
864,20140409,16,PM2.5,62.0
870,20140409,17,PCA,55.88954576819294
870,20140409,17,PM2.5,60.0
876,20140409,18,PCA,75.9033784500975
876,20140409,18,PM2.5,91.0
882,20140409,19,PCA,69.88365287137826
882,20140409,19,PM2.5,87.0
888,20140409,20,PCA,61.08768679813343
888,20140409,20,PM2.5,81.0
894,20140409,21,PCA,53.893103705290784
894,20140409,21,PM2.5,80.0
900,20140409,22,PCA,50.18764035619633
900,20140409,22,PM2.5,83.0
906,20140409,23,PCA,50.2334185859544
906,20140409,23,PM2.5,88.0
912,20140410,0,PCA,44.846229618590165
912,20140410,0,PM2.5,83.0
918,20140410,1,PCA,45.23633249946594
918,20140410,1,PM2.5,82.0
924,20140410,2,PCA,45.100365800101244
924,20140410,2,PM2.5,77.0
930,20140410,3,PCA,45.92992069620267
930,20140410,3,PM2.5,74.0
936,20140410,4,PCA,47.22201959040552
936,20140410,4,PM2.5,69.0
942,20140410,5,PCA,49.41135876636367
942,20140410,5,PM2.5,68.0
948,20140410,6,PCA,61.54548126939441
948,20140410,6,PM2.5,78.0
954,20140410,7,PCA,61.47618227722485
954,20140410,7,PM2.5,72.0
960,20140410,8,PCA,77.55361986854275
960,20140410,8,PM2.5,84.0
966,20140410,9,PCA,108.79902891168135
966,20140410,9,PM2.5,124.0
972,20140410,10,PCA,103.42290875110817
972,20140410,10,PM2.5,111.0
978,20140410,11,PCA,115.45042904878586
978,20140410,11,PM2.5,122.0
984,20140410,12,PCA,114.79631650052109
984,20140410,12,PM2.5,116.0
990,20140410,13,PCA,109.02697291361139
990,20140410,13,PM2.5,102.0
996,20140410,14,PCA,111.5560003652046
996,20140410,14,PM2.5,93.0
1002,20140410,15,PCA,112.09617094666318
1002,20140410,15,PM2.5,88.0
1008,20140410,16,PCA,92.47288897825145
1008,20140410,16,PM2.5,70.0
1014,20140410,17,PCA,78.74828735315553
1014,20140410,17,PM2.5,61.0
1020,20140410,18,PCA,71.1836059366426
1020,20140410,18,PM2.5,54.0
1026,20140410,19,PCA,65.63412934160696
1026,20140410,19,PM2.5,47.5
1032,20140410,20,PCA,60.084652746571315
1032,20140410,20,PM2.5,41.0
1038,20140410,21,PCA,56.9834492163881
1038,20140410,21,PM2.5,42.0
1044,20140410,22,PCA,50.88811722966469
1044,20140410,22,PM2.5,42.0
1050,20140410,23,PCA,45.561957097118736
1050,20140410,23,PM2.5,41.0
1056,20140411,0,PCA,44.68679885705214
1056,20140411,0,PM2.5,45.0
1062,20140411,1,PCA,39.166411428962576
1062,20140411,1,PM2.5,44.0
1068,20140411,2,PCA,41.11361057645853
1068,20140411,2,PM2.5,49.0
1074,20140411,3,PCA,30.62618989403709
1074,20140411,3,PM2.5,45.0
1080,20140411,4,PCA,25.46710187616985
1080,20140411,4,PM2.5,44.0
1086,20140411,5,PCA,37.28136325972121
1086,20140411,5,PM2.5,66.0
1092,20140411,6,PCA,15.758859513456821
1092,20140411,6,PM2.5,43.0
1098,20140411,7,PCA,-1.0599602825302665
1098,20140411,7,PM2.5,27.0
1104,20140411,8,PCA,-9.830801724971904
1104,20140411,8,PM2.5,23.0
1110,20140411,9,PCA,-22.232373511184907
1110,20140411,9,PM2.5,13.0
1116,20140411,10,PCA,-31.650957748644934
1116,20140411,10,PM2.5,9.0
1122,20140411,11,PCA,-32.643741408490676
1122,20140411,11,PM2.5,18.0
1128,20140411,12,PCA,-41.13222938870076
1128,20140411,12,PM2.5,14.0
1134,20140411,13,PCA,-44.329795216213775
1134,20140411,13,PM2.5,16.0
1140,20140411,14,PCA,-42.6812826925975
1140,20140411,14,PM2.5,26.0
1146,20140411,15,PCA,-45.85792111054549
1146,20140411,15,PM2.5,26.0
1152,20140411,16,PCA,-43.50993223719542
1152,20140411,16,PM2.5,31.0
1158,20140411,17,PCA,-44.91773152036286
1158,20140411,17,PM2.5,33.0
1164,20140411,18,PCA,-41.35356661339454
1164,20140411,18,PM2.5,42.0
1170,20140411,19,PCA,-37.48164687236549
1170,20140411,19,PM2.5,46.0
1176,20140411,20,PCA,-20.663700695003573
1176,20140411,20,PM2.5,64.0
1182,20140411,21,PCA,-10.913354448484426
1182,20140411,21,PM2.5,76.0
1188,20140411,22,PCA,-5.636448624189147
1188,20140411,22,PM2.5,81.0
1194,20140411,23,PCA,-13.694694781301235
1194,20140411,23,PM2.5,71.0
1200,20140412,0,PCA,-11.385510179269216
1200,20140412,0,PM2.5,74.0
1206,20140412,1,PCA,-12.119376466478608
1206,20140412,1,PM2.5,72.0
1212,20140412,2,PCA,-7.889039874572511
1212,20140412,2,PM2.5,76.0
1218,20140412,3,PCA,0.7224659357602206
1218,20140412,3,PM2.5,86.0
1224,20140412,4,PCA,1.0419716701050385
1224,20140412,4,PM2.5,84.0
1230,20140412,5,PCA,-7.489792653547883
1230,20140412,5,PM2.5,71.0
1236,20140412,6,PCA,0.6655571929023474
1236,20140412,6,PM2.5,81.0
1242,20140412,7,PCA,4.4427436660862965
1242,20140412,7,PM2.5,82.0
1248,20140412,8,PCA,13.146623159450751
1248,20140412,8,PM2.5,91.0
1254,20140412,9,PCA,33.53524955315305
1254,20140412,9,PM2.5,112.0
1260,20140412,10,PCA,55.376605002248645
1260,20140412,10,PM2.5,133.0
1266,20140412,11,PCA,29.12780095975371
1266,20140412,11,PM2.5,97.0
1272,20140412,12,PCA,9.373918820506713
1272,20140412,12,PM2.5,70.0
1278,20140412,13,PCA,19.069294777099216
1278,20140412,13,PM2.5,84.0
1284,20140412,14,PCA,28.39589177465508
1284,20140412,14,PM2.5,95.0
1290,20140412,15,PCA,38.124620073397146
1290,20140412,15,PM2.5,108.0
1296,20140412,16,PCA,32.94137523834806
1296,20140412,16,PM2.5,98.0
1302,20140412,17,PCA,21.50560022514473
1302,20140412,17,PM2.5,78.0
1308,20140412,18,PCA,20.65109790332452
1308,20140412,18,PM2.5,73.0
1314,20140412,19,PCA,17.468476506280233
1314,20140412,19,PM2.5,67.0
1320,20140412,20,PCA,39.12279039724952
1320,20140412,20,PM2.5,98.0
1326,20140412,21,PCA,32.16822959696643
1326,20140412,21,PM2.5,84.0
1332,20140412,22,PCA,19.59892743060595
1332,20140412,22,PM2.5,67.0
1338,20140412,23,PCA,26.696608069170072
1338,20140412,23,PM2.5,76.0
1344,20140413,0,PCA,15.184974220982436
1344,20140413,0,PM2.5,61.0
1350,20140413,1,PCA,29.835088008694335
1350,20140413,1,PM2.5,80.0
1356,20140413,2,PCA,38.68553366459552
1356,20140413,2,PM2.5,91.0
1362,20140413,3,PCA,50.53250904169498
1362,20140413,3,PM2.5,105.0
1368,20140413,4,PCA,64.31869046840431
1368,20140413,4,PM2.5,121.0
1374,20140413,5,PCA,57.21000819500943
1374,20140413,5,PM2.5,107.0
1380,20140413,6,PCA,56.410711211713775
1380,20140413,6,PM2.5,107.0
1386,20140413,7,PCA,59.05345092823608
1386,20140413,7,PM2.5,110.0
1392,20140413,8,PCA,78.08046524324324
1392,20140413,8,PM2.5,136.0
1398,20140413,9,PCA,101.92985588016364
1398,20140413,9,PM2.5,162.0
1404,20140413,10,PCA,111.89482545794272
1404,20140413,10,PM2.5,172.0
1410,20140413,11,PCA,127.44866119245265
1410,20140413,11,PM2.5,192.0
1416,20140413,12,PCA,96.11187370226564
1416,20140413,12,PM2.5,154.0
1422,20140413,13,PCA,59.2344689417701
1422,20140413,13,PM2.5,102.0
1428,20140413,14,PCA,87.77047780951872
1428,20140413,14,PM2.5,144.0
1434,20140413,15,PCA,74.99293379863934
1434,20140413,15,PM2.5,124.0
1440,20140413,16,PCA,75.45800178304152
1440,20140413,16,PM2.5,125.0
1446,20140413,17,PCA,75.74765990829454
1446,20140413,17,PM2.5,122.0
1452,20140413,18,PCA,90.49565411718923
1452,20140413,18,PM2.5,139.0
1458,20140413,19,PCA,103.20302846766843
1458,20140413,19,PM2.5,151.0
1464,20140413,20,PCA,105.69549091454223
1464,20140413,20,PM2.5,152.0
1470,20140413,21,PCA,159.55411442908232
1470,20140413,21,PM2.5,214.0
1476,20140413,22,PCA,144.79302925940223
1476,20140413,22,PM2.5,184.0
1482,20140413,23,PCA,177.11177985416498
1482,20140413,23,PM2.5,223.0
1488,20140414,0,PCA,189.19141303641536
1488,20140414,0,PM2.5,230.0
1494,20140414,1,PCA,201.87524345876068
1494,20140414,1,PM2.5,237.0
1500,20140414,2,PCA,204.10771888635466
1500,20140414,2,PM2.5,231.0
1506,20140414,3,PCA,206.3945970857662
1506,20140414,3,PM2.5,231.0
1512,20140414,4,PCA,203.31355747889253
1512,20140414,4,PM2.5,225.0
1518,20140414,5,PCA,199.30981607560815
1518,20140414,5,PM2.5,217.0
1524,20140414,6,PCA,200.10432444894604
1524,20140414,6,PM2.5,212.0
1530,20140414,7,PCA,199.0136207556087
1530,20140414,7,PM2.5,207.0
1536,20140414,8,PCA,201.9922268913849
1536,20140414,8,PM2.5,195.0
1542,20140414,9,PCA,219.6891508601065
1542,20140414,9,PM2.5,222.0
1548,20140414,10,PCA,214.31425909538123
1548,20140414,10,PM2.5,213.0
1554,20140414,11,PCA,216.0201757989467
1554,20140414,11,PM2.5,215.0
1560,20140414,12,PCA,216.7186125525022
1560,20140414,12,PM2.5,220.0
1566,20140414,13,PCA,177.50924861470324
1566,20140414,13,PM2.5,165.0
1572,20140414,14,PCA,164.0230180619624
1572,20140414,14,PM2.5,146.0
1578,20140414,15,PCA,176.16271907311787
1578,20140414,15,PM2.5,164.0
1584,20140414,16,PCA,218.05406942183544
1584,20140414,16,PM2.5,224.0
1590,20140414,17,PCA,224.69437580700003
1590,20140414,17,PM2.5,228.0
1596,20140414,18,PCA,222.47227277265642
1596,20140414,18,PM2.5,222.0
1602,20140414,19,PCA,224.1866999118998
1602,20140414,19,PM2.5,221.0
1608,20140414,20,PCA,202.04903963421967
1608,20140414,20,PM2.5,185.0
1614,20140414,21,PCA,200.55967139522363
1614,20140414,21,PM2.5,186.0
1620,20140414,22,PCA,211.61358781285583
1620,20140414,22,PM2.5,201.0
1626,20140414,23,PCA,141.4307786214694
1626,20140414,23,PM2.5,99.0
1632,20140415,0,PCA,107.75867418278769
1632,20140415,0,PM2.5,57.0
1638,20140415,1,PCA,80.0587494471895
1638,20140415,1,PM2.5,25.0
1644,20140415,2,PCA,88.40243974105853
1644,20140415,2,PM2.5,46.0
1650,20140415,3,PCA,101.43246314509794
1650,20140415,3,PM2.5,71.0
1656,20140415,4,PCA,110.21271461060898
1656,20140415,4,PM2.5,87.0
1818,20140416,7,PCA,-35.90778045897782
1818,20140416,7,PM2.5,21.0
1824,20140416,8,PCA,-9.100766344108749
1824,20140416,8,PM2.5,54.0
1830,20140416,9,PCA,-10.64738020981496
1830,20140416,9,PM2.5,54.0
1836,20140416,10,PCA,1.905810421378658
1836,20140416,10,PM2.5,68.0
1842,20140416,11,PCA,-32.04515621947746
1842,20140416,11,PM2.5,32.0
1848,20140416,12,PCA,-19.74248778261338
1848,20140416,12,PM2.5,50.0
1854,20140416,13,PCA,-39.109624303253064
1854,20140416,13,PM2.5,31.0
1860,20140416,14,PCA,-52.83417049536507
1860,20140416,14,PM2.5,29.0
1866,20140416,15,PCA,-47.38857894987539
1866,20140416,15,PM2.5,33.0
1872,20140416,16,PCA,-38.45113410527103
1872,20140416,16,PM2.5,50.0
1878,20140416,17,PCA,-33.17806660362855
1878,20140416,17,PM2.5,51.0
1884,20140416,18,PCA,-30.094445576617897
1884,20140416,18,PM2.5,49.0
1890,20140416,19,PCA,-22.043406937136517
1890,20140416,19,PM2.5,53.0
1896,20140416,20,PCA,-14.376255879805452
1896,20140416,20,PM2.5,59.0
1902,20140416,21,PCA,-5.432127023959665
1902,20140416,21,PM2.5,64.0
1908,20140416,22,PCA,-2.4102777700523506
1908,20140416,22,PM2.5,61.0
1914,20140416,23,PCA,4.828811343762041
1914,20140416,23,PM2.5,65.0
1920,20140417,0,PCA,19.175145158572004
1920,20140417,0,PM2.5,80.0
1926,20140417,1,PCA,17.982829505668096
1926,20140417,1,PM2.5,76.0
1932,20140417,2,PCA,34.1593725711078
1932,20140417,2,PM2.5,87.0
1938,20140417,3,PCA,52.338694640087795
1938,20140417,3,PM2.5,100.0
1944,20140417,4,PCA,63.03885963329427
1944,20140417,4,PM2.5,102.0
1950,20140417,5,PCA,77.94711495151113
1950,20140417,5,PM2.5,111.0
1956,20140417,6,PCA,78.11443363781996
1956,20140417,6,PM2.5,105.0
1962,20140417,7,PCA,78.72055373737214
1962,20140417,7,PM2.5,109.0
1968,20140417,8,PCA,62.49960209481193
1968,20140417,8,PM2.5,94.0
1974,20140417,9,PCA,65.82627865507119
1974,20140417,9,PM2.5,101.0
1980,20140417,10,PCA,75.7158866170497
1980,20140417,10,PM2.5,111.0
1986,20140417,11,PCA,82.47989362069401
1986,20140417,11,PM2.5,118.0
1992,20140417,12,PCA,68.53823815659825
1992,20140417,12,PM2.5,99.0
1998,20140417,13,PCA,56.63700523848265
1998,20140417,13,PM2.5,87.0
2004,20140417,14,PCA,51.39204823329157
2004,20140417,14,PM2.5,89.0
2010,20140417,15,PCA,15.696280649096218
2010,20140417,15,PM2.5,64.0
2016,20140417,16,PCA,-10.479753151803273
2016,20140417,16,PM2.5,45.0
2022,20140417,17,PCA,11.253304022518908
2022,20140417,17,PM2.5,79.0
2028,20140417,18,PCA,6.034070310638455
2028,20140417,18,PM2.5,77.0
2034,20140417,19,PCA,13.01959696030031
2034,20140417,19,PM2.5,79.0
2040,20140417,20,PCA,25.876342597821534
2040,20140417,20,PM2.5,83.0
2046,20140417,21,PCA,37.38967597038441
2046,20140417,21,PM2.5,86.0
2052,20140417,22,PCA,123.63118960247796
2052,20140417,22,PM2.5,178.0
2058,20140417,23,PCA,118.85579627089929
2058,20140417,23,PM2.5,152.0
2064,20140418,0,PCA,103.49098593919372
2064,20140418,0,PM2.5,120.0
2070,20140418,1,PCA,102.4970090839934
2070,20140418,1,PM2.5,107.0
2076,20140418,2,PCA,100.80812896964133
2076,20140418,2,PM2.5,123.0
2082,20140418,3,PCA,104.73842970209878
2082,20140418,3,PM2.5,138.0
2088,20140418,4,PCA,88.70841150151436
2088,20140418,4,PM2.5,114.0
2094,20140418,5,PCA,114.81299640409344
2094,20140418,5,PM2.5,139.0
2100,20140418,6,PCA,127.3863407060681
2100,20140418,6,PM2.5,147.0
2106,20140418,7,PCA,125.57070954302884
2106,20140418,7,PM2.5,144.0
2112,20140418,8,PCA,116.53491115009427
2112,20140418,8,PM2.5,127.0
2118,20140418,9,PCA,121.82308998384048
2118,20140418,9,PM2.5,137.0
2124,20140418,10,PCA,163.19097157491734
2124,20140418,10,PM2.5,184.0
2130,20140418,11,PCA,184.775296427265
2130,20140418,11,PM2.5,201.0
2136,20140418,12,PCA,179.75521422982843
2136,20140418,12,PM2.5,175.0
2286,20140419,13,PCA,2.8848830748852246
2286,20140419,13,PM2.5,73.0
2292,20140419,14,PCA,-1.300074501425307
2292,20140419,14,PM2.5,59.0
2298,20140419,15,PCA,-16.322367760871106
2298,20140419,15,PM2.5,46.0
2304,20140419,16,PCA,-29.615735343963777
2304,20140419,16,PM2.5,36.0
2310,20140419,17,PCA,-28.40881446373503
2310,20140419,17,PM2.5,48.0
2316,20140419,18,PCA,-35.56390997539634
2316,20140419,18,PM2.5,44.0
2322,20140419,19,PCA,-48.92821236787268
2322,20140419,19,PM2.5,30.0
2328,20140419,20,PCA,-33.93667870618843
2328,20140419,20,PM2.5,47.0
2334,20140419,21,PCA,-32.439892326226435
2334,20140419,21,PM2.5,49.0
2340,20140419,22,PCA,-41.88833239607152
2340,20140419,22,PM2.5,38.0
2346,20140419,23,PCA,-15.698529352804936
2346,20140419,23,PM2.5,63.0
2352,20140420,0,PCA,-21.04224989452347
2352,20140420,0,PM2.5,53.0
2358,20140420,1,PCA,0.38679101325559245
2358,20140420,1,PM2.5,77.0
2364,20140420,2,PCA,-5.328322271617964
2364,20140420,2,PM2.5,60.0
2370,20140420,3,PCA,14.4022832608364
2370,20140420,3,PM2.5,83.0
2376,20140420,4,PCA,24.964918867269446
2376,20140420,4,PM2.5,87.0
2382,20140420,5,PCA,28.557699886523878
2382,20140420,5,PM2.5,88.0
2388,20140420,6,PCA,31.59558061590439
2388,20140420,6,PM2.5,85.0
2394,20140420,7,PCA,16.6608137151315
2394,20140420,7,PM2.5,69.0
2400,20140420,8,PCA,-2.8548018447242103
2400,20140420,8,PM2.5,51.0
2406,20140420,9,PCA,-8.364767014726148
2406,20140420,9,PM2.5,53.0
2412,20140420,10,PCA,-18.374252891465915
2412,20140420,10,PM2.5,52.0
2418,20140420,11,PCA,-55.921172650063056
2418,20140420,11,PM2.5,18.0
2424,20140420,12,PCA,-76.41354263849958
2424,20140420,12,PM2.5,3.0
2430,20140420,13,PCA,-86.35938725079774
2430,20140420,13,PM2.5,3.0
2436,20140420,14,PCA,-87.95203979458445
2436,20140420,14,PM2.5,3.0
2442,20140420,15,PCA,-87.31085872430243
2442,20140420,15,PM2.5,3.0
2448,20140420,16,PCA,-85.82516639474082
2448,20140420,16,PM2.5,3.0
2454,20140420,17,PCA,-85.7922031205725
2454,20140420,17,PM2.5,3.0
2460,20140420,18,PCA,-76.5852641907232
2460,20140420,18,PM2.5,17.0
2466,20140420,19,PCA,-62.469512351301475
2466,20140420,19,PM2.5,31.0
2472,20140420,20,PCA,-59.56386729730651
2472,20140420,20,PM2.5,23.0
2478,20140420,21,PCA,-50.275997245825515
2478,20140420,21,PM2.5,32.0
2484,20140420,22,PCA,-46.432125564590386
2484,20140420,22,PM2.5,35.0
2616,20140422,4,PCA,70.83841857123359
2616,20140422,4,PM2.5,117.0
2622,20140422,5,PCA,80.6132939578689
2622,20140422,5,PM2.5,117.0
