,date,hour,type,延庆
498,20140405,11,PM2.5,8.0
504,20140405,12,PCA,-53.693858326164595
504,20140405,12,PM2.5,12.0
510,20140405,13,PCA,-47.309516672325955
510,20140405,13,PM2.5,20.0
516,20140405,14,PCA,-51.543475377296204
516,20140405,14,PM2.5,14.0
522,20140405,15,PCA,-54.16925857743721
522,20140405,15,PM2.5,10.0
528,20140405,16,PCA,-52.39951099157404
528,20140405,16,PM2.5,14.0
534,20140405,17,PCA,-55.745490988390735
534,20140405,17,PM2.5,11.0
540,20140405,18,PCA,-56.25511107209646
540,20140405,18,PM2.5,13.0
546,20140405,19,PCA,-61.35815150384904
546,20140405,19,PM2.5,9.0
552,20140405,20,PCA,-62.30318604565275
552,20140405,20,PM2.5,7.0
558,20140405,21,PCA,-52.44011809475987
558,20140405,21,PM2.5,22.0
564,20140405,22,PCA,-58.009754023234294
564,20140405,22,PM2.5,16.0
570,20140405,23,PCA,-66.16397275674817
570,20140405,23,PM2.5,7.0
576,20140406,0,PCA,-49.844534434182556
576,20140406,0,PM2.5,24.0
582,20140406,1,PCA,-53.4165771046998
582,20140406,1,PM2.5,18.0
588,20140406,2,PCA,-49.10637830856235
588,20140406,2,PM2.5,21.5
594,20140406,3,PCA,-44.796179512424914
594,20140406,3,PM2.5,25.0
600,20140406,4,PCA,-49.74143180710867
600,20140406,4,PM2.5,19.0
606,20140406,5,PCA,-45.23358081117797
606,20140406,5,PM2.5,24.0
612,20140406,6,PCA,-42.54548392614399
612,20140406,6,PM2.5,29.0
618,20140406,7,PCA,-48.57015651584232
618,20140406,7,PM2.5,20.0
624,20140406,8,PCA,-39.38822199930414
624,20140406,8,PM2.5,34.0
630,20140406,9,PCA,-28.36508561493036
630,20140406,9,PM2.5,44.0
636,20140406,10,PCA,-26.641999886816286
636,20140406,10,PM2.5,48.0
642,20140406,11,PCA,-36.08070094714456
642,20140406,11,PM2.5,36.5
648,20140406,12,PCA,-45.519402007472806
648,20140406,12,PM2.5,25.0
654,20140406,13,PCA,-38.412270011223974
654,20140406,13,PM2.5,36.0
660,20140406,14,PCA,-51.1871837179399
660,20140406,14,PM2.5,24.0
666,20140406,15,PCA,-56.70570551771545
666,20140406,15,PM2.5,16.0
672,20140406,16,PCA,-62.2983743522298
672,20140406,16,PM2.5,9.0
678,20140406,17,PCA,-59.52068249400066
678,20140406,17,PM2.5,14.0
684,20140408,10,PCA,131.65871934271826
684,20140408,10,PM2.5,186.0
690,20140408,11,PCA,123.3504007174428
690,20140408,11,PM2.5,173.0
696,20140408,12,PCA,125.66271470892227
696,20140408,12,PM2.5,172.0
702,20140408,13,PCA,131.3446861874427
702,20140408,13,PM2.5,175.0
708,20140408,14,PCA,144.41433900208193
708,20140408,14,PM2.5,183.0
714,20140408,15,PCA,151.81700659211333
714,20140408,15,PM2.5,184.0
720,20140408,16,PCA,185.89334954120022
720,20140408,16,PM2.5,217.0
726,20140408,17,PCA,206.1679672362973
726,20140408,17,PM2.5,233.0
732,20140408,18,PCA,187.265082683633
732,20140408,18,PM2.5,203.0
738,20140408,19,PCA,186.59946232856552
738,20140408,19,PM2.5,196.0
744,20140408,20,PCA,183.9166802359703
744,20140408,20,PM2.5,189.0
750,20140408,21,PCA,186.66015882517885
750,20140408,21,PM2.5,189.0
756,20140408,22,PCA,190.89249162146197
756,20140408,22,PM2.5,192.0
762,20140408,23,PCA,187.22416055922994
762,20140408,23,PM2.5,188.0
768,20140409,0,PCA,188.65964400674696
768,20140409,0,PM2.5,185.0
774,20140409,1,PCA,187.75866074373033
774,20140409,1,PM2.5,183.0
780,20140409,2,PCA,173.22620778158205
780,20140409,2,PM2.5,159.0
786,20140409,3,PCA,191.80517060524073
786,20140409,3,PM2.5,186.0
792,20140409,4,PCA,172.30346480532143
792,20140409,4,PM2.5,154.0
798,20140409,5,PCA,202.02512538280206
798,20140409,5,PM2.5,188.0
804,20140409,6,PCA,194.07895722753452
804,20140409,6,PM2.5,177.0
810,20140409,7,PCA,207.34247962907364
810,20140409,7,PM2.5,190.0
816,20140409,8,PCA,217.84503828450937
816,20140409,8,PM2.5,200.0
822,20140409,9,PCA,228.75080478040695
822,20140409,9,PM2.5,215.0
828,20140409,10,PCA,200.02744345049555
828,20140409,10,PM2.5,178.0
834,20140409,11,PCA,103.45143872518341
834,20140409,11,PM2.5,48.0
840,20140409,12,PCA,109.52623939493354
840,20140409,12,PM2.5,64.0
846,20140409,13,PCA,94.00720103671799
846,20140409,13,PM2.5,47.0
852,20140409,14,PCA,82.99593087986788
852,20140409,14,PM2.5,37.0
858,20140409,15,PCA,81.21301466856177
858,20140409,15,PM2.5,41.0
864,20140409,16,PCA,77.23602884010461
864,20140409,16,PM2.5,43.0
870,20140409,17,PCA,70.71198907190303
870,20140409,17,PM2.5,44.0
876,20140409,18,PCA,66.32196172364897
876,20140409,18,PM2.5,46.0
882,20140409,19,PCA,63.63719136859146
882,20140409,19,PM2.5,51.0
888,20140409,20,PCA,69.40378283791783
888,20140409,20,PM2.5,68.0
894,20140409,21,PCA,70.07279671651156
894,20140409,21,PM2.5,74.0
900,20140409,22,PCA,64.72458613415216
900,20140409,22,PM2.5,74.0
906,20140409,23,PCA,71.78677958954648
906,20140409,23,PM2.5,86.0
912,20140410,0,PCA,68.18414352339384
912,20140410,0,PM2.5,86.0
918,20140410,1,PCA,65.0417119199773
918,20140410,1,PM2.5,86.0
924,20140410,2,PCA,79.44884805612989
924,20140410,2,PM2.5,100.0
930,20140410,3,PCA,87.44490541152388
930,20140410,3,PM2.5,109.0
936,20140410,4,PCA,89.13076814781803
936,20140410,4,PM2.5,109.0
942,20140410,5,PCA,90.0676889442104
942,20140410,5,PM2.5,106.0
948,20140410,6,PCA,93.29836793614184
948,20140410,6,PM2.5,104.0
954,20140410,7,PCA,96.14674409873935
954,20140410,7,PM2.5,102.0
960,20140410,8,PCA,102.62159449609585
960,20140410,8,PM2.5,104.0
966,20140410,9,PCA,95.71219152667699
966,20140410,9,PM2.5,96.0
972,20140410,10,PCA,93.21411255584039
972,20140410,10,PM2.5,90.0
978,20140410,11,PCA,107.81006569171888
978,20140410,11,PM2.5,102.0
984,20140410,12,PCA,102.56423389305105
984,20140410,12,PM2.5,97.0
990,20140410,13,PCA,98.62927351223378
990,20140410,13,PM2.5,87.0
996,20140410,14,PCA,107.15925521090104
996,20140410,14,PM2.5,90.0
1002,20140410,15,PCA,117.8741355119911
1002,20140410,15,PM2.5,96.0
1008,20140410,16,PCA,120.65890867815764
1008,20140410,16,PM2.5,85.0
1014,20140410,17,PCA,124.37607639534339
1014,20140410,17,PM2.5,81.0
1020,20140410,18,PCA,120.73732769478968
1020,20140410,18,PM2.5,68.0
1026,20140410,19,PCA,113.99262591780409
1026,20140410,19,PM2.5,60.5
1032,20140410,20,PCA,105.78045287056973
1032,20140410,20,PM2.5,53.0
1038,20140410,21,PCA,98.47142502459094
1038,20140410,21,PM2.5,53.0
1044,20140410,22,PCA,94.09899666919753
1044,20140410,22,PM2.5,54.0
1050,20140410,23,PCA,91.49917165066647
1050,20140410,23,PM2.5,54.0
1056,20140411,0,PCA,87.18126812688597
1056,20140411,0,PM2.5,55.0
1062,20140411,1,PCA,86.80420749094876
1062,20140411,1,PM2.5,56.0
1068,20140411,2,PCA,85.94004458697343
1068,20140411,2,PM2.5,57.0
1074,20140411,3,PCA,84.23000708492383
1074,20140411,3,PM2.5,58.0
1080,20140411,4,PCA,80.64901478248935
1080,20140411,4,PM2.5,58.0
1086,20140411,5,PCA,79.96886600495884
1086,20140411,5,PM2.5,61.0
1092,20140411,6,PCA,74.59312202781238
1092,20140411,6,PM2.5,60.0
1098,20140411,7,PCA,72.7694579680798
1098,20140411,7,PM2.5,61.0
1104,20140411,8,PCA,73.27390538295974
1104,20140411,8,PM2.5,66.0
1110,20140411,9,PCA,59.181425044040246
1110,20140411,9,PM2.5,55.0
1116,20140411,10,PCA,47.27587703404972
1116,20140411,10,PM2.5,48.0
1122,20140411,11,PCA,38.26654389835028
1122,20140411,11,PM2.5,45.0
1128,20140411,12,PCA,39.62465660385281
1128,20140411,12,PM2.5,54.0
1134,20140411,13,PCA,29.464511263551152
1134,20140411,13,PM2.5,49.0
1140,20140411,14,PCA,31.238979389026117
1140,20140411,14,PM2.5,60.0
1146,20140411,15,PCA,21.67811896436449
1146,20140411,15,PM2.5,54.0
1152,20140411,16,PCA,18.455588582354626
1152,20140411,16,PM2.5,54.0
1158,20140411,17,PCA,26.804689268671854
1158,20140411,17,PM2.5,69.0
1164,20140411,18,PCA,29.686781424758816
1164,20140411,18,PM2.5,74.0
1170,20140411,19,PCA,31.266896232088868
1170,20140411,19,PM2.5,76.0
1176,20140411,20,PCA,25.758952086477784
1176,20140411,20,PM2.5,72.0
1182,20140411,21,PCA,18.872429687521127
1182,20140411,21,PM2.5,67.0
1188,20140411,22,PCA,17.375488052291598
1188,20140411,22,PM2.5,69.0
1194,20140411,23,PCA,16.71278943742692
1194,20140411,23,PM2.5,67.0
1200,20140412,0,PCA,21.16221462061479
1200,20140412,0,PM2.5,67.0
1206,20140412,1,PCA,10.21181715203317
1206,20140412,1,PM2.5,65.0
1212,20140412,2,PCA,10.245923943564689
1212,20140412,2,PM2.5,67.0
1218,20140412,3,PCA,12.807484358805091
1218,20140412,3,PM2.5,70.0
1224,20140412,4,PCA,-1.1481829620523771
1224,20140412,4,PM2.5,52.0
1230,20140412,5,PCA,5.709641166078678
1230,20140412,5,PM2.5,64.0
1236,20140412,6,PCA,10.426579440977843
1236,20140412,6,PM2.5,67.0
1242,20140412,7,PCA,4.952683933177018
1242,20140412,7,PM2.5,55.0
1248,20140412,8,PCA,24.58409967555149
1248,20140412,8,PM2.5,81.0
1254,20140412,9,PCA,30.35060068262297
