,date,hour,type,通州
498,20140405,11,PM2.5,10.0
504,20140405,12,PCA,-71.29252537789523
504,20140405,12,PM2.5,6.0
510,20140405,13,PCA,-72.93215885342921
510,20140405,13,PM2.5,6.0
516,20140405,14,PCA,-73.40110621857204
516,20140405,14,PM2.5,8.0
522,20140405,15,PCA,-75.11821523948709
522,20140405,15,PM2.5,7.0
528,20140405,16,PCA,-72.61590002836044
528,20140405,16,PM2.5,11.0
534,20140405,17,PCA,-73.82257926964279
534,20140405,17,PM2.5,10.0
540,20140405,18,PCA,-64.25096965184113
540,20140405,18,PM2.5,23.0
546,20140405,19,PCA,-58.818543554028516
546,20140405,19,PM2.5,36.0
552,20140405,20,PCA,-54.988550228110256
552,20140405,20,PM2.5,37.0
558,20140405,21,PCA,-45.994088118657764
558,20140405,21,PM2.5,49.0
564,20140405,22,PCA,-44.19812745502402
564,20140405,22,PM2.5,49.0
570,20140405,23,PCA,-36.149374893465236
570,20140405,23,PM2.5,52.0
576,20140406,0,PCA,-30.155436706490036
576,20140406,0,PM2.5,55.0
582,20140406,1,PCA,-20.935067601222773
582,20140406,1,PM2.5,63.0
588,20140406,2,PCA,-21.478975014847943
588,20140406,2,PM2.5,57.0
594,20140406,3,PCA,-17.16456738416437
594,20140406,3,PM2.5,60.0
600,20140406,4,PCA,-5.924955429329483
600,20140406,4,PM2.5,68.0
606,20140406,5,PCA,-2.3073992283503704
606,20140406,5,PM2.5,70.0
612,20140406,6,PCA,2.5265136625211366
612,20140406,6,PM2.5,76.0
618,20140406,7,PCA,8.948316539734895
618,20140406,7,PM2.5,86.0
624,20140406,8,PCA,28.935246244943276
624,20140406,8,PM2.5,113.0
630,20140406,9,PCA,21.90039977966361
630,20140406,9,PM2.5,99.0
636,20140406,10,PCA,5.834474168636691
636,20140406,10,PM2.5,79.0
642,20140406,11,PCA,-11.382231106512261
642,20140406,11,PM2.5,62.5
648,20140406,12,PCA,-27.922439072047744
648,20140406,12,PM2.5,46.0
654,20140406,13,PCA,-47.132981596035904
654,20140406,13,PM2.5,32.0
660,20140406,14,PCA,-48.14914416284786
660,20140406,14,PM2.5,36.0
666,20140406,15,PCA,-51.12167365854823
666,20140406,15,PM2.5,33.0
672,20140406,16,PCA,-51.42085213251412
672,20140406,16,PM2.5,31.0
678,20140406,17,PCA,-43.04138750933347
678,20140406,17,PM2.5,38.0
684,20140408,10,PCA,180.30162577849316
684,20140408,10,PM2.5,216.0
690,20140408,11,PCA,178.57316706884498
690,20140408,11,PM2.5,219.0
696,20140408,12,PCA,159.21040645612794
696,20140408,12,PM2.5,201.0
702,20140408,13,PCA,115.776506901172
702,20140408,13,PM2.5,150.0
708,20140408,14,PCA,126.99315515767529
708,20140408,14,PM2.5,175.0
714,20140408,15,PCA,132.32010924881175
714,20140408,15,PM2.5,185.0
720,20140408,16,PCA,135.69889443568303
720,20140408,16,PM2.5,189.0
726,20140408,17,PCA,107.61542515672443
726,20140408,17,PM2.5,145.0
732,20140408,18,PCA,100.10612600163715
732,20140408,18,PM2.5,130.0
738,20140408,19,PCA,115.39992176520101
738,20140408,19,PM2.5,142.0
744,20140408,20,PCA,137.1997358019193
744,20140408,20,PM2.5,154.0
750,20140408,21,PCA,159.8249344937668
750,20140408,21,PM2.5,166.0
756,20140408,22,PCA,142.4205546315825
756,20140408,22,PM2.5,146.0
762,20140408,23,PCA,134.95112461458007
762,20140408,23,PM2.5,140.0
768,20140409,0,PCA,115.85541681324061
768,20140409,0,PM2.5,122.0
774,20140409,1,PCA,100.9008344986834
774,20140409,1,PM2.5,110.0
780,20140409,2,PCA,96.37608372413446
780,20140409,2,PM2.5,106.0
786,20140409,3,PCA,87.60068764790655
786,20140409,3,PM2.5,101.0
792,20140409,4,PCA,94.82247536977832
792,20140409,4,PM2.5,111.0
798,20140409,5,PCA,105.65708145329498
798,20140409,5,PM2.5,118.0
804,20140409,6,PCA,115.34951175201981
804,20140409,6,PM2.5,128.0
810,20140409,7,PCA,139.88658369219948
810,20140409,7,PM2.5,161.0
816,20140409,8,PCA,135.16099001933569
816,20140409,8,PM2.5,154.0
822,20140409,9,PCA,138.48855262993655
822,20140409,9,PM2.5,164.0
828,20140409,10,PCA,154.42523441579505
828,20140409,10,PM2.5,184.0
834,20140409,11,PCA,161.15008174597043
834,20140409,11,PM2.5,200.0
840,20140409,12,PCA,108.86331050538926
840,20140409,12,PM2.5,144.0
846,20140409,13,PCA,32.13387371509659
846,20140409,13,PM2.5,57.0
