,date,hour,type,通州
66156,20150718,11,PCA,-64.05803190866752
66156,20150718,11,PM2.5,30.0
66162,20150718,12,PCA,-59.773231936140746
66162,20150718,12,PM2.5,36.0
66168,20150718,13,PCA,-59.388925569653665
66168,20150718,13,PM2.5,40.0
66174,20150718,14,PCA,-53.78184331014534
66174,20150718,14,PM2.5,50.0
66180,20150718,15,PCA,-60.63255243328958
66180,20150718,15,PM2.5,41.0
66186,20150718,16,PCA,-55.901114852000646
66186,20150718,16,PM2.5,46.0
66192,20150718,17,PCA,-49.71176677872859
66192,20150718,17,PM2.5,52.0
66198,20150718,18,PCA,-43.65363967654399
66198,20150718,18,PM2.5,51.0
66204,20150718,19,PCA,-24.80415873108985
66204,20150718,19,PM2.5,70.0
66210,20150718,20,PCA,-8.430675475902454
66210,20150718,20,PM2.5,75.0
66216,20150718,21,PCA,-26.608737486229945
66216,20150718,21,PM2.5,62.0
66222,20150718,22,PCA,-35.59713173410989
66222,20150718,22,PM2.5,51.0
66228,20150718,23,PCA,-31.939625384937603
66228,20150718,23,PM2.5,58.0
66234,20150719,0,PCA,-18.761067358033923
66234,20150719,0,PM2.5,71.0
66240,20150719,1,PCA,-15.451787916080466
66240,20150719,1,PM2.5,74.0
66246,20150719,2,PCA,-7.524948579029052
66246,20150719,2,PM2.5,81.0
66252,20150719,3,PCA,-42.99102307963097
66252,20150719,3,PM2.5,53.0
66258,20150719,4,PCA,-40.15109679652723
66258,20150719,4,PM2.5,50.0
66264,20150719,5,PCA,-17.64411372411598
66264,20150719,5,PM2.5,79.0
66270,20150719,6,PCA,-16.426796894115764
66270,20150719,6,PM2.5,79.0
66276,20150719,7,PCA,1.8920633129100104
66276,20150719,7,PM2.5,99.0
66282,20150719,8,PCA,20.323031580662118
66282,20150719,8,PM2.5,120.0
66288,20150719,9,PCA,24.92675514182959
66288,20150719,9,PM2.5,124.0
66294,20150719,10,PCA,20.38779927670921
66294,20150719,10,PM2.5,118.0
66300,20150719,11,PCA,21.290609375844344
66300,20150719,11,PM2.5,122.0
66306,20150719,12,PCA,32.59129945809535
66306,20150719,12,PM2.5,122.0
66312,20150719,13,PCA,21.550266074702833
66312,20150719,13,PM2.5,111.0
66318,20150719,14,PCA,-8.673413880371628
66318,20150719,14,PM2.5,79.0
66324,20150719,15,PCA,-8.099620280190898
66324,20150719,15,PM2.5,84.0
66330,20150719,16,PCA,-23.184242148878994
66330,20150719,16,PM2.5,61.0
66336,20150719,17,PCA,-29.856505611611485
66336,20150719,17,PM2.5,50.0
66342,20150719,18,PCA,-28.720905228424442
66342,20150719,18,PM2.5,52.0
66348,20150719,19,PCA,-27.9420957254986
66348,20150719,19,PM2.5,53.0
66354,20150719,20,PCA,-28.376634535368048
66354,20150719,20,PM2.5,50.0
66360,20150719,21,PCA,-16.483533239617916
66360,20150719,21,PM2.5,62.0
66366,20150719,22,PCA,-7.067481953876866
66366,20150719,22,PM2.5,70.0
66372,20150719,23,PCA,-0.008130432728052849
66372,20150719,23,PM2.5,76.0
66378,20150720,0,PCA,-2.910992989196836
66378,20150720,0,PM2.5,70.0
66384,20150720,1,PCA,-7.572793428094977
66384,20150720,1,PM2.5,65.0
66390,20150720,2,PCA,-2.220215520211351
66390,20150720,2,PM2.5,71.0
66396,20150720,3,PCA,-2.6515563880076978
66396,20150720,3,PM2.5,69.0
66402,20150720,4,PCA,-5.805966845360889
66402,20150720,4,PM2.5,64.0
66408,20150720,5,PCA,-5.812196104111037
66408,20150720,5,PM2.5,63.0
66414,20150720,6,PCA,-3.604172096431499
66414,20150720,6,PM2.5,66.0
66420,20150720,7,PCA,1.2330189207186169
66420,20150720,7,PM2.5,73.0
66426,20150720,8,PCA,-1.2895570897857678
66426,20150720,8,PM2.5,72.0
66432,20150720,9,PCA,-6.517375326231264
66432,20150720,9,PM2.5,74.0
66438,20150720,10,PCA,-9.51512695462529
66438,20150720,10,PM2.5,78.0
66444,20150720,11,PCA,-14.084298094602731
66444,20150720,11,PM2.5,78.0
66450,20150720,12,PCA,-18.677767348278888
66450,20150720,12,PM2.5,75.0
66456,20150720,13,PCA,-24.806037114034282
66456,20150720,13,PM2.5,69.0
66462,20150720,14,PCA,-18.445661005801416
66462,20150720,14,PM2.5,79.9
66468,20150720,15,PCA,-29.600657612888668
66468,20150720,15,PM2.5,74.0
66474,20150720,16,PCA,-31.91644195101171
66474,20150720,16,PM2.5,70.0
66480,20150720,17,PCA,-31.280160136457244
66480,20150720,17,PM2.5,69.0
66486,20150720,18,PCA,-23.592924148400233
66486,20150720,18,PM2.5,78.0
66492,20150720,19,PCA,-19.92690512950338
66492,20150720,19,PM2.5,79.0
66498,20150720,20,PCA,-5.6508513702011
66498,20150720,20,PM2.5,88.0
66504,20150720,21,PCA,10.42698899587505
66504,20150720,21,PM2.5,112.0
66510,20150720,22,PCA,19.42834518037834
66510,20150720,22,PM2.5,120.0
66516,20150720,23,PCA,6.9997514849856595
66516,20150720,23,PM2.5,95.0
66522,20150721,0,PCA,-0.19473114631374483
66522,20150721,0,PM2.5,78.0
66528,20150721,1,PCA,-0.7096215652352758
66528,20150721,1,PM2.5,73.0
66534,20150721,2,PCA,1.1727566698299559
66534,20150721,2,PM2.5,68.0
66540,20150721,3,PCA,-2.657241884306779
66540,20150721,3,PM2.5,66.0
66546,20150721,4,PCA,-1.3932667968624877
66546,20150721,4,PM2.5,71.0
66552,20150721,5,PCA,-4.42789118167334
66552,20150721,5,PM2.5,72.0
66558,20150721,6,PCA,12.825204015935924
66558,20150721,6,PM2.5,92.0
66564,20150721,7,PCA,27.657328427581646
66564,20150721,7,PM2.5,110.0
66570,20150721,8,PCA,36.72057068586586
66570,20150721,8,PM2.5,122.0
66576,20150721,9,PCA,46.81459890114667
66576,20150721,9,PM2.5,134.0
66582,20150721,10,PCA,58.33137087109813
66582,20150721,10,PM2.5,151.0
66588,20150721,11,PCA,61.72237299408659
66588,20150721,11,PM2.5,157.0
66594,20150721,12,PCA,60.72181549347999
66594,20150721,12,PM2.5,157.0
66600,20150721,13,PCA,56.906132326638314
66600,20150721,13,PM2.5,158.0
66606,20150721,14,PCA,55.045147597762444
66606,20150721,14,PM2.5,154.0
66612,20150721,15,PCA,48.24753471609175
66612,20150721,15,PM2.5,139.0
66618,20150721,16,PCA,44.71126560559994
66618,20150721,16,PM2.5,135.0
66624,20150721,17,PCA,44.642698067213345
66624,20150721,17,PM2.5,134.0
66630,20150721,18,PCA,54.21311482838135
66630,20150721,18,PM2.5,141.0
66636,20150721,19,PCA,64.55796255934828
66636,20150721,19,PM2.5,148.0
66642,20150721,20,PCA,46.0597298952322
66642,20150721,20,PM2.5,116.0
66648,20150721,21,PCA,-8.275801441966852
66648,20150721,21,PM2.5,40.0
66654,20150721,22,PCA,-21.979815617248537
66654,20150721,22,PM2.5,23.0
66660,20150721,23,PCA,-17.760466454007354
66660,20150721,23,PM2.5,29.0
66666,20150722,0,PCA,-16.13352876509135
66666,20150722,0,PM2.5,28.0
66672,20150722,1,PCA,-11.720863741652193
66672,20150722,1,PM2.5,37.0
66678,20150722,2,PCA,-2.5659683852504855
66678,20150722,2,PM2.5,45.0
66684,20150722,3,PCA,1.1801299485214953
66684,20150722,3,PM2.5,51.0
66690,20150722,4,PCA,15.601053147848727
66690,20150722,4,PM2.5,63.0
66696,20150722,5,PCA,25.596312039032185
66696,20150722,5,PM2.5,82.0
66702,20150722,6,PCA,18.51239001995747
66702,20150722,6,PM2.5,72.0
66708,20150722,7,PCA,21.008399094390573
66708,20150722,7,PM2.5,72.0
66714,20150722,8,PCA,26.9135901338103
66714,20150722,8,PM2.5,81.0
66720,20150722,9,PCA,23.846251660339924
66720,20150722,9,PM2.5,84.0
66726,20150722,10,PCA,20.947698802419346
66726,20150722,10,PM2.5,85.0
66732,20150722,11,PCA,8.890357942832232
66732,20150722,11,PM2.5,81.0
66738,20150722,12,PCA,-12.642231987548605
66738,20150722,12,PM2.5,66.0
66744,20150722,13,PCA,-19.19351301197921
66744,20150722,13,PM2.5,68.0
66750,20150722,14,PCA,-24.942092213492142
66750,20150722,14,PM2.5,66.0
66756,20150722,15,PCA,-29.158074196981723
66756,20150722,15,PM2.5,66.0
66762,20150722,16,PCA,-23.102670205720816
66762,20150722,16,PM2.5,70.0
66768,20150722,17,PCA,-37.927680917272525
66768,20150722,17,PM2.5,56.0
66774,20150722,18,PCA,-40.690399013867726
66774,20150722,18,PM2.5,56.0
66780,20150722,19,PCA,-43.96100170160714
66780,20150722,19,PM2.5,64.0
66786,20150722,20,PCA,-9.843762265957727
66786,20150722,20,PM2.5,107.0
66792,20150722,21,PCA,-43.72752788388976
66792,20150722,21,PM2.5,60.0
66798,20150722,22,PCA,-67.83450848329059
66798,20150722,22,PM2.5,14.0
66804,20150722,23,PCA,-66.43297508415553
66804,20150722,23,PM2.5,16.0
66810,20150723,0,PCA,-59.81051651762246
66810,20150723,0,PM2.5,24.0
66816,20150723,1,PCA,-48.92546387530529
66816,20150723,1,PM2.5,31.0
66822,20150723,2,PCA,-51.205166945017226
66822,20150723,2,PM2.5,31.0
66828,20150723,3,PCA,-46.870330951344926
66828,20150723,3,PM2.5,38.0
66834,20150723,4,PCA,-36.081012987422696
66834,20150723,4,PM2.5,45.0
66840,20150723,5,PCA,-26.82020793615042
66840,20150723,5,PM2.5,58.0
66846,20150723,6,PCA,-30.828108478298127
66846,20150723,6,PM2.5,52.0
66852,20150723,7,PCA,-40.75869569257162
66852,20150723,7,PM2.5,44.0
66858,20150723,8,PCA,-33.54008438811578
66858,20150723,8,PM2.5,55.0
66864,20150723,9,PCA,-25.6300757774195
66864,20150723,9,PM2.5,68.0
66870,20150723,10,PCA,-16.63047262915398
66870,20150723,10,PM2.5,81.0
66876,20150723,11,PCA,-3.780179765044836
66876,20150723,11,PM2.5,97.0
66882,20150723,12,PCA,-5.4281365254278775
66882,20150723,12,PM2.5,96.0
66906,20150723,16,PCA,-27.49366806951369
66906,20150723,16,PM2.5,67.0
66912,20150723,17,PCA,-23.650649238074486
66912,20150723,17,PM2.5,74.0
66918,20150723,18,PCA,-16.932091249184193
66918,20150723,18,PM2.5,85.0
66924,20150723,19,PCA,-35.13888254603514
66924,20150723,19,PM2.5,69.0
66930,20150723,20,PCA,-22.06421605984319
66930,20150723,20,PM2.5,78.0
66936,20150723,21,PCA,-10.695635521086071
66936,20150723,21,PM2.5,78.0
66942,20150723,22,PCA,6.007773445885686
66942,20150723,22,PM2.5,85.0
66948,20150723,23,PCA,13.628642284415546
66948,20150723,23,PM2.5,82.0
66954,20150724,0,PCA,18.226585190629976
66954,20150724,0,PM2.5,101.0
66960,20150724,1,PCA,25.234763295516284
66960,20150724,1,PM2.5,101.0
66966,20150724,2,PCA,18.11181205051772
66966,20150724,2,PM2.5,77.0
66972,20150724,3,PCA,20.311321489279553
66972,20150724,3,PM2.5,78.0
66978,20150724,4,PCA,19.978156779004816
66978,20150724,4,PM2.5,76.0
66984,20150724,5,PCA,17.36524235456978
66984,20150724,5,PM2.5,92.0
66990,20150724,6,PCA,18.90888047692099
66990,20150724,6,PM2.5,79.0
66996,20150724,7,PCA,4.774300434053685
66996,20150724,7,PM2.5,56.0
67002,20150724,8,PCA,9.129242064147919
67002,20150724,8,PM2.5,65.0
67008,20150724,9,PCA,16.68882659497773
67008,20150724,9,PM2.5,78.0
67044,20150724,15,PCA,-52.45717674754632
67044,20150724,15,PM2.5,31.0
67050,20150724,16,PCA,-38.99345397005373
67050,20150724,16,PM2.5,47.0
67056,20150724,17,PCA,-37.70085977332343
67056,20150724,17,PM2.5,48.0
67062,20150724,18,PCA,-42.42480921979605
67062,20150724,18,PM2.5,36.0
67068,20150724,19,PCA,-52.200411324251476
67068,20150724,19,PM2.5,24.0
67074,20150724,20,PCA,-38.50229668881693
67074,20150724,20,PM2.5,45.0
67080,20150724,21,PCA,-30.57629069265538
67080,20150724,21,PM2.5,48.0
67086,20150724,22,PCA,-28.02090300553792
67086,20150724,22,PM2.5,50.0
67092,20150724,23,PCA,-14.09440587610603
67092,20150724,23,PM2.5,61.0
67098,20150725,0,PCA,-7.603196268358334
67098,20150725,0,PM2.5,69.0
67104,20150725,1,PCA,0.16989407546174837
67104,20150725,1,PM2.5,80.0
67110,20150725,2,PCA,-16.685104706365703
67110,20150725,2,PM2.5,64.0
67116,20150725,3,PCA,-14.881924470993303
67116,20150725,3,PM2.5,68.0
67122,20150725,4,PCA,0.7165318326732468
67122,20150725,4,PM2.5,72.0
67128,20150725,5,PCA,3.9115573445705247
67128,20150725,5,PM2.5,81.0
67134,20150725,6,PCA,7.721446040070176
67134,20150725,6,PM2.5,84.0
67140,20150725,7,PCA,16.82890733567755
67140,20150725,7,PM2.5,91.0
67146,20150725,8,PCA,28.135873937881886
67146,20150725,8,PM2.5,106.0
67152,20150725,9,PCA,25.071084312302048
67152,20150725,9,PM2.5,102.0
67158,20150725,10,PCA,22.764543934298317
67158,20150725,10,PM2.5,108.0
67164,20150725,11,PCA,3.7916872111092803
67164,20150725,11,PM2.5,106.0
67170,20150725,12,PCA,-4.7324155015231115
67170,20150725,12,PM2.5,94.0
67176,20150725,13,PCA,7.001576261334648
67176,20150725,13,PM2.5,99.0
67182,20150725,14,PCA,-11.388888944926313
67182,20150725,14,PM2.5,77.0
67188,20150725,15,PCA,-21.896101951488067
67188,20150725,15,PM2.5,70.0
67194,20150725,16,PCA,-25.65331069312067
67194,20150725,16,PM2.5,67.0
67200,20150725,17,PCA,-36.79360676902421
67200,20150725,17,PM2.5,62.0
67206,20150725,18,PCA,-31.606667837935056
67206,20150725,18,PM2.5,68.0
67212,20150725,19,PCA,-23.831268418464667
67212,20150725,19,PM2.5,76.0
67218,20150725,20,PCA,-8.563997828138158
67218,20150725,20,PM2.5,88.0
67224,20150725,21,PCA,11.04519420503035
67224,20150725,21,PM2.5,108.0
67230,20150725,22,PCA,14.811153778694973
67230,20150725,22,PM2.5,108.0
67236,20150725,23,PCA,17.386993459208504
67236,20150725,23,PM2.5,104.0
67242,20150726,0,PCA,24.36126939715725
67242,20150726,0,PM2.5,115.0
67248,20150726,1,PCA,22.710084897860312
67248,20150726,1,PM2.5,116.0
67254,20150726,2,PCA,20.638433382599235
67254,20150726,2,PM2.5,109.0
67260,20150726,3,PCA,11.785821789587366
67260,20150726,3,PM2.5,94.0
67266,20150726,4,PCA,19.91768317355546
67266,20150726,4,PM2.5,98.0
67272,20150726,5,PCA,14.089251469848106
67272,20150726,5,PM2.5,88.0
67278,20150726,6,PCA,23.108543099820274
67278,20150726,6,PM2.5,91.0
67284,20150726,7,PCA,46.32209898548768
67284,20150726,7,PM2.5,114.0
67290,20150726,8,PCA,71.83117660075756
67290,20150726,8,PM2.5,140.0
67296,20150726,9,PCA,78.89869544066015
67296,20150726,9,PM2.5,152.0
67302,20150726,10,PCA,68.95962968853152
67302,20150726,10,PM2.5,144.0
67308,20150726,11,PCA,55.63087096869385
67308,20150726,11,PM2.5,148.0
67314,20150726,12,PCA,34.50730180610529
67314,20150726,12,PM2.5,134.0
67320,20150726,13,PCA,17.64272921774264
67320,20150726,13,PM2.5,115.0
67326,20150726,14,PCA,-4.881015836495292
67326,20150726,14,PM2.5,82.0
67332,20150726,15,PCA,7.353243848289197
67332,20150726,15,PM2.5,92.0
67338,20150726,16,PCA,-1.4779219292122259
67338,20150726,16,PM2.5,75.0
67344,20150726,17,PCA,2.2737467883169895
67344,20150726,17,PM2.5,84.0
67350,20150726,18,PCA,-14.349533235419155
67350,20150726,18,PM2.5,63.0
67356,20150726,19,PCA,-7.464926929439012
67356,20150726,19,PM2.5,67.0
67362,20150726,20,PCA,-1.0412674753445799
67362,20150726,20,PM2.5,70.0
67368,20150726,21,PCA,7.643957268884252
67368,20150726,21,PM2.5,73.0
67374,20150726,22,PCA,26.115864615774786
67374,20150726,22,PM2.5,88.0
67380,20150726,23,PCA,31.0663926188101
67380,20150726,23,PM2.5,88.0
67386,20150727,0,PCA,9.9196175931929
67386,20150727,0,PM2.5,62.0
67392,20150727,1,PCA,11.232559007728241
67392,20150727,1,PM2.5,65.0
67398,20150727,2,PCA,12.549179023980335
67398,20150727,2,PM2.5,72.0
67404,20150727,3,PCA,3.16947716866244
67404,20150727,3,PM2.5,72.0
67410,20150727,4,PCA,-35.81704293728661
67410,20150727,4,PM2.5,32.0
67416,20150727,5,PCA,-37.550716624601684
67416,20150727,5,PM2.5,29.0
67422,20150727,6,PCA,-38.396827662436344
67422,20150727,6,PM2.5,28.0
67428,20150727,7,PCA,-37.27356958148151
67428,20150727,7,PM2.5,30.0
67434,20150727,8,PCA,-29.033989539853533
67434,20150727,8,PM2.5,38.0
67440,20150727,9,PCA,-32.91774924181472
67440,20150727,9,PM2.5,43.0
67446,20150727,10,PCA,-42.48934659403653
67446,20150727,10,PM2.5,36.0
67452,20150727,11,PCA,-40.004608115774474
67452,20150727,11,PM2.5,47.0
67458,20150727,12,PCA,-39.664727252884155
67458,20150727,12,PM2.5,58.0
67464,20150727,13,PCA,-35.04040090785613
67464,20150727,13,PM2.5,70.0
67470,20150727,14,PCA,-10.986575746335166
67470,20150727,14,PM2.5,94.0
67476,20150727,15,PCA,-10.563984907431323
67476,20150727,15,PM2.5,99.0
67482,20150727,16,PCA,-26.29177571841359
67482,20150727,16,PM2.5,82.0
67488,20150727,17,PCA,-35.1865232826395
67488,20150727,17,PM2.5,72.0
67494,20150727,18,PCA,-19.218375162838925
67494,20150727,18,PM2.5,91.0
67500,20150727,19,PCA,-14.411034346206904
67500,20150727,19,PM2.5,99.0
67506,20150727,20,PCA,-4.617601661923942
67506,20150727,20,PM2.5,110.0
67512,20150727,21,PCA,-30.155403808261614
67512,20150727,21,PM2.5,74.0
67518,20150727,22,PCA,-73.19239598065745
67518,20150727,22,PM2.5,12.0
67524,20150727,23,PCA,-67.1673458119015
67524,20150727,23,PM2.5,18.0
67530,20150728,0,PCA,-61.47159147363824
67530,20150728,0,PM2.5,23.0
67536,20150728,1,PCA,-60.1202852896671
67536,20150728,1,PM2.5,27.0
67542,20150728,2,PCA,-67.6368080586077
67542,20150728,2,PM2.5,19.0
67548,20150728,3,PCA,-63.644367463746256
67548,20150728,3,PM2.5,24.0
67554,20150728,4,PCA,-56.81031114452195
67554,20150728,4,PM2.5,26.0
67560,20150728,5,PCA,-45.79479057498812
67560,20150728,5,PM2.5,36.0
67566,20150728,6,PCA,-40.693655702347606
67566,20150728,6,PM2.5,39.0
67572,20150728,7,PCA,-41.63214730754497
67572,20150728,7,PM2.5,38.0
67578,20150728,8,PCA,-32.235925141833775
67578,20150728,8,PM2.5,38.0
67584,20150728,9,PCA,-31.852804594618995
67584,20150728,9,PM2.5,41.0
67590,20150728,10,PCA,-23.6641280241326
67590,20150728,10,PM2.5,46.0
67596,20150728,11,PCA,-29.71097125856297
67596,20150728,11,PM2.5,46.0
67602,20150728,12,PCA,-36.25176593460306
67602,20150728,12,PM2.5,47.0
67608,20150728,13,PCA,-52.258890414865895
67608,20150728,13,PM2.5,39.0
67614,20150728,14,PCA,-57.765683900901834
67614,20150728,14,PM2.5,44.0
67620,20150728,15,PCA,-57.11534146196828
67620,20150728,15,PM2.5,40.0
67626,20150728,16,PCA,-43.497150535262826
67626,20150728,16,PM2.5,43.0
67632,20150728,17,PCA,-34.95717659032909
67632,20150728,17,PM2.5,49.0
67638,20150728,18,PCA,-39.477623900551656
67638,20150728,18,PM2.5,47.0
67644,20150728,19,PCA,-43.83889172448622
67644,20150728,19,PM2.5,50.0
67650,20150728,20,PCA,-60.274620240038985
67650,20150728,20,PM2.5,57.0
67656,20150728,21,PCA,-38.619261810684264
67656,20150728,21,PM2.5,68.0
67662,20150728,22,PCA,-37.53449588395956
67662,20150728,22,PM2.5,69.0
67668,20150728,23,PCA,-30.83472506841614
67668,20150728,23,PM2.5,70.0
67674,20150729,0,PCA,-22.912345364650207
67674,20150729,0,PM2.5,76.0
67680,20150729,1,PCA,-6.336957617549948
67680,20150729,1,PM2.5,81.0
67686,20150729,2,PCA,1.3229722557511974
67686,20150729,2,PM2.5,97.0
67692,20150729,3,PCA,-14.183700355464357
67692,20150729,3,PM2.5,88.0
67698,20150729,4,PCA,21.215506391633564
67698,20150729,4,PM2.5,117.0
67704,20150729,5,PCA,21.988798623262827
67704,20150729,5,PM2.5,122.0
67710,20150729,6,PCA,6.254037099612769
67710,20150729,6,PM2.5,94.0
67716,20150729,7,PCA,8.222294461927168
67716,20150729,7,PM2.5,91.0
67722,20150729,8,PCA,16.038693827100946
67722,20150729,8,PM2.5,94.0
67728,20150729,9,PCA,14.656618532349059
67728,20150729,9,PM2.5,108.0
67734,20150729,10,PCA,2.7897131570234968
67734,20150729,10,PM2.5,105.0
67740,20150729,11,PCA,-0.5512219391115069
67740,20150729,11,PM2.5,105.0
67746,20150729,12,PCA,-5.933761034562827
67746,20150729,12,PM2.5,99.0
67752,20150729,13,PCA,4.107270576667255
67752,20150729,13,PM2.5,112.0
67758,20150729,14,PCA,7.848915421325295
67758,20150729,14,PM2.5,118.0
67764,20150729,15,PCA,7.201777196149306
67764,20150729,15,PM2.5,112.0
67770,20150729,16,PCA,2.4397064835803834
67770,20150729,16,PM2.5,103.0
67776,20150729,17,PCA,6.253620227821192
67776,20150729,17,PM2.5,106.0
67782,20150729,18,PCA,17.15220099164288
67782,20150729,18,PM2.5,114.0
67788,20150729,19,PCA,22.804454761257436
67788,20150729,19,PM2.5,116.0
67794,20150729,20,PCA,25.711596250892914
67794,20150729,20,PM2.5,112.0
67800,20150729,21,PCA,36.770149032474265
67800,20150729,21,PM2.5,112.0
67806,20150729,22,PCA,-6.410201061122538
67806,20150729,22,PM2.5,60.0
67812,20150729,23,PCA,-23.909258143791174
67812,20150729,23,PM2.5,27.0
67818,20150730,0,PCA,-38.421647582246216
67818,20150730,0,PM2.5,19.0
67824,20150730,1,PCA,-46.89727443100479
67824,20150730,1,PM2.5,16.0
67830,20150730,2,PCA,-40.89635494741195
67830,20150730,2,PM2.5,20.0
67836,20150730,3,PCA,-39.13851052451983
67836,20150730,3,PM2.5,20.0
67842,20150730,4,PCA,-31.952704865319053
67842,20150730,4,PM2.5,31.0
67848,20150730,5,PCA,-37.731596929642585
67848,20150730,5,PM2.5,32.0
67854,20150730,6,PCA,-42.385982290518264
67854,20150730,6,PM2.5,29.0
67860,20150730,7,PCA,-37.520925117902685
67860,20150730,7,PM2.5,32.0
67866,20150730,8,PCA,-35.17324253821167
67866,20150730,8,PM2.5,37.0
67872,20150730,9,PCA,-30.134760542131538
67872,20150730,9,PM2.5,52.0
67878,20150730,10,PCA,-52.17760432491644
67878,20150730,10,PM2.5,33.4
67884,20150730,11,PCA,-41.70654598325286
67884,20150730,11,PM2.5,48.1
67890,20150730,12,PCA,-35.31095446753595
67890,20150730,12,PM2.5,57.5
67896,20150730,13,PCA,-31.59833673512225
67896,20150730,13,PM2.5,62.9
67902,20150730,14,PCA,-47.50856928781635
67902,20150730,14,PM2.5,55.0
67908,20150730,15,PCA,-50.50742664132746
67908,20150730,15,PM2.5,54.0
67914,20150730,16,PCA,-37.10230830221128
67914,20150730,16,PM2.5,68.0
67920,20150730,17,PCA,-52.67772612724957
67920,20150730,17,PM2.5,53.0
67926,20150730,18,PCA,-80.31610328273818
67926,20150730,18,PM2.5,21.0
67932,20150730,19,PCA,-84.98619298742945
67932,20150730,19,PM2.5,9.0
67938,20150730,20,PCA,-80.92459410067801
67938,20150730,20,PM2.5,15.0
67944,20150730,21,PCA,-80.86300705576953
67944,20150730,21,PM2.5,15.0
67950,20150730,22,PCA,-75.59942592018913
67950,20150730,22,PM2.5,18.0
67956,20150730,23,PCA,-77.47192584462918
67956,20150730,23,PM2.5,13.0
67962,20150731,0,PCA,-73.40004285354563
67962,20150731,0,PM2.5,17.0
67968,20150731,1,PCA,-72.72590592290025
67968,20150731,1,PM2.5,17.0
67974,20150731,2,PCA,-68.70109245818524
67974,20150731,2,PM2.5,25.0
67980,20150731,3,PCA,-65.9741890139056
67980,20150731,3,PM2.5,31.0
67986,20150731,4,PCA,-61.5769909751141
67986,20150731,4,PM2.5,34.0
67992,20150731,5,PCA,-64.8944315015995
67992,20150731,5,PM2.5,30.0
67998,20150731,6,PCA,-79.17013881387734
67998,20150731,6,PM2.5,17.0
68004,20150731,7,PCA,-79.3330136300035
68004,20150731,7,PM2.5,17.0
68010,20150731,8,PCA,-78.40898824002831
68010,20150731,8,PM2.5,17.0
68016,20150731,9,PCA,-73.93304250820634
68016,20150731,9,PM2.5,23.0
68022,20150731,10,PCA,-73.36658903006106
68022,20150731,10,PM2.5,25.0
68028,20150731,11,PCA,-87.87306766909249
68028,20150731,11,PM2.5,15.0
68034,20150731,12,PCA,-94.94470918315237
68034,20150731,12,PM2.5,16.0
68040,20150731,13,PCA,-101.6805893448551
68040,20150731,13,PM2.5,14.0
68046,20150731,14,PCA,-99.25063117083111
68046,20150731,14,PM2.5,16.0
68052,20150731,15,PCA,-89.43414352679753
68052,20150731,15,PM2.5,25.0
68058,20150731,16,PCA,-74.77962706218243
68058,20150731,16,PM2.5,30.0
68064,20150731,17,PCA,-63.13488707487035
68064,20150731,17,PM2.5,38.0
68070,20150731,18,PCA,-62.01283154130923
68070,20150731,18,PM2.5,48.0
68076,20150731,19,PCA,-50.006009621516995
68076,20150731,19,PM2.5,58.0
68082,20150731,20,PCA,-52.21594807399356
68082,20150731,20,PM2.5,62.0
68088,20150731,21,PCA,-54.312058334454036
68088,20150731,21,PM2.5,68.0
68094,20150731,22,PCA,-40.79733995184856
68094,20150731,22,PM2.5,63.0
68100,20150731,23,PCA,-29.9073413385209
68100,20150731,23,PM2.5,61.0
68106,20150801,0,PCA,-30.093207305173607
68106,20150801,0,PM2.5,60.0
68112,20150801,1,PCA,-5.251529810511028
68112,20150801,1,PM2.5,75.0
68118,20150801,2,PCA,12.789471365941022
68118,20150801,2,PM2.5,89.0
68124,20150801,3,PCA,22.069056343662346
68124,20150801,3,PM2.5,109.0
68130,20150801,4,PCA,11.524289389401687
68130,20150801,4,PM2.5,101.0
68136,20150801,5,PCA,-2.4467503748480834
68136,20150801,5,PM2.5,95.0
68142,20150801,6,PCA,-14.95887934377944
68142,20150801,6,PM2.5,81.0
68148,20150801,7,PCA,-6.421474256094023
68148,20150801,7,PM2.5,81.0
68154,20150801,8,PCA,5.243968242551694
68154,20150801,8,PM2.5,96.0
68160,20150801,9,PCA,-9.441209903854418
68160,20150801,9,PM2.5,82.0
68166,20150801,10,PCA,-13.098669081873789
68166,20150801,10,PM2.5,85.0
68172,20150801,11,PCA,-3.71013227635529
68172,20150801,11,PM2.5,94.0
68178,20150801,12,PCA,-5.3200777516882924
68178,20150801,12,PM2.5,93.0
68184,20150801,13,PCA,-7.455513484505489
68184,20150801,13,PM2.5,90.0
68190,20150801,14,PCA,-6.168454646473159
68190,20150801,14,PM2.5,86.0
68196,20150801,15,PCA,-1.3860386152923447
68196,20150801,15,PM2.5,89.0
68202,20150801,16,PCA,0.08717212678250283
68202,20150801,16,PM2.5,88.0
68208,20150801,17,PCA,-11.859946978901206
68208,20150801,17,PM2.5,69.0
68214,20150801,18,PCA,-8.236831743791623
68214,20150801,18,PM2.5,68.0
68220,20150801,19,PCA,28.621433163340924
68220,20150801,19,PM2.5,112.0
68226,20150801,20,PCA,37.15856586679912
68226,20150801,20,PM2.5,111.0
68232,20150801,21,PCA,52.724754166253405
68232,20150801,21,PM2.5,108.0
68238,20150801,22,PCA,49.027582912298065
68238,20150801,22,PM2.5,105.0
68244,20150801,23,PCA,36.86315758860816
68244,20150801,23,PM2.5,99.0
68250,20150802,0,PCA,-22.898381963656092
68250,20150802,0,PM2.5,37.0
68256,20150802,1,PCA,-15.79762912817596
68256,20150802,1,PM2.5,45.0
