,date,hour,type,密云
25176,20141002,10,PM2.5,41.5
25182,20141002,11,PCA,-27.707591912557337
25182,20141002,11,PM2.5,35.3
25188,20141002,12,PCA,-34.835926171586934
25188,20141002,12,PM2.5,25.8
25194,20141002,13,PCA,-37.96248568614925
25194,20141002,13,PM2.5,23.1
25200,20141002,14,PCA,-38.85189077264152
25200,20141002,14,PM2.5,24.3
25206,20141002,15,PCA,-41.72353303394239
25206,20141002,15,PM2.5,20.7
25212,20141002,16,PCA,-40.18374028672682
25212,20141002,16,PM2.5,22.6
25218,20141002,17,PCA,-42.53700229158558
25218,20141002,17,PM2.5,21.7
25224,20141002,18,PCA,-34.17924270407571
25224,20141002,18,PM2.5,34.1
25230,20141002,19,PCA,-20.9225830097073
25230,20141002,19,PM2.5,45.5
25236,20141002,20,PCA,-9.149833934364226
25236,20141002,20,PM2.5,63.5
25242,20141002,21,PCA,-20.10374007603879
25242,20141002,21,PM2.5,50.8
25248,20141002,22,PCA,-22.271709531641747
25248,20141002,22,PM2.5,48.9
25254,20141002,23,PCA,-28.40182707874039
25254,20141002,23,PM2.5,41.5
25260,20141003,0,PCA,-30.291807003283495
25260,20141003,0,PM2.5,40.5
25266,20141003,1,PCA,-35.22120390541264
25266,20141003,1,PM2.5,34.2
25272,20141003,2,PCA,-39.12934591858146
25272,20141003,2,PM2.5,28.6
25278,20141003,3,PCA,-42.98964687930786
25278,20141003,3,PM2.5,23.6
25284,20141003,4,PCA,-45.102877006598504
25284,20141003,4,PM2.5,21.8
25290,20141003,5,PCA,-47.12058870923987
25290,20141003,5,PM2.5,18.9
25296,20141003,6,PCA,-50.38475442446615
25296,20141003,6,PM2.5,16.3
25302,20141003,7,PCA,-44.85096571896141
25302,20141003,7,PM2.5,15.5
25308,20141003,8,PCA,-42.27126030197843
25308,20141003,8,PM2.5,19.2
25314,20141003,9,PCA,-36.681654558490855
25314,20141003,9,PM2.5,28.8
25320,20141003,10,PCA,-35.78084447167691
25320,20141003,10,PM2.5,29.8
25326,20141003,11,PCA,-42.44035396975466
25326,20141003,11,PM2.5,20.5
25332,20141003,12,PCA,-38.54683422673053
25332,20141003,12,PM2.5,26.4
25338,20141003,13,PCA,-33.26208086542209
25338,20141003,13,PM2.5,32.7
25344,20141003,14,PCA,-16.63558904415359
25344,20141003,14,PM2.5,57.2
25350,20141003,15,PCA,-9.578077355927523
25350,20141003,15,PM2.5,66.5
25356,20141003,16,PCA,-4.409177731602108
25356,20141003,16,PM2.5,73.8
25362,20141003,17,PCA,4.277623539030356
25362,20141003,17,PM2.5,82.5
25368,20141003,18,PCA,12.68806009332459
25368,20141003,18,PM2.5,92.8
25374,20141003,19,PCA,23.02469176128551
25374,20141003,19,PM2.5,104.7
25380,20141003,20,PCA,29.750496322824414
25380,20141003,20,PM2.5,112.4
25386,20141003,21,PCA,27.834418755735488
25386,20141003,21,PM2.5,107.3
25392,20141003,22,PCA,39.48659933989806
25392,20141003,22,PM2.5,121.7
25398,20141003,23,PCA,36.095134263672975
25398,20141003,23,PM2.5,112.9
25404,20141004,0,PCA,33.04455311064376
25404,20141004,0,PM2.5,106.1
25410,20141004,1,PCA,26.972056062375593
25410,20141004,1,PM2.5,95.6
25416,20141004,2,PCA,10.7150076171527
25416,20141004,2,PM2.5,69.4
25422,20141004,3,PCA,3.073902071869733
25422,20141004,3,PM2.5,56.7
25428,20141004,4,PCA,-4.772421955023495
25428,20141004,4,PM2.5,45.5
25434,20141004,5,PCA,-10.994853988195056
25434,20141004,5,PM2.5,34.0
25440,20141004,6,PCA,-14.332990526163742
25440,20141004,6,PM2.5,29.5
25446,20141004,7,PCA,-18.690523792475464
25446,20141004,7,PM2.5,22.5
25452,20141004,8,PCA,-9.067184664730275
25452,20141004,8,PM2.5,34.3
25458,20141004,9,PCA,-0.6519773544345351
25458,20141004,9,PM2.5,45.5
25464,20141004,10,PCA,-3.3475203923370023
25464,20141004,10,PM2.5,41.4
25470,20141004,11,PCA,-9.746830115740238
25470,20141004,11,PM2.5,32.7
25476,20141004,12,PCA,-11.403987672857392
25476,20141004,12,PM2.5,29.4
25482,20141004,13,PCA,-9.212499866413104
25482,20141004,13,PM2.5,32.0
25488,20141004,14,PCA,-7.350024844745736
25488,20141004,14,PM2.5,34.1
25494,20141004,15,PCA,0.7787267177702512
25494,20141004,15,PM2.5,47.2
25500,20141004,16,PCA,-0.8414594376918316
25500,20141004,16,PM2.5,46.9
25506,20141004,17,PCA,-1.4461804076678635
25506,20141004,17,PM2.5,48.8
25512,20141004,18,PCA,0.6690349978693276
25512,20141004,18,PM2.5,53.8
25518,20141004,19,PCA,5.658322435982658
25518,20141004,19,PM2.5,62.0
25524,20141004,20,PCA,-5.3868463838288045
25524,20141004,20,PM2.5,48.2
25530,20141004,21,PCA,-7.672257658310532
25530,20141004,21,PM2.5,48.1
25536,20141004,22,PCA,-12.213542988333295
25536,20141004,22,PM2.5,46.9
25542,20141004,23,PCA,-11.11697946902731
25542,20141004,23,PM2.5,50.8
25548,20141005,0,PCA,-2.055219195267774
25548,20141005,0,PM2.5,65.4
25554,20141005,1,PCA,-1.8554658030837816
25554,20141005,1,PM2.5,67.4
25560,20141005,2,PCA,-1.227815676097998
25560,20141005,2,PM2.5,67.8
25566,20141005,3,PCA,0.14164428058169334
25566,20141005,3,PM2.5,69.8
25572,20141005,4,PCA,1.3472773713621298
25572,20141005,4,PM2.5,70.6
25578,20141005,5,PCA,7.136173931153579
25578,20141005,5,PM2.5,77.1
25584,20141005,6,PCA,-19.200911816452336
25584,20141005,6,PM2.5,41.4
25590,20141005,7,PCA,-39.313259862807925
25590,20141005,7,PM2.5,9.5
25596,20141005,8,PCA,-44.667462022422384
25596,20141005,8,PM2.5,6.1
25602,20141005,9,PCA,-45.77936718108312
25602,20141005,9,PM2.5,7.0
25608,20141005,10,PCA,-47.098858088484086
25608,20141005,10,PM2.5,8.0
25614,20141005,11,PCA,-50.57717009615594
25614,20141005,11,PM2.5,4.0
25620,20141005,12,PCA,-49.394282310608105
25620,20141005,12,PM2.5,6.0
25626,20141005,13,PCA,-50.98566658166606
25626,20141005,13,PM2.5,5.3
25632,20141005,14,PCA,-52.577050852724014
25632,20141005,14,PM2.5,4.6
25638,20141005,15,PCA,-51.69544375924345
25638,20141005,15,PM2.5,7.2
25644,20141005,16,PCA,-56.31827367358666
25644,20141005,16,PM2.5,3.0
25650,20141005,17,PCA,-54.65335134395844
25650,20141005,17,PM2.5,7.5
25656,20141005,18,PCA,-53.069572421379384
25656,20141005,18,PM2.5,9.2
25662,20141005,19,PCA,-41.08149084132826
25662,20141005,19,PM2.5,19.8
25668,20141005,20,PCA,-30.400074942230344
25668,20141005,20,PM2.5,37.1
25674,20141005,21,PCA,-27.59098570727878
25674,20141005,21,PM2.5,44.8
25680,20141005,22,PCA,-29.1576954249667
25680,20141005,22,PM2.5,44.1
25686,20141005,23,PCA,-29.949902678132112
25686,20141005,23,PM2.5,43.5
25692,20141006,0,PCA,-41.190724086997186
25692,20141006,0,PM2.5,30.1
25698,20141006,1,PCA,-49.38359015513083
25698,20141006,1,PM2.5,23.2
25704,20141006,2,PCA,-49.25351718415682
25704,20141006,2,PM2.5,26.0
25710,20141006,3,PCA,-53.786911217568
25710,20141006,3,PM2.5,22.9
25716,20141006,4,PCA,-58.350581225375
25716,20141006,4,PM2.5,19.8
25722,20141006,5,PCA,-49.292450672163426
25722,20141006,5,PM2.5,16.2
25728,20141006,6,PCA,-50.3044300190031
25728,20141006,6,PM2.5,15.8
25734,20141006,7,PCA,-50.479440682554475
25734,20141006,7,PM2.5,16.4
25740,20141006,8,PCA,-45.64607799960945
25740,20141006,8,PM2.5,21.5
25746,20141006,9,PCA,-47.62577789940674
25746,20141006,9,PM2.5,19.2
25752,20141006,10,PCA,-53.60769316166604
25752,20141006,10,PM2.5,13.4
25758,20141006,11,PCA,-57.596291699641235
25758,20141006,11,PM2.5,7.7
25764,20141006,12,PCA,-55.0730899358101
25764,20141006,12,PM2.5,11.6
25770,20141006,13,PCA,-53.05603337346504
25770,20141006,13,PM2.5,11.7
25776,20141006,14,PCA,-51.230055939258065
25776,20141006,14,PM2.5,12.6
25782,20141006,15,PCA,-48.96240811312473
25782,20141006,15,PM2.5,15.6
25788,20141006,16,PCA,-50.259665235240746
25788,20141006,16,PM2.5,13.4
25794,20141006,17,PCA,-47.36888612362605
25794,20141006,17,PM2.5,16.1
25800,20141006,18,PCA,-41.03332900901215
25800,20141006,18,PM2.5,19.4
25806,20141006,19,PCA,-27.622111863270828
25806,20141006,19,PM2.5,34.4
25812,20141006,20,PCA,-17.85418564778125
25812,20141006,20,PM2.5,46.9
25818,20141006,21,PCA,-18.57229836442713
25818,20141006,21,PM2.5,48.2
25824,20141006,22,PCA,-23.748193772661725
25824,20141006,22,PM2.5,43.0
25830,20141006,23,PCA,-25.555396415941996
25830,20141006,23,PM2.5,41.2
25836,20141007,0,PCA,-32.4528111806804
25836,20141007,0,PM2.5,31.9
25842,20141007,1,PCA,-34.68142995421477
25842,20141007,1,PM2.5,29.2
25848,20141007,2,PCA,-36.32888114973219
25848,20141007,2,PM2.5,28.3
25854,20141007,3,PCA,-38.243081440704046
25854,20141007,3,PM2.5,27.8
25860,20141007,4,PCA,-39.46626747420545
25860,20141007,4,PM2.5,22.9
25866,20141007,5,PCA,-38.93597109197048
25866,20141007,5,PM2.5,24.5
25872,20141007,6,PCA,-36.56574793690543
25872,20141007,6,PM2.5,26.4
25878,20141007,7,PCA,-33.17307038265394
25878,20141007,7,PM2.5,31.1
25884,20141007,8,PCA,-32.02598045083263
25884,20141007,8,PM2.5,32.1
25890,20141007,9,PCA,-26.377673476983148
25890,20141007,9,PM2.5,41.9
25896,20141007,10,PCA,-25.10734250178771
25896,20141007,10,PM2.5,41.2
25902,20141007,11,PCA,-17.403900350345364
25902,20141007,11,PM2.5,52.4
25908,20141007,12,PCA,-12.670439200474853
25908,20141007,12,PM2.5,57.6
25914,20141007,13,PCA,-1.049705496413884
25914,20141007,13,PM2.5,73.4
25920,20141007,14,PCA,10.565632352210681
25920,20141007,14,PM2.5,90.0
25926,20141007,15,PCA,34.267393662970825
25926,20141007,15,PM2.5,123.5
25932,20141007,16,PCA,58.65919749843719
25932,20141007,16,PM2.5,156.9
25938,20141007,17,PCA,67.4158062759462
25938,20141007,17,PM2.5,160.0
25944,20141007,18,PCA,81.27192901637198
25944,20141007,18,PM2.5,166.2
25950,20141007,19,PCA,104.48591696326916
25950,20141007,19,PM2.5,177.9
25956,20141007,20,PCA,123.9595452237703
25956,20141007,20,PM2.5,200.0
25962,20141007,21,PCA,129.32195876328876
25962,20141007,21,PM2.5,206.9
25968,20141007,22,PCA,127.28625871883396
25968,20141007,22,PM2.5,195.5
25974,20141007,23,PCA,125.29744707375198
25974,20141007,23,PM2.5,190.4
25980,20141008,0,PCA,126.01582382445133
25980,20141008,0,PM2.5,185.4
25986,20141008,1,PCA,127.10849995436932
25986,20141008,1,PM2.5,176.8
25992,20141008,2,PCA,128.88286818207803
25992,20141008,2,PM2.5,171.5
25998,20141008,3,PCA,127.07169044922779
25998,20141008,3,PM2.5,162.7
26004,20141008,4,PCA,137.2287330923458
26004,20141008,4,PM2.5,167.6
26010,20141008,5,PCA,141.87090493228138
26010,20141008,5,PM2.5,164.5
26016,20141008,6,PCA,148.94921712434657
26016,20141008,6,PM2.5,165.2
26022,20141008,7,PCA,155.36001949239918
26022,20141008,7,PM2.5,165.5
26028,20141008,8,PCA,171.80465410689027
26028,20141008,8,PM2.5,180.3
26034,20141008,9,PCA,180.06155688895475
26034,20141008,9,PM2.5,185.4
26040,20141008,10,PCA,179.26981066374933
26040,20141008,10,PM2.5,178.6
26046,20141008,11,PCA,184.42705094646323
26046,20141008,11,PM2.5,182.5
26052,20141008,12,PCA,192.99689607030172
26052,20141008,12,PM2.5,191.2
26058,20141008,13,PCA,207.34369447254602
26058,20141008,13,PM2.5,207.4
26064,20141008,14,PCA,227.52735132082503
26064,20141008,14,PM2.5,231.1
26070,20141008,15,PCA,237.74135628687944
26070,20141008,15,PM2.5,240.2
26076,20141008,16,PCA,264.3925131778801
26076,20141008,16,PM2.5,272.7
26082,20141008,17,PCA,319.5801420915599
26082,20141008,17,PM2.5,343.1
26088,20141008,18,PCA,341.60399557204425
26088,20141008,18,PM2.5,365.4
26094,20141008,19,PCA,362.17219550870664
26094,20141008,19,PM2.5,378.3
26100,20141008,20,PCA,371.98204053628024
26100,20141008,20,PM2.5,383.5
26106,20141008,21,PCA,368.4374359945551
26106,20141008,21,PM2.5,373.2
26112,20141008,22,PCA,376.0197427804474
26112,20141008,22,PM2.5,379.0
26118,20141008,23,PCA,369.86851699036134
26118,20141008,23,PM2.5,363.0
26124,20141009,0,PCA,368.9559191345866
26124,20141009,0,PM2.5,357.1
26130,20141009,1,PCA,364.8067759089325
26130,20141009,1,PM2.5,347.5
26136,20141009,2,PCA,359.612911842014
26136,20141009,2,PM2.5,334.5
26142,20141009,3,PCA,354.34481797681906
26142,20141009,3,PM2.5,320.1
26148,20141009,4,PCA,347.78767644922374
26148,20141009,4,PM2.5,303.9
26154,20141009,6,PCA,328.2290506209604
26154,20141009,6,PM2.5,267.2
26160,20141009,7,PCA,324.79163271961875
26160,20141009,7,PM2.5,254.9
26166,20141009,8,PCA,326.123620624594
26166,20141009,8,PM2.5,253.0
26172,20141009,9,PCA,335.18674244606933
26172,20141009,9,PM2.5,262.3
26178,20141009,10,PCA,350.8625308595387
26178,20141009,10,PM2.5,282.2
26184,20141009,11,PCA,353.6555802805565
26184,20141009,11,PM2.5,283.1
26190,20141009,12,PCA,357.1221840181559
26190,20141009,12,PM2.5,286.7
26196,20141009,13,PCA,350.2418669989853
26196,20141009,13,PM2.5,274.2
26202,20141009,14,PCA,354.5127320464143
26202,20141009,14,PM2.5,279.4
26208,20141009,15,PCA,354.84840458981574
26208,20141009,15,PM2.5,276.0
26214,20141009,16,PCA,361.59723025486915
26214,20141009,16,PM2.5,286.85
26220,20141009,17,PCA,368.3460559199224
26220,20141009,17,PM2.5,297.7
26226,20141009,18,PCA,377.7979505600022
26226,20141009,18,PM2.5,308.6
26232,20141009,19,PCA,411.4750927576157
26232,20141009,19,PM2.5,342.6
26238,20141009,20,PCA,415.2905046586048
26238,20141009,20,PM2.5,352.1
26244,20141009,21,PCA,401.82464831907834
26244,20141009,21,PM2.5,340.7
26250,20141009,22,PCA,378.51149393973395
26250,20141009,22,PM2.5,310.5
26256,20141009,23,PCA,369.98382407130504
26256,20141009,23,PM2.5,306.4
26262,20141010,0,PCA,347.02573540757817
26262,20141010,0,PM2.5,282.9
26268,20141010,1,PCA,348.0902031651218
26268,20141010,1,PM2.5,283.0
26274,20141010,2,PCA,331.56409684023845
26274,20141010,2,PM2.5,258.3
26280,20141010,3,PCA,322.8789757798081
26280,20141010,3,PM2.5,247.7
26286,20141010,4,PCA,313.79422031732963
26286,20141010,4,PM2.5,238.1
26292,20141010,5,PCA,304.4739046428846
26292,20141010,5,PM2.5,228.6
26298,20141010,6,PCA,301.3112159607794
26298,20141010,6,PM2.5,226.4
26304,20141010,7,PCA,297.0235691262837
26304,20141010,7,PM2.5,219.8
26310,20141010,14,PCA,335.5521406938399
26310,20141010,14,PM2.5,287.8
26316,20141010,15,PCA,312.4218278740702
26316,20141010,15,PM2.5,254.1
26322,20141010,16,PCA,313.7252961995265
26322,20141010,16,PM2.5,255.8
26328,20141010,17,PCA,332.86517963989957
26328,20141010,17,PM2.5,283.8
26334,20141010,18,PCA,341.94540940070107
26334,20141010,18,PM2.5,292.5
26340,20141010,19,PCA,375.5892947923566
26340,20141010,19,PM2.5,335.9
26346,20141010,20,PCA,380.1980862050283
26346,20141010,20,PM2.5,339.7
26352,20141010,21,PCA,370.88553700287815
26352,20141010,21,PM2.5,332.9
26358,20141010,22,PCA,376.22934797099026
26358,20141010,22,PM2.5,338.9
26388,20141011,3,PCA,349.85131865553757
26388,20141011,3,PM2.5,302.3
26394,20141011,4,PCA,336.87904211316015
26394,20141011,4,PM2.5,280.9
26400,20141011,5,PCA,327.6530031216731
26400,20141011,5,PM2.5,265.9
26406,20141011,6,PCA,324.4004487114683
26406,20141011,6,PM2.5,262.8
26412,20141011,7,PCA,312.0521843825201
26412,20141011,7,PM2.5,243.7
26418,20141011,8,PCA,316.7417674374917
26418,20141011,8,PM2.5,247.8
26424,20141011,9,PCA,326.62953678845935
26424,20141011,9,PM2.5,260.0
26430,20141011,10,PCA,332.1571696201518
26430,20141011,10,PM2.5,270.1
26436,20141011,11,PCA,359.47395480994334
26436,20141011,11,PM2.5,307.8
26442,20141011,12,PCA,328.5222038108949
26442,20141011,12,PM2.5,264.3
26448,20141011,13,PCA,313.5460313575893
26448,20141011,13,PM2.5,243.6
26454,20141011,14,PCA,319.421093998647
26454,20141011,14,PM2.5,254.8
26460,20141011,15,PCA,298.5770809221683
26460,20141011,15,PM2.5,224.4
26466,20141011,16,PCA,298.64562542936176
26466,20141011,16,PM2.5,225.2
26472,20141011,17,PCA,306.66225617304224
26472,20141011,17,PM2.5,238.8
26478,20141011,18,PCA,299.77132167393677
26478,20141011,18,PM2.5,231.8
26484,20141011,19,PCA,163.59631764937026
26484,20141011,19,PM2.5,47.4
26490,20141011,20,PCA,128.4078821121088
26490,20141011,20,PM2.5,12.7
26496,20141011,21,PCA,115.18468204029465
26496,20141011,21,PM2.5,9.9
26502,20141011,22,PCA,101.46412996481136
26502,20141011,22,PM2.5,7.6
26508,20141011,23,PCA,91.1225230871472
26508,20141011,23,PM2.5,3.0
26514,20141012,0,PCA,86.37145527015323
26514,20141012,0,PM2.5,4.8
26520,20141012,1,PCA,78.83636520725273
26520,20141012,1,PM2.5,3.0
26526,20141012,2,PCA,69.3185751018891
26526,20141012,2,PM2.5,3.0
26532,20141012,3,PCA,60.601634107155576
26532,20141012,3,PM2.5,3.0
26538,20141012,4,PCA,51.83269721624641
26538,20141012,4,PM2.5,3.1
26544,20141012,5,PCA,41.30011700075479
26544,20141012,5,PM2.5,4.4
26550,20141012,6,PCA,30.364559522440175
26550,20141012,6,PM2.5,3.0
26556,20141012,7,PCA,20.127245752522786
26556,20141012,7,PM2.5,3.1
26562,20141012,8,PCA,12.647018863667732
26562,20141012,8,PM2.5,8.5
26568,20141012,9,PCA,0.3950159467254684
26568,20141012,9,PM2.5,4.1
26574,20141012,10,PCA,-9.335801635872018
26574,20141012,10,PM2.5,4.9
26580,20141012,11,PCA,-22.17996533312956
26580,20141012,11,PM2.5,3.0
26586,20141012,12,PCA,-32.04443113987831
26586,20141012,12,PM2.5,3.0
26592,20141012,13,PCA,-31.229383987459737
26592,20141012,13,PM2.5,16.9
26598,20141012,14,PCA,-48.95568709974401
26598,20141012,14,PM2.5,4.1
26604,20141012,15,PCA,-55.55332459504504
26604,20141012,15,PM2.5,7.3
26610,20141012,16,PCA,-63.121016325009265
26610,20141012,16,PM2.5,9.0
26616,20141012,17,PCA,-71.03780041858877
26616,20141012,17,PM2.5,12.4
26622,20141012,18,PCA,-80.47827822227991
26622,20141012,18,PM2.5,6.8
26628,20141012,19,PCA,-66.91010870088157
26628,20141012,19,PM2.5,15.6
26634,20141012,20,PCA,-79.92545418706938
26634,20141012,20,PM2.5,6.4
26640,20141012,21,PCA,-80.11761392807735
26640,20141012,21,PM2.5,5.6
26646,20141012,22,PCA,-79.46738424330454
26646,20141012,22,PM2.5,7.0
26652,20141012,23,PCA,-80.79501063603806
26652,20141012,23,PM2.5,4.8
26658,20141013,0,PCA,-82.01629168589056
26658,20141013,0,PM2.5,3.3
26664,20141013,1,PCA,-82.04981817277064
26664,20141013,1,PM2.5,3.0
26670,20141013,2,PCA,-81.98092072430883
26670,20141013,2,PM2.5,3.0
26676,20141013,3,PCA,-82.51241817524244
26676,20141013,3,PM2.5,3.0
26682,20141013,4,PCA,-81.72767696902287
26682,20141013,4,PM2.5,4.7
26688,20141013,5,PCA,-81.01121813437058
26688,20141013,5,PM2.5,6.8
26694,20141013,6,PCA,-82.58860632915776
26694,20141013,6,PM2.5,3.0
26700,20141013,7,PCA,-77.3017120758403
26700,20141013,7,PM2.5,9.6
26706,20141013,8,PCA,-79.01922271170605
26706,20141013,8,PM2.5,11.3
26712,20141013,9,PCA,-79.85186343815202
26712,20141013,9,PM2.5,8.9
26718,20141013,10,PCA,-82.13401383370055
26718,20141013,10,PM2.5,3.4
26724,20141013,11,PCA,-81.94005348818771
26724,20141013,11,PM2.5,3.0
26730,20141013,12,PCA,-79.2744208030479
26730,20141013,12,PM2.5,4.3
26736,20141013,13,PCA,-71.89170813407324
26736,20141013,13,PM2.5,13.1
26742,20141013,14,PCA,-74.60734796170068
26742,20141013,14,PM2.5,8.7
26748,20141013,15,PCA,-78.84672735926914
26748,20141013,15,PM2.5,3.0
26754,20141013,16,PCA,-69.85193667282282
26754,20141013,16,PM2.5,13.9
26760,20141013,17,PCA,-71.88169611186285
26760,20141013,17,PM2.5,10.7
26766,20141013,18,PCA,-73.74052369215094
26766,20141013,18,PM2.5,11.8
26772,20141013,19,PCA,-42.01712155951445
26772,20141013,19,PM2.5,27.6
26778,20141013,20,PCA,-33.48269163687481
26778,20141013,20,PM2.5,50.1
26784,20141013,21,PCA,-33.16478688021092
26784,20141013,21,PM2.5,57.2
26790,20141013,22,PCA,-43.077198588286365
26790,20141013,22,PM2.5,42.1
26796,20141013,23,PCA,-61.28331864889464
26796,20141013,23,PM2.5,25.8
26802,20141014,0,PCA,-68.28722676703752
26802,20141014,0,PM2.5,16.2
26808,20141014,1,PCA,-67.48895138665345
26808,20141014,1,PM2.5,15.6
26814,20141014,2,PCA,-65.50815584529045
26814,20141014,2,PM2.5,16.3
26820,20141014,3,PCA,-66.21466290158448
26820,20141014,3,PM2.5,14.1
26826,20141014,4,PCA,-61.22960370022271
26826,20141014,4,PM2.5,20.9
26832,20141014,5,PCA,-53.00712190893719
26832,20141014,5,PM2.5,14.3
26838,20141014,6,PCA,-46.01621339185138
26838,20141014,6,PM2.5,23.7
26844,20141014,7,PCA,-48.584115442104874
26844,20141014,7,PM2.5,20.2
26850,20141014,8,PCA,-40.77885403269297
26850,20141014,8,PM2.5,31.2
26856,20141014,9,PCA,-41.306118633740965
26856,20141014,9,PM2.5,29.1
26862,20141014,10,PCA,-41.227676471298345
26862,20141014,10,PM2.5,29.4
26868,20141014,11,PCA,-46.34205575155184
26868,20141014,11,PM2.5,20.9
26874,20141014,12,PCA,-35.57522751281759
26874,20141014,12,PM2.5,33.8
26880,20141014,13,PCA,-31.80903712516976
26880,20141014,13,PM2.5,39.6
26886,20141014,14,PCA,-32.66668270573906
26886,20141014,14,PM2.5,37.5
26892,20141014,15,PCA,-25.78998220924003
26892,20141014,15,PM2.5,40.8
26898,20141014,16,PCA,-18.309117894850274
26898,20141014,16,PM2.5,47.8
26904,20141014,17,PCA,-8.993648003692716
26904,20141014,17,PM2.5,54.4
26910,20141014,18,PCA,12.940826145739228
26910,20141014,18,PM2.5,67.2
26916,20141014,19,PCA,18.038981231804247
26916,20141014,19,PM2.5,72.3
26922,20141014,20,PCA,17.484163719937378
26922,20141014,20,PM2.5,83.9
26928,20141014,21,PCA,29.221237022103164
26928,20141014,21,PM2.5,104.5
26934,20141014,22,PCA,18.580892717013544
26934,20141014,22,PM2.5,89.9
26940,20141014,23,PCA,5.3152989842087495
26940,20141014,23,PM2.5,72.2
26946,20141015,0,PCA,5.158188486877187
26946,20141015,0,PM2.5,71.2
26952,20141015,1,PCA,3.726825089720395
26952,20141015,1,PM2.5,67.4
26958,20141015,2,PCA,-1.333746572403482
26958,20141015,2,PM2.5,59.8
26964,20141015,3,PCA,-2.1913120448528534
26964,20141015,3,PM2.5,58.5
26970,20141015,4,PCA,-4.156751163553854
26970,20141015,4,PM2.5,55.2
26976,20141015,5,PCA,1.5434233033984275
26976,20141015,5,PM2.5,62.0
26982,20141015,6,PCA,7.406588615108886
26982,20141015,6,PM2.5,68.2
26988,20141015,7,PCA,22.872649224934744
26988,20141015,7,PM2.5,86.3
26994,20141015,8,PCA,18.18110172751281
26994,20141015,8,PM2.5,77.4
27000,20141015,9,PCA,15.006750143272269
27000,20141015,9,PM2.5,70.4
27006,20141015,10,PCA,22.506940068740736
27006,20141015,10,PM2.5,77.7
27012,20141015,11,PCA,30.72956801632602
27012,20141015,11,PM2.5,84.0
27018,20141015,12,PCA,1.6687043930285888
27018,20141015,12,PM2.5,46.6
27024,20141015,13,PCA,-25.946730295120883
27024,20141015,13,PM2.5,11.8
27030,20141015,14,PCA,-29.826737183007697
27030,20141015,14,PM2.5,7.0
27036,20141015,15,PCA,-33.9943546560879
27036,20141015,15,PM2.5,3.0
27042,20141015,16,PCA,-36.182833888431595
27042,20141015,16,PM2.5,3.0
27048,20141015,17,PCA,-36.251203503370924
27048,20141015,17,PM2.5,5.85
27054,20141015,18,PCA,-36.31957311831025
27054,20141015,18,PM2.5,8.7
27060,20141015,19,PCA,-38.35975178953718
27060,20141015,19,PM2.5,8.7
27066,20141015,20,PCA,-37.76205983806229
27066,20141015,20,PM2.5,6.6
27072,20141015,21,PCA,-46.432468599261114
27072,20141015,21,PM2.5,3.0
27078,20141015,22,PCA,-48.98907050212354
27078,20141015,22,PM2.5,4.4
27084,20141015,23,PCA,-41.856256628875265
27084,20141015,23,PM2.5,10.1
27090,20141016,0,PCA,-33.542923656689695
27090,20141016,0,PM2.5,17.5
27096,20141016,1,PCA,-45.37990245082866
27096,20141016,1,PM2.5,7.9
27102,20141016,2,PCA,-38.62944656082565
27102,20141016,2,PM2.5,15.0
27108,20141016,3,PCA,-43.70098149932787
27108,20141016,3,PM2.5,11.5
27114,20141016,4,PCA,-44.27678012567162
27114,20141016,4,PM2.5,12.7
27120,20141016,5,PCA,-42.979733090787654
27120,20141016,5,PM2.5,14.6
27126,20141016,6,PCA,-48.39471929802583
27126,20141016,6,PM2.5,8.8
27132,20141016,7,PCA,-47.07699809196027
27132,20141016,7,PM2.5,11.7
27138,20141016,8,PCA,-46.313516581060966
27138,20141016,8,PM2.5,14.4
27144,20141016,9,PCA,-48.501698421746916
27144,20141016,9,PM2.5,14.3
27150,20141016,10,PCA,-50.97990327181072
27150,20141016,10,PM2.5,13.9
27156,20141016,11,PCA,-41.546978380082315
27156,20141016,11,PM2.5,27.9
27162,20141016,12,PCA,-38.28138556187549
27162,20141016,12,PM2.5,32.9
27168,20141016,13,PCA,-30.534106092143865
27168,20141016,13,PM2.5,39.3
27174,20141016,14,PCA,-42.07910442291381
27174,20141016,14,PM2.5,29.5
27180,20141016,15,PCA,-50.37214911500908
27180,20141016,15,PM2.5,18.8
27186,20141016,16,PCA,-38.07884614784662
27186,20141016,16,PM2.5,34.2
27192,20141016,17,PCA,-31.589411870963136
27192,20141016,17,PM2.5,41.7
27198,20141016,18,PCA,-25.421830954846442
27198,20141016,18,PM2.5,42.4
27204,20141016,19,PCA,-4.84407482993737
27204,20141016,19,PM2.5,69.4
27210,20141016,20,PCA,-3.299502458760282
27210,20141016,20,PM2.5,66.9
27216,20141016,21,PCA,6.079087488421887
27216,20141016,21,PM2.5,72.2
27222,20141016,22,PCA,14.492809465745971
27222,20141016,22,PM2.5,82.6
27228,20141016,23,PCA,11.731478412149864
27228,20141016,23,PM2.5,79.6
27234,20141017,0,PCA,8.288754172050119
27234,20141017,0,PM2.5,74.5
27240,20141017,1,PCA,2.451918190948057
27240,20141017,1,PM2.5,64.9
27246,20141017,2,PCA,-3.2040053917849645
27246,20141017,2,PM2.5,57.1
27252,20141017,3,PCA,2.012822117315245
27252,20141017,3,PM2.5,64.7
27258,20141017,4,PCA,3.191443641984855
27258,20141017,4,PM2.5,63.4
27264,20141017,5,PCA,-1.607659782921762
27264,20141017,5,PM2.5,54.6
