,date,hour,type,东四环
498,20140405,11,PM2.5,9.0
504,20140405,12,PCA,-72.71915252909763
504,20140405,12,PM2.5,7.0
510,20140405,13,PCA,-74.40529896547861
510,20140405,13,PM2.5,3.0
516,20140405,14,PCA,-69.75217929079565
516,20140405,14,PM2.5,13.0
522,20140405,15,PCA,-74.53536410810393
522,20140405,15,PM2.5,10.0
528,20140405,16,PCA,-71.42000360698783
528,20140405,16,PM2.5,18.0
534,20140405,17,PCA,-79.95617271016833
534,20140405,17,PM2.5,7.0
540,20140405,18,PCA,-63.11370593011393
540,20140405,18,PM2.5,27.0
546,20140405,19,PCA,-59.991084020974014
546,20140405,19,PM2.5,32.0
552,20140405,20,PCA,-57.431598950843615
552,20140405,20,PM2.5,36.0
558,20140405,21,PCA,-47.35643916861508
558,20140405,21,PM2.5,45.0
564,20140405,22,PCA,-48.568868409320736
564,20140405,22,PM2.5,41.0
570,20140405,23,PCA,-40.718912096633204
570,20140405,23,PM2.5,46.0
576,20140406,0,PCA,-36.10830265246127
576,20140406,0,PM2.5,52.0
582,20140406,1,PCA,-30.372894364695522
582,20140406,1,PM2.5,54.0
588,20140406,2,PCA,-23.209619848752602
588,20140406,2,PM2.5,57.0
594,20140406,3,PCA,-19.652838722896412
594,20140406,3,PM2.5,56.0
600,20140406,4,PCA,-11.95732852098878
600,20140406,4,PM2.5,62.0
606,20140406,5,PCA,-1.369819726171985
606,20140406,5,PM2.5,70.0
612,20140406,6,PCA,9.368018910423965
612,20140406,6,PM2.5,83.0
618,20140406,7,PCA,35.9918708301621
618,20140406,7,PM2.5,121.0
624,20140406,8,PCA,29.739631028001828
624,20140406,8,PM2.5,106.0
630,20140406,9,PCA,21.642018975013837
630,20140406,9,PM2.5,92.0
636,20140406,10,PCA,-2.88156051229387
636,20140406,10,PM2.5,65.0
642,20140406,11,PCA,-14.3651437411721
642,20140406,11,PM2.5,53.5
648,20140406,12,PCA,-25.161438559881397
648,20140406,12,PM2.5,42.0
654,20140406,13,PCA,-38.23765998027089
654,20140406,13,PM2.5,39.0
660,20140406,14,PCA,-47.84987236871247
660,20140406,14,PM2.5,36.0
666,20140406,15,PCA,-45.477082398964725
666,20140406,15,PM2.5,40.0
672,20140406,16,PCA,-39.68446519408973
672,20140406,16,PM2.5,44.0
678,20140406,17,PCA,-28.5098179370833
678,20140406,17,PM2.5,55.0
684,20140408,10,PCA,173.0693078522725
684,20140408,10,PM2.5,202.0
690,20140408,11,PCA,186.45469637094212
690,20140408,11,PM2.5,215.0
696,20140408,12,PCA,199.15875010573086
696,20140408,12,PM2.5,226.0
702,20140408,13,PCA,160.1301832576561
702,20140408,13,PM2.5,189.0
708,20140408,14,PCA,134.82940582869958
708,20140408,14,PM2.5,166.0
714,20140408,15,PCA,192.83413095616152
714,20140408,15,PM2.5,259.0
720,20140408,16,PCA,156.32617774124273
720,20140408,16,PM2.5,195.0
726,20140408,17,PCA,135.40961876286585
726,20140408,17,PM2.5,165.0
732,20140408,18,PCA,134.43987387734174
732,20140408,18,PM2.5,162.0
738,20140408,19,PCA,140.43238235106105
738,20140408,19,PM2.5,161.0
744,20140408,20,PCA,133.7714706290362
744,20140408,20,PM2.5,147.0
750,20140408,21,PCA,133.2671455811866
750,20140408,21,PM2.5,142.0
756,20140408,22,PCA,126.14284505571038
756,20140408,22,PM2.5,132.0
762,20140408,23,PCA,137.018216320641
762,20140408,23,PM2.5,134.0
768,20140409,0,PCA,156.25076020436757
768,20140409,0,PM2.5,137.0
774,20140409,1,PCA,148.11919713694707
774,20140409,1,PM2.5,132.0
780,20140409,2,PCA,124.18752012791177
780,20140409,2,PM2.5,124.0
786,20140409,3,PCA,146.43585355197348
786,20140409,3,PM2.5,136.0
792,20140409,4,PCA,138.3346406411886
792,20140409,4,PM2.5,133.0
798,20140409,5,PCA,126.73531297459836
798,20140409,5,PM2.5,136.0
804,20140409,6,PCA,150.38360198872212
804,20140409,6,PM2.5,151.0
810,20140409,7,PCA,154.26361073825603
810,20140409,7,PM2.5,158.0
