,date,hour,type,东四环
50796,20150402,19,PM2.5,22.3
50802,20150402,20,PCA,-73.6666326361641
50802,20150402,20,PM2.5,20.1
50808,20150402,21,PCA,-79.2480772498873
50808,20150402,21,PM2.5,16.1
50814,20150402,22,PCA,-85.21994842662662
50814,20150402,22,PM2.5,10.7
50820,20150402,23,PCA,-82.86301935587258
50820,20150402,23,PM2.5,15.7
50826,20150403,0,PCA,-88.54025127675571
50826,20150403,0,PM2.5,10.6
50832,20150403,1,PCA,-65.28668176882177
50832,20150403,1,PM2.5,21.0
50838,20150403,2,PCA,-58.57359171806873
50838,20150403,2,PM2.5,27.2
50844,20150403,3,PCA,-59.1109845644782
50844,20150403,3,PM2.5,26.1
50850,20150403,4,PCA,-55.92337118343131
50850,20150403,4,PM2.5,26.3
50856,20150403,5,PCA,-59.928850720085684
50856,20150403,5,PM2.5,24.7
50862,20150403,6,PCA,-59.062631549536626
50862,20150403,6,PM2.5,26.7
50868,20150403,7,PCA,-59.54341762787338
50868,20150403,7,PM2.5,24.4
50874,20150403,8,PCA,-65.53501788989304
50874,20150403,8,PM2.5,20.4
50880,20150403,9,PCA,-63.22961442740475
50880,20150403,9,PM2.5,26.3
50886,20150403,10,PCA,-69.33862722062844
50886,20150403,10,PM2.5,25.1
50892,20150403,11,PCA,-75.96677166725274
50892,20150403,11,PM2.5,21.1
50898,20150403,12,PCA,-82.70816236231613
50898,20150403,12,PM2.5,15.8
50904,20150403,13,PCA,-69.80409668854851
50904,20150403,13,PM2.5,33.2
50910,20150403,14,PCA,-61.32599322124115
50910,20150403,14,PM2.5,44.5
50916,20150403,15,PCA,-70.7998098391786
50916,20150403,15,PM2.5,30.1
50922,20150403,16,PCA,-66.35082710330758
50922,20150403,16,PM2.5,33.3
50928,20150403,17,PCA,-58.855984944154564
50928,20150403,17,PM2.5,43.4
50934,20150403,18,PCA,-40.402040785763646
50934,20150403,18,PM2.5,62.1
50940,20150403,19,PCA,-33.11679959228722
50940,20150403,19,PM2.5,69.6
50946,20150403,20,PCA,-39.15603791518645
50946,20150403,20,PM2.5,67.0
50952,20150403,21,PCA,-50.79952661736627
50952,20150403,21,PM2.5,52.7
50958,20150403,22,PCA,-58.15298738557255
50958,20150403,22,PM2.5,40.6
50964,20150403,23,PCA,-67.72177404295626
50964,20150403,23,PM2.5,29.3
50970,20150404,0,PCA,-60.17547267458281
50970,20150404,0,PM2.5,36.8
50976,20150404,1,PCA,-60.04201662808353
50976,20150404,1,PM2.5,37.8
50982,20150404,2,PCA,-41.180869356586584
50982,20150404,2,PM2.5,46.6
50988,20150404,3,PCA,-43.50451207083529
50988,20150404,3,PM2.5,41.0
50994,20150404,4,PCA,-50.45408414008867
50994,20150404,4,PM2.5,36.1
51000,20150404,5,PCA,-44.5534724730628
51000,20150404,5,PM2.5,40.1
51006,20150404,6,PCA,-50.36932791019225
51006,20150404,6,PM2.5,39.5
51012,20150404,7,PCA,-56.88075365777581
51012,20150404,7,PM2.5,37.6
51018,20150404,8,PCA,-38.82949291311819
51018,20150404,8,PM2.5,53.8
51024,20150404,9,PCA,-31.8739219377757
51024,20150404,9,PM2.5,64.9
51030,20150404,10,PCA,-24.918350962433212
51030,20150404,10,PM2.5,76.0
51036,20150404,11,PCA,-18.06072772636803
51036,20150404,11,PM2.5,85.2
51042,20150404,12,PCA,-29.16045666102319
51042,20150404,12,PM2.5,76.6
51048,20150404,13,PCA,-27.006630857355006
51048,20150404,13,PM2.5,84.6
51054,20150404,14,PCA,-26.981396466735443
51054,20150404,14,PM2.5,86.3
51060,20150404,15,PCA,-19.16282625295008
51060,20150404,15,PM2.5,84.0
51066,20150404,16,PCA,-22.078786536199683
51066,20150404,16,PM2.5,81.1
51072,20150404,17,PCA,-28.798843411084775
51072,20150404,17,PM2.5,71.2
51078,20150404,18,PCA,0.007552260398126597
51078,20150404,18,PM2.5,88.4
51084,20150404,19,PCA,6.756606241227599
51084,20150404,19,PM2.5,99.2
51090,20150404,20,PCA,-3.0600766753769957
51090,20150404,20,PM2.5,91.6
51096,20150404,21,PCA,4.912575998603695
51096,20150404,21,PM2.5,103.1
51102,20150404,22,PCA,6.0373385750351956
51102,20150404,22,PM2.5,105.6
51108,20150404,23,PCA,10.17725445335348
51108,20150404,23,PM2.5,109.2
51114,20150405,0,PCA,23.48904427889677
51114,20150405,0,PM2.5,120.2
51120,20150405,1,PCA,36.30440964315823
51120,20150405,1,PM2.5,129.1
51126,20150405,2,PCA,55.654173471195875
51126,20150405,2,PM2.5,138.9
51132,20150405,3,PCA,74.46097510806756
51132,20150405,3,PM2.5,146.3
51138,20150405,4,PCA,80.02835369408832
51138,20150405,4,PM2.5,147.9
51144,20150405,5,PCA,89.18779177004949
51144,20150405,5,PM2.5,155.4
51150,20150405,6,PCA,94.192603751654
51150,20150405,6,PM2.5,155.3
51156,20150405,7,PCA,99.82683148562059
51156,20150405,7,PM2.5,162.0
51162,20150405,8,PCA,45.478834532224
51162,20150405,8,PM2.5,101.2
51168,20150405,9,PCA,-19.700613095517344
51168,20150405,9,PM2.5,27.4
51174,20150405,10,PCA,-22.141756047013605
51174,20150405,10,PM2.5,27.5
51180,20150405,11,PCA,-20.862681912310496
51180,20150405,11,PM2.5,32.2
51186,20150405,12,PCA,-28.475672744868444
51186,20150405,12,PM2.5,25.3
51192,20150405,13,PCA,-29.86163410338822
51192,20150405,13,PM2.5,27.2
51198,20150405,14,PCA,-32.81677641702595
51198,20150405,14,PM2.5,26.5
51204,20150405,15,PCA,-36.36683505983662
51204,20150405,15,PM2.5,24.3
51210,20150405,16,PCA,-40.42277861094716
51210,20150405,16,PM2.5,20.5
51216,20150405,17,PCA,-40.97144423893263
51216,20150405,17,PM2.5,22.1
51222,20150405,18,PCA,-42.77055005325321
51222,20150405,18,PM2.5,18.7
51228,20150405,19,PCA,-38.67730355645495
51228,20150405,19,PM2.5,23.9
51234,20150405,20,PCA,-42.205543113414464
51234,20150405,20,PM2.5,21.7
51240,20150405,21,PCA,-47.13187806682886
51240,20150405,21,PM2.5,22.1
51246,20150405,22,PCA,-43.513572861306834
51246,20150405,22,PM2.5,30.1
51252,20150405,23,PCA,-48.42790659333065
51252,20150405,23,PM2.5,24.9
51258,20150406,0,PCA,-52.619390108772045
51258,20150406,0,PM2.5,24.6
51264,20150406,1,PCA,-61.463941872614186
51264,20150406,1,PM2.5,20.3
51270,20150406,2,PCA,-58.00697950310571
51270,20150406,2,PM2.5,23.5
51276,20150406,3,PCA,-60.184596991926774
51276,20150406,3,PM2.5,20.0
51282,20150406,4,PCA,-57.65638160866024
51282,20150406,4,PM2.5,22.4
51288,20150406,5,PCA,-61.894975693730586
51288,20150406,5,PM2.5,22.6
51294,20150406,6,PCA,-65.5033858421858
51294,20150406,6,PM2.5,20.9
51300,20150406,7,PCA,-70.21260964188654
51300,20150406,7,PM2.5,15.5
51306,20150406,8,PCA,-71.01139726674263
51306,20150406,8,PM2.5,18.4
51312,20150406,9,PCA,-74.16383987817268
51312,20150406,9,PM2.5,20.3
51318,20150406,10,PCA,-76.5672450214747
51318,20150406,10,PM2.5,17.9
51324,20150406,11,PCA,-83.65646832713466
51324,20150406,11,PM2.5,17.6
51330,20150406,12,PCA,-86.17943481595871
51330,20150406,12,PM2.5,17.2
51336,20150406,13,PCA,-84.05644316604943
51336,20150406,13,PM2.5,19.9
51342,20150406,14,PCA,-86.00641743427383
51342,20150406,14,PM2.5,20.8
51348,20150406,15,PCA,-90.8540707921768
51348,20150406,15,PM2.5,16.3
51354,20150406,16,PCA,-94.29827085380623
51354,20150406,16,PM2.5,16.8
51360,20150406,17,PCA,-95.53063987354896
51360,20150406,17,PM2.5,17.3
51366,20150406,18,PCA,-79.70720180809344
51366,20150406,18,PM2.5,22.8
51372,20150406,19,PCA,-72.54493702319928
51372,20150406,19,PM2.5,35.0
51378,20150406,20,PCA,-74.30883745120013
51378,20150406,20,PM2.5,35.7
51384,20150406,21,PCA,-76.82496899123912
51384,20150406,21,PM2.5,36.4
51390,20150406,22,PCA,-76.19419594714614
51390,20150406,22,PM2.5,37.1
51396,20150406,23,PCA,-69.89957398216556
51396,20150406,23,PM2.5,44.1
51402,20150407,0,PCA,-61.77041181770669
51402,20150407,0,PM2.5,47.1
51408,20150407,1,PCA,-36.01961631987466
51408,20150407,1,PM2.5,58.9
51414,20150407,2,PCA,-40.70374743403276
51414,20150407,2,PM2.5,56.8
51420,20150407,3,PCA,-81.54726054386035
51420,20150407,3,PM2.5,10.6
51426,20150407,4,PCA,-75.60330786316113
51426,20150407,4,PM2.5,12.9
51432,20150407,5,PCA,-76.6924290777335
51432,20150407,5,PM2.5,10.3
51438,20150407,6,PCA,-71.15022102061064
51438,20150407,6,PM2.5,13.3
51444,20150407,7,PCA,-60.2546480945176
51444,20150407,7,PM2.5,24.2
51450,20150407,8,PCA,-62.018381321626656
51450,20150407,8,PM2.5,25.7
51456,20150407,9,PCA,-69.06364985968922
51456,20150407,9,PM2.5,21.3
51462,20150407,10,PCA,-79.94636608859982
51462,20150407,10,PM2.5,12.8
51468,20150407,11,PCA,-90.00646615326593
51468,20150407,11,PM2.5,8.0
51474,20150407,12,PCA,-82.88502078955008
51474,20150407,12,PM2.5,15.8
51480,20150407,13,PCA,-92.344570396754
51480,20150407,13,PM2.5,6.2
51486,20150407,14,PCA,-82.11831784851309
51486,20150407,14,PM2.5,19.5
51492,20150407,15,PCA,-80.25268538410008
51492,20150407,15,PM2.5,19.2
51498,20150407,16,PCA,-72.38010850176313
51498,20150407,16,PM2.5,24.8
51504,20150407,17,PCA,-73.69737979989563
51504,20150407,17,PM2.5,27.65
51510,20150407,18,PCA,-75.01465109802815
51510,20150407,18,PM2.5,30.5
51516,20150407,19,PCA,-78.37632080665762
51516,20150407,19,PM2.5,25.2
51522,20150407,20,PCA,-70.86761458139753
51522,20150407,20,PM2.5,33.6
51528,20150407,21,PCA,-57.51746442272152
51528,20150407,21,PM2.5,49.9
51534,20150407,22,PCA,-44.87156170884645
51534,20150407,22,PM2.5,66.4
51540,20150407,23,PCA,-44.1514930117219
51540,20150407,23,PM2.5,67.3
51546,20150408,0,PCA,-39.17501845477943
51546,20150408,0,PM2.5,71.1
51552,20150408,1,PCA,-32.12984671084594
51552,20150408,1,PM2.5,77.2
51558,20150408,2,PCA,-33.702513811783376
51558,20150408,2,PM2.5,76.6
51564,20150408,3,PCA,-21.469355615825705
51564,20150408,3,PM2.5,91.7
51570,20150408,4,PCA,-14.510747154480597
51570,20150408,4,PM2.5,97.0
51576,20150408,5,PCA,-7.947559942187919
51576,20150408,5,PM2.5,99.7
51582,20150408,6,PCA,2.640482635931301
51582,20150408,6,PM2.5,99.3
51588,20150408,7,PCA,12.339868668282426
51588,20150408,7,PM2.5,106.5
51594,20150408,8,PCA,21.759916213797432
51594,20150408,8,PM2.5,113.8
51600,20150408,9,PCA,30.697159647094683
51600,20150408,9,PM2.5,118.9
51606,20150408,10,PCA,27.078650826641056
51606,20150408,10,PM2.5,122.8
51612,20150408,11,PCA,21.70829442383085
51612,20150408,11,PM2.5,111.6
51618,20150408,12,PCA,-6.358855257813756
51618,20150408,12,PM2.5,77.7
51624,20150408,13,PCA,-15.54586140170873
51624,20150408,13,PM2.5,66.0
51630,20150408,14,PCA,1.9455462406226334
51630,20150408,14,PM2.5,89.2
51636,20150408,15,PCA,15.403898707157811
51636,20150408,15,PM2.5,99.1
51642,20150408,16,PCA,27.032006321442907
51642,20150408,16,PM2.5,110.0
51648,20150408,17,PCA,27.590810100719864
51648,20150408,17,PM2.5,111.1
51654,20150408,18,PCA,42.83114711957838
51654,20150408,18,PM2.5,125.3
51660,20150408,19,PCA,45.12332145492696
51660,20150408,19,PM2.5,123.2
51666,20150408,20,PCA,65.3697680054888
51666,20150408,20,PM2.5,136.1
51672,20150408,21,PCA,72.96016475878963
51672,20150408,21,PM2.5,145.1
51678,20150408,22,PCA,74.96167299768332
51678,20150408,22,PM2.5,141.2
51684,20150408,23,PCA,88.6974484310161
51684,20150408,23,PM2.5,148.1
51690,20150409,0,PCA,100.6941140766219
51690,20150409,0,PM2.5,157.6
51696,20150409,1,PCA,102.1260040340741
51696,20150409,1,PM2.5,157.5
51702,20150409,2,PCA,98.03530819188508
51702,20150409,2,PM2.5,151.9
51708,20150409,3,PCA,102.94198878060385
51708,20150409,3,PM2.5,154.5
51714,20150409,4,PCA,100.43054352581606
51714,20150409,4,PM2.5,146.7
51720,20150409,5,PCA,102.77821626602471
51720,20150409,5,PM2.5,147.4
51726,20150409,6,PCA,112.72815710039755
51726,20150409,6,PM2.5,158.5
51732,20150409,7,PCA,113.15536771851556
51732,20150409,7,PM2.5,155.4
51738,20150409,8,PCA,117.82843086070828
51738,20150409,8,PM2.5,158.1
51744,20150409,9,PCA,118.52096012529631
51744,20150409,9,PM2.5,153.1
51750,20150409,10,PCA,114.68091106479616
51750,20150409,10,PM2.5,147.1
51756,20150409,11,PCA,137.4262534238807
51756,20150409,11,PM2.5,177.2
51762,20150409,12,PCA,150.05217958758027
51762,20150409,12,PM2.5,189.9
51768,20150409,13,PCA,156.91484521802585
51768,20150409,13,PM2.5,198.5
51774,20150409,14,PCA,154.63537843907406
51774,20150409,14,PM2.5,203.5
51780,20150409,15,PCA,150.48281039891526
51780,20150409,15,PM2.5,201.0
51786,20150409,16,PCA,133.8554506189103
51786,20150409,16,PM2.5,176.8
51792,20150409,17,PCA,122.19283351177435
51792,20150409,17,PM2.5,160.4
51798,20150409,18,PCA,133.39206348847924
51798,20150409,18,PM2.5,171.8
51804,20150409,19,PCA,159.44018518921203
51804,20150409,19,PM2.5,201.5
51810,20150409,20,PCA,175.80676170019433
51810,20150409,20,PM2.5,220.1
51816,20150409,21,PCA,188.2472694537394
51816,20150409,21,PM2.5,237.0
51822,20150409,22,PCA,202.69755988979125
51822,20150409,22,PM2.5,251.4
51828,20150409,23,PCA,206.81845722380882
51828,20150409,23,PM2.5,249.8
51834,20150410,0,PCA,215.74025514844692
51834,20150410,0,PM2.5,250.6
51840,20150410,1,PCA,227.2348996755175
51840,20150410,1,PM2.5,251.0
51846,20150410,2,PCA,235.93537462688263
51846,20150410,2,PM2.5,251.5
51852,20150410,3,PCA,236.71408317981482
51852,20150410,3,PM2.5,247.2
51858,20150410,4,PCA,241.0576383781583
51858,20150410,4,PM2.5,253.8
51864,20150410,5,PCA,230.47464055546428
51864,20150410,5,PM2.5,237.4
51870,20150410,6,PCA,219.27303573504645
51870,20150410,6,PM2.5,224.1
51876,20150410,7,PCA,208.3464218036663
51876,20150410,7,PM2.5,206.3
51882,20150410,8,PCA,224.83053489080837
51882,20150410,8,PM2.5,221.7
51888,20150410,9,PCA,233.4732352824125
51888,20150410,9,PM2.5,230.5
51894,20150410,10,PCA,236.52540387039258
51894,20150410,10,PM2.5,232.0
51900,20150410,11,PCA,245.9427740299794
51900,20150410,11,PM2.5,242.0
51906,20150410,12,PCA,241.31737856857842
51906,20150410,12,PM2.5,236.9
51930,20150410,16,PCA,129.53336358437645
51930,20150410,16,PM2.5,100.5
51936,20150410,17,PCA,131.16081169648967
51936,20150410,17,PM2.5,119.7
51942,20150410,18,PCA,123.92517390376794
51942,20150410,18,PM2.5,112.1
51948,20150410,19,PCA,103.35592839630597
51948,20150410,19,PM2.5,72.3
51954,20150410,20,PCA,108.06476509614942
51954,20150410,20,PM2.5,70.1
51960,20150410,21,PCA,109.10815575904898
51960,20150410,21,PM2.5,71.2
51966,20150410,22,PCA,135.37902097179054
51966,20150410,22,PM2.5,108.9
51972,20150410,23,PCA,93.24384147365616
51972,20150410,23,PM2.5,63.8
51978,20150411,0,PCA,104.40809390807756
51978,20150411,0,PM2.5,80.2
51984,20150411,1,PCA,144.70605452852598
51984,20150411,1,PM2.5,143.1
51990,20150411,2,PCA,204.77071637752124
51990,20150411,2,PM2.5,240.3
51996,20150411,3,PCA,230.50198400025252
51996,20150411,3,PM2.5,275.9
52002,20150411,4,PCA,226.62325381069422
52002,20150411,4,PM2.5,264.6
52008,20150411,5,PCA,221.1196706821446
52008,20150411,5,PM2.5,256.3
52014,20150411,6,PCA,219.61745814665278
52014,20150411,6,PM2.5,253.4
52020,20150411,7,PCA,219.62443046475775
52020,20150411,7,PM2.5,251.6
52026,20150411,8,PCA,208.2058693611106
52026,20150411,8,PM2.5,237.2
52032,20150411,9,PCA,187.04377389104107
52032,20150411,9,PM2.5,210.1
52038,20150411,10,PCA,163.60552169941423
52038,20150411,10,PM2.5,183.1
52044,20150411,11,PCA,144.77295241911267
52044,20150411,11,PM2.5,163.5
52050,20150411,12,PCA,120.0780792328218
52050,20150411,12,PM2.5,138.1
52056,20150411,13,PCA,123.64197017909741
52056,20150411,13,PM2.5,144.8
52062,20150411,14,PCA,104.88790705149684
52062,20150411,14,PM2.5,120.7
52068,20150411,15,PCA,88.91740442405043
52068,20150411,15,PM2.5,97.9
52074,20150411,16,PCA,83.50286729710315
52074,20150411,16,PM2.5,94.5
52080,20150411,17,PCA,93.15594607387452
52080,20150411,17,PM2.5,102.5
52086,20150411,18,PCA,98.7545775096015
52086,20150411,18,PM2.5,109.6
52092,20150411,19,PCA,127.41620581135065
52092,20150411,19,PM2.5,142.9
52098,20150411,20,PCA,121.75275598705873
52098,20150411,20,PM2.5,134.35
52104,20150411,21,PCA,116.08930616276689
52104,20150411,21,PM2.5,125.8
52110,20150411,22,PCA,96.25917842384861
52110,20150411,22,PM2.5,100.3
52116,20150411,23,PCA,41.42909427051395
52116,20150411,23,PM2.5,31.0
52122,20150412,0,PCA,40.13106670623288
52122,20150412,0,PM2.5,16.8
52128,20150412,1,PCA,33.492302090564415
52128,20150412,1,PM2.5,8.5
52134,20150412,2,PCA,29.790000998520036
52134,20150412,2,PM2.5,12.5
52140,20150412,3,PCA,13.24512185484937
52140,20150412,3,PM2.5,20.8
52146,20150412,4,PCA,-10.563558759684923
52146,20150412,4,PM2.5,11.0
52152,20150412,5,PCA,-20.137574223097648
52152,20150412,5,PM2.5,12.0
52158,20150412,6,PCA,-33.10657107830602
52158,20150412,6,PM2.5,8.1
52164,20150412,7,PCA,-40.98299330265472
52164,20150412,7,PM2.5,7.9
52170,20150412,8,PCA,-47.51685068813457
52170,20150412,8,PM2.5,10.4
52176,20150412,9,PCA,-54.39554674735708
52176,20150412,9,PM2.5,9.8
52182,20150412,10,PCA,-61.69929721599194
52182,20150412,10,PM2.5,10.3
52188,20150412,11,PCA,-63.297644379153574
52188,20150412,11,PM2.5,17.0
52194,20150412,12,PCA,-68.14236483977211
52194,20150412,12,PM2.5,15.0
52200,20150412,13,PCA,-67.11381679329617
52200,20150412,13,PM2.5,16.3
52206,20150412,14,PCA,-70.52684301691978
52206,20150412,14,PM2.5,17.4
52212,20150412,15,PCA,-72.80328209351735
52212,20150412,15,PM2.5,20.0
52218,20150412,16,PCA,-74.77972510538265
52218,20150412,16,PM2.5,19.4
52224,20150412,17,PCA,-79.1964666682814
52224,20150412,17,PM2.5,14.4
52230,20150412,18,PCA,-78.42862882840687
52230,20150412,18,PM2.5,21.4
52236,20150412,19,PCA,-83.66025799969621
52236,20150412,19,PM2.5,15.3
52242,20150412,20,PCA,-87.64288670135204
52242,20150412,20,PM2.5,16.1
52248,20150412,21,PCA,-90.70796465177354
52248,20150412,21,PM2.5,16.2
52254,20150412,22,PCA,-91.57384421936162
52254,20150412,22,PM2.5,15.2
52260,20150412,23,PCA,-96.63261513120494
52260,20150412,23,PM2.5,11.1
52266,20150413,0,PCA,-90.87616795379698
52266,20150413,0,PM2.5,14.5
52272,20150413,1,PCA,-95.0374968338364
52272,20150413,1,PM2.5,9.7
52278,20150413,2,PCA,-94.59582468808263
52278,20150413,2,PM2.5,15.4
52284,20150413,3,PCA,-97.09783067747072
52284,20150413,3,PM2.5,13.9
52290,20150413,4,PCA,-94.69329643418548
52290,20150413,4,PM2.5,17.4
52296,20150413,5,PCA,-93.67374771645854
52296,20150413,5,PM2.5,15.1
52302,20150413,6,PCA,-95.557034506462
52302,20150413,6,PM2.5,17.1
52308,20150413,7,PCA,-93.56892278792853
52308,20150413,7,PM2.5,15.7
52314,20150413,8,PCA,-87.76231732134698
52314,20150413,8,PM2.5,17.1
52320,20150413,9,PCA,-83.2387375041892
52320,20150413,9,PM2.5,22.1
52326,20150413,10,PCA,-87.49191402596152
52326,20150413,10,PM2.5,20.2
52332,20150413,11,PCA,-81.08162358320605
52332,20150413,11,PM2.5,27.6
52338,20150413,12,PCA,-84.73300884926627
52338,20150413,12,PM2.5,29.4
52344,20150413,13,PCA,-87.02285752547837
52344,20150413,13,PM2.5,31.4
52350,20150413,14,PCA,-81.14900598258232
52350,20150413,14,PM2.5,38.4
52356,20150413,15,PCA,-81.86972205339893
52356,20150413,15,PM2.5,36.9
52362,20150413,16,PCA,-84.11757638184812
52362,20150413,16,PM2.5,32.6
52368,20150413,17,PCA,-81.45462732345449
52368,20150413,17,PM2.5,35.9
52374,20150413,18,PCA,-78.34595735207176
52374,20150413,18,PM2.5,40.9
52380,20150413,19,PCA,-72.34218776887637
52380,20150413,19,PM2.5,46.0
52386,20150413,20,PCA,-73.3868822506707
52386,20150413,20,PM2.5,43.9
52392,20150413,21,PCA,-69.49283318374802
52392,20150413,21,PM2.5,48.7
52398,20150413,22,PCA,-62.91060757772298
52398,20150413,22,PM2.5,55.1
52404,20150413,23,PCA,-54.111424948360934
52404,20150413,23,PM2.5,58.4
52410,20150414,0,PCA,-39.384073451963964
52410,20150414,0,PM2.5,63.5
52416,20150414,1,PCA,-36.251389336942836
52416,20150414,1,PM2.5,66.7
52422,20150414,2,PCA,-22.64612323806059
52422,20150414,2,PM2.5,73.2
52428,20150414,3,PCA,-6.936944388526505
52428,20150414,3,PM2.5,87.0
52434,20150414,4,PCA,-0.4203504893324122
52434,20150414,4,PM2.5,91.5
52440,20150414,5,PCA,8.460587821009115
52440,20150414,5,PM2.5,103.4
52446,20150414,6,PCA,9.242421853448032
52446,20150414,6,PM2.5,99.4
52452,20150414,7,PCA,16.726807304156686
52452,20150414,7,PM2.5,102.9
52458,20150414,8,PCA,3.7391620523146716
52458,20150414,8,PM2.5,80.0
52464,20150414,9,PCA,-8.55481009305649
52464,20150414,9,PM2.5,64.6
52470,20150414,10,PCA,-6.087438142656194
52470,20150414,10,PM2.5,70.6
52476,20150414,11,PCA,-13.770823808732937
52476,20150414,11,PM2.5,62.3
52482,20150414,12,PCA,-26.20810607404218
52482,20150414,12,PM2.5,53.8
52488,20150414,13,PCA,-24.518578192586187
52488,20150414,13,PM2.5,56.6
52494,20150414,14,PCA,-14.771880049616172
52494,20150414,14,PM2.5,65.7
52500,20150414,15,PCA,-10.477758848142223
52500,20150414,15,PM2.5,73.6
52506,20150414,16,PCA,-31.124026406252543
52506,20150414,16,PM2.5,57.6
52512,20150414,17,PCA,-35.7608820009037
52512,20150414,17,PM2.5,52.1
52518,20150414,18,PCA,-29.087315892535294
52518,20150414,18,PM2.5,54.4
52524,20150414,19,PCA,-26.872716288904428
52524,20150414,19,PM2.5,52.6
52530,20150414,20,PCA,-27.648243958891666
52530,20150414,20,PM2.5,48.6
52536,20150414,21,PCA,-24.28396070224821
52536,20150414,21,PM2.5,53.3
52542,20150414,22,PCA,-25.396614162941226
52542,20150414,22,PM2.5,50.2
52548,20150414,23,PCA,-21.338382624078044
52548,20150414,23,PM2.5,53.0
52554,20150415,0,PCA,-12.455912194528027
52554,20150415,0,PM2.5,60.6
52560,20150415,1,PCA,3.8423772617433776
52560,20150415,1,PM2.5,75.8
52566,20150415,2,PCA,25.774091184427537
52566,20150415,2,PM2.5,100.1
52572,20150415,3,PCA,26.667830629135153
52572,20150415,3,PM2.5,101.7
52578,20150415,4,PCA,31.614468423177517
52578,20150415,4,PM2.5,106.2
52584,20150415,5,PCA,43.56888676116256
52584,20150415,5,PM2.5,121.9
52590,20150415,6,PCA,45.94959634664909
52590,20150415,6,PM2.5,125.4
52596,20150415,7,PCA,50.31440750345718
52596,20150415,7,PM2.5,128.0
52602,20150415,8,PCA,59.09356011743859
52602,20150415,8,PM2.5,135.1
52608,20150415,9,PCA,75.0673487582327
52608,20150415,9,PM2.5,146.1
52614,20150415,10,PCA,90.42535704305605
52614,20150415,10,PM2.5,159.5
52620,20150415,11,PCA,98.5362748211919
52620,20150415,11,PM2.5,164.2
52626,20150415,12,PCA,88.58348143596444
52626,20150415,12,PM2.5,148.4
52632,20150415,13,PCA,97.24375210380366
52632,20150415,13,PM2.5,158.2
52638,20150415,14,PCA,93.28076506490703
52638,20150415,14,PM2.5,155.8
52644,20150415,15,PCA,81.37108023935312
52644,20150415,15,PM2.5,143.2
52650,20150415,16,PCA,86.72438149947824
52650,20150415,16,PM2.5,146.9
52656,20150415,17,PCA,90.70484408608854
52656,20150415,17,PM2.5,148.7
52662,20150415,18,PCA,88.47804475288417
52662,20150415,18,PM2.5,150.6
52668,20150415,19,PCA,256.3027031476079
52668,20150415,19,PM2.5,389.5
52674,20150415,20,PCA,92.7941914308689
52674,20150415,20,PM2.5,142.7
52680,20150415,21,PCA,56.69440108085258
52680,20150415,21,PM2.5,99.9
52686,20150415,22,PCA,73.90062128998083
52686,20150415,22,PM2.5,116.0
52692,20150415,23,PCA,80.26111063916451
52692,20150415,23,PM2.5,121.1
52698,20150416,0,PCA,81.52921979287527
52698,20150416,0,PM2.5,121.3
52704,20150416,1,PCA,88.93959027958984
52704,20150416,1,PM2.5,126.6
52710,20150416,2,PCA,67.71692647323391
52710,20150416,2,PM2.5,93.9
52716,20150416,3,PCA,44.97820760284985
52716,20150416,3,PM2.5,57.9
52722,20150416,4,PCA,30.00630425601063
52722,20150416,4,PM2.5,38.2
52728,20150416,5,PCA,19.907755751223274
52728,20150416,5,PM2.5,27.7
52734,20150416,6,PCA,11.608423463162687
52734,20150416,6,PM2.5,20.7
52740,20150416,7,PCA,3.440149888118814
52740,20150416,7,PM2.5,11.4
52746,20150416,8,PCA,1.0164602684827477
52746,20150416,8,PM2.5,12.0
52752,20150416,9,PCA,-0.8139080288944026
52752,20150416,9,PM2.5,14.9
52758,20150416,10,PCA,1.0993374997373249
52758,20150416,10,PM2.5,17.4
52764,20150416,11,PCA,-3.872691869052828
52764,20150416,11,PM2.5,14.8
52770,20150416,12,PCA,-12.656859043521452
52770,20150416,12,PM2.5,7.8
52776,20150416,13,PCA,-7.7815841627590485
52776,20150416,13,PM2.5,19.3
52782,20150416,14,PCA,-20.633174389347037
52782,20150416,14,PM2.5,5.8
52788,20150416,15,PCA,-20.318120627359537
52788,20150416,15,PM2.5,10.6
52794,20150416,16,PCA,-17.255860966696073
52794,20150416,16,PM2.5,17.8
52800,20150416,17,PCA,-21.443607793555596
52800,20150416,17,PM2.5,13.0
52806,20150416,18,PCA,-17.547537214057197
52806,20150416,18,PM2.5,19.8
52812,20150416,19,PCA,-25.807871950649158
52812,20150416,19,PM2.5,23.2
52818,20150416,20,PCA,-26.888113094274356
52818,20150416,20,PM2.5,36.8
52824,20150416,21,PCA,-25.531579679497252
52824,20150416,21,PM2.5,44.5
52830,20150416,22,PCA,-29.664538842868634
52830,20150416,22,PM2.5,39.7
52836,20150416,23,PCA,-25.282508899899938
52836,20150416,23,PM2.5,50.7
52842,20150417,0,PCA,-23.664390359885648
52842,20150417,0,PM2.5,60.8
52848,20150417,1,PCA,-27.256515657759472
52848,20150417,1,PM2.5,61.6
52854,20150417,2,PCA,-36.09833150037969
52854,20150417,2,PM2.5,53.5
52860,20150417,3,PCA,-33.78366961168075
52860,20150417,3,PM2.5,59.7
52866,20150417,4,PCA,-30.576339351667205
52866,20150417,4,PM2.5,61.9
52872,20150417,5,PCA,-18.532523117144265
52872,20150417,5,PM2.5,62.5
52878,20150417,6,PCA,0.1789544116573258
