,date,hour,type,丰台花园
498,20140405,11,PM2.5,9.5
504,20140405,12,PCA,-66.52532460340656
504,20140405,12,PM2.5,6.0
510,20140405,13,PCA,-61.64185781266929
510,20140405,13,PM2.5,16.0
516,20140405,14,PCA,-67.8753337340153
516,20140405,14,PM2.5,9.0
522,20140405,15,PCA,-67.38714252516706
522,20140405,15,PM2.5,12.0
528,20140405,16,PCA,-70.3735331907238
528,20140405,16,PM2.5,9.0
534,20140405,17,PCA,-48.865656962253404
534,20140405,17,PM2.5,39.0
540,20140405,18,PCA,-53.576520460309304
540,20140405,18,PM2.5,32.0
546,20140405,19,PCA,-44.353669921023624
546,20140405,19,PM2.5,41.0
552,20140405,20,PCA,-39.38716445788599
552,20140405,20,PM2.5,44.0
558,20140405,21,PCA,-29.716224381779266
558,20140405,21,PM2.5,53.0
564,20140405,22,PCA,-29.668427503523002
564,20140405,22,PM2.5,52.0
570,20140405,23,PCA,-22.01881897518781
570,20140405,23,PM2.5,54.0
576,20140406,0,PCA,-5.364405878539056
576,20140406,0,PM2.5,69.0
582,20140406,1,PCA,-0.5262687035411585
582,20140406,1,PM2.5,69.0
588,20140406,2,PCA,-2.76358132756505
588,20140406,2,PM2.5,63.0
594,20140406,3,PCA,8.518857583818559
594,20140406,3,PM2.5,79.0
600,20140406,4,PCA,5.278056737381002
600,20140406,4,PM2.5,75.0
606,20140406,5,PCA,13.348528513734305
606,20140406,5,PM2.5,85.0
612,20140406,6,PCA,14.640743005068412
612,20140406,6,PM2.5,87.0
618,20140406,7,PCA,16.24509344762468
618,20140406,7,PM2.5,88.0
624,20140406,8,PCA,21.173882432566973
624,20140406,8,PM2.5,91.0
630,20140406,9,PCA,17.841414495928046
630,20140406,9,PM2.5,80.0
636,20140406,10,PCA,32.690690905648566
636,20140406,10,PM2.5,94.0
642,20140406,11,PCA,15.935111965848327
642,20140406,11,PM2.5,83.0
648,20140406,12,PCA,-2.8761145258299443
648,20140406,12,PM2.5,72.0
654,20140406,13,PCA,-33.681682139866936
654,20140406,13,PM2.5,40.0
660,20140406,14,PCA,-37.53938301439709
660,20140406,14,PM2.5,36.0
666,20140406,15,PCA,-31.59346317948997
666,20140406,15,PM2.5,42.0
672,20140406,16,PCA,-30.521328794954563
672,20140406,16,PM2.5,42.0
678,20140406,17,PCA,-27.25456124848194
678,20140406,17,PM2.5,42.0
684,20140408,10,PCA,188.5063002443701
684,20140408,10,PM2.5,204.0
690,20140408,11,PCA,208.28038732754538
690,20140408,11,PM2.5,224.0
696,20140408,12,PCA,212.6971354134467
696,20140408,12,PM2.5,243.0
702,20140408,13,PCA,187.4748808761183
702,20140408,13,PM2.5,224.0
708,20140408,14,PCA,146.14781958134782
708,20140408,14,PM2.5,186.0
714,20140408,15,PCA,144.56640727900228
714,20140408,15,PM2.5,183.0
720,20140408,16,PCA,157.39424876510057
720,20140408,16,PM2.5,196.0
726,20140408,17,PCA,146.4457138411073
726,20140408,17,PM2.5,176.0
732,20140408,18,PCA,154.22337059344324
732,20140408,18,PM2.5,181.0
738,20140408,19,PCA,160.90239929589333
738,20140408,19,PM2.5,178.0
744,20140408,20,PCA,172.62573104432673
744,20140408,20,PM2.5,182.0
750,20140408,21,PCA,178.8142627938399
750,20140408,21,PM2.5,180.0
756,20140408,22,PCA,183.82970778299094
756,20140408,22,PM2.5,181.0
762,20140408,23,PCA,174.94556222661242
762,20140408,23,PM2.5,169.0
768,20140409,0,PCA,153.9696512802747
768,20140409,0,PM2.5,158.0
774,20140409,1,PCA,164.69477431124977
774,20140409,1,PM2.5,167.0
780,20140409,2,PCA,165.22595446551384
780,20140409,2,PM2.5,166.0
786,20140409,3,PCA,176.57171522167314
786,20140409,3,PM2.5,179.0
792,20140409,4,PCA,169.98356522736321
792,20140409,4,PM2.5,179.0
798,20140409,5,PCA,163.6985512415035
798,20140409,5,PM2.5,173.0
804,20140409,6,PCA,182.7748050833018
804,20140409,6,PM2.5,178.0
810,20140409,7,PCA,184.7944019920089
810,20140409,7,PM2.5,180.0
816,20140409,8,PCA,184.36330355787595
816,20140409,8,PM2.5,179.0
822,20140409,9,PCA,187.93553758611202
822,20140409,9,PM2.5,187.0
828,20140409,10,PCA,176.81295460597624
828,20140409,10,PM2.5,185.0
834,20140409,11,PCA,120.98382969865668
834,20140409,11,PM2.5,123.0
840,20140409,12,PCA,39.9279823577967
840,20140409,12,PM2.5,26.0
846,20140409,13,PCA,35.53001923139864
846,20140409,13,PM2.5,30.0
852,20140409,14,PCA,36.85068917679472
852,20140409,14,PM2.5,40.0
858,20140409,15,PCA,29.039738349050523
858,20140409,15,PM2.5,35.0
864,20140409,16,PCA,36.86274209520329
864,20140409,16,PM2.5,53.0
870,20140409,17,PCA,29.946641948293227
870,20140409,17,PM2.5,49.0
876,20140409,18,PCA,33.63832707974205
876,20140409,18,PM2.5,59.0
882,20140409,19,PCA,37.65463082902281
882,20140409,19,PM2.5,65.0
888,20140409,20,PCA,85.6866581130496
888,20140409,20,PM2.5,142.0
