,date,hour,type,丰台花园
72216,20150829,13,PCA,-55.93266325899222
72216,20150829,13,PM2.5,39.0
72222,20150829,14,PCA,-34.587437694200396
72222,20150829,14,PM2.5,49.0
72228,20150829,15,PCA,-49.00615910480729
72228,20150829,15,PM2.5,45.0
72234,20150829,16,PCA,-59.85739283256355
72234,20150829,16,PM2.5,35.0
72240,20150829,17,PCA,-67.15340079363581
72240,20150829,17,PM2.5,37.0
72246,20150829,18,PCA,-77.20354317585917
72246,20150829,18,PM2.5,35.0
72252,20150829,19,PCA,-75.61620460831722
72252,20150829,19,PM2.5,35.0
72258,20150829,20,PCA,-75.09810748707706
72258,20150829,20,PM2.5,32.0
72264,20150829,21,PCA,-75.95618258723465
72264,20150829,21,PM2.5,32.0
72270,20150829,22,PCA,-74.57538278853897
72270,20150829,22,PM2.5,31.0
72276,20150829,23,PCA,-68.54729473033755
72276,20150829,23,PM2.5,42.0
72282,20150830,0,PCA,-73.95451345028941
72282,20150830,0,PM2.5,32.0
72288,20150830,1,PCA,-68.479872869779
72288,20150830,1,PM2.5,35.0
72294,20150830,2,PCA,-59.13282897956809
72294,20150830,2,PM2.5,40.0
72300,20150830,3,PCA,-63.55528376367601
72300,20150830,3,PM2.5,29.0
72306,20150830,4,PCA,-64.36280035080958
72306,20150830,4,PM2.5,28.0
72312,20150830,5,PCA,-66.5157552034351
72312,20150830,5,PM2.5,24.0
72318,20150830,6,PCA,-64.94230494484506
72318,20150830,6,PM2.5,24.0
72324,20150830,7,PCA,-66.48404011820053
72324,20150830,7,PM2.5,24.0
72330,20150830,8,PCA,-64.58984748476331
72330,20150830,8,PM2.5,28.0
72336,20150830,9,PCA,-70.77031431948592
72336,20150830,9,PM2.5,24.0
72342,20150830,10,PCA,-70.24514426141322
72342,20150830,10,PM2.5,24.0
72348,20150830,11,PCA,-67.06867473195753
72348,20150830,11,PM2.5,32.0
72354,20150830,12,PCA,-62.32162091215804
72354,20150830,12,PM2.5,33.0
72360,20150830,13,PCA,-59.86824594572909
72360,20150830,13,PM2.5,38.0
72366,20150830,14,PCA,-62.11403154720954
72366,20150830,14,PM2.5,39.0
72372,20150830,15,PCA,-65.47787778959982
72372,20150830,15,PM2.5,35.0
72378,20150830,16,PCA,-78.30232052827475
72378,20150830,16,PM2.5,19.0
72384,20150830,17,PCA,-79.31638768363398
72384,20150830,17,PM2.5,16.0
72390,20150830,18,PCA,-75.38371367935781
72390,20150830,18,PM2.5,14.0
72396,20150830,19,PCA,-76.22872851407726
72396,20150830,19,PM2.5,14.0
72402,20150830,20,PCA,-60.989924779644134
72402,20150830,20,PM2.5,25.0
72408,20150830,21,PCA,-52.39324310536931
72408,20150830,21,PM2.5,34.0
72414,20150830,22,PCA,-42.529683412194466
72414,20150830,22,PM2.5,43.0
72420,20150830,23,PCA,-47.244938913730785
72420,20150830,23,PM2.5,47.0
72426,20150831,0,PCA,-47.42346709871871
72426,20150831,0,PM2.5,50.0
72432,20150831,1,PCA,-55.87388326179859
72432,20150831,1,PM2.5,47.0
72438,20150831,2,PCA,-52.37812184787291
72438,20150831,2,PM2.5,48.0
72444,20150831,3,PCA,-55.97065989787843
72444,20150831,3,PM2.5,43.0
72450,20150831,4,PCA,-66.09723920379453
72450,20150831,4,PM2.5,31.0
72456,20150831,5,PCA,-79.36003200322486
72456,20150831,5,PM2.5,21.0
72462,20150831,6,PCA,-80.22564409928508
72462,20150831,6,PM2.5,21.0
72468,20150831,7,PCA,-79.14442874079826
72468,20150831,7,PM2.5,20.0
72474,20150831,8,PCA,-58.31662308471106
72474,20150831,8,PM2.5,32.0
72480,20150831,9,PCA,-55.36551012312969
72480,20150831,9,PM2.5,38.0
72486,20150831,10,PCA,-62.82804566935793
72486,20150831,10,PM2.5,32.0
72492,20150831,11,PCA,-77.4040077716324
72492,20150831,11,PM2.5,19.0
72498,20150831,12,PCA,-77.04960530693059
72498,20150831,12,PM2.5,22.0
72504,20150831,13,PCA,-72.30710798979275
72504,20150831,13,PM2.5,29.0
72510,20150831,14,PCA,-68.55520175592174
72510,20150831,14,PM2.5,36.0
72516,20150831,15,PCA,-63.382291180292775
72516,20150831,15,PM2.5,36.0
72522,20150831,16,PCA,-68.95450816064628
72522,20150831,16,PM2.5,31.0
72528,20150831,17,PCA,-68.74220270981984
72528,20150831,17,PM2.5,30.0
72534,20150831,18,PCA,-75.01122892504272
72534,20150831,18,PM2.5,24.0
72540,20150831,19,PCA,-68.97675131749843
72540,20150831,19,PM2.5,23.0
72546,20150831,20,PCA,-58.38952089324789
72546,20150831,20,PM2.5,33.0
72552,20150831,21,PCA,-44.78178095775103
72552,20150831,21,PM2.5,40.0
72558,20150831,22,PCA,-61.032861780017306
72558,20150831,22,PM2.5,35.0
72564,20150831,23,PCA,-85.15617609839866
72564,20150831,23,PM2.5,14.0
72570,20150901,0,PCA,-89.28992094127703
72570,20150901,0,PM2.5,10.0
72576,20150901,1,PCA,-91.35890134849473
72576,20150901,1,PM2.5,8.0
72582,20150901,2,PCA,-88.7837282654486
72582,20150901,2,PM2.5,10.0
72588,20150901,3,PCA,-88.10670139065165
72588,20150901,3,PM2.5,10.0
72594,20150901,4,PCA,-85.58942832348467
72594,20150901,4,PM2.5,15.0
72600,20150901,5,PCA,-87.03492833957088
72600,20150901,5,PM2.5,11.0
72606,20150901,6,PCA,-96.27322463060601
72606,20150901,6,PM2.5,5.0
72612,20150901,7,PCA,-95.02043714607989
72612,20150901,7,PM2.5,4.0
72618,20150901,8,PCA,-94.34050207288792
72618,20150901,8,PM2.5,3.0
72624,20150901,9,PCA,-88.82048026312594
72624,20150901,9,PM2.5,11.0
72630,20150901,10,PCA,-84.61477988211949
72630,20150901,10,PM2.5,12.0
72636,20150901,11,PCA,-93.02822634436518
72636,20150901,11,PM2.5,9.0
72642,20150901,12,PCA,-97.62657331731418
72642,20150901,12,PM2.5,8.0
72648,20150901,13,PCA,-100.35498701231052
72648,20150901,13,PM2.5,11.0
72654,20150901,14,PCA,-104.89985169117571
72654,20150901,14,PM2.5,7.0
72660,20150901,15,PCA,-97.12301535227287
72660,20150901,15,PM2.5,13.0
72666,20150901,16,PCA,-100.94655843302293
72666,20150901,16,PM2.5,6.0
72672,20150901,17,PCA,-99.1908566548084
72672,20150901,17,PM2.5,7.0
72678,20150901,18,PCA,-98.71465607348944
72678,20150901,18,PM2.5,7.0
72684,20150901,19,PCA,-90.45085381253803
72684,20150901,19,PM2.5,14.0
72690,20150901,20,PCA,-76.67007532235374
72690,20150901,20,PM2.5,16.0
72696,20150901,21,PCA,-75.17806555150351
72696,20150901,21,PM2.5,19.0
72702,20150901,22,PCA,-81.24443454284301
72702,20150901,22,PM2.5,14.0
72708,20150901,23,PCA,-80.80859159040138
72708,20150901,23,PM2.5,14.0
72714,20150902,0,PCA,-80.54881468494209
72714,20150902,0,PM2.5,16.0
72720,20150902,1,PCA,-86.79072254940216
72720,20150902,1,PM2.5,9.0
72726,20150902,2,PCA,-86.69376221965419
72726,20150902,2,PM2.5,14.0
72732,20150902,3,PCA,-93.92596029772905
72732,20150902,3,PM2.5,11.0
72738,20150902,4,PCA,-106.15957347708785
72738,20150902,4,PM2.5,6.0
72744,20150902,5,PCA,-109.14826669743383
72744,20150902,5,PM2.5,3.0
72750,20150902,6,PCA,-99.68981600079492
72750,20150902,6,PM2.5,6.0
72756,20150902,7,PCA,-99.77170883613874
72756,20150902,7,PM2.5,8.0
72762,20150902,8,PCA,-95.24985608238255
72762,20150902,8,PM2.5,11.0
72768,20150902,9,PCA,-96.43828548848589
72768,20150902,9,PM2.5,14.0
72774,20150902,10,PCA,-105.02105179426793
72774,20150902,10,PM2.5,8.0
72780,20150902,11,PCA,-103.70571354258797
72780,20150902,11,PM2.5,10.0
72786,20150902,12,PCA,-105.69712731503272
72786,20150902,12,PM2.5,8.0
72792,20150902,13,PCA,-106.67355977004239
72792,20150902,13,PM2.5,5.0
72798,20150902,14,PCA,-103.42508964423709
72798,20150902,14,PM2.5,10.0
72804,20150902,15,PCA,-108.15368428996791
72804,20150902,15,PM2.5,3.0
72810,20150902,16,PCA,-104.81632936003888
72810,20150902,16,PM2.5,6.0
72816,20150902,17,PCA,-103.71547820510692
72816,20150902,17,PM2.5,7.0
72822,20150902,18,PCA,-104.1262367076391
72822,20150902,18,PM2.5,6.0
72828,20150902,19,PCA,-102.12916853361075
72828,20150902,19,PM2.5,9.0
72834,20150902,20,PCA,-87.08015241863856
72834,20150902,20,PM2.5,13.0
72840,20150902,21,PCA,-78.3803566249999
72840,20150902,21,PM2.5,15.0
72846,20150902,22,PCA,-77.81191430538034
72846,20150902,22,PM2.5,16.0
72852,20150902,23,PCA,-66.89842580932164
72852,20150902,23,PM2.5,17.0
72858,20150903,0,PCA,-74.98543079693029
72858,20150903,0,PM2.5,20.0
72864,20150903,1,PCA,-80.76986728096583
72864,20150903,1,PM2.5,16.0
72870,20150903,2,PCA,-89.08147821955286
72870,20150903,2,PM2.5,9.0
72876,20150903,3,PCA,-86.17380860401411
72876,20150903,3,PM2.5,11.0
72882,20150903,4,PCA,-90.08922580075529
72882,20150903,4,PM2.5,11.0
72888,20150903,5,PCA,-90.88761877173181
72888,20150903,5,PM2.5,11.0
72894,20150903,6,PCA,-89.77887601981685
72894,20150903,6,PM2.5,12.0
72900,20150903,7,PCA,-88.67013326790196
72900,20150903,7,PM2.5,13.0
72906,20150903,8,PCA,-89.77887601981685
72906,20150903,8,PM2.5,12.0
72912,20150903,9,PCA,-96.41825283640821
72912,20150903,9,PM2.5,8.0
72918,20150903,10,PCA,-98.71015094936679
72918,20150903,10,PM2.5,12.0
72924,20150903,11,PCA,-103.49258922263604
72924,20150903,11,PM2.5,9.0
72930,20150903,12,PCA,-103.80380272194635
72930,20150903,12,PM2.5,11.0
72936,20150903,13,PCA,-99.39014211375363
72936,20150903,13,PM2.5,13.0
72942,20150903,14,PCA,-96.69762824670941
72942,20150903,14,PM2.5,13.0
72948,20150903,15,PCA,-97.34458727300897
72948,20150903,15,PM2.5,13.0
72954,20150903,16,PCA,-98.85296185327188
72954,20150903,16,PM2.5,11.0
72960,20150903,17,PCA,-99.08335261188012
72960,20150903,17,PM2.5,13.0
72966,20150903,18,PCA,-97.52862626541982
72966,20150903,18,PM2.5,13.0
72972,20150903,19,PCA,-93.56941323947179
72972,20150903,19,PM2.5,16.0
72978,20150903,20,PCA,-92.397401476503
72978,20150903,20,PM2.5,20.0
72984,20150903,21,PCA,-92.3490663034983
72984,20150903,21,PM2.5,20.0
72990,20150903,22,PCA,-86.86340564561786
72990,20150903,22,PM2.5,22.0
72996,20150903,23,PCA,-92.64162793210104
72996,20150903,23,PM2.5,21.0
73002,20150904,0,PCA,-80.15769383701128
73002,20150904,0,PM2.5,34.0
73008,20150904,1,PCA,-68.71350798782522
73008,20150904,1,PM2.5,50.0
73014,20150904,2,PCA,-61.68321898338267
73014,20150904,2,PM2.5,55.0
73020,20150904,3,PCA,-53.492750398201004
73020,20150904,3,PM2.5,63.0
73026,20150904,4,PCA,-48.025368476553886
73026,20150904,4,PM2.5,74.0
73032,20150904,5,PCA,-41.78648720668237
73032,20150904,5,PM2.5,80.0
73038,20150904,6,PCA,-29.725993080500633
73038,20150904,6,PM2.5,85.0
73044,20150904,7,PCA,-24.827596387679872
73044,20150904,7,PM2.5,96.0
73050,20150904,8,PCA,-30.448446154857358
73050,20150904,8,PM2.5,85.0
73056,20150904,9,PCA,-35.42236494051259
73056,20150904,9,PM2.5,78.0
73062,20150904,10,PCA,-33.760546625171166
73062,20150904,10,PM2.5,78.0
73068,20150904,11,PCA,-22.606547821589754
73068,20150904,11,PM2.5,85.0
73074,20150904,12,PCA,-17.769982669417924
73074,20150904,12,PM2.5,90.0
73080,20150904,13,PCA,-14.847145251515709
73080,20150904,13,PM2.5,91.0
73086,20150904,14,PCA,-12.68120779516946
73086,20150904,14,PM2.5,86.0
73092,20150904,15,PCA,-24.249505671621822
73092,20150904,15,PM2.5,62.0
73098,20150904,16,PCA,-36.3019978223612
73098,20150904,16,PM2.5,48.0
73104,20150904,17,PCA,-57.73564161977847
73104,20150904,17,PM2.5,29.0
73110,20150904,18,PCA,-65.95352057508458
73110,20150904,18,PM2.5,18.0
73116,20150904,19,PCA,-49.736626722415146
73116,20150904,19,PM2.5,30.0
73122,20150904,20,PCA,-40.213674760575145
73122,20150904,20,PM2.5,43.0
73128,20150904,21,PCA,-45.36602398469453
73128,20150904,21,PM2.5,40.0
73134,20150904,22,PCA,-57.80324240548328
73134,20150904,22,PM2.5,26.0
73140,20150904,23,PCA,-62.811255030310065
73140,20150904,23,PM2.5,21.0
73146,20150905,0,PCA,-68.16818767445918
73146,20150905,0,PM2.5,12.0
73152,20150905,1,PCA,-70.12174213796528
73152,20150905,1,PM2.5,14.0
73158,20150905,2,PCA,-69.3649206692997
73158,20150905,2,PM2.5,11.0
73164,20150905,3,PCA,-61.31449349708362
73164,20150905,3,PM2.5,22.0
73170,20150905,4,PCA,-63.340512850982584
73170,20150905,4,PM2.5,24.0
73176,20150905,5,PCA,-66.25143146101802
73176,20150905,5,PM2.5,20.0
73182,20150905,6,PCA,-69.91503427123894
73182,20150905,6,PM2.5,18.0
73188,20150905,7,PCA,-68.00983356999758
73188,20150905,7,PM2.5,28.0
73194,20150905,8,PCA,-74.23927253246302
73194,20150905,8,PM2.5,20.0
73200,20150905,9,PCA,-84.17970214074033
73200,20150905,9,PM2.5,14.0
73206,20150905,10,PCA,-89.10111725607129
73206,20150905,10,PM2.5,9.0
73212,20150905,11,PCA,-81.3359554148842
73212,20150905,11,PM2.5,18.0
73218,20150905,12,PCA,-80.38566245978451
73218,20150905,12,PM2.5,23.0
73224,20150905,13,PCA,-79.4353695046848
73224,20150905,13,PM2.5,28.0
73230,20150905,14,PCA,-94.48378965915482
73230,20150905,14,PM2.5,15.0
73236,20150905,15,PCA,-105.32204233624297
73236,20150905,15,PM2.5,4.0
73242,20150905,16,PCA,-100.98435987836336
73242,20150905,16,PM2.5,10.0
73248,20150905,17,PCA,-96.23949840471687
73248,20150905,17,PM2.5,9.0
73254,20150905,18,PCA,-89.91872429950152
73254,20150905,18,PM2.5,13.0
73260,20150905,19,PCA,-71.9814526282608
73260,20150905,19,PM2.5,22.0
73266,20150905,20,PCA,-72.78271934298395
73266,20150905,20,PM2.5,21.0
73272,20150905,21,PCA,-77.27856185679316
73272,20150905,21,PM2.5,18.0
73278,20150905,22,PCA,-71.47070207688083
73278,20150905,22,PM2.5,19.0
73284,20150905,23,PCA,-91.27164579780388
73284,20150905,23,PM2.5,17.0
73290,20150906,0,PCA,-99.73995292674817
73290,20150906,0,PM2.5,9.0
73296,20150906,1,PCA,-93.25283809834754
73296,20150906,1,PM2.5,13.0
73302,20150906,2,PCA,-89.49764674996213
73302,20150906,2,PM2.5,17.0
73308,20150906,3,PCA,-78.57419133571129
73308,20150906,3,PM2.5,13.0
73314,20150906,4,PCA,-93.08603066510317
73314,20150906,4,PM2.5,14.0
73320,20150906,5,PCA,-93.1842883098597
73320,20150906,5,PM2.5,17.0
73326,20150906,6,PCA,-89.45953794444581
73326,20150906,6,PM2.5,13.0
73332,20150906,7,PCA,-87.79900675259665
73332,20150906,7,PM2.5,13.0
73338,20150906,8,PCA,-85.60756739854502
73338,20150906,8,PM2.5,12.0
73344,20150906,9,PCA,-86.5140642973444
73344,20150906,9,PM2.5,16.0
73350,20150906,10,PCA,-93.04739981023636
73350,20150906,10,PM2.5,16.0
73356,20150906,11,PCA,-98.3655253009581
73356,20150906,11,PM2.5,15.0
73362,20150906,12,PCA,-97.52937789057235
73362,20150906,12,PM2.5,17.0
73368,20150906,13,PCA,-93.88724369014483
73368,20150906,13,PM2.5,21.0
73374,20150906,14,PCA,-97.71149227894037
73374,20150906,14,PM2.5,13.0
73380,20150906,15,PCA,-98.34943979806181
73380,20150906,15,PM2.5,13.0
73386,20150906,16,PCA,-97.50955492555761
73386,20150906,16,PM2.5,13.0
73392,20150906,17,PCA,-94.46618496715432
73392,20150906,17,PM2.5,14.0
73398,20150906,18,PCA,-90.18541627131368
73398,20150906,18,PM2.5,19.0
73404,20150906,19,PCA,-86.58042111869294
73404,20150906,19,PM2.5,22.0
73410,20150906,20,PCA,-74.00804663025899
73410,20150906,20,PM2.5,30.0
73416,20150906,21,PCA,-54.095404236226535
73416,20150906,21,PM2.5,30.0
73422,20150906,22,PCA,-49.60895399251022
73422,20150906,22,PM2.5,32.0
73428,20150906,23,PCA,-51.77767328813425
73428,20150906,23,PM2.5,34.0
73434,20150907,0,PCA,-53.42430943865712
73434,20150907,0,PM2.5,33.0
73440,20150907,1,PCA,-58.87163495514746
73440,20150907,1,PM2.5,30.0
73446,20150907,2,PCA,-68.05156541795066
73446,20150907,2,PM2.5,20.0
73452,20150907,3,PCA,-63.68028265552631
73452,20150907,3,PM2.5,26.0
73458,20150907,4,PCA,-63.41848832958473
73458,20150907,4,PM2.5,27.0
73464,20150907,5,PCA,-62.99294400781352
73464,20150907,5,PM2.5,27.0
73470,20150907,6,PCA,-60.39950843393207
73470,20150907,6,PM2.5,25.0
73476,20150907,7,PCA,-59.29159372553097
73476,20150907,7,PM2.5,26.0
73482,20150907,8,PCA,-55.73978226793822
73482,20150907,8,PM2.5,31.0
73488,20150907,9,PCA,-60.22669922171369
73488,20150907,9,PM2.5,28.0
73506,20150907,12,PCA,-77.03280454799209
73506,20150907,12,PM2.5,23.0
73512,20150907,13,PCA,-82.73050200276309
73512,20150907,13,PM2.5,22.0
73518,20150907,14,PCA,-84.49113062006454
73518,20150907,14,PM2.5,24.0
73524,20150907,15,PCA,-89.52792396989646
73524,20150907,15,PM2.5,19.0
73530,20150907,16,PCA,-93.85387199207017
73530,20150907,16,PM2.5,13.0
73536,20150907,17,PCA,-92.82995115853699
73536,20150907,17,PM2.5,10.0
73542,20150907,18,PCA,-85.5699674595876
73542,20150907,18,PM2.5,17.0
73548,20150907,19,PCA,-75.86978879870702
73548,20150907,19,PM2.5,27.0
73554,20150907,20,PCA,-68.28957336089482
73554,20150907,20,PM2.5,31.0
73560,20150907,21,PCA,-55.28543779170175
73560,20150907,21,PM2.5,33.0
73566,20150907,22,PCA,-46.83313413871549
73566,20150907,22,PM2.5,41.0
73572,20150907,23,PCA,-46.12710354116528
73572,20150907,23,PM2.5,44.0
73578,20150908,0,PCA,-44.73609779131799
73578,20150908,0,PM2.5,44.0
73584,20150908,1,PCA,-30.529153065572217
73584,20150908,1,PM2.5,54.0
73590,20150908,2,PCA,-24.803044834568002
73590,20150908,2,PM2.5,62.0
73596,20150908,3,PCA,-8.740318491779275
73596,20150908,3,PM2.5,84.0
73602,20150908,4,PCA,24.91750922360653
73602,20150908,4,PM2.5,132.0
73608,20150908,5,PCA,18.64100278216854
73608,20150908,5,PM2.5,122.0
73614,20150908,6,PCA,19.587907582131617
73614,20150908,6,PM2.5,121.0
73620,20150908,7,PCA,-0.06056796501103312
73620,20150908,7,PM2.5,91.0
73626,20150908,8,PCA,-23.132488054496605
73626,20150908,8,PM2.5,56.0
73632,20150908,9,PCA,-14.362744905268293
73632,20150908,9,PM2.5,66.0
73638,20150908,10,PCA,-8.5613356153252
73638,20150908,10,PM2.5,75.0
73644,20150908,11,PCA,-35.61787661041534
73644,20150908,11,PM2.5,53.0
73650,20150908,12,PCA,-57.32240947234074
73650,20150908,12,PM2.5,36.0
73656,20150908,13,PCA,-63.87615575649665
73656,20150908,13,PM2.5,34.0
73662,20150908,14,PCA,-67.26259468817415
73662,20150908,14,PM2.5,32.0
73668,20150908,15,PCA,-64.44495940957086
73668,20150908,15,PM2.5,34.0
73674,20150908,16,PCA,-52.26881748148634
73674,20150908,16,PM2.5,41.0
73680,20150908,17,PCA,-50.44359175280254
73680,20150908,17,PM2.5,47.0
73686,20150908,18,PCA,-51.42519287626737
73686,20150908,18,PM2.5,44.0
73692,20150908,19,PCA,-36.6787567182932
73692,20150908,19,PM2.5,54.0
73698,20150908,20,PCA,-19.540196046544906
73698,20150908,20,PM2.5,62.0
73704,20150908,21,PCA,-18.94915823958919
73704,20150908,21,PM2.5,66.0
73710,20150908,22,PCA,-11.164485408021557
73710,20150908,22,PM2.5,73.0
73716,20150908,23,PCA,-6.521674145568179
73716,20150908,23,PM2.5,78.0
73722,20150909,0,PCA,19.938440768971514
73722,20150909,0,PM2.5,84.0
73728,20150909,1,PCA,20.019696221817263
73728,20150909,1,PM2.5,88.0
73734,20150909,2,PCA,-2.67813691043407
73734,20150909,2,PM2.5,63.0
73740,20150909,3,PCA,3.8110363152850315
73740,20150909,3,PM2.5,71.0
73746,20150909,4,PCA,-1.4825988030865749
73746,20150909,4,PM2.5,73.0
73752,20150909,5,PCA,-5.708860770575774
73752,20150909,5,PM2.5,69.0
73758,20150909,6,PCA,-14.716654650756727
73758,20150909,6,PM2.5,61.0
73764,20150909,7,PCA,-10.426627341178135
73764,20150909,7,PM2.5,63.0
73770,20150909,8,PCA,-22.124987676411248
73770,20150909,8,PM2.5,52.0
73776,20150909,9,PCA,-30.364963345958465
73776,20150909,9,PM2.5,39.0
73782,20150909,10,PCA,-42.821188471867984
73782,20150909,10,PM2.5,28.0
73788,20150909,11,PCA,-52.39619938486879
73788,20150909,11,PM2.5,21.0
73794,20150909,12,PCA,-54.27492456650018
73794,20150909,12,PM2.5,21.0
73800,20150909,13,PCA,-58.02339403043786
73800,20150909,13,PM2.5,26.0
73806,20150909,14,PCA,-60.87429215560992
73806,20150909,14,PM2.5,27.0
73812,20150909,15,PCA,-61.94765182694504
73812,20150909,15,PM2.5,25.0
73818,20150909,16,PCA,-62.01140977392687
73818,20150909,16,PM2.5,22.0
73824,20150909,17,PCA,-61.55901831840445
73824,20150909,17,PM2.5,22.0
73830,20150909,18,PCA,-69.03965838011483
73830,20150909,18,PM2.5,10.0
73836,20150909,19,PCA,-65.6482207896879
73836,20150909,19,PM2.5,15.0
73842,20150909,20,PCA,-67.36028655688499
73842,20150909,20,PM2.5,12.0
73848,20150909,21,PCA,-69.14347981869636
73848,20150909,21,PM2.5,12.0
73854,20150909,22,PCA,-72.27248704190951
73854,20150909,22,PM2.5,10.0
73860,20150909,23,PCA,-75.64809879616493
73860,20150909,23,PM2.5,7.0
73866,20150910,0,PCA,-78.37295872271096
73866,20150910,0,PM2.5,7.0
73872,20150910,1,PCA,-81.89657295368816
73872,20150910,1,PM2.5,8.0
73878,20150910,2,PCA,-80.72276888590123
73878,20150910,2,PM2.5,7.0
73884,20150910,3,PCA,-82.30550603797968
73884,20150910,3,PM2.5,8.0
73890,20150910,4,PCA,-90.15174219977992
73890,20150910,4,PM2.5,5.0
73896,20150910,5,PCA,-93.16921402721503
73896,20150910,5,PM2.5,3.0
73902,20150910,6,PCA,-91.685499829008
73902,20150910,6,PM2.5,5.0
73908,20150910,7,PCA,-89.5162084467203
73908,20150910,7,PM2.5,6.0
73914,20150910,8,PCA,-87.55911713865459
73914,20150910,8,PM2.5,10.0
73920,20150910,9,PCA,-91.61911670002218
73920,20150910,9,PM2.5,7.0
74130,20150911,20,PCA,-95.11013797512436
74130,20150911,20,PM2.5,13.0
74136,20150911,21,PCA,-95.73842313982077
74136,20150911,21,PM2.5,5.0
74142,20150911,22,PCA,-84.90235465299239
74142,20150911,22,PM2.5,7.0
74148,20150911,23,PCA,-83.58130645025099
74148,20150911,23,PM2.5,7.0
74154,20150912,0,PCA,-88.49192794510188
74154,20150912,0,PM2.5,5.0
74160,20150912,1,PCA,-86.6975026325018
74160,20150912,1,PM2.5,7.0
74166,20150912,2,PCA,-96.15688954566775
74166,20150912,2,PM2.5,5.0
74172,20150912,3,PCA,-101.81569246947073
74172,20150912,3,PM2.5,3.0
74178,20150912,4,PCA,-104.88341151378837
74178,20150912,4,PM2.5,4.0
74184,20150912,5,PCA,-105.25591319199413
74184,20150912,5,PM2.5,3.0
74190,20150912,6,PCA,-99.10933573208888
74190,20150912,6,PM2.5,4.0
74196,20150912,7,PCA,-75.96809664233905
74196,20150912,7,PM2.5,26.0
74202,20150912,8,PCA,-94.30702218589549
74202,20150912,8,PM2.5,5.0
74208,20150912,9,PCA,-96.98094790350774
74208,20150912,9,PM2.5,3.0
74214,20150912,10,PCA,-99.80129710766819
74214,20150912,10,PM2.5,5.0
74220,20150912,11,PCA,-103.93088781568207
74220,20150912,11,PM2.5,3.0
74226,20150912,12,PCA,-102.11052172990827
74226,20150912,12,PM2.5,6.0
74232,20150912,13,PCA,-99.87996159818513
74232,20150912,13,PM2.5,8.0
74238,20150912,14,PCA,-102.51933227873138
74238,20150912,14,PM2.5,5.0
74244,20150912,15,PCA,-102.5794811179716
74244,20150912,15,PM2.5,4.0
74250,20150912,16,PCA,-101.34299637119241
74250,20150912,16,PM2.5,8.0
74256,20150912,17,PCA,-100.97105914956953
74256,20150912,17,PM2.5,7.0
74262,20150912,18,PCA,-99.2273479988843
74262,20150912,18,PM2.5,5.0
74268,20150912,19,PCA,-83.3272149606192
74268,20150912,19,PM2.5,11.0
74274,20150912,20,PCA,-78.68947658808005
74274,20150912,20,PM2.5,16.0
74280,20150912,21,PCA,-87.21758338230897
74280,20150912,21,PM2.5,13.0
74286,20150912,22,PCA,-78.7246017438269
74286,20150912,22,PM2.5,15.0
74292,20150912,23,PCA,-70.84841869279855
74292,20150912,23,PM2.5,17.0
74298,20150913,0,PCA,-62.98736843200879
74298,20150913,0,PM2.5,21.0
74304,20150913,1,PCA,-66.53912961731518
74304,20150913,1,PM2.5,19.0
74310,20150913,2,PCA,-68.03643262771206
74310,20150913,2,PM2.5,18.0
74316,20150913,3,PCA,-65.24644168354756
74316,20150913,3,PM2.5,21.0
74322,20150913,4,PCA,-61.55975748144441
74322,20150913,4,PM2.5,23.0
74328,20150913,5,PCA,-62.09646150308386
74328,20150913,5,PM2.5,22.0
74334,20150913,6,PCA,-58.19772780700443
74334,20150913,6,PM2.5,26.0
74340,20150913,7,PCA,-57.44932889246897
74340,20150913,7,PM2.5,29.0
74346,20150913,8,PCA,-49.88471673823993
74346,20150913,8,PM2.5,36.0
74352,20150913,9,PCA,-49.21825073981837
74352,20150913,9,PM2.5,30.0
74358,20150913,10,PCA,-64.74025619428033
74358,20150913,10,PM2.5,10.0
74364,20150913,11,PCA,-68.61756435053198
74364,20150913,11,PM2.5,12.0
74370,20150913,12,PCA,-73.3846859049213
74370,20150913,12,PM2.5,14.0
74376,20150913,13,PCA,-77.40141818383371
74376,20150913,13,PM2.5,15.0
74382,20150913,14,PCA,-86.69010297818708
74382,20150913,14,PM2.5,7.0
74388,20150913,15,PCA,-82.95215452004128
74388,20150913,15,PM2.5,15.0
74394,20150913,16,PCA,-83.0682053841384
74394,20150913,16,PM2.5,14.0
74400,20150913,17,PCA,-86.74148953472488
74400,20150913,17,PM2.5,8.0
74406,20150913,18,PCA,-81.08178025034445
74406,20150913,18,PM2.5,9.0
74412,20150913,19,PCA,-62.49688645199112
74412,20150913,19,PM2.5,23.0
74418,20150913,20,PCA,-48.71039199563254
74418,20150913,20,PM2.5,30.0
74424,20150913,21,PCA,-36.43837397313724
74424,20150913,21,PM2.5,39.0
74430,20150913,22,PCA,-33.35049731799713
74430,20150913,22,PM2.5,40.0
74436,20150913,23,PCA,-24.770243187533854
74436,20150913,23,PM2.5,50.0
74442,20150914,0,PCA,-27.42567244835628
74442,20150914,0,PM2.5,48.0
74448,20150914,1,PCA,-26.90337855004609
74448,20150914,1,PM2.5,49.0
74454,20150914,2,PCA,-22.956450732424493
74454,20150914,2,PM2.5,54.0
74460,20150914,3,PCA,-19.00869487128909
74460,20150914,3,PM2.5,59.0
74466,20150914,4,PCA,-1.98609220665227
74466,20150914,4,PM2.5,83.0
74472,20150914,5,PCA,0.9794376106327597
74472,20150914,5,PM2.5,88.0
