,date,hour,type,定陵
78,20140402,13,PCA,-8.635158487733888
78,20140402,13,PM2.5,30.0
84,20140402,14,PCA,7.5952622827775205
84,20140402,14,PM2.5,59.0
90,20140402,15,PCA,5.307595975899912
90,20140402,15,PM2.5,58.0
96,20140402,16,PCA,-2.117990736035399
96,20140402,16,PM2.5,49.0
102,20140402,17,PCA,12.540138455751677
102,20140402,17,PM2.5,68.0
108,20140402,18,PCA,50.30122866531639
108,20140402,18,PM2.5,118.0
114,20140402,19,PCA,69.57942365911074
114,20140402,19,PM2.5,141.0
120,20140402,20,PCA,67.0267264753359
120,20140402,20,PM2.5,135.0
126,20140402,21,PCA,65.20194568820062
126,20140402,21,PM2.5,129.0
132,20140402,22,PCA,66.17098219346191
132,20140402,22,PM2.5,128.0
138,20140402,23,PCA,71.70652072108028
138,20140402,23,PM2.5,130.0
144,20140403,0,PCA,79.07787127112886
144,20140403,0,PM2.5,135.0
150,20140403,1,PCA,71.06708104505987
150,20140403,1,PM2.5,119.0
156,20140403,2,PCA,58.7734668660598
156,20140403,2,PM2.5,98.0
162,20140403,3,PCA,-9.233840525906365
162,20140403,3,PM2.5,9.0
168,20140403,4,PCA,-16.174995865553697
168,20140403,4,PM2.5,3.0
174,20140403,5,PCA,-19.079870946008718
174,20140403,5,PM2.5,3.0
180,20140403,6,PCA,-22.705871917000064
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-25.618719745433282
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-25.664851961687436
192,20140403,8,PM2.5,5.0
198,20140403,9,PCA,-25.15315325112501
198,20140403,9,PM2.5,7.0
204,20140403,10,PCA,-25.86781303401316
204,20140403,10,PM2.5,6.0
210,20140403,11,PCA,-27.161646876179642
210,20140403,11,PM2.5,3.0
216,20140403,12,PCA,-29.662927860675477
216,20140403,12,PM2.5,8.0
222,20140403,13,PCA,-31.772630280368627
222,20140403,13,PM2.5,6.0
228,20140403,14,PCA,-28.545322778738278
228,20140403,14,PM2.5,12.0
234,20140403,15,PCA,-25.971560505066876
234,20140403,15,PM2.5,17.0
240,20140403,16,PCA,-31.33540805234828
240,20140403,16,PM2.5,10.0
246,20140403,17,PCA,-35.48658343224708
246,20140403,17,PM2.5,7.0
252,20140403,18,PCA,-39.77292013730062
252,20140403,18,PM2.5,6.0
258,20140403,19,PCA,-42.13224929053847
258,20140403,19,PM2.5,9.0
264,20140403,20,PCA,-46.9773885365606
264,20140403,20,PM2.5,6.0
270,20140403,21,PCA,-48.93499149966198
270,20140403,21,PM2.5,7.0
276,20140403,22,PCA,-47.71101448490361
276,20140403,22,PM2.5,5.0
282,20140403,23,PCA,-42.92188952273427
282,20140403,23,PM2.5,19.0
288,20140404,0,PCA,-50.69777831788799
288,20140404,0,PM2.5,15.0
294,20140404,1,PCA,-50.843812332928835
294,20140404,1,PM2.5,20.0
300,20140404,2,PCA,-35.31592508956998
300,20140404,2,PM2.5,34.0
306,20140404,3,PCA,-27.905015757970038
306,20140404,3,PM2.5,40.0
312,20140404,4,PCA,-29.538945649281153
312,20140404,4,PM2.5,36.0
318,20140404,5,PCA,-31.932807683121524
318,20140404,5,PM2.5,31.0
324,20140404,6,PCA,-31.164042936001024
324,20140404,6,PM2.5,30.0
330,20140404,7,PCA,-27.26962820234066
330,20140404,7,PM2.5,33.0
336,20140404,8,PCA,-16.205740187286484
336,20140404,8,PM2.5,46.0
342,20140404,9,PCA,-15.023804666927777
342,20140404,9,PM2.5,44.0
348,20140404,10,PCA,-9.599596675488781
348,20140404,10,PM2.5,50.0
354,20140404,11,PCA,-10.046403605678824
354,20140404,11,PM2.5,46.0
360,20140404,12,PCA,-25.63615951473849
360,20140404,12,PM2.5,31.0
366,20140404,13,PCA,-24.97063510947975
366,20140404,13,PM2.5,34.0
372,20140404,14,PCA,-29.545776103647455
372,20140404,14,PM2.5,26.0
378,20140404,15,PCA,-32.12632888342211
378,20140404,15,PM2.5,21.0
384,20140404,16,PCA,-34.747624699816214
384,20140404,16,PM2.5,16.0
390,20140404,17,PCA,-37.240225298703756
390,20140404,17,PM2.5,10.0
396,20140404,18,PCA,-33.74227074830883
396,20140404,18,PM2.5,13.0
402,20140404,19,PCA,-32.286437955029704
402,20140404,19,PM2.5,13.0
408,20140404,20,PCA,-30.844186173957063
408,20140404,20,PM2.5,13.0
414,20140404,21,PCA,-33.404367435421975
414,20140404,21,PM2.5,8.0
420,20140404,22,PCA,-33.33010158060282
420,20140404,22,PM2.5,8.0
426,20140404,23,PCA,-33.2961490500866
426,20140404,23,PM2.5,8.0
432,20140405,0,PCA,-33.27577753177687
432,20140405,0,PM2.5,8.0
438,20140405,1,PCA,-33.322986676044515
438,20140405,1,PM2.5,9.0
444,20140405,2,PCA,-37.426523199359124
444,20140405,2,PM2.5,5.0
450,20140405,3,PCA,-38.27601990894695
450,20140405,3,PM2.5,7.0
456,20140405,4,PCA,-39.630319509132484
456,20140405,4,PM2.5,6.0
462,20140405,5,PCA,-40.889552023872604
462,20140405,5,PM2.5,5.0
468,20140405,6,PCA,-39.13909763074126
468,20140405,6,PM2.5,9.0
474,20140405,7,PCA,-39.77280636656849
474,20140405,7,PM2.5,9.0
480,20140405,8,PCA,-38.70866590882417
480,20140405,8,PM2.5,13.0
486,20140405,9,PCA,-43.254366268575055
486,20140405,9,PM2.5,8.0
492,20140405,10,PCA,-45.859372750442304
492,20140405,10,PM2.5,6.0
498,20140405,11,PCA,-49.14788111272789
498,20140405,11,PM2.5,5.0
504,20140405,12,PCA,-47.92195233159384
504,20140405,12,PM2.5,8.0
510,20140405,13,PCA,-48.512428793074825
510,20140405,13,PM2.5,9.0
516,20140405,14,PCA,-45.73364592166747
516,20140405,14,PM2.5,14.0
522,20140405,15,PCA,-46.667012628359515
522,20140405,15,PM2.5,14.0
528,20140405,16,PCA,-50.71018870751655
528,20140405,16,PM2.5,9.0
534,20140405,17,PCA,-48.170484278222844
534,20140405,17,PM2.5,15.0
540,20140405,18,PCA,-55.02368743698306
540,20140405,18,PM2.5,8.0
546,20140405,19,PCA,-54.67355796521675
546,20140405,19,PM2.5,13.0
552,20140405,20,PCA,-40.82517836312975
552,20140405,20,PM2.5,26.0
558,20140405,21,PCA,-26.784177365618284
558,20140405,21,PM2.5,41.0
564,20140405,22,PCA,-31.093183639100804
564,20140405,22,PM2.5,35.0
570,20140405,23,PCA,-34.4166461374348
570,20140405,23,PM2.5,30.0
576,20140406,0,PCA,-36.31164806264562
576,20140406,0,PM2.5,25.0
582,20140406,1,PCA,-47.252756527934324
582,20140406,1,PM2.5,15.0
588,20140406,2,PCA,-50.55196338744073
588,20140406,2,PM2.5,8.0
594,20140406,3,PCA,-46.669392957818495
594,20140406,3,PM2.5,12.0
600,20140406,4,PCA,-41.57749945515348
600,20140406,4,PM2.5,21.0
606,20140406,5,PCA,-35.34863052579375
606,20140406,5,PM2.5,28.0
612,20140406,6,PCA,-33.61545818387085
612,20140406,6,PM2.5,27.0
618,20140406,7,PCA,-34.64928803130049
618,20140406,7,PM2.5,26.0
624,20140406,8,PCA,-35.26920512719828
624,20140406,8,PM2.5,24.0
630,20140406,9,PCA,-30.016817300557484
630,20140406,9,PM2.5,28.0
636,20140406,10,PCA,-37.47582191118719
636,20140406,10,PM2.5,24.0
642,20140406,11,PCA,-39.898337039463875
642,20140406,11,PM2.5,20.5
648,20140406,12,PCA,-41.59293577110099
648,20140406,12,PM2.5,17.0
654,20140406,13,PCA,-29.90263985556494
654,20140406,13,PM2.5,31.0
660,20140406,14,PCA,-32.12336216429737
660,20140406,14,PM2.5,28.0
666,20140406,15,PCA,-28.6389711991867
666,20140406,15,PM2.5,34.0
672,20140406,16,PCA,-30.252187314830813
672,20140406,16,PM2.5,32.0
678,20140406,17,PCA,-22.078742400262733
678,20140406,17,PM2.5,41.0
684,20140408,10,PCA,164.3451317336784
684,20140408,10,PM2.5,188.0
690,20140408,11,PCA,175.39683203810395
690,20140408,11,PM2.5,197.0
696,20140408,12,PCA,194.2758748040015
696,20140408,12,PM2.5,217.0
702,20140408,13,PCA,199.77757627187373
702,20140408,13,PM2.5,224.0
708,20140408,14,PCA,221.24458566874628
708,20140408,14,PM2.5,242.0
714,20140408,15,PCA,245.17799193491052
714,20140408,15,PM2.5,260.0
720,20140408,16,PCA,218.45735753950996
720,20140408,16,PM2.5,222.0
726,20140408,17,PCA,199.48325017027705
726,20140408,17,PM2.5,200.0
732,20140408,18,PCA,200.5549644613971
732,20140408,18,PM2.5,197.0
738,20140408,19,PCA,204.9345387943242
738,20140408,19,PM2.5,197.0
744,20140408,20,PCA,194.30386577882763
744,20140408,20,PM2.5,181.0
750,20140408,21,PCA,189.1794137644775
750,20140408,21,PM2.5,173.0
756,20140408,22,PCA,187.67170929306164
756,20140408,22,PM2.5,169.0
762,20140408,23,PCA,194.9025077571076
762,20140408,23,PM2.5,177.0
768,20140409,0,PCA,196.25184101431748
768,20140409,0,PM2.5,177.0
774,20140409,1,PCA,200.17115817052238
774,20140409,1,PM2.5,181.0
780,20140409,2,PCA,204.1006144951904
780,20140409,2,PM2.5,186.0
786,20140409,3,PCA,191.79600330430742
786,20140409,3,PM2.5,165.0
792,20140409,4,PCA,201.04209803198918
792,20140409,4,PM2.5,178.0
798,20140409,5,PCA,201.1098909035027
798,20140409,5,PM2.5,176.0
804,20140409,6,PCA,208.87200706686235
804,20140409,6,PM2.5,186.0
810,20140409,7,PCA,210.69724491406865
810,20140409,7,PM2.5,186.0
816,20140409,8,PCA,216.0275575106724
816,20140409,8,PM2.5,192.0
822,20140409,9,PCA,220.56072668838544
822,20140409,9,PM2.5,197.0
828,20140409,10,PCA,221.62057969388692
828,20140409,10,PM2.5,199.0
834,20140409,11,PCA,209.00995060231236
834,20140409,11,PM2.5,174.0
840,20140409,12,PCA,195.08312204062236
840,20140409,12,PM2.5,167.0
846,20140409,13,PCA,110.40918372572288
846,20140409,13,PM2.5,52.0
852,20140409,14,PCA,185.62722128665223
852,20140409,14,PM2.5,170.0
858,20140409,15,PCA,114.45102395968829
858,20140409,15,PM2.5,71.0
864,20140409,16,PCA,86.36135662019998
864,20140409,16,PM2.5,37.0
870,20140409,17,PCA,80.40015579960829
870,20140409,17,PM2.5,36.0
876,20140409,18,PCA,89.31935153392365
876,20140409,18,PM2.5,55.0
882,20140409,19,PCA,86.8784309935854
882,20140409,19,PM2.5,59.0
888,20140409,20,PCA,85.80539106563916
888,20140409,20,PM2.5,64.0
894,20140409,21,PCA,93.66281856557755
894,20140409,21,PM2.5,78.0
900,20140409,22,PCA,99.14849182617367
900,20140409,22,PM2.5,90.0
906,20140409,23,PCA,89.81457082081485
906,20140409,23,PM2.5,82.0
912,20140410,0,PCA,85.45816421545716
912,20140410,0,PM2.5,81.0
918,20140410,1,PCA,98.79366236830803
918,20140410,1,PM2.5,103.0
924,20140410,2,PCA,96.18025500735922
924,20140410,2,PM2.5,102.0
930,20140410,3,PCA,100.91588989352276
930,20140410,3,PM2.5,107.0
936,20140410,4,PCA,105.61151483250988
936,20140410,4,PM2.5,110.0
942,20140410,5,PCA,100.43736285495211
942,20140410,5,PM2.5,101.0
948,20140410,6,PCA,94.62163470745044
948,20140410,6,PM2.5,91.0
954,20140410,7,PCA,94.88118998173529
954,20140410,7,PM2.5,89.0
960,20140410,8,PCA,101.30892934276721
960,20140410,8,PM2.5,94.0
966,20140410,9,PCA,123.0674012023256
966,20140410,9,PM2.5,113.0
972,20140410,10,PCA,121.08463627064202
972,20140410,10,PM2.5,106.0
978,20140410,11,PCA,111.19631735817819
978,20140410,11,PM2.5,86.0
996,20140410,14,PCA,110.95489452546164
996,20140410,14,PM2.5,49.0
1002,20140410,15,PCA,142.32812825165846
1002,20140410,15,PM2.5,80.0
1008,20140410,16,PCA,139.79043802386667
1008,20140410,16,PM2.5,66.0
1014,20140410,17,PCA,138.8281467008004
1014,20140410,17,PM2.5,58.0
1020,20140410,18,PCA,129.17504349842216
1020,20140410,18,PM2.5,49.0
1026,20140410,19,PCA,126.75950634405204
1026,20140410,19,PM2.5,53.0
1032,20140410,20,PCA,125.79980198296109
1032,20140410,20,PM2.5,57.0
1038,20140410,21,PCA,120.70846244979074
1038,20140410,21,PM2.5,60.0
1044,20140410,22,PCA,116.0063899793109
1044,20140410,22,PM2.5,64.0
1050,20140410,23,PCA,119.1720684891827
1050,20140410,23,PM2.5,76.0
1056,20140411,0,PCA,109.93978886793204
1056,20140411,0,PM2.5,61.0
1062,20140411,1,PCA,98.55999275061397
1062,20140411,1,PM2.5,60.0
1068,20140411,2,PCA,89.71794040736337
1068,20140411,2,PM2.5,58.0
1074,20140411,3,PCA,88.05235761686849
1074,20140411,3,PM2.5,60.0
1080,20140411,4,PCA,78.9562270659069
1080,20140411,4,PM2.5,54.0
1086,20140411,5,PCA,81.86232484968087
1086,20140411,5,PM2.5,59.0
1092,20140411,6,PCA,87.51000962584762
1092,20140411,6,PM2.5,67.0
1098,20140411,7,PCA,83.49178780163972
1098,20140411,7,PM2.5,68.0
1104,20140411,8,PCA,66.4818782187007
1104,20140411,8,PM2.5,52.0
1110,20140411,9,PCA,53.77742731965937
1110,20140411,9,PM2.5,46.0
1116,20140411,10,PCA,22.37654917373037
1116,20140411,10,PM2.5,23.0
1122,20140411,11,PCA,19.229609835507723
1122,20140411,11,PM2.5,30.0
1128,20140411,12,PCA,19.218737145621617
1128,20140411,12,PM2.5,33.0
1134,20140411,13,PCA,15.706990955297274
1134,20140411,13,PM2.5,32.0
1140,20140411,14,PCA,10.277430651261223
1140,20140411,14,PM2.5,33.0
1146,20140411,15,PCA,18.618654008288622
1146,20140411,15,PM2.5,52.0
1152,20140411,16,PCA,24.774690413871085
1152,20140411,16,PM2.5,62.0
1158,20140411,17,PCA,28.765928381260633
1158,20140411,17,PM2.5,68.0
1164,20140411,18,PCA,33.413076060359046
1164,20140411,18,PM2.5,75.0
1170,20140411,19,PCA,22.35996229698696
1170,20140411,19,PM2.5,63.0
1176,20140411,20,PCA,17.65505718218988
1176,20140411,20,PM2.5,61.0
1182,20140411,21,PCA,9.000106289054651
1182,20140411,21,PM2.5,55.0
1188,20140411,22,PCA,8.256785866314187
1188,20140411,22,PM2.5,59.0
1194,20140411,23,PCA,7.192559102843824
1194,20140411,23,PM2.5,60.0
1200,20140412,0,PCA,8.101366793581834
1200,20140412,0,PM2.5,64.0
1206,20140412,1,PCA,6.875457020583228
1206,20140412,1,PM2.5,65.0
1212,20140412,2,PCA,5.938953860467421
1212,20140412,2,PM2.5,63.0
1218,20140412,3,PCA,7.463463252472845
1218,20140412,3,PM2.5,67.0
1224,20140412,4,PCA,3.027374147655225
1224,20140412,4,PM2.5,60.0
1230,20140412,5,PCA,4.169757330140081
1230,20140412,5,PM2.5,62.0
1236,20140412,6,PCA,0.4507119320759264
1236,20140412,6,PM2.5,58.0
1242,20140412,7,PCA,3.132368192627625
1242,20140412,7,PM2.5,62.0
1248,20140412,8,PCA,-0.213507490524146
1248,20140412,8,PM2.5,57.0
1254,20140412,9,PCA,13.483108988726025
1254,20140412,9,PM2.5,72.0
1260,20140412,10,PCA,27.907641864615766
1260,20140412,10,PM2.5,87.0
1266,20140412,11,PCA,30.557491425787536
1266,20140412,11,PM2.5,87.0
1272,20140412,12,PCA,31.552523559295864
1272,20140412,12,PM2.5,88.0
1278,20140412,13,PCA,48.48623781042663
1278,20140412,13,PM2.5,106.0
1284,20140412,14,PCA,62.12417164844744
1284,20140412,14,PM2.5,118.0
1290,20140412,15,PCA,69.27747304165382
1290,20140412,15,PM2.5,125.0
1296,20140412,16,PCA,52.07472862323309
1296,20140412,16,PM2.5,105.0
1302,20140412,17,PCA,51.62070104264328
1302,20140412,17,PM2.5,103.0
1308,20140412,18,PCA,46.32851792293531
1308,20140412,18,PM2.5,93.0
1314,20140412,19,PCA,48.81796306026368
1314,20140412,19,PM2.5,93.0
1320,20140412,20,PCA,52.80008652281906
1320,20140412,20,PM2.5,96.0
1326,20140412,21,PCA,54.90622234479196
1326,20140412,21,PM2.5,98.0
1332,20140412,22,PCA,56.56632277426867
1332,20140412,22,PM2.5,100.0
1338,20140412,23,PCA,62.07314663988082
1338,20140412,23,PM2.5,105.5
1344,20140413,0,PCA,67.57997050549295
1344,20140413,0,PM2.5,111.0
1350,20140413,1,PCA,59.67102247362567
1350,20140413,1,PM2.5,97.0
1356,20140413,2,PCA,65.17024398697794
1356,20140413,2,PM2.5,99.0
1362,20140413,3,PCA,63.41538099841551
1362,20140413,3,PM2.5,98.0
1368,20140413,4,PCA,61.88408066832688
1368,20140413,4,PM2.5,96.0
1374,20140413,5,PCA,63.26876663328836
1374,20140413,5,PM2.5,95.0
1380,20140413,6,PCA,63.56906494419269
1380,20140413,6,PM2.5,93.0
1386,20140413,7,PCA,66.36183953198764
1386,20140413,7,PM2.5,94.0
1392,20140413,8,PCA,81.94707951856161
1392,20140413,8,PM2.5,114.0
1398,20140413,9,PCA,93.55564759252239
1398,20140413,9,PM2.5,125.0
1404,20140413,10,PCA,109.00237114790421
1404,20140413,10,PM2.5,141.0
1410,20140413,11,PCA,116.22132372669887
1410,20140413,11,PM2.5,149.0
1416,20140413,12,PCA,130.12081643778475
1416,20140413,12,PM2.5,169.0
1422,20140413,13,PCA,140.93432570291677
1422,20140413,13,PM2.5,182.0
1428,20140413,14,PCA,157.82763186714794
1428,20140413,14,PM2.5,201.0
1434,20140413,15,PCA,149.94680988093498
1434,20140413,15,PM2.5,181.0
1440,20140413,16,PCA,168.83868112948056
1440,20140413,16,PM2.5,201.0
1446,20140413,17,PCA,157.6729189320334
1446,20140413,17,PM2.5,191.0
1452,20140413,18,PCA,146.96601414967094
1452,20140413,18,PM2.5,170.0
1458,20140413,19,PCA,157.00852571831712
1458,20140413,19,PM2.5,179.0
1464,20140413,20,PCA,149.72701995910708
1464,20140413,20,PM2.5,166.0
1470,20140413,21,PCA,220.82874889323838
1470,20140413,21,PM2.5,264.0
1476,20140413,22,PCA,171.82126707743035
1476,20140413,22,PM2.5,185.0
1482,20140413,23,PCA,148.61636664431924
1482,20140413,23,PM2.5,147.0
1488,20140414,0,PCA,147.50512235616878
1488,20140414,0,PM2.5,143.0
1494,20140414,1,PCA,158.5260024382908
1494,20140414,1,PM2.5,155.0
1500,20140414,2,PCA,184.42855810936686
1500,20140414,2,PM2.5,191.0
1506,20140414,3,PCA,191.99027088495149
1506,20140414,3,PM2.5,197.0
1512,20140414,4,PCA,201.50927226326627
1512,20140414,4,PM2.5,206.0
1518,20140414,5,PCA,209.935903519488
1518,20140414,5,PM2.5,213.0
1524,20140414,6,PCA,220.90083629732163
1524,20140414,6,PM2.5,223.0
1530,20140414,7,PCA,228.54996622761536
1530,20140414,7,PM2.5,229.0
1536,20140414,8,PCA,240.2361293786398
1536,20140414,8,PM2.5,239.0
1542,20140414,9,PCA,260.8177470619813
1542,20140414,9,PM2.5,264.0
1548,20140414,10,PCA,259.65850881015814
1548,20140414,10,PM2.5,253.0
1554,20140414,11,PCA,315.6932290914448
1554,20140414,11,PM2.5,327.0
1560,20140414,12,PCA,332.5655023759981
1560,20140414,12,PM2.5,345.0
1566,20140414,13,PCA,320.64075463034067
1566,20140414,13,PM2.5,325.0
1572,20140414,14,PCA,316.93365082528555
1572,20140414,14,PM2.5,313.0
1578,20140414,15,PCA,337.04132223776685
1578,20140414,15,PM2.5,335.0
1584,20140414,16,PCA,353.2542994615179
1584,20140414,16,PM2.5,346.0
1590,20140414,17,PCA,354.25771018472136
1590,20140414,17,PM2.5,339.0
1596,20140414,18,PCA,338.80353640790014
1596,20140414,18,PM2.5,314.0
1602,20140414,19,PCA,321.76876811468077
1602,20140414,19,PM2.5,287.0
1608,20140414,20,PCA,303.4640873856558
1608,20140414,20,PM2.5,259.0
1614,20140414,21,PCA,297.4822590951232
1614,20140414,21,PM2.5,251.0
1620,20140414,22,PCA,302.71092587713446
1620,20140414,22,PM2.5,258.0
1626,20140414,23,PCA,311.9636852077093
1626,20140414,23,PM2.5,267.0
1632,20140415,0,PCA,318.00606671122034
1632,20140415,0,PM2.5,271.0
1638,20140415,1,PCA,324.1693881876401
1638,20140415,1,PM2.5,275.0
1644,20140415,2,PCA,329.6379811359
1644,20140415,2,PM2.5,278.0
1650,20140415,3,PCA,332.8397142647293
1650,20140415,3,PM2.5,278.0
1656,20140415,4,PCA,312.101212282123
1656,20140415,4,PM2.5,241.0
1662,20140415,5,PCA,332.028762993039
1662,20140415,5,PM2.5,270.0
1818,20140416,7,PCA,-20.082393286753494
1818,20140416,7,PM2.5,36.0
1824,20140416,8,PCA,-9.521017419815214
1824,20140416,8,PM2.5,50.0
1830,20140416,9,PCA,34.181045486982555
1830,20140416,9,PM2.5,99.0
1836,20140416,10,PCA,31.20690337903061
1836,20140416,10,PM2.5,83.5
1842,20140416,11,PCA,28.232761271078665
1842,20140416,11,PM2.5,68.0
1848,20140416,12,PCA,7.59325665442197
1848,20140416,12,PM2.5,44.0
1854,20140416,13,PCA,15.705667909066864
1854,20140416,13,PM2.5,73.0
1860,20140416,14,PCA,8.51084549786967
1860,20140416,14,PM2.5,57.0
1866,20140416,15,PCA,14.663848750696712
1866,20140416,15,PM2.5,65.0
1872,20140416,16,PCA,20.504327101760015
1872,20140416,16,PM2.5,67.0
1878,20140416,17,PCA,22.00102768563548
1878,20140416,17,PM2.5,68.0
1884,20140416,18,PCA,31.460632641033968
1884,20140416,18,PM2.5,72.0
1890,20140416,19,PCA,25.061973080906125
1890,20140416,19,PM2.5,62.0
1896,20140416,20,PCA,18.25576800671063
1896,20140416,20,PM2.5,58.0
1902,20140416,21,PCA,15.644294985215248
1902,20140416,21,PM2.5,59.0
1908,20140416,22,PCA,16.09617515345557
1908,20140416,22,PM2.5,64.0
1914,20140416,23,PCA,16.798436166012188
1914,20140416,23,PM2.5,65.0
1920,20140417,0,PCA,10.096234514501647
1920,20140417,0,PM2.5,57.0
1926,20140417,1,PCA,-2.18731992610387
1926,20140417,1,PM2.5,45.0
1932,20140417,2,PCA,-9.772091952969976
1932,20140417,2,PM2.5,41.0
1938,20140417,3,PCA,3.3976463658328364
1938,20140417,3,PM2.5,59.0
1944,20140417,4,PCA,24.740803283430857
1944,20140417,4,PM2.5,81.0
1950,20140417,5,PCA,29.86778951095896
1950,20140417,5,PM2.5,77.0
1956,20140417,6,PCA,44.49578794114425
1956,20140417,6,PM2.5,83.0
1962,20140417,7,PCA,48.79860516833219
1962,20140417,7,PM2.5,83.0
1968,20140417,8,PCA,38.75583027559856
1968,20140417,8,PM2.5,75.0
1974,20140417,9,PCA,56.175770519126914
1974,20140417,9,PM2.5,97.0
1980,20140417,10,PCA,55.613724629659906
1980,20140417,10,PM2.5,93.0
1986,20140417,11,PCA,66.31499122123275
1986,20140417,11,PM2.5,103.0
1992,20140417,12,PCA,67.15843094614031
1992,20140417,12,PM2.5,97.0
1998,20140417,13,PCA,70.87563961661893
1998,20140417,13,PM2.5,103.0
2004,20140417,14,PCA,63.544593934002584
2004,20140417,14,PM2.5,94.0
2010,20140417,15,PCA,61.66396724243483
2010,20140417,15,PM2.5,94.0
2016,20140417,16,PCA,65.97469078397033
2016,20140417,16,PM2.5,99.0
2022,20140417,17,PCA,63.039008148112266
2022,20140417,17,PM2.5,96.0
2028,20140417,18,PCA,62.41809348945077
2028,20140417,18,PM2.5,94.0
2034,20140417,19,PCA,52.43815286487243
2034,20140417,19,PM2.5,82.0
2040,20140417,20,PCA,66.41438640400841
2040,20140417,20,PM2.5,102.0
2046,20140417,21,PCA,70.06550888213793
2046,20140417,21,PM2.5,105.0
2052,20140417,22,PCA,74.43714285937592
2052,20140417,22,PM2.5,108.0
2058,20140417,23,PCA,79.86670316341198
2058,20140417,23,PM2.5,107.0
2064,20140418,0,PCA,87.21013915948917
2064,20140418,0,PM2.5,112.0
2070,20140418,1,PCA,90.29201453786735
2070,20140418,1,PM2.5,115.0
2076,20140418,2,PCA,90.09550171428756
2076,20140418,2,PM2.5,114.0
2082,20140418,3,PCA,92.62375310360889
2082,20140418,3,PM2.5,115.0
2088,20140418,4,PCA,96.86677122859014
2088,20140418,4,PM2.5,120.0
2094,20140418,5,PCA,101.48166463708988
2094,20140418,5,PM2.5,122.0
2100,20140418,6,PCA,113.17246400621059
2100,20140418,6,PM2.5,132.0
2106,20140418,7,PCA,124.86860716623889
2106,20140418,7,PM2.5,140.0
2112,20140418,8,PCA,139.88973328106496
2112,20140418,8,PM2.5,151.0
2118,20140418,9,PCA,166.58053313593027
2118,20140418,9,PM2.5,171.0
2124,20140418,10,PCA,187.8250309185497
2124,20140418,10,PM2.5,184.0
2130,20140418,11,PCA,207.76987639903143
2130,20140418,11,PM2.5,194.0
2136,20140418,12,PCA,207.94123938650702
2136,20140418,12,PM2.5,188.0
2286,20140419,13,PCA,14.332050279965314
2286,20140419,13,PM2.5,63.0
2292,20140419,14,PCA,-12.388535197120607
2292,20140419,14,PM2.5,34.0
2298,20140419,15,PCA,1.5942940661047267
2298,20140419,15,PM2.5,58.0
2304,20140419,16,PCA,-4.431606483291846
2304,20140419,16,PM2.5,51.0
2310,20140419,17,PCA,-2.179808470228405
2310,20140419,17,PM2.5,56.0
2316,20140419,18,PCA,8.134793699951594
2316,20140419,18,PM2.5,62.0
2322,20140419,19,PCA,13.59963253849112
2322,20140419,19,PM2.5,66.0
2328,20140419,20,PCA,3.900906262243808
2328,20140419,20,PM2.5,51.0
2334,20140419,21,PCA,-0.28703413511983983
2334,20140419,21,PM2.5,49.0
2340,20140419,22,PCA,9.942132556905927
2340,20140419,22,PM2.5,65.0
2346,20140419,23,PCA,-5.27294297052501
2346,20140419,23,PM2.5,48.0
2352,20140420,0,PCA,-3.4226905112552477
2352,20140420,0,PM2.5,51.0
2358,20140420,1,PCA,0.01565612454049513
2358,20140420,1,PM2.5,55.0
2364,20140420,2,PCA,12.889065694722937
2364,20140420,2,PM2.5,72.0
2370,20140420,3,PCA,22.079614102239802
2370,20140420,3,PM2.5,78.0
2376,20140420,4,PCA,14.670919048599991
2376,20140420,4,PM2.5,62.0
2382,20140420,5,PCA,14.345911083971837
2382,20140420,5,PM2.5,60.0
2388,20140420,6,PCA,16.349461519397334
2388,20140420,6,PM2.5,66.0
2394,20140420,7,PCA,-6.416217582216275
2394,20140420,7,PM2.5,45.0
2400,20140420,8,PCA,-25.265161514755295
2400,20140420,8,PM2.5,27.0
2406,20140420,9,PCA,-28.512576126193473
2406,20140420,9,PM2.5,32.0
2412,20140420,10,PCA,-39.521938635524876
2412,20140420,10,PM2.5,28.0
2418,20140420,11,PCA,-65.36414673011834
2418,20140420,11,PM2.5,7.0
2424,20140420,12,PCA,-69.24864137990917
2424,20140420,12,PM2.5,3.0
2430,20140420,13,PCA,-69.86068132163254
2430,20140420,13,PM2.5,3.0
2436,20140420,14,PCA,-69.01688847007676
2436,20140420,14,PM2.5,3.0
2442,20140420,15,PCA,-53.67055338451759
2442,20140420,15,PM2.5,25.0
2448,20140420,16,PCA,-53.49022400698662
2448,20140420,16,PM2.5,23.5
2454,20140420,17,PCA,-54.401769224415006
2454,20140420,17,PM2.5,22.0
2460,20140420,18,PCA,-54.97123382754676
2460,20140420,18,PM2.5,21.0
2466,20140420,19,PCA,-55.072337308323824
2466,20140420,19,PM2.5,22.0
2472,20140420,20,PCA,-61.03819864959151
2472,20140420,20,PM2.5,15.0
2478,20140420,21,PCA,-29.328286795936734
2478,20140420,21,PM2.5,38.0
2484,20140420,22,PCA,-35.20299465047608
2484,20140420,22,PM2.5,26.0
2616,20140422,4,PCA,-62.814826458041516
2616,20140422,4,PM2.5,18.0
2622,20140422,5,PCA,-64.93778549148608
2622,20140422,5,PM2.5,17.0
2628,20140422,6,PCA,-62.60699222412369
2628,20140422,6,PM2.5,20.0
