,date,hour,type,农展馆
86724,20151208,7,PM2.5,225.0
86730,20151208,8,PCA,235.84945395270105
86730,20151208,8,PM2.5,232.0
86736,20151208,9,PCA,235.2897159799182
86736,20151208,9,PM2.5,228.0
86742,20151208,10,PCA,225.52227311335022
86742,20151208,10,PM2.5,211.0
86748,20151208,11,PCA,240.87160282397545
86748,20151208,11,PM2.5,230.0
86754,20151208,12,PCA,297.6362628706814
86754,20151208,12,PM2.5,307.0
86760,20151208,13,PCA,327.3683060445082
86760,20151208,13,PM2.5,341.0
86766,20151208,14,PCA,319.99199623041017
86766,20151208,14,PM2.5,322.0
86772,20151208,15,PCA,330.98784009815705
86772,20151208,15,PM2.5,333.0
86778,20151208,16,PCA,308.8660750062292
86778,20151208,16,PM2.5,298.0
86784,20151208,17,PCA,310.0623020942559
86784,20151208,17,PM2.5,295.0
86790,20151208,18,PCA,351.770539366795
86790,20151208,18,PM2.5,350.0
86796,20151208,19,PCA,347.16859552206427
86796,20151208,19,PM2.5,341.0
86802,20151208,20,PCA,312.4046292020129
86802,20151208,20,PM2.5,289.0
86808,20151208,21,PCA,304.2890145922956
86808,20151208,21,PM2.5,275.0
86814,20151208,22,PCA,300.4183319976417
86814,20151208,22,PM2.5,265.0
86820,20151208,23,PCA,313.03643562685767
86820,20151208,23,PM2.5,279.0
86826,20151209,0,PCA,316.6293765450972
86826,20151209,0,PM2.5,285.0
86832,20151209,1,PCA,316.3853768323837
86832,20151209,1,PM2.5,282.0
86838,20151209,2,PCA,313.23520794526576
86838,20151209,2,PM2.5,268.0
86844,20151209,3,PCA,316.74613148913653
86844,20151209,3,PM2.5,268.0
86850,20151209,4,PCA,310.482045815506
86850,20151209,4,PM2.5,252.0
86856,20151209,5,PCA,305.3035339244604
86856,20151209,5,PM2.5,245.0
86862,20151209,6,PCA,310.0785524687441
86862,20151209,6,PM2.5,252.0
86868,20151209,7,PCA,315.05453104586127
86868,20151209,7,PM2.5,256.0
86874,20151209,8,PCA,299.1845277360961
86874,20151209,8,PM2.5,233.0
86880,20151209,9,PCA,293.3431286613444
86880,20151209,9,PM2.5,225.0
86886,20151209,10,PCA,305.0973612090281
86886,20151209,10,PM2.5,242.0
86892,20151209,11,PCA,317.1128225816917
86892,20151209,11,PM2.5,259.0
86898,20151209,12,PCA,329.1282839543551
86898,20151209,12,PM2.5,276.0
86904,20151209,13,PCA,324.80744090336003
86904,20151209,13,PM2.5,273.0
86910,20151209,14,PCA,327.08494751093923
86910,20151209,14,PM2.5,278.0
86916,20151209,15,PCA,333.0948590570542
86916,20151209,15,PM2.5,288.0
86922,20151209,16,PCA,331.45346990180514
86922,20151209,16,PM2.5,285.0
86928,20151209,17,PCA,341.49527495493476
86928,20151209,17,PM2.5,297.0
86934,20151209,18,PCA,345.1779036779207
86934,20151209,18,PM2.5,301.0
86940,20151209,19,PCA,346.19188916454465
86940,20151209,19,PM2.5,304.0
86946,20151209,20,PCA,353.0987162990713
86946,20151209,20,PM2.5,315.0
86952,20151209,21,PCA,365.65242447712956
86952,20151209,21,PM2.5,329.0
86958,20151209,22,PCA,383.39577764201783
86958,20151209,22,PM2.5,353.0
86964,20151209,23,PCA,370.8227038603182
86964,20151209,23,PM2.5,334.0
86970,20151210,0,PCA,306.85442365929293
86970,20151210,0,PM2.5,253.0
86976,20151210,1,PCA,299.77875948437384
86976,20151210,1,PM2.5,246.0
86982,20151210,2,PCA,301.1200217150113
86982,20151210,2,PM2.5,249.0
86988,20151210,3,PCA,299.15743511596696
86988,20151210,3,PM2.5,248.0
86994,20151210,4,PCA,309.384007154521
86994,20151210,4,PM2.5,262.0
87000,20151210,5,PCA,294.75710628849237
87000,20151210,5,PM2.5,240.0
87006,20151210,6,PCA,285.7553392302875
87006,20151210,6,PM2.5,229.0
87012,20151210,7,PCA,277.721409549266
87012,20151210,7,PM2.5,218.0
87018,20151210,8,PCA,250.64756206188792
87018,20151210,8,PM2.5,182.0
87024,20151210,9,PCA,189.4693944119119
87024,20151210,9,PM2.5,103.0
87030,20151210,10,PCA,151.4971209250144
87030,20151210,10,PM2.5,68.0
87036,20151210,11,PCA,125.898971669342
87036,20151210,11,PM2.5,49.0
87042,20151210,12,PCA,104.37554510263243
87042,20151210,12,PM2.5,33.0
87048,20151210,13,PCA,93.41491275765863
87048,20151210,13,PM2.5,28.0
87054,20151210,14,PCA,82.45097795332387
87054,20151210,14,PM2.5,23.0
87060,20151210,15,PCA,73.38512154174673
87060,20151210,15,PM2.5,22.0
87066,20151210,16,PCA,69.75198348975965
87066,20151210,16,PM2.5,21.0
87072,20151210,17,PCA,69.20953713763056
87072,20151210,17,PM2.5,22.0
87078,20151210,18,PCA,66.0303763384958
87078,20151210,18,PM2.5,22.0
87084,20151210,19,PCA,61.330647727547706
87084,20151210,19,PM2.5,23.0
87090,20151210,20,PCA,65.56293654064693
87090,20151210,20,PM2.5,35.0
87096,20151210,21,PCA,41.207048693624486
87096,20151210,21,PM2.5,24.0
87102,20151210,22,PCA,23.51930616226537
87102,20151210,22,PM2.5,27.0
87108,20151210,23,PCA,7.348765764842881
87108,20151210,23,PM2.5,21.0
87114,20151211,0,PCA,1.5189690901820039
87114,20151211,0,PM2.5,22.0
87120,20151211,1,PCA,-8.712998273760883
87120,20151211,1,PM2.5,19.0
87126,20151211,2,PCA,-14.664291998815234
87126,20151211,2,PM2.5,20.0
87132,20151211,3,PCA,-20.877582138124616
87132,20151211,3,PM2.5,17.0
87138,20151211,4,PCA,-29.196631897323805
87138,20151211,4,PM2.5,20.0
87144,20151211,5,PCA,-38.802014480276426
87144,20151211,5,PM2.5,19.0
87150,20151211,6,PCA,-39.95480294520074
87150,20151211,6,PM2.5,22.0
87156,20151211,7,PCA,-48.01994865743272
87156,20151211,7,PM2.5,19.0
87162,20151211,8,PCA,-54.30435952343746
87162,20151211,8,PM2.5,20.0
87168,20151211,9,PCA,-64.7318910340339
87168,20151211,9,PM2.5,16.0
87174,20151211,10,PCA,-74.12851218010711
87174,20151211,10,PM2.5,19.0
87180,20151211,11,PCA,-77.90419466785337
87180,20151211,11,PM2.5,20.0
87186,20151211,12,PCA,-81.9836475629539
87186,20151211,12,PM2.5,18.0
87192,20151211,13,PCA,-68.0954566625269
87192,20151211,13,PM2.5,37.0
87198,20151211,14,PCA,-71.98806044937967
87198,20151211,14,PM2.5,24.0
87204,20151211,15,PCA,-49.68520121518397
87204,20151211,15,PM2.5,32.0
87210,20151211,16,PCA,-14.03789104306018
87210,20151211,16,PM2.5,70.0
87216,20151211,17,PCA,-15.458180384620762
87216,20151211,17,PM2.5,73.0
87222,20151211,18,PCA,-13.30543336530153
87222,20151211,18,PM2.5,73.0
87228,20151211,19,PCA,-13.286799725268482
87228,20151211,19,PM2.5,73.0
87234,20151211,20,PCA,-11.406222974215128
87234,20151211,20,PM2.5,73.0
87240,20151211,21,PCA,-0.28261171207634095
87240,20151211,21,PM2.5,82.0
87246,20151211,22,PCA,13.48236975742443
87246,20151211,22,PM2.5,96.0
87252,20151211,23,PCA,19.442524585909048
87252,20151211,23,PM2.5,104.0
87258,20151212,0,PCA,33.83642047680212
87258,20151212,0,PM2.5,120.0
87264,20151212,1,PCA,41.076085634903166
87264,20151212,1,PM2.5,124.0
87270,20151212,2,PCA,90.98006944845132
87270,20151212,2,PM2.5,177.0
87276,20151212,3,PCA,108.63766241162274
87276,20151212,3,PM2.5,195.0
87282,20151212,4,PCA,121.33166280913451
87282,20151212,4,PM2.5,192.0
87288,20151212,5,PCA,102.14959819071872
87288,20151212,5,PM2.5,171.0
87294,20151212,6,PCA,80.13648174119761
87294,20151212,6,PM2.5,143.0
87300,20151212,7,PCA,52.80105403245933
87300,20151212,7,PM2.5,102.0
87306,20151212,8,PCA,33.294075154442766
87306,20151212,8,PM2.5,73.0
87312,20151212,9,PCA,19.993383197333806
87312,20151212,9,PM2.5,52.0
87318,20151212,10,PCA,24.779278149877275
87318,20151212,10,PM2.5,58.0
87324,20151212,11,PCA,2.491865840961316
87324,20151212,11,PM2.5,34.0
87330,20151212,12,PCA,10.398615230246326
87330,20151212,12,PM2.5,42.0
87336,20151212,13,PCA,22.15564274653084
87336,20151212,13,PM2.5,54.0
87342,20151212,14,PCA,33.241826185680516
87342,20151212,14,PM2.5,66.0
87348,20151212,15,PCA,35.26247581617214
87348,20151212,15,PM2.5,66.0
87354,20151212,16,PCA,43.824916323811706
87354,20151212,16,PM2.5,73.0
87360,20151212,17,PCA,169.0346760287269
87360,20151212,17,PM2.5,220.0
87366,20151212,18,PCA,219.0620536711868
87366,20151212,18,PM2.5,288.0
87372,20151212,19,PCA,179.24095842534453
87372,20151212,19,PM2.5,228.0
87378,20151212,20,PCA,199.64274863873504
87378,20151212,20,PM2.5,249.0
87384,20151212,21,PCA,241.3865272846653
87384,20151212,21,PM2.5,295.0
87390,20151212,22,PCA,292.86836692068016
87390,20151212,22,PM2.5,352.0
87396,20151212,23,PCA,317.7447351120799
87396,20151212,23,PM2.5,373.0
87402,20151213,0,PCA,380.64465811289296
87402,20151213,0,PM2.5,445.0
87408,20151213,1,PCA,342.0129955608347
87408,20151213,1,PM2.5,378.0
87414,20151213,2,PCA,341.6418546751171
87414,20151213,2,PM2.5,373.0
87420,20151213,3,PCA,307.70582136823106
87420,20151213,3,PM2.5,327.0
87426,20151213,4,PCA,278.46283023774873
87426,20151213,4,PM2.5,280.0
87432,20151213,5,PCA,213.38215778891137
87432,20151213,5,PM2.5,196.0
87438,20151213,6,PCA,157.826944615561
87438,20151213,6,PM2.5,122.0
87444,20151213,7,PCA,134.3023125487591
87444,20151213,7,PM2.5,90.0
87450,20151213,8,PCA,120.81341927762593
87450,20151213,8,PM2.5,72.0
87456,20151213,9,PCA,122.02058255101088
87456,20151213,9,PM2.5,73.0
87462,20151213,10,PCA,123.83072987971003
87462,20151213,10,PM2.5,74.0
87468,20151213,11,PCA,132.9456624216801
87468,20151213,11,PM2.5,83.0
87474,20151213,12,PCA,183.7554117275292
87474,20151213,12,PM2.5,144.0
87480,20151213,13,PCA,221.92629972733792
87480,20151213,13,PM2.5,186.0
87486,20151213,14,PCA,230.51618209505423
87486,20151213,14,PM2.5,190.0
87492,20151213,15,PCA,258.365640949638
87492,20151213,15,PM2.5,223.0
87498,20151213,16,PCA,263.23697038529974
87498,20151213,16,PM2.5,223.0
87504,20151213,17,PCA,246.7089443208457
87504,20151213,17,PM2.5,198.0
87510,20151213,18,PCA,234.62758679787834
87510,20151213,18,PM2.5,187.0
87516,20151213,19,PCA,244.0329463845099
87516,20151213,19,PM2.5,201.0
87522,20151213,20,PCA,250.0620063091175
87522,20151213,20,PM2.5,212.0
87528,20151213,21,PCA,256.2431519446341
87528,20151213,21,PM2.5,220.0
87534,20151213,22,PCA,290.6838368825749
87534,20151213,22,PM2.5,270.0
87540,20151213,23,PCA,299.1977137027119
87540,20151213,23,PM2.5,286.0
87546,20151214,0,PCA,247.31289732573393
87546,20151214,0,PM2.5,229.0
87552,20151214,1,PCA,241.9677949235762
87552,20151214,1,PM2.5,231.0
87558,20151214,2,PCA,217.27247725206166
87558,20151214,2,PM2.5,206.0
87564,20151214,3,PCA,211.73809910340432
87564,20151214,3,PM2.5,203.0
87570,20151214,4,PCA,208.22506181427067
87570,20151214,4,PM2.5,203.0
87576,20151214,5,PCA,204.77431929128926
87576,20151214,5,PM2.5,199.0
87582,20151214,6,PCA,256.6710853596956
87582,20151214,6,PM2.5,264.0
87588,20151214,7,PCA,272.9182790481866
87588,20151214,7,PM2.5,279.0
87594,20151214,8,PCA,300.7244590988592
87594,20151214,8,PM2.5,308.0
87600,20151214,9,PCA,311.3007344527161
87600,20151214,9,PM2.5,312.0
87606,20151214,10,PCA,333.66571425764675
87606,20151214,10,PM2.5,332.0
87612,20151214,11,PCA,371.3390227809698
87612,20151214,11,PM2.5,374.0
87618,20151214,12,PCA,295.3908348684754
87618,20151214,12,PM2.5,266.0
87636,20151214,15,PCA,87.96908299073822
87636,20151214,15,PM2.5,25.0
87642,20151214,16,PCA,81.45407422180125
87642,20151214,16,PM2.5,22.0
87648,20151214,17,PCA,78.45344050714043
87648,20151214,17,PM2.5,23.0
87654,20151214,18,PCA,75.45158528541391
87654,20151214,18,PM2.5,21.0
87660,20151214,19,PCA,67.58806104559983
87660,20151214,19,PM2.5,14.0
87666,20151214,20,PCA,60.282639424806376
87666,20151214,20,PM2.5,16.0
87672,20151214,21,PCA,49.611642618578166
87672,20151214,21,PM2.5,14.0
87678,20151214,22,PCA,38.18868481933077
87678,20151214,22,PM2.5,11.0
87684,20151214,23,PCA,31.134111110552023
87684,20151214,23,PM2.5,11.0
87690,20151215,0,PCA,17.568805638754235
87690,20151215,0,PM2.5,6.0
87696,20151215,1,PCA,10.896635685209223
87696,20151215,1,PM2.5,7.0
87702,20151215,2,PCA,4.243169201811911
87702,20151215,2,PM2.5,11.0
87708,20151215,3,PCA,-9.718142826666153
87708,20151215,3,PM2.5,4.0
87714,20151215,4,PCA,-15.451047591644684
87714,20151215,4,PM2.5,8.0
87720,20151215,5,PCA,-24.599447574385152
87720,20151215,5,PM2.5,4.0
87726,20151215,6,PCA,-31.13243688668911
87726,20151215,6,PM2.5,8.0
87732,20151215,7,PCA,-41.91696899942459
87732,20151215,7,PM2.5,5.0
87738,20151215,8,PCA,-50.518846655662955
87738,20151215,8,PM2.5,4.0
87744,20151215,9,PCA,-61.484817079549835
87744,20151215,9,PM2.5,4.0
87750,20151215,10,PCA,-76.92745230410864
87750,20151215,10,PM2.5,5.0
87756,20151215,11,PCA,-91.41200495807489
87756,20151215,11,PM2.5,6.0
87762,20151215,12,PCA,-100.57282500366249
87762,20151215,12,PM2.5,7.0
87768,20151215,13,PCA,-101.44532161486362
87768,20151215,13,PM2.5,5.0
87774,20151215,14,PCA,-97.49904029593125
87774,20151215,14,PM2.5,11.0
87780,20151215,15,PCA,-103.19159001627162
87780,20151215,15,PM2.5,3.0
87786,20151215,16,PCA,-102.25940744401832
87786,20151215,16,PM2.5,4.0
87792,20151215,17,PCA,-97.94949919056228
87792,20151215,17,PM2.5,9.0
87798,20151215,18,PCA,-99.64956093030986
87798,20151215,18,PM2.5,3.0
87804,20151215,19,PCA,-94.32690187317144
87804,20151215,19,PM2.5,8.0
87810,20151215,20,PCA,-97.50823313705959
87810,20151215,20,PM2.5,5.0
87816,20151215,21,PCA,-100.7631818137146
87816,20151215,21,PM2.5,5.0
87822,20151215,22,PCA,-102.82945479199321
87822,20151215,22,PM2.5,3.0
87828,20151215,23,PCA,-98.99024883437292
87828,20151215,23,PM2.5,8.0
87834,20151216,0,PCA,-101.49862291196366
87834,20151216,0,PM2.5,4.0
87840,20151216,1,PCA,-101.57251466695813
87840,20151216,1,PM2.5,6.0
87846,20151216,2,PCA,-101.5589118655116
87846,20151216,2,PM2.5,7.0
87852,20151216,3,PCA,-101.09968787893364
87852,20151216,3,PM2.5,7.0
87858,20151216,4,PCA,-101.62125259678616
87858,20151216,4,PM2.5,7.0
87864,20151216,5,PCA,-99.48367694266892
87864,20151216,5,PM2.5,4.0
87870,20151216,6,PCA,-98.04488098357774
87870,20151216,6,PM2.5,7.0
87876,20151216,7,PCA,-91.5030948815782
87876,20151216,7,PM2.5,8.0
87882,20151216,8,PCA,-91.21071695095311
87882,20151216,8,PM2.5,7.0
87888,20151216,9,PCA,-98.56748525935264
87888,20151216,9,PM2.5,3.0
87894,20151216,10,PCA,-99.00875131285535
87894,20151216,10,PM2.5,7.0
87900,20151216,11,PCA,-98.60689855040147
87900,20151216,11,PM2.5,10.0
87906,20151216,12,PCA,-96.72437862020243
87906,20151216,12,PM2.5,13.0
87912,20151216,13,PCA,-101.08344169029085
87912,20151216,13,PM2.5,7.0
87918,20151216,14,PCA,-96.99786761108878
87918,20151216,14,PM2.5,12.0
87924,20151216,15,PCA,-101.3878729011291
87924,20151216,15,PM2.5,6.0
87930,20151216,16,PCA,-101.34368695554686
87930,20151216,16,PM2.5,5.0
87936,20151216,17,PCA,-97.90429336567999
87936,20151216,17,PM2.5,8.0
87942,20151216,18,PCA,-94.11597428384718
87942,20151216,18,PM2.5,3.0
87948,20151216,19,PCA,-90.62817141442027
87948,20151216,19,PM2.5,8.0
87954,20151216,20,PCA,-92.2556457527478
87954,20151216,20,PM2.5,8.0
87960,20151216,21,PCA,-94.94080715256075
87960,20151216,21,PM2.5,4.0
87966,20151216,22,PCA,-89.20923060242785
87966,20151216,22,PM2.5,8.0
87972,20151216,23,PCA,-72.8214964580528
87972,20151216,23,PM2.5,12.0
87978,20151217,0,PCA,-74.69692899679035
87978,20151217,0,PM2.5,17.0
87984,20151217,1,PCA,-73.67645265908338
87984,20151217,1,PM2.5,11.0
87990,20151217,2,PCA,-63.21595343730846
87990,20151217,2,PM2.5,18.0
87996,20151217,3,PCA,-62.35948648351072
87996,20151217,3,PM2.5,21.0
88002,20151217,4,PCA,-68.49406747304855
88002,20151217,4,PM2.5,14.0
88008,20151217,5,PCA,-79.71413696379045
88008,20151217,5,PM2.5,13.0
88014,20151217,6,PCA,-71.4128697964009
88014,20151217,6,PM2.5,9.0
88020,20151217,7,PCA,-72.23931063343645
88020,20151217,7,PM2.5,10.0
88026,20151217,8,PCA,-67.52928104058124
88026,20151217,8,PM2.5,10.0
88032,20151217,9,PCA,-59.147292910788785
88032,20151217,9,PM2.5,19.0
88038,20151217,10,PCA,-59.08963532531067
88038,20151217,10,PM2.5,20.0
88044,20151217,11,PCA,-49.87850079018042
88044,20151217,11,PM2.5,41.0
88050,20151217,12,PCA,-51.761151881930104
88050,20151217,12,PM2.5,39.0
88056,20151217,13,PCA,-34.7049772193558
88056,20151217,13,PM2.5,58.0
88062,20151217,14,PCA,-31.5789034343288
88062,20151217,14,PM2.5,64.0
88068,20151217,15,PCA,-29.836916813987113
88068,20151217,15,PM2.5,62.0
88074,20151217,16,PCA,-32.46385594517384
88074,20151217,16,PM2.5,55.0
88080,20151217,17,PCA,-11.067871003214368
88080,20151217,17,PM2.5,74.0
88086,20151217,18,PCA,9.249439095731832
88086,20151217,18,PM2.5,89.0
88092,20151217,19,PCA,22.959083233062636
88092,20151217,19,PM2.5,103.0
88098,20151217,20,PCA,35.542871257632314
88098,20151217,20,PM2.5,118.0
88104,20151217,21,PCA,37.53597173148895
88104,20151217,21,PM2.5,121.0
88110,20151217,22,PCA,40.74216930244008
88110,20151217,22,PM2.5,122.0
88116,20151217,23,PCA,44.49452182848104
88116,20151217,23,PM2.5,122.0
88122,20151218,0,PCA,46.48789186941692
88122,20151218,0,PM2.5,120.0
88128,20151218,1,PCA,52.365542531304754
88128,20151218,1,PM2.5,123.0
88134,20151218,2,PCA,92.85691048091856
88134,20151218,2,PM2.5,165.0
88140,20151218,3,PCA,110.57101695430373
88140,20151218,3,PM2.5,183.0
88146,20151218,4,PCA,133.9350941844026
88146,20151218,4,PM2.5,205.0
88152,20151218,5,PCA,118.15848099952828
88152,20151218,5,PM2.5,179.0
88158,20151218,6,PCA,40.65679311196009
88158,20151218,6,PM2.5,70.0
88164,20151218,7,PCA,23.680327770013047
88164,20151218,7,PM2.5,45.0
88170,20151218,8,PCA,32.11197407187135
88170,20151218,8,PM2.5,54.0
88176,20151218,9,PCA,31.078438205924474
88176,20151218,9,PM2.5,54.0
88182,20151218,10,PCA,8.591459086664706
88182,20151218,10,PM2.5,32.0
88188,20151218,11,PCA,8.196504107033213
88188,20151218,11,PM2.5,37.0
88194,20151218,12,PCA,-1.2526966167379563
88194,20151218,12,PM2.5,29.0
88230,20151218,18,PCA,-5.079955521585316
88230,20151218,18,PM2.5,23.0
88236,20151218,19,PCA,5.554042375027022
88236,20151218,19,PM2.5,31.0
88242,20151218,20,PCA,17.670790278759554
88242,20151218,20,PM2.5,48.0
88248,20151218,21,PCA,30.444039787754082
88248,20151218,21,PM2.5,68.0
88254,20151218,22,PCA,30.471087942596583
88254,20151218,22,PM2.5,71.0
88260,20151218,23,PCA,40.05210946472057
88260,20151218,23,PM2.5,84.0
88266,20151219,0,PCA,39.95926445625267
88266,20151219,0,PM2.5,84.0
88272,20151219,1,PCA,39.07023304680757
88272,20151219,1,PM2.5,84.0
88278,20151219,2,PCA,45.240526489323045
88278,20151219,2,PM2.5,96.0
88284,20151219,3,PCA,51.76254084806504
88284,20151219,3,PM2.5,110.0
88290,20151219,4,PCA,76.98395848547477
88290,20151219,4,PM2.5,147.0
88296,20151219,5,PCA,81.24511626932723
88296,20151219,5,PM2.5,154.0
88302,20151219,6,PCA,127.34167566980564
88302,20151219,6,PM2.5,214.0
88308,20151219,7,PCA,108.3755612415137
88308,20151219,7,PM2.5,187.0
88314,20151219,8,PCA,95.08760901850145
88314,20151219,8,PM2.5,165.0
88320,20151219,9,PCA,84.047657966721
88320,20151219,9,PM2.5,142.0
88326,20151219,10,PCA,84.78408788262182
88326,20151219,10,PM2.5,137.0
88332,20151219,11,PCA,69.13116907768543
88332,20151219,11,PM2.5,113.0
88338,20151219,12,PCA,74.12544850551956
88338,20151219,12,PM2.5,115.0
88344,20151219,13,PCA,78.18447018362588
88344,20151219,13,PM2.5,117.0
88350,20151219,14,PCA,96.11181617422514
88350,20151219,14,PM2.5,131.0
88356,20151219,15,PCA,125.24682775089371
88356,20151219,15,PM2.5,159.0
88362,20151219,16,PCA,146.49033051499347
88362,20151219,16,PM2.5,176.0
88368,20151219,17,PCA,152.90458898273263
88368,20151219,17,PM2.5,178.0
88374,20151219,18,PCA,157.81960445368182
88374,20151219,18,PM2.5,180.0
88380,20151219,19,PCA,160.05119242042352
88380,20151219,19,PM2.5,176.0
88386,20151219,20,PCA,107.52047008910074
88386,20151219,20,PM2.5,110.0
88392,20151219,21,PCA,110.45993988663098
88392,20151219,21,PM2.5,110.0
88398,20151219,22,PCA,175.1782717897163
88398,20151219,22,PM2.5,188.0
88404,20151219,23,PCA,203.2303577286445
88404,20151219,23,PM2.5,220.0
88410,20151220,0,PCA,214.8683985118803
88410,20151220,0,PM2.5,229.0
88416,20151220,1,PCA,240.88434970832085
88416,20151220,1,PM2.5,259.0
88422,20151220,2,PCA,251.30337004934418
88422,20151220,2,PM2.5,269.0
88428,20151220,3,PCA,229.01576387728977
88428,20151220,3,PM2.5,235.0
88434,20151220,4,PCA,231.30217040408758
88434,20151220,4,PM2.5,236.0
88440,20151220,5,PCA,220.48009521615495
88440,20151220,5,PM2.5,225.0
88446,20151220,6,PCA,218.17156471264326
88446,20151220,6,PM2.5,221.0
88452,20151220,7,PCA,212.5757052742197
88452,20151220,7,PM2.5,213.0
88458,20151220,8,PCA,194.0833338600354
88458,20151220,8,PM2.5,186.0
88464,20151220,9,PCA,192.0475122282416
88464,20151220,9,PM2.5,182.0
88470,20151220,10,PCA,177.97446137101474
88470,20151220,10,PM2.5,160.0
88476,20151220,11,PCA,177.88885994735836
88476,20151220,11,PM2.5,157.0
88482,20151220,12,PCA,194.27330733142819
88482,20151220,12,PM2.5,174.0
88488,20151220,13,PCA,209.1385783407674
88488,20151220,13,PM2.5,191.0
88494,20151220,14,PCA,214.63476758978908
88494,20151220,14,PM2.5,199.0
88500,20151220,15,PCA,214.8536163616836
88500,20151220,15,PM2.5,198.0
88506,20151220,16,PCA,220.3954963845992
88506,20151220,16,PM2.5,202.0
88512,20151220,17,PCA,240.71577489543083
88512,20151220,17,PM2.5,225.0
88518,20151220,18,PCA,241.3781162037199
88518,20151220,18,PM2.5,225.0
88524,20151220,19,PCA,253.07879582031921
88524,20151220,19,PM2.5,242.0
88530,20151220,20,PCA,296.13031017292775
88530,20151220,20,PM2.5,294.0
88536,20151220,21,PCA,340.4322290011731
88536,20151220,21,PM2.5,345.0
88542,20151220,22,PCA,355.7364177891665
88542,20151220,22,PM2.5,361.0
88548,20151220,23,PCA,364.6362070393432
88548,20151220,23,PM2.5,369.0
88554,20151221,0,PCA,404.20525004764835
88554,20151221,0,PM2.5,418.0
88560,20151221,1,PCA,400.4354112965836
88560,20151221,1,PM2.5,410.0
88566,20151221,2,PCA,378.70513418189233
88566,20151221,2,PM2.5,376.0
88572,20151221,3,PCA,322.5945524347614
88572,20151221,3,PM2.5,298.0
88578,20151221,4,PCA,292.174585734755
88578,20151221,4,PM2.5,258.0
88584,20151221,5,PCA,243.82711268166668
88584,20151221,5,PM2.5,193.0
88590,20151221,6,PCA,230.8576447327235
88590,20151221,6,PM2.5,176.0
88596,20151221,7,PCA,226.5280566734343
88596,20151221,7,PM2.5,171.0
88602,20151221,8,PCA,240.05976831805953
88602,20151221,8,PM2.5,188.0
88608,20151221,9,PCA,220.95009085435132
88608,20151221,9,PM2.5,163.0
88614,20151221,10,PCA,219.10063176964655
88614,20151221,10,PM2.5,158.0
88632,20151221,13,PCA,265.1708906989054
88632,20151221,13,PM2.5,205.0
88638,20151221,14,PCA,259.3374665364733
88638,20151221,14,PM2.5,198.0
88644,20151221,15,PCA,255.78266607647527
88644,20151221,15,PM2.5,194.0
88650,20151221,16,PCA,232.04424650191345
88650,20151221,16,PM2.5,167.0
88656,20151221,17,PCA,214.16969168934264
88656,20151221,17,PM2.5,144.0
88662,20151221,18,PCA,212.6654409952269
88662,20151221,18,PM2.5,143.0
88668,20151221,19,PCA,267.0213054720692
88668,20151221,19,PM2.5,209.0
88674,20151221,20,PCA,393.4314062622212
88674,20151221,20,PM2.5,377.0
88680,20151221,21,PCA,393.277005814384
88680,20151221,21,PM2.5,378.0
88686,20151221,22,PCA,394.8502138414216
88686,20151221,22,PM2.5,381.0
88692,20151221,23,PCA,403.92845573401223
88692,20151221,23,PM2.5,394.0
88698,20151222,0,PCA,417.06453299834
88698,20151222,0,PM2.5,417.0
88704,20151222,1,PCA,412.70987877212957
88704,20151222,1,PM2.5,419.0
88710,20151222,2,PCA,385.50660444053545
88710,20151222,2,PM2.5,382.0
88716,20151222,3,PCA,352.80410687241874
88716,20151222,3,PM2.5,336.0
88722,20151222,4,PCA,323.7923225618198
88722,20151222,4,PM2.5,296.0
88728,20151222,5,PCA,266.43986891484565
88728,20151222,5,PM2.5,215.0
88734,20151222,6,PCA,265.7352412759606
88734,20151222,6,PM2.5,210.0
88740,20151222,7,PCA,310.0374875876673
88740,20151222,7,PM2.5,267.0
88746,20151222,8,PCA,278.7835049011136
88746,20151222,8,PM2.5,222.0
88752,20151222,9,PCA,228.560214630394
88752,20151222,9,PM2.5,151.0
88758,20151222,10,PCA,230.98400537822113
88758,20151222,10,PM2.5,152.0
88764,20151222,11,PCA,252.30696704378457
88764,20151222,11,PM2.5,182.0
88770,20151222,12,PCA,317.7428537380528
88770,20151222,12,PM2.5,272.0
88776,20151222,13,PCA,374.2497307565964
88776,20151222,13,PM2.5,342.0
88782,20151222,14,PCA,405.78306901207935
88782,20151222,14,PM2.5,377.0
88788,20151222,15,PCA,452.90959041535154
88788,20151222,15,PM2.5,434.0
88794,20151222,16,PCA,507.728518863213
88794,20151222,16,PM2.5,502.0
88800,20151222,17,PCA,475.22395769334514
88800,20151222,17,PM2.5,450.0
88806,20151222,18,PCA,468.1692067998219
88806,20151222,18,PM2.5,426.0
88812,20151222,19,PCA,465.88142315063715
88812,20151222,19,PM2.5,413.0
88818,20151222,20,PCA,451.9026733385296
88818,20151222,20,PM2.5,391.0
88824,20151222,21,PCA,448.4575909909397
88824,20151222,21,PM2.5,386.0
88830,20151222,22,PCA,432.3258572084196
88830,20151222,22,PM2.5,366.0
88836,20151222,23,PCA,421.7519060837161
88836,20151222,23,PM2.5,355.0
88842,20151223,0,PCA,393.10636292398954
88842,20151223,0,PM2.5,318.0
88848,20151223,1,PCA,369.78614676749953
88848,20151223,1,PM2.5,287.0
88854,20151223,2,PCA,373.8238913132454
88854,20151223,2,PM2.5,298.0
88860,20151223,3,PCA,387.74882944942397
88860,20151223,3,PM2.5,320.0
