,date,hour,type,农展馆
498,20140405,11,PM2.5,12.0
504,20140405,12,PCA,-62.69303758322724
504,20140405,12,PM2.5,11.0
510,20140405,13,PCA,-62.875770115906406
510,20140405,13,PM2.5,13.0
516,20140405,14,PCA,-65.63193769815732
516,20140405,14,PM2.5,9.0
522,20140405,15,PCA,-63.2958968064769
522,20140405,15,PM2.5,13.0
528,20140405,16,PCA,-61.42962242882034
528,20140405,16,PM2.5,17.0
534,20140405,17,PCA,-63.893941722379466
534,20140405,17,PM2.5,13.0
540,20140405,18,PCA,-51.325579726617164
540,20140405,18,PM2.5,28.0
546,20140405,19,PCA,-44.276082232768914
546,20140405,19,PM2.5,36.0
552,20140405,20,PCA,-43.222475960684484
552,20140405,20,PM2.5,38.0
558,20140405,21,PCA,-29.462993640267584
558,20140405,21,PM2.5,50.0
564,20140405,22,PCA,-26.98739766521621
564,20140405,22,PM2.5,51.0
570,20140405,23,PCA,-24.130692792559163
570,20140405,23,PM2.5,51.0
576,20140406,0,PCA,-18.776616181576003
576,20140406,0,PM2.5,59.0
582,20140406,1,PCA,-14.817710287683507
582,20140406,1,PM2.5,58.0
588,20140406,2,PCA,-4.563111435045362
588,20140406,2,PM2.5,60.0
594,20140406,3,PCA,2.1654343170942516
594,20140406,3,PM2.5,66.0
600,20140406,4,PCA,4.197777515882521
600,20140406,4,PM2.5,65.0
606,20140406,5,PCA,2.562645586565383
606,20140406,5,PM2.5,62.0
612,20140406,6,PCA,4.557472708328325
612,20140406,6,PM2.5,67.0
618,20140406,7,PCA,27.118598827523773
618,20140406,7,PM2.5,97.0
624,20140406,8,PCA,37.04142087857734
624,20140406,8,PM2.5,105.0
630,20140406,9,PCA,34.28340975424305
630,20140406,9,PM2.5,97.0
636,20140406,10,PCA,15.085317491856031
636,20140406,10,PM2.5,72.0
654,20140406,13,PCA,-30.114574751051638
654,20140406,13,PM2.5,38.0
660,20140406,14,PCA,-40.20031821468481
660,20140406,14,PM2.5,32.0
666,20140406,15,PCA,-30.33536066218531
666,20140406,15,PM2.5,46.0
672,20140406,16,PCA,-28.379969492392167
672,20140406,16,PM2.5,46.0
678,20140406,17,PCA,-16.506330335376504
678,20140406,17,PM2.5,55.0
684,20140408,10,PCA,198.33681375912582
684,20140408,10,PM2.5,218.0
690,20140408,11,PCA,164.4683403956962
690,20140408,11,PM2.5,174.5
696,20140408,12,PCA,137.28193237630902
696,20140408,12,PM2.5,131.0
702,20140408,13,PCA,138.9022345205256
702,20140408,13,PM2.5,154.0
708,20140408,14,PCA,139.8342106245255
708,20140408,14,PM2.5,177.0
714,20140408,15,PCA,129.6698033874647
714,20140408,15,PM2.5,168.0
720,20140408,16,PCA,132.0575775331388
720,20140408,16,PM2.5,167.0
