,date,hour,type,怀柔
89652,20151228,15,PM2.5,18.0
89658,20151228,16,PCA,-22.2252634450415
89658,20151228,16,PM2.5,21.0
89664,20151228,17,PCA,-1.469898517065635
89664,20151228,17,PM2.5,47.0
89670,20151228,18,PCA,20.435318281065733
89670,20151228,18,PM2.5,76.0
89676,20151228,19,PCA,37.930375317854164
89676,20151228,19,PM2.5,100.0
89682,20151228,20,PCA,43.12199078783322
89682,20151228,20,PM2.5,109.0
89688,20151228,21,PCA,46.93638958136895
89688,20151228,21,PM2.5,113.0
89694,20151228,22,PCA,37.55414730586339
89694,20151228,22,PM2.5,99.0
89700,20151228,23,PCA,49.27464793132151
89700,20151228,23,PM2.5,115.0
89706,20151229,0,PCA,72.5258635272597
89706,20151229,0,PM2.5,148.0
89712,20151229,1,PCA,53.053605479992484
89712,20151229,1,PM2.5,117.0
89718,20151229,2,PCA,41.9964428534052
89718,20151229,2,PM2.5,99.0
89724,20151229,3,PCA,38.754347151607725
89724,20151229,3,PM2.5,92.0
89730,20151229,4,PCA,40.46648280790187
89730,20151229,4,PM2.5,93.0
89736,20151229,5,PCA,39.46574439336123
89736,20151229,5,PM2.5,91.0
89742,20151229,6,PCA,45.153718470525725
89742,20151229,6,PM2.5,97.0
89748,20151229,7,PCA,46.90511532845754
89748,20151229,7,PM2.5,98.0
89754,20151229,8,PCA,56.96680838507843
89754,20151229,8,PM2.5,109.0
89760,20151229,9,PCA,68.74950220739969
89760,20151229,9,PM2.5,122.0
89766,20151229,10,PCA,82.40364282671415
89766,20151229,10,PM2.5,135.0
89772,20151229,11,PCA,75.2285697270989
89772,20151229,11,PM2.5,120.0
89778,20151229,12,PCA,76.17304200055308
89778,20151229,12,PM2.5,117.0
89784,20151229,13,PCA,105.11422383145344
89784,20151229,13,PM2.5,153.0
89790,20151229,14,PCA,123.83545999542821
89790,20151229,14,PM2.5,171.0
89796,20151229,15,PCA,147.86409662523138
89796,20151229,15,PM2.5,195.0
89802,20151229,16,PCA,176.22456849530374
89802,20151229,16,PM2.5,223.0
89808,20151229,17,PCA,190.01218085929602
89808,20151229,17,PM2.5,230.0
89814,20151229,18,PCA,199.2374391800441
89814,20151229,18,PM2.5,232.0
89820,20151229,19,PCA,211.53331588465286
89820,20151229,19,PM2.5,243.0
89826,20151229,20,PCA,239.25700344197872
89826,20151229,20,PM2.5,275.0
89832,20151229,21,PCA,264.0442548836236
89832,20151229,21,PM2.5,303.0
89838,20151229,22,PCA,266.7606489829083
89838,20151229,22,PM2.5,299.0
89844,20151229,23,PCA,263.8389469294422
89844,20151229,23,PM2.5,287.0
89850,20151230,0,PCA,256.83329359508724
89850,20151230,0,PM2.5,271.0
89856,20151230,1,PCA,273.1571699354464
89856,20151230,1,PM2.5,289.0
89862,20151230,2,PCA,288.8201928123641
89862,20151230,2,PM2.5,307.0
89868,20151230,3,PCA,312.32096494742467
89868,20151230,3,PM2.5,329.0
89874,20151230,4,PCA,321.8153603228373
89874,20151230,4,PM2.5,330.0
89880,20151230,5,PCA,315.56446832746315
89880,20151230,5,PM2.5,309.0
89886,20151230,6,PCA,321.95720038727114
89886,20151230,6,PM2.5,307.0
89892,20151230,7,PCA,308.9009079218842
89892,20151230,7,PM2.5,281.0
89898,20151230,8,PCA,303.3291684013669
89898,20151230,8,PM2.5,266.0
89904,20151230,9,PCA,305.5889731933187
89904,20151230,9,PM2.5,263.0
89910,20151230,10,PCA,245.9569098282049
89910,20151230,10,PM2.5,175.0
89916,20151230,11,PCA,201.69461258049446
89916,20151230,11,PM2.5,112.0
89922,20151230,12,PCA,143.5865987988069
89922,20151230,12,PM2.5,32.0
89928,20151230,13,PCA,133.0456996292048
89928,20151230,13,PM2.5,25.0
89934,20151230,14,PCA,120.04149821328245
89934,20151230,14,PM2.5,12.0
89940,20151230,15,PCA,116.16974813312518
89940,20151230,15,PM2.5,15.0
89946,20151230,16,PCA,106.74358973028592
89946,20151230,16,PM2.5,10.0
89952,20151230,17,PCA,109.95597551518615
89952,20151230,17,PM2.5,20.0
89958,20151230,18,PCA,109.4923302024627
89958,20151230,18,PM2.5,25.0
89964,20151230,19,PCA,108.98412555925462
89964,20151230,19,PM2.5,36.0
89970,20151230,20,PCA,99.9324730430788
89970,20151230,20,PM2.5,34.0
89976,20151230,21,PCA,97.86287631214289
89976,20151230,21,PM2.5,44.0
89982,20151230,22,PCA,81.65429771877022
89982,20151230,22,PM2.5,33.0
89988,20151230,23,PCA,69.79505752419225
89988,20151230,23,PM2.5,28.0
89994,20151231,0,PCA,51.15480635733679
89994,20151231,0,PM2.5,19.0
90000,20151231,1,PCA,40.67127335355224
90000,20151231,1,PM2.5,21.0
90006,20151231,2,PCA,25.2168688122695
90006,20151231,2,PM2.5,18.0
90012,20151231,3,PCA,16.802580879105243
90012,20151231,3,PM2.5,22.0
90018,20151231,4,PCA,3.6464592998653313
90018,20151231,4,PM2.5,21.0
90024,20151231,5,PCA,-8.024526260773795
90024,20151231,5,PM2.5,20.0
90030,20151231,6,PCA,-20.20744313729728
90030,20151231,6,PM2.5,17.0
90036,20151231,7,PCA,-29.301716025910363
90036,20151231,7,PM2.5,16.0
90042,20151231,8,PCA,-38.20189011738316
90042,20151231,8,PM2.5,17.0
90048,20151231,9,PCA,-39.09149645439352
90048,20151231,9,PM2.5,30.0
90054,20151231,10,PCA,-49.910019241518164
90054,20151231,10,PM2.5,26.0
90060,20151231,11,PCA,-52.0806277183955
90060,20151231,11,PM2.5,26.0
90066,20151231,12,PCA,-56.88113270499454
90066,20151231,12,PM2.5,21.0
90096,20151231,17,PCA,-28.501826771644883
90096,20151231,17,PM2.5,51.0
90102,20151231,18,PCA,-2.65321445524474
90102,20151231,18,PM2.5,81.0
90108,20151231,19,PCA,33.08191234388314
90108,20151231,19,PM2.5,128.0
90114,20151231,20,PCA,32.3104623481622
90114,20151231,20,PM2.5,124.0
90120,20151231,21,PCA,15.017495902690989
90120,20151231,21,PM2.5,96.0
90126,20151231,22,PCA,12.647359178037352
90126,20151231,22,PM2.5,91.0
90132,20151231,23,PCA,10.77114068699439
90132,20151231,23,PM2.5,85.0
90138,20160101,0,PCA,13.672629151752174
90138,20160101,0,PM2.5,85.0
90144,20160101,1,PCA,11.227051870241509
90144,20160101,1,PM2.5,79.0
90150,20160101,2,PCA,7.88255711220274
90150,20160101,2,PM2.5,72.0
90156,20160101,3,PCA,12.079969890649329
90156,20160101,3,PM2.5,74.0
90162,20160101,4,PCA,16.542034930864908
90162,20160101,4,PM2.5,75.0
90168,20160101,5,PCA,23.90646083712273
90168,20160101,5,PM2.5,81.0
90174,20160101,6,PCA,26.731751441908767
90174,20160101,6,PM2.5,79.0
90180,20160101,7,PCA,32.12072291737002
90180,20160101,7,PM2.5,83.0
90186,20160101,8,PCA,38.77645431858478
90186,20160101,8,PM2.5,87.0
90192,20160101,9,PCA,49.09027456292125
90192,20160101,9,PM2.5,98.0
90198,20160101,10,PCA,50.16440570381672
90198,20160101,10,PM2.5,96.0
90204,20160101,11,PCA,51.324754573443236
90204,20160101,11,PM2.5,94.0
90210,20160101,12,PCA,58.22053003231854
90210,20160101,12,PM2.5,99.0
90216,20160101,13,PCA,65.59469659729767
90216,20160101,13,PM2.5,109.0
90222,20160101,14,PCA,91.59799103602253
90222,20160101,14,PM2.5,142.0
90228,20160101,15,PCA,99.82538360098064
90228,20160101,15,PM2.5,149.0
90234,20160101,16,PCA,126.07282371857829
90234,20160101,16,PM2.5,181.0
90240,20160101,17,PCA,153.58366636824312
90240,20160101,17,PM2.5,209.0
90246,20160101,18,PCA,158.41108000627634
90246,20160101,18,PM2.5,209.0
90252,20160101,19,PCA,190.16144506597232
90252,20160101,19,PM2.5,251.0
90258,20160101,20,PCA,207.12998366548095
90258,20160101,20,PM2.5,269.0
90264,20160101,21,PCA,190.85767564876411
90264,20160101,21,PM2.5,236.0
90270,20160101,22,PCA,174.61649903738797
90270,20160101,22,PM2.5,206.0
90276,20160101,23,PCA,180.51908877992298
90276,20160101,23,PM2.5,207.0
90282,20160102,0,PCA,183.6091916386038
90282,20160102,0,PM2.5,204.0
90288,20160102,1,PCA,188.37795221492894
90288,20160102,1,PM2.5,204.0
90294,20160102,2,PCA,189.11747951713056
90294,20160102,2,PM2.5,198.0
90300,20160102,3,PCA,191.1353576521165
90300,20160102,3,PM2.5,196.0
90306,20160102,4,PCA,188.85809742007675
90306,20160102,4,PM2.5,188.0
90312,20160102,5,PCA,186.48444376658347
90312,20160102,5,PM2.5,180.0
90318,20160102,6,PCA,185.377789366962
90318,20160102,6,PM2.5,175.0
90324,20160102,7,PCA,178.1263561788073
90324,20160102,7,PM2.5,161.0
90330,20160102,8,PCA,178.71279292216093
90330,20160102,8,PM2.5,159.0
90336,20160102,9,PCA,185.28063802845776
90336,20160102,9,PM2.5,166.0
90342,20160102,10,PCA,181.23329247396111
90342,20160102,10,PM2.5,155.0
90348,20160102,11,PCA,178.25394113962756
90348,20160102,11,PM2.5,147.0
90354,20160102,12,PCA,215.10943439171228
90354,20160102,12,PM2.5,196.0
90360,20160102,13,PCA,202.7247504654479
90360,20160102,13,PM2.5,174.0
90366,20160102,14,PCA,247.59791890862735
90366,20160102,14,PM2.5,234.0
90372,20160102,15,PCA,272.8614610643419
90372,20160102,15,PM2.5,263.0
90378,20160102,16,PCA,290.0740975758656
90378,20160102,16,PM2.5,281.0
90384,20160102,17,PCA,299.94815408558856
90384,20160102,17,PM2.5,290.0
90390,20160102,18,PCA,311.0950902315341
90390,20160102,18,PM2.5,302.0
90396,20160102,19,PCA,303.7979177398494
90396,20160102,19,PM2.5,294.0
90402,20160102,20,PCA,305.2577038366279
90402,20160102,20,PM2.5,297.0
90408,20160102,21,PCA,284.90003849293464
90408,20160102,21,PM2.5,269.0
90414,20160102,22,PCA,255.81725954081077
90414,20160102,22,PM2.5,226.0
90420,20160102,23,PCA,250.731764209893
90420,20160102,23,PM2.5,220.0
90426,20160103,0,PCA,270.73043108693
90426,20160103,0,PM2.5,246.0
90432,20160103,1,PCA,256.0226732407414
90432,20160103,1,PM2.5,226.0
90438,20160103,2,PCA,268.9447834355925
90438,20160103,2,PM2.5,246.0
90444,20160103,3,PCA,270.8284555329235
90444,20160103,3,PM2.5,246.0
90450,20160103,4,PCA,272.8609046383881
90450,20160103,4,PM2.5,246.0
90456,20160103,5,PCA,287.8420597335423
90456,20160103,5,PM2.5,263.0
90462,20160103,6,PCA,289.55612340049413
90462,20160103,6,PM2.5,261.0
90468,20160103,7,PCA,299.7879043127156
90468,20160103,7,PM2.5,269.0
90474,20160103,8,PCA,293.85637194010917
90474,20160103,8,PM2.5,256.0
90480,20160103,9,PCA,295.8965933159725
90480,20160103,9,PM2.5,256.0
90486,20160103,10,PCA,298.38685870174385
90486,20160103,10,PM2.5,255.0
90492,20160103,11,PCA,280.5843485625803
90492,20160103,11,PM2.5,226.0
90498,20160103,12,PCA,250.76606238367128
90498,20160103,12,PM2.5,183.0
90504,20160103,13,PCA,212.6822270396124
90504,20160103,13,PM2.5,128.0
90510,20160103,14,PCA,222.6418313044253
90510,20160103,14,PM2.5,146.0
90516,20160103,15,PCA,251.95888720213856
90516,20160103,15,PM2.5,190.0
90522,20160103,16,PCA,269.3172865551185
90522,20160103,16,PM2.5,216.0
90528,20160103,17,PCA,281.207747524775
90528,20160103,17,PM2.5,234.0
90534,20160103,18,PCA,276.69161291840186
90534,20160103,18,PM2.5,230.0
90540,20160103,19,PCA,300.7703385607338
90540,20160103,19,PM2.5,269.0
90546,20160103,20,PCA,303.24221465096576
90546,20160103,20,PM2.5,275.0
90552,20160103,21,PCA,282.0435837333488
90552,20160103,21,PM2.5,245.0
90558,20160103,22,PCA,289.8524850312251
90558,20160103,22,PM2.5,256.0
90564,20160103,23,PCA,270.67115606444236
90564,20160103,23,PM2.5,227.0
90570,20160104,0,PCA,264.19091667210824
90570,20160104,0,PM2.5,220.0
90576,20160104,1,PCA,251.49348157164695
90576,20160104,1,PM2.5,203.0
90582,20160104,2,PCA,240.79348615998893
90582,20160104,2,PM2.5,192.0
90588,20160104,3,PCA,218.00211176855305
90588,20160104,3,PM2.5,163.0
90594,20160104,4,PCA,174.0121660395731
90594,20160104,4,PM2.5,106.0
90600,20160104,5,PCA,138.28456098344685
90600,20160104,5,PM2.5,61.0
90606,20160104,6,PCA,103.99283007823261
90606,20160104,6,PM2.5,24.0
90612,20160104,7,PCA,83.80452736155262
90612,20160104,7,PM2.5,5.0
90618,20160104,8,PCA,108.52446398227625
90618,20160104,8,PM2.5,44.0
90624,20160104,9,PCA,86.23368878372325
90624,20160104,9,PM2.5,23.0
90630,20160104,10,PCA,68.56162689959115
90630,20160104,10,PM2.5,13.0
90636,20160104,11,PCA,60.4388993164704
90636,20160104,11,PM2.5,12.0
90642,20160104,12,PCA,51.2222001658215
90642,20160104,12,PM2.5,9.0
90648,20160104,13,PCA,44.24665084345484
90648,20160104,13,PM2.5,6.0
90654,20160104,14,PCA,35.93049928228546
90654,20160104,14,PM2.5,3.0
90660,20160104,15,PCA,32.33516590058706
90660,20160104,15,PM2.5,10.0
90666,20160104,16,PCA,22.050249453788783
90666,20160104,16,PM2.5,8.0
90672,20160104,17,PCA,13.44982310549
90672,20160104,17,PM2.5,7.0
90678,20160104,18,PCA,8.294112838517394
90678,20160104,18,PM2.5,10.0
90684,20160104,19,PCA,28.46516539003254
90684,20160104,19,PM2.5,50.0
90690,20160104,20,PCA,1.3200104213140575
90690,20160104,20,PM2.5,30.0
90696,20160104,21,PCA,-26.79558718552762
90696,20160104,21,PM2.5,3.0
90702,20160104,22,PCA,-34.26358548620394
90702,20160104,22,PM2.5,6.0
90708,20160104,23,PCA,-41.973900907440346
90708,20160104,23,PM2.5,7.0
90714,20160105,0,PCA,-51.041010685716365
90714,20160105,0,PM2.5,6.0
90720,20160105,1,PCA,-57.97985412122623
90720,20160105,1,PM2.5,8.0
90726,20160105,2,PCA,-68.10423767984209
90726,20160105,2,PM2.5,5.0
90732,20160105,3,PCA,-71.88000202235126
90732,20160105,3,PM2.5,9.0
90738,20160105,4,PCA,-72.58198867489885
90738,20160105,4,PM2.5,12.0
90744,20160105,5,PCA,-74.3027609032077
90744,20160105,5,PM2.5,11.0
90750,20160105,6,PCA,-65.43082879582828
90750,20160105,6,PM2.5,23.0
90756,20160105,7,PCA,-64.96386717594513
90756,20160105,7,PM2.5,17.0
90762,20160105,8,PCA,-62.70308626566151
90762,20160105,8,PM2.5,22.0
90768,20160105,9,PCA,-68.65263075817664
90768,20160105,9,PM2.5,16.0
90774,20160105,10,PCA,-65.86344058116977
90774,20160105,10,PM2.5,23.0
90780,20160105,11,PCA,-71.02205951991687
90780,20160105,11,PM2.5,18.0
90786,20160105,12,PCA,-73.80979704951196
90786,20160105,12,PM2.5,13.0
90792,20160105,13,PCA,-72.37704370364636
90792,20160105,13,PM2.5,15.0
90798,20160105,14,PCA,-68.30737527577196
90798,20160105,14,PM2.5,20.0
90804,20160105,15,PCA,-72.79362112879097
90804,20160105,15,PM2.5,13.0
90810,20160105,16,PCA,-73.62419280871093
90810,20160105,16,PM2.5,10.0
90816,20160105,17,PCA,-65.90045159957594
90816,20160105,17,PM2.5,20.0
90822,20160105,18,PCA,-66.05521168697582
90822,20160105,18,PM2.5,17.0
90828,20160105,19,PCA,-61.26739981780423
90828,20160105,19,PM2.5,26.0
90834,20160105,20,PCA,-52.437404094807526
90834,20160105,20,PM2.5,38.0
90840,20160105,21,PCA,-33.802643530390256
90840,20160105,21,PM2.5,62.0
90846,20160105,22,PCA,-22.652463309458515
90846,20160105,22,PM2.5,70.0
90852,20160105,23,PCA,-24.577384295697264
90852,20160105,23,PM2.5,66.0
90858,20160106,0,PCA,-41.45422005469645
90858,20160106,0,PM2.5,40.0
90864,20160106,1,PCA,-45.80698616955643
90864,20160106,1,PM2.5,34.0
90870,20160106,2,PCA,-52.75976171171006
90870,20160106,2,PM2.5,23.0
90876,20160106,3,PCA,-51.38303878381575
90876,20160106,3,PM2.5,24.0
90882,20160106,4,PCA,-56.602806461212175
90882,20160106,4,PM2.5,16.0
90888,20160106,5,PCA,-53.53239599329851
90888,20160106,5,PM2.5,19.0
90894,20160106,6,PCA,-49.24057880080933
90894,20160106,6,PM2.5,23.0
90900,20160106,7,PCA,-43.699703263421384
90900,20160106,7,PM2.5,30.5
90906,20160106,8,PCA,-38.15882772603346
90906,20160106,8,PM2.5,38.0
90912,20160106,9,PCA,-30.31151650096691
90912,20160106,9,PM2.5,48.0
90918,20160106,10,PCA,-32.96790130193401
90918,20160106,10,PM2.5,43.0
90924,20160106,11,PCA,-39.48676161273347
90924,20160106,11,PM2.5,36.0
90930,20160106,12,PCA,-56.48089349987552
90930,20160106,12,PM2.5,13.0
90936,20160106,13,PCA,-55.57612152403556
90936,20160106,13,PM2.5,14.0
90942,20160106,14,PCA,-52.35519465402981
90942,20160106,14,PM2.5,19.0
90948,20160106,15,PCA,-58.952341236437235
90948,20160106,15,PM2.5,9.0
90954,20160106,16,PCA,-63.23113828382693
90954,20160106,16,PM2.5,3.0
90960,20160106,17,PCA,-63.96648958046187
90960,20160106,17,PM2.5,3.0
90966,20160106,18,PCA,-57.409915239980684
90966,20160106,18,PM2.5,13.0
90972,20160106,19,PCA,-61.98888838421444
90972,20160106,19,PM2.5,7.0
90978,20160106,20,PCA,-56.27974456131337
90978,20160106,20,PM2.5,17.0
90984,20160106,21,PCA,-64.17319588725839
90984,20160106,21,PM2.5,9.0
90990,20160106,22,PCA,-65.1550994331203
90990,20160106,22,PM2.5,12.0
90996,20160106,23,PCA,-69.88365385005845
90996,20160106,23,PM2.5,9.0
91002,20160107,0,PCA,-73.20112334291673
91002,20160107,0,PM2.5,6.0
91008,20160107,1,PCA,-75.42161065815245
91008,20160107,1,PM2.5,6.0
91014,20160107,2,PCA,-74.02744323786042
91014,20160107,2,PM2.5,9.0
91020,20160107,3,PCA,-73.03021548038058
91020,20160107,3,PM2.5,9.0
91026,20160107,4,PCA,-64.1215662868654
91026,20160107,4,PM2.5,21.0
91032,20160107,5,PCA,-65.57537067529482
91032,20160107,5,PM2.5,18.0
91038,20160107,6,PCA,-65.25065761066628
91038,20160107,6,PM2.5,18.0
91044,20160107,7,PCA,-57.36731388915032
91044,20160107,7,PM2.5,26.0
91050,20160107,8,PCA,-52.3938982361501
91050,20160107,8,PM2.5,31.0
91056,20160107,9,PCA,-49.012110770983426
91056,20160107,9,PM2.5,36.0
91062,20160107,10,PCA,-58.37471071678855
91062,20160107,10,PM2.5,30.0
91068,20160107,11,PCA,-66.81395261677892
91068,20160107,11,PM2.5,19.0
91074,20160107,12,PCA,-67.30284174248581
91074,20160107,12,PM2.5,19.0
91080,20160107,13,PCA,-73.06693165257143
91080,20160107,13,PM2.5,11.0
91086,20160107,14,PCA,-71.16610135241702
91086,20160107,14,PM2.5,14.0
91092,20160107,15,PCA,-70.22586466460216
91092,20160107,15,PM2.5,15.0
91098,20160107,16,PCA,-68.90758545378459
91098,20160107,16,PM2.5,15.0
91104,20160107,17,PCA,-65.59302885002576
91104,20160107,17,PM2.5,18.0
91110,20160107,18,PCA,-52.99663991104836
91110,20160107,18,PM2.5,32.0
91116,20160107,19,PCA,-60.05149598999199
91116,20160107,19,PM2.5,25.0
91122,20160107,20,PCA,-75.06739045968978
91122,20160107,20,PM2.5,6.0
91128,20160107,21,PCA,-75.23675155882219
91128,20160107,21,PM2.5,7.0
91134,20160107,22,PCA,-76.97078371732114
91134,20160107,22,PM2.5,4.0
91140,20160107,23,PCA,-73.01653529618893
91140,20160107,23,PM2.5,8.0
91146,20160108,0,PCA,-57.18984897299922
91146,20160108,0,PM2.5,28.0
91152,20160108,1,PCA,-50.988476152539086
91152,20160108,1,PM2.5,37.0
91158,20160108,2,PCA,-62.52088035907075
91158,20160108,2,PM2.5,20.0
91164,20160108,3,PCA,-63.32787617987234
91164,20160108,3,PM2.5,18.0
91170,20160108,4,PCA,-66.38317886033586
91170,20160108,4,PM2.5,14.0
91176,20160108,5,PCA,-67.06059275863925
91176,20160108,5,PM2.5,13.0
91182,20160108,6,PCA,-67.39922487860517
91182,20160108,6,PM2.5,12.0
91188,20160108,7,PCA,-67.49451558426931
91188,20160108,7,PM2.5,13.0
91194,20160108,8,PCA,-64.95662052323895
91194,20160108,8,PM2.5,15.0
91200,20160108,9,PCA,-58.03198416133406
91200,20160108,9,PM2.5,26.0
91206,20160108,10,PCA,-61.238485657257215
91206,20160108,10,PM2.5,24.0
91212,20160108,11,PCA,-70.6368685221754
91212,20160108,11,PM2.5,13.0
91218,20160108,12,PCA,-72.4284101823083
91218,20160108,12,PM2.5,12.0
91224,20160108,13,PCA,-72.50379161606516
91224,20160108,13,PM2.5,12.0
91230,20160108,14,PCA,-73.65446796368387
91230,20160108,14,PM2.5,10.0
91236,20160108,15,PCA,-73.84366755537205
91236,20160108,15,PM2.5,9.0
91242,20160108,16,PCA,-72.20412138099385
91242,20160108,16,PM2.5,11.0
91248,20160108,17,PCA,-72.82907372754207
91248,20160108,17,PM2.5,10.0
91254,20160108,18,PCA,-67.22076774162561
91254,20160108,18,PM2.5,16.0
91260,20160108,19,PCA,-28.10236405755796
91260,20160108,19,PM2.5,67.0
91266,20160108,20,PCA,-31.367609958218182
91266,20160108,20,PM2.5,63.0
91272,20160108,21,PCA,-29.8933196567572
91272,20160108,21,PM2.5,63.0
91278,20160108,22,PCA,-19.250697163950324
91278,20160108,22,PM2.5,68.0
91284,20160108,23,PCA,-18.421872063712577
91284,20160108,23,PM2.5,66.0
91290,20160109,0,PCA,-28.91830168112023
91290,20160109,0,PM2.5,50.0
91308,20160109,3,PCA,-37.08737911131239
91308,20160109,3,PM2.5,40.0
91314,20160109,4,PCA,-34.5664177049867
91314,20160109,4,PM2.5,43.0
91320,20160109,5,PCA,-38.490846266459506
91320,20160109,5,PM2.5,33.0
91326,20160109,6,PCA,-44.57956322485019
91326,20160109,6,PM2.5,22.0
91332,20160109,7,PCA,-43.897250578067116
91332,20160109,7,PM2.5,23.0
91338,20160109,8,PCA,-42.33065996814416
91338,20160109,8,PM2.5,23.0
91344,20160109,9,PCA,-39.233245925046745
91344,20160109,9,PM2.5,27.0
91350,20160109,10,PCA,-42.37881825451892
91350,20160109,10,PM2.5,26.0
91356,20160109,11,PCA,-53.441406112803165
91356,20160109,11,PM2.5,12.0
91362,20160109,12,PCA,-53.04616647676922
91362,20160109,12,PM2.5,13.0
91368,20160109,13,PCA,-54.87448434613797
91368,20160109,13,PM2.5,11.0
91374,20160109,14,PCA,-52.08602006007468
91374,20160109,14,PM2.5,14.0
91380,20160109,15,PCA,-43.55031304533448
91380,20160109,15,PM2.5,24.0
91386,20160109,16,PCA,-32.69801564545501
91386,20160109,16,PM2.5,35.0
91392,20160109,17,PCA,-30.26566688196326
91392,20160109,17,PM2.5,36.0
91398,20160109,18,PCA,-19.08513262703858
91398,20160109,18,PM2.5,46.0
91404,20160109,19,PCA,-19.08074060585637
91404,20160109,19,PM2.5,51.0
91410,20160109,20,PCA,-6.503002086720786
91410,20160109,20,PM2.5,68.0
91416,20160109,21,PCA,3.169018221106467
91416,20160109,21,PM2.5,84.0
91422,20160109,22,PCA,12.927752651207983
91422,20160109,22,PM2.5,94.0
91428,20160109,23,PCA,-4.655867327479803
91428,20160109,23,PM2.5,69.0
91434,20160110,0,PCA,2.883195756628464
91434,20160110,0,PM2.5,80.0
91440,20160110,1,PCA,-24.759055645154113
91440,20160110,1,PM2.5,41.0
91446,20160110,2,PCA,-20.35002115512193
91446,20160110,2,PM2.5,48.0
91452,20160110,3,PCA,-29.62502474900668
91452,20160110,3,PM2.5,33.0
91458,20160110,4,PCA,-28.229326716227735
91458,20160110,4,PM2.5,38.0
91464,20160110,5,PCA,-37.89717051309566
91464,20160110,5,PM2.5,25.0
91470,20160110,6,PCA,-42.17114677708084
91470,20160110,6,PM2.5,19.0
91476,20160110,7,PCA,-40.85090054885801
91476,20160110,7,PM2.5,20.0
91482,20160110,8,PCA,-43.77062611433312
91482,20160110,8,PM2.5,17.0
91488,20160110,9,PCA,-40.830315543914175
91488,20160110,9,PM2.5,21.0
91494,20160110,10,PCA,-41.792019923291384
91494,20160110,10,PM2.5,21.0
91500,20160110,11,PCA,-44.5232211731424
91500,20160110,11,PM2.5,18.0
91506,20160110,12,PCA,-46.351539042511206
91506,20160110,12,PM2.5,16.0
91512,20160110,13,PCA,-47.217724635805155
91512,20160110,13,PM2.5,15.0
91518,20160110,14,PCA,-44.372633991698855
91518,20160110,14,PM2.5,17.0
91524,20160110,15,PCA,-41.71952679145314
91524,20160110,15,PM2.5,22.0
91530,20160110,16,PCA,-47.6591100813367
91530,20160110,16,PM2.5,14.0
91536,20160110,17,PCA,-42.36338341511431
91536,20160110,17,PM2.5,22.0
91542,20160110,18,PCA,-32.12532300406736
91542,20160110,18,PM2.5,33.0
91548,20160110,19,PCA,-12.778732504168474
91548,20160110,19,PM2.5,58.0
91554,20160110,20,PCA,3.7331005243038695
91554,20160110,20,PM2.5,85.0
91560,20160110,21,PCA,-38.607382777370916
91560,20160110,21,PM2.5,30.0
91566,20160110,22,PCA,-52.76737964943993
91566,20160110,22,PM2.5,15.0
91572,20160110,23,PCA,-59.175843701210844
91572,20160110,23,PM2.5,10.0
91578,20160111,0,PCA,-62.003858626516866
91578,20160111,0,PM2.5,10.0
91584,20160111,1,PCA,-62.32454039231231
91584,20160111,1,PM2.5,12.0
91590,20160111,2,PCA,-64.54824664214169
91590,20160111,2,PM2.5,12.0
91596,20160111,3,PCA,-59.61092473658961
91596,20160111,3,PM2.5,20.0
91602,20160111,4,PCA,-61.15809263743067
91602,20160111,4,PM2.5,18.0
91608,20160111,5,PCA,-67.38035605135643
91608,20160111,5,PM2.5,9.0
91614,20160111,6,PCA,-64.6106987783835
91614,20160111,6,PM2.5,13.0
91620,20160111,7,PCA,-65.08490755636541
91620,20160111,7,PM2.5,12.0
91626,20160111,8,PCA,-64.29410339682829
91626,20160111,8,PM2.5,13.0
91632,20160111,9,PCA,-63.442797967537835
91632,20160111,9,PM2.5,14.0
91638,20160111,10,PCA,-64.55458993836461
91638,20160111,10,PM2.5,15.0
91644,20160111,11,PCA,-69.84630054272587
91644,20160111,11,PM2.5,9.0
91650,20160111,12,PCA,-70.12905190309203
91650,20160111,12,PM2.5,10.0
91656,20160111,13,PCA,-71.56057217374422
91656,20160111,13,PM2.5,8.0
91662,20160111,14,PCA,-74.08731592911296
91662,20160111,14,PM2.5,5.0
91668,20160111,15,PCA,-72.84383341125948
91668,20160111,15,PM2.5,8.0
91674,20160111,16,PCA,-73.25915846224324
91674,20160111,16,PM2.5,6.0
91680,20160111,17,PCA,-72.58334641275074
91680,20160111,17,PM2.5,7.0
91686,20160111,18,PCA,-68.61333422705164
91686,20160111,18,PM2.5,11.0
91692,20160111,19,PCA,-66.70314506894199
91692,20160111,19,PM2.5,19.0
91698,20160111,20,PCA,-60.8227515515508
91698,20160111,20,PM2.5,28.0
91704,20160111,21,PCA,-76.67293531181136
91704,20160111,21,PM2.5,8.0
91710,20160111,22,PCA,-79.68789291682285
91710,20160111,22,PM2.5,6.0
91716,20160111,23,PCA,-74.92263261302787
91716,20160111,23,PM2.5,14.0
91722,20160112,0,PCA,-73.60384708346514
91722,20160112,0,PM2.5,16.0
91728,20160112,1,PCA,-72.6996526626943
91728,20160112,1,PM2.5,17.0
91734,20160112,2,PCA,-59.190810012749544
91734,20160112,2,PM2.5,34.0
91740,20160112,3,PCA,-51.89493195582035
91740,20160112,3,PM2.5,44.0
91746,20160112,4,PCA,-67.10227127293766
91746,20160112,4,PM2.5,21.0
91752,20160112,5,PCA,-68.37946026683244
91752,20160112,5,PM2.5,19.0
91758,20160112,6,PCA,-69.26932185587026
