,date,hour,type,奥体中心
72012,20150828,3,PM2.5,23.0
72018,20150828,4,PCA,-75.01592563986905
72018,20150828,4,PM2.5,16.0
72024,20150828,5,PCA,-82.28100157234593
72024,20150828,5,PM2.5,13.0
72030,20150828,6,PCA,-87.17505361334167
72030,20150828,6,PM2.5,9.0
72036,20150828,7,PCA,-78.26348692548207
72036,20150828,7,PM2.5,12.0
72042,20150828,8,PCA,-77.69054889238602
72042,20150828,8,PM2.5,11.0
72048,20150828,9,PCA,-83.71700174860996
72048,20150828,9,PM2.5,10.0
72054,20150828,10,PCA,-87.33293957081551
72054,20150828,10,PM2.5,14.0
72060,20150828,11,PCA,-90.65204458137362
72060,20150828,11,PM2.5,12.0
72066,20150828,12,PCA,-89.89139436997655
72066,20150828,12,PM2.5,12.0
72072,20150828,13,PCA,-88.84135084457783
72072,20150828,13,PM2.5,11.0
72078,20150828,14,PCA,-90.32222252850525
72078,20150828,14,PM2.5,10.0
72084,20150828,15,PCA,-92.34681528452725
72084,20150828,15,PM2.5,7.0
72090,20150828,16,PCA,-89.41763218156004
72090,20150828,16,PM2.5,9.0
72096,20150828,17,PCA,-89.60714024797286
72096,20150828,17,PM2.5,8.0
72102,20150828,18,PCA,-87.47633558003281
72102,20150828,18,PM2.5,9.0
72108,20150828,19,PCA,-80.74122121981577
72108,20150828,19,PM2.5,17.0
72114,20150828,20,PCA,-74.31885152844767
72114,20150828,20,PM2.5,23.0
72120,20150828,21,PCA,-75.95534772668266
72120,20150828,21,PM2.5,26.0
72126,20150828,22,PCA,-81.66203766378821
72126,20150828,22,PM2.5,17.0
72132,20150828,23,PCA,-79.06813246414353
72132,20150828,23,PM2.5,18.0
72138,20150829,0,PCA,-68.57481014648238
72138,20150829,0,PM2.5,25.0
72144,20150829,1,PCA,-70.34552915947326
72144,20150829,1,PM2.5,26.0
72150,20150829,2,PCA,-70.51023409874217
72150,20150829,2,PM2.5,26.0
72156,20150829,3,PCA,-73.64170406256041
72156,20150829,3,PM2.5,22.0
72162,20150829,4,PCA,-76.5741483219454
72162,20150829,4,PM2.5,16.0
72168,20150829,5,PCA,-66.7357512880297
72168,20150829,5,PM2.5,27.0
72174,20150829,6,PCA,-63.46416646090863
72174,20150829,6,PM2.5,29.0
72180,20150829,7,PCA,-60.79403151261107
72180,20150829,7,PM2.5,27.0
72186,20150829,8,PCA,-61.002873487307646
72186,20150829,8,PM2.5,27.0
72192,20150829,9,PCA,-69.41147540912148
72192,20150829,9,PM2.5,19.0
72198,20150829,10,PCA,-78.55623963665589
72198,20150829,10,PM2.5,15.0
72204,20150829,11,PCA,-79.3356736018589
72204,20150829,11,PM2.5,17.0
72210,20150829,12,PCA,-75.43778052630863
72210,20150829,12,PM2.5,20.0
72216,20150829,13,PCA,-57.13870376687223
72216,20150829,13,PM2.5,27.0
72222,20150829,14,PCA,-32.630841113826555
72222,20150829,14,PM2.5,33.0
72228,20150829,15,PCA,-24.66696178835118
72228,20150829,15,PM2.5,40.0
72234,20150829,16,PCA,-28.88935115657802
72234,20150829,16,PM2.5,41.0
72240,20150829,17,PCA,-40.252934606516064
72240,20150829,17,PM2.5,36.0
72246,20150829,18,PCA,-44.88124441720764
72246,20150829,18,PM2.5,41.0
72252,20150829,19,PCA,-56.090718993020246
72252,20150829,19,PM2.5,42.0
72258,20150829,20,PCA,-62.38921086788816
72258,20150829,20,PM2.5,41.0
72264,20150829,21,PCA,-68.93831974460794
72264,20150829,21,PM2.5,29.0
72270,20150829,22,PCA,-64.14774413448097
72270,20150829,22,PM2.5,32.0
72276,20150829,23,PCA,-51.121548471884424
72276,20150829,23,PM2.5,43.0
72282,20150830,0,PCA,-45.96599443970854
72282,20150830,0,PM2.5,48.0
72288,20150830,1,PCA,-55.58328848270638
72288,20150830,1,PM2.5,35.0
72294,20150830,2,PCA,-60.230517430074364
72294,20150830,2,PM2.5,28.0
72300,20150830,3,PCA,-64.21049487733173
72300,20150830,3,PM2.5,22.0
72306,20150830,4,PCA,-61.35961966339204
72306,20150830,4,PM2.5,25.0
72312,20150830,5,PCA,-64.3196990618108
72312,20150830,5,PM2.5,23.0
72318,20150830,6,PCA,-63.302244568044166
72318,20150830,6,PM2.5,24.0
72324,20150830,7,PCA,-66.37563567545008
72324,20150830,7,PM2.5,20.0
72330,20150830,8,PCA,-62.80685020335368
72330,20150830,8,PM2.5,24.0
72336,20150830,9,PCA,-56.83849560282157
72336,20150830,9,PM2.5,30.0
72342,20150830,10,PCA,-56.367228778341996
72342,20150830,10,PM2.5,35.0
72348,20150830,11,PCA,-53.12499181593193
72348,20150830,11,PM2.5,40.0
72354,20150830,12,PCA,-59.628482990579585
72354,20150830,12,PM2.5,31.0
72360,20150830,13,PCA,-61.8409388514333
72360,20150830,13,PM2.5,28.0
72366,20150830,14,PCA,-69.49872384336041
72366,20150830,14,PM2.5,23.0
72372,20150830,15,PCA,-75.19982558931346
72372,20150830,15,PM2.5,20.0
72378,20150830,16,PCA,-66.11315961747088
72378,20150830,16,PM2.5,29.0
72384,20150830,17,PCA,-64.59436995422566
72384,20150830,17,PM2.5,27.0
72390,20150830,18,PCA,-69.2862322554282
72390,20150830,18,PM2.5,19.0
72396,20150830,19,PCA,-60.34878057970481
72396,20150830,19,PM2.5,27.0
72402,20150830,20,PCA,-57.11770621689626
72402,20150830,20,PM2.5,34.0
72408,20150830,21,PCA,-50.224546620175964
72408,20150830,21,PM2.5,39.0
72414,20150830,22,PCA,-50.08276778743704
72414,20150830,22,PM2.5,37.0
72420,20150830,23,PCA,-47.953914390427606
72420,20150830,23,PM2.5,44.0
72426,20150831,0,PCA,-48.81069335623057
72426,20150831,0,PM2.5,47.0
72432,20150831,1,PCA,-50.93372650305469
72432,20150831,1,PM2.5,44.0
72438,20150831,2,PCA,-50.876430875119254
72438,20150831,2,PM2.5,45.0
72444,20150831,3,PCA,-53.5682611393042
72444,20150831,3,PM2.5,44.0
72450,20150831,4,PCA,-54.90329522222578
72450,20150831,4,PM2.5,43.0
72456,20150831,5,PCA,-52.51240771282685
72456,20150831,5,PM2.5,40.0
72462,20150831,6,PCA,-63.650070789082605
72462,20150831,6,PM2.5,31.0
72468,20150831,7,PCA,-51.42203240142454
72468,20150831,7,PM2.5,37.0
72474,20150831,8,PCA,-55.03124215609956
72474,20150831,8,PM2.5,29.0
72480,20150831,9,PCA,-62.28147612735309
72480,20150831,9,PM2.5,22.0
72486,20150831,10,PCA,-65.89286921199157
72486,20150831,10,PM2.5,22.0
72492,20150831,11,PCA,-67.73585632642619
72492,20150831,11,PM2.5,22.0
72498,20150831,12,PCA,-65.52266963617772
72498,20150831,12,PM2.5,27.0
72504,20150831,13,PCA,-67.40443607160987
72504,20150831,13,PM2.5,24.0
72510,20150831,14,PCA,-73.56244865011928
72510,20150831,14,PM2.5,18.0
72516,20150831,15,PCA,-77.35837690071729
72516,20150831,15,PM2.5,18.0
72522,20150831,16,PCA,-70.38036868449616
72522,20150831,16,PM2.5,21.0
72528,20150831,17,PCA,-74.29902512677839
72528,20150831,17,PM2.5,20.0
72534,20150831,18,PCA,-70.1282898146106
72534,20150831,18,PM2.5,25.0
72540,20150831,19,PCA,-69.66404063973175
72540,20150831,19,PM2.5,25.0
72546,20150831,20,PCA,-66.34224461673035
72546,20150831,20,PM2.5,27.0
72552,20150831,21,PCA,-55.47446125291734
72552,20150831,21,PM2.5,33.0
72558,20150831,22,PCA,-77.6416641000279
72558,20150831,22,PM2.5,14.0
72564,20150831,23,PCA,-85.02419265722718
72564,20150831,23,PM2.5,8.0
72570,20150901,0,PCA,-84.18431842800823
72570,20150901,0,PM2.5,10.0
72576,20150901,1,PCA,-87.43154769015108
72576,20150901,1,PM2.5,9.0
72582,20150901,2,PCA,-87.1654922349874
72582,20150901,2,PM2.5,11.0
72588,20150901,3,PCA,-87.16505905619394
72588,20150901,3,PM2.5,12.0
72594,20150901,4,PCA,-85.06594829555456
72594,20150901,4,PM2.5,15.0
72600,20150901,5,PCA,-87.53214738715447
72600,20150901,5,PM2.5,12.0
72606,20150901,6,PCA,-81.53535905409773
72606,20150901,6,PM2.5,16.0
72612,20150901,7,PCA,-87.96804497697703
72612,20150901,7,PM2.5,11.0
72618,20150901,8,PCA,-87.6859167699474
72618,20150901,8,PM2.5,8.0
72624,20150901,9,PCA,-87.5999528984995
72624,20150901,9,PM2.5,8.0
72630,20150901,10,PCA,-88.29530246482356
72630,20150901,10,PM2.5,8.0
72636,20150901,11,PCA,-89.4824541975919
72636,20150901,11,PM2.5,11.0
72642,20150901,12,PCA,-92.69794079619297
72642,20150901,12,PM2.5,9.0
72648,20150901,13,PCA,-94.85929072825944
72648,20150901,13,PM2.5,10.0
72654,20150901,14,PCA,-98.32030147432498
72654,20150901,14,PM2.5,6.0
72660,20150901,15,PCA,-100.03393751913373
72660,20150901,15,PM2.5,5.0
72666,20150901,16,PCA,-98.35159657570112
72666,20150901,16,PM2.5,7.0
72672,20150901,17,PCA,-98.56171809728146
72672,20150901,17,PM2.5,7.0
72678,20150901,18,PCA,-97.85568688474879
72678,20150901,18,PM2.5,7.0
72684,20150901,19,PCA,-96.3580593941601
72684,20150901,19,PM2.5,8.0
72690,20150901,20,PCA,-93.620062710414
72690,20150901,20,PM2.5,10.0
72696,20150901,21,PCA,-81.02448842962971
72696,20150901,21,PM2.5,16.0
72702,20150901,22,PCA,-70.26857293298332
72702,20150901,22,PM2.5,18.0
72708,20150901,23,PCA,-77.78131793575375
72708,20150901,23,PM2.5,15.0
72714,20150902,0,PCA,-86.85237713553389
72714,20150902,0,PM2.5,10.0
72720,20150902,1,PCA,-83.07794711532812
72720,20150902,1,PM2.5,18.0
72726,20150902,2,PCA,-92.82492544230796
72726,20150902,2,PM2.5,10.0
72732,20150902,3,PCA,-96.133912922485
72732,20150902,3,PM2.5,11.0
72738,20150902,4,PCA,-95.37268091800509
72738,20150902,4,PM2.5,11.0
72744,20150902,5,PCA,-96.00289788342306
72744,20150902,5,PM2.5,10.0
72750,20150902,6,PCA,-95.58601252752071
72750,20150902,6,PM2.5,8.0
72756,20150902,7,PCA,-89.75444445999473
72756,20150902,7,PM2.5,12.0
72762,20150902,8,PCA,-93.55276750942356
72762,20150902,8,PM2.5,10.0
72768,20150902,9,PCA,-90.86373586590126
72768,20150902,9,PM2.5,14.0
72774,20150902,10,PCA,-96.29618967169587
72774,20150902,10,PM2.5,11.0
72780,20150902,11,PCA,-98.57028821188823
72780,20150902,11,PM2.5,7.0
72786,20150902,12,PCA,-99.6536084481971
72786,20150902,12,PM2.5,5.0
72792,20150902,13,PCA,-98.38241072368432
72792,20150902,13,PM2.5,6.0
72798,20150902,14,PCA,-98.90184399489678
72798,20150902,14,PM2.5,5.0
72804,20150902,15,PCA,-97.83083598300539
72804,20150902,15,PM2.5,5.0
72810,20150902,16,PCA,-97.1445862409222
72810,20150902,16,PM2.5,6.0
72816,20150902,17,PCA,-97.10299391588981
72816,20150902,17,PM2.5,5.0
72822,20150902,18,PCA,-95.82194652988645
72822,20150902,18,PM2.5,6.0
72828,20150902,19,PCA,-93.17065608697568
72828,20150902,19,PM2.5,6.0
72834,20150902,20,PCA,-71.84347579833802
72834,20150902,20,PM2.5,13.0
72840,20150902,21,PCA,-77.61711393937443
72840,20150902,21,PM2.5,14.0
72846,20150902,22,PCA,-77.95653777433951
72846,20150902,22,PM2.5,16.0
72852,20150902,23,PCA,-76.87970547799729
72852,20150902,23,PM2.5,12.0
72858,20150903,0,PCA,-65.36956296512368
72858,20150903,0,PM2.5,16.0
72864,20150903,1,PCA,-77.37308484192661
72864,20150903,1,PM2.5,14.0
72870,20150903,2,PCA,-75.940860558125
72870,20150903,2,PM2.5,21.0
72876,20150903,3,PCA,-86.96469659913181
72876,20150903,3,PM2.5,14.0
72882,20150903,4,PCA,-90.77780881927731
72882,20150903,4,PM2.5,9.0
72888,20150903,5,PCA,-89.56099659760731
72888,20150903,5,PM2.5,11.0
72894,20150903,6,PCA,-86.16305297342132
72894,20150903,6,PM2.5,11.0
72900,20150903,7,PCA,-85.75481987959412
72900,20150903,7,PM2.5,10.0
72906,20150903,8,PCA,-91.50939299620357
72906,20150903,8,PM2.5,7.0
72912,20150903,9,PCA,-93.47226594132589
72912,20150903,9,PM2.5,8.0
72918,20150903,10,PCA,-94.92809998712151
72918,20150903,10,PM2.5,9.0
72924,20150903,11,PCA,-94.5004892446767
72924,20150903,11,PM2.5,12.0
72930,20150903,12,PCA,-95.16361519406604
72930,20150903,12,PM2.5,9.0
72936,20150903,13,PCA,-91.38211571539453
72936,20150903,13,PM2.5,11.0
72942,20150903,14,PCA,-86.95882018852375
72942,20150903,14,PM2.5,14.0
72948,20150903,15,PCA,-85.05773983430456
72948,20150903,15,PM2.5,13.0
72954,20150903,16,PCA,-81.21065788031987
72954,20150903,16,PM2.5,14.0
72960,20150903,17,PCA,-81.88431213075656
72960,20150903,17,PM2.5,17.0
72966,20150903,18,PCA,-85.36881208421336
72966,20150903,18,PM2.5,14.0
72972,20150903,19,PCA,-87.13931057816407
72972,20150903,19,PM2.5,13.0
72978,20150903,20,PCA,-81.32549459695409
72978,20150903,20,PM2.5,19.0
72984,20150903,21,PCA,-78.45576642812358
72984,20150903,21,PM2.5,23.0
72990,20150903,22,PCA,-81.85131023757145
72990,20150903,22,PM2.5,21.0
72996,20150903,23,PCA,-74.81519380797634
72996,20150903,23,PM2.5,30.0
73002,20150904,0,PCA,-71.02502709364032
73002,20150904,0,PM2.5,38.0
73008,20150904,1,PCA,-63.35208751629916
73008,20150904,1,PM2.5,47.0
73014,20150904,2,PCA,-56.58325733251033
73014,20150904,2,PM2.5,55.0
73020,20150904,3,PCA,-52.855276999094706
73020,20150904,3,PM2.5,60.0
73026,20150904,4,PCA,-45.99259721464609
73026,20150904,4,PM2.5,67.0
73032,20150904,5,PCA,-40.48712778239935
73032,20150904,5,PM2.5,72.0
73038,20150904,6,PCA,-40.67738568606188
73038,20150904,6,PM2.5,70.0
73044,20150904,7,PCA,-44.678308220532365
73044,20150904,7,PM2.5,58.0
73050,20150904,8,PCA,-43.18975625350988
73050,20150904,8,PM2.5,57.0
73056,20150904,9,PCA,-38.7600743738
73056,20150904,9,PM2.5,59.0
73062,20150904,10,PCA,-27.53634299206807
73062,20150904,10,PM2.5,66.0
73068,20150904,11,PCA,-23.388472660931647
73068,20150904,11,PM2.5,71.0
73074,20150904,12,PCA,-16.82583412005099
73074,20150904,12,PM2.5,79.0
73080,20150904,13,PCA,-12.670840949725003
73080,20150904,13,PM2.5,79.0
73086,20150904,14,PCA,-19.25312905216111
73086,20150904,14,PM2.5,66.0
73092,20150904,15,PCA,-26.685020058899642
73092,20150904,15,PM2.5,53.0
73098,20150904,16,PCA,-32.01167937513119
73098,20150904,16,PM2.5,46.0
73104,20150904,17,PCA,-42.99027810235265
73104,20150904,17,PM2.5,34.0
73110,20150904,18,PCA,-59.26803594474692
73110,20150904,18,PM2.5,19.0
73116,20150904,19,PCA,-39.85677836297642
73116,20150904,19,PM2.5,35.0
73122,20150904,20,PCA,-36.76685196794942
73122,20150904,20,PM2.5,41.0
73128,20150904,21,PCA,-34.19685477111724
73128,20150904,21,PM2.5,41.0
73134,20150904,22,PCA,-39.34586645012956
73134,20150904,22,PM2.5,37.0
73140,20150904,23,PCA,-55.14980911480803
73140,20150904,23,PM2.5,24.0
73146,20150905,0,PCA,-58.439409896194626
73146,20150905,0,PM2.5,17.0
73152,20150905,1,PCA,-62.19825215219287
73152,20150905,1,PM2.5,14.0
73158,20150905,2,PCA,-62.21650419975675
73158,20150905,2,PM2.5,19.0
73164,20150905,3,PCA,-60.05926582646389
73164,20150905,3,PM2.5,23.0
73170,20150905,4,PCA,-59.51482830834681
73170,20150905,4,PM2.5,28.0
73176,20150905,5,PCA,-62.1704533188912
73176,20150905,5,PM2.5,23.0
73182,20150905,6,PCA,-63.585425869049196
73182,20150905,6,PM2.5,21.0
73188,20150905,7,PCA,-60.823872213815754
73188,20150905,7,PM2.5,22.0
73194,20150905,8,PCA,-63.44044960972303
73194,20150905,8,PM2.5,15.0
73200,20150905,9,PCA,-64.42823958032243
73200,20150905,9,PM2.5,11.0
73206,20150905,10,PCA,-61.18756543202515
73206,20150905,10,PM2.5,14.0
73212,20150905,11,PCA,-65.65461417244009
73212,20150905,11,PM2.5,26.0
73218,20150905,12,PCA,-69.69015073927805
73218,20150905,12,PM2.5,24.0
73224,20150905,13,PCA,-73.72568730611603
73224,20150905,13,PM2.5,22.0
73230,20150905,14,PCA,-80.80838836047631
73230,20150905,14,PM2.5,18.0
73236,20150905,15,PCA,-80.45711887111443
73236,20150905,15,PM2.5,19.0
73242,20150905,16,PCA,-78.82433542572849
73242,20150905,16,PM2.5,20.0
73248,20150905,17,PCA,-81.49072422994983
73248,20150905,17,PM2.5,16.0
73254,20150905,18,PCA,-81.09528431393306
73254,20150905,18,PM2.5,15.0
73260,20150905,19,PCA,-80.7286769363655
73260,20150905,19,PM2.5,17.0
73266,20150905,20,PCA,-77.11814922767223
73266,20150905,20,PM2.5,19.0
73272,20150905,21,PCA,-72.89018103575789
73272,20150905,21,PM2.5,21.0
73278,20150905,22,PCA,-63.0839070536708
73278,20150905,22,PM2.5,25.0
73284,20150905,23,PCA,-64.74435499505215
73284,20150905,23,PM2.5,22.0
73290,20150906,0,PCA,-76.65887295324669
73290,20150906,0,PM2.5,18.0
73296,20150906,1,PCA,-83.43908625567724
73296,20150906,1,PM2.5,14.0
73302,20150906,2,PCA,-86.01735090060771
73302,20150906,2,PM2.5,11.0
73308,20150906,3,PCA,-84.02772759167637
73308,20150906,3,PM2.5,13.0
73314,20150906,4,PCA,-86.40039644473862
73314,20150906,4,PM2.5,13.0
73320,20150906,5,PCA,-87.55999518594156
73320,20150906,5,PM2.5,13.0
73326,20150906,6,PCA,-83.081559303071
73326,20150906,6,PM2.5,12.0
73332,20150906,7,PCA,-79.49538715935596
73332,20150906,7,PM2.5,13.0
73338,20150906,8,PCA,-78.54216782992272
73338,20150906,8,PM2.5,15.0
73344,20150906,9,PCA,-84.66368438183544
73344,20150906,9,PM2.5,15.0
73350,20150906,10,PCA,-86.16397212151496
73350,20150906,10,PM2.5,16.0
73356,20150906,11,PCA,-89.44301181129578
73356,20150906,11,PM2.5,16.0
73362,20150906,12,PCA,-88.73235872963495
73362,20150906,12,PM2.5,15.0
73368,20150906,13,PCA,-85.21739565952004
73368,20150906,13,PM2.5,17.0
73374,20150906,14,PCA,-83.82044407953484
73374,20150906,14,PM2.5,18.0
73380,20150906,15,PCA,-85.80013557950723
73380,20150906,15,PM2.5,15.0
73386,20150906,16,PCA,-85.36107395432462
73386,20150906,16,PM2.5,14.0
73392,20150906,17,PCA,-86.93301331386279
73392,20150906,17,PM2.5,12.0
73398,20150906,18,PCA,-82.03821143561731
73398,20150906,18,PM2.5,17.0
73404,20150906,19,PCA,-78.32448309542197
73404,20150906,19,PM2.5,17.0
73410,20150906,20,PCA,-67.2928267770581
73410,20150906,20,PM2.5,23.0
73416,20150906,21,PCA,-53.903462539147625
73416,20150906,21,PM2.5,29.0
73422,20150906,22,PCA,-46.397969696965774
73422,20150906,22,PM2.5,26.0
73428,20150906,23,PCA,-33.68783351727227
73428,20150906,23,PM2.5,28.0
73434,20150907,0,PCA,-33.8402262321237
73434,20150907,0,PM2.5,30.0
73440,20150907,1,PCA,-33.341771830776096
73440,20150907,1,PM2.5,31.0
73446,20150907,2,PCA,-44.36454039443527
73446,20150907,2,PM2.5,29.0
73452,20150907,3,PCA,-49.72121103210102
73452,20150907,3,PM2.5,27.0
73458,20150907,4,PCA,-52.44153777699941
73458,20150907,4,PM2.5,24.0
73464,20150907,5,PCA,-53.36088793769962
73464,20150907,5,PM2.5,28.0
73470,20150907,6,PCA,-63.48871812974025
73470,20150907,6,PM2.5,21.0
73476,20150907,7,PCA,-64.50450865407079
73476,20150907,7,PM2.5,20.0
73482,20150907,8,PCA,-62.70482659034577
73482,20150907,8,PM2.5,20.0
73488,20150907,9,PCA,-61.068734213942626
73488,20150907,9,PM2.5,22.0
73494,20150907,10,PCA,-65.61103581218357
73494,20150907,10,PM2.5,17.0
73500,20150907,11,PCA,-64.37986759859038
73500,20150907,11,PM2.5,21.0
73506,20150907,12,PCA,-72.28231539630231
73506,20150907,12,PM2.5,20.0
73512,20150907,13,PCA,-73.49433802031069
73512,20150907,13,PM2.5,22.0
73518,20150907,14,PCA,-77.8203811883298
73518,20150907,14,PM2.5,21.0
73524,20150907,15,PCA,-66.88827457884682
73524,20150907,15,PM2.5,21.0
73530,20150907,16,PCA,-62.585994517983
73530,20150907,16,PM2.5,24.0
73536,20150907,17,PCA,-78.90322047124573
73536,20150907,17,PM2.5,17.0
73542,20150907,18,PCA,-78.70936535342969
73542,20150907,18,PM2.5,18.0
73548,20150907,19,PCA,-73.59201419049087
73548,20150907,19,PM2.5,22.0
73554,20150907,20,PCA,-69.59230402902519
73554,20150907,20,PM2.5,26.0
73560,20150907,21,PCA,-64.39278796960106
73560,20150907,21,PM2.5,30.0
73566,20150907,22,PCA,-64.62056003074954
73566,20150907,22,PM2.5,26.0
73572,20150907,23,PCA,-56.869886378484885
73572,20150907,23,PM2.5,34.0
73578,20150908,0,PCA,-51.618244636694044
73578,20150908,0,PM2.5,40.0
73584,20150908,1,PCA,-40.573087785049765
73584,20150908,1,PM2.5,48.0
73590,20150908,2,PCA,-27.906023801092786
73590,20150908,2,PM2.5,53.0
73596,20150908,3,PCA,-12.200232211607101
73596,20150908,3,PM2.5,58.0
73602,20150908,4,PCA,-17.5245947726284
73602,20150908,4,PM2.5,52.0
73608,20150908,5,PCA,-11.716533589748959
73608,20150908,5,PM2.5,54.0
73614,20150908,6,PCA,-7.76655268912899
73614,20150908,6,PM2.5,60.0
73620,20150908,7,PCA,-9.949164758289355
73620,20150908,7,PM2.5,59.0
73626,20150908,8,PCA,-9.070496824700681
73626,20150908,8,PM2.5,63.0
73632,20150908,9,PCA,-11.328257763435811
73632,20150908,9,PM2.5,65.0
73638,20150908,10,PCA,-8.130624406474087
73638,20150908,10,PM2.5,71.0
73644,20150908,11,PCA,-7.883203765411849
73644,20150908,11,PM2.5,76.0
73650,20150908,12,PCA,-26.79800509796583
73650,20150908,12,PM2.5,59.0
73656,20150908,13,PCA,-51.553512016966835
73656,20150908,13,PM2.5,35.0
73662,20150908,14,PCA,-51.97255301872264
73662,20150908,14,PM2.5,30.0
73668,20150908,15,PCA,-53.698232404092096
73668,20150908,15,PM2.5,30.0
73674,20150908,16,PCA,-52.585714214636674
73674,20150908,16,PM2.5,30.0
73680,20150908,17,PCA,-42.89081945237989
73680,20150908,17,PM2.5,39.0
73686,20150908,18,PCA,-37.867004184934444
73686,20150908,18,PM2.5,46.0
73692,20150908,19,PCA,-32.955793271006144
73692,20150908,19,PM2.5,53.0
73698,20150908,20,PCA,-21.842504403447546
73698,20150908,20,PM2.5,58.0
73704,20150908,21,PCA,-9.484882846751079
73704,20150908,21,PM2.5,74.0
73710,20150908,22,PCA,-7.911855969537308
73710,20150908,22,PM2.5,74.0
73716,20150908,23,PCA,-9.547931975741992
73716,20150908,23,PM2.5,69.0
73722,20150909,0,PCA,30.979714625288945
73722,20150909,0,PM2.5,87.0
73728,20150909,1,PCA,28.02045887659628
73728,20150909,1,PM2.5,76.0
73734,20150909,2,PCA,16.8315524816232
73734,20150909,2,PM2.5,68.0
73740,20150909,3,PCA,13.612243248433321
73740,20150909,3,PM2.5,67.0
73746,20150909,4,PCA,4.59248766360434
73746,20150909,4,PM2.5,62.0
73752,20150909,5,PCA,-4.323522606499059
73752,20150909,5,PM2.5,61.0
73758,20150909,6,PCA,-24.22302274823343
73758,20150909,6,PM2.5,50.0
73764,20150909,7,PCA,-19.738479313683044
73764,20150909,7,PM2.5,47.0
73770,20150909,8,PCA,0.6026271636292102
73770,20150909,8,PM2.5,58.0
73776,20150909,9,PCA,2.1732869762836113
73776,20150909,9,PM2.5,60.0
73782,20150909,10,PCA,-5.390351295520713
73782,20150909,10,PM2.5,56.0
73788,20150909,11,PCA,-17.811278910774742
73788,20150909,11,PM2.5,47.0
73794,20150909,12,PCA,-33.76691158660589
73794,20150909,12,PM2.5,38.0
73800,20150909,13,PCA,-49.343813019530586
73800,20150909,13,PM2.5,27.0
73806,20150909,14,PCA,-57.134541279329824
73806,20150909,14,PM2.5,20.0
73812,20150909,15,PCA,-53.89181834761959
73812,20150909,15,PM2.5,19.0
73818,20150909,16,PCA,-54.74405257585547
73818,20150909,16,PM2.5,18.0
73824,20150909,17,PCA,-56.264001231381656
73824,20150909,17,PM2.5,13.0
73830,20150909,18,PCA,-57.17353108755299
73830,20150909,18,PM2.5,11.0
73836,20150909,19,PCA,-56.69244395854452
73836,20150909,19,PM2.5,10.0
73842,20150909,20,PCA,-54.82526557406839
73842,20150909,20,PM2.5,13.0
73848,20150909,21,PCA,-60.67173835100659
73848,20150909,21,PM2.5,9.0
73854,20150909,22,PCA,-62.18563224535962
73854,20150909,22,PM2.5,9.0
73860,20150909,23,PCA,-60.1425375657719
73860,20150909,23,PM2.5,11.0
73866,20150910,0,PCA,-68.65791450036507
73866,20150910,0,PM2.5,8.0
73872,20150910,1,PCA,-65.37128659225998
73872,20150910,1,PM2.5,9.0
73878,20150910,2,PCA,-68.47254897237771
73878,20150910,2,PM2.5,6.0
73884,20150910,3,PCA,-73.17426496933633
73884,20150910,3,PM2.5,6.0
73890,20150910,4,PCA,-76.56859468375524
73890,20150910,4,PM2.5,4.0
73896,20150910,5,PCA,-73.40842441579697
73896,20150910,5,PM2.5,9.0
73902,20150910,6,PCA,-72.96773221240548
73902,20150910,6,PM2.5,10.0
73908,20150910,7,PCA,-74.66959909333
73908,20150910,7,PM2.5,7.0
73914,20150910,8,PCA,-72.83873746692446
73914,20150910,8,PM2.5,9.0
73920,20150910,9,PCA,-75.53512847473893
73920,20150910,9,PM2.5,11.0
73926,20150910,10,PCA,-77.19956334564584
73926,20150910,10,PM2.5,11.0
73932,20150910,11,PCA,-80.91275450834479
73932,20150910,11,PM2.5,9.0
73938,20150910,12,PCA,-88.01029752392846
73938,20150910,12,PM2.5,9.0
73944,20150910,13,PCA,-85.71465701300998
73944,20150910,13,PM2.5,10.0
73950,20150910,14,PCA,-87.4719635232257
73950,20150910,14,PM2.5,8.0
73956,20150910,15,PCA,-86.79523141916289
73956,20150910,15,PM2.5,12.0
73962,20150910,16,PCA,-82.69982669705105
73962,20150910,16,PM2.5,12.0
73968,20150910,17,PCA,-82.9906031318903
73968,20150910,17,PM2.5,8.0
73974,20150910,18,PCA,-81.49374487783079
73974,20150910,18,PM2.5,13.0
73980,20150910,19,PCA,-80.39255701651037
73980,20150910,19,PM2.5,10.0
73986,20150910,20,PCA,-76.16830157744506
73986,20150910,20,PM2.5,16.0
73992,20150910,21,PCA,-90.22127271813777
73992,20150910,21,PM2.5,9.0
73998,20150910,22,PCA,-88.74489298127072
73998,20150910,22,PM2.5,7.0
74004,20150910,23,PCA,-83.84044256129535
74004,20150910,23,PM2.5,9.0
74010,20150911,0,PCA,-85.37569974806557
74010,20150911,0,PM2.5,9.0
74016,20150911,1,PCA,-90.00333091920031
74016,20150911,1,PM2.5,8.0
74022,20150911,2,PCA,-81.44341814325492
74022,20150911,2,PM2.5,10.0
74028,20150911,3,PCA,-74.72898843589824
74028,20150911,3,PM2.5,12.0
74034,20150911,4,PCA,-85.54048683480283
74034,20150911,4,PM2.5,10.0
74040,20150911,5,PCA,-89.58353543820533
74040,20150911,5,PM2.5,8.0
74046,20150911,6,PCA,-91.06357513741472
74046,20150911,6,PM2.5,7.0
74052,20150911,7,PCA,-87.30210764624304
74052,20150911,7,PM2.5,8.0
74058,20150911,8,PCA,-82.17728723727221
