,date,hour,type,奥体中心
498,20140405,11,PM2.5,9.0
504,20140405,12,PCA,-58.44497378667242
504,20140405,12,PM2.5,8.0
510,20140405,13,PCA,-56.43707899051802
510,20140405,13,PM2.5,13.0
516,20140405,14,PCA,-57.58920584803246
516,20140405,14,PM2.5,12.0
522,20140405,15,PCA,-55.776313797902056
522,20140405,15,PM2.5,16.0
528,20140405,16,PCA,-57.319217876540186
528,20140405,16,PM2.5,16.0
534,20140405,17,PCA,-58.919335435645365
534,20140405,17,PM2.5,14.0
540,20140405,18,PCA,-41.79815041276145
540,20140405,18,PM2.5,30.0
546,20140405,19,PCA,-38.07973647360735
546,20140405,19,PM2.5,37.0
552,20140405,20,PCA,-31.957850246650562
552,20140405,20,PM2.5,42.0
558,20140405,21,PCA,-21.32347119922873
558,20140405,21,PM2.5,50.0
564,20140405,22,PCA,-18.754094950051492
564,20140405,22,PM2.5,51.0
570,20140405,23,PCA,-13.7303074168775
570,20140405,23,PM2.5,54.0
576,20140406,0,PCA,5.229647314193212
576,20140406,0,PM2.5,64.0
582,20140406,1,PCA,21.11432079242602
582,20140406,1,PM2.5,78.0
588,20140406,2,PCA,14.6008866708276
588,20140406,2,PM2.5,75.0
594,20140406,3,PCA,14.653994249476852
594,20140406,3,PM2.5,76.0
600,20140406,4,PCA,17.07876368829086
600,20140406,4,PM2.5,76.0
606,20140406,5,PCA,15.182159309238633
606,20140406,5,PM2.5,71.0
612,20140406,6,PCA,13.565930567415558
612,20140406,6,PM2.5,65.0
618,20140406,7,PCA,21.696359476512885
618,20140406,7,PM2.5,73.0
624,20140406,8,PCA,30.06711749089104
624,20140406,8,PM2.5,82.0
630,20140406,9,PCA,20.110308189205835
630,20140406,9,PM2.5,72.0
636,20140406,10,PCA,4.730592832268583
636,20140406,10,PM2.5,54.0
642,20140406,11,PCA,-5.516726332640449
642,20140406,11,PM2.5,43.0
648,20140406,12,PCA,-15.764045497549487
648,20140406,12,PM2.5,32.0
654,20140406,13,PCA,-12.110097159071351
654,20140406,13,PM2.5,44.0
660,20140406,14,PCA,-24.19924620853797
660,20140406,14,PM2.5,35.0
666,20140406,15,PCA,-24.70671828665809
666,20140406,15,PM2.5,34.0
672,20140406,16,PCA,-14.509179451077268
672,20140406,16,PM2.5,46.0
678,20140406,17,PCA,2.2674623892302144
678,20140406,17,PM2.5,63.0
684,20140408,10,PCA,177.62109319614478
684,20140408,10,PM2.5,195.0
690,20140408,11,PCA,215.3749668995867
690,20140408,11,PM2.5,236.0
696,20140408,12,PCA,219.5193237428274
696,20140408,12,PM2.5,238.0
702,20140408,13,PCA,199.96810953452868
702,20140408,13,PM2.5,226.0
708,20140408,14,PCA,165.62272644041872
708,20140408,14,PM2.5,195.0
714,20140408,15,PCA,146.85319811461136
714,20140408,15,PM2.5,178.0
720,20140408,16,PCA,148.60861834126206
720,20140408,16,PM2.5,179.0
726,20140408,17,PCA,146.74963394345266
726,20140408,17,PM2.5,172.0
732,20140408,18,PCA,139.5547715779885
732,20140408,18,PM2.5,156.0
738,20140408,19,PCA,149.8475329662651
738,20140408,19,PM2.5,166.0
744,20140408,20,PCA,151.8741908758985
744,20140408,20,PM2.5,162.0
750,20140408,21,PCA,153.18678560774887
750,20140408,21,PM2.5,154.0
756,20140408,22,PCA,157.6100333600202
756,20140408,22,PM2.5,160.0
762,20140408,23,PCA,163.05416083133147
762,20140408,23,PM2.5,157.0
768,20140409,0,PCA,158.81758686006268
768,20140409,0,PM2.5,151.0
774,20140409,1,PCA,158.52276237019925
774,20140409,1,PM2.5,148.0
780,20140409,2,PCA,155.24725736268246
780,20140409,2,PM2.5,149.0
786,20140409,3,PCA,155.40534606260712
786,20140409,3,PM2.5,149.0
792,20140409,4,PCA,167.0154440057962
792,20140409,4,PM2.5,158.0
798,20140409,5,PCA,170.14945661221236
798,20140409,5,PM2.5,154.0
804,20140409,6,PCA,195.54068869766508
804,20140409,6,PM2.5,179.0
810,20140409,7,PCA,192.8849954982755
810,20140409,7,PM2.5,182.0
816,20140409,8,PCA,188.7823556366037
816,20140409,8,PM2.5,177.0
822,20140409,9,PCA,185.71140426903028
822,20140409,9,PM2.5,179.0
828,20140409,10,PCA,181.63816108535275
828,20140409,10,PM2.5,183.0
834,20140409,11,PCA,165.15256987322326
834,20140409,11,PM2.5,169.0
840,20140409,12,PCA,100.58340183295535
840,20140409,12,PM2.5,97.0
846,20140409,13,PCA,58.697265211487974
846,20140409,13,PM2.5,53.0
852,20140409,14,PCA,50.37977442870628
852,20140409,14,PM2.5,49.0
858,20140409,15,PCA,48.165310610204564
858,20140409,15,PM2.5,51.0
864,20140409,16,PCA,43.56402937426408
864,20140409,16,PM2.5,52.0
870,20140409,17,PCA,56.47307511902648
870,20140409,17,PM2.5,70.0
876,20140409,18,PCA,69.2933567489881
876,20140409,18,PM2.5,89.0
882,20140409,19,PCA,76.11416609679625
882,20140409,19,PM2.5,94.0
888,20140409,20,PCA,93.51656694129109
888,20140409,20,PM2.5,123.0
894,20140409,21,PCA,81.41945271881016
894,20140409,21,PM2.5,112.0
900,20140409,22,PCA,70.85116541752794
900,20140409,22,PM2.5,96.0
906,20140409,23,PCA,89.93518617906736
906,20140409,23,PM2.5,116.0
912,20140410,0,PCA,112.23964112402025
912,20140410,0,PM2.5,142.0
918,20140410,1,PCA,105.28085855703328
918,20140410,1,PM2.5,137.0
924,20140410,2,PCA,102.61933013386894
924,20140410,2,PM2.5,129.0
930,20140410,3,PCA,100.1579914233261
930,20140410,3,PM2.5,122.0
936,20140410,4,PCA,91.7501132271807
936,20140410,4,PM2.5,113.0
942,20140410,5,PCA,100.76047662998731
942,20140410,5,PM2.5,116.0
948,20140410,6,PCA,104.88608248290357
948,20140410,6,PM2.5,118.0
954,20140410,7,PCA,118.5106449384909
954,20140410,7,PM2.5,124.0
960,20140410,8,PCA,121.75526269800233
960,20140410,8,PM2.5,122.0
966,20140410,9,PCA,135.82194117598038
966,20140410,9,PM2.5,128.0
972,20140410,10,PCA,151.5650729911465
972,20140410,10,PM2.5,133.0
978,20140410,11,PCA,156.69652437115204
978,20140410,11,PM2.5,127.0
984,20140410,12,PCA,181.8540642053955
984,20140410,12,PM2.5,150.0
990,20140410,13,PCA,163.86087824178608
990,20140410,13,PM2.5,106.0
996,20140410,14,PCA,172.03841845620164
996,20140410,14,PM2.5,110.0
1002,20140410,15,PCA,159.74662924103848
1002,20140410,15,PM2.5,91.0
1008,20140410,16,PCA,161.17729841512232
1008,20140410,16,PM2.5,84.0
1014,20140410,17,PCA,148.2425517910098
1014,20140410,17,PM2.5,69.0
1020,20140410,18,PCA,147.1000848120097
1020,20140410,18,PM2.5,72.0
1026,20140410,19,PCA,146.46095609121184
1026,20140410,19,PM2.5,77.0
1032,20140410,20,PCA,143.7332827172876
1032,20140410,20,PM2.5,82.0
1038,20140410,21,PCA,141.431296898321
1038,20140410,21,PM2.5,78.0
1044,20140410,22,PCA,143.73806925527023
1044,20140410,22,PM2.5,81.0
1050,20140410,23,PCA,140.9455000957602
1050,20140410,23,PM2.5,87.0
1056,20140411,0,PCA,112.82164946832863
1056,20140411,0,PM2.5,65.0
1062,20140411,1,PCA,112.11648378663295
1062,20140411,1,PM2.5,70.0
1068,20140411,2,PCA,127.65593461598256
1068,20140411,2,PM2.5,94.0
1074,20140411,3,PCA,110.98090651847087
1074,20140411,3,PM2.5,88.0
1080,20140411,4,PCA,99.83716701802373
1080,20140411,4,PM2.5,79.0
1086,20140411,5,PCA,100.79802595967894
1086,20140411,5,PM2.5,85.0
1092,20140411,6,PCA,89.54335415073702
1092,20140411,6,PM2.5,77.0
1098,20140411,7,PCA,77.80349010690901
1098,20140411,7,PM2.5,74.0
1104,20140411,8,PCA,53.10710377070161
1104,20140411,8,PM2.5,57.0
1110,20140411,9,PCA,32.758134071638636
1110,20140411,9,PM2.5,47.0
1116,20140411,10,PCA,30.168633770190816
1116,20140411,10,PM2.5,48.0
1122,20140411,11,PCA,20.01114652284529
1122,20140411,11,PM2.5,43.0
1128,20140411,12,PCA,30.33658692927578
1128,20140411,12,PM2.5,62.0
1134,20140411,13,PCA,30.63911577343136
1134,20140411,13,PM2.5,88.0
1140,20140411,14,PCA,33.73997206797857
1140,20140411,14,PM2.5,96.0
1146,20140411,15,PCA,16.39477894499138
1146,20140411,15,PM2.5,76.0
1152,20140411,16,PCA,0.6182456074867703
1152,20140411,16,PM2.5,63.0
1158,20140411,17,PCA,-8.993063061124209
1158,20140411,17,PM2.5,53.0
1164,20140411,18,PCA,-4.153028470617374
1164,20140411,18,PM2.5,61.0
1170,20140411,19,PCA,-0.6855698547895515
1170,20140411,19,PM2.5,62.0
1176,20140411,20,PCA,7.709420110285008
1176,20140411,20,PM2.5,74.0
1182,20140411,21,PCA,28.799644750429888
1182,20140411,21,PM2.5,94.0
1188,20140411,22,PCA,26.547401924850963
1188,20140411,22,PM2.5,83.0
1194,20140411,23,PCA,48.779367064681665
1194,20140411,23,PM2.5,98.0
1200,20140412,0,PCA,38.67718673201127
1200,20140412,0,PM2.5,87.0
1206,20140412,1,PCA,52.4772741419213
1206,20140412,1,PM2.5,103.0
1212,20140412,2,PCA,44.4824359891049
1212,20140412,2,PM2.5,98.0
1218,20140412,3,PCA,39.627253492161216
1218,20140412,3,PM2.5,97.0
1224,20140412,4,PCA,48.873325568109244
1224,20140412,4,PM2.5,105.0
1230,20140412,5,PCA,55.97241035917371
1230,20140412,5,PM2.5,112.0
1236,20140412,6,PCA,59.679980606985524
1236,20140412,6,PM2.5,112.0
1242,20140412,7,PCA,57.14289573883914
1242,20140412,7,PM2.5,108.0
1248,20140412,8,PCA,50.99877298695966
1248,20140412,8,PM2.5,99.0
1254,20140412,9,PCA,56.851897998801206
1254,20140412,9,PM2.5,107.0
