,date,hour,type,八达岭
498,20140405,11,PM2.5,11.0
504,20140405,12,PCA,-39.05501833765296
504,20140405,12,PM2.5,21.0
510,20140405,13,PCA,-41.86758697913141
510,20140405,13,PM2.5,17.0
516,20140405,14,PCA,-42.16693162377126
516,20140405,14,PM2.5,15.0
522,20140405,15,PCA,-42.44569497864861
522,20140405,15,PM2.5,14.0
528,20140405,16,PCA,-41.24877969730333
528,20140405,16,PM2.5,16.0
534,20140405,17,PCA,-40.995044001027956
534,20140405,17,PM2.5,14.0
540,20140405,18,PCA,-40.91586757567144
540,20140405,18,PM2.5,17.0
546,20140405,19,PCA,-44.6209527602458
546,20140405,19,PM2.5,12.0
552,20140405,20,PCA,-51.167893239129235
552,20140405,20,PM2.5,12.0
558,20140405,21,PCA,-32.54159547040363
558,20140405,21,PM2.5,13.0
564,20140405,22,PCA,-32.17100824626289
564,20140405,22,PM2.5,13.0
570,20140405,23,PCA,-36.340332417807794
570,20140405,23,PM2.5,16.0
576,20140406,0,PCA,-48.14569884182729
576,20140406,0,PM2.5,10.0
582,20140406,1,PCA,-52.29880332258419
582,20140406,1,PM2.5,10.0
588,20140406,2,PCA,-43.365391688408174
588,20140406,2,PM2.5,14.0
594,20140406,3,PCA,-56.76657714620398
594,20140406,3,PM2.5,10.0
600,20140406,4,PCA,-55.77478911744641
600,20140406,4,PM2.5,13.0
606,20140406,5,PCA,-55.149110137175626
606,20140406,5,PM2.5,15.0
612,20140406,6,PCA,-59.224624123548224
612,20140406,6,PM2.5,9.0
618,20140406,7,PCA,-51.40631110212206
618,20140406,7,PM2.5,13.0
624,20140406,8,PCA,-52.90155932819091
624,20140406,8,PM2.5,17.0
630,20140406,9,PCA,-43.477959218204035
630,20140406,9,PM2.5,28.0
636,20140406,10,PCA,-40.58647978523906
636,20140406,10,PM2.5,32.0
642,20140406,11,PCA,-40.82143105467613
642,20140406,11,PM2.5,31.0
648,20140406,12,PCA,-42.56039894137138
648,20140406,12,PM2.5,30.0
654,20140406,13,PCA,-53.33366810001811
654,20140406,13,PM2.5,13.0
660,20140406,14,PCA,-53.972186505588255
660,20140406,14,PM2.5,13.0
666,20140406,15,PCA,-52.7098534235408
666,20140406,15,PM2.5,14.0
672,20140406,16,PCA,-50.422326489819795
672,20140406,16,PM2.5,17.0
678,20140406,17,PCA,-32.69074551063706
678,20140406,17,PM2.5,35.0
684,20140408,10,PCA,100.13651299097741
684,20140408,10,PM2.5,134.0
690,20140408,11,PCA,115.0693159413302
690,20140408,11,PM2.5,147.0
696,20140408,12,PCA,131.03493559327154
696,20140408,12,PM2.5,165.0
702,20140408,13,PCA,140.47297927303126
702,20140408,13,PM2.5,169.0
708,20140408,14,PCA,157.27842946782977
708,20140408,14,PM2.5,183.0
714,20140408,15,PCA,179.2014094807965
714,20140408,15,PM2.5,203.0
