,date,hour,type,八达岭
35406,20141212,21,PM2.5,4.3
35412,20141212,22,PCA,-53.408475138198455
35412,20141212,22,PM2.5,8.3
35418,20141212,23,PCA,-53.76531623074129
35418,20141212,23,PM2.5,9.2
35424,20141213,0,PCA,-54.06282385755484
35424,20141213,0,PM2.5,9.6
35430,20141213,1,PCA,-54.86008012390986
35430,20141213,1,PM2.5,7.8
35436,20141213,2,PCA,-50.35442325464079
35436,20141213,2,PM2.5,12.6
35442,20141213,3,PCA,-52.398355600065216
35442,20141213,3,PM2.5,11.1
35448,20141213,4,PCA,-51.8165689499341
35448,20141213,4,PM2.5,10.8
35454,20141213,5,PCA,-49.58033358227224
35454,20141213,5,PM2.5,14.7
35460,20141213,6,PCA,-47.2707411100841
35460,20141213,6,PM2.5,17.1
35466,20141213,7,PCA,-49.935159919103576
35466,20141213,7,PM2.5,11.4
35472,20141213,8,PCA,-47.16549205993948
35472,20141213,8,PM2.5,15.0
35478,20141213,9,PCA,-48.50619307968755
35478,20141213,9,PM2.5,14.8
35484,20141213,10,PCA,-49.85623770615201
35484,20141213,10,PM2.5,14.5
35490,20141213,11,PCA,-52.26021843360123
35490,20141213,11,PM2.5,11.5
35496,20141213,12,PCA,-50.08998482013069
35496,20141213,12,PM2.5,16.0
35502,20141213,13,PCA,-49.27632767867944
35502,20141213,13,PM2.5,16.5
35508,20141213,14,PCA,-50.295236810735254
35508,20141213,14,PM2.5,15.2
35514,20141213,15,PCA,-51.17074999055706
35514,20141213,15,PM2.5,12.9
35520,20141213,16,PCA,-50.99282503773291
35520,20141213,16,PM2.5,15.0
35526,20141213,17,PCA,-46.57002010909575
35526,20141213,17,PM2.5,21.9
35532,20141213,18,PCA,-41.12648765082115
35532,20141213,18,PM2.5,28.8
35538,20141213,19,PCA,-33.71215250991208
35538,20141213,19,PM2.5,41.3
35544,20141213,20,PCA,-44.9233436990372
35544,20141213,20,PM2.5,26.5
35550,20141213,21,PCA,-46.73091262621969
35550,20141213,21,PM2.5,24.1
35556,20141213,22,PCA,-48.10497680947975
35556,20141213,22,PM2.5,23.2
35562,20141213,23,PCA,-40.2498176326232
35562,20141213,23,PM2.5,33.6
35568,20141214,0,PCA,-37.13874454559801
35568,20141214,0,PM2.5,34.3
35574,20141214,1,PCA,-29.911701095784633
35574,20141214,1,PM2.5,43.5
35580,20141214,2,PCA,-38.74296736238238
35580,20141214,2,PM2.5,31.8
35586,20141214,3,PCA,-43.37401585119852
35586,20141214,3,PM2.5,24.5
35592,20141214,4,PCA,-43.63825410458561
35592,20141214,4,PM2.5,24.0
35598,20141214,5,PCA,-35.124392202982975
35598,20141214,5,PM2.5,33.5
35604,20141214,6,PCA,-38.8024161107903
35604,20141214,6,PM2.5,28.4
35610,20141214,7,PCA,-33.0899422432956
35610,20141214,7,PM2.5,32.1
35616,20141214,8,PCA,-37.8499236511246
35616,20141214,8,PM2.5,28.7
35622,20141214,9,PCA,-40.122248081516105
35622,20141214,9,PM2.5,26.5
35628,20141214,10,PCA,-30.335276802595466
35628,20141214,10,PM2.5,40.1
35634,20141214,11,PCA,-33.02728372057316
35634,20141214,11,PM2.5,36.6
35640,20141214,12,PCA,-36.78380561316904
35640,20141214,12,PM2.5,31.2
35646,20141214,13,PCA,-31.263579322079135
35646,20141214,13,PM2.5,37.5
35652,20141214,14,PCA,-31.887491383582198
35652,20141214,14,PM2.5,35.1
35658,20141214,15,PCA,-30.334624984967896
35658,20141214,15,PM2.5,34.8
35664,20141214,16,PCA,-24.18807594350158
35664,20141214,16,PM2.5,42.4
35670,20141214,17,PCA,-25.35887091240603
35670,20141214,17,PM2.5,41.7
35676,20141214,18,PCA,-23.39179571260178
35676,20141214,18,PM2.5,42.4
35682,20141214,19,PCA,-13.443962425096926
35682,20141214,19,PM2.5,56.1
35688,20141214,20,PCA,2.081627158609435
35688,20141214,20,PM2.5,75.9
35694,20141214,21,PCA,6.327732009493317
35694,20141214,21,PM2.5,80.0
35700,20141214,22,PCA,8.456773794995382
35700,20141214,22,PM2.5,81.4
35706,20141214,23,PCA,18.70135951865888
35706,20141214,23,PM2.5,93.7
35712,20141215,0,PCA,34.834756644044006
35712,20141215,0,PM2.5,113.6
35718,20141215,1,PCA,46.04491779610562
35718,20141215,1,PM2.5,125.7
35724,20141215,2,PCA,48.73520874770959
35724,20141215,2,PM2.5,125.7
35730,20141215,3,PCA,36.58175288907791
35730,20141215,3,PM2.5,105.6
35736,20141215,4,PCA,23.43885669712699
35736,20141215,4,PM2.5,80.3
35742,20141215,5,PCA,8.392941275854756
35742,20141215,5,PM2.5,60.9
35748,20141215,6,PCA,-17.909316724303906
35748,20141215,6,PM2.5,25.5
35754,20141215,7,PCA,-25.857297144377615
35754,20141215,7,PM2.5,15.7
35760,20141215,8,PCA,-27.846273827657487
35760,20141215,8,PM2.5,14.2
35766,20141215,9,PCA,-29.66651704699342
35766,20141215,9,PM2.5,11.6
35772,20141215,10,PCA,-34.375390919390405
35772,20141215,10,PM2.5,6.6
35778,20141215,11,PCA,-34.058882948772016
35778,20141215,11,PM2.5,8.4
35784,20141215,12,PCA,-35.48177828424661
35784,20141215,12,PM2.5,7.3
35790,20141215,13,PCA,-39.80446759964981
35790,20141215,13,PM2.5,3.0
35796,20141215,14,PCA,-40.320944872696124
35796,20141215,14,PM2.5,5.6
35802,20141215,15,PCA,-40.27196859289265
35802,20141215,15,PM2.5,6.9
35808,20141215,16,PCA,-42.80353053280886
35808,20141215,16,PM2.5,3.0
35814,20141215,17,PCA,-42.71374244845698
35814,20141215,17,PM2.5,3.7
35820,20141215,18,PCA,-43.39403705993462
35820,20141215,18,PM2.5,3.4
35826,20141215,19,PCA,-42.406771755550885
35826,20141215,19,PM2.5,5.3
35832,20141215,20,PCA,-39.541272101213366
35832,20141215,20,PM2.5,11.1
35838,20141215,21,PCA,-41.236410396981626
35838,20141215,21,PM2.5,9.7
35844,20141215,22,PCA,-41.70484176898909
35844,20141215,22,PM2.5,9.0
35850,20141215,23,PCA,-44.1694676673888
35850,20141215,23,PM2.5,8.7
35856,20141216,0,PCA,-48.018402021357154
35856,20141216,0,PM2.5,5.6
35862,20141216,1,PCA,-50.43744930940934
35862,20141216,1,PM2.5,6.1
35868,20141216,2,PCA,-52.30949609084362
35868,20141216,2,PM2.5,6.4
35874,20141216,3,PCA,-53.93198968612034
35874,20141216,3,PM2.5,6.2
35880,20141216,4,PCA,-51.569890595255124
35880,20141216,4,PM2.5,11.3
35886,20141216,5,PCA,-55.77593380610019
35886,20141216,5,PM2.5,6.7
35892,20141216,6,PCA,-56.616020893743475
35892,20141216,6,PM2.5,8.9
35898,20141216,7,PCA,-61.858637311237125
35898,20141216,7,PM2.5,8.0
35904,20141216,8,PCA,-64.31794722671738
35904,20141216,8,PM2.5,7.0
35910,20141216,9,PCA,-65.25014693378944
35910,20141216,9,PM2.5,10.0
35916,20141216,10,PCA,-65.59249618772289
35916,20141216,10,PM2.5,10.5
35922,20141216,11,PCA,-65.33862123051543
35922,20141216,11,PM2.5,11.7
35928,20141216,12,PCA,-67.30584367375523
35928,20141216,12,PM2.5,8.2
35934,20141216,13,PCA,-67.9066215674753
35934,20141216,13,PM2.5,7.3
35940,20141216,14,PCA,-68.07671733616776
35940,20141216,14,PM2.5,6.8
35946,20141216,15,PCA,-70.30996320057099
35946,20141216,15,PM2.5,4.1
35952,20141216,16,PCA,-70.08224701996866
35952,20141216,16,PM2.5,4.6
35958,20141216,17,PCA,-67.13956580664006
35958,20141216,17,PM2.5,9.1
35964,20141216,18,PCA,-66.67849467881088
35964,20141216,18,PM2.5,8.7
35970,20141216,19,PCA,-67.1334602396304
35970,20141216,19,PM2.5,6.7
35976,20141216,20,PCA,-61.81389856318114
35976,20141216,20,PM2.5,13.3
35982,20141216,21,PCA,-63.60094458888301
35982,20141216,21,PM2.5,10.5
35988,20141216,22,PCA,-65.69760682134402
35988,20141216,22,PM2.5,8.2
35994,20141216,23,PCA,-64.50567827303368
35994,20141216,23,PM2.5,8.8
36000,20141217,0,PCA,-64.35538769087519
36000,20141217,0,PM2.5,7.0
36006,20141217,1,PCA,-62.4829734011609
36006,20141217,1,PM2.5,7.4
36012,20141217,2,PCA,-61.56244287454763
36012,20141217,2,PM2.5,10.1
36018,20141217,3,PCA,-64.31467797558427
36018,20141217,3,PM2.5,3.0
36024,20141217,4,PCA,-61.00011763310288
36024,20141217,4,PM2.5,8.6
36030,20141217,5,PCA,-57.95367435393145
36030,20141217,5,PM2.5,10.9
36036,20141217,6,PCA,-56.05673120701673
36036,20141217,6,PM2.5,11.8
36042,20141217,7,PCA,-59.8842829670565
36042,20141217,7,PM2.5,5.6
36048,20141217,8,PCA,-57.81114339361257
36048,20141217,8,PM2.5,8.5
36054,20141217,9,PCA,-55.859167465442084
36054,20141217,9,PM2.5,9.9
36060,20141217,10,PCA,-54.83494740787869
36060,20141217,10,PM2.5,10.9
36066,20141217,11,PCA,-55.36598959861067
36066,20141217,11,PM2.5,9.6
36072,20141217,12,PCA,-56.36721861475304
36072,20141217,12,PM2.5,7.2
36078,20141217,13,PCA,-52.14283982548524
36078,20141217,13,PM2.5,11.6
36084,20141217,14,PCA,-49.83832745662113
36084,20141217,14,PM2.5,13.0
36090,20141217,15,PCA,-48.23169216247877
36090,20141217,15,PM2.5,14.6
36096,20141217,16,PCA,-50.771454287484744
36096,20141217,16,PM2.5,10.3
36102,20141217,17,PCA,-50.240894549509626
36102,20141217,17,PM2.5,11.9
36108,20141217,18,PCA,-33.41491867910468
36108,20141217,18,PM2.5,36.0
36114,20141217,19,PCA,9.09574096471211
36114,20141217,19,PM2.5,91.4
36120,20141217,20,PCA,4.39518263007433
36120,20141217,20,PM2.5,83.6
36126,20141217,21,PCA,6.187783276373904
36126,20141217,21,PM2.5,86.0
36132,20141217,22,PCA,3.0180880516094852
36132,20141217,22,PM2.5,79.4
36138,20141217,23,PCA,15.95336445361765
36138,20141217,23,PM2.5,96.4
36144,20141218,0,PCA,-10.919058237588448
36144,20141218,0,PM2.5,56.1
36150,20141218,1,PCA,-26.213640540869005
36150,20141218,1,PM2.5,34.7
36156,20141218,2,PCA,-28.464444467414648
36156,20141218,2,PM2.5,32.5
36162,20141218,3,PCA,-30.627585492770024
36162,20141218,3,PM2.5,29.6
36168,20141218,4,PCA,-32.401449457547024
36168,20141218,4,PM2.5,27.8
36174,20141218,5,PCA,-24.942363393826227
36174,20141218,5,PM2.5,38.6
36180,20141218,6,PCA,6.589630603712849
36180,20141218,6,PM2.5,81.0
36186,20141218,7,PCA,24.96516902348834
36186,20141218,7,PM2.5,106.5
36192,20141218,8,PCA,27.480059807421462
36192,20141218,8,PM2.5,107.3
36198,20141218,9,PCA,26.286955384818025
36198,20141218,9,PM2.5,101.3
36204,20141218,10,PCA,30.648192291242424
36204,20141218,10,PM2.5,103.0
36210,20141218,11,PCA,35.61572855787112
36210,20141218,11,PM2.5,104.3
36216,20141218,12,PCA,42.14408685595757
36216,20141218,12,PM2.5,108.6
36222,20141218,13,PCA,47.62056324455329
36222,20141218,13,PM2.5,111.5
36228,20141218,14,PCA,53.67569854383213
36228,20141218,14,PM2.5,113.3
36234,20141218,15,PCA,58.97030802050238
36234,20141218,15,PM2.5,112.6
36240,20141218,16,PCA,78.43487710272345
36240,20141218,16,PM2.5,134.6
36246,20141218,17,PCA,89.73497512477203
36246,20141218,17,PM2.5,143.7
36252,20141218,18,PCA,97.275410602461
36252,20141218,18,PM2.5,148.3
36258,20141218,19,PCA,100.37598858434946
36258,20141218,19,PM2.5,148.5
36264,20141218,20,PCA,106.41598569297872
36264,20141218,20,PM2.5,154.1
36270,20141218,21,PCA,111.27304583451485
36270,20141218,21,PM2.5,156.7
36312,20141219,4,PCA,56.97428794292727
36312,20141219,4,PM2.5,58.9
36318,20141219,5,PCA,31.89399949588773
36318,20141219,5,PM2.5,27.3
36324,20141219,6,PCA,19.20940408861898
36324,20141219,6,PM2.5,13.1
36330,20141219,7,PCA,17.87935041825173
36330,20141219,7,PM2.5,17.7
36336,20141219,8,PCA,10.645686349103418
36336,20141219,8,PM2.5,13.8
36342,20141219,9,PCA,6.913984818223968
36342,20141219,9,PM2.5,15.2
36348,20141219,10,PCA,2.885315077181414
36348,20141219,10,PM2.5,16.0
36354,20141219,11,PCA,4.051772171603024
36354,20141219,11,PM2.5,23.3
36360,20141219,12,PCA,-8.303786964202038
36360,20141219,12,PM2.5,13.6
36366,20141219,13,PCA,-17.690286331869878
36366,20141219,13,PM2.5,7.5
36372,20141219,14,PCA,-25.315971835422857
36372,20141219,14,PM2.5,4.6
36390,20141219,17,PCA,-44.507109672502345
36390,20141219,17,PM2.5,4.7
36396,20141219,18,PCA,-44.15980732757836
36396,20141219,18,PM2.5,10.0
36402,20141219,19,PCA,-47.40210399013944
36402,20141219,19,PM2.5,11.0
36408,20141219,20,PCA,-53.652518393747364
36408,20141219,20,PM2.5,7.9
36414,20141219,21,PCA,-55.765673978953856
36414,20141219,21,PM2.5,11.4
36420,20141219,22,PCA,-57.43975951581781
36420,20141219,22,PM2.5,11.4
36426,20141219,23,PCA,-58.37197032930361
36426,20141219,23,PM2.5,9.2
36432,20141220,0,PCA,-56.18058054064159
36432,20141220,0,PM2.5,12.3
36438,20141220,1,PCA,-55.13589627993888
36438,20141220,1,PM2.5,15.2
36444,20141220,2,PCA,-55.57413928122076
36444,20141220,2,PM2.5,15.2
36450,20141220,3,PCA,-58.61901696806108
36450,20141220,3,PM2.5,12.3
36456,20141220,4,PCA,-64.34477367174526
36456,20141220,4,PM2.5,8.9
36462,20141220,5,PCA,-68.02772064285071
36462,20141220,5,PM2.5,7.3
36468,20141220,6,PCA,-66.98160662848873
36468,20141220,6,PM2.5,9.7
36474,20141220,7,PCA,-67.87883304789497
36474,20141220,7,PM2.5,10.7
36480,20141220,8,PCA,-68.96456817923486
36480,20141220,8,PM2.5,12.6
36486,20141220,9,PCA,-69.44190819572016
36486,20141220,9,PM2.5,12.2
36492,20141220,10,PCA,-68.57357616370562
36492,20141220,10,PM2.5,14.6
36498,20141220,11,PCA,-69.20412256967796
36498,20141220,11,PM2.5,14.0
36504,20141220,12,PCA,-73.15509345205828
36504,20141220,12,PM2.5,10.4
36510,20141220,13,PCA,-68.82414003181934
36510,20141220,13,PM2.5,15.9
36516,20141220,14,PCA,-65.01120009521007
36516,20141220,14,PM2.5,20.3
36522,20141220,15,PCA,-59.51010630593003
36522,20141220,15,PM2.5,26.4
36528,20141220,16,PCA,-63.88430134908312
36528,20141220,16,PM2.5,20.2
36534,20141220,17,PCA,-72.52547993463473
36534,20141220,17,PM2.5,9.2
36540,20141220,18,PCA,-76.11124717661416
36540,20141220,18,PM2.5,6.2
36546,20141220,19,PCA,-76.7322307974527
36546,20141220,19,PM2.5,5.6
36552,20141220,20,PCA,-77.1605783410648
36552,20141220,20,PM2.5,4.5
36558,20141220,21,PCA,-77.96582006508878
36558,20141220,21,PM2.5,3.0
36564,20141220,22,PCA,-70.90934074762338
36564,20141220,22,PM2.5,13.0
36570,20141220,23,PCA,-74.58514438554937
36570,20141220,23,PM2.5,9.3
36576,20141221,0,PCA,-75.35263448532028
36576,20141221,0,PM2.5,8.8
36582,20141221,1,PCA,-76.27399815816963
36582,20141221,1,PM2.5,8.2
36588,20141221,2,PCA,-76.30731470116568
36588,20141221,2,PM2.5,8.7
36594,20141221,3,PCA,-73.22069960024635
36594,20141221,3,PM2.5,13.0
36600,20141221,4,PCA,-72.15027313449711
36600,20141221,4,PM2.5,14.1
36606,20141221,5,PCA,-72.30375419006421
36606,20141221,5,PM2.5,11.2
36612,20141221,6,PCA,-69.46706164491737
36612,20141221,6,PM2.5,12.4
36618,20141221,7,PCA,-70.66561481840088
36618,20141221,7,PM2.5,10.9
36624,20141221,8,PCA,-71.66719275747855
36624,20141221,8,PM2.5,9.6
36630,20141221,9,PCA,-69.78703091215336
36630,20141221,9,PM2.5,11.8
36636,20141221,10,PCA,-68.62792777598277
36636,20141221,10,PM2.5,13.8
36642,20141221,11,PCA,-71.37906312744539
36642,20141221,11,PM2.5,8.5
36648,20141221,12,PCA,-66.99137024656135
36648,20141221,12,PM2.5,13.2
36654,20141221,13,PCA,-65.26853682728982
36654,20141221,13,PM2.5,11.1
36660,20141221,14,PCA,-62.95700176452684
36660,20141221,14,PM2.5,12.9
36666,20141221,15,PCA,-59.78576236807045
36666,20141221,15,PM2.5,13.1
36672,20141221,16,PCA,-52.31690386910916
36672,20141221,16,PM2.5,20.3
36678,20141221,17,PCA,-48.992280319308676
36678,20141221,17,PM2.5,21.5
36684,20141221,18,PCA,-46.91058641649835
36684,20141221,18,PM2.5,20.1
36690,20141221,19,PCA,-47.00422990056535
36690,20141221,19,PM2.5,16.0
36696,20141221,20,PCA,-39.95798256691444
36696,20141221,20,PM2.5,23.1
36702,20141221,21,PCA,-43.306879246560605
36702,20141221,21,PM2.5,15.2
36708,20141221,22,PCA,-45.37796937134488
36708,20141221,22,PM2.5,11.8
36714,20141221,23,PCA,-42.11825333489136
36714,20141221,23,PM2.5,15.1
36720,20141222,0,PCA,-41.68555538443737
36720,20141222,0,PM2.5,15.1
36726,20141222,1,PCA,-41.6911296118896
36726,20141222,1,PM2.5,13.8
36732,20141222,2,PCA,-36.56068324489339
36732,20141222,2,PM2.5,17.8
36738,20141222,3,PCA,-37.023082638105066
36738,20141222,3,PM2.5,16.6
36744,20141222,4,PCA,-33.86260361990844
36744,20141222,4,PM2.5,20.2
36750,20141222,5,PCA,-35.006113081809225
36750,20141222,5,PM2.5,16.9
36756,20141222,6,PCA,-38.03921783544271
36756,20141222,6,PM2.5,12.1
36762,20141222,7,PCA,-37.006972736894916
36762,20141222,7,PM2.5,13.9
36768,20141222,8,PCA,-35.64506815127465
36768,20141222,8,PM2.5,16.0
36774,20141222,9,PCA,-30.331218875153592
36774,20141222,9,PM2.5,23.4
36780,20141222,10,PCA,-35.908933733323046
36780,20141222,10,PM2.5,13.4
36786,20141222,11,PCA,-27.51205504249097
36786,20141222,11,PM2.5,25.3
36792,20141222,12,PCA,-33.882434352867236
36792,20141222,12,PM2.5,17.7
36798,20141222,13,PCA,-31.32610131825745
36798,20141222,13,PM2.5,22.1
36804,20141222,14,PCA,-30.312121039497004
36804,20141222,14,PM2.5,24.3
36810,20141222,15,PCA,-31.143654959258377
36810,20141222,15,PM2.5,24.6
36816,20141222,16,PCA,-31.827766218913254
36816,20141222,16,PM2.5,25.2
36822,20141222,17,PCA,-29.865331681705364
36822,20141222,17,PM2.5,26.3
36828,20141222,18,PCA,-28.40543694335266
36828,20141222,18,PM2.5,32.4
36834,20141222,19,PCA,-32.426588601390264
36834,20141222,19,PM2.5,27.2
36840,20141222,20,PCA,-35.36222356981278
36840,20141222,20,PM2.5,26.7
36846,20141222,21,PCA,-37.91549600616067
36846,20141222,21,PM2.5,24.7
36852,20141222,22,PCA,-38.12174353007039
36852,20141222,22,PM2.5,25.6
36858,20141222,23,PCA,-31.53097271472102
36858,20141222,23,PM2.5,33.0
36864,20141223,0,PCA,-29.570411025553717
36864,20141223,0,PM2.5,36.0
36870,20141223,1,PCA,-33.489647607802695
36870,20141223,1,PM2.5,34.0
36876,20141223,2,PCA,-34.73526864000296
36876,20141223,2,PM2.5,35.6
36882,20141223,3,PCA,-22.347664087372426
36882,20141223,3,PM2.5,53.4
36888,20141223,4,PCA,-14.665208082730437
36888,20141223,4,PM2.5,62.8
36894,20141223,5,PCA,-10.595932634102924
36894,20141223,5,PM2.5,67.4
36900,20141223,6,PCA,-0.2840694401876696
36900,20141223,6,PM2.5,79.7
36906,20141223,7,PCA,-0.5347166844254079
36906,20141223,7,PM2.5,77.4
36912,20141223,8,PCA,-9.578008847331315
36912,20141223,8,PM2.5,64.0
36918,20141223,9,PCA,-9.941397854798296
36918,20141223,9,PM2.5,62.6
36924,20141223,10,PCA,-0.2584953603823843
36924,20141223,10,PM2.5,74.3
36930,20141223,11,PCA,10.505813399252533
36930,20141223,11,PM2.5,86.0
36936,20141223,12,PCA,18.523939367841542
36936,20141223,12,PM2.5,93.5
36942,20141223,13,PCA,2.555424218788814
36942,20141223,13,PM2.5,67.5
36948,20141223,14,PCA,0.3778055805957151
36948,20141223,14,PM2.5,61.2
36954,20141223,15,PCA,2.7357713506872843
36954,20141223,15,PM2.5,64.3
36960,20141223,16,PCA,-22.36943538730363
36960,20141223,16,PM2.5,26.7
36966,20141223,17,PCA,-13.13410734199521
36966,20141223,17,PM2.5,39.9
36972,20141223,18,PCA,-7.014555228518942
36972,20141223,18,PM2.5,44.6
36978,20141223,19,PCA,-1.3083841890827423
36978,20141223,19,PM2.5,53.2
36984,20141223,20,PCA,-2.5702644465393516
36984,20141223,20,PM2.5,52.6
36990,20141223,21,PCA,-11.041436976780842
36990,20141223,21,PM2.5,39.4
36996,20141223,22,PCA,-7.68106187579313
36996,20141223,22,PM2.5,44.8
37002,20141223,23,PCA,-10.485501966986403
37002,20141223,23,PM2.5,38.8
37008,20141224,0,PCA,-24.43540742477543
37008,20141224,0,PM2.5,20.4
37014,20141224,1,PCA,-27.99219337457785
37014,20141224,1,PM2.5,15.7
37020,20141224,2,PCA,-29.07594869901027
37020,20141224,2,PM2.5,16.0
37026,20141224,3,PCA,-33.0022290822836
37026,20141224,3,PM2.5,12.9
37032,20141224,4,PCA,-33.936817425987066
37032,20141224,4,PM2.5,16.1
37038,20141224,5,PCA,-36.26326191645939
37038,20141224,5,PM2.5,13.2
37044,20141224,6,PCA,-40.55604604272106
37044,20141224,6,PM2.5,10.1
37050,20141224,7,PCA,-40.280886369128055
37050,20141224,7,PM2.5,11.5
37056,20141224,8,PCA,-39.582735791187865
37056,20141224,8,PM2.5,13.3
37062,20141224,9,PCA,-37.696344705291764
37062,20141224,9,PM2.5,16.4
37068,20141224,10,PCA,-36.38751924577251
37068,20141224,10,PM2.5,19.8
37074,20141224,11,PCA,-37.31146195358563
37074,20141224,11,PM2.5,20.5
37080,20141224,12,PCA,-40.14081938173443
37080,20141224,12,PM2.5,16.4
37086,20141224,13,PCA,-44.4796207958965
37086,20141224,13,PM2.5,12.1
37092,20141224,14,PCA,-48.01514799628833
37092,20141224,14,PM2.5,7.8
37098,20141224,15,PCA,-45.89950930344778
37098,20141224,15,PM2.5,12.4
37104,20141224,16,PCA,-47.567881201921885
37104,20141224,16,PM2.5,11.7
37110,20141224,17,PCA,-47.51964745578738
37110,20141224,17,PM2.5,11.9
37116,20141224,18,PCA,-44.64777114344179
37116,20141224,18,PM2.5,16.5
37122,20141224,19,PCA,-42.703622637905646
37122,20141224,19,PM2.5,23.2
37128,20141224,20,PCA,-42.304404181046664
37128,20141224,20,PM2.5,25.5
37134,20141224,21,PCA,-42.63935395853979
37134,20141224,21,PM2.5,25.4
37140,20141224,22,PCA,-50.03824419314799
37140,20141224,22,PM2.5,15.7
37146,20141224,23,PCA,-49.66528821909164
37146,20141224,23,PM2.5,17.8
37152,20141225,0,PCA,-51.46101482604102
37152,20141225,0,PM2.5,17.2
37158,20141225,1,PCA,-48.755814665543454
37158,20141225,1,PM2.5,21.4
37164,20141225,2,PCA,-53.68992952621085
37164,20141225,2,PM2.5,15.2
37170,20141225,3,PCA,-49.538775396863834
37170,20141225,3,PM2.5,21.9
37176,20141225,4,PCA,-50.61872313102179
37176,20141225,4,PM2.5,20.2
37182,20141225,5,PCA,-48.94157433576849
37182,20141225,5,PM2.5,21.8
37188,20141225,6,PCA,-50.59218829826395
37188,20141225,6,PM2.5,19.9
37194,20141225,7,PCA,-52.8325682940085
37194,20141225,7,PM2.5,16.8
37200,20141225,8,PCA,-51.74332809386304
37200,20141225,8,PM2.5,18.5
37206,20141225,9,PCA,-56.56590226238245
37206,20141225,9,PM2.5,13.8
37230,20141225,13,PCA,-56.99441027369915
37230,20141225,13,PM2.5,19.8
37236,20141225,14,PCA,-50.59450646013419
37236,20141225,14,PM2.5,30.4
37242,20141225,15,PCA,-52.890351398885265
37242,20141225,15,PM2.5,24.0
37248,20141225,16,PCA,-50.548295201590555
37248,20141225,16,PM2.5,26.1
37254,20141225,17,PCA,-50.95261895715984
37254,20141225,17,PM2.5,26.4
37260,20141225,18,PCA,-51.626522395281825
37260,20141225,18,PM2.5,25.5
37266,20141225,19,PCA,-57.38940233500925
37266,20141225,19,PM2.5,20.8
37272,20141225,20,PCA,-56.22020248140235
37272,20141225,20,PM2.5,22.5
37278,20141225,21,PCA,-50.2065421688425
37278,20141225,21,PM2.5,31.7
37284,20141225,22,PCA,-47.954042985299054
37284,20141225,22,PM2.5,34.5
37290,20141225,23,PCA,-50.534485835867805
37290,20141225,23,PM2.5,31.8
37296,20141226,0,PCA,-50.66645308249948
37296,20141226,0,PM2.5,32.3
37302,20141226,1,PCA,-53.35499002270834
37302,20141226,1,PM2.5,27.5
37308,20141226,2,PCA,-48.56516875590839
37308,20141226,2,PM2.5,31.7
37314,20141226,3,PCA,-39.45099309172687
37314,20141226,3,PM2.5,42.4
37320,20141226,4,PCA,-33.775923754399386
37320,20141226,4,PM2.5,48.5
37326,20141226,5,PCA,-27.800499737806724
37326,20141226,5,PM2.5,55.5
37332,20141226,6,PCA,-24.87737393947552
37332,20141226,6,PM2.5,56.9
37338,20141226,7,PCA,-17.94250964108361
37338,20141226,7,PM2.5,63.9
37344,20141226,8,PCA,-14.915946107341577
37344,20141226,8,PM2.5,65.9
37350,20141226,9,PCA,-17.696793564402725
37350,20141226,9,PM2.5,60.9
37356,20141226,10,PCA,-11.39111681011011
37356,20141226,10,PM2.5,64.9
37362,20141226,11,PCA,-14.683967813195068
37362,20141226,11,PM2.5,57.6
37368,20141226,12,PCA,-8.539359012650516
37368,20141226,12,PM2.5,64.8
37374,20141226,13,PCA,3.174872109245341
37374,20141226,13,PM2.5,77.5
37380,20141226,14,PCA,8.306929702138232
37380,20141226,14,PM2.5,80.9
37386,20141226,15,PCA,25.274462006080086
37386,20141226,15,PM2.5,99.9
37392,20141226,16,PCA,45.22818923518184
37392,20141226,16,PM2.5,121.3
37398,20141226,17,PCA,52.33814953544766
37398,20141226,17,PM2.5,125.6
37404,20141226,18,PCA,46.741454793768106
37404,20141226,18,PM2.5,115.2
37410,20141226,19,PCA,57.90610459127437
37410,20141226,19,PM2.5,124.7
37416,20141226,20,PCA,64.15627949485736
37416,20141226,20,PM2.5,128.7
37422,20141226,21,PCA,74.76131030548687
37422,20141226,21,PM2.5,137.2
37428,20141226,22,PCA,76.96622991833244
37428,20141226,22,PM2.5,135.1
37434,20141226,23,PCA,81.5049981826424
37434,20141226,23,PM2.5,137.9
37440,20141227,0,PCA,82.67826030934926
37440,20141227,0,PM2.5,136.60000000000002
37446,20141227,1,PCA,86.85955567057245
37446,20141227,1,PM2.5,135.3
37452,20141227,2,PCA,95.89863138461585
37452,20141227,2,PM2.5,141.4
37458,20141227,3,PCA,83.49903399497457
37458,20141227,3,PM2.5,121.1
37464,20141227,4,PCA,89.10736148166953
37464,20141227,4,PM2.5,126.2
37470,20141227,5,PCA,91.13939843015112
37470,20141227,5,PM2.5,125.7
37476,20141227,6,PCA,99.74675171625859
37476,20141227,6,PM2.5,131.3
37482,20141227,7,PCA,97.67882173840422
37482,20141227,7,PM2.5,121.7
37488,20141227,8,PCA,103.987062167136
37488,20141227,8,PM2.5,128.3
37494,20141227,9,PCA,109.07298931422383
37494,20141227,9,PM2.5,131.3
37500,20141227,10,PCA,115.82115323713617
37500,20141227,10,PM2.5,137.3
37506,20141227,11,PCA,101.4289044447861
37506,20141227,11,PM2.5,112.6
37512,20141227,12,PCA,87.83498760577535
37512,20141227,12,PM2.5,92.4
37518,20141227,13,PCA,71.25606082442589
37518,20141227,13,PM2.5,66.7
37524,20141227,14,PCA,57.722956079721726
37524,20141227,14,PM2.5,50.3
