,date,hour,type,大兴
87402,20151213,0,PCA,497.76938997295537
87402,20151213,0,PM2.5,481.0
87408,20151213,1,PCA,576.9924060030755
87408,20151213,1,PM2.5,581.0
87414,20151213,2,PCA,633.135244039251
87414,20151213,2,PM2.5,643.0
87420,20151213,3,PCA,496.21148673868475
87420,20151213,3,PM2.5,446.0
87426,20151213,4,PCA,467.72742933766136
87426,20151213,4,PM2.5,394.0
87432,20151213,5,PCA,595.2934479153213
87432,20151213,5,PM2.5,565.0
87438,20151213,6,PCA,523.6315126145906
87438,20151213,6,PM2.5,460.0
87444,20151213,7,PCA,438.1752793084912
87444,20151213,7,PM2.5,340.0
87450,20151213,8,PCA,407.2915229793697
87450,20151213,8,PM2.5,297.0
87456,20151213,9,PCA,333.22280706251263
87456,20151213,9,PM2.5,201.0
87462,20151213,10,PCA,278.96985189045546
87462,20151213,10,PM2.5,132.0
87468,20151213,11,PCA,295.5089850289286
87468,20151213,11,PM2.5,159.0
87474,20151213,12,PCA,322.7519167019746
87474,20151213,12,PM2.5,198.0
87480,20151213,13,PCA,344.3181758387489
87480,20151213,13,PM2.5,230.0
87486,20151213,14,PCA,363.9811685325191
87486,20151213,14,PM2.5,255.0
87492,20151213,15,PCA,377.21724416952253
87492,20151213,15,PM2.5,270.0
87498,20151213,16,PCA,378.91925461813736
87498,20151213,16,PM2.5,273.0
87504,20151213,17,PCA,368.2380733755968
87504,20151213,17,PM2.5,259.0
87510,20151213,18,PCA,392.8340339060443
87510,20151213,18,PM2.5,296.0
87516,20151213,19,PCA,405.61563185983965
87516,20151213,19,PM2.5,318.0
87522,20151213,20,PCA,398.11262813803785
87522,20151213,20,PM2.5,312.0
87528,20151213,21,PCA,383.3832116083934
87528,20151213,21,PM2.5,298.0
87534,20151213,22,PCA,351.1237317281544
87534,20151213,22,PM2.5,265.0
87540,20151213,23,PCA,348.48672558213286
87540,20151213,23,PM2.5,270.0
87546,20151214,0,PCA,398.578652167092
87546,20151214,0,PM2.5,347.0
87552,20151214,1,PCA,402.7274889154533
87552,20151214,1,PM2.5,369.0
87558,20151214,2,PCA,388.59168124162466
87558,20151214,2,PM2.5,365.0
87564,20151214,3,PCA,370.2232649463504
87564,20151214,3,PM2.5,342.0
87570,20151214,4,PCA,277.52210251143816
87570,20151214,4,PM2.5,216.0
87576,20151214,5,PCA,287.0662774002674
87576,20151214,5,PM2.5,245.0
87582,20151214,6,PCA,312.6764557823356
87582,20151214,6,PM2.5,284.0
87588,20151214,7,PCA,285.7642641656693
87588,20151214,7,PM2.5,250.0
87594,20151214,8,PCA,274.6915233920401
87594,20151214,8,PM2.5,236.0
87600,20151214,9,PCA,289.2151288980139
87600,20151214,9,PM2.5,253.0
87606,20151214,10,PCA,325.36640380734866
87606,20151214,10,PM2.5,299.0
87612,20151214,11,PCA,373.7695687248517
87612,20151214,11,PM2.5,362.0
87618,20151214,12,PCA,392.14171903302343
87618,20151214,12,PM2.5,378.0
87636,20151214,15,PCA,413.06620811654875
87636,20151214,15,PM2.5,390.0
87642,20151214,16,PCA,411.034053684916
87642,20151214,16,PM2.5,382.0
87648,20151214,17,PCA,366.27576389417607
87648,20151214,17,PM2.5,313.0
87654,20151214,18,PCA,353.44083863933184
87654,20151214,18,PM2.5,296.0
87660,20151214,19,PCA,342.317685815112
87660,20151214,19,PM2.5,282.0
87666,20151214,20,PCA,297.9414275039715
87666,20151214,20,PM2.5,224.0
87672,20151214,21,PCA,156.61474969494012
87672,20151214,21,PM2.5,45.0
87678,20151214,22,PCA,120.80935832695792
87678,20151214,22,PM2.5,19.0
87684,20151214,23,PCA,-69.10229325936164
87684,20151214,23,PM2.5,28.0
87690,20151215,0,PCA,121.3917909973766
87690,20151215,0,PM2.5,37.0
87696,20151215,1,PCA,91.10213289143047
87696,20151215,1,PM2.5,13.0
87702,20151215,2,PCA,79.63255617996744
87702,20151215,2,PM2.5,15.0
87708,20151215,3,PCA,68.57925721030783
87708,20151215,3,PM2.5,13.0
87714,20151215,4,PCA,56.166647446753174
87714,20151215,4,PM2.5,4.0
87720,20151215,5,PCA,53.10065342542312
87720,20151215,5,PM2.5,10.0
87726,20151215,6,PCA,42.155430601376835
87726,20151215,6,PM2.5,5.0
87732,20151215,7,PCA,41.859270290073425
87732,20151215,7,PM2.5,10.0
87738,20151215,8,PCA,41.591667979428365
87738,20151215,8,PM2.5,10.0
87744,20151215,9,PCA,22.65385364737989
87744,20151215,9,PM2.5,3.0
87750,20151215,10,PCA,20.18154608984488
87750,20151215,10,PM2.5,14.0
87756,20151215,11,PCA,0.9425417495167634
87756,20151215,11,PM2.5,6.0
87762,20151215,12,PCA,-16.886911001612024
87762,20151215,12,PM2.5,3.0
87768,20151215,13,PCA,-24.83908055659583
87768,20151215,13,PM2.5,12.0
87774,20151215,14,PCA,-38.567086512952976
87774,20151215,14,PM2.5,9.0
87780,20151215,15,PCA,-53.608965503806154
87780,20151215,15,PM2.5,6.0
87786,20151215,16,PCA,-67.12081938870423
87786,20151215,16,PM2.5,5.0
87792,20151215,17,PCA,-79.09670457799493
87792,20151215,17,PM2.5,4.0
87798,20151215,18,PCA,-83.981513461391
87798,20151215,18,PM2.5,8.0
87804,20151215,19,PCA,-92.37244020848853
87804,20151215,19,PM2.5,10.0
87810,20151215,20,PCA,-101.7614060844726
87810,20151215,20,PM2.5,9.0
87816,20151215,21,PCA,-108.5718421214291
87816,20151215,21,PM2.5,3.0
87822,20151215,22,PCA,-105.32573237612827
87822,20151215,22,PM2.5,9.0
87828,20151215,23,PCA,-111.58521270670953
87828,20151215,23,PM2.5,4.0
87834,20151216,0,PCA,-112.45407124501475
87834,20151216,0,PM2.5,3.0
87840,20151216,1,PCA,-112.19941835665385
87840,20151216,1,PM2.5,4.0
87846,20151216,2,PCA,-112.91830635816245
87846,20151216,2,PM2.5,3.0
87852,20151216,3,PCA,-111.7726280237812
87852,20151216,3,PM2.5,5.0
87858,20151216,4,PCA,-110.11789768135473
87858,20151216,4,PM2.5,9.0
87864,20151216,5,PCA,-114.1665359417673
87864,20151216,5,PM2.5,3.0
87870,20151216,6,PCA,-114.11593964950912
87870,20151216,6,PM2.5,3.0
87876,20151216,7,PCA,-110.42830517506538
87876,20151216,7,PM2.5,7.0
87882,20151216,8,PCA,-109.5555866730934
87882,20151216,8,PM2.5,7.0
87888,20151216,9,PCA,-110.49088302622957
87888,20151216,9,PM2.5,5.0
87894,20151216,10,PCA,-111.95317196792885
87894,20151216,10,PM2.5,6.0
87900,20151216,11,PCA,-111.34855688106066
87900,20151216,11,PM2.5,6.0
87906,20151216,12,PCA,-105.59157090002533
87906,20151216,12,PM2.5,15.0
87912,20151216,13,PCA,-109.85771628328347
87912,20151216,13,PM2.5,9.0
87918,20151216,14,PCA,-105.8596743151291
87918,20151216,14,PM2.5,15.0
87924,20151216,15,PCA,-108.94538659432058
87924,20151216,15,PM2.5,10.0
87930,20151216,16,PCA,-111.22163031510932
87930,20151216,16,PM2.5,6.0
87936,20151216,17,PCA,-103.82180893673501
87936,20151216,17,PM2.5,12.0
87942,20151216,18,PCA,-100.28303152820489
87942,20151216,18,PM2.5,11.0
87948,20151216,19,PCA,-100.32878588305498
87948,20151216,19,PM2.5,9.0
87954,20151216,20,PCA,-100.38601488952986
87954,20151216,20,PM2.5,9.0
87960,20151216,21,PCA,-96.7302601166423
87960,20151216,21,PM2.5,11.0
87966,20151216,22,PCA,-83.70197573530646
87966,20151216,22,PM2.5,17.0
87972,20151216,23,PCA,-90.78610017927124
87972,20151216,23,PM2.5,8.0
87978,20151217,0,PCA,-85.33854770375554
87978,20151217,0,PM2.5,11.0
87984,20151217,1,PCA,-70.22932632109016
87984,20151217,1,PM2.5,30.0
87990,20151217,2,PCA,-73.4457173382623
87990,20151217,2,PM2.5,26.0
87996,20151217,3,PCA,-81.31481822642559
87996,20151217,3,PM2.5,18.0
88002,20151217,4,PCA,-26.06334628610547
88002,20151217,4,PM2.5,79.0
88008,20151217,5,PCA,-11.347993937257224
88008,20151217,5,PM2.5,97.0
88014,20151217,6,PCA,-5.420914728430979
88014,20151217,6,PM2.5,104.0
88020,20151217,7,PCA,-12.809866370845077
88020,20151217,7,PM2.5,91.0
88026,20151217,8,PCA,6.609838886925799
88026,20151217,8,PM2.5,109.0
88032,20151217,9,PCA,21.69784190817282
88032,20151217,9,PM2.5,124.0
88038,20151217,10,PCA,-20.588270263310545
88038,20151217,10,PM2.5,66.0
88044,20151217,11,PCA,-4.667444749939066
88044,20151217,11,PM2.5,88.0
88050,20151217,12,PCA,-31.482344442649335
88050,20151217,12,PM2.5,56.0
88056,20151217,13,PCA,-30.47346610399456
88056,20151217,13,PM2.5,62.0
88062,20151217,14,PCA,-36.0892241462017
88062,20151217,14,PM2.5,57.0
88068,20151217,15,PCA,-19.962759152440384
88068,20151217,15,PM2.5,76.0
88074,20151217,16,PCA,-24.172825349347363
88074,20151217,16,PM2.5,69.0
88080,20151217,17,PCA,-8.47602845861653
88080,20151217,17,PM2.5,79.0
88086,20151217,18,PCA,7.6156133148599485
88086,20151217,18,PM2.5,90.0
88092,20151217,19,PCA,47.805052078939546
88092,20151217,19,PM2.5,137.0
88098,20151217,20,PCA,74.29274226075145
88098,20151217,20,PM2.5,168.0
88104,20151217,21,PCA,103.37947008008854
88104,20151217,21,PM2.5,197.0
88110,20151217,22,PCA,141.58453309837714
88110,20151217,22,PM2.5,238.0
88116,20151217,23,PCA,136.85098354857723
88116,20151217,23,PM2.5,222.0
88122,20151218,0,PCA,129.36259997102857
88122,20151218,0,PM2.5,203.0
88128,20151218,1,PCA,145.61660640865753
88128,20151218,1,PM2.5,216.0
88134,20151218,2,PCA,146.77391845497445
88134,20151218,2,PM2.5,210.0
88140,20151218,3,PCA,198.03504334356646
88140,20151218,3,PM2.5,266.0
88146,20151218,4,PCA,220.14576047842604
88146,20151218,4,PM2.5,288.0
88152,20151218,5,PCA,232.25716612333784
88152,20151218,5,PM2.5,294.0
88158,20151218,6,PCA,212.05769894008807
88158,20151218,6,PM2.5,259.0
88164,20151218,7,PCA,210.89484730626458
88164,20151218,7,PM2.5,251.0
88170,20151218,8,PCA,196.98509578636973
88170,20151218,8,PM2.5,224.0
88176,20151218,9,PCA,159.10979800436925
88176,20151218,9,PM2.5,166.0
88182,20151218,10,PCA,60.860406088448975
88182,20151218,10,PM2.5,34.0
88188,20151218,11,PCA,51.268598754069814
88188,20151218,11,PM2.5,28.0
88194,20151218,12,PCA,43.58593668329517
88194,20151218,12,PM2.5,24.0
88212,20151218,15,PCA,40.07890544799276
88212,20151218,15,PM2.5,18.0
88218,20151218,16,PCA,53.18291061762379
88218,20151218,16,PM2.5,30.0
88224,20151218,17,PCA,54.83207140010514
88224,20151218,17,PM2.5,26.0
88230,20151218,18,PCA,61.27997250723601
88230,20151218,18,PM2.5,33.0
88236,20151218,19,PCA,72.80317384160303
88236,20151218,19,PM2.5,53.0
88242,20151218,20,PCA,82.58926987648209
88242,20151218,20,PM2.5,72.0
88248,20151218,21,PCA,92.27909618424563
88248,20151218,21,PM2.5,88.0
88254,20151218,22,PCA,125.39880981172567
88254,20151218,22,PM2.5,138.0
88260,20151218,23,PCA,166.76708640383737
88260,20151218,23,PM2.5,193.0
88266,20151219,0,PCA,131.97063935819915
88266,20151219,0,PM2.5,155.0
88272,20151219,1,PCA,101.18634934529972
88272,20151219,1,PM2.5,119.0
88278,20151219,2,PCA,95.71721617294966
88278,20151219,2,PM2.5,117.0
88284,20151219,3,PCA,100.14985261712302
88284,20151219,3,PM2.5,133.0
88290,20151219,4,PCA,132.1619819340397
88290,20151219,4,PM2.5,180.0
88296,20151219,5,PCA,184.5477973373264
88296,20151219,5,PM2.5,254.0
88302,20151219,6,PCA,179.12318961587073
88302,20151219,6,PM2.5,248.0
88308,20151219,7,PCA,132.16331659193534
88308,20151219,7,PM2.5,186.0
88314,20151219,8,PCA,168.4848374255466
88314,20151219,8,PM2.5,230.0
88320,20151219,9,PCA,172.43932717559693
88320,20151219,9,PM2.5,231.0
88326,20151219,10,PCA,145.56545451597762
88326,20151219,10,PM2.5,188.0
88332,20151219,11,PCA,172.10309002342814
88332,20151219,11,PM2.5,213.0
88338,20151219,12,PCA,153.64558282058178
88338,20151219,12,PM2.5,177.0
88344,20151219,13,PCA,138.7606856817636
88344,20151219,13,PM2.5,160.0
88350,20151219,14,PCA,114.10977555671506
88350,20151219,14,PM2.5,135.0
88356,20151219,15,PCA,116.93042114227491
88356,20151219,15,PM2.5,134.0
88362,20151219,16,PCA,102.52893709439033
88362,20151219,16,PM2.5,111.0
88368,20151219,17,PCA,90.75807039130854
88368,20151219,17,PM2.5,95.0
88374,20151219,18,PCA,91.63728489683487
88374,20151219,18,PM2.5,89.0
88380,20151219,19,PCA,105.1855076872248
88380,20151219,19,PM2.5,100.0
88386,20151219,20,PCA,111.28640031682247
88386,20151219,20,PM2.5,107.0
88392,20151219,21,PCA,168.74619225144656
88392,20151219,21,PM2.5,184.0
88398,20151219,22,PCA,203.66084793536803
88398,20151219,22,PM2.5,229.0
88404,20151219,23,PCA,178.24723952902778
88404,20151219,23,PM2.5,195.0
88410,20151220,0,PCA,233.79792548496454
88410,20151220,0,PM2.5,267.0
88416,20151220,1,PCA,226.73928456043953
88416,20151220,1,PM2.5,255.0
88422,20151220,2,PCA,255.97792165115538
88422,20151220,2,PM2.5,292.0
88428,20151220,3,PCA,309.9565277212441
88428,20151220,3,PM2.5,361.0
88434,20151220,4,PCA,286.2780571490085
88434,20151220,4,PM2.5,322.0
88440,20151220,5,PCA,275.8712511055462
88440,20151220,5,PM2.5,304.0
88446,20151220,6,PCA,282.0277386609722
88446,20151220,6,PM2.5,307.0
88452,20151220,7,PCA,255.8288131183577
88452,20151220,7,PM2.5,268.0
88458,20151220,8,PCA,252.4778331005907
88458,20151220,8,PM2.5,259.0
88464,20151220,9,PCA,286.6485149166682
88464,20151220,9,PM2.5,298.0
88470,20151220,10,PCA,301.7515047974589
88470,20151220,10,PM2.5,309.0
88476,20151220,11,PCA,272.17704498909364
88476,20151220,11,PM2.5,265.0
88482,20151220,12,PCA,254.79644285341283
88482,20151220,12,PM2.5,239.0
88488,20151220,13,PCA,243.30086018513387
88488,20151220,13,PM2.5,222.0
88494,20151220,14,PCA,303.785504378888
88494,20151220,14,PM2.5,296.0
88500,20151220,15,PCA,351.84302646502005
88500,20151220,15,PM2.5,355.0
88506,20151220,16,PCA,313.55233139025455
88506,20151220,16,PM2.5,298.0
88512,20151220,17,PCA,323.68578775204054
88512,20151220,17,PM2.5,304.0
88518,20151220,18,PCA,346.3825235894469
88518,20151220,18,PM2.5,328.0
88524,20151220,19,PCA,358.8527573064649
88524,20151220,19,PM2.5,338.0
88530,20151220,20,PCA,406.2188526449133
88530,20151220,20,PM2.5,394.0
88536,20151220,21,PCA,500.051969534366
88536,20151220,21,PM2.5,517.0
88542,20151220,22,PCA,479.89580395977134
88542,20151220,22,PM2.5,478.0
88548,20151220,23,PCA,522.8994744497122
88548,20151220,23,PM2.5,526.0
88554,20151221,0,PCA,548.9035084665707
88554,20151221,0,PM2.5,554.0
88560,20151221,1,PCA,669.3309289878781
88560,20151221,1,PM2.5,713.0
88566,20151221,2,PCA,621.3869803055508
88566,20151221,2,PM2.5,635.0
88572,20151221,3,PCA,512.4565724550904
88572,20151221,3,PM2.5,478.0
88578,20151221,4,PCA,592.2518797274948
88578,20151221,4,PM2.5,589.0
88584,20151221,5,PCA,536.2063931231232
88584,20151221,5,PM2.5,506.0
88590,20151221,6,PCA,439.13050710690595
88590,20151221,6,PM2.5,366.0
88596,20151221,7,PCA,416.1179517279884
88596,20151221,7,PM2.5,330.0
88602,20151221,8,PCA,434.8574748082972
88602,20151221,8,PM2.5,353.0
88608,20151221,9,PCA,444.8046442347788
88608,20151221,9,PM2.5,362.0
88614,20151221,10,PCA,419.90122384744154
88614,20151221,10,PM2.5,322.0
88620,20151221,11,PCA,437.54342690672473
88620,20151221,11,PM2.5,337.0
88626,20151221,12,PCA,452.6723403343428
88626,20151221,12,PM2.5,352.0
88632,20151221,13,PCA,463.7271759856832
88632,20151221,13,PM2.5,360.0
88638,20151221,14,PCA,458.6004114088978
88638,20151221,14,PM2.5,347.0
88644,20151221,15,PCA,447.86210964304433
88644,20151221,15,PM2.5,330.0
88650,20151221,16,PCA,459.15608500194884
88650,20151221,16,PM2.5,342.0
88656,20151221,17,PCA,474.3462462107451
88656,20151221,17,PM2.5,368.0
88662,20151221,18,PCA,504.713936697446
88662,20151221,18,PM2.5,413.0
88668,20151221,19,PCA,520.4166505641053
88668,20151221,19,PM2.5,438.0
88674,20151221,20,PCA,542.7688604050702
88674,20151221,20,PM2.5,471.0
88680,20151221,21,PCA,566.3567077812403
88680,20151221,21,PM2.5,503.0
88686,20151221,22,PCA,554.0431535948164
88686,20151221,22,PM2.5,484.0
88692,20151221,23,PCA,603.6757537321256
88692,20151221,23,PM2.5,552.0
88698,20151222,0,PCA,647.1897013171722
88698,20151222,0,PM2.5,608.0
88704,20151222,1,PCA,629.7962074091437
88704,20151222,1,PM2.5,590.0
88710,20151222,2,PCA,637.7351089179206
88710,20151222,2,PM2.5,605.0
88716,20151222,3,PCA,758.2538823192011
88716,20151222,3,PM2.5,777.0
88722,20151222,4,PCA,692.1642589980062
88722,20151222,4,PM2.5,677.0
88728,20151222,5,PCA,600.8978327523934
88728,20151222,5,PM2.5,547.0
88734,20151222,6,PCA,560.6543936091055
88734,20151222,6,PM2.5,492.0
88740,20151222,7,PCA,551.0666095220092
88740,20151222,7,PM2.5,472.0
88746,20151222,8,PCA,522.287064232322
88746,20151222,8,PM2.5,426.0
88752,20151222,9,PCA,419.82695648562463
88752,20151222,9,PM2.5,283.0
88824,20151222,21,PCA,496.82142936381194
88824,20151222,21,PM2.5,369.0
88830,20151222,22,PCA,501.0231548504239
88830,20151222,22,PM2.5,377.0
88836,20151222,23,PCA,485.4266276595742
88836,20151222,23,PM2.5,363.0
88842,20151223,0,PCA,522.0094940522081
88842,20151223,0,PM2.5,424.0
88848,20151223,1,PCA,520.0157185830487
88848,20151223,1,PM2.5,426.0
88854,20151223,2,PCA,495.8553817069153
88854,20151223,2,PM2.5,396.0
88860,20151223,3,PCA,510.0576207447133
88860,20151223,3,PM2.5,433.0
88866,20151223,4,PCA,506.1895560228047
88866,20151223,4,PM2.5,437.0
88872,20151223,5,PCA,494.0115222920015
88872,20151223,5,PM2.5,423.0
88878,20151223,6,PCA,483.98150736661125
88878,20151223,6,PM2.5,411.0
88884,20151223,7,PCA,490.8396955028792
88884,20151223,7,PM2.5,422.0
88890,20151223,8,PCA,487.17057778039305
88890,20151223,8,PM2.5,419.0
88896,20151223,9,PCA,497.76451966301613
88896,20151223,9,PM2.5,431.0
88902,20151223,10,PCA,509.2030448406441
88902,20151223,10,PM2.5,444.0
88908,20151223,11,PCA,541.924231853121
88908,20151223,11,PM2.5,487.0
88914,20151223,12,PCA,567.1391426310664
88914,20151223,12,PM2.5,515.0
88920,20151223,13,PCA,578.006485452776
88920,20151223,13,PM2.5,521.0
88926,20151223,14,PCA,556.5083032255126
88926,20151223,14,PM2.5,484.0
88932,20151223,15,PCA,538.8430967743304
88932,20151223,15,PM2.5,452.0
88938,20151223,16,PCA,538.1925493927178
88938,20151223,16,PM2.5,445.0
88944,20151223,17,PCA,555.3611111487048
88944,20151223,17,PM2.5,474.0
88950,20151223,18,PCA,554.0324010352861
88950,20151223,18,PM2.5,480.0
88956,20151223,19,PCA,542.7545481887229
88956,20151223,19,PM2.5,469.0
88962,20151223,20,PCA,572.8661944138925
88962,20151223,20,PM2.5,513.0
88968,20151223,21,PCA,584.9595552999696
88968,20151223,21,PM2.5,524.0
88974,20151223,22,PCA,599.3084101021796
88974,20151223,22,PM2.5,537.0
88980,20151223,23,PCA,637.5384666924723
88980,20151223,23,PM2.5,590.0
88986,20151224,0,PCA,618.9160152677797
88986,20151224,0,PM2.5,561.0
88992,20151224,1,PCA,583.5971747966933
88992,20151224,1,PM2.5,504.0
88998,20151224,2,PCA,732.009457545024
88998,20151224,2,PM2.5,717.0
89004,20151224,3,PCA,747.5003614510099
89004,20151224,3,PM2.5,732.0
89010,20151224,4,PCA,548.19022741616
89010,20151224,4,PM2.5,435.0
89016,20151224,5,PCA,295.9670582292747
89016,20151224,5,PM2.5,98.0
89022,20151224,6,PCA,261.05760702939676
89022,20151224,6,PM2.5,57.0
89028,20151224,7,PCA,258.03750498487125
89028,20151224,7,PM2.5,60.0
89034,20151224,8,PCA,268.8238850430802
89034,20151224,8,PM2.5,84.0
89040,20151224,9,PCA,313.94785687799913
89040,20151224,9,PM2.5,150.0
89046,20151224,10,PCA,282.07768953079386
89046,20151224,10,PM2.5,113.0
89052,20151224,11,PCA,307.11765857687925
89052,20151224,11,PM2.5,158.0
89058,20151224,12,PCA,401.8710326968381
89058,20151224,12,PM2.5,293.0
89064,20151224,13,PCA,483.6858098187911
89064,20151224,13,PM2.5,410.0
89070,20151224,14,PCA,565.2629612317936
89070,20151224,14,PM2.5,527.0
89076,20151224,15,PCA,562.9306075983955
89076,20151224,15,PM2.5,532.0
89082,20151224,16,PCA,496.8931117231083
89082,20151224,16,PM2.5,437.0
89088,20151224,17,PCA,506.04018348387297
89088,20151224,17,PM2.5,446.0
89094,20151224,18,PCA,498.48490031952457
89094,20151224,18,PM2.5,436.0
89100,20151224,19,PCA,490.94258356884984
89100,20151224,19,PM2.5,428.0
89106,20151224,20,PCA,490.05592754603936
89106,20151224,20,PM2.5,431.0
89112,20151224,21,PCA,473.1447880038656
89112,20151224,21,PM2.5,412.0
89118,20151224,22,PCA,521.4291029429862
89118,20151224,22,PM2.5,477.0
89124,20151224,23,PCA,533.4139271353444
89124,20151224,23,PM2.5,498.0
89130,20151225,0,PCA,553.7076842742064
89130,20151225,0,PM2.5,517.0
89136,20151225,1,PCA,564.5047806788949
89136,20151225,1,PM2.5,533.0
89142,20151225,2,PCA,583.0485757956902
89142,20151225,2,PM2.5,569.0
89148,20151225,3,PCA,572.9616500594758
89148,20151225,3,PM2.5,562.0
89154,20151225,4,PCA,602.6363827789837
89154,20151225,4,PM2.5,607.0
89160,20151225,5,PCA,619.4411392199681
89160,20151225,5,PM2.5,619.0
89166,20151225,6,PCA,599.6203547733254
89166,20151225,6,PM2.5,578.0
89172,20151225,7,PCA,565.015595606949
89172,20151225,7,PM2.5,518.0
89178,20151225,8,PCA,520.9981895944941
89178,20151225,8,PM2.5,448.0
89184,20151225,9,PCA,479.4564241788055
89184,20151225,9,PM2.5,383.0
89190,20151225,10,PCA,469.5587716627593
89190,20151225,10,PM2.5,362.0
89196,20151225,11,PCA,485.35412424147694
89196,20151225,11,PM2.5,378.0
89202,20151225,12,PCA,507.02543419004445
89202,20151225,12,PM2.5,405.0
89208,20151225,13,PCA,510.41642194839113
89208,20151225,13,PM2.5,410.0
89214,20151225,14,PCA,508.8624343614983
89214,20151225,14,PM2.5,411.0
89220,20151225,15,PCA,505.4397580700674
89220,20151225,15,PM2.5,412.0
89226,20151225,16,PCA,503.32260164732435
89226,20151225,16,PM2.5,412.0
89232,20151225,17,PCA,501.04263290968464
89232,20151225,17,PM2.5,407.0
89238,20151225,18,PCA,476.4941079785175
89238,20151225,18,PM2.5,372.0
89244,20151225,19,PCA,468.75500286935335
89244,20151225,19,PM2.5,362.0
89250,20151225,20,PCA,466.17251500782316
89250,20151225,20,PM2.5,360.0
89256,20151225,21,PCA,479.9177813604615
89256,20151225,21,PM2.5,381.0
89334,20151226,10,PCA,449.3590341341273
89334,20151226,10,PM2.5,376.0
89340,20151226,11,PCA,404.4171322585146
89340,20151226,11,PM2.5,321.0
89346,20151226,12,PCA,370.183199494772
89346,20151226,12,PM2.5,278.0
89352,20151226,13,PCA,332.3473679950459
89352,20151226,13,PM2.5,232.0
89370,20151226,16,PCA,286.406978837372
89370,20151226,16,PM2.5,188.0
89400,20151226,21,PCA,202.05207872470243
89400,20151226,21,PM2.5,116.0
89406,20151226,22,PCA,156.53652308987517
89406,20151226,22,PM2.5,60.0
89430,20151227,2,PCA,143.3682402715169
89430,20151227,2,PM2.5,31.0
89436,20151227,3,PCA,141.4998652814037
89436,20151227,3,PM2.5,25.0
89442,20151227,4,PCA,154.83155679787657
89442,20151227,4,PM2.5,36.0
89448,20151227,5,PCA,150.47986365549437
89448,20151227,5,PM2.5,29.0
89454,20151227,6,PCA,49.138364718582345
89454,20151227,6,PM2.5,30.0
89460,20151227,7,PCA,39.61240084428813
89460,20151227,7,PM2.5,30.0
89466,20151227,8,PCA,27.436535592157853
89466,20151227,8,PM2.5,33.0
89472,20151227,9,PCA,14.173934482257906
89472,20151227,9,PM2.5,37.0
89478,20151227,10,PCA,1.681134261575754
89478,20151227,10,PM2.5,37.0
89484,20151227,11,PCA,-18.48426207158055
89484,20151227,11,PM2.5,28.0
89490,20151227,12,PCA,-25.943342741785095
89490,20151227,12,PM2.5,32.0
89496,20151227,13,PCA,-26.961969946955623
89496,20151227,13,PM2.5,41.0
89502,20151227,14,PCA,-27.65623743791215
89502,20151227,14,PM2.5,45.0
89508,20151227,15,PCA,-23.93667221300636
89508,20151227,15,PM2.5,53.0
89514,20151227,16,PCA,-21.434259178869443
89514,20151227,16,PM2.5,61.0
89520,20151227,17,PCA,-18.562791725616
89520,20151227,17,PM2.5,66.0
89526,20151227,18,PCA,-7.663494464133642
89526,20151227,18,PM2.5,80.0
89532,20151227,19,PCA,-2.0513601976080333
89532,20151227,19,PM2.5,89.0
89538,20151227,20,PCA,13.72613905128467
89538,20151227,20,PM2.5,112.0
89544,20151227,21,PCA,2.2079016245531173
89544,20151227,21,PM2.5,98.0
89550,20151227,22,PCA,3.0879303664350712
89550,20151227,22,PM2.5,97.0
89556,20151227,23,PCA,7.474620448308063
89556,20151227,23,PM2.5,100.0
89562,20151228,0,PCA,28.82044944599581
89562,20151228,0,PM2.5,126.0
89568,20151228,1,PCA,81.92540567149283
89568,20151228,1,PM2.5,190.0
89586,20151228,4,PCA,94.58174303708985
89586,20151228,4,PM2.5,182.0
89592,20151228,5,PCA,79.07045250871312
89592,20151228,5,PM2.5,151.0
89598,20151228,6,PCA,74.85169494174109
89598,20151228,6,PM2.5,140.0
89604,20151228,7,PCA,69.30275413659051
89604,20151228,7,PM2.5,126.0
89610,20151228,8,PCA,120.30047112111977
89610,20151228,8,PM2.5,188.0
89616,20151228,9,PCA,163.15649844121728
89616,20151228,9,PM2.5,231.0
89622,20151228,10,PCA,175.55979920299163
89622,20151228,10,PM2.5,235.0
89628,20151228,11,PCA,104.35133872593593
89628,20151228,11,PM2.5,137.0
90798,20160105,14,PCA,-57.945825605271736
90798,20160105,14,PM2.5,58.0
90804,20160105,15,PCA,-59.823173907280314
90804,20160105,15,PM2.5,57.0
90810,20160105,16,PCA,-60.70565625199914
90810,20160105,16,PM2.5,53.0
90816,20160105,17,PCA,-43.179155586701356
90816,20160105,17,PM2.5,67.0
90822,20160105,18,PCA,-14.22920068945261
90822,20160105,18,PM2.5,94.0
90828,20160105,19,PCA,13.549034671902225
90828,20160105,19,PM2.5,126.0
90834,20160105,20,PCA,35.958618451515584
90834,20160105,20,PM2.5,152.0
90840,20160105,21,PCA,55.47111471289081
90840,20160105,21,PM2.5,172.0
90846,20160105,22,PCA,68.81016496591742
90846,20160105,22,PM2.5,183.0
90852,20160105,23,PCA,96.59417351828013
90852,20160105,23,PM2.5,210.0
90858,20160106,0,PCA,88.30905421724236
90858,20160106,0,PM2.5,184.0
90864,20160106,1,PCA,102.80257844845204
90864,20160106,1,PM2.5,193.0
90870,20160106,2,PCA,143.5947014276017
90870,20160106,2,PM2.5,242.0
90876,20160106,3,PCA,137.07387437183658
90876,20160106,3,PM2.5,224.0
