,date,hour,type,大兴
498,20140405,11,PM2.5,3.0
504,20140405,12,PCA,-67.34640117812351
504,20140405,12,PM2.5,14.0
510,20140405,13,PCA,-61.210638937521516
510,20140405,13,PM2.5,24.0
516,20140405,14,PCA,-66.27396942449036
516,20140405,14,PM2.5,18.0
522,20140405,15,PCA,-77.05695502866976
522,20140405,15,PM2.5,3.0
528,20140405,16,PCA,-74.17216456296003
528,20140405,16,PM2.5,13.0
534,20140405,17,PCA,-68.68161345098476
534,20140405,17,PM2.5,22.0
540,20140405,18,PCA,-64.85428557512282
540,20140405,18,PM2.5,25.0
546,20140405,19,PCA,-58.584973100961854
546,20140405,19,PM2.5,33.0
552,20140405,20,PCA,-53.06623779826791
552,20140405,20,PM2.5,39.0
558,20140405,21,PCA,-46.253223155680026
558,20140405,21,PM2.5,45.0
564,20140405,22,PCA,-38.15040091398739
564,20140405,22,PM2.5,51.0
570,20140405,23,PCA,-37.30230314233504
570,20140405,23,PM2.5,54.0
576,20140406,0,PCA,-48.601547117460505
576,20140406,0,PM2.5,42.0
582,20140406,1,PCA,-41.992771288258446
582,20140406,1,PM2.5,49.0
588,20140406,2,PCA,-29.783830932798104
588,20140406,2,PM2.5,58.0
594,20140406,3,PCA,-21.903022859115527
594,20140406,3,PM2.5,65.0
600,20140406,4,PCA,-21.004830269197914
600,20140406,4,PM2.5,66.0
606,20140406,5,PCA,-12.695505882342768
606,20140406,5,PM2.5,69.0
612,20140406,6,PCA,-8.900165458904558
612,20140406,6,PM2.5,72.0
618,20140406,7,PCA,-16.322395325497617
618,20140406,7,PM2.5,63.0
624,20140406,8,PCA,-5.90419579474754
624,20140406,8,PM2.5,78.0
630,20140406,9,PCA,2.9210223087197176
630,20140406,9,PM2.5,90.0
636,20140406,10,PCA,-4.552124886038839
636,20140406,10,PM2.5,77.0
642,20140406,11,PCA,-21.3800664739502
642,20140406,11,PM2.5,64.5
648,20140406,12,PCA,-38.20800806186155
648,20140406,12,PM2.5,52.0
654,20140406,13,PCA,-48.425506605156514
654,20140406,13,PM2.5,42.0
660,20140406,14,PCA,-50.85852962865894
660,20140406,14,PM2.5,41.0
666,20140406,15,PCA,-54.385638020878076
666,20140406,15,PM2.5,33.0
672,20140406,16,PCA,-40.60208527666338
672,20140406,16,PM2.5,48.0
678,20140406,17,PCA,-37.732823351396185
678,20140406,17,PM2.5,52.0
684,20140408,10,PCA,191.02838017923585
684,20140408,10,PM2.5,219.0
690,20140408,11,PCA,193.9377377740974
690,20140408,11,PM2.5,223.0
696,20140408,12,PCA,184.5173295176896
696,20140408,12,PM2.5,227.0
702,20140408,13,PCA,149.5076638379147
702,20140408,13,PM2.5,202.0
708,20140408,14,PCA,136.94261921791656
708,20140408,14,PM2.5,194.0
714,20140408,15,PCA,133.72944339083114
714,20140408,15,PM2.5,188.0
720,20140408,16,PCA,115.40494360523464
720,20140408,16,PM2.5,161.0
726,20140408,17,PCA,102.84630734545748
726,20140408,17,PM2.5,137.0
732,20140408,18,PCA,113.13683725575972
732,20140408,18,PM2.5,147.0
738,20140408,19,PCA,115.20781358070846
738,20140408,19,PM2.5,142.0
744,20140408,20,PCA,130.48202751590378
744,20140408,20,PM2.5,153.0
750,20140408,21,PCA,121.59613280632787
750,20140408,21,PM2.5,142.0
756,20140408,22,PCA,118.28191308683158
756,20140408,22,PM2.5,135.0
762,20140408,23,PCA,115.478184309326
762,20140408,23,PM2.5,132.0
768,20140409,0,PCA,109.95273690727578
768,20140409,0,PM2.5,125.0
774,20140409,1,PCA,115.02348793728412
774,20140409,1,PM2.5,129.0
780,20140409,2,PCA,117.3829271798772
780,20140409,2,PM2.5,134.0
786,20140409,3,PCA,112.447248220138
786,20140409,3,PM2.5,129.0
792,20140409,4,PCA,106.10716948994398
792,20140409,4,PM2.5,119.0
798,20140409,5,PCA,108.20664904255348
798,20140409,5,PM2.5,123.0
804,20140409,6,PCA,110.95417822291054
804,20140409,6,PM2.5,127.0
810,20140409,7,PCA,126.05011479183447
810,20140409,7,PM2.5,139.0
816,20140409,8,PCA,142.6861105008786
816,20140409,8,PM2.5,159.0
822,20140409,9,PCA,146.0826739601764
822,20140409,9,PM2.5,163.0
828,20140409,10,PCA,175.1400697611378
828,20140409,10,PM2.5,191.0
834,20140409,11,PCA,153.06242022678646
834,20140409,11,PM2.5,171.0
840,20140409,12,PCA,58.91895686150041
840,20140409,12,PM2.5,82.0
846,20140409,13,PCA,30.274299271980244
846,20140409,13,PM2.5,55.0
852,20140409,14,PCA,8.813582481735844
852,20140409,14,PM2.5,34.0
858,20140409,15,PCA,1.9610272447143668
858,20140409,15,PM2.5,33.0
864,20140409,16,PCA,2.741456933176169
864,20140409,16,PM2.5,40.0
870,20140409,17,PCA,7.061460905599972
870,20140409,17,PM2.5,46.0
876,20140409,18,PCA,9.170252831003737
876,20140409,18,PM2.5,47.0
882,20140409,19,PCA,19.747065216637328
882,20140409,19,PM2.5,62.0
888,20140409,20,PCA,73.62304084075149
888,20140409,20,PM2.5,147.0
894,20140409,21,PCA,40.14127921910757
894,20140409,21,PM2.5,98.0
900,20140409,22,PCA,47.20644183777609
900,20140409,22,PM2.5,104.0
906,20140409,23,PCA,49.045649781368134
906,20140409,23,PM2.5,105.0
912,20140410,0,PCA,54.262735973620465
912,20140410,0,PM2.5,110.0
918,20140410,1,PCA,47.57909810626758
918,20140410,1,PM2.5,101.0
924,20140410,2,PCA,49.98245371108469
924,20140410,2,PM2.5,96.0
930,20140410,3,PCA,52.716052084718015
930,20140410,3,PM2.5,96.0
936,20140410,4,PCA,57.128717948297144
936,20140410,4,PM2.5,94.0
942,20140410,5,PCA,70.25095297507218
942,20140410,5,PM2.5,100.0
948,20140410,6,PCA,65.49096154217511
948,20140410,6,PM2.5,92.0
954,20140410,7,PCA,63.25100208007849
954,20140410,7,PM2.5,84.0
960,20140410,8,PCA,67.11675707949107
960,20140410,8,PM2.5,87.0
966,20140410,9,PCA,68.9168354376694
966,20140410,9,PM2.5,85.0
972,20140410,10,PCA,74.25238919689805
972,20140410,10,PM2.5,89.0
978,20140410,11,PCA,79.6941736065841
978,20140410,11,PM2.5,92.0
984,20140410,12,PCA,92.06249857242732
984,20140410,12,PM2.5,90.0
990,20140410,13,PCA,89.22645935898124
990,20140410,13,PM2.5,68.0
996,20140410,14,PCA,103.27446337212515
996,20140410,14,PM2.5,73.0
1002,20140410,15,PCA,97.10382157881078
1002,20140410,15,PM2.5,61.0
1008,20140410,16,PCA,99.59634620694146
1008,20140410,16,PM2.5,54.0
1014,20140410,17,PCA,97.39550438727241
1014,20140410,17,PM2.5,54.0
1020,20140410,18,PCA,96.35504683767368
1020,20140410,18,PM2.5,54.0
1026,20140410,19,PCA,88.87772543103887
1026,20140410,19,PM2.5,55.0
1032,20140410,20,PCA,82.75160792272483
1032,20140410,20,PM2.5,56.0
1038,20140410,21,PCA,91.78369726614481
1038,20140410,21,PM2.5,62.0
1044,20140410,22,PCA,103.8643220557476
1044,20140410,22,PM2.5,82.0
1050,20140410,23,PCA,90.80106596559582
1050,20140410,23,PM2.5,69.0
1056,20140411,0,PCA,73.68419818048181
1056,20140411,0,PM2.5,56.0
1062,20140411,1,PCA,90.7454748250083
1062,20140411,1,PM2.5,86.0
1068,20140411,2,PCA,79.91176143142906
1068,20140411,2,PM2.5,75.0
1074,20140411,3,PCA,70.88640295795243
1074,20140411,3,PM2.5,73.0
1080,20140411,4,PCA,67.80855599383163
1080,20140411,4,PM2.5,72.0
1086,20140411,5,PCA,70.27768322612
1086,20140411,5,PM2.5,78.0
1092,20140411,6,PCA,75.6161288658697
1092,20140411,6,PM2.5,92.0
1098,20140411,7,PCA,64.34298596800426
1098,20140411,7,PM2.5,85.0
1104,20140411,8,PCA,41.57287782807405
1104,20140411,8,PM2.5,67.0
1110,20140411,9,PCA,13.520256249523422
1110,20140411,9,PM2.5,49.0
1116,20140411,10,PCA,7.260960797484001
1116,20140411,10,PM2.5,51.0
1122,20140411,11,PCA,-6.89378130127616
1122,20140411,11,PM2.5,44.0
1128,20140411,12,PCA,-27.405464747814936
1128,20140411,12,PM2.5,28.0
1134,20140411,13,PCA,-44.22277598608537
1134,20140411,13,PM2.5,23.0
1140,20140411,14,PCA,-47.58837388084739
1140,20140411,14,PM2.5,27.0
1146,20140411,15,PCA,-49.03388702235512
1146,20140411,15,PM2.5,32.0
1152,20140411,16,PCA,-45.1678015368959
1152,20140411,16,PM2.5,40.0
1158,20140411,17,PCA,-56.886570488307015
1158,20140411,17,PM2.5,25.0
1164,20140411,18,PCA,-47.46620056652864
1164,20140411,18,PM2.5,39.0
1170,20140411,19,PCA,-43.48569345813043
1170,20140411,19,PM2.5,39.0
1176,20140411,20,PCA,-28.310880652998513
1176,20140411,20,PM2.5,61.0
1182,20140411,21,PCA,-21.898666081679714
1182,20140411,21,PM2.5,65.0
1188,20140411,22,PCA,-12.16357644358914
1188,20140411,22,PM2.5,70.0
1194,20140411,23,PCA,-0.10642496490333822
1194,20140411,23,PM2.5,79.0
1200,20140412,0,PCA,6.176340917026815
1200,20140412,0,PM2.5,87.0
1206,20140412,1,PCA,1.1594332639922187
1206,20140412,1,PM2.5,80.0
1212,20140412,2,PCA,17.09220561442234
1212,20140412,2,PM2.5,94.0
1218,20140412,3,PCA,30.093657023337663
1218,20140412,3,PM2.5,109.0
1224,20140412,4,PCA,34.5720027278187
1224,20140412,4,PM2.5,115.0
1230,20140412,5,PCA,30.699218779571968
1230,20140412,5,PM2.5,109.0
1236,20140412,6,PCA,29.594244278586718
1236,20140412,6,PM2.5,108.0
1242,20140412,7,PCA,35.594841560521516
1242,20140412,7,PM2.5,115.0
1248,20140412,8,PCA,61.292876424575454
1248,20140412,8,PM2.5,144.0
1254,20140412,9,PCA,48.62092563548842
1254,20140412,9,PM2.5,126.0
1260,20140412,10,PCA,34.59777094808063
1260,20140412,10,PM2.5,108.0
1266,20140412,11,PCA,-0.9208102196137357
1266,20140412,11,PM2.5,75.0
1272,20140412,12,PCA,-21.32608496475417
1272,20140412,12,PM2.5,57.0
1278,20140412,13,PCA,-16.038252608652122
1278,20140412,13,PM2.5,68.0
1284,20140412,14,PCA,-21.957232687686844
1284,20140412,14,PM2.5,57.0
1290,20140412,15,PCA,-4.220121135921115
1290,20140412,15,PM2.5,80.0
1296,20140412,16,PCA,2.4016401522348945
1296,20140412,16,PM2.5,84.0
1302,20140412,17,PCA,-9.874394458734272
1302,20140412,17,PM2.5,64.0
1308,20140412,18,PCA,19.60268343392945
1308,20140412,18,PM2.5,105.0
1314,20140412,19,PCA,6.053521624156977
1314,20140412,19,PM2.5,86.0
1320,20140412,20,PCA,26.45569819645487
1320,20140412,20,PM2.5,98.0
1326,20140412,21,PCA,33.43043005216334
1326,20140412,21,PM2.5,104.0
1332,20140412,22,PCA,31.83545158729437
1332,20140412,22,PM2.5,87.0
1338,20140412,23,PCA,66.33428921856313
1338,20140412,23,PM2.5,126.0
1344,20140413,0,PCA,61.43060059227393
1344,20140413,0,PM2.5,122.0
1350,20140413,1,PCA,78.45071090768924
1350,20140413,1,PM2.5,143.0
1356,20140413,2,PCA,72.80829900478582
1356,20140413,2,PM2.5,135.0
1362,20140413,3,PCA,87.45347504615003
1362,20140413,3,PM2.5,152.0
1368,20140413,4,PCA,75.42457701107786
1368,20140413,4,PM2.5,130.0
1374,20140413,5,PCA,76.41193862430906
1374,20140413,5,PM2.5,129.0
1380,20140413,6,PCA,79.15358741132253
1380,20140413,6,PM2.5,132.0
1386,20140413,7,PCA,102.64585845494852
1386,20140413,7,PM2.5,163.0
1392,20140413,8,PCA,119.6708669863917
1392,20140413,8,PM2.5,186.0
1398,20140413,9,PCA,138.99272577088598
1398,20140413,9,PM2.5,202.0
1404,20140413,10,PCA,144.25856251794596
1404,20140413,10,PM2.5,193.0
1410,20140413,11,PCA,153.69053330496902
1410,20140413,11,PM2.5,209.0
1416,20140413,12,PCA,115.49643682604075
1416,20140413,12,PM2.5,182.0
1422,20140413,13,PCA,90.58859718432596
1422,20140413,13,PM2.5,159.0
1428,20140413,14,PCA,64.92090590963744
1428,20140413,14,PM2.5,127.0
1434,20140413,15,PCA,88.99535984640882
1434,20140413,15,PM2.5,159.0
1440,20140413,16,PCA,95.48831088805598
1440,20140413,16,PM2.5,165.0
1446,20140413,17,PCA,65.62730858652259
1446,20140413,17,PM2.5,117.0
1452,20140413,18,PCA,69.7910733389691
1452,20140413,18,PM2.5,120.0
1458,20140413,19,PCA,82.1552923382518
1458,20140413,19,PM2.5,130.0
1464,20140413,20,PCA,115.18865049530075
1464,20140413,20,PM2.5,159.0
1470,20140413,21,PCA,135.26797487615733
1470,20140413,21,PM2.5,175.0
1476,20140413,22,PCA,126.2943619097322
1476,20140413,22,PM2.5,151.0
1482,20140413,23,PCA,129.54598207152532
1482,20140413,23,PM2.5,152.0
1488,20140414,0,PCA,176.37121342725385
1488,20140414,0,PM2.5,201.0
1494,20140414,1,PCA,173.84800588151882
1494,20140414,1,PM2.5,204.0
1500,20140414,2,PCA,162.95002809293362
1500,20140414,2,PM2.5,179.0
1506,20140414,3,PCA,174.847486974605
1506,20140414,3,PM2.5,192.0
1512,20140414,4,PCA,211.89221178939152
1512,20140414,4,PM2.5,237.0
1518,20140414,5,PCA,188.51483392419007
1518,20140414,5,PM2.5,198.0
1524,20140414,6,PCA,194.25296948488733
1524,20140414,6,PM2.5,204.0
1530,20140414,7,PCA,194.32334457005706
1530,20140414,7,PM2.5,203.0
1536,20140414,8,PCA,232.27569845986406
1536,20140414,8,PM2.5,253.0
1542,20140414,9,PCA,249.3009075215761
1542,20140414,9,PM2.5,270.0
1548,20140414,10,PCA,258.18062006637
1548,20140414,10,PM2.5,281.0
1554,20140414,11,PCA,271.92660124831747
1554,20140414,11,PM2.5,302.0
1560,20140414,12,PCA,263.73125259546606
1560,20140414,12,PM2.5,302.0
1566,20140414,13,PCA,204.42312465434995
1566,20140414,13,PM2.5,233.0
1572,20140414,14,PCA,172.57859903800872
1572,20140414,14,PM2.5,202.0
1578,20140414,15,PCA,146.95868742783853
1578,20140414,15,PM2.5,167.0
1584,20140414,16,PCA,133.49995638102607
1584,20140414,16,PM2.5,148.0
1590,20140414,17,PCA,176.5522649571409
1590,20140414,17,PM2.5,207.0
1596,20140414,18,PCA,156.3524682313583
1596,20140414,18,PM2.5,177.0
1602,20140414,19,PCA,168.16737909606505
1602,20140414,19,PM2.5,181.0
1608,20140414,20,PCA,222.74152428702763
1608,20140414,20,PM2.5,245.0
1614,20140414,21,PCA,200.64853330950845
1614,20140414,21,PM2.5,210.0
1620,20140414,22,PCA,120.47300440279821
1620,20140414,22,PM2.5,102.0
1626,20140414,23,PCA,81.69275821306336
1626,20140414,23,PM2.5,50.0
1632,20140415,0,PCA,51.45912764845821
1632,20140415,0,PM2.5,18.0
1638,20140415,1,PCA,69.66649482628154
1638,20140415,1,PM2.5,48.0
1644,20140415,2,PCA,49.46129976633379
1644,20140415,2,PM2.5,22.0
1650,20140415,3,PCA,58.25353891849599
1650,20140415,3,PM2.5,23.0
1656,20140415,4,PCA,62.10844865809349
1656,20140415,4,PM2.5,23.0
1662,20140415,5,PCA,57.56240222730533
1662,20140415,5,PM2.5,31.0
1818,20140416,7,PCA,-23.915305335863476
1818,20140416,7,PM2.5,42.0
1824,20140416,8,PCA,-24.182665476703153
1824,20140416,8,PM2.5,39.0
1830,20140416,9,PCA,-20.828163210105533
1830,20140416,9,PM2.5,45.0
1836,20140416,10,PCA,-24.769817821543224
1836,20140416,10,PM2.5,46.0
1842,20140416,11,PCA,-30.582500823905463
1842,20140416,11,PM2.5,41.0
1848,20140416,12,PCA,-37.462030807763895
1848,20140416,12,PM2.5,43.0
1854,20140416,13,PCA,-39.80471773590193
1854,20140416,13,PM2.5,38.0
1860,20140416,14,PCA,-42.82443091748178
1860,20140416,14,PM2.5,45.0
1866,20140416,15,PCA,-50.481609894471674
1866,20140416,15,PM2.5,42.0
1872,20140416,16,PCA,-50.818661429205
1872,20140416,16,PM2.5,40.0
1878,20140416,17,PCA,-48.75235757888879
1878,20140416,17,PM2.5,41.0
1884,20140416,18,PCA,-31.1580669283998
1884,20140416,18,PM2.5,53.0
1890,20140416,19,PCA,-32.244244610214864
1890,20140416,19,PM2.5,52.0
1896,20140416,20,PCA,-13.320866761505622
1896,20140416,20,PM2.5,59.0
1902,20140416,21,PCA,9.92633951534452
1902,20140416,21,PM2.5,72.0
1908,20140416,22,PCA,21.856236329176948
1908,20140416,22,PM2.5,75.0
1914,20140416,23,PCA,43.549952392698685
1914,20140416,23,PM2.5,94.0
1920,20140417,0,PCA,55.538311307741665
1920,20140417,0,PM2.5,103.0
1926,20140417,1,PCA,53.16688977394807
1926,20140417,1,PM2.5,97.0
1932,20140417,2,PCA,49.25831799259884
1932,20140417,2,PM2.5,89.0
1938,20140417,3,PCA,52.41073049160275
1938,20140417,3,PM2.5,93.0
1944,20140417,4,PCA,44.89907995890763
1944,20140417,4,PM2.5,93.0
1950,20140417,5,PCA,37.1206810624953
1950,20140417,5,PM2.5,91.0
1956,20140417,6,PCA,31.99421381611314
1956,20140417,6,PM2.5,86.0
1962,20140417,7,PCA,22.755372103948247
1962,20140417,7,PM2.5,77.0
1968,20140417,8,PCA,23.25437646667875
1968,20140417,8,PM2.5,80.0
1974,20140417,9,PCA,36.096371113223874
1974,20140417,9,PM2.5,92.0
1980,20140417,10,PCA,36.18535503822802
1980,20140417,10,PM2.5,91.0
1986,20140417,11,PCA,55.35644949509445
1986,20140417,11,PM2.5,108.0
1992,20140417,12,PCA,48.2704897197623
1992,20140417,12,PM2.5,96.0
1998,20140417,13,PCA,47.62009031237933
1998,20140417,13,PM2.5,105.0
2004,20140417,14,PCA,23.353143815204106
2004,20140417,14,PM2.5,82.0
2010,20140417,15,PCA,14.937910421745963
2010,20140417,15,PM2.5,83.0
2016,20140417,16,PCA,29.87080166603419
2016,20140417,16,PM2.5,104.0
2022,20140417,17,PCA,17.907436558956007
2022,20140417,17,PM2.5,91.0
2028,20140417,18,PCA,15.66348851707729
2028,20140417,18,PM2.5,89.0
2034,20140417,19,PCA,20.6448172200499
2034,20140417,19,PM2.5,89.0
2040,20140417,20,PCA,28.273365912693606
2040,20140417,20,PM2.5,96.0
2046,20140417,21,PCA,47.5576343632158
2046,20140417,21,PM2.5,105.0
2052,20140417,22,PCA,60.34052210013188
2052,20140417,22,PM2.5,113.0
2058,20140417,23,PCA,78.00444766232037
2058,20140417,23,PM2.5,120.0
2064,20140418,0,PCA,85.07850304242577
2064,20140418,0,PM2.5,124.0
2070,20140418,1,PCA,86.37694350947802
2070,20140418,1,PM2.5,123.0
2076,20140418,2,PCA,81.80994877223644
2076,20140418,2,PM2.5,117.0
2082,20140418,3,PCA,78.94013155204094
2082,20140418,3,PM2.5,116.0
2088,20140418,4,PCA,78.74897018775278
2088,20140418,4,PM2.5,117.0
2094,20140418,5,PCA,76.30140037778159
2094,20140418,5,PM2.5,117.0
2100,20140418,6,PCA,74.36797828194021
2100,20140418,6,PM2.5,117.0
2106,20140418,7,PCA,84.03353914511864
2106,20140418,7,PM2.5,127.0
2112,20140418,8,PCA,124.11183307161232
2112,20140418,8,PM2.5,167.0
2118,20140418,9,PCA,178.69850616073083
2118,20140418,9,PM2.5,213.0
2124,20140418,10,PCA,217.90059335956857
2124,20140418,10,PM2.5,237.0
2130,20140418,11,PCA,240.79784008110397
2130,20140418,11,PM2.5,237.0
2136,20140418,12,PCA,213.3707216325274
2136,20140418,12,PM2.5,196.0
2286,20140419,13,PCA,-43.940670035612555
2286,20140419,13,PM2.5,49.0
2292,20140419,14,PCA,-48.99880958256649
2292,20140419,14,PM2.5,42.0
2298,20140419,15,PCA,-50.85703871467518
2298,20140419,15,PM2.5,33.0
2304,20140419,16,PCA,-60.10077618518361
2304,20140419,16,PM2.5,31.0
2310,20140419,17,PCA,-60.69612875353124
2310,20140419,17,PM2.5,43.0
2316,20140419,18,PCA,-52.822741222888176
2316,20140419,18,PM2.5,52.0
2322,20140419,19,PCA,-55.75107941363301
2322,20140419,19,PM2.5,42.0
2328,20140419,20,PCA,-49.661516299912286
2328,20140419,20,PM2.5,44.0
2334,20140419,21,PCA,-21.815046762088638
2334,20140419,21,PM2.5,67.0
2340,20140419,22,PCA,-1.4412182848067838
2340,20140419,22,PM2.5,80.0
2346,20140419,23,PCA,21.531225824724324
2346,20140419,23,PM2.5,88.0
2352,20140420,0,PCA,25.404291283814434
2352,20140420,0,PM2.5,82.0
2358,20140420,1,PCA,37.55222075333049
2358,20140420,1,PM2.5,93.0
2364,20140420,2,PCA,42.272539248871645
2364,20140420,2,PM2.5,96.0
2370,20140420,3,PCA,48.12452104539629
2370,20140420,3,PM2.5,101.0
2376,20140420,4,PCA,58.28985909235292
2376,20140420,4,PM2.5,109.0
2382,20140420,5,PCA,58.67683866002783
2382,20140420,5,PM2.5,106.0
2388,20140420,6,PCA,52.638226822992245
2388,20140420,6,PM2.5,99.0
2394,20140420,7,PCA,72.81868530720585
2394,20140420,7,PM2.5,119.0
2400,20140420,8,PCA,99.40227543923784
2400,20140420,8,PM2.5,146.0
2406,20140420,9,PCA,65.50843989908302
2406,20140420,9,PM2.5,101.0
2412,20140420,10,PCA,50.21079897137619
2412,20140420,10,PM2.5,88.0
2418,20140420,11,PCA,0.13127153743484385
2418,20140420,11,PM2.5,48.0
2424,20140420,12,PCA,-32.366610070487
2424,20140420,12,PM2.5,31.0
2430,20140420,13,PCA,-44.43056734305507
2430,20140420,13,PM2.5,44.5
2436,20140420,14,PCA,-46.698296352797676
2436,20140420,14,PM2.5,58.0
2442,20140420,15,PCA,-65.93271422681687
2442,20140420,15,PM2.5,35.0
2448,20140420,16,PCA,-64.83951111762137
2448,20140420,16,PM2.5,39.5
2454,20140420,17,PCA,-65.77311385590703
2454,20140420,17,PM2.5,44.0
2460,20140420,18,PCA,-67.07739632732692
2460,20140420,18,PM2.5,44.0
2466,20140420,19,PCA,-55.642503792991945
2466,20140420,19,PM2.5,49.0
2472,20140420,20,PCA,-41.12319732889024
2472,20140420,20,PM2.5,57.0
2478,20140420,21,PCA,-32.65467551414329
2478,20140420,21,PM2.5,60.5
2484,20140420,22,PCA,-24.63265164332141
