,date,hour,type,永定门内
498,20140405,11,PM2.5,8.0
504,20140405,12,PCA,-68.38688572258513
504,20140405,12,PM2.5,10.0
510,20140405,13,PCA,-73.55039674944433
510,20140405,13,PM2.5,5.0
516,20140405,14,PCA,-68.51615616286749
516,20140405,14,PM2.5,12.0
522,20140405,15,PCA,-71.48174648133526
522,20140405,15,PM2.5,10.0
528,20140405,16,PCA,-72.40765322341521
528,20140405,16,PM2.5,11.0
534,20140405,17,PCA,-59.22243116029207
534,20140405,17,PM2.5,28.0
540,20140405,18,PCA,-56.24799016953708
540,20140405,18,PM2.5,31.0
546,20140405,19,PCA,-53.00187917623466
546,20140405,19,PM2.5,36.0
552,20140405,20,PCA,-47.2593384179412
552,20140405,20,PM2.5,39.0
558,20140405,21,PCA,-35.524276128213266
558,20140405,21,PM2.5,50.0
564,20140405,22,PCA,-34.808116728735456
564,20140405,22,PM2.5,53.0
570,20140405,23,PCA,-33.53038964948215
570,20140405,23,PM2.5,54.0
576,20140406,0,PCA,-20.44296329640438
576,20140406,0,PM2.5,63.0
582,20140406,1,PCA,-16.20517014831072
582,20140406,1,PM2.5,60.0
588,20140406,2,PCA,-10.519625808914329
588,20140406,2,PM2.5,64.0
594,20140406,3,PCA,-6.244814556978216
594,20140406,3,PM2.5,66.0
600,20140406,4,PCA,-5.619107379324577
600,20140406,4,PM2.5,66.0
606,20140406,5,PCA,-1.8592361437181104
606,20140406,5,PM2.5,69.0
612,20140406,6,PCA,5.835574219454731
612,20140406,6,PM2.5,76.0
618,20140406,7,PCA,17.730953421567477
618,20140406,7,PM2.5,84.0
624,20140406,8,PCA,20.876375248614732
624,20140406,8,PM2.5,89.0
630,20140406,9,PCA,13.02305101400714
630,20140406,9,PM2.5,78.0
636,20140406,10,PCA,9.727182668772752
636,20140406,10,PM2.5,72.0
642,20140406,11,PCA,1.6464283952314565
642,20140406,11,PM2.5,65.0
648,20140406,12,PCA,-8.49485637687031
648,20140406,12,PM2.5,58.0
654,20140406,13,PCA,-33.54618563156293
654,20140406,13,PM2.5,37.0
660,20140406,14,PCA,-47.56800394763855
660,20140406,14,PM2.5,26.0
666,20140406,15,PCA,-29.005822667412712
666,20140406,15,PM2.5,49.0
672,20140406,16,PCA,-37.164385195129064
672,20140406,16,PM2.5,34.0
678,20140406,17,PCA,-20.465783972583804
678,20140406,17,PM2.5,52.0
684,20140408,10,PCA,231.06325766310914
684,20140408,10,PM2.5,270.0
690,20140408,11,PCA,204.5298559170861
690,20140408,11,PM2.5,225.0
696,20140408,12,PCA,199.54831041816033
696,20140408,12,PM2.5,229.0
702,20140408,13,PCA,160.62471360050546
702,20140408,13,PM2.5,186.0
708,20140408,14,PCA,163.00598785466556
708,20140408,14,PM2.5,205.0
714,20140408,15,PCA,140.6947476513009
714,20140408,15,PM2.5,172.0
720,20140408,16,PCA,171.26376004450591
720,20140408,16,PM2.5,215.0
726,20140408,17,PCA,139.65901837667428
726,20140408,17,PM2.5,164.0
732,20140408,18,PCA,129.7282634884726
732,20140408,18,PM2.5,147.0
738,20140408,19,PCA,136.5537588393969
738,20140408,19,PM2.5,152.0
744,20140408,20,PCA,144.24055097606822
744,20140408,20,PM2.5,158.0
750,20140408,21,PCA,134.2469046239378
750,20140408,21,PM2.5,144.0
756,20140408,22,PCA,129.26887828157157
756,20140408,22,PM2.5,132.0
762,20140408,23,PCA,140.01013835689164
762,20140408,23,PM2.5,140.0
768,20140409,0,PCA,148.62276031063857
768,20140409,0,PM2.5,142.0
774,20140409,1,PCA,139.3908181426243
774,20140409,1,PM2.5,145.0
780,20140409,2,PCA,131.8624295717566
780,20140409,2,PM2.5,142.0
786,20140409,3,PCA,130.0602401913484
786,20140409,3,PM2.5,144.0
792,20140409,4,PCA,136.16356861012898
792,20140409,4,PM2.5,150.0
798,20140409,5,PCA,144.4693899598927
798,20140409,5,PM2.5,155.0
804,20140409,6,PCA,147.59657320927224
804,20140409,6,PM2.5,156.0
810,20140409,7,PCA,152.62519974461915
810,20140409,7,PM2.5,153.0
816,20140409,8,PCA,176.09615969619512
816,20140409,8,PM2.5,178.0
822,20140409,9,PCA,170.33426745835035
822,20140409,9,PM2.5,174.0
828,20140409,10,PCA,166.41340418125654
828,20140409,10,PM2.5,183.0
834,20140409,11,PCA,120.26981221899335
834,20140409,11,PM2.5,132.0
840,20140409,12,PCA,38.06988608054962
840,20140409,12,PM2.5,42.0
846,20140409,13,PCA,24.06993249490711
846,20140409,13,PM2.5,34.0
852,20140409,14,PCA,10.525490197033887
852,20140409,14,PM2.5,23.0
858,20140409,15,PCA,22.047100441657737
858,20140409,15,PM2.5,44.0
864,20140409,16,PCA,1.7158556952113577
864,20140409,16,PM2.5,24.0
870,20140409,17,PCA,21.523259191770855
870,20140409,17,PM2.5,53.0
876,20140409,18,PCA,24.06403514803933
876,20140409,18,PM2.5,61.0
882,20140409,19,PCA,31.100375993379753
882,20140409,19,PM2.5,74.0
888,20140409,20,PCA,71.32987282438002
888,20140409,20,PM2.5,131.0
894,20140409,21,PCA,47.18628137407405
894,20140409,21,PM2.5,97.0
900,20140409,22,PCA,60.28001692318714
900,20140409,22,PM2.5,111.0
906,20140409,23,PCA,218.30331370014852
906,20140409,23,PM2.5,330.0
912,20140410,0,PCA,150.0534304310962
912,20140410,0,PM2.5,225.0
918,20140410,1,PCA,78.4820867590566
918,20140410,1,PM2.5,123.0
924,20140410,2,PCA,66.33676150408611
924,20140410,2,PM2.5,108.0
930,20140410,3,PCA,60.085603592428704
930,20140410,3,PM2.5,102.0
936,20140410,4,PCA,65.37547589404251
936,20140410,4,PM2.5,100.0
942,20140410,5,PCA,71.79414635156074
942,20140410,5,PM2.5,104.0
948,20140410,6,PCA,79.46191134235723
948,20140410,6,PM2.5,103.0
954,20140410,7,PCA,82.01853545893056
954,20140410,7,PM2.5,97.0
960,20140410,8,PCA,76.58121277090382
960,20140410,8,PM2.5,86.0
966,20140410,9,PCA,80.3556122291095
966,20140410,9,PM2.5,92.0
972,20140410,10,PCA,93.88725039733987
972,20140410,10,PM2.5,101.0
978,20140410,11,PCA,98.77848853900234
978,20140410,11,PM2.5,86.0
984,20140410,12,PCA,104.54133599619078
984,20140410,12,PM2.5,72.0
990,20140410,13,PCA,119.79604992397891
990,20140410,13,PM2.5,77.0
996,20140410,14,PCA,139.81290435019156
996,20140410,14,PM2.5,96.0
1002,20140410,15,PCA,116.43913024562436
1002,20140410,15,PM2.5,56.0
1008,20140410,16,PCA,118.5761471893592
1008,20140410,16,PM2.5,60.0
1014,20140410,17,PCA,108.77440260179856
1014,20140410,17,PM2.5,47.0
1020,20140410,18,PCA,119.75488438460378
1020,20140410,18,PM2.5,64.0
1026,20140410,19,PCA,116.14780655917343
1026,20140410,19,PM2.5,68.5
1032,20140410,20,PCA,113.22757223326319
1032,20140410,20,PM2.5,73.0
1038,20140410,21,PCA,110.2778583682095
1038,20140410,21,PM2.5,67.0
1044,20140410,22,PCA,108.62106840503236
1044,20140410,22,PM2.5,70.0
1050,20140410,23,PCA,113.51093604771916
1050,20140410,23,PM2.5,81.0
1056,20140411,0,PCA,115.88348330934673
1056,20140411,0,PM2.5,87.0
1062,20140411,1,PCA,91.8717976582792
1062,20140411,1,PM2.5,71.0
1068,20140411,2,PCA,86.11754120916461
1068,20140411,2,PM2.5,75.0
1074,20140411,3,PCA,81.75337935283063
1074,20140411,3,PM2.5,77.0
1080,20140411,4,PCA,82.92137247980669
1080,20140411,4,PM2.5,83.0
1086,20140411,5,PCA,65.83559858695136
1086,20140411,5,PM2.5,67.0
1092,20140411,6,PCA,69.14478311371143
1092,20140411,6,PM2.5,82.0
1098,20140411,7,PCA,53.432048550258024
1098,20140411,7,PM2.5,67.0
1104,20140411,8,PCA,35.84157483296061
1104,20140411,8,PM2.5,51.0
1110,20140411,9,PCA,18.751671020298165
1110,20140411,9,PM2.5,37.0
1116,20140411,10,PCA,14.938362654196027
1116,20140411,10,PM2.5,44.0
1122,20140411,11,PCA,7.69148511566078
1122,20140411,11,PM2.5,37.0
1128,20140411,12,PCA,6.941378611964549
1128,20140411,12,PM2.5,49.0
1134,20140411,13,PCA,-4.8336666077568955
1134,20140411,13,PM2.5,47.0
1140,20140411,14,PCA,-22.232332973114545
1140,20140411,14,PM2.5,31.0
1146,20140411,15,PCA,-31.3841315460976
1146,20140411,15,PM2.5,26.0
1152,20140411,16,PCA,-18.96492330550741
1152,20140411,16,PM2.5,50.0
1158,20140411,17,PCA,-7.490922969959993
1158,20140411,17,PM2.5,61.0
1164,20140411,18,PCA,-12.133025835092079
1164,20140411,18,PM2.5,56.0
1170,20140411,19,PCA,-0.2862317277241331
1170,20140411,19,PM2.5,66.0
1176,20140411,20,PCA,-0.27651834167799044
1176,20140411,20,PM2.5,66.0
1182,20140411,21,PCA,-15.578337985143873
1182,20140411,21,PM2.5,59.0
1188,20140411,22,PCA,23.100629441498175
1188,20140411,22,PM2.5,96.0
1194,20140411,23,PCA,12.766120301604566
1194,20140411,23,PM2.5,87.0
1200,20140412,0,PCA,5.950777392054504
1200,20140412,0,PM2.5,78.0
1206,20140412,1,PCA,10.510773626415173
1206,20140412,1,PM2.5,85.0
1212,20140412,2,PCA,16.446982092935155
1212,20140412,2,PM2.5,91.0
1218,20140412,3,PCA,19.327923458143932
1218,20140412,3,PM2.5,95.0
1224,20140412,4,PCA,23.14428850622297
1224,20140412,4,PM2.5,102.0
1230,20140412,5,PCA,24.278951146378986
1230,20140412,5,PM2.5,103.0
1236,20140412,6,PCA,29.540639284978916
1236,20140412,6,PM2.5,107.0
1242,20140412,7,PCA,33.29008524665491
1242,20140412,7,PM2.5,106.0
1248,20140412,8,PCA,43.88306953401372
1248,20140412,8,PM2.5,115.0
1254,20140412,9,PCA,52.22702497872086
1254,20140412,9,PM2.5,120.0
1260,20140412,10,PCA,59.884136923907825
1260,20140412,10,PM2.5,125.0
1266,20140412,11,PCA,34.65776246328707
1266,20140412,11,PM2.5,97.0
1272,20140412,12,PCA,17.85092520978499
1272,20140412,12,PM2.5,88.0
1278,20140412,13,PCA,4.792465194407614
1278,20140412,13,PM2.5,77.0
1284,20140412,14,PCA,3.4398753095536017
1284,20140412,14,PM2.5,79.0
1290,20140412,15,PCA,15.312543814657797
1290,20140412,15,PM2.5,84.0
1296,20140412,16,PCA,13.872255045998445
1296,20140412,16,PM2.5,84.0
1302,20140412,17,PCA,25.072144648936213
1302,20140412,17,PM2.5,95.0
1308,20140412,18,PCA,34.78741356020616
1308,20140412,18,PM2.5,104.0
1314,20140412,19,PCA,43.86517122829712
1314,20140412,19,PM2.5,113.0
1320,20140412,20,PCA,46.38369178601801
1320,20140412,20,PM2.5,111.0
1326,20140412,21,PCA,59.91968943134205
1326,20140412,21,PM2.5,113.0
1332,20140412,22,PCA,65.68715034204351
1332,20140412,22,PM2.5,106.0
1338,20140412,23,PCA,62.95386743671977
1338,20140412,23,PM2.5,104.0
1344,20140413,0,PCA,67.98114485341605
1344,20140413,0,PM2.5,120.0
1350,20140413,1,PCA,99.21277419998617
1350,20140413,1,PM2.5,165.0
1356,20140413,2,PCA,86.41180180362245
1356,20140413,2,PM2.5,149.0
1362,20140413,3,PCA,93.53756690827167
1362,20140413,3,PM2.5,155.0
1368,20140413,4,PCA,94.79345947568686
1368,20140413,4,PM2.5,154.0
1374,20140413,5,PCA,80.68811738738432
1374,20140413,5,PM2.5,133.0
1380,20140413,6,PCA,96.25153488619868
1380,20140413,6,PM2.5,154.0
1386,20140413,7,PCA,85.96900195915926
1386,20140413,7,PM2.5,131.0
1392,20140413,8,PCA,90.20253438986471
1392,20140413,8,PM2.5,125.0
1398,20140413,9,PCA,120.38170599842992
1398,20140413,9,PM2.5,164.0
1404,20140413,10,PCA,135.7562857816756
1404,20140413,10,PM2.5,181.0
1410,20140413,11,PCA,153.01764792943337
1410,20140413,11,PM2.5,200.0
1416,20140413,12,PCA,154.38444119915968
1416,20140413,12,PM2.5,205.0
1422,20140413,13,PCA,132.34523091015782
1422,20140413,13,PM2.5,189.0
1428,20140413,14,PCA,107.93938286834796
1428,20140413,14,PM2.5,162.0
1434,20140413,15,PCA,128.750302206154
1434,20140413,15,PM2.5,191.0
1440,20140413,16,PCA,120.2447630047415
1440,20140413,16,PM2.5,171.0
1446,20140413,17,PCA,122.04808039890162
1446,20140413,17,PM2.5,169.0
1452,20140413,18,PCA,114.58880925971017
1452,20140413,18,PM2.5,143.0
1458,20140413,19,PCA,97.25089825472415
1458,20140413,19,PM2.5,129.0
1464,20140413,20,PCA,118.34554709936351
1464,20140413,20,PM2.5,144.0
1470,20140413,21,PCA,142.49465125337116
1470,20140413,21,PM2.5,173.0
1476,20140413,22,PCA,191.46983938301642
1476,20140413,22,PM2.5,203.0
1482,20140413,23,PCA,202.7230463554059
1482,20140413,23,PM2.5,214.0
1488,20140414,0,PCA,209.03722328111658
1488,20140414,0,PM2.5,220.0
1494,20140414,1,PCA,197.0015740837825
1494,20140414,1,PM2.5,215.0
1500,20140414,2,PCA,205.55648828007222
1500,20140414,2,PM2.5,224.0
1506,20140414,3,PCA,189.06819768842513
1506,20140414,3,PM2.5,203.0
1512,20140414,4,PCA,197.95497099231312
1512,20140414,4,PM2.5,214.0
1518,20140414,5,PCA,198.94298841530613
1518,20140414,5,PM2.5,213.0
1524,20140414,6,PCA,210.6792092301879
1524,20140414,6,PM2.5,229.0
1530,20140414,7,PCA,192.13587403974714
1530,20140414,7,PM2.5,198.0
1536,20140414,8,PCA,231.98551029812248
1536,20140414,8,PM2.5,248.0
1542,20140414,9,PCA,244.98687120720254
1542,20140414,9,PM2.5,262.0
1548,20140414,10,PCA,226.8261061722961
1548,20140414,10,PM2.5,229.0
1554,20140414,11,PCA,243.53860213984586
1554,20140414,11,PM2.5,247.0
1560,20140414,12,PCA,253.0344887366463
1560,20140414,12,PM2.5,268.0
1566,20140414,13,PCA,250.02845259205785
1566,20140414,13,PM2.5,268.0
1572,20140414,14,PCA,245.345074776065
1572,20140414,14,PM2.5,270.0
1578,20140414,15,PCA,249.75304063968534
1578,20140414,15,PM2.5,283.0
1584,20140414,16,PCA,207.04058622140062
1584,20140414,16,PM2.5,216.0
1590,20140414,17,PCA,172.31579383809336
1590,20140414,17,PM2.5,168.0
1596,20140414,18,PCA,182.84195806689215
1596,20140414,18,PM2.5,184.0
1602,20140414,19,PCA,200.78580299543535
1602,20140414,19,PM2.5,201.0
1608,20140414,20,PCA,252.31722657043792
1608,20140414,20,PM2.5,249.0
1614,20140414,21,PCA,254.42562210830366
1614,20140414,21,PM2.5,230.0
1620,20140414,22,PCA,183.08308741179442
1620,20140414,22,PM2.5,163.0
1626,20140414,23,PCA,120.41541576151651
1626,20140414,23,PM2.5,80.0
1632,20140415,0,PCA,99.52724158379279
1632,20140415,0,PM2.5,58.0
1638,20140415,1,PCA,83.07380629783546
1638,20140415,1,PM2.5,42.0
