,date,hour,type,永定门内
40302,20150116,21,PM2.5,12.4
40308,20150116,22,PCA,15.485305674462406
40308,20150116,22,PM2.5,14.2
40314,20150116,23,PCA,-8.093792711080273
40314,20150116,23,PM2.5,11.3
40320,20150117,0,PCA,-25.56227890137614
40320,20150117,0,PM2.5,11.5
40326,20150117,1,PCA,-41.81700095276344
40326,20150117,1,PM2.5,14.7
40332,20150117,2,PCA,-61.02275714833856
40332,20150117,2,PM2.5,9.8
40338,20150117,3,PCA,-68.66871647993243
40338,20150117,3,PM2.5,20.4
40344,20150117,4,PCA,-82.07148466648046
40344,20150117,4,PM2.5,15.0
40350,20150117,5,PCA,-82.74528202083042
40350,20150117,5,PM2.5,14.7
40356,20150117,6,PCA,-80.88920300298405
40356,20150117,6,PM2.5,13.1
40362,20150117,7,PCA,-65.58042359748445
40362,20150117,7,PM2.5,21.7
40368,20150117,8,PCA,-60.28473356103223
40368,20150117,8,PM2.5,21.7
40374,20150117,9,PCA,-64.04194627677946
40374,20150117,9,PM2.5,18.5
40380,20150117,10,PCA,-69.0776503996383
40380,20150117,10,PM2.5,19.4
40386,20150117,11,PCA,-57.79864910827435
40386,20150117,11,PM2.5,38.5
40392,20150117,12,PCA,-32.101224310080966
40392,20150117,12,PM2.5,77.6
40398,20150117,13,PCA,-34.46039479329848
40398,20150117,13,PM2.5,80.6
40404,20150117,14,PCA,-28.219682741352944
40404,20150117,14,PM2.5,89.5
40410,20150117,15,PCA,-21.2140768342536
40410,20150117,15,PM2.5,96.3
40416,20150117,16,PCA,0.1656004303228107
40416,20150117,16,PM2.5,118.8
40422,20150117,17,PCA,21.049045375072087
40422,20150117,17,PM2.5,128.7
40428,20150117,18,PCA,27.433844012692173
40428,20150117,18,PM2.5,124.3
40434,20150117,19,PCA,45.33073961762133
40434,20150117,19,PM2.5,138.8
40440,20150117,20,PCA,64.80402979002973
40440,20150117,20,PM2.5,156.9
40446,20150117,21,PCA,87.0425948130924
40446,20150117,21,PM2.5,182.0
40452,20150117,22,PCA,59.33209783393655
40452,20150117,22,PM2.5,143.4
40458,20150117,23,PCA,48.03125771582973
40458,20150117,23,PM2.5,124.6
40464,20150118,0,PCA,61.880555085208975
40464,20150118,0,PM2.5,138.4
40470,20150118,1,PCA,76.8829556934529
40470,20150118,1,PM2.5,151.4
40476,20150118,2,PCA,82.59474534822337
40476,20150118,2,PM2.5,152.9
40482,20150118,3,PCA,84.12839590115894
40482,20150118,3,PM2.5,147.1
40488,20150118,4,PCA,77.5909672326357
40488,20150118,4,PM2.5,133.3
40494,20150118,5,PCA,73.85574682200028
40494,20150118,5,PM2.5,124.0
40500,20150118,6,PCA,75.14163053861596
40500,20150118,6,PM2.5,119.0
40506,20150118,7,PCA,83.02666889953649
40506,20150118,7,PM2.5,122.7
40512,20150118,8,PCA,106.84702895820621
40512,20150118,8,PM2.5,146.5
40518,20150118,9,PCA,123.252965646863
40518,20150118,9,PM2.5,160.4
40524,20150118,10,PCA,105.90227190095854
40524,20150118,10,PM2.5,133.7
40530,20150118,11,PCA,124.74003141540896
40530,20150118,11,PM2.5,152.4
40536,20150118,12,PCA,133.91943660775013
40536,20150118,12,PM2.5,159.2
40542,20150118,13,PCA,60.85147274139124
40542,20150118,13,PM2.5,79.9
40548,20150118,14,PCA,15.162196530055661
40548,20150118,14,PM2.5,33.9
40554,20150118,15,PCA,-4.738627851313601
40554,20150118,15,PM2.5,15.2
40560,20150118,16,PCA,-9.621528521597043
40560,20150118,16,PM2.5,14.1
40566,20150118,17,PCA,-11.06959347176616
40566,20150118,17,PM2.5,15.2
40572,20150118,18,PCA,-12.905697190735983
40572,20150118,18,PM2.5,17.9
40578,20150118,19,PCA,-12.158997559714473
40578,20150118,19,PM2.5,23.1
40584,20150118,20,PCA,-23.745541292735002
40584,20150118,20,PM2.5,16.5
40590,20150118,21,PCA,-34.837135042010225
40590,20150118,21,PM2.5,8.2
40596,20150118,22,PCA,-40.47120500100107
40596,20150118,22,PM2.5,7.5
40602,20150118,23,PCA,-44.05359102653261
40602,20150118,23,PM2.5,5.9
40608,20150119,0,PCA,-47.24277854597437
40608,20150119,0,PM2.5,8.9
40614,20150119,1,PCA,-51.539294374016606
40614,20150119,1,PM2.5,12.1
40620,20150119,2,PCA,-58.19370957238679
40620,20150119,2,PM2.5,8.2
40626,20150119,3,PCA,-55.77596243574438
40626,20150119,3,PM2.5,8.1
40632,20150119,4,PCA,-58.997542054733955
40632,20150119,4,PM2.5,8.2
40638,20150119,5,PCA,-58.1262163684535
40638,20150119,5,PM2.5,8.5
40644,20150119,6,PCA,-50.35718563980518
40644,20150119,6,PM2.5,15.0
40650,20150119,7,PCA,-31.12604156349613
40650,20150119,7,PM2.5,35.0
40656,20150119,8,PCA,-25.8937923309163
40656,20150119,8,PM2.5,44.3
40662,20150119,9,PCA,-28.493785084220296
40662,20150119,9,PM2.5,45.2
40668,20150119,10,PCA,-31.58172759622126
40668,20150119,10,PM2.5,45.2
40674,20150119,11,PCA,-20.66126190128478
40674,20150119,11,PM2.5,60.5
40680,20150119,12,PCA,-29.317198632106628
40680,20150119,12,PM2.5,56.8
40686,20150119,13,PCA,-26.050468980784995
40686,20150119,13,PM2.5,61.4
40692,20150119,14,PCA,-41.99512870073981
40692,20150119,14,PM2.5,48.7
40698,20150119,15,PCA,-43.16803526454129
40698,20150119,15,PM2.5,50.4
40704,20150119,16,PCA,-28.068834310638437
40704,20150119,16,PM2.5,63.4
40710,20150119,17,PCA,-21.169489794284146
40710,20150119,17,PM2.5,67.1
40716,20150119,18,PCA,-18.375504084769645
40716,20150119,18,PM2.5,63.2
40722,20150119,19,PCA,10.860831214207044
40722,20150119,19,PM2.5,97.6
40728,20150119,20,PCA,17.270663565496676
40728,20150119,20,PM2.5,107.6
40734,20150119,21,PCA,18.286784746177016
40734,20150119,21,PM2.5,110.0
40740,20150119,22,PCA,5.344651110381771
40740,20150119,22,PM2.5,92.6
40746,20150119,23,PCA,-9.773086686529853
40746,20150119,23,PM2.5,69.6
40752,20150120,0,PCA,-14.990424853722867
40752,20150120,0,PM2.5,61.9
40758,20150120,1,PCA,-19.059546119867267
40758,20150120,1,PM2.5,56.4
40764,20150120,2,PCA,-14.899254910202808
40764,20150120,2,PM2.5,62.6
40770,20150120,3,PCA,-5.241263672517915
40770,20150120,3,PM2.5,73.5
40776,20150120,4,PCA,-0.44002071070548776
40776,20150120,4,PM2.5,76.2
40782,20150120,5,PCA,2.2119975682765647
40782,20150120,5,PM2.5,75.1
40788,20150120,6,PCA,7.064332093639319
40788,20150120,6,PM2.5,76.8
40794,20150120,7,PCA,11.704238969458501
40794,20150120,7,PM2.5,78.3
40800,20150120,8,PCA,20.04843581733205
40800,20150120,8,PM2.5,86.1
40806,20150120,9,PCA,24.925644288512267
40806,20150120,9,PM2.5,89.5
40812,20150120,10,PCA,24.93636943921954
40812,20150120,10,PM2.5,87.8
40818,20150120,11,PCA,18.36989794578433
40818,20150120,11,PM2.5,80.9
40824,20150120,12,PCA,15.246281958793045
40824,20150120,12,PM2.5,79.2
40830,20150120,13,PCA,14.264510497645674
40830,20150120,13,PM2.5,79.6
40836,20150120,14,PCA,17.090283305706635
40836,20150120,14,PM2.5,80.6
40842,20150120,15,PCA,28.013677229952105
40842,20150120,15,PM2.5,93.3
40848,20150120,16,PCA,36.719481467776454
40848,20150120,16,PM2.5,99.6
40854,20150120,17,PCA,47.51433777021037
40854,20150120,17,PM2.5,106.2
40860,20150120,18,PCA,47.168424057211844
40860,20150120,18,PM2.5,101.9
40866,20150120,19,PCA,44.581504024644055
40866,20150120,19,PM2.5,98.6
40872,20150120,20,PCA,50.74812392994149
40872,20150120,20,PM2.5,104.3
40878,20150120,21,PCA,72.39024220231985
40878,20150120,21,PM2.5,126.8
40884,20150120,22,PCA,74.21266798582221
40884,20150120,22,PM2.5,128.6
40890,20150120,23,PCA,69.55926746858947
40890,20150120,23,PM2.5,122.7
40896,20150121,0,PCA,12.85952043693788
40896,20150121,0,PM2.5,59.2
40902,20150121,1,PCA,-24.52135851945698
40902,20150121,1,PM2.5,22.9
40908,20150121,2,PCA,-33.97713817221105
40908,20150121,2,PM2.5,16.9
40914,20150121,3,PCA,-38.36546390031592
40914,20150121,3,PM2.5,10.2
40920,20150121,4,PCA,-35.47779957831079
40920,20150121,4,PM2.5,16.0
40926,20150121,5,PCA,-41.820261661567386
40926,20150121,5,PM2.5,11.9
40932,20150121,6,PCA,-44.197407454570765
40932,20150121,6,PM2.5,11.3
40938,20150121,7,PCA,-41.951266135321426
40938,20150121,7,PM2.5,12.3
40944,20150121,8,PCA,-34.91389407337388
40944,20150121,8,PM2.5,20.2
40950,20150121,9,PCA,-41.172529377878
40950,20150121,9,PM2.5,15.1
40956,20150121,10,PCA,-50.36738844386013
40956,20150121,10,PM2.5,15.7
40962,20150121,11,PCA,-57.019512780261906
40962,20150121,11,PM2.5,14.7
40968,20150121,12,PCA,-64.02003735266779
40968,20150121,12,PM2.5,10.4
40974,20150121,13,PCA,-67.5756279636526
40974,20150121,13,PM2.5,10.2
40980,20150121,14,PCA,-69.74260615811284
40980,20150121,14,PM2.5,11.4
40986,20150121,15,PCA,-74.51453768273703
40986,20150121,15,PM2.5,10.3
40992,20150121,16,PCA,-70.51413719862921
40992,20150121,16,PM2.5,14.9
40998,20150121,17,PCA,-67.13392831440737
40998,20150121,17,PM2.5,14.95
41004,20150121,18,PCA,-63.753719430185534
41004,20150121,18,PM2.5,15.0
41010,20150121,19,PCA,-56.9010265330454
41010,20150121,19,PM2.5,22.2
41016,20150121,20,PCA,-58.925012554203356
41016,20150121,20,PM2.5,19.8
41022,20150121,21,PCA,-65.76856831870629
41022,20150121,21,PM2.5,18.5
41028,20150121,22,PCA,-52.41533859571557
41028,20150121,22,PM2.5,36.0
41034,20150121,23,PCA,-36.53781196428271
41034,20150121,23,PM2.5,54.1
41040,20150122,0,PCA,-26.042898874120414
41040,20150122,0,PM2.5,63.0
41046,20150122,1,PCA,-18.81200038289088
41046,20150122,1,PM2.5,77.2
41052,20150122,2,PCA,7.751485630058251
41052,20150122,2,PM2.5,120.2
41058,20150122,3,PCA,2.457397694475235
41058,20150122,3,PM2.5,106.6
41064,20150122,4,PCA,34.30438376553228
41064,20150122,4,PM2.5,147.1
41070,20150122,5,PCA,-9.285922278775622
41070,20150122,5,PM2.5,90.6
41076,20150122,6,PCA,-43.404272396416864
41076,20150122,6,PM2.5,39.6
41082,20150122,7,PCA,-52.24045466397959
41082,20150122,7,PM2.5,27.5
41088,20150122,8,PCA,-41.28778639469643
41088,20150122,8,PM2.5,40.2
41094,20150122,9,PCA,-23.959945063497432
41094,20150122,9,PM2.5,60.6
41100,20150122,10,PCA,-6.968574974903303
41100,20150122,10,PM2.5,79.3
41106,20150122,11,PCA,-1.9452243197259516
41106,20150122,11,PM2.5,84.3
41112,20150122,12,PCA,5.446787895043356
41112,20150122,12,PM2.5,87.5
41118,20150122,13,PCA,21.384213499327714
41118,20150122,13,PM2.5,102.1
41124,20150122,14,PCA,45.89043811507109
41124,20150122,14,PM2.5,126.5
41130,20150122,15,PCA,38.18235729812127
41130,20150122,15,PM2.5,123.7
41136,20150122,16,PCA,44.87440278252812
41136,20150122,16,PM2.5,134.7
41142,20150122,17,PCA,107.9597590108404
41142,20150122,17,PM2.5,202.7
41148,20150122,18,PCA,150.7958614766117
41148,20150122,18,PM2.5,240.3
41154,20150122,19,PCA,126.30854853518058
41154,20150122,19,PM2.5,198.8
41160,20150122,20,PCA,145.8742098189068
41160,20150122,20,PM2.5,216.0
41166,20150122,21,PCA,160.51472689499684
41166,20150122,21,PM2.5,227.1
41172,20150122,22,PCA,172.7412461251446
41172,20150122,22,PM2.5,233.3
41178,20150122,23,PCA,174.01264966942372
41178,20150122,23,PM2.5,226.4
41184,20150123,0,PCA,164.24790928263755
41184,20150123,0,PM2.5,207.2
41190,20150123,1,PCA,175.75155338058335
41190,20150123,1,PM2.5,217.8
41196,20150123,2,PCA,186.93583979865585
41196,20150123,2,PM2.5,227.9
41202,20150123,3,PCA,213.46494309725134
41202,20150123,3,PM2.5,247.6
41208,20150123,4,PCA,204.3887538951825
41208,20150123,4,PM2.5,234.0
41214,20150123,5,PCA,197.10752093675572
41214,20150123,5,PM2.5,220.3
41220,20150123,6,PCA,189.18793917995356
41220,20150123,6,PM2.5,202.2
41226,20150123,7,PCA,182.27750792289345
41226,20150123,7,PM2.5,184.7
41232,20150123,8,PCA,190.76843605130392
41232,20150123,8,PM2.5,190.0
41238,20150123,9,PCA,193.09637758431177
41238,20150123,9,PM2.5,189.3
41244,20150123,10,PCA,192.10785297387457
41244,20150123,10,PM2.5,186.3
41250,20150123,11,PCA,197.88514527513783
41250,20150123,11,PM2.5,192.1
41256,20150123,12,PCA,173.14577240238432
41256,20150123,12,PM2.5,148.0
41262,20150123,13,PCA,146.58486117880994
41262,20150123,13,PM2.5,103.9
41268,20150123,14,PCA,214.68331811388933
41268,20150123,14,PM2.5,198.6
41274,20150123,15,PCA,242.61975720876876
41274,20150123,15,PM2.5,226.6
41280,20150123,16,PCA,278.2388972436901
41280,20150123,16,PM2.5,263.6
41286,20150123,17,PCA,301.09370749254043
41286,20150123,17,PM2.5,288.1
41292,20150123,18,PCA,300.008280279609
41292,20150123,18,PM2.5,283.7
41298,20150123,19,PCA,325.8401251540991
41298,20150123,19,PM2.5,310.1
41304,20150123,20,PCA,345.37944159976536
41304,20150123,20,PM2.5,329.0
41310,20150123,21,PCA,334.9239802090812
41310,20150123,21,PM2.5,322.2
41316,20150123,22,PCA,310.1338296519211
41316,20150123,22,PM2.5,289.2
41322,20150123,23,PCA,314.78127488726864
41322,20150123,23,PM2.5,296.7
41328,20150124,0,PCA,297.8374320161502
41328,20150124,0,PM2.5,273.7
41334,20150124,1,PCA,260.6585696703793
41334,20150124,1,PM2.5,227.3
41340,20150124,2,PCA,123.38669041411433
41340,20150124,2,PM2.5,62.4
41346,20150124,3,PCA,89.2043353273433
41346,20150124,3,PM2.5,27.8
41352,20150124,4,PCA,77.00305279073993
41352,20150124,4,PM2.5,24.7
41358,20150124,5,PCA,65.9653609987805
41358,20150124,5,PM2.5,21.1
41364,20150124,6,PCA,62.90520526357056
41364,20150124,6,PM2.5,17.9
41370,20150124,7,PCA,68.3181221869164
41370,20150124,7,PM2.5,23.2
41376,20150124,8,PCA,137.13760974292697
41376,20150124,8,PM2.5,113.1
41382,20150124,9,PCA,149.9142220474944
41382,20150124,9,PM2.5,136.1
41388,20150124,10,PCA,123.83990151694951
41388,20150124,10,PM2.5,106.0
41394,20150124,11,PCA,118.59675015771194
41394,20150124,11,PM2.5,104.2
41400,20150124,12,PCA,100.71877988042148
41400,20150124,12,PM2.5,87.8
41406,20150124,13,PCA,103.17716767657647
41406,20150124,13,PM2.5,94.4
41412,20150124,14,PCA,92.75111547603652
41412,20150124,14,PM2.5,85.2
41418,20150124,15,PCA,71.0085806333396
41418,20150124,15,PM2.5,64.2
41424,20150124,16,PCA,57.09775245219264
41424,20150124,16,PM2.5,48.6
41430,20150124,17,PCA,48.53260286929696
41430,20150124,17,PM2.5,47.8
41436,20150124,18,PCA,49.46184789758248
41436,20150124,18,PM2.5,58.4
41442,20150124,19,PCA,39.93346317516053
41442,20150124,19,PM2.5,62.6
41448,20150124,20,PCA,32.008687577004295
41448,20150124,20,PM2.5,65.4
41454,20150124,21,PCA,31.197050813304557
41454,20150124,21,PM2.5,74.8
41460,20150124,22,PCA,24.320543010010425
41460,20150124,22,PM2.5,76.1
41466,20150124,23,PCA,23.4376957873655
41466,20150124,23,PM2.5,87.3
41472,20150125,0,PCA,11.299703581895944
41472,20150125,0,PM2.5,84.0
41478,20150125,1,PCA,10.223106428168737
41478,20150125,1,PM2.5,90.2
41484,20150125,2,PCA,15.08536737243315
41484,20150125,2,PM2.5,94.5
41490,20150125,3,PCA,-4.391954387515744
41490,20150125,3,PM2.5,66.8
41496,20150125,4,PCA,4.619084179579971
41496,20150125,4,PM2.5,74.4
41502,20150125,5,PCA,0.430902393283918
41502,20150125,5,PM2.5,66.2
41508,20150125,6,PCA,17.793389995758954
41508,20150125,6,PM2.5,86.4
41514,20150125,7,PCA,25.808705104347336
41514,20150125,7,PM2.5,94.9
41520,20150125,8,PCA,35.72436971508937
41520,20150125,8,PM2.5,109.7
41526,20150125,9,PCA,39.21819129670018
41526,20150125,9,PM2.5,115.3
41532,20150125,10,PCA,44.783776860309324
41532,20150125,10,PM2.5,123.2
41538,20150125,11,PCA,41.35192634957571
41538,20150125,11,PM2.5,119.1
41544,20150125,12,PCA,37.920075838842116
41544,20150125,12,PM2.5,115.0
41550,20150125,13,PCA,39.20947298266802
41550,20150125,13,PM2.5,117.6
41556,20150125,14,PCA,42.87011635577114
41556,20150125,14,PM2.5,123.5
41562,20150125,15,PCA,56.32727092947802
41562,20150125,15,PM2.5,133.6
41568,20150125,16,PCA,75.43536477174258
41568,20150125,16,PM2.5,153.9
41574,20150125,17,PCA,102.86092270729297
41574,20150125,17,PM2.5,182.2
41580,20150125,18,PCA,117.14694522423943
41580,20150125,18,PM2.5,193.2
41586,20150125,19,PCA,114.83101793533098
41586,20150125,19,PM2.5,185.2
41592,20150125,20,PCA,130.647397384405
41592,20150125,20,PM2.5,203.0
41598,20150125,21,PCA,130.4207754644782
41598,20150125,21,PM2.5,194.2
41604,20150125,22,PCA,143.16101221814807
41604,20150125,22,PM2.5,204.4
41610,20150125,23,PCA,163.60058881745982
41610,20150125,23,PM2.5,225.4
41616,20150126,0,PCA,177.50555787937006
41616,20150126,0,PM2.5,235.6
41622,20150126,1,PCA,191.93435063050777
41622,20150126,1,PM2.5,248.3
41628,20150126,2,PCA,191.4877617563289
41628,20150126,2,PM2.5,242.5
41634,20150126,3,PCA,213.41820455192624
41634,20150126,3,PM2.5,260.9
41640,20150126,4,PCA,223.65168537813875
41640,20150126,4,PM2.5,267.6
41646,20150126,5,PCA,232.88953007850515
41646,20150126,5,PM2.5,273.4
41652,20150126,6,PCA,206.17844729687295
41652,20150126,6,PM2.5,228.0
41658,20150126,7,PCA,211.46160134739384
41658,20150126,7,PM2.5,231.0
41664,20150126,8,PCA,215.27344049245642
41664,20150126,8,PM2.5,231.3
41670,20150126,9,PCA,189.71713387927866
41670,20150126,9,PM2.5,189.6
41676,20150126,10,PCA,101.54711032454674
41676,20150126,10,PM2.5,69.2
41682,20150126,11,PCA,64.30879500893978
41682,20150126,11,PM2.5,28.3
41688,20150126,12,PCA,50.79511445874963
41688,20150126,12,PM2.5,17.6
41694,20150126,13,PCA,43.298080689406476
41694,20150126,13,PM2.5,14.2
41700,20150126,14,PCA,35.85604049910221
41700,20150126,14,PM2.5,10.2
41706,20150126,15,PCA,29.98473273669938
41706,20150126,15,PM2.5,5.5
41712,20150126,16,PCA,28.32590061975582
41712,20150126,16,PM2.5,8.6
41718,20150126,17,PCA,27.06329381401201
41718,20150126,17,PM2.5,12.5
41724,20150126,18,PCA,19.287063052747087
41724,20150126,18,PM2.5,8.4
41730,20150126,19,PCA,14.899851884401853
41730,20150126,19,PM2.5,8.9
41736,20150126,20,PCA,7.74701323645057
41736,20150126,20,PM2.5,10.4
41742,20150126,21,PCA,2.6701378486674434
41742,20150126,21,PM2.5,12.4
41748,20150126,22,PCA,-12.209695927647115
41748,20150126,22,PM2.5,7.1
41754,20150126,23,PCA,-20.80774783094877
41754,20150126,23,PM2.5,8.7
41760,20150127,0,PCA,-26.59494091277251
41760,20150127,0,PM2.5,11.9
41766,20150127,1,PCA,-35.246784689641615
41766,20150127,1,PM2.5,13.5
41772,20150127,2,PCA,-46.16776374233349
41772,20150127,2,PM2.5,9.2
41778,20150127,3,PCA,-56.36425358053914
41778,20150127,3,PM2.5,8.3
41784,20150127,4,PCA,-64.52313412330184
41784,20150127,4,PM2.5,10.1
41790,20150127,5,PCA,-72.7586475081508
41790,20150127,5,PM2.5,10.8
41796,20150127,6,PCA,-79.32461702570069
41796,20150127,6,PM2.5,8.9
41802,20150127,7,PCA,-79.31620453635388
41802,20150127,7,PM2.5,9.6
41808,20150127,8,PCA,-83.14920443466842
41808,20150127,8,PM2.5,14.9
41814,20150127,9,PCA,-84.31392716117453
41814,20150127,9,PM2.5,15.5
41820,20150127,10,PCA,-94.24179008504512
41820,20150127,10,PM2.5,13.7
41826,20150127,11,PCA,-93.60157069004606
41826,20150127,11,PM2.5,19.4
41832,20150127,12,PCA,-102.34470626527033
41832,20150127,12,PM2.5,12.7
41838,20150127,13,PCA,-105.85447564736253
41838,20150127,13,PM2.5,11.1
41844,20150127,14,PCA,-105.13170972158387
41844,20150127,14,PM2.5,12.0
41850,20150127,15,PCA,-102.38401953846169
41850,20150127,15,PM2.5,13.9
41856,20150127,16,PCA,-105.49761130740384
41856,20150127,16,PM2.5,8.6
41862,20150127,17,PCA,-98.39415524335988
41862,20150127,17,PM2.5,13.3
41868,20150127,18,PCA,-69.25115206982656
41868,20150127,18,PM2.5,23.9
41874,20150127,19,PCA,-57.32269913440026
41874,20150127,19,PM2.5,29.2
41880,20150127,20,PCA,-51.906151989010766
41880,20150127,20,PM2.5,36.8
41886,20150127,21,PCA,-40.767470978045445
41886,20150127,21,PM2.5,49.0
41892,20150127,22,PCA,-42.12593984726009
41892,20150127,22,PM2.5,49.2
41898,20150127,23,PCA,-41.29857662145155
41898,20150127,23,PM2.5,50.0
41904,20150128,0,PCA,-48.92544581476298
41904,20150128,0,PM2.5,45.6
41910,20150128,1,PCA,-39.69810048027062
41910,20150128,1,PM2.5,59.2
41916,20150128,2,PCA,-36.70055615824486
41916,20150128,2,PM2.5,64.9
41922,20150128,3,PCA,-79.32285202820894
41922,20150128,3,PM2.5,17.3
41928,20150128,4,PCA,-82.32114065335776
41928,20150128,4,PM2.5,10.6
41934,20150128,5,PCA,-88.2510164958776
41934,20150128,5,PM2.5,9.3
41940,20150128,6,PCA,-89.9361242261101
41940,20150128,6,PM2.5,5.6
41946,20150128,7,PCA,-84.17410534251177
41946,20150128,7,PM2.5,8.7
41952,20150128,8,PCA,-79.92835734942871
41952,20150128,8,PM2.5,10.4
41958,20150128,9,PCA,-74.86834630299444
41958,20150128,9,PM2.5,13.7
41964,20150128,10,PCA,-77.66701022839501
41964,20150128,10,PM2.5,14.2
41970,20150128,11,PCA,-78.14683759268425
41970,20150128,11,PM2.5,14.0
41976,20150128,12,PCA,-81.1861997257124
41976,20150128,12,PM2.5,15.2
41982,20150128,13,PCA,-76.78042829253057
41982,20150128,13,PM2.5,20.5
41988,20150128,14,PCA,-72.53876745922531
41988,20150128,14,PM2.5,25.5
41994,20150128,15,PCA,-65.62999240158132
41994,20150128,15,PM2.5,34.3
42000,20150128,16,PCA,-55.262575214314424
42000,20150128,16,PM2.5,43.2
42006,20150128,17,PCA,-49.95463449645658
42006,20150128,17,PM2.5,47.8
42012,20150128,18,PCA,-44.89353519372428
42012,20150128,18,PM2.5,50.6
42018,20150128,19,PCA,-39.21701295799503
42018,20150128,19,PM2.5,55.3
42024,20150128,20,PCA,-26.176794014323818
42024,20150128,20,PM2.5,68.3
42030,20150128,21,PCA,-2.024909031657302
42030,20150128,21,PM2.5,97.3
42036,20150128,22,PCA,-0.6694549075512674
42036,20150128,22,PM2.5,98.2
42042,20150128,23,PCA,19.5718431636743
42042,20150128,23,PM2.5,122.8
42048,20150129,0,PCA,32.625873653228595
42048,20150129,0,PM2.5,137.9
42054,20150129,1,PCA,31.06608102207532
42054,20150129,1,PM2.5,135.3
42060,20150129,2,PCA,35.72690389298009
42060,20150129,2,PM2.5,141.6
42066,20150129,3,PCA,12.109025845753496
42066,20150129,3,PM2.5,114.5
42072,20150129,4,PCA,9.279043813087632
42072,20150129,4,PM2.5,109.3
42078,20150129,5,PCA,4.177772757967235
42078,20150129,5,PM2.5,96.6
42084,20150129,6,PCA,1.5021851293229038
42084,20150129,6,PM2.5,88.0
42090,20150129,7,PCA,1.2542646249266967
42090,20150129,7,PM2.5,79.0
42096,20150129,8,PCA,7.548481004455919
42096,20150129,8,PM2.5,82.5
42102,20150129,9,PCA,15.76181955768874
42102,20150129,9,PM2.5,91.7
42108,20150129,10,PCA,29.56405555063043
42108,20150129,10,PM2.5,107.6
42114,20150129,11,PCA,48.3275852709575
42114,20150129,11,PM2.5,127.7
42120,20150129,12,PCA,66.78488200046942
42120,20150129,12,PM2.5,143.9
42126,20150129,13,PCA,52.91837353692979
42126,20150129,13,PM2.5,119.1
42132,20150129,14,PCA,-0.33338024345825085
42132,20150129,14,PM2.5,59.3
42138,20150129,15,PCA,-37.12671117983592
42138,20150129,15,PM2.5,13.5
42144,20150129,16,PCA,-39.51135425584381
42144,20150129,16,PM2.5,11.6
42150,20150129,17,PCA,-39.367217965834236
42150,20150129,17,PM2.5,12.0
42156,20150129,18,PCA,-39.64062874805622
42156,20150129,18,PM2.5,10.1
42162,20150129,19,PCA,-39.64461323117614
42162,20150129,19,PM2.5,10.9
42168,20150129,20,PCA,-22.780459177446335
42168,20150129,20,PM2.5,34.1
42174,20150129,21,PCA,-41.21121321241527
42174,20150129,21,PM2.5,12.8
42180,20150129,22,PCA,-38.72901660319738
42180,20150129,22,PM2.5,14.3
42186,20150129,23,PCA,-46.18506234922681
42186,20150129,23,PM2.5,11.7
42192,20150130,0,PCA,-57.88870970886025
42192,20150130,0,PM2.5,7.3
42198,20150130,1,PCA,-60.90624239433356
42198,20150130,1,PM2.5,10.8
42204,20150130,2,PCA,-66.40345099986786
42204,20150130,2,PM2.5,7.2
42210,20150130,3,PCA,-64.52531513183546
42210,20150130,3,PM2.5,14.4
42216,20150130,4,PCA,-69.49554438431575
42216,20150130,4,PM2.5,10.9
42222,20150130,5,PCA,-68.37319428791822
42222,20150130,5,PM2.5,11.6
42228,20150130,6,PCA,-71.190047523957
42228,20150130,6,PM2.5,12.7
42234,20150130,7,PCA,-70.74796051845681
42234,20150130,7,PM2.5,10.9
42240,20150130,8,PCA,-66.30859721294482
42240,20150130,8,PM2.5,13.7
42246,20150130,9,PCA,-72.08823654034288
42246,20150130,9,PM2.5,12.7
42252,20150130,10,PCA,-76.36064965179308
42252,20150130,10,PM2.5,16.9
42258,20150130,11,PCA,-87.18949249428961
42258,20150130,11,PM2.5,14.7
42264,20150130,12,PCA,-95.24098164836893
42264,20150130,12,PM2.5,15.9
42270,20150130,13,PCA,-102.47490798971158
42270,20150130,13,PM2.5,13.2
42276,20150130,14,PCA,-103.16343205069414
42276,20150130,14,PM2.5,10.0
42282,20150130,15,PCA,-103.52185119161403
42282,20150130,15,PM2.5,12.0
42288,20150130,16,PCA,-106.62701891352312
42288,20150130,16,PM2.5,9.1
42294,20150130,17,PCA,-108.47797299050745
42294,20150130,17,PM2.5,7.5
42300,20150130,18,PCA,-106.76060169193468
42300,20150130,18,PM2.5,7.8
42306,20150130,19,PCA,-98.45587309966807
42306,20150130,19,PM2.5,14.0
42312,20150130,20,PCA,-86.90086812423846
42312,20150130,20,PM2.5,16.2
42318,20150130,21,PCA,-77.30120338508222
42318,20150130,21,PM2.5,19.8
42324,20150130,22,PCA,-93.83916325420236
42324,20150130,22,PM2.5,12.1
42330,20150130,23,PCA,-92.26307764149442
42330,20150130,23,PM2.5,12.1
42336,20150131,0,PCA,-98.08648372046115
42336,20150131,0,PM2.5,8.6
42342,20150131,1,PCA,-99.39297471810424
42342,20150131,1,PM2.5,7.1
42348,20150131,2,PCA,-97.6886524003234
42348,20150131,2,PM2.5,13.5
42354,20150131,3,PCA,-100.18892340207343
42354,20150131,3,PM2.5,11.6
42360,20150131,4,PCA,-96.65887841629039
42360,20150131,4,PM2.5,14.6
42366,20150131,5,PCA,-93.32307995363516
42366,20150131,5,PM2.5,15.4
42372,20150131,6,PCA,-94.63609408183795
