,date,hour,type,顺义
510,20140405,13,PM2.5,10.0
516,20140405,14,PCA,-59.56077425701709
516,20140405,14,PM2.5,7.0
522,20140405,15,PCA,-56.103467093052096
522,20140405,15,PM2.5,6.0
528,20140405,16,PCA,-54.43157265216579
528,20140405,16,PM2.5,6.0
534,20140405,17,PCA,-55.775953141441704
534,20140405,17,PM2.5,12.0
540,20140405,18,PCA,-63.94696689867367
540,20140405,18,PM2.5,8.0
546,20140405,19,PCA,-53.438238750297955
546,20140405,19,PM2.5,19.0
552,20140405,20,PCA,-38.98267993618906
552,20140405,20,PM2.5,34.0
558,20140405,21,PCA,-30.1713590286121
558,20140405,21,PM2.5,45.0
564,20140405,22,PCA,-19.29035388071261
564,20140405,22,PM2.5,50.0
570,20140405,23,PCA,-17.715793274875836
570,20140405,23,PM2.5,50.0
576,20140406,0,PCA,-9.997912097026825
576,20140406,0,PM2.5,55.0
582,20140406,1,PCA,-1.3669772455357148
582,20140406,1,PM2.5,62.0
588,20140406,2,PCA,5.5496027824942225
588,20140406,2,PM2.5,71.0
594,20140406,3,PCA,1.5182729181765262
594,20140406,3,PM2.5,67.0
600,20140406,4,PCA,0.02604266060506219
600,20140406,4,PM2.5,64.0
606,20140406,5,PCA,-8.284913463150694
606,20140406,5,PM2.5,54.0
612,20140406,6,PCA,-20.56158629501171
612,20140406,6,PM2.5,37.0
618,20140406,7,PCA,-20.96690171829342
618,20140406,7,PM2.5,38.0
624,20140406,8,PCA,-33.474128318721576
624,20140406,8,PM2.5,27.0
630,20140406,9,PCA,-26.22217469821629
630,20140406,9,PM2.5,38.0
636,20140406,10,PCA,-21.437080770704405
636,20140406,10,PM2.5,42.0
654,20140406,13,PCA,-37.269598486617575
654,20140406,13,PM2.5,21.0
660,20140406,14,PCA,-29.59552322712232
660,20140406,14,PM2.5,30.0
666,20140406,15,PCA,-34.84288733116387
666,20140406,15,PM2.5,27.0
672,20140406,16,PCA,-29.518080455046025
672,20140406,16,PM2.5,35.0
678,20140406,17,PCA,-23.628896117723773
678,20140406,17,PM2.5,41.0
684,20140408,10,PCA,155.36265493425108
684,20140408,10,PM2.5,175.0
690,20140408,11,PCA,163.29156509274142
690,20140408,11,PM2.5,187.0
696,20140408,12,PCA,162.71351833971187
696,20140408,12,PM2.5,190.0
702,20140408,13,PCA,169.4353700982892
702,20140408,13,PM2.5,196.0
708,20140408,14,PCA,129.450872050742
708,20140408,14,PM2.5,140.5
714,20140408,15,PCA,89.12986910571006
