,date,hour,type,顺义
17814,20140812,5,PM2.5,14.8
17820,20140812,6,PCA,-89.47878508615463
17820,20140812,6,PM2.5,9.9
17826,20140812,7,PCA,-88.94011387890215
17826,20140812,7,PM2.5,10.7
17832,20140812,8,PCA,-91.1743969769944
17832,20140812,8,PM2.5,7.7
17838,20140812,9,PCA,-90.73232876715393
17838,20140812,9,PM2.5,8.8
17844,20140812,10,PCA,-88.78530644903674
17844,20140812,10,PM2.5,8.9
17850,20140812,11,PCA,-85.37789392885342
17850,20140812,11,PM2.5,9.3
17856,20140812,12,PCA,-78.46888850331496
17856,20140812,12,PM2.5,14.1
17862,20140812,13,PCA,-70.22666931391537
17862,20140812,13,PM2.5,22.5
17868,20140812,14,PCA,-64.06214703440685
17868,20140812,14,PM2.5,17.7
17874,20140812,15,PCA,-48.27611940641679
17874,20140812,15,PM2.5,22.8
17880,20140812,16,PCA,-51.64130500092789
17880,20140812,16,PM2.5,21.5
17886,20140812,17,PCA,-64.24296307662696
17886,20140812,17,PM2.5,17.8
17892,20140812,18,PCA,-59.7906093135233
17892,20140812,18,PM2.5,23.3
17898,20140812,19,PCA,-56.45400080117825
17898,20140812,19,PM2.5,34.4
17904,20140812,20,PCA,-57.611623275251354
17904,20140812,20,PM2.5,36.8
17910,20140812,21,PCA,-52.13251582764848
17910,20140812,21,PM2.5,47.2
17916,20140812,22,PCA,-46.49539111260937
17916,20140812,22,PM2.5,57.0
17922,20140812,23,PCA,-71.06138866660714
17922,20140812,23,PM2.5,25.8
17928,20140813,0,PCA,-72.01506182382855
17928,20140813,0,PM2.5,24.8
17934,20140813,1,PCA,-77.7421018619831
17934,20140813,1,PM2.5,19.4
17940,20140813,2,PCA,-79.88923846773602
17940,20140813,2,PM2.5,18.0
17946,20140813,3,PCA,-78.69280678617612
17946,20140813,3,PM2.5,17.7
17952,20140813,4,PCA,-80.12145072786112
17952,20140813,4,PM2.5,16.1
17958,20140813,5,PCA,-77.8039745718722
17958,20140813,5,PM2.5,18.6
17964,20140813,6,PCA,-50.14677224705324
17964,20140813,6,PM2.5,26.6
17970,20140813,7,PCA,-44.35276284936238
17970,20140813,7,PM2.5,30.2
17976,20140813,8,PCA,-39.78275436270561
17976,20140813,8,PM2.5,33.6
17982,20140813,9,PCA,-56.12643205293272
17982,20140813,9,PM2.5,40.7
17988,20140813,10,PCA,-65.96491691783345
17988,20140813,10,PM2.5,29.6
17994,20140813,11,PCA,-63.34100170116077
17994,20140813,11,PM2.5,29.7
18000,20140813,13,PCA,-73.54547734274657
18000,20140813,13,PM2.5,14.4
18006,20140813,14,PCA,-78.73034460629148
18006,20140813,14,PM2.5,7.8
18012,20140813,15,PCA,-81.6310849457201
18012,20140813,15,PM2.5,6.1
18018,20140813,16,PCA,-83.758130013598
18018,20140813,16,PM2.5,3.0
18024,20140813,17,PCA,-76.93274748603444
18024,20140813,17,PM2.5,12.6
18030,20140813,18,PCA,-79.10755621115905
18030,20140813,18,PM2.5,11.7
18036,20140813,19,PCA,-77.80868050449455
18036,20140813,19,PM2.5,14.7
18042,20140813,20,PCA,-80.2720057506603
18042,20140813,20,PM2.5,10.0
18048,20140813,21,PCA,-76.88523400116334
18048,20140813,21,PM2.5,15.2
18054,20140813,22,PCA,-73.07652559466882
18054,20140813,22,PM2.5,17.6
18060,20140813,23,PCA,-71.13053613451588
18060,20140813,23,PM2.5,22.8
18066,20140814,0,PCA,-68.40048429898164
18066,20140814,0,PM2.5,22.7
18072,20140814,1,PCA,-67.18250307098332
18072,20140814,1,PM2.5,25.9
18078,20140814,2,PCA,-74.1646592685073
18078,20140814,2,PM2.5,19.9
18084,20140814,3,PCA,-74.89253425613843
18084,20140814,3,PM2.5,19.4
18090,20140814,4,PCA,-68.28868257336055
18090,20140814,4,PM2.5,25.1
18096,20140814,5,PCA,-75.52254560592094
18096,20140814,5,PM2.5,17.3
18102,20140814,6,PCA,-75.08369412616166
18102,20140814,6,PM2.5,18.3
18108,20140814,7,PCA,-75.65243236119338
18108,20140814,7,PM2.5,18.0
18114,20140814,8,PCA,-70.56984130865541
18114,20140814,8,PM2.5,25.4
18120,20140814,9,PCA,-70.13118862529022
18120,20140814,9,PM2.5,27.6
18126,20140814,10,PCA,-78.36762329178757
18126,20140814,10,PM2.5,20.4
18132,20140814,11,PCA,-73.68519632773106
18132,20140814,11,PM2.5,27.5
18138,20140814,12,PCA,-59.34099283626728
18138,20140814,12,PM2.5,37.6
18144,20140814,13,PCA,-56.72013598207002
18144,20140814,13,PM2.5,39.0
18150,20140814,14,PCA,-57.98572925345944
18150,20140814,14,PM2.5,34.3
18156,20140814,15,PCA,-36.44611217933715
18156,20140814,15,PM2.5,33.5
18162,20140814,16,PCA,-4.652413840480162
18162,20140814,16,PM2.5,44.1
18168,20140814,17,PCA,-25.411577785892067
18168,20140814,17,PM2.5,32.7
18174,20140814,18,PCA,-53.237456662711885
18174,20140814,18,PM2.5,25.0
18180,20140814,19,PCA,-61.35849340778759
18180,20140814,19,PM2.5,28.6
18186,20140814,20,PCA,-57.13935456431283
18186,20140814,20,PM2.5,35.2
18192,20140814,21,PCA,-49.9789041487543
18192,20140814,21,PM2.5,41.7
18198,20140814,22,PCA,-54.20281360642508
18198,20140814,22,PM2.5,32.5
18204,20140814,23,PCA,-54.09008134100184
18204,20140814,23,PM2.5,30.4
18210,20140815,0,PCA,-47.16780681103887
18210,20140815,0,PM2.5,34.0
18216,20140815,1,PCA,-26.069422643359328
18216,20140815,1,PM2.5,58.9
18222,20140815,2,PCA,-18.56457115500267
18222,20140815,2,PM2.5,67.8
18228,20140815,3,PCA,-13.408092396534975
18228,20140815,3,PM2.5,74.9
18234,20140815,4,PCA,-12.027798118642183
18234,20140815,4,PM2.5,69.8
18240,20140815,5,PCA,-20.858358123687278
18240,20140815,5,PM2.5,53.8
18246,20140815,6,PCA,-24.346693570723623
18246,20140815,6,PM2.5,50.4
18252,20140815,7,PCA,-18.886025884943027
18252,20140815,7,PM2.5,59.4
18258,20140815,8,PCA,-12.45615647511004
18258,20140815,8,PM2.5,68.7
18264,20140815,9,PCA,23.776827037803006
18264,20140815,9,PM2.5,122.9
18270,20140815,10,PCA,29.26177339181125
18270,20140815,10,PM2.5,133.9
18276,20140815,11,PCA,-31.861091502731057
18276,20140815,11,PM2.5,49.6
18282,20140815,12,PCA,-51.86539692348429
18282,20140815,12,PM2.5,22.7
18288,20140815,13,PCA,-60.0058000579475
18288,20140815,13,PM2.5,12.5
18294,20140815,14,PCA,-57.65334172812872
18294,20140815,14,PM2.5,17.8
18300,20140815,15,PCA,-59.36679979684827
18300,20140815,15,PM2.5,16.0
18306,20140815,16,PCA,-61.699076955857
18306,20140815,16,PM2.5,14.4
18312,20140815,17,PCA,-57.06605929405847
18312,20140815,17,PM2.5,19.3
18318,20140815,18,PCA,-48.665355123726115
18318,20140815,18,PM2.5,27.2
18324,20140815,19,PCA,-47.34183897179436
18324,20140815,19,PM2.5,24.7
18330,20140815,20,PCA,-39.86267602946043
18330,20140815,20,PM2.5,29.5
18336,20140815,21,PCA,-29.43736809039037
18336,20140815,21,PM2.5,39.9
18342,20140815,22,PCA,-13.030013708008578
18342,20140815,22,PM2.5,62.0
18348,20140815,23,PCA,-6.622863389878281
18348,20140815,23,PM2.5,72.9
18354,20140816,0,PCA,-9.285953839142085
18354,20140816,0,PM2.5,71.7
18360,20140816,1,PCA,-7.969132538963611
18360,20140816,1,PM2.5,68.4
18366,20140816,2,PCA,-12.989189205269767
18366,20140816,2,PM2.5,64.9
18372,20140816,3,PCA,-23.40699650848809
18372,20140816,3,PM2.5,54.0
18378,20140816,4,PCA,-27.679407423514764
18378,20140816,4,PM2.5,47.6
18384,20140816,5,PCA,-31.70251178922309
18384,20140816,5,PM2.5,42.5
18390,20140816,6,PCA,-37.979040489295556
18390,20140816,6,PM2.5,35.0
18396,20140816,7,PCA,-40.621862856345885
18396,20140816,7,PM2.5,33.8
18402,20140816,8,PCA,-40.18813012317145
18402,20140816,8,PM2.5,34.6
18408,20140816,9,PCA,-49.09781925474495
18408,20140816,9,PM2.5,29.1
18414,20140816,10,PCA,-62.02972099437114
18414,20140816,10,PM2.5,19.4
18420,20140816,11,PCA,-62.57449842394052
18420,20140816,11,PM2.5,25.8
18426,20140816,12,PCA,-39.010368715412625
18426,20140816,12,PM2.5,31.7
18432,20140816,13,PCA,-29.303663637679577
18432,20140816,13,PM2.5,32.4
18438,20140816,14,PCA,-31.964157461040667
18438,20140816,14,PM2.5,33.4
18444,20140816,15,PCA,-29.681590495233575
18444,20140816,15,PM2.5,31.4
18450,20140816,16,PCA,-21.941286001123085
18450,20140816,16,PM2.5,35.0
18456,20140816,17,PCA,17.620332202460006
18456,20140816,17,PM2.5,71.9
18462,20140816,18,PCA,13.19949659588038
18462,20140816,18,PM2.5,71.8
18468,20140816,19,PCA,4.15043494074179
18468,20140816,19,PM2.5,68.8
18474,20140816,20,PCA,-2.0248203966687965
18474,20140816,20,PM2.5,80.3
18480,20140816,21,PCA,7.507154799089441
18480,20140816,21,PM2.5,98.3
18486,20140816,22,PCA,21.884684484338486
18486,20140816,22,PM2.5,115.4
18492,20140816,23,PCA,35.34283535941812
18492,20140816,23,PM2.5,136.8
18498,20140817,0,PCA,56.15349342586717
18498,20140817,0,PM2.5,163.9
18504,20140817,1,PCA,92.65822858721789
18504,20140817,1,PM2.5,210.0
18510,20140817,2,PCA,97.50909727382691
18510,20140817,2,PM2.5,209.2
18516,20140817,3,PCA,91.07984046989664
18516,20140817,3,PM2.5,190.3
18522,20140817,4,PCA,22.194526789424824
18522,20140817,4,PM2.5,88.3
18528,20140817,5,PCA,-17.50616479496521
18528,20140817,5,PM2.5,32.7
18534,20140817,6,PCA,-22.505253932776245
18534,20140817,6,PM2.5,27.9
18540,20140817,7,PCA,-15.12176387213235
18540,20140817,7,PM2.5,36.4
18546,20140817,8,PCA,-14.668522345909482
18546,20140817,8,PM2.5,32.9
18552,20140817,9,PCA,-13.17602069912267
18552,20140817,9,PM2.5,36.5
18558,20140817,10,PCA,-9.510072239070706
18558,20140817,10,PM2.5,42.8
18564,20140817,11,PCA,-14.199108049535704
18564,20140817,11,PM2.5,39.4
18570,20140817,12,PCA,-19.683667703722815
18570,20140817,12,PM2.5,34.9
18576,20140817,13,PCA,-23.59970671793866
18576,20140817,13,PM2.5,30.7
18582,20140817,14,PCA,-22.40098232773016
18582,20140817,14,PM2.5,32.8
18588,20140817,15,PCA,-22.33842357315218
18588,20140817,15,PM2.5,33.5
18594,20140817,16,PCA,-26.297756534309418
18594,20140817,16,PM2.5,29.0
18600,20140817,17,PCA,-25.889013681266825
18600,20140817,17,PM2.5,32.5
18606,20140817,18,PCA,-28.039032323232636
18606,20140817,18,PM2.5,31.2
18612,20140817,19,PCA,-20.93554805350991
18612,20140817,19,PM2.5,39.8
18618,20140817,20,PCA,-17.401806472837862
18618,20140817,20,PM2.5,45.2
18624,20140817,21,PCA,-10.454952308761088
18624,20140817,21,PM2.5,52.8
18630,20140817,22,PCA,-4.715961149652539
18630,20140817,22,PM2.5,62.0
18636,20140817,23,PCA,-16.548710922852038
18636,20140817,23,PM2.5,50.6
18642,20140818,0,PCA,-33.97716887278966
18642,20140818,0,PM2.5,32.2
18648,20140818,1,PCA,-42.13466274750783
18648,20140818,1,PM2.5,27.6
18654,20140818,2,PCA,-49.433299584647244
18654,20140818,2,PM2.5,25.4
18660,20140818,3,PCA,-55.01650037225099
18660,20140818,3,PM2.5,25.7
18666,20140818,4,PCA,-51.19828485652026
18666,20140818,4,PM2.5,30.6
18672,20140818,5,PCA,-57.85272545361995
18672,20140818,5,PM2.5,24.3
18678,20140818,6,PCA,-59.073079498689864
18678,20140818,6,PM2.5,26.9
18684,20140818,7,PCA,-57.56650948051298
18684,20140818,7,PM2.5,26.6
18690,20140818,8,PCA,-57.76099110284682
18690,20140818,8,PM2.5,25.0
18696,20140818,9,PCA,-65.18388494553578
18696,20140818,9,PM2.5,17.6
18702,20140818,10,PCA,-61.409539030664774
18702,20140818,10,PM2.5,26.6
18708,20140818,11,PCA,-55.88299733853266
18708,20140818,11,PM2.5,39.0
18714,20140818,12,PCA,-49.62500668317946
18714,20140818,12,PM2.5,49.5
18720,20140818,13,PCA,-22.644150093906845
18720,20140818,13,PM2.5,63.4
18726,20140818,14,PCA,10.09869481661054
18726,20140818,14,PM2.5,85.1
18732,20140818,15,PCA,21.464678086376043
18732,20140818,15,PM2.5,92.9
18738,20140818,16,PCA,23.539346396986172
18738,20140818,16,PM2.5,92.4
18744,20140818,17,PCA,11.796869990387513
18744,20140818,17,PM2.5,80.6
18750,20140818,18,PCA,7.80240868541703
18750,20140818,18,PM2.5,83.3
18756,20140818,19,PCA,-10.432791348616036
18756,20140818,19,PM2.5,81.5
18762,20140818,20,PCA,-6.972634475091428
18762,20140818,20,PM2.5,84.5
18768,20140818,21,PCA,1.7280782060577506
18768,20140818,21,PM2.5,89.5
18774,20140818,22,PCA,6.703712849666066
18774,20140818,22,PM2.5,90.6
18780,20140818,23,PCA,-8.176309828137772
18780,20140818,23,PM2.5,69.9
18786,20140819,0,PCA,-5.87786974026821
18786,20140819,0,PM2.5,66.1
18792,20140819,1,PCA,1.0397627207421765
18792,20140819,1,PM2.5,72.9
18798,20140819,2,PCA,14.915446531895666
18798,20140819,2,PM2.5,82.8
18804,20140819,3,PCA,28.59588497980606
18804,20140819,3,PM2.5,100.1
18810,20140819,4,PCA,36.40282322551379
18810,20140819,4,PM2.5,108.3
18816,20140819,5,PCA,42.43655268315554
18816,20140819,5,PM2.5,117.5
18822,20140819,6,PCA,45.94615211122786
18822,20140819,6,PM2.5,116.9
18828,20140819,7,PCA,51.28746350959564
18828,20140819,7,PM2.5,114.2
18834,20140819,8,PCA,57.54145575658391
18834,20140819,8,PM2.5,124.2
18840,20140819,9,PCA,54.66977332558582
18840,20140819,9,PM2.5,122.0
18846,20140819,10,PCA,37.67515530942035
18846,20140819,10,PM2.5,101.0
18852,20140819,12,PCA,42.83840693536853
18852,20140819,12,PM2.5,109.8
18858,20140819,13,PCA,25.47175735411009
18858,20140819,13,PM2.5,87.6
18864,20140819,14,PCA,45.06759220515143
18864,20140819,14,PM2.5,101.3
18870,20140819,15,PCA,33.98588972335322
18870,20140819,15,PM2.5,85.7
18876,20140819,16,PCA,9.495038652235618
18876,20140819,16,PM2.5,66.8
18882,20140819,17,PCA,7.93323931033816
18882,20140819,17,PM2.5,60.7
18888,20140819,18,PCA,6.313040783763612
18888,20140819,18,PM2.5,56.4
18894,20140819,19,PCA,11.306925648497502
18894,20140819,19,PM2.5,59.9
18900,20140819,20,PCA,19.876780763277186
18900,20140819,20,PM2.5,71.1
18906,20140819,21,PCA,35.18908587425742
18906,20140819,21,PM2.5,89.1
18912,20140819,22,PCA,42.93896168951232
18912,20140819,22,PM2.5,98.8
18918,20140819,23,PCA,47.0461180459207
18918,20140819,23,PM2.5,101.2
18924,20140820,0,PCA,53.245113795964116
18924,20140820,0,PM2.5,103.1
18930,20140820,1,PCA,56.057119247971286
18930,20140820,1,PM2.5,104.0
18936,20140820,2,PCA,49.363895818861394
18936,20140820,2,PM2.5,96.5
18942,20140820,3,PCA,56.06425009902925
18942,20140820,3,PM2.5,101.3
18948,20140820,4,PCA,58.69535071756279
18948,20140820,4,PM2.5,105.3
18954,20140820,5,PCA,58.90532208070117
18954,20140820,5,PM2.5,103.1
18960,20140820,6,PCA,61.764527075815906
18960,20140820,6,PM2.5,105.5
18966,20140820,7,PCA,69.51752975847961
18966,20140820,7,PM2.5,116.7
18972,20140820,8,PCA,74.46531112749051
18972,20140820,8,PM2.5,125.4
18978,20140820,9,PCA,88.41091035489455
18978,20140820,9,PM2.5,145.4
18984,20140820,10,PCA,90.98180403394718
18984,20140820,10,PM2.5,151.7
18990,20140820,11,PCA,89.22760980064041
18990,20140820,11,PM2.5,152.4
18996,20140820,12,PCA,81.84029336607892
18996,20140820,12,PM2.5,146.9
19002,20140820,13,PCA,52.332052908220625
19002,20140820,13,PM2.5,114.1
19008,20140820,14,PCA,33.94419328379974
19008,20140820,14,PM2.5,90.5
19014,20140820,15,PCA,23.692627996666122
19014,20140820,15,PM2.5,75.6
19020,20140820,16,PCA,20.996037449220115
19020,20140820,16,PM2.5,71.9
19026,20140820,17,PCA,23.666438149532404
19026,20140820,17,PM2.5,74.0
19032,20140820,18,PCA,26.96544475526161
19032,20140820,18,PM2.5,76.7
19038,20140820,19,PCA,36.36792495395222
19038,20140820,19,PM2.5,83.9
19044,20140820,20,PCA,44.68133039477924
19044,20140820,20,PM2.5,89.5
19050,20140820,21,PCA,45.36871667083795
19050,20140820,21,PM2.5,88.8
19056,20140820,22,PCA,47.23436772338721
19056,20140820,22,PM2.5,89.5
19062,20140820,23,PCA,56.54616411488775
19062,20140820,23,PM2.5,94.6
19068,20140821,0,PCA,60.955356955583085
19068,20140821,0,PM2.5,99.1
19074,20140821,1,PCA,77.14831172175703
19074,20140821,1,PM2.5,117.9
19080,20140821,2,PCA,88.75437092841999
19080,20140821,2,PM2.5,132.8
19086,20140821,3,PCA,96.5890440643574
19086,20140821,3,PM2.5,139.8
19092,20140821,4,PCA,97.23448433756323
19092,20140821,4,PM2.5,142.7
19098,20140821,5,PCA,101.79119094877707
19098,20140821,5,PM2.5,150.1
19104,20140821,6,PCA,98.29111290553952
19104,20140821,6,PM2.5,144.3
19110,20140821,7,PCA,98.85119537206629
19110,20140821,7,PM2.5,141.5
19116,20140821,8,PCA,100.90507812418092
19116,20140821,8,PM2.5,144.1
19122,20140821,9,PCA,110.56771111690995
19122,20140821,9,PM2.5,160.9
19128,20140821,10,PCA,112.6660113245155
19128,20140821,10,PM2.5,167.5
19134,20140821,11,PCA,104.5191389803316
19134,20140821,11,PM2.5,159.4
19140,20140821,12,PCA,90.38356987113114
19140,20140821,12,PM2.5,146.2
19146,20140821,13,PCA,86.11663871474514
19146,20140821,13,PM2.5,144.2
19152,20140821,14,PCA,95.53889300491204
19152,20140821,14,PM2.5,157.4
19158,20140821,15,PCA,108.35442019328296
19158,20140821,15,PM2.5,172.5
19164,20140821,16,PCA,135.07439514395153
19164,20140821,16,PM2.5,206.8
19170,20140821,17,PCA,122.71253231277815
19170,20140821,17,PM2.5,181.8
19194,20140821,21,PCA,35.04733633586425
19194,20140821,21,PM2.5,31.0
19200,20140821,22,PCA,27.653626866740776
19200,20140821,22,PM2.5,22.7
19206,20140821,23,PCA,23.349412871040485
19206,20140821,23,PM2.5,19.5
19212,20140822,0,PCA,26.10863330883695
19212,20140822,0,PM2.5,21.6
19218,20140822,1,PCA,25.000711240280893
19218,20140822,1,PM2.5,24.0
19224,20140822,2,PCA,14.254568331041522
19224,20140822,2,PM2.5,22.4
19230,20140822,3,PCA,4.592529965135317
19230,20140822,3,PM2.5,17.7
19236,20140822,4,PCA,6.243175174601179
19236,20140822,4,PM2.5,25.0
19242,20140822,5,PCA,2.4914117347787443
19242,20140822,5,PM2.5,24.0
19248,20140822,6,PCA,-5.654689369149835
19248,20140822,6,PM2.5,20.7
19254,20140822,7,PCA,-9.168725035586535
19254,20140822,7,PM2.5,21.9
19260,20140822,8,PCA,-15.216422673893277
19260,20140822,8,PM2.5,18.7
19266,20140822,9,PCA,-15.685071543648261
19266,20140822,9,PM2.5,28.3
19272,20140822,10,PCA,-18.05366512195747
19272,20140822,10,PM2.5,34.8
19278,20140822,11,PCA,-23.41008121015063
19278,20140822,11,PM2.5,33.7
19284,20140822,12,PCA,-17.024169708329858
19284,20140822,12,PM2.5,49.5
19290,20140822,13,PCA,-7.454763360191409
19290,20140822,13,PM2.5,64.2
19296,20140822,14,PCA,-2.878898829591478
19296,20140822,14,PM2.5,64.9
19302,20140822,15,PCA,-3.7247873933617535
19302,20140822,15,PM2.5,69.4
19308,20140822,16,PCA,-7.934051960081377
19308,20140822,16,PM2.5,69.7
19314,20140822,17,PCA,-17.131290032058637
19314,20140822,17,PM2.5,66.5
19320,20140822,18,PCA,-14.233460003471551
19320,20140822,18,PM2.5,65.0
19326,20140822,19,PCA,-2.086842407884696
19326,20140822,19,PM2.5,80.5
19332,20140822,20,PCA,21.846050705194585
19332,20140822,20,PM2.5,99.0
19338,20140822,21,PCA,20.963700383017027
19338,20140822,21,PM2.5,100.1
19344,20140822,22,PCA,17.31310441653028
19344,20140822,22,PM2.5,101.5
19350,20140822,23,PCA,18.2170007446382
19350,20140822,23,PM2.5,98.5
19356,20140823,0,PCA,26.657061942514613
19356,20140823,0,PM2.5,102.6
19362,20140823,1,PCA,32.586480560870044
19362,20140823,1,PM2.5,106.8
19368,20140823,2,PCA,41.00411777668247
19368,20140823,2,PM2.5,114.8
19374,20140823,3,PCA,49.62743417396709
19374,20140823,3,PM2.5,127.0
19380,20140823,4,PCA,44.15871844770553
19380,20140823,4,PM2.5,109.2
19386,20140823,5,PCA,40.340975867784515
19386,20140823,5,PM2.5,106.7
19392,20140823,6,PCA,48.2163283391021
19392,20140823,6,PM2.5,111.3
19398,20140823,7,PCA,36.629665654783686
19398,20140823,7,PM2.5,95.8
19404,20140823,8,PCA,42.82888995828454
19404,20140823,8,PM2.5,101.5
19410,20140823,9,PCA,69.97790166652138
19410,20140823,9,PM2.5,132.1
19416,20140823,10,PCA,37.187420777138634
19416,20140823,10,PM2.5,95.1
19422,20140823,11,PCA,48.8141053424478
19422,20140823,11,PM2.5,112.3
19428,20140823,12,PCA,61.78214498493196
19428,20140823,12,PM2.5,132.7
19434,20140823,13,PCA,63.655491552958956
19434,20140823,13,PM2.5,136.9
19440,20140823,14,PCA,47.39377769856135
19440,20140823,14,PM2.5,112.9
19446,20140823,15,PCA,27.74316388234893
19446,20140823,15,PM2.5,82.4
19452,20140823,16,PCA,22.986380117517733
19452,20140823,16,PM2.5,74.8
19458,20140823,17,PCA,35.89141537881896
19458,20140823,17,PM2.5,90.9
19464,20140823,18,PCA,39.682470983370685
19464,20140823,18,PM2.5,90.9
19470,20140823,19,PCA,43.378950957165266
19470,20140823,19,PM2.5,90.2
19476,20140823,20,PCA,63.77963521358946
19476,20140823,20,PM2.5,108.1
19482,20140823,21,PCA,84.13524798311062
19482,20140823,21,PM2.5,130.9
19488,20140823,22,PCA,96.7400162018932
19488,20140823,22,PM2.5,155.8
19494,20140823,23,PCA,77.13802886997506
19494,20140823,23,PM2.5,126.5
19500,20140824,0,PCA,12.669374863442558
19500,20140824,0,PM2.5,35.0
19506,20140824,1,PCA,2.586749546165901
19506,20140824,1,PM2.5,25.7
19512,20140824,2,PCA,-7.985451567157839
19512,20140824,2,PM2.5,17.5
19518,20140824,3,PCA,-7.8496840019900676
19518,20140824,3,PM2.5,24.3
19524,20140824,4,PCA,-6.845984164692563
19524,20140824,4,PM2.5,29.2
19530,20140824,5,PCA,-9.17894429931905
19530,20140824,5,PM2.5,27.8
19536,20140824,6,PCA,4.666144695061381
19536,20140824,6,PM2.5,38.4
19542,20140824,7,PCA,15.495847345849924
19542,20140824,7,PM2.5,51.2
19548,20140824,8,PCA,9.751509316357414
19548,20140824,8,PM2.5,49.3
19554,20140824,9,PCA,-3.8356722532919005
19554,20140824,9,PM2.5,41.0
19560,20140824,10,PCA,-26.07393582115407
19560,20140824,10,PM2.5,20.1
19566,20140824,11,PCA,-34.60666306263751
19566,20140824,11,PM2.5,13.8
19572,20140824,12,PCA,-41.49690084010105
19572,20140824,12,PM2.5,15.1
19578,20140824,13,PCA,-48.071290009941116
19578,20140824,13,PM2.5,14.2
19584,20140824,14,PCA,-56.31230721959057
19584,20140824,14,PM2.5,6.9
19590,20140824,15,PCA,-58.485605784218556
19590,20140824,15,PM2.5,8.2
19596,20140824,16,PCA,-61.29668619076279
19596,20140824,16,PM2.5,8.9
19602,20140824,17,PCA,-63.579994438090374
19602,20140824,17,PM2.5,9.0
19608,20140824,18,PCA,-66.73228057309869
19608,20140824,18,PM2.5,5.5
19614,20140824,19,PCA,-60.0702521974051
19614,20140824,19,PM2.5,16.0
19620,20140824,20,PCA,-58.11468353962199
19620,20140824,20,PM2.5,24.6
19626,20140824,21,PCA,-65.21808373488297
19626,20140824,21,PM2.5,20.5
19632,20140824,22,PCA,-74.03666789776933
19632,20140824,22,PM2.5,14.5
19638,20140824,23,PCA,-81.27614549433079
19638,20140824,23,PM2.5,12.5
19644,20140825,0,PCA,-81.62050311623175
19644,20140825,0,PM2.5,12.5
19650,20140825,1,PCA,-80.53042790234551
19650,20140825,1,PM2.5,12.6
19656,20140825,2,PCA,-75.36780374467376
19656,20140825,2,PM2.5,20.6
19662,20140825,3,PCA,-79.91918611852276
19662,20140825,3,PM2.5,13.9
19668,20140825,4,PCA,-79.63970481325467
19668,20140825,4,PM2.5,14.3
19674,20140825,5,PCA,-78.07396319059234
19674,20140825,5,PM2.5,13.6
19680,20140825,6,PCA,-74.90746169535255
19680,20140825,6,PM2.5,15.9
19686,20140825,7,PCA,-79.16792100821067
19686,20140825,7,PM2.5,15.1
19692,20140825,8,PCA,-84.08817582318
19692,20140825,8,PM2.5,13.0
19698,20140825,9,PCA,-90.98363022046298
19698,20140825,9,PM2.5,7.6
19704,20140825,10,PCA,-87.6910762246312
19704,20140825,10,PM2.5,12.0
19710,20140825,11,PCA,-87.94655521963786
19710,20140825,11,PM2.5,9.4
19716,20140825,12,PCA,-89.8491749959278
19716,20140825,12,PM2.5,6.1
19722,20140825,13,PCA,-91.73492222632231
19722,20140825,13,PM2.5,3.0
19728,20140825,14,PCA,-86.12456100121061
19728,20140825,14,PM2.5,11.0
19734,20140825,15,PCA,-88.21736833442924
19734,20140825,15,PM2.5,6.7
19740,20140825,16,PCA,-87.16253539803301
19740,20140825,16,PM2.5,6.9
19746,20140825,17,PCA,-87.281703924986
19746,20140825,17,PM2.5,5.9
19752,20140825,18,PCA,-84.5264281660829
19752,20140825,18,PM2.5,9.8
19758,20140825,19,PCA,-83.6665305103821
19758,20140825,19,PM2.5,12.4
19764,20140825,20,PCA,-73.47276951056637
19764,20140825,20,PM2.5,17.9
19770,20140825,21,PCA,-72.25129283086815
19770,20140825,21,PM2.5,17.9
19776,20140825,22,PCA,-62.713406135045254
19776,20140825,22,PM2.5,22.3
19782,20140825,23,PCA,-45.70842839507457
19782,20140825,23,PM2.5,32.9
19788,20140826,0,PCA,-56.016601837430905
19788,20140826,0,PM2.5,31.0
19794,20140826,1,PCA,-60.74841804757977
19794,20140826,1,PM2.5,31.5
19800,20140826,2,PCA,-74.16369205628516
19800,20140826,2,PM2.5,22.3
19806,20140826,3,PCA,-71.96630413249439
19806,20140826,3,PM2.5,25.6
19824,20140826,6,PCA,-82.25069854369511
19824,20140826,6,PM2.5,14.3
19830,20140826,7,PCA,-86.88685903146657
19830,20140826,7,PM2.5,8.0
19836,20140826,8,PCA,-84.14225528839759
19836,20140826,8,PM2.5,12.4
19842,20140826,9,PCA,-88.47388645676027
19842,20140826,9,PM2.5,8.2
19848,20140826,10,PCA,-86.26698895719427
19848,20140826,10,PM2.5,12.3
19854,20140826,11,PCA,-81.30017712775744
19854,20140826,11,PM2.5,16.8
19860,20140826,12,PCA,-83.4286706912141
19860,20140826,12,PM2.5,10.1
19866,20140826,13,PCA,-78.82238598627117
19866,20140826,13,PM2.5,14.0
19872,20140826,14,PCA,-81.71231182646588
19872,20140826,14,PM2.5,8.1
19878,20140826,15,PCA,-71.16981858392633
19878,20140826,15,PM2.5,28.5
19884,20140826,16,PCA,-80.95562146891895
19884,20140826,16,PM2.5,13.4
19890,20140826,17,PCA,-86.5239599030974
19890,20140826,17,PM2.5,6.5
19896,20140826,18,PCA,-83.55661757938823
19896,20140826,18,PM2.5,6.8
19902,20140826,19,PCA,-78.69360149489047
19902,20140826,19,PM2.5,11.9
19908,20140826,20,PCA,-59.084976108087346
